X72n1439_001:0592a06	 自序	 自 序 
X72n1439_001:0592b09	曰。政當使天下有鼻孔衲僧。嗅著飯氣。腦門迸裂。虗	曰 政 當 使 天 下 有 鼻 孔 衲 僧 嗅 著 飯 氣 腦 門 迸 裂 虗 
X72n1439_001:0592b10	心果腹而去。其於法門之獘。庶有振乎。余善其言。乃	心 果 腹 而 去 其 於 法 門 之 獘 庶 有 振 乎 余 善 其 言 乃 
X72n1439_001:0592b11	以餐香名之。而自書諸簡首。	以 餐 香 名 之 而 自 書 諸 簡 首 
X72n1439_001:0592b12	為霖道人題于聖箭堂	為 霖 道 人 題 于 聖 箭 堂 
X72n1439_001:0592b17	鼓山餐香錄目次	鼓 山 餐 香 錄 目 次 
X72n1439_001:0592b19	卷上	卷 上 
X72n1439_001:0592b20	自序上堂小參	自 序 上 堂 小 參 
X72n1439_001:0592b21	卷下	卷 下 
X72n1439_001:0592b22	紀賢傳記序題跋	紀 賢 傳 記 序 題 跋 
X72n1439_001:0592b23	疏文偈贊	疏 文 偈 贊 
X72n1439_001:0592b24	銘佛事	銘 佛 事 
X72n1439_001:0592c06	鼓山為霖和尚餐香錄卷上	鼓 山 為 霖 和 尚 餐 香 錄 卷 上 
X72n1439_001:0592c08	書記　太泉　錄	書 記 太 泉 錄 
X72n1439_001:0592c09	上堂	上 堂 
X72n1439_001:0592c10	副都統朱公。諱延禧。請上堂。今日伏承副都統朱公	副 都 統 朱 公 諱 延 禧 請 上 堂 今 日 伏 承 副 都 統 朱 公 
X72n1439_001:0592c11	入山設供。請山僧陞座演法。我佛法中。別無奇特。祇	入 山 設 供 請 山 僧 陞 座 演 法 我 佛 法 中 別 無 奇 特 祇 
X72n1439_001:0592c12	貴當人認得自性。脫去生死。立地成佛。葢本有之性。	貴 當 人 認 得 自 性 脫 去 生 死 立 地 成 佛 葢 本 有 之 性 
X72n1439_001:0592c13	覿體圓明。祇因一念差池。便爾多生隔越。既已迷己	覿 體 圓 明 祇 因 一 念 差 池 便 爾 多 生 隔 越 既 已 迷 己 
X72n1439_001:0592c14	為物。亦復認物為己。內則縳于身心。外則惑于世界。	為 物 亦 復 認 物 為 己 內 則 縳 于 身 心 外 則 惑 于 世 界 
X72n1439_001:0592c15	種種取舍。皆是輪迴。雖然如是。眉毛祇在眼上。舌頭	種 種 取 舍 皆 是 輪 迴 雖 然 如 是 眉 毛 祇 在 眼 上 舌 頭 
X72n1439_001:0592c16	不出口裏。若能一念回光。便可直下搆取。祇如回光	不 出 口 裏 若 能 一 念 回 光 便 可 直 下 搆 取 祇 如 回 光 
X72n1439_001:0592c17	一句。作麼生道。了得身心本性空。斯人與佛何殊別。	一 句 作 麼 生 道 了 得 身 心 本 性 空 斯 人 與 佛 何 殊 別 
X72n1439_001:0592c18	擊拂子下座。	擊 拂 子 下 座 
X72n1439_001:0592c19	信士周持怛。設齋請上堂。僧問。唯一堅密身。一切塵	信 士 周 持 怛 設 齋 請 上 堂 僧 問 唯 一 堅 密 身 一 切 塵 
X72n1439_001:0592c20	中現。如何是堅密身。師云。未開口前薦取。進云。如何	中 現 如 何 是 堅 密 身 師 云 未 開 口 前 薦 取 進 云 如 何 
X72n1439_001:0592c21	是塵中現。師云。何得當面諱却。僧禮拜。師乃云。一念	是 塵 中 現 師 云 何 得 當 面 諱 却 僧 禮 拜 師 乃 云 一 念 
X72n1439_001:0592c22	無生。頓證無時之法。三心有住。永沉有漏之軀。所以	無 生 頓 證 無 時 之 法 三 心 有 住 永 沉 有 漏 之 軀 所 以 
X72n1439_001:0592c23	昔日雪竇和尚。作為道日損偈云。三分光陰二早過。	昔 日 雪 竇 和 尚 作 為 道 日 損 偈 云 三 分 光 陰 二 早 過 
X72n1439_001:0592c24	靈臺一點未揩磨。貪生逐日區區去。喚不回頭怎奈	靈 臺 一 點 未 揩 磨 貪 生 逐 日 區 區 去 喚 不 回 頭 怎 奈 
X72n1439_001:0593a01	何。雪竇此偈。葢為世人不知謀道。虗度光陰。故下此	何 雪 竇 此 偈 葢 為 世 人 不 知 謀 道 虗 度 光 陰 故 下 此 
X72n1439_001:0593a02	瞑眩。可謂徹困婆心。山僧今日不免從頭註破。三分	瞑 眩 可 謂 徹 困 婆 心 山 僧 今 日 不 免 從 頭 註 破 三 分 
X72n1439_001:0593a03	光陰二早過。甕裏何曾走却鱉。靈臺一點未揩磨。還	光 陰 二 早 過 甕 裏 何 曾 走 却 鱉 靈 臺 一 點 未 揩 磨 還 
X72n1439_001:0593a04	瞞得渠麼。貪生逐日區區去。脚頭脚底。喚不回頭怎	瞞 得 渠 麼 貪 生 逐 日 區 區 去 脚 頭 脚 底 喚 不 回 頭 怎 
X72n1439_001:0593a05	奈何。真箇衲僧。大眾。若向雪竇言下悟去。暫息化城。	奈 何 真 箇 衲 僧 大 眾 若 向 雪 竇 言 下 悟 去 暫 息 化 城 
X72n1439_001:0593a06	得二乘寂滅之樂。向山僧言下悟去。直登寶所。得菩	得 二 乘 寂 滅 之 樂 向 山 僧 言 下 悟 去 直 登 寶 所 得 菩 
X72n1439_001:0593a07	薩法喜之樂。更有一人。踏倒化城。踢飜寶所。且道又	薩 法 喜 之 樂 更 有 一 人 踏 倒 化 城 踢 飜 寶 所 且 道 又 
X72n1439_001:0593a08	得箇甚麼。破衲蒙頭萬事休。此時山僧都不會。	得 箇 甚 麼 破 衲 蒙 頭 萬 事 休 此 時 山 僧 都 不 會 
X72n1439_001:0593a09	善女人高寂覲。預修功德。請上堂。庾嶺一鋪功德。無	善 女 人 高 寂 覲 預 修 功 德 請 上 堂 庾 嶺 一 鋪 功 德 無 
X72n1439_001:0593a10	量劫來成就。今日一回拈出。便見光輝宇宙。不須雪	量 劫 來 成 就 今 日 一 回 拈 出 便 見 光 輝 宇 宙 不 須 雪 
X72n1439_001:0593a11	點紅爐。一切萬法仍舊。春水盈盈競流。春山疊叠挺	點 紅 爐 一切萬法 仍 舊 春 水 盈 盈 競 流 春 山 疊 叠 挺 
X72n1439_001:0593a12	秀。春鳥關關和鳴。春樹葱葱鬱茂。若能直下便見。即	秀 春 鳥 關 關 和 鳴 春 樹 葱 葱 鬱 茂 若 能 直 下 便 見 即 
X72n1439_001:0593a13	是瞿曇之後。更作佛法商量。此人却不唧[口*留]。乃舉拂	是 瞿 曇 之 後 更 作 佛 法 商 量 此 人 却 不 唧 [口留] 乃 舉 拂 
X72n1439_001:0593a14	召大眾云。見麼。是大神呪。是大明呪。擊案下座。	召 大 眾 云 見 麼 是 大 神 呪 是 大 明 呪 擊 案 下 座 
X72n1439_001:0593a15	元復大德。同眾檀護設齋。請上堂千山萬山。祇是一	元 復 大 德 同 眾 檀 護 設 齋 請 上 堂 千 山 萬 山 祇 是 一 
X72n1439_001:0593a16	山。千水萬水。祇是一水。直饒行徧天涯。何曾出得這	山 千 水 萬 水 祇 是 一 水 直 饒 行 徧 天 涯 何 曾 出 得 這 
X72n1439_001:0593a17	裏。元復大德將往粵東。今日特同眾位檀護上山設	裏 元 復 大 德 將 往 粵 東 今 日 特 同 眾 位 檀 護 上 山 設 
X72n1439_001:0593a18	供。與山僧言別。記得。古教云。觀方知彼去去。者不至	供 與 山 僧 言 別 記 得 古 教 云 觀 方 知 彼 去 去 者 不 至 
X72n1439_001:0593a19	方。既去。為什麼不至方。既不至方。如何又去。這裏見	方 既 去 為 什 麼 不 至 方 既 不 至 方 如 何 又 去 這 裏 見 
X72n1439_001:0593a20	得。則步步踏著實地。處處總是家鄉。自然聲和響順。	得 則 步 步 踏 著 實 地 處 處 總 是 家 鄉 自 然 聲 和 響 順 
X72n1439_001:0593a21	草偃風行。六國無虞。一人有慶。是事且止。祇如今日	草 偃 風 行 六 國 無 虞 一 人 有 慶 是 事 且 止 祇 如 今 日 
X72n1439_001:0593a22	眾檀護設供。畢竟功歸何所。密密善根盤性地。滔滔	眾 檀 護 設 供 畢 竟 功 歸 何 所 密 密 善 根 盤 性 地 滔 滔 
X72n1439_001:0593a23	福海湧靈源。	福 海 湧 靈 源 
X72n1439_001:0593a24	優婆夷吳太素。預修功德。請上堂。人天果報不須求。	優 婆 夷 吳 太 素 預 修 功 德 請 上 堂 人 天 果 報 不 須 求 
X72n1439_001:0593b01	求得飜成特地愁。萬行収歸那邊去。回程堪作度人	求 得 飜 成 特 地 愁 萬 行 収 歸 那 邊 去 回 程 堪 作 度 人 
X72n1439_001:0593b02	舟。祇如那邊作麼生去。今日普請大眾。為太素優婆	舟 祇 如 那 邊 作 麼 生 去 今 日 普 請 大 眾 為 太 素 優 婆 
X72n1439_001:0593b03	夷。念摩訶般若波羅蜜多。吽吽。珍重。	夷 念 摩訶般若波羅蜜 多 吽 吽 珍 重 
X72n1439_001:0593b04	石航上座同徒思哲求戒。請上堂。以戒為師。依戒而	石 航 上 座 同 徒 思 哲 求 戒 請 上 堂 以 戒 為 師 依 戒 而 
X72n1439_001:0593b05	住。金口垂慈。最後明誨。何者為戒。六祖大師云。本性	住 金 口 垂 慈 最 後 明 誨 何 者 為 戒 六 祖 大 師 云 本 性 
X72n1439_001:0593b06	無非自性戒。須知上至諸佛。下至蠢動。無不各具此	無 非 自 性 戒 須 知 上 至 諸 佛 下 至 蠢 動 無 不 各 具 此 
X72n1439_001:0593b07	性。亦無不各具此戒。風聲鳥語。皆演迦文律儀。山色	性 亦 無 不 各 具 此 戒 風 聲 鳥 語 皆 演 迦 文 律 儀 山 色 
X72n1439_001:0593b08	江光。盡闡舍那心地。所以先師云。如何是五戒。梅花	江 光 盡 闡 舍 那 心 地 所 以 先 師 云 如 何 是 五 戒 梅 花 
X72n1439_001:0593b09	鬬雪開。如何是沙彌戒。石笋破蒼苔。如何是比丘戒。	鬬 雪 開 如 何 是 沙 彌 戒 石 笋 破 蒼 苔 如 何 是 比 丘 戒 
X72n1439_001:0593b10	黃河連底凍。如何是菩薩戒。膏雨足霶[雨/沱]。諸人向者	黃 河 連 底 凍 如 何 是 菩 薩 戒 膏 雨 足 霶 [雨沱] 諸 人 向 者 
X72n1439_001:0593b11	裏徹去。則盡乾坤大地森羅萬象。皆是當人自己性	裏 徹 去 則 盡 乾 坤 大 地 森 羅 萬 象 皆 是 當 人 自 己 性 
X72n1439_001:0593b12	戒光明。又何待披衣展具登壇羯磨。然後為得戒耶。	戒 光 明 又 何 待 披 衣 展 具 登 壇 羯 磨 然 後 為 得 戒 耶 
X72n1439_001:0593b13	如或未然。山僧狗尾續貂。不免更資一路。如何是五	如 或 未 然 山 僧 狗 尾 續 貂 不 免 更 資 一 路 如 何 是 五 
X72n1439_001:0593b14	戒。基築金剛際。堅深莫動搖。如何是沙彌戒。蓮花方	戒 基 築 金 剛 際 堅 深 莫 動 搖 如 何 是 沙 彌 戒 蓮 花 方 
X72n1439_001:0593b15	出水。徧界已流香。如何是比丘戒。橫身三界外。任運	出 水 徧 界 已 流 香 如 何 是 比 丘 戒 橫 身 三 界 外 任 運 
X72n1439_001:0593b16	自騰騰。如何是菩薩戒。步步踏紅塵。通身無影像。大	自 騰 騰 如 何 是 菩 薩 戒 步 步 踏 紅 塵 通 身 無 影 像 大 
X72n1439_001:0593b17	眾會麼。謹護浮囊渡苦海。莫隨羅剎乞微塵。因風到	眾 會 麼 謹 護 浮 囊 渡 苦 海 莫 隨 羅 剎 乞 微 塵 因 風 到 
X72n1439_001:0593b18	岸方辭筏。始是靈山一會人。珍重。	岸 方 辭 筏 始 是 靈 山 一 會 人 珍 重 
X72n1439_001:0593b19	妙湛上座同一雨上人請上堂。溫陵妙湛上座。久依	妙 湛 上 座 同 一 雨 上 人 請 上 堂 溫 陵 妙 湛 上 座 久 依 
X72n1439_001:0593b20	博山法席。必稔聞博山家風。昔博山老人。常教人看	博 山 法 席 必 稔 聞 博 山 家 風 昔 博 山 老 人 常 教 人 看 
X72n1439_001:0593b21	箇一口氣不來。畢竟向甚麼處去。此語大有為人處。	箇 一 口 氣 不 來 畢 竟 向 甚 麼 處 去 此 語 大 有 為 人 處 
X72n1439_001:0593b22	今日因風吹火。不免花擘一上。一口氣不來。三世諸	今 日 因 風 吹 火 不 免 花 擘 一 上 一 口 氣 不 來 三 世 諸 
X72n1439_001:0593b23	佛已活埋。向甚麼處去。黃鶯啼在綠楊樹。明暗雙雙	佛 已 活 埋 向 甚 麼 處 去 黃 鶯 啼 在 綠 楊 樹 明 暗 雙 雙 
X72n1439_001:0593b24	是甚麼。好看秤鎚解鐵鋸。是事且止。博山老人即今	是 甚 麼 好 看 秤 鎚 解 鐵 鋸 是 事 且 止 博 山 老 人 即 今 
X72n1439_001:0593c01	在諸人面前葛藤。諸人還記得話頭麼。呵呵。若是陶	在 諸 人 面 前 葛 藤 諸 人 還 記 得 話 頭 麼 呵 呵 若 是 陶 
X72n1439_001:0593c02	淵明。攢眉便歸去。擊拂子下座。	淵 明 攢 眉 便 歸 去 擊 拂 子 下 座 
X72n1439_001:0593c03	蓮乘菴主領徒。剃度求戒。請上堂。昔世尊不度女人	蓮 乘 菴 主 領 徒 剃 度 求 戒 請 上 堂 昔 世 尊 不 度 女 人 
X72n1439_001:0593c04	出家。阿難為佛姨母大愛道。慇懃致請。佛乃開許。遂	出 家 阿 難 為 佛 姨 母 大 愛 道 慇 懃 致 請 佛 乃 開 許 遂 
X72n1439_001:0593c05	令佛正法五百歲衰微。雖然。非阿難無以知世尊密	令 佛 正 法 五 百 歲 衰 微 雖 然 非 阿 難 無 以 知 世 尊 密 
X72n1439_001:0593c06	意。非世尊無以度脫女人。自是以來。諸女人輩。于佛	意 非 世 尊 無 以 度 脫 女 人 自 是 以 來 諸 女 人 輩 于 佛 
X72n1439_001:0593c07	法中出家。悟道證果者。不可勝紀。豈不見。諸尼受記	法 中 出 家 悟 道 證 果 者 不 可 勝 紀 豈 不 見 諸 尼 受 記 
X72n1439_001:0593c08	于靈山。總持得肉于少室。末山機鋒亞出。灌溪服膺。	于 靈 山 總 持 得 肉 于 少 室 末 山 機 鋒 亞 出 灌 溪 服 膺 
X72n1439_001:0593c09	妙總契悟穩密。大慧印可。足見妄緣有差別。實性非	妙 總 契 悟 穩 密 大 慧 印 可 足 見 妄 緣 有 差 別 實 性 非 
X72n1439_001:0593c10	男女。但能一念回光。方知成佛元舊。今日西峯菴主	男 女 但 能 一 念 回 光 方 知 成 佛 元 舊 今 日 西 峯 菴 主 
X72n1439_001:0593c11	蓮乘。度弟子傳潔一長母子出家。特領到鼓山。圓頂	蓮 乘 度 弟 子 傳 潔 一 長 母 子 出 家 特 領 到 鼓 山 圓 頂 
X72n1439_001:0593c12	受戒。姑無論其得道得果。但現脫女人之累。預參三	受 戒 姑 無 論 其 得 道 得 果 但 現 脫 女 人 之 累 預 參 三 
X72n1439_001:0593c13	寶之尊。已是火中蓮花。不易得也。從今已去。宜各發	寶 之 尊 已 是 火 中 蓮 花 不 易 得 也 從今已去 宜 各 發 
X72n1439_001:0593c14	出世心。修出世行。亭亭物外。不染世緣。更當以布施	出 世 心 修 出 世 行 亭 亭 物 外 不 染 世 緣 更 當 以 布 施 
X72n1439_001:0593c15	解脫自心。以持戒淨治自心。以忍辱坦蕩自心。以精	解 脫 自 心 以 持 戒 淨 治 自 心 以 忍 辱 坦 蕩 自 心 以 精 
X72n1439_001:0593c16	進堅固自心。以禪定安樂自心。以智慧明利自心。自	進 堅 固 自 心 以 禪 定 安 樂 自 心 以 智 慧 明 利 自 心 自 
X72n1439_001:0593c17	他兼利。福智圓明。作苦海之慈航。為法門之柱石。可	他 兼 利 福 智 圓 明 作 苦 海 之 慈 航 為 法 門 之 柱 石 可 
X72n1439_001:0593c18	謂真佛弟子。真報佛恩。現前諸尼。宜共勉勵。珍重。	謂 真 佛 弟 子 真 報 佛 恩 現 前 諸 尼 宜 共 勉 勵 珍 重 
X72n1439_001:0593c19	培慈菴主同優婆夷于太靜請上堂。舉清凉大法眼	培 慈 菴 主 同 優 婆 夷 于 太 靜 請 上 堂 舉 清 凉 大 法 眼 
X72n1439_001:0593c20	禪師示眾云。三通鼓罷。簇簇上來。人事法事。一時周	禪 師 示 眾 云 三 通 鼓 罷 簇 簇 上 來 人 事 法 事 一 時 周 
X72n1439_001:0593c21	畢。師云。甜瓜徹蒂甜。淨居尼慧溫禪師示眾云。三通	畢 師 云 甜 瓜 徹 蒂 甜 淨 居 尼 慧 溫 禪 師 示 眾 云 三 通 
X72n1439_001:0593c22	鼓罷。簇簇上來。拄杖不在。苕菷柄聊與三十。師云。苦	鼓 罷 簇 簇 上 來 拄 杖 不 在 苕 菷 柄 聊 與 三 十 師 云 苦 
X72n1439_001:0593c23	瓜連根苦。山僧則不然。三通鼓罷。簇簇上來。風動雲	瓜 連 根 苦 山 僧 則 不 然 三 通 鼓 罷 簇 簇 上 來 風 動 雲 
X72n1439_001:0593c24	起。水流花開。	起 水 流 花 開 
X72n1439_001:0594a01	般若菴主文演文熈請上堂。眾生心處處緣。唯不能	般 若 菴 主 文 演 文 熈 請 上 堂 眾 生 心 處 處 緣 唯 不 能 
X72n1439_001:0594a02	緣于大般若。以大般若非心意識所緣境界。所以古	緣 于 大 般 若 以 大 般 若 非 心 意識所緣 境 界 所 以 古 
X72n1439_001:0594a03	德。常教人離心意識參。出凡聖路學。祇如心意識作	德 常 教 人 離 心 意 識 參 出 凡 聖 路 學 祇 如 心 意 識 作 
X72n1439_001:0594a04	麼生離。凡聖路作麼生出。喝一喝云。箇中若明得這	麼 生 離 凡 聖 路 作 麼 生 出 喝 一 喝 云 箇 中 若 明 得 這 
X72n1439_001:0594a05	一喝。心意識凡聖路。是什麼熱椀鳴聲。正與麼時。諸	一 喝 心 意 識 凡 聖 路 是 什 麼 熱 椀 鳴 聲 正 與 麼 時 諸 
X72n1439_001:0594a06	人還見大般若麼。鬱鬱黃花迎曉日。青青翠竹引清	人 還 見 大 般 若 麼 鬱 鬱 黃 花 迎 曉 日 青 青 翠 竹 引 清 
X72n1439_001:0594a07	風。下座。	風 下 座 
X72n1439_001:0594a08	佛誕日。弟子鄧興安保母禮塔。送妹出家。請上堂。年	佛 誕 日 弟 子 鄧 興 安 保 母 禮 塔 送 妹 出 家 請 上 堂 年 
X72n1439_001:0594a09	年有箇四月八。摩耶夫人生悉達。今年四八更希奇。	年 有 箇 四 月 八 摩 耶 夫 人 生 悉 達 今 年 四 八 更 希 奇 
X72n1439_001:0594a10	釋迦全身現寶塔。孝順之子奉重來。祝親福壽等須	釋 迦 全 身 現 寶 塔 孝 順 之 子 奉 重 來 祝 親 福 壽 等 須 
X72n1439_001:0594a11	彌。頂禮八萬四千拜。拜拜見佛實難思。母氏多生植	彌 頂 禮 八萬四千 拜 拜 拜 見 佛 實 難 思 母 氏 多 生 植 
X72n1439_001:0594a12	善本。捨女出家登戒品。法門肉骨般若緣。此意世人	善 本 捨 女 出 家 登 戒 品 法 門 肉 骨 般 若 緣 此 意 世 人 
X72n1439_001:0594a13	誰猛省。我今說偈聊讚歎。佛天歡喜光燦爛。普照法	誰 猛 省 我 今 說 偈 聊 讚 歎 佛 天 歡 喜 光 燦 爛 普 照 法 
X72n1439_001:0594a14	界諸有情。悉令究竟達彼岸。喝一喝。下座。	界 諸 有 情 悉 令 究 竟 達 彼 岸 喝 一 喝 下 座 
X72n1439_001:0594a15	參領周公法諱上蓮。同信士楊上宗。送法華經板。到	參 領 周 公 法 諱 上 蓮 同 信 士 楊 上 宗 送 法 華 經 板 到 
X72n1439_001:0594a16	山流通。請上堂。釋迦老子未出世前。大地眾生成佛	山 流 通 請 上 堂 釋 迦 老 子 未 出 世 前 大 地 眾 生 成 佛 
X72n1439_001:0594a17	已竟。及至出世後。四十九年。三百餘會。費盡周遮。逗	已 竟 及 至 出 世 後 四 十 九 年 三 百 餘 會 費 盡 周 遮 逗 
X72n1439_001:0594a18	到法華會上。從頭受記。反似隔了一重。雖然如是。無	到 法 華 會 上 從 頭 受 記 反 似 隔 了 一 重 雖 然 如 是 無 
X72n1439_001:0594a19	奈窮子背父。醉客迷珠。祇得將錯就錯。令渠開示悟	奈 窮 子 背 父 醉 客 迷 珠 祇 得 將 錯 就 錯 令 渠 開 示 悟 
X72n1439_001:0594a20	入佛之知見。以暢出世本懷。且如何是開佛知見。打	入 佛 之 知 見 以 暢 出 世 本 懷 且 如 何 是 開 佛 知 見 打 
X72n1439_001:0594a21	破虗空成幾片。如何是示佛知見。當陽指出娘生面。	破 虗 空 成 幾 片 如 何 是 示 佛 知 見 當 陽 指 出 娘 生 面 
X72n1439_001:0594a22	如何是悟佛知見。餬餅饅頭元是麵。如何是入佛知	如 何 是 悟 佛 知 見 餬 餅 饅 頭 元 是 麵 如 何 是 入 佛 知 
X72n1439_001:0594a23	見。全身已坐空王殿。諸人若能向山僧四轉語中。直	見 全 身 已 坐 空 王 殿 諸 人 若 能 向 山 僧 四 轉 語 中 直 
X72n1439_001:0594a24	下領荷得去。今日世尊全身。向板頭上出現。普為諸	下 領 荷 得 去 今 日 世 尊 全 身 向 板 頭 上 出 現 普 為 諸 
X72n1439_001:0594b01	人。受記了也。如或未然。珍重流通大法寶。廣長舌相	人 受 記 了 也 如 或 未 然 珍 重 流 通 大 法 寶 廣長舌相 
X72n1439_001:0594b02	永敷宣。	永 敷 宣 
X72n1439_001:0594b03	弟子姚太岳。率眾善友設齋。請上堂。得人身難。值佛	弟 子 姚 太 岳 率 眾 善 友 設 齋 請 上 堂 得 人 身 難 值 佛 
X72n1439_001:0594b04	法難。具信心難。大眾。人身已得。佛法已值。信心已具。	法 難 具 信 心 難 大 眾 人 身 已 得 佛 法 已 值 信 心 已 具 
X72n1439_001:0594b05	可謂火中蓮花也。雖然。且道信箇什麼。莫信佛麼。相	可 謂 火 中 蓮 花 也 雖 然 且 道 信 箇 什 麼 莫 信 佛 麼 相 
X72n1439_001:0594b06	好難形。莫信法麼。名句莫顯。莫信僧麼。世外騰騰。此	好 難 形 莫 信 法 麼 名 句 莫 顯 莫 信 僧 麼 世 外 騰 騰 此 
X72n1439_001:0594b07	三寶中。若能如是知。如是見。如是信解。不生法相。以	三 寶 中 若 能 如 是 知 如 是 見 如 是 信 解 不 生 法 相 以 
X72n1439_001:0594b08	拂子打圓相云。我今為汝保任此事。終不虗也。復舉	拂 子 打 圓 相 云 我 今 為 汝 保 任 此 事 終 不 虗 也 復 舉 
X72n1439_001:0594b09	拂子召大眾云。會麼。王令已行天下徧。桃花處處笑	拂 子 召 大 眾 云 會 麼 王 令 已 行 天 下 徧 桃 花 處 處 笑 
X72n1439_001:0594b10	春風。	春 風 
X72n1439_001:0594b11	信士李玉率眾善友請上堂。清信弟子李玉。于福城	信 士 李 玉 率 眾 善 友 請 上 堂 清 信 弟 子 李 玉 于 福 城 
X72n1439_001:0594b12	建菴造像。孳孳為善。求福不回。今日又率眾善友。上	建 菴 造 像 孳 孳 為 善 求 福 不 回 今 日 又 率 眾 善 友 上 
X72n1439_001:0594b13	鼓山飯僧。請山僧說法。古德云。佛法有什麼事。行得	鼓 山 飯 僧 請 山 僧 說 法 古 德 云 佛 法 有 什 麼 事 行 得 
X72n1439_001:0594b14	即是灼然。若果能行得。有什麼事。祇如佛法。作麼生	即 是 灼 然 若 果 能 行 得 有 什 麼 事 祇 如 佛 法 作 麼 生 
X72n1439_001:0594b15	行。會麼。布施是行。持戒忍辱精進禪定智慧是行。布	行 會 麼 布 施 是 行 持 戒 忍 辱 精 進 禪 定 智 慧 是 行 布 
X72n1439_001:0594b16	施度慳貪。持戒度毀犯。忍辱度瞋恚。精進度懈怠。禪	施 度 慳 貪 持 戒 度 毀 犯 忍 辱 度 瞋 恚 精 進 度 懈 怠 禪 
X72n1439_001:0594b17	定度散亂。智慧度愚痴。無量百千行門。皆歸六度。雖	定 度 散 亂 智 慧 度 愚 痴 無 量 百 千 行 門 皆 歸 六 度 雖 
X72n1439_001:0594b18	然。有箇漢。本不慳不犯。不瞋不懈。不亂不痴。教他行	然 有 箇 漢 本 不 慳 不 犯 不 瞋 不 懈 不 亂 不 痴 教 他 行 
X72n1439_001:0594b19	箇什麼。鵰弓已掛鯨波息。萬里歌謠慶一人。	箇 什 麼 鵰 弓 已 掛 鯨 波 息 萬 里 歌 謠 慶 一 人 
