T51n2072_001:0126b24	往生集序	往 生 集 序 
T51n2072_001:0126c12	素之流觀於是書將指而曰。某也以如是解	素 之 流 觀 於 是 書 將 指 而 曰 某 也 以 如 是 解 
T51n2072_001:0126c13	脫而生。某也以如是純一而生。某也以如是	脫 而 生 某 也 以 如 是 純 一 而 生 某 也 以 如 是 
T51n2072_001:0126c14	精誠之極感格而生。某也以如是大悲大願	精 誠 之 極 感 格 而 生 某 也 以 如 是 大 悲 大 願 
T51n2072_001:0126c15	而生。某也以如是改過不吝轉業於將墮也	而 生 某 也 以 如 是 改 過 不 吝 轉 業 於 將 墮 也 
T51n2072_001:0126c16	而生。某如是上生。某如是中生下生。庶幾乎	而 生 某 如 是 上 生 某 如 是 中 生 下 生 庶 幾 乎 
T51n2072_001:0126c17	考古驗今為淨業者左券。而客有過我者。閱	考 古 驗 今 為 淨 業 者 左 券 而 客 有 過 我 者 閱 
T51n2072_001:0126c18	未數傳。勃然曰。淨土唯心。心外無土。往生	未 數 傳 勃 然 曰 淨 土 唯 心 心 外 無 土 往 生 
T51n2072_001:0126c19	淨土寓言也。子以為真生乎哉。寧不乖於無	淨 土 寓 言 也 子 以 為 真 生 乎 哉 寧 不 乖 於 無 
T51n2072_001:0126c20	生之旨。予俟其色定。徐而謂曰。談何容易。如	生 之 旨 予 俟 其 色 定 徐 而 謂 曰 談 何 容 易 如 
T51n2072_001:0126c21	以無生而已矣。一切斷滅不應尚有唯心。果	以 無 生 而 已 矣 一 切 斷 滅 不 應 尚 有 唯 心 果 
T51n2072_001:0126c22	悟無生則生亦奚礙。生既本無故終日生而	悟 無 生 則 生 亦 奚 礙 生 既 本 無 故 終 日 生 而 
T51n2072_001:0126c23	未甞生也。且爾已盡漏心否乎。對曰不能。噫	未 甞 生 也 且 爾 已 盡 漏 心 否 乎 對 曰 不 能 噫 
T51n2072_001:0126c24	漏心未盡則生緣未休。生緣未休則托質有	漏 心 未 盡 則 生 緣 未 休 生 緣 未 休 則 托 質 有 
T51n2072_001:0126c25	所。茫茫三界大苦海中。不生淨土而生何土。	所 茫 茫 三 界 大 苦 海 中 不 生 淨 土 而 生 何 土 
T51n2072_001:0126c26	六道之匍匐。九品之逍遙。利與害天淵矣。抑	六 道 之 匍 匐 九 品 之 逍 遙 利 與 害 天 淵 矣 抑 
T51n2072_001:0126c27	未之思歟。飾虛論而爭高。吾亦能之。所以弗	未 之 思 歟 飾 虛 論 而 爭 高 吾 亦 能 之 所 以 弗 
T51n2072_001:0126c28	為者。夫亦懼生於識法耳行矣。爾誠不以予	為 者 夫 亦 懼 生 於 識 法 耳 行 矣 爾 誠 不 以 予 
T51n2072_001:0126c29	言為非。即淨土而之佛乘。蓋未甞間隔絲毫。	言 為 非 即 淨 土 而 之 佛 乘 蓋 未 甞 間 隔 絲 毫 
T51n2072_001:0127a01	而奚乖之有。客悚然從坐而作。惘然而自失	而 奚 乖 之 有 客 悚 然 從 坐 而 作 惘 然 而 自 失 
T51n2072_001:0127a02	不覺。其汪然泣下而悲且咽也。整衣莊誦之	不 覺 其 汪 然 泣 下 而 悲 且 咽 也 整 衣 莊 誦 之 
T51n2072_001:0127a03	終卷。亟拜亟請梓焉。梓既成。道其始末如此。	終 卷 亟 拜 亟 請 梓 焉 梓 既 成 道 其 始 末 如 此 
T51n2072_001:0127a04	萬曆十二年夏日　　　杭沙門袾宏識	萬 曆 十 二 年 夏 日 杭 沙 門 袾 宏 識 
T51n2072_001:0127a06	往生集目錄	往 生 集 目 錄 
T51n2072_001:0127a08	第一卷	第 一 卷 
T51n2072_001:0127a09	沙門往生類	沙 門 往 生 類 
T51n2072_001:0127a10	第二卷	第 二 卷 
T51n2072_001:0127a11	王臣往生類	王 臣 往 生 類 
T51n2072_001:0127a12	處士往生類	處 士 往 生 類 
T51n2072_001:0127a13	尼僧往生類	尼 僧 往 生 類 
T51n2072_001:0127a14	婦女往生類	婦 女 往 生 類 
T51n2072_001:0127a15	惡人往生類	惡 人 往 生 類 
T51n2072_001:0127a16	畜生往生類	畜 生 往 生 類 
T51n2072_001:0127a17	第三卷	第 三 卷 
T51n2072_001:0127a18	諸聖同歸類	諸 聖 同 歸 類 
T51n2072_001:0127a19	生存感應類	生 存 感 應 類 
T51n2072_001:0127a21	往生集卷之一	往 生 集 卷 之 一 
T51n2072_001:0127a23	古杭雲棲寺沙門袾宏輯	古 杭 雲 棲 寺 沙 門 袾 宏 輯 
T51n2072_001:0127a24	沙門往生類	沙 門 往 生 類 
T51n2072_001:0127a25	遠祖師	遠 祖 師 
T51n2072_001:0127a26	晉慧遠。雁門樓煩人。博綜六經。尤善莊老。聞	晉 慧 遠 雁 門 樓 煩 人 博 綜 六 經 尤 善 莊 老 聞 
T51n2072_001:0127a27	安法師講般若經。豁然大悟。因剃染事之。太	安 法 師 講 般 若 經 豁 然 大 悟 因 剃 染 事 之 太 
T51n2072_001:0127a28	元六年過潯陽。見廬山閒曠。可以息心。遂感	元 六 年 過 潯 陽 見 廬 山 閒 曠 可 以 息 心 遂 感 
T51n2072_001:0127a29	山神現夢。一夕雷雨。林木自至。刺史桓伊。乃	山 神 現 夢 一 夕 雷 雨 林 木 自 至 刺 史 桓 伊 乃 
T51n2072_001:0127b01	為建殿。名曰神運。以慧永先住西林。故遠所	為 建 殿 名 曰 神 運 以 慧 永 先 住 西 林 故 遠 所 
T51n2072_001:0127b02	居號東林焉。遠住東林。三十年跡不入俗。剋	居 號 東 林 焉 遠 住 東 林 三 十 年 跡 不 入 俗 剋 
T51n2072_001:0127b03	志西方。高僧鉅儒。凡百四十人。共為淨社。蓮	志 西 方 高 僧 鉅 儒 凡 百 四 十 人 共 為 淨 社 蓮 
T51n2072_001:0127b04	漏六時禪誦不輟。澄心繫想。三覩聖相而沈	漏 六 時 禪 誦 不 輟 澄 心 繫 想 三 覩 聖 相 而 沈 
T51n2072_001:0127b05	厚不言。後十九年七月晦夕。於般若臺。方從	厚 不 言 後 十 九 年 七 月 晦 夕 於 般 若 臺 方 從 
T51n2072_001:0127b06	定起。見阿彌陀佛身滿虛空。圓光之中。無量	定 起 見 阿 彌 陀 佛 身 滿 虛 空 圓 光 之 中 無 量 
T51n2072_001:0127b07	化佛。觀音勢至。左右侍立。又見水流光明。分	化 佛 觀 音 勢 至 左 右 侍 立 又 見 水 流 光 明 分 
T51n2072_001:0127b08	十四支。洄注上下。演說妙法。佛言。我以本願	十 四 支 洄 注 上 下 演 說 妙 法 佛 言 我 以 本 願 
T51n2072_001:0127b09	力故。來安慰汝。汝七日後。當生我國。又見	力 故 來 安 慰 汝 汝 七 日 後 當 生 我 國 又 見 
T51n2072_001:0127b10	佛陀耶舍。慧持。慧永。劉遺民。在佛之側。揖	佛 陀 耶 舍 慧 持 慧 永 劉 遺 民 在 佛 之 側 揖 
T51n2072_001:0127b11	曰。師志在先。何來之晚耶。既知時至。謂門人	曰 師 志 在 先 何 來 之 晚 耶 既 知 時 至 謂 門 人 
T51n2072_001:0127b12	曰。吾始居此三覩聖相。今復再見。當生淨土	曰 吾 始 居 此 三 覩 聖 相 今 復 再 見 當 生 淨 土 
T51n2072_001:0127b13	必矣。至期端坐入寂。時義熙十二年八月六	必 矣 至 期 端 坐 入 寂 時 義 熙 十 二 年 八 月 六 
T51n2072_001:0127b14	日也。	日 也 
T51n2072_001:0127b15	贊曰。晉以前。淨土之旨。雖聞於震旦。而弘闡	贊 曰 晉 以 前 淨 土 之 旨 雖 聞 於 震 旦 而 弘 闡 
T51n2072_001:0127b16	力行。俾家喻戶曉。則自遠師始。故萬代而下。	力 行 俾 家 喻 戶 曉 則 自 遠 師 始 故 萬 代 而 下 
T51n2072_001:0127b17	淨業弟子。推師為始祖。可謂。釋迦再說西方。	淨 業 弟 子 推 師 為 始 祖 可 謂 釋 迦 再 說 西 方 
T51n2072_001:0127b18	彌陀現身東土者也。厥功顧不偉歟。予昔遊	彌 陀 現 身 東 土 者 也 厥 功 顧 不 偉 歟 予 昔 遊 
T51n2072_001:0127b19	廬山。酌虎溪之泉。瞻三咲之堂。徘徊十八賢	廬 山 酌 虎 溪 之 泉 瞻 三 咲 之 堂 徘 徊 十 八 賢 
T51n2072_001:0127b20	之遺跡。見其規模弘遠。足稱萬僧之居。而殿	之 遺 跡 見 其 規 模 弘 遠 足 稱 萬 僧 之 居 而 殿 
T51n2072_001:0127b21	閣塵埃。鍾鼓閴寂。寥寥然戶異其扃。室殊其	閣 塵 埃 鍾 鼓 閴 寂 寥 寥 然 戶 異 其 扃 室 殊 其 
T51n2072_001:0127b22	爨矣。哲人云亡。芳躅無繼。嗟夫。	爨 矣 哲 人 云 亡 芳 躅 無 繼 嗟 夫 
T51n2072_001:0127b23	慧永	慧 永 
T51n2072_001:0127b24	晉慧永。河內人。十二出家。既而與遠公。同依	晉 慧 永 河 內 人 十 二 出 家 既 而 與 遠 公 同 依 
T51n2072_001:0127b25	安法師。太元初。駐錫廬山。刺史陶範。捨宅為	安 法 師 太 元 初 駐 錫 廬 山 刺 史 陶 範 捨 宅 為 
T51n2072_001:0127b26	西林以居之。絕志塵囂。標心安養。後義熙十	西 林 以 居 之 絕 志 塵 囂 標 心 安 養 後 義 熙 十 
T51n2072_001:0127b27	年示疾。忽斂衣求屣欲起。眾驚問。答曰。佛	年 示 疾 忽 斂 衣 求 屣 欲 起 眾 驚 問 答 曰 佛 
T51n2072_001:0127b28	來迎我。言訖而化。異香七日方滅。唐玄宗。追	來 迎 我 言 訖 而 化 異 香 七 日 方 滅 唐 玄 宗 追 
T51n2072_001:0127b29	諡覺寂大師。	諡 覺 寂 大 師 
T51n2072_001:0127c01	贊曰。永初入道。與遠師伯仲。而創淨社。以為	贊 曰 永 初 入 道 與 遠 師 伯 仲 而 創 淨 社 以 為 
T51n2072_001:0127c02	萬世法。亦遠祖而永宗矣。至於命終之際。見	萬 世 法 亦 遠 祖 而 永 宗 矣 至 於 命 終 之 際 見 
T51n2072_001:0127c03	佛來迎。先後如出一輒。證往生之瑞。當以二	佛 來 迎 先 後 如 出 一 輒 證 往 生 之 瑞 當 以 二 
T51n2072_001:0127c04	師為準則焉。	師 為 準 則 焉 
T51n2072_001:0127c05	曇順	曇 順 
T51n2072_001:0127c06	晉曇順。黃龍人。幼從羅什法師。講釋群經。什	晉 曇 順 黃 龍 人 幼 從 羅 什 法 師 講 釋 群 經 什 
T51n2072_001:0127c07	歎曰。此子奇器也。後入廬山修淨業。時寧蠻	歎 曰 此 子 奇 器 也 後 入 廬 山 修 淨 業 時 寧 蠻 
T51n2072_001:0127c08	校尉劉遵孝。剏寺江陵。延順經始。盛弘念佛	校 尉 劉 遵 孝 剏 寺 江 陵 延 順 經 始 盛 弘 念 佛 
T51n2072_001:0127c09	三昧。宋元嘉二年。別眾坐逝。異香滿室焉。	三 昧 宋 元 嘉 二 年 別 眾 坐 逝 異 香 滿 室 焉 
T51n2072_001:0127c10	僧叡	僧 叡 
T51n2072_001:0127c11	晉僧叡。冀州人。遊學諸方。遠歷天竺。還關	晉 僧 叡 冀 州 人 遊 學 諸 方 遠 歷 天 竺 還 關 
T51n2072_001:0127c12	中。從羅什法師。稟受經義。後預廬山蓮社。宋	中 從 羅 什 法 師 稟 受 經 義 後 預 廬 山 蓮 社 宋 
T51n2072_001:0127c13	元嘉十六年。忽告眾曰。吾將行矣。面西合掌	元 嘉 十 六 年 忽 告 眾 曰 吾 將 行 矣 面 西 合 掌 
T51n2072_001:0127c14	而化。眾見叡榻前一金蓮花。倏爾而隱。五色	而 化 眾 見 叡 榻 前 一 金 蓮 花 倏 爾 而 隱 五 色 
T51n2072_001:0127c15	香煙。從其房出。	香 煙 從 其 房 出 
T51n2072_001:0127c16	曇恒	曇 恒 
T51n2072_001:0127c17	晉曇恒。河東人。童孺依遠公出家。內外典籍。	晉 曇 恒 河 東 人 童 孺 依 遠 公 出 家 內 外 典 籍 
T51n2072_001:0127c18	無不通貫。自入廬山。專志念佛。義熙十四年。	無 不 通 貫 自 入 廬 山 專 志 念 佛 義 熙 十 四 年 
T51n2072_001:0127c19	端坐合掌。厲聲念佛而化。	端 坐 合 掌 厲 聲 念 佛 而 化 
T51n2072_001:0127c20	道昞	道 昞 
T51n2072_001:0127c21	晉道昞。頴川人。幼師遠公。通經律。言與行	晉 道 昞 頴 川 人 幼 師 遠 公 通 經 律 言 與 行 
T51n2072_001:0127c22	合。念佛三昧。究心無間。義熙十四年。豫章太	合 念佛三昧 究 心 無 間 義 熙 十 四 年 豫 章 太 
T51n2072_001:0127c23	守王虔。入山謁敬。請紹遠師之席。眾咸宗仰。	守 王 虔 入 山 謁 敬 請 紹 遠 師 之 席 眾 咸 宗 仰 
T51n2072_001:0127c24	元嘉十二年。集眾念佛。就座而化。	元 嘉 十 二 年 集 眾 念 佛 就 座 而 化 
T51n2072_001:0127c25	贊曰。言行合一。所謂心口二俱念佛者也。聽	贊 曰 言 行 合 一 所 謂 心 口 二 俱 念 佛 者 也 聽 
T51n2072_001:0127c26	其言則是。稽其行則非。而欲冀往生。將誰	其 言 則 是 稽 其 行 則 非 而 欲 冀 往 生 將 誰 
T51n2072_001:0127c27	欺乎。	欺 乎 
T51n2072_001:0127c28	曇詵	曇 詵 
T51n2072_001:0127c29	晉曇詵。廣陵人。幼師遠公。勤修淨業。兼善講	晉 曇 詵 廣 陵 人 幼 師 遠 公 勤 修 淨 業 兼 善 講 
T51n2072_001:0128a01	說。註維摩經行於世。元嘉十七年。趺坐念佛	說 註 維 摩 經 行 於 世 元 嘉 十 七 年 趺 坐 念 佛 
T51n2072_001:0128a02	而逝。	而 逝 
T51n2072_001:0128a03	道敬	道 敬 
T51n2072_001:0128a04	晉道敬。瑯琊人。祖凝之刺江州。因從遠公出	晉 道 敬 瑯 琊 人 祖 凝 之 刺 江 州 因 從 遠 公 出 
T51n2072_001:0128a05	家年十七。博通經論。日記萬言。篤志念佛。蚤	家 年 十 七 博 通 經 論 日 記 萬 言 篤 志 念 佛 蚤 
T51n2072_001:0128a06	夜弗替。宋永初元年。謂眾曰。先師見命。吾其	夜 弗 替 宋 永 初 元 年 謂 眾 曰 先 師 見 命 吾 其 
T51n2072_001:0128a07	行矣。端坐唱佛而化。眾見光明滿室。彌時方	行 矣 端 坐 唱 佛 而 化 眾 見 光 明 滿 室 彌 時 方 
T51n2072_001:0128a08	滅。	滅 
T51n2072_001:0128a09	贊曰。冲年高才。鮮不自恃。而篤志念佛。非宿	贊 曰 冲 年 高 才 鮮 不 自 恃 而 篤 志 念 佛 非 宿 
T51n2072_001:0128a10	植淨因者乎。今沙彌略涉經論。我慢放逸。白	植 淨 因 者 乎 今 沙 彌 略 涉 經 論 我 慢 放 逸 白 
T51n2072_001:0128a11	首而無歸。不得已而談西方晚矣。	首 而 無 歸 不 得 已 而 談 西 方 晚 矣 
T51n2072_001:0128a12	佛馱跋陀羅	佛 馱 跋 陀 羅 
T51n2072_001:0128a13	晉佛馱跋陀羅。此云覺賢。迦維衛國人。甘露	晉 佛 馱 跋 陀 羅 此 云 覺 賢 迦 維 衛 國 人 甘 露 
T51n2072_001:0128a14	飯王之裔也。年十六博學群經。深達禪律。姚	飯 王 之 裔 也 年 十 六 博 學 群 經 深 達 禪 律 姚 
T51n2072_001:0128a15	秦沙門智嚴至西域。要師達長安。演法東宮。	秦 沙 門 智 嚴 至 西 域 要 師 達 長 安 演 法 東 宮 
T51n2072_001:0128a16	與羅什法師上下論議。後以懸指海舶遭擯。	與 羅 什 法 師 上 下 論 議 後 以 懸 指 海 舶 遭 擯 
T51n2072_001:0128a17	入廬山預遠公蓮社。譯出觀佛三昧諸經。宋	入 廬 山 預 遠 公 蓮 社 譯 出 觀 佛 三 昧 諸 經 宋 
T51n2072_001:0128a18	元嘉六年。念佛而化。	元 嘉 六 年 念 佛 而 化 
T51n2072_001:0128a19	僧濟	僧 濟 
T51n2072_001:0128a20	晉僧濟。入廬山從遠公學。達嘆曰。紹隆大法。	晉 僧 濟 入 廬 山 從 遠 公 學 達 嘆 曰 紹 隆 大 法 
T51n2072_001:0128a21	其在爾乎。後疾篤。誠期淨土。遠遺燭一枝曰。	其 在 爾 乎 後 疾 篤 誠 期 淨 土 遠 遺 燭 一 枝 曰 
T51n2072_001:0128a22	汝可運心安養。濟執燭憑几。停想無亂。又集	汝 可 運 心 安 養 濟 執 燭 憑 几 停 想 無 亂 又 集 
T51n2072_001:0128a23	眾諷淨土經。五更濟以燭授弟子元弼。令隨	眾 諷 淨 土 經 五 更 濟 以 燭 授 弟 子 元 弼 令 隨 
T51n2072_001:0128a24	眾行道。頃之。覺自秉一燭。乘空而行。見阿彌	眾 行 道 頃 之 覺 自 秉 一 燭 乘 空 而 行 見 阿 彌 
T51n2072_001:0128a25	陀佛。接置於掌。遍至十方。歘然而覺。且悲且	陀 佛 接 置 於 掌 遍 至 十 方 歘 然 而 覺 且 悲 且 
T51n2072_001:0128a26	慰。自省四大。了無疾苦。明夕。忽起立。目逆	慰 自 省 四 大 了 無 疾 苦 明 夕 忽 起 立 目 逆 
T51n2072_001:0128a27	虛空。如有所見。須臾還臥。容色愉悅。謂傍人	虛 空 如 有 所 見 須 臾 還 臥 容 色 愉 悅 謂 傍 人 
T51n2072_001:0128a28	曰。吾行矣。右脅而逝。時方炎暑。三日而體不	曰 吾 行 矣 右 脅 而 逝 時 方 炎 暑 三 日 而 體 不 
T51n2072_001:0128a29	變。異香郁然。	變 異 香 郁 然 
T51n2072_001:0128b01	贊曰。濟以聖師指示。而生淨土。然則臨終助	贊 曰 濟 以 聖 師 指 示 而 生 淨 土 然 則 臨 終 助 
T51n2072_001:0128b02	念。孰曰無功乎。而留龕溽暑。體發異香。梵行	念 孰 曰 無 功 乎 而 留 龕 溽 暑 體 發 異 香 梵 行 
T51n2072_001:0128b03	之精堅驗矣。	之 精 堅 驗 矣 
T51n2072_001:0128b04	慧恭	慧 恭 
T51n2072_001:0128b05	晉慧恭。豫章酆城人。與慧蘭僧光等同學。蘭	晉 慧 恭 豫 章 酆 城 人 與 慧 蘭 僧 光 等 同 學 蘭 
T51n2072_001:0128b06	光繫念淨土。臨終皆有奇應。又五年恭病篤。	光 繫 念 淨 土 臨 終 皆 有 奇 應 又 五 年 恭 病 篤 
T51n2072_001:0128b07	雨淚叩頭。誓心安養。念不少間。見阿彌陀佛。	雨 淚 叩 頭 誓 心 安 養 念 不 少 間 見 阿 彌 陀 佛 
T51n2072_001:0128b08	以金臺前迎。恭乘其上。又見蘭等。於臺上光	以 金 臺 前 迎 恭 乘 其 上 又 見 蘭 等 於 臺 上 光 
T51n2072_001:0128b09	明中。告曰。長老受生已居上品。吾等不勝喜	明 中 告 曰 長 老 受 生 已 居 上 品 吾 等 不 勝 喜 
T51n2072_001:0128b10	慰。恨五濁淹延。相依之晚耳。恭欣然奮迅而	慰 恨 五 濁 淹 延 相 依 之 晚 耳 恭 欣 然 奮 迅 而 
T51n2072_001:0128b11	逝。	逝 
T51n2072_001:0128b12	慧虔	慧 虔 
T51n2072_001:0128b13	晉慧虔。少出家戒行精確。義熙年中。投山陰	晉 慧 虔 少 出 家 戒 行 精 確 義 熙 年 中 投 山 陰 
T51n2072_001:0128b14	嘉祥寺。苦身率眾後寢疾。屬想安養。祈誠觀	嘉 祥 寺 苦 身 率 眾 後 寢 疾 屬 想 安 養 祈 誠 觀 
T51n2072_001:0128b15	音。北寺有淨嚴尼者。宿德篤行。夜夢觀音從	音 北 寺 有 淨 嚴 尼 者 宿 德 篤 行 夜 夢 觀 音 從 
T51n2072_001:0128b16	西郭門入。清輝妙狀。光映日月。幢幡華蓋。七	西 郭 門 入 清 輝 妙 狀 光 映 日 月 幢 幡 華 蓋 七 
T51n2072_001:0128b17	寶莊嚴。尼驚異作禮。問大士何往。答云。往嘉	寶 莊 嚴 尼 驚 異 作 禮 問 大 士 何 往 答 云 往 嘉 
T51n2072_001:0128b18	祥迎虔公耳。虔疾雖困。神色如常侍者皆聞	祥 迎 虔 公 耳 虔 疾 雖 困 神 色 如 常 侍 者 皆 聞 
T51n2072_001:0128b19	異香。泊然而化。	異 香 泊 然 而 化 
T51n2072_001:0128b20	贊曰。臨終見佛。或疑純是自己想心。今他人	贊 曰 臨 終 見 佛 或 疑 純 是 自 己 想 心 今 他 人 
T51n2072_001:0128b21	亦見之何也。當知感應道交。不可思議。慎哉	亦 見 之 何 也 當 知 感 應 道 交 不可思議 慎 哉 
T51n2072_001:0128b22	言乎。	言 乎 
T51n2072_001:0128b23	僧顯	僧 顯 
T51n2072_001:0128b24	晉竺僧顯。南遊江左。遇疾屬緣西方。虔苦不	晉 竺 僧 顯 南 遊 江 左 遇 疾 屬 緣 西 方 虔 苦 不 
T51n2072_001:0128b25	替。見阿彌陀佛。光照己身。所患皆愈。即起沐	替 見 阿 彌 陀 佛 光 照 己 身 所 患 皆 愈 即 起 沐 
T51n2072_001:0128b26	浴。為傍人說所見。并陳誡因果。辭意剴切。明	浴 為 傍 人 說 所 見 并 陳 誡 因 果 辭 意 剴 切 明 
T51n2072_001:0128b27	晨端坐而化。	晨 端 坐 而 化 
T51n2072_001:0128b28	贊曰。懈怠比丘。遇有疾則曰。吾力且憊。待平	贊 曰 懈 怠 比 丘 遇 有 疾 則 曰 吾 力 且 憊 待 平 
T51n2072_001:0128b29	復已。然後念佛。不知念佛。為度老病。有疾念	復 已 然 後 念 佛 不 知 念 佛 為 度 老 病 有 疾 念 
T51n2072_001:0128c01	佛。今正是時。而顯以念力。既愈其疾。復得往	佛 今正是時 而 顯 以 念 力 既 愈 其 疾 復 得 往 
T51n2072_001:0128c02	生。賢哉。	生 賢 哉 
T51n2072_001:0128c03	慧通	慧 通 
T51n2072_001:0128c04	晉慧通。從涼州慧紹禪師。咨受禪法。祈心安	晉 慧 通 從 涼 州 慧 紹 禪 師 咨 受 禪 法 祈 心 安 
T51n2072_001:0128c05	養。微疾。於禪定中。見一人形甚端嚴。語通	養 微 疾 於 禪 定 中 見 一 人 形 甚 端 嚴 語 通 
T51n2072_001:0128c06	云。良時至矣。俄而見阿彌陀佛光明燁然。定	云 良 時 至 矣 俄 而 見 阿 彌 陀 佛 光 明 燁 然 定 
T51n2072_001:0128c07	起以告同學。安然而化。異香三日乃歇。	起 以 告 同 學 安 然 而 化 異 香 三 日 乃 歇 
T51n2072_001:0128c08	法琳	法 琳 
T51n2072_001:0128c09	晉法琳。臨卭人。專精戒品。止成都靈建寺	晉 法 琳 臨 卭 人 專 精 戒 品 止 成 都 靈 建 寺 
T51n2072_001:0128c10	修淨業。常持彌陀觀音二經。轉誦之時。輒見	修 淨 業 常 持 彌 陀 觀 音 二 經 轉 誦 之 時 輒 見 
T51n2072_001:0128c11	一偉貌沙門。屹然在前。建武二年寢疾。注念	一 偉 貌 沙 門 屹 然 在 前 建 武 二 年 寢 疾 注 念 
T51n2072_001:0128c12	西方。禮懺不息。見諸賢聖皆集空中。合掌而	西 方 禮 懺 不 息 見 諸 賢 聖 皆 集 空 中 合 掌 而 
T51n2072_001:0128c13	逝。	逝 
T51n2072_001:0128c14	贊曰。琳誦經有沙門現前。蓋誠感耳無足為	贊 曰 琳 誦 經 有 沙 門 現 前 蓋 誠 感 耳 無 足 為 
T51n2072_001:0128c15	異。其生西方。不係乎是。修淨業者。毋取相希	異 其 生 西 方 不 係 乎 是 修 淨 業 者 毋 取 相 希 
T51n2072_001:0128c16	慕焉。	慕 焉 
T51n2072_001:0128c17	曇鑒	曇 鑒 
T51n2072_001:0128c18	宋曇鑒。平生片善。迴向西方。誓願見佛。一日	宋 曇 鑒 平 生 片 善 迴 向 西 方 誓 願 見 佛 一 日 
T51n2072_001:0128c19	定中。見阿彌陀佛。水洒其面。曰滌汝塵垢。浴	定 中 見 阿 彌 陀 佛 水 洒 其 面 曰 滌 汝 塵 垢 浴 
T51n2072_001:0128c20	汝心念。及汝身口。皆悉嚴淨。又於瓶中。出蓮	汝 心 念 及 汝 身 口 皆 悉 嚴 淨 又 於 瓶 中 出 蓮 
T51n2072_001:0128c21	花一枝授之。定起乃與寺僧敘別。夜漸深。獨	花 一 枝 授 之 定 起 乃 與 寺 僧 敘 別 夜 漸 深 獨 
T51n2072_001:0128c22	步廊下念佛。至五鼓。其聲彌厲及明。弟子	步 廊 下 念 佛 至 五 鼓 其 聲 彌 厲 及 明 弟 子 
T51n2072_001:0128c23	依常問訊。趺坐不動。就而視之。逝矣。	依 常 問 訊 趺 坐 不 動 就 而 視 之 逝 矣 
T51n2072_001:0128c24	僧柔	僧 柔 
T51n2072_001:0128c25	齊僧柔。學方等諸經。惟以淨業為懷。卒之日	齊 僧 柔 學 方 等 諸 經 惟 以 淨 業 為 懷 卒 之 日 
T51n2072_001:0128c26	見化佛千數。室內外俱聞異香。西向敬禮而	見 化 佛 千 數 室 內 外 俱 聞 異 香 西 向 敬 禮 而 
T51n2072_001:0128c27	化。	化 
T51n2072_001:0128c28	慧光	慧 光 
T51n2072_001:0128c29	齊慧光。居洛陽。著華嚴涅槃十地等疏。妙盡	齊 慧 光 居 洛 陽 著 華 嚴 涅 槃 十 地 等 疏 妙 盡 
T51n2072_001:0129a01	權實之旨。一日有疾。見天眾來迎。光曰。我所	權 實 之 旨 一 日 有 疾 見 天 眾 來 迎 光 曰 我 所 
