T45n1858_001:0150a22	肇論序	肇 論 序 
T45n1858_001:0151a17	返，逆俗故言淡而無味。緣使中人未分於存	返 逆 俗 故 言 淡 而 無 味 緣 使 中 人 未 分 於 存 
T45n1858_001:0151a18	亡，下士撫掌而弗顧，近而不可知者，其唯	亡 下 士 撫 掌 而 弗 顧 近 而 不 可 知 者 其 唯 
T45n1858_001:0151a19	物性乎！然不能自已，聊復寄心於動靜之際，	物 性 乎 然 不 能 自 已 聊 復 寄 心 於 動 靜 之 際 
T45n1858_001:0151a20	豈曰必然！試論之曰：《道行》云：「諸法本無所從	豈 曰 必 然 試 論 之 曰 道 行 云 諸 法 本 無 所 從 
T45n1858_001:0151a21	來，去亦無所至。」《中觀》云：「觀方知彼去，去者不	來 去 亦 無 所 至 中 觀 云 觀 方 知 彼 去 去 者 不 
T45n1858_001:0151a22	至方。」斯皆即動而求靜，以知物不遷，明矣。夫	至 方 斯 皆 即 動 而 求 靜 以 知 物 不 遷 明 矣 夫 
T45n1858_001:0151a23	人之所謂動者，以昔物不至今，故曰動而非	人 之 所 謂 動 者 以 昔 物 不 至 今 故 曰 動 而 非 
T45n1858_001:0151a24	靜。我之所謂靜者，亦以昔物不至今，故曰靜	靜 我 之 所 謂 靜 者 亦 以 昔 物 不 至 今 故 曰 靜 
T45n1858_001:0151a25	而非動。動而非靜，以其不來；靜而非動。以其	而 非 動 動 而 非 靜 以 其 不 來 靜 而 非 動 以 其 
T45n1858_001:0151a26	不去。然則所造未嘗異，所見未嘗同。逆之所	不 去 然 則 所 造 未 嘗 異 所 見 未 嘗 同 逆 之 所 
T45n1858_001:0151a27	謂塞，順之所謂通。苟得其道，復何滯哉！傷夫	謂 塞 順 之 所 謂 通 苟 得 其 道 復 何 滯 哉 傷 夫 
T45n1858_001:0151a28	人情之惑也久矣，目對真而莫覺。既知往物	人 情 之 惑 也 久 矣 目 對 真 而 莫 覺 既 知 往 物 
T45n1858_001:0151a29	而不來，而謂今物而可往。往物既不來，今物	而 不 來 而 謂 今 物 而 可 往 往 物 既 不 來 今 物 
T45n1858_001:0151b01	何所往？何則？求向物於向，於向未甞無；責向	何 所 往 何 則 求 向 物 於 向 於 向 未 甞 無 責 向 
T45n1858_001:0151b02	物於今，於今未甞有。於今未嘗有，以明物不	物 於 今 於 今 未 甞 有 於 今 未 嘗 有 以 明 物 不 
T45n1858_001:0151b03	來；於向未甞無，故知物不去。覆而求今，今亦	來 於 向 未 甞 無 故 知 物 不 去 覆 而 求 今 今 亦 
T45n1858_001:0151b04	不往。是謂昔物自在昔，不從今以至昔；今物	不 往 是 謂 昔 物 自 在 昔 不 從 今 以 至 昔 今 物 
T45n1858_001:0151b05	自在今，不從昔以至今。故仲尼曰：「回也見	自 在 今 不 從 昔 以 至 今 故 仲 尼 曰 回 也 見 
T45n1858_001:0151b06	新，交臂非故。」如此，則物不相往來，明矣。既無	新 交 臂 非 故 如 此 則 物 不 相 往 來 明 矣 既 無 
T45n1858_001:0151b07	往返之微朕，有何物而可動乎？然則旋嵐偃	往 返 之 微 朕 有 何 物 而 可 動 乎 然 則 旋 嵐 偃 
T45n1858_001:0151b08	嶽而常靜，江河兢注而不流，野馬飄鼓而不	嶽 而 常 靜 江 河 兢 注 而 不 流 野 馬 飄 鼓 而 不 
T45n1858_001:0151b09	動，日月歷天而不周。復何怪哉！噫！聖人有言	動 日 月 歷 天 而 不 周 復 何 怪 哉 噫 聖 人 有 言 
T45n1858_001:0151b10	曰：「人命逝速，速於川流。」是以聲聞悟非常以	曰 人 命 逝 速 速 於 川 流 是 以 聲 聞 悟 非 常 以 
T45n1858_001:0151b11	成道，緣覺覺緣離以即真。苟萬動而非化，豈	成 道 緣 覺 覺 緣 離 以 即 真 苟 萬 動 而 非 化 豈 
T45n1858_001:0151b12	尋化以階道？覆尋聖言，微隱難測。若動而靜，	尋 化 以 階 道 覆 尋 聖 言 微 隱 難 測 若 動 而 靜 
T45n1858_001:0151b13	似去而留。可以神會，難以事求。是以言去	似 去 而 留 可 以 神 會 難 以 事 求 是 以 言 去 
T45n1858_001:0151b14	不必去，閑人之常想；稱住不必住，釋人之所	不 必 去 閑 人 之 常 想 稱 住 不 必 住 釋 人 之 所 
T45n1858_001:0151b15	謂往耳。豈曰去而可遣、住而可留也。故《成具》	謂 往 耳 豈 曰 去 而 可 遣 住 而 可 留 也 故 成 具 
T45n1858_001:0151b16	云：「菩薩處計常之中，而演非常之教。」《摩訶衍	云 菩 薩 處 計 常 之 中 而 演 非 常 之 教 摩 訶 衍 
T45n1858_001:0151b17	論》云：「諸法不動，無去來處。」斯皆導達群方，兩	論 云 諸 法 不 動 無 去 來 處 斯 皆 導 達 群 方 兩 
T45n1858_001:0151b18	言一會，豈曰文殊而乖其致哉？是以言常而	言 一 會 豈 曰 文 殊 而 乖 其 致 哉 是 以 言 常 而 
T45n1858_001:0151b19	不住，稱去而不遷。不遷，故雖往而常靜；不	不 住 稱 去 而 不 遷 不 遷 故 雖 往 而 常 靜 不 
T45n1858_001:0151b20	住，故雖靜而常往。雖靜而常往，故往而弗遷；	住 故 雖 靜 而 常 往 雖 靜 而 常 往 故 往 而 弗 遷 
T45n1858_001:0151b21	雖往而常靜，故靜而弗留矣。然則莊生之所	雖 往 而 常 靜 故 靜 而 弗 留 矣 然 則 莊 生 之 所 
T45n1858_001:0151b22	以藏山，仲尼之所以臨川，斯皆感往者之難	以 藏 山 仲 尼 之 所 以 臨 川 斯 皆 感 往 者 之 難 
T45n1858_001:0151b23	留，豈曰排今而可往？是以觀聖人心者，不同	留 豈 曰 排 今 而 可 往 是 以 觀 聖 人 心 者 不 同 
T45n1858_001:0151b24	人之所見，得也。何者？人則謂少壯同體、百齡	人 之 所 見 得 也 何 者 人 則 謂 少 壯 同 體 百 齡 
T45n1858_001:0151b25	一質，徒知年往，不覺形隨。是以梵志出家，白	一 質 徒 知 年 往 不 覺 形 隨 是 以 梵 志 出 家 白 
T45n1858_001:0151b26	首而歸。隣人見之曰：「昔人尚存乎？」梵志曰：「吾	首 而 歸 隣 人 見 之 曰 昔 人 尚 存 乎 梵 志 曰 吾 
T45n1858_001:0151b27	猶昔人，非昔人也。」隣人皆愕然，非其言也。所	猶 昔 人 非 昔 人 也 隣 人 皆 愕 然 非 其 言 也 所 
T45n1858_001:0151b28	謂有力者負之而趨，昧者不覺。其斯之謂歟！	謂 有 力 者 負 之 而 趨 昧 者 不 覺 其 斯 之 謂 歟 
T45n1858_001:0151b29	是以如來因群情之所滯，則方言以辯惑，乘	是 以 如 來 因 群 情 之 所 滯 則 方 言 以 辯 惑 乘 
T45n1858_001:0151c01	莫二之真心，吐不一之殊教，乖而不可異者，	莫 二 之 真 心 吐 不 一 之 殊 教 乖 而 不 可 異 者 
T45n1858_001:0151c02	其唯聖言乎！故談真有不遷之稱，導俗有流	其 唯 聖 言 乎 故 談 真 有 不 遷 之 稱 導 俗 有 流 
T45n1858_001:0151c03	動之說。雖復千途異唱，會歸同致矣。而徵	動 之 說 雖 復 千 途 異 唱 會 歸 同 致 矣 而 徵 
T45n1858_001:0151c04	文者聞不遷，則謂昔物不至今；聆流動者，而	文 者 聞 不 遷 則 謂 昔 物 不 至 今 聆 流 動 者 而 
T45n1858_001:0151c05	謂今物可至昔。既曰古今，而欲遷之者，何	謂 今 物 可 至 昔 既 曰 古 今 而 欲 遷 之 者 何 
T45n1858_001:0151c06	也？是以言往不必往，古今常存，以其不動；	也 是 以 言 往 不 必 往 古 今 常 存 以 其 不 動 
T45n1858_001:0151c07	稱去不必去，謂不從今至古，以其不來。不來，	稱 去 不 必 去 謂 不 從 今 至 古 以 其 不 來 不 來 
T45n1858_001:0151c08	故不馳騁於古今；不動，故各性住於一世。然	故 不 馳 騁 於 古 今 不 動 故 各 性 住 於 一 世 然 
T45n1858_001:0151c09	則群籍殊文、百家異說，苟得其會，豈殊文之	則 群 籍 殊 文 百 家 異 說 苟 得 其 會 豈 殊 文 之 
T45n1858_001:0151c10	能惑哉？是以人之所謂住，我則言其去；人之	能 惑 哉 是 以 人 之 所 謂 住 我 則 言 其 去 人 之 
T45n1858_001:0151c11	所謂去，我則言其住。然則去住雖殊，其致一	所 謂 去 我 則 言 其 住 然 則 去 住 雖 殊 其 致 一 
T45n1858_001:0151c12	也。故經云：「正言似反。誰當信者？」斯言有由	也 故 經 云 正 言 似 反 誰 當 信 者 斯 言 有 由 
T45n1858_001:0151c13	矣。何者？人則求古於今，謂其不住。吾則求今	矣 何 者 人 則 求 古 於 今 謂 其 不 住 吾 則 求 今 
T45n1858_001:0151c14	於古，知其不去。今若至古，古應有今；古若至	於 古 知 其 不 去 今 若 至 古 古 應 有 今 古 若 至 
T45n1858_001:0151c15	今，今應有古。今而無古，以知不來；古而無	今 今 應 有 古 今 而 無 古 以 知 不 來 古 而 無 
T45n1858_001:0151c16	今，以知不去。若古不至今，今亦不至古，事各	今 以 知 不 去 若 古 不 至 今 今 亦 不 至 古 事 各 
T45n1858_001:0151c17	性住於一世，有何物而可去來？然則四象風	性 住 於 一 世 有 何 物 而 可 去 來 然 則 四 象 風 
T45n1858_001:0151c18	馳、璇璣電捲，得意毫微，雖速而不轉。是以如	馳 璇 璣 電 捲 得 意 毫 微 雖 速 而 不 轉 是 以 如 
T45n1858_001:0151c19	來，功流萬世而常存，道通百劫而彌固。成山	來 功 流 萬 世 而 常 存 道 通 百 劫 而 彌 固 成 山 
T45n1858_001:0151c20	假就於始簣，修途託至於初步，果以功業不	假 就 於 始 簣 修 途 託 至 於 初 步 果 以 功 業 不 
T45n1858_001:0151c21	可朽故也。功業不可朽，故雖在昔而不化，不	可 朽 故 也 功 業 不 可 朽 故 雖 在 昔 而 不 化 不 
T45n1858_001:0151c22	化故不遷。不遷故，則湛然明矣。故經云：「三災	化 故 不 遷 不 遷 故 則 湛 然 明 矣 故 經 云 三 災 
T45n1858_001:0151c23	彌綸而行業湛然。」信其言也。何者？果不俱	彌 綸 而 行 業 湛 然 信 其 言 也 何 者 果 不 俱 
T45n1858_001:0151c24	因，因因而果。因因而果，因不昔滅；果不俱	因 因 因 而 果 因 因 而 果 因 不 昔 滅 果 不 俱 
T45n1858_001:0151c25	因，因不來今。不滅不來，則不遷之致明矣！復	因 因 不 來 今 不 滅 不 來 則 不 遷 之 致 明 矣 復 
T45n1858_001:0151c26	何惑於去留，踟蹰於動靜之間哉？然則乾坤	何 惑 於 去 留 踟 蹰 於 動 靜 之 間 哉 然 則 乾 坤 
T45n1858_001:0151c27	倒覆，無謂不靜；洪流滔天，無謂其動。苟能契	倒 覆 無 謂 不 靜 洪 流 滔 天 無 謂 其 動 苟 能 契 
T45n1858_001:0151c28	神於即物，斯不遠而可知矣！	神 於 即 物 斯 不 遠 而 可 知 矣 
T45n1858_001:0151c29	物不遷論(終)	物 不 遷 論 終 
T45n1858_001:0152a01	不真空論第二	不 真 空 論 第 二 
T45n1858_001:0152a02	夫至虛無生者，蓋是般若玄鑑之妙趣，有物	夫 至 虛 無 生 者 蓋 是 般 若 玄 鑑 之 妙 趣 有 物 
T45n1858_001:0152a03	之宗極者也。自非聖明特達，何能契神於有	之 宗 極 者 也 自 非 聖 明 特 達 何 能 契 神 於 有 
T45n1858_001:0152a04	無之間哉？是以至人通神心於無窮，窮所不	無 之 間 哉 是 以 至 人 通 神 心 於 無 窮 窮 所 不 
T45n1858_001:0152a05	能滯；極耳目於視聽，聲色所不能制者，豈不	能 滯 極 耳 目 於 視 聽 聲 色 所 不 能 制 者 豈 不 
T45n1858_001:0152a06	以其即萬物之自虛，故物不能累其神明者	以 其 即 萬 物 之 自 虛 故 物 不 能 累 其 神 明 者 
T45n1858_001:0152a07	也。是以聖人乘真心而理順，則無滯而不通；	也 是 以 聖 人 乘 真 心 而 理 順 則 無 滯 而 不 通 
T45n1858_001:0152a08	審一氣以觀化，故所遇而順適。無滯而不通，	審 一 氣 以 觀 化 故 所 遇 而 順 適 無 滯 而 不 通 
T45n1858_001:0152a09	故能混雜致湻；所遇而順適，故則觸物而一。	故 能 混 雜 致 湻 所 遇 而 順 適 故 則 觸 物 而 一 
T45n1858_001:0152a10	如此，則萬象雖殊而不能自異。不能自異，故	如 此 則 萬 象 雖 殊 而 不 能 自 異 不 能 自 異 故 
T45n1858_001:0152a11	知象非真象。象非真象故，則雖象而非象。然	知 象 非 真 象 象 非 真 象 故 則 雖 象 而 非 象 然 
T45n1858_001:0152a12	則物我同根、是非一氣，潛微幽隱，殆非群	則 物 我 同 根 是 非 一 氣 潛 微 幽 隱 殆 非 群 
T45n1858_001:0152a13	情之所盡，故頃爾談論，至於虛宗，每有不同。	情 之 所 盡 故 頃 爾 談 論 至 於 虛 宗 每 有 不 同 
T45n1858_001:0152a14	夫以不同而適同，有何物而可同哉？故眾論	夫 以 不 同 而 適 同 有 何 物 而 可 同 哉 故 眾 論 
T45n1858_001:0152a15	競作而性莫同焉。何則？心無者，無心於萬	競 作 而 性 莫 同 焉 何 則 心 無 者 無 心 於 萬 
T45n1858_001:0152a16	物，萬物未嘗無。此得在於神靜，失在於物虛。	物 萬 物 未 嘗 無 此 得 在 於 神 靜 失 在 於 物 虛 
T45n1858_001:0152a17	即色者，明色不自色，故雖色而非色也。夫言	即 色 者 明 色 不 自 色 故 雖 色 而 非 色 也 夫 言 
T45n1858_001:0152a18	色者，但當色即色，豈待色色而後為色哉？此	色 者 但 當 色 即 色 豈 待 色 色 而 後 為 色 哉 此 
T45n1858_001:0152a19	直語色不自色，未領色之非色也。本無者，情	直 語 色 不 自 色 未 領 色 之 非 色 也 本 無 者 情 
T45n1858_001:0152a20	尚於無，多觸言以賓無。故非有，有即無；非	尚 於 無 多 觸 言 以 賓 無 故 非 有 有 即 無 非 
T45n1858_001:0152a21	無，無亦無。尋夫立文之本旨者，直以非有非	無 無 亦 無 尋 夫 立 文 之 本 旨 者 直 以 非 有 非 
T45n1858_001:0152a22	真有，非無非真無耳。何必非有無此有，非無	真 有 非 無 非 真 無 耳 何 必 非 有 無 此 有 非 無 
T45n1858_001:0152a23	無彼無？此直好無之談，豈謂順通事實，即	無 彼 無 此 直 好 無 之 談 豈 謂 順 通 事 實 即 
T45n1858_001:0152a24	物之情哉！夫以物物於物，則所物而可物；以	物 之 情 哉 夫 以 物 物 於 物 則 所 物 而 可 物 以 
T45n1858_001:0152a25	物物非物，故雖物而非物。是以物不即名而	物 物 非 物 故 雖 物 而 非 物 是 以 物 不 即 名 而 
T45n1858_001:0152a26	就實，名不即物而履真。然則真諦獨靜於名	就 實 名 不 即 物 而 履 真 然 則 真 諦 獨 靜 於 名 
T45n1858_001:0152a27	教之外，豈曰文言之能辨哉？然不能杜默，聊	教 之 外 豈 曰 文 言 之 能 辨 哉 然 不 能 杜 默 聊 
T45n1858_001:0152a28	復厝言以擬之。試論之曰：《摩訶衍論》云：「諸法	復 厝 言 以 擬 之 試 論 之 曰 摩 訶 衍 論 云 諸 法 
T45n1858_001:0152a29	亦非有相，亦非無相。」《中論》云：「諸法不有不	亦 非 有 相 亦 非 無 相 中 論 云 諸 法 不 有 不 
T45n1858_001:0152b01	無者，第一真諦也。」尋夫不有不無者，豈謂	無 者 第 一 真 諦 也 尋 夫 不 有 不 無 者 豈 謂 
T45n1858_001:0152b02	滌除萬物、杜塞視聽，寂寥虛豁，然後為真諦	滌 除 萬 物 杜 塞 視 聽 寂 寥 虛 豁 然 後 為 真 諦 
T45n1858_001:0152b03	者乎？誠以即物順通，故物莫之逆；即偽即真，	者 乎 誠 以 即 物 順 通 故 物 莫 之 逆 即 偽 即 真 
T45n1858_001:0152b04	故性莫之易。性莫之易，故雖無而有；物莫之	故 性 莫 之 易 性 莫 之 易 故 雖 無 而 有 物 莫 之 
T45n1858_001:0152b05	逆，故雖有而無。雖有而無，所謂非有；雖無而	逆 故 雖 有 而 無 雖 有 而 無 所 謂 非 有 雖 無 而 
T45n1858_001:0152b06	有，所謂非無。如此，則非無物也，物非真物。	有 所 謂 非 無 如 此 則 非 無 物 也 物 非 真 物 
T45n1858_001:0152b07	物非真物，故於何而可物？故經云：「色之性空，	物 非 真 物 故 於 何 而 可 物 故 經 云 色 之 性 空 
