T46n1928_001:0704c12	指要鈔序	指 要 鈔 序 
T46n1928_001:0705a25	託，荊谿妙解翻隱於時、天台圓宗罔益于物，	託 荊 谿 妙 解 翻 隱 於 時 天 台 圓 宗 罔 益 于 物 
T46n1928_001:0705a26	爰因講次對彼釋之，命為「指要鈔」焉。蓋指介	爰 因 講 次 對 彼 釋 之 命 為 指 要 鈔 焉 蓋 指 介 
T46n1928_001:0705a27	爾之心，為事理解行之要也。聊備諸生溫習，	爾 之 心 為 事 理 解 行 之 要 也 聊 備 諸 生 溫 習 
T46n1928_001:0705a28	敢期達士披詳邪？時大宋景德元年歲在甲	敢 期 達 士 披 詳 邪 時 大 宋 景 德 元 年 歲 在 甲 
T46n1928_001:0705a29	辰正月九日敘。	辰 正 月 九 日 敘 
T46n1928_001:0705b01	鈔曰：此文題目多本不同，或云法華本迹十	鈔 曰 此 文 題 目 多 本 不 同 或 云 法 華 本 迹 十 
T46n1928_001:0705b02	妙不二門，或無本迹二字，有唯云玄文十不	妙 不 二 門 或 無 本 迹 二 字 有 唯 云 玄 文 十 不 
T46n1928_001:0705b03	二門，此或以所通之義、所釋之文而冠於首，	二 門 此 或 以 所 通 之 義 所 釋 之 文 而 冠 於 首 
T46n1928_001:0705b04	蓋不忘其本也，而盡是別錄者私安，取捨由	蓋 不 忘 其 本 也 而 盡 是 別 錄 者 私 安 取 捨 由 
T46n1928_001:0705b05	情無勞苦諍，若十不二門四字，乃作者自立，	情 無 勞 苦 諍 若 十 不 二 門 四 字 乃 作 者 自 立 
T46n1928_001:0705b06	故文云，為實施權則不二而二，開權顯實則	故 文 云 為 實 施 權 則 不 二 而 二 開 權 顯 實 則 
T46n1928_001:0705b07	二而不二，法既教部咸開成妙，故此十門不	二 而 不 二 法 既 教 部 咸 開 成 妙 故 此 十 門 不 
T46n1928_001:0705b08	二為目，須據此文釋其題旨，豈非四時三教	二 為 目 須 據 此 文 釋 其 題 旨 豈 非 四 時 三 教 
T46n1928_001:0705b09	所談，色心乃至受潤無不隔異故皆名二？今	所 談 色 心 乃 至 受 潤 無 不 隔 異 故 皆 名 二 今 
T46n1928_001:0705b10	經開會實理既彰，十異皆融互攝無外咸名	經 開 會 實 理 既 彰 十 異 皆 融 互 攝 無 外 咸 名 
T46n1928_001:0705b11	不二，即以不二當體為門。然亦可云十不二	不 二 即 以 不 二 當 體 為 門 然 亦 可 云 十 不 二 
T46n1928_001:0705b12	為能通，十妙為所通。問：「妙即不二、不二即妙，	為 能 通 十 妙 為 所 通 問 妙 即 不 二 不 二 即 妙 
T46n1928_001:0705b13	俱名俱體，何分能通所通？」答：「今不以麁妙分	俱 名 俱 體 何 分 能 通 所 通 答 今 不 以 麁 妙 分 
T46n1928_001:0705b14	能所，亦不以名體分之，蓋以十妙法相該博，	能 所 亦 不 以 名 體 分 之 蓋 以 十 妙 法 相 該 博 
T46n1928_001:0705b15	學者難入，此文撮要徑顯彼意，乃以略顯廣、	學 者 難 入 此 文 撮 要 徑 顯 彼 意 乃 以 略 顯 廣 
T46n1928_001:0705b16	以易通難，義立能通所通，數至十者，蓋從十	以 易 通 難 義 立 能 通 所 通 數 至 十 者 蓋 從 十 
T46n1928_001:0705b17	妙而立，雖立門對妙互有多少，而不虧本數	妙 而 立 雖 立 門 對 妙 互 有 多 少 而 不 虧 本 數 
T46n1928_001:0705b18	也。此且總明，待至釋文更為點示。」若欲標述	也 此 且 總 明 待 至 釋 文 更 為 點 示 若 欲 標 述 
T46n1928_001:0705b19	作人者，即是荊谿尊者。既是後人錄出，不可	作 人 者 即 是 荊 谿 尊 者 既 是 後 人 錄 出 不 可 
T46n1928_001:0705b20	正斥其諱。釋文為三：初、總敘立意，二、從一者	正 斥 其 諱 釋 文 為 三 初 總 敘 立 意 二 從 一 者 
T46n1928_001:0705b21	去，列門解釋，三、是故十門訖文，結攝，重示此	去 列 門 解 釋 三 是 故 十 門 訖 文 結 攝 重 示 此 
T46n1928_001:0705b22	三即擬三分也。初又四：初、敘前文立述作之	三 即 擬 三 分 也 初 又 四 初 敘 前 文 立 述 作 之 
T46n1928_001:0705b23	意，又二：初、敘前，又二：初、敘教廣二：初、十妙	意 又 二 初 敘 前 又 二 初 敘 教 廣 二 初 十 妙 
T46n1928_001:0705b24	意。然者是也，即領上之辭，亦信解之語，若不	意 然 者 是 也 即 領 上 之 辭 亦 信 解 之 語 若 不 
T46n1928_001:0705b25	信者乃云不然。此迹門等者，指上玄文所談	信 者 乃 云 不 然 此 迹 門 等 者 指 上 玄 文 所 談 
T46n1928_001:0705b26	十妙，境智行位因也，三法果也，感應兼自他，	十 妙 境 智 行 位 因 也 三 法 果 也 感 應 兼 自 他 
T46n1928_001:0705b27	神通說法，是能化者，作屬自也，眷屬利益是	神 通 說 法 是 能 化 者 作 屬 自 也 眷 屬 利 益 是 
T46n1928_001:0705b28	所化者，事屬他也。故因等四收十妙盡，一代	所 化 者 事 屬 他 也 故 因 等 四 收 十 妙 盡 一 代 
T46n1928_001:0705b29	教門所明法相豈過於此！今於十義，皆用待	教 門 所 明 法 相 豈 過 於 此 今 於 十 義 皆 用 待 
T46n1928_001:0705c01	絕二妙而融會之令無壅礙，故云融通入妙。	絕 二 妙 而 融 會 之 令 無 壅 礙 故 云 融 通 入 妙 
T46n1928_001:0705c02	二、凡諸下，眾釋意。如初理境具有七科，一一	二 凡 諸 下 眾 釋 意 如 初 理 境 具 有 七 科 一 一 
T46n1928_001:0705c03	皆用四教揀之，意開藏等俱圓，復以五味判	皆 用 四 教 揀 之 意 開 藏 等 俱 圓 復 以 五 味 判 
T46n1928_001:0705c04	之，欲開兼等皆妙，即使醍醐之外更無餘味，	之 欲 開 兼 等 皆 妙 即 使 醍 醐 之 外 更 無 餘 味 
T46n1928_001:0705c05	如此釋之方稱妙法。智行乃至利益各明種	如 此 釋 之 方 稱 妙 法 智 行 乃 至 利 益 各 明 種 
T46n1928_001:0705c06	種法相，無不皆用四教五味，判後開之皆成	種 法 相 無 不 皆 用 四 教 五 味 判 後 開 之 皆 成 
T46n1928_001:0705c07	極味。二、觀心下，敘觀略。樞即門之要也，機謂	極 味 二 觀 心 下 敘 觀 略 樞 即 門 之 要 也 機 謂 
T46n1928_001:0705c08	機關，有可發之義。蓋一切教行皆以觀心為	機 關 有 可 發 之 義 蓋 一 切 教 行 皆 以 觀 心 為 
T46n1928_001:0705c09	要，皆自觀心而發，觀心空故一切法空，即所	要 皆 自 觀 心 而 發 觀 心 空 故 一切法空 即 所 
T46n1928_001:0705c10	修諸行、所起諸教皆歸空也，假中亦然，豈不	修 諸 行 所 起 諸 教 皆 歸 空 也 假 中 亦 然 豈 不 
T46n1928_001:0705c11	以觀心為樞機邪！然今玄文未暇廣明，寄諸	以 觀 心 為 樞 機 邪 然 今 玄 文 未 暇 廣 明 寄 諸 
T46n1928_001:0705c12	文末略點示爾。又雖據義一一合有，為避繁	文 末 略 點 示 爾 又 雖 據 義 一 一 合 有 為 避 繁 
T46n1928_001:0705c13	文故有存沒。如十二因緣，境後則有、四諦則	文 故 有 存 沒 如 十二因緣 境 後 則 有 四 諦 則 
T46n1928_001:0705c14	略，蓋有止觀。對此明乎教觀旁正，如常所說，	略 蓋 有 止 觀 對 此 明 乎 教 觀 旁 正 如 常 所 說 
T46n1928_001:0705c15	託事則借彼事義立境立觀，如王舍、耆山等，	託 事 則 借 彼 事 義 立 境 立 觀 如 王 舍 耆 山 等 
T46n1928_001:0705c16	附法則攝諸法相入心成觀，如四諦、五行等，	附 法 則 攝 諸 法 相 入 心 成 觀 如 四 諦 五 行 等 
T46n1928_001:0705c17	既非專行，故十乘不委。此即《義例》約行等三	既 非 專 行 故 十 乘 不 委 此 即 義 例 約 行 等 三 
T46n1928_001:0705c18	種觀相也。二、所明下立意，又二：初、重示大部	種 觀 相 也 二 所 明 下 立 意 又 二 初 重 示 大 部 
T46n1928_001:0705c19	意。更舉十妙方出其意，能化即應，并神通說	意 更 舉 十 妙 方 出 其 意 能 化 即 應 并 神 通 說 
T46n1928_001:0705c20	法也，所化即感，及眷屬利益也，此十乃是一	法 也 所 化 即 感 及 眷 屬 利 益 也 此 十 乃 是 一 
T46n1928_001:0705c21	代教中能詮名字，大部明此意，在開顯諸名	代 教 中 能 詮 名 字 大 部 明 此 意 在 開 顯 諸 名 
T46n1928_001:0705c22	咸妙故也。須辨十者，欲收始末自他盡故。	咸 妙 故 也 須 辨 十 者 欲 收 始 末 自 他 盡 故 
T46n1928_001:0705c23	始謂境等，即自行因，末謂三法，即自行果，自	始 謂 境 等 即 自 行 因 末 謂 三 法 即 自 行 果 自 
T46n1928_001:0705c24	他如前。若辨此十一一咸妙，則了如來出	他 如 前 若 辨 此 十 一 一 咸 妙 則 了 如 來 出 
T46n1928_001:0705c25	世意盡。二、故不下，正明今述意二：初、為成妙	世 意 盡 二 故 不 下 正 明 今 述 意 二 初 為 成 妙 
T46n1928_001:0705c26	解。欲知此十皆妙，須了開顯大綱，即三千世	解 欲 知 此 十 皆 妙 須 了 開 顯 大 綱 即 三 千 世 
T46n1928_001:0705c27	間俱空假中，是今經之大體、能開之絕妙，境	間 俱 空 假 中 是 今 經 之 大 體 能 開 之 絕 妙 境 
T46n1928_001:0705c28	即此故事理俱融，智發此故無緣，行起此故	即 此 故 事 理 俱 融 智 發 此 故 無 緣 行 起 此 故 
T46n1928_001:0705c29	無作，位歷此故相攝，三法究盡此故果滿，生	無 作 位 歷 此 故 相 攝 三 法 究 盡 此 故 果 滿 生 
T46n1928_001:0706a01	具此故一念能感，佛得此故無謀而應，神通	具 此 故 一 念 能 感 佛 得 此 故 無 謀 而 應 神 通 
T46n1928_001:0706a02	用此故化化無窮，說法據此故施開自在，眷	用 此 故 化 化 無 窮 說 法 據 此 故 施 開 自 在 眷 
T46n1928_001:0706a03	屬全此故天性相關，利益稱此故無一不成	屬 全 此 故 天 性 相 關 利 益 稱 此 故 無 一 不 成 
T46n1928_001:0706a04	佛。今此十門正示於此，若能知者名發妙解。	佛 今 此 十 門 正 示 於 此 若 能 知 者 名 發 妙 解 
T46n1928_001:0706a05	二、故撮下，為成妙行。言觀法者十乘也，應知	二 故 撮 下 為 成 妙 行 言 觀 法 者 十 乘 也 應 知 
T46n1928_001:0706a06	止觀十乘是別論行相，而一一乘不離三千，	止 觀 十 乘 是 別 論 行 相 而 一 一 乘 不 離 三 千 
T46n1928_001:0706a07	即空假中，故云觀法大體。《義例》云：「散引諸文	即 空 假 中 故 云 觀 法 大 體 義 例 云 散 引 諸 文 
T46n1928_001:0706a08	該乎一代，文體正意唯歸二經，一依《法華》本	該 乎 一 代 文 體 正 意 唯 歸 二 經 一 依 法 華 本 
T46n1928_001:0706a09	迹顯實，二依《涅槃》扶律顯常，以此二經同醍	迹 顯 實 二 依 涅 槃 扶 律 顯 常 以 此 二 經 同 醍 
T46n1928_001:0706a10	醐故。」是知用此十妙絕待之義為觀體者，方	醐 故 是 知 用 此 十 妙 絕 待 之 義 為 觀 體 者 方 
T46n1928_001:0706a11	譬日光不與暗共。又此三千法門遍於諸法，	譬 日 光 不 與 暗 共 又 此 三 千 法 門 遍 於 諸 法 
T46n1928_001:0706a12	若色若心、依之與正、眾生諸佛、剎剎塵塵無	若 色 若 心 依 之 與 正 眾 生 諸 佛 剎 剎 塵 塵 無 
T46n1928_001:0706a13	不具足，故《華嚴》云：「如心佛亦爾，如佛眾生然，	不 具 足 故 華 嚴 云 如 心 佛 亦 爾 如 佛 眾 生 然 
T46n1928_001:0706a14	心佛及眾生，是三無差別。」故今家釋經題法	心 佛 及 眾 生 是 三無差別 故 今 家 釋 經 題 法 
T46n1928_001:0706a15	字，約此三法各具三千互具互融方名妙法。	字 約 此 三 法 各 具 三 千 互 具 互 融 方 名 妙 法 
T46n1928_001:0706a16	然雖諸法彼彼各具，若為觀體必須的指心法	然 雖 諸 法 彼 彼 各 具 若 為 觀 體 必 須 的 指 心 法 
T46n1928_001:0706a17	三千，故玄文云，佛法太高，眾生法太廣，於	三 千 故 玄 文 云 佛 法 太 高 眾 生 法 太 廣 於 
T46n1928_001:0706a18	初心為難，心佛及眾生，是三無差別，觀心則	初 心 為 難 心 佛 及 眾 生 是 三無差別 觀 心 則 
T46n1928_001:0706a19	易。又《義例》云：「修觀次第必先內心」，今家凡曰	易 又 義 例 云 修 觀 次 第 必 先 內 心 今 家 凡 曰 
T46n1928_001:0706a20	觀心，皆此意也。故今文中撮乎十妙入一念	觀 心 皆 此 意 也 故 今 文 中 撮 乎 十 妙 入 一 念 
T46n1928_001:0706a21	心。十門示者為成觀體故也，若不爾者，何故	心 十 門 示 者 為 成 觀 體 故 也 若 不 爾 者 何 故 
T46n1928_001:0706a22	節節唯約心說，豈塵剎生佛而不具邪？若不	節 節 唯 約 心 說 豈 塵 剎 生 佛 而 不 具 邪 若 不 
T46n1928_001:0706a23	見此，全失今文述作之意也。二、若解下，例後	見 此 全 失 今 文 述 作 之 意 也 二 若 解 下 例 後 
T46n1928_001:0706a24	義彰法理無殊二：初、例本妙。若本若迹各論	義 彰 法 理 無 殊 二 初 例 本 妙 若 本 若 迹 各 論 
T46n1928_001:0706a25	十妙而不同者，但是互有離合故也。迹因具	十 妙 而 不 同 者 但 是 互 有 離 合 故 也 迹 因 具 
T46n1928_001:0706a26	明境智行位四者，離因故迹；果惟明三法一	明 境 智 行 位 四 者 離 因 故 迹 果 惟 明 三 法 一 
T46n1928_001:0706a27	妙者，合果故本。中不云境等，唯明一本因妙	妙 者 合 果 故 本 中 不 云 境 等 唯 明 一 本 因 妙 
T46n1928_001:0706a28	者，合因故；本果之外，更立本國土、本涅槃、本	者 合 因 故 本 果 之 外 更 立 本 國 土 本 涅 槃 本 
T46n1928_001:0706a29	壽命者，離果故。故知唯云因妙必具境等，唯	壽 命 者 離 果 故 故 知 唯 云 因 妙 必 具 境 等 唯 
T46n1928_001:0706b01	云三法必具國土等，若知因果不殊，自他豈	云 三 法 必 具 國 土 等 若 知 因 果 不 殊 自 他 豈 
T46n1928_001:0706b02	應有異？以本初坐道場時亦遍赴物，豈不現	應 有 異 以 本 初 坐 道 場 時 亦 遍 赴 物 豈 不 現 
T46n1928_001:0706b03	通說法，豈無眷屬獲益邪？應知久近雖異，皆	通 說 法 豈 無 眷 屬 獲 益 邪 應 知 久 近 雖 異 皆 
T46n1928_001:0706b04	以三千俱空假中而為大綱，故云不思議一。	以 三 千 俱 空 假 中 而 為 大 綱 故 云 不 思 議 一 
T46n1928_001:0706b05	二、況體下，例四章。如上所明二十重妙，皆是	二 況 體 下 例 四 章 如 上 所 明 二 十 重 妙 皆 是 
T46n1928_001:0706b06	釋名而含體等，以釋名是總、三章是別，總總	釋 名 而 含 體 等 以 釋 名 是 總 三 章 是 別 總 總 
T46n1928_001:0706b07	別故，目十妙中境即是體，智行位法是宗，應	別 故 目 十 妙 中 境 即 是 體 智 行 位 法 是 宗 應 
T46n1928_001:0706b08	等三妙是用，感及眷屬既獲利益，必合從因	等 三 妙 是 用 感 及 眷 屬 既 獲 利 益 必 合 從 因 
T46n1928_001:0706b09	至果還起利他之用亦具體等，故云秖是自	至 果 還 起 利 他 之 用 亦 具 體 等 故 云 秖 是 自 
T46n1928_001:0706b10	他因果法故。又名等四章皆是被下之法，即	他 因 果 法 故 又 名 等 四 章 皆 是 被 下 之 法 即 
T46n1928_001:0706b11	屬教也，而須以相別其麁妙。今之四章，出前	屬 教 也 而 須 以 相 別 其 麁 妙 今 之 四 章 出 前 
T46n1928_001:0706b12	三教四時之上，復能開前令皆圓妙，故永異	三 教 四 時 之 上 復 能 開 前 令 皆 圓 妙 故 永 異 
T46n1928_001:0706b13	之言含其待絕，以唯今經能遍開故。三、若曉	之 言 含 其 待 絕 以 唯 今 經 能 遍 開 故 三 若 曉 
T46n1928_001:0706b14	下，別示妙體令解行俱成三：初、指妙歸心。三	下 別 示 妙 體 令 解 行 俱 成 三 初 指 妙 歸 心 三 
T46n1928_001:0706b15	千妙體為教所歸，故一期之內五味傳傳相	千 妙 體 為 教 所 歸 故 一 期 之 內 五 味 傳 傳 相 
T46n1928_001:0706b16	生故縱，四教各各趣理故橫，而所詮法雖有	生 故 縱 四 教 各 各 趣 理 故 橫 而 所 詮 法 雖 有 
T46n1928_001:0706b17	顯覆，準今經意，未嘗暫離三千妙法。又雖諸	顯 覆 準 今 經 意 未 嘗 暫 離 三 千 妙 法 又 雖 諸 
T46n1928_001:0706b18	法皆具三千，今為易成妙解妙觀故，的指一	法 皆 具 三 千 今 為 易 成 妙 解 妙 觀 故 的 指 一 
T46n1928_001:0706b19	念即三法，妙中特取心法也。應知心法就	念 即 三 法 妙 中 特 取 心 法 也 應 知 心 法 就 
T46n1928_001:0706b20	迷就事而辨，故《釋籤》云，眾生法，一往通因	迷 就 事 而 辨 故 釋 籤 云 眾 生 法 一 往 通 因 
T46n1928_001:0706b21	果，二往唯局因，佛法定在果，心法定在因。	果 二 往 唯 局 因 佛 法 定 在 果 心 法 定 在 因 
T46n1928_001:0706b22	若約迷悟分之，佛唯屬悟，二皆在迷。復就迷	若 約 迷 悟 分 之 佛 唯 屬 悟 二 皆 在 迷 復 就 迷 
T46n1928_001:0706b23	中眾生屬他，通一切故，心法屬己，別指自心	中 眾 生 屬 他 通 一 切 故 心 法 屬 己 別 指 自 心 
T46n1928_001:0706b24	故。四念處節節皆云觀一念無明心，止觀初	故 四 念 處 節 節 皆 云 觀 一 念 無 明 心 止 觀 初 
T46n1928_001:0706b25	觀陰入心九境，亦約事中明心，故云煩惱	觀 陰 入 心 九 境 亦 約 事 中 明 心 故 云 煩 惱 
T46n1928_001:0706b26	心、病心乃至禪見心等。及隨自意中四運心	心 病 心 乃 至 禪 見 心 等 及 隨 自 意 中 四 運 心 
T46n1928_001:0706b27	等，豈非就迷就事辨所觀心。有人解今一念	等 豈 非 就 迷 就 事 辨 所 觀 心 有 人 解 今 一 念 
T46n1928_001:0706b28	云是真性，恐未稱文旨。何者？若論真性，諸法	云 是 真 性 恐 未 稱 文 旨 何 者 若 論 真 性 諸 法 
T46n1928_001:0706b29	皆是，何獨一念！又諸文多云觀於己心，豈可	皆 是 何 獨 一 念 又 諸 文 多 云 觀 於 己 心 豈 可 
T46n1928_001:0706c01	真理有於己他？更有人全不許立陰、界、入等	真 理 有 於 己 他 更 有 人 全 不 許 立 陰 界 入 等 
T46n1928_001:0706c02	為所觀境，唯云不思議境，此之二師灼然違	為 所 觀 境 唯 云 不思議境 此 之 二 師 灼 然 違 
T46n1928_001:0706c03	教，唯《摩訶止觀》先於六章廣示妙解，豈不論	教 唯 摩 訶 止 觀 先 於 六 章 廣 示 妙 解 豈 不 論 
T46n1928_001:0706c04	諸法本真皆不思議？然欲立行造修，須揀入	諸 法 本 真 皆 不 思 議 然 欲 立 行 造 修 須 揀 入 
T46n1928_001:0706c05	理之門、起觀之處，故於三科揀却界、入復於	理 之 門 起 觀 之 處 故 於 三 科 揀 却 界 入 復 於 
T46n1928_001:0706c06	五陰，又除前四的取識陰，《輔行》又揀能招報	五 陰 又 除 前 四 的 取 識 陰 輔 行 又 揀 能 招 報 
T46n1928_001:0706c07	心，及以發得屬於下境，此是去丈就尺，去	心 及 以 發 得 屬 於 下 境 此 是 去 丈 就 尺 去 
T46n1928_001:0706c08	尺就寸，如炙得穴也。乃依此心觀不思議，	尺 就 寸 如 炙 得 穴 也 乃 依 此 心 觀 不 思 議 
T46n1928_001:0706c09	顯三千法乃至貪瞋等心，及諸根塵，皆云觀	顯 三 千 法 乃 至 貪 瞋 等 心 及 諸 根 塵 皆 云 觀 
T46n1928_001:0706c10	陰、入、界及下九境，文中揀判毫末不差，豈是	陰 入 界 及 下 九 境 文 中 揀 判 毫 末 不 差 豈 是 
T46n1928_001:0706c11	直云真性及不思議？問：「常坐中云，以法界對	直 云 真 性 及 不 思 議 問 常 坐 中 云 以 法 界 對 
T46n1928_001:0706c12	法界起法界；安心中云，但信法性，不信其	法 界 起 法 界 安 心 中 云 但 信 法 性 不 信 其 
T46n1928_001:0706c13	諸；及節節云不思議境。今何不許？」答：「此等諸	諸 及 節 節 云 不思議境 今 何 不 許 答 此 等 諸 
T46n1928_001:0706c14	文皆是能觀觀法，復是所顯法門，豈不讀《輔	文 皆 是 能 觀 觀 法 復 是 所 顯 法 門 豈 不 讀 輔 
T46n1928_001:0706c15	行》中分科之文，先重明境，即去尺就寸文也，	行 中 分 科 之 文 先 重 明 境 即 去 尺 就 寸 文 也 
T46n1928_001:0706c16	次明修觀，即觀不思議境等十乘文也。況《輔	次 明 修 觀 即 觀 不思議境 等 十 乘 文 也 況 輔 
T46n1928_001:0706c17	行》委示二境之相非不分明，豈得直以一念	行 委 示 二 境 之 相 非 不 分 明 豈 得 直 以 一 念 
T46n1928_001:0706c18	名真理及不思議邪！應知不思議境對觀智	名 真 理 及 不 思 議 邪 應 知 不思議境 對 觀 智 
T46n1928_001:0706c19	邊不分而分名所觀境，若對所破陰等諸境，	邊 不 分 而 分 名 所 觀 境 若 對 所 破 陰 等 諸 境 
T46n1928_001:0706c20	故不思議境之與觀皆名能觀。故《止觀》云：『譬	故 不思議境 之 與 觀 皆 名 能 觀 故 止 觀 云 譬 
T46n1928_001:0706c21	如賊有三重，一人器械鈍、身力羸、智謀少，先	如 賊 有 三 重 一 人 器 械 鈍 身 力 羸 智 謀 少 先 
T46n1928_001:0706c22	破二重，更整人物方破第三，所以遲迴日月；	破 二 重 更 整 人 物 方 破 第 三 所 以 遲 迴 日 月 
T46n1928_001:0706c23	有人身壯、兵利、權多，一日之中即破三重。』《輔	有 人 身 壯 兵 利 權 多 一 日 之 中 即 破 三 重 輔 
T46n1928_001:0706c24	行》釋云：『約用兵以譬能所』，『今以身壯譬圓三	行 釋 云 約 用 兵 以 譬 能 所 今 以 身 壯 譬 圓 三 
T46n1928_001:0706c25	諦，兵利譬圓三止，權多譬圓三觀，械等並依	諦 兵 利 譬 圓 三 止 權 多 譬 圓 三 觀 械 等 並 依 
