T48n2010_001:0376b18	信心銘	信 心 銘 
T48n2010_001:0376c24	　歸復自然　　泯其所以　　不可方比	 歸 復 自 然 泯 其 所 以 不 可 方 比 
T48n2010_001:0376c25	　止動無動　　動止無止　　兩既不成	 止 動 無 動 動 止 無 止 兩 既 不 成 
T48n2010_001:0376c26	　一何有爾　　究竟窮極　　不存軌則	 一 何 有 爾 究 竟 窮 極 不 存 軌 則 
T48n2010_001:0376c27	　啟心平等　　所作俱息　　狐疑盡淨	 啟 心 平 等 所 作 俱 息 狐 疑 盡 淨 
T48n2010_001:0376c28	　正信調直　　一切不留　　無可記憶	 正 信 調 直 一 切 不 留 無 可 記 憶 
T48n2010_001:0376c29	　虛明自然　　不勞心力　　非思量處	 虛 明 自 然 不 勞 心 力 非 思 量 處 
T48n2010_001:0377a01	　識情難測　　真如法界　　無他無自	 識 情 難 測 真 如 法 界 無 他 無 自 
T48n2010_001:0377a02	　要急相應　　唯言不二　　不二皆同	 要 急 相 應 唯 言 不 二 不 二 皆 同 
T48n2010_001:0377a03	　無不包容　　十方智者　　皆入此宗	 無 不 包 容 十 方 智 者 皆 入 此 宗 
T48n2010_001:0377a04	　宗非促延(一念萬年萬年一念)　　無在不在	 宗 非 促 延 一 念 萬 年 萬 年 一 念 無 在 不 在 
T48n2010_001:0377a05	　十方目前　　極小同大　　妄絕境界	 十 方 目 前 極 小 同 大 妄 絕 境 界 
T48n2010_001:0377a06	　極大同小　　不見邊表　　有即是無	 極 大 同 小 不 見 邊 表 有 即 是 無 
T48n2010_001:0377a07	　無即是有　　若不如是　　必不須守	 無 即 是 有 若 不 如 是 必 不 須 守 
T48n2010_001:0377a08	　一即一切　　一切即一　　但能如是	 一 即 一 切 一 切 即 一 但 能 如 是 
T48n2010_001:0377a09	　何慮不畢　　信心不二　　不二信心	 何 慮 不 畢 信 心 不 二 不 二 信 心 
T48n2010_001:0377a10	　言語道斷　　非去來今	 言語道斷 非 去 來 今 
T48n2010_001:0377a11	信心銘之終	信 心 銘 之 終 
