T85n2774_001:0433a03	維摩經疏	維 摩 經 疏 
T85n2774_001:0433b06	明菩薩心栖此法久已善練也。決定大乘者。	明 菩 薩 心 栖 此 法 久 已 善 練 也 決 定 大 乘 者 
T85n2774_001:0433b07	此語萬行連載為義。明於大乘之理決定明	此 語 萬 行 連 載 為 義 明 於 大 乘 之 理 決 定 明 
T85n2774_001:0433b08	解。解理分明謂之決定。第六句諸有所作已	解 解 理 分 明 謂 之 決 定 第 六 句 諸 有 所 作 已 
T85n2774_001:0433b09	下。明於三業。何故而來。明所以備於上德	下 明 於 三 業 何 故 而 來 明 所 以 備 於 上 德 
T85n2774_001:0433b10	以三業為本。故次明諸有所作能善思量歎	以 三 業 為 本 故 次 明 諸 有 所 作 能 善 思 量 歎 
T85n2774_001:0433b11	於口業。論云思量論者難勝難壞。意地思量	於 口 業 論 云 思 量 論 者 難 勝 難 壞 意 地 思 量 
T85n2774_001:0433b12	口業說法無事不契也。八地以上既備不思	口 業 說 法 無 事 不 契 也 八 地 以 上 既 備 不 思 
T85n2774_001:0433b13	議智故。能不思而照。不議而應。何故言思量。	議 智 故 能 不 思 而 照 不 議 而 應 何 故 言 思 量 
T85n2774_001:0433b14	欲明菩薩於己以下不待思量。若仰側佛地	欲 明 菩 薩 於 己 以 下 不 待 思 量 若 仰 側 佛 地 
T85n2774_001:0433b15	猶須思量。故言思量也。又一解。菩薩口業善	猶 須 思 量 故 言 思 量 也 又 一 解 菩 薩 口 業 善 
T85n2774_001:0433b16	說稱機不差所感動與理冥義同思量而作。	說 稱 機 不 差 所 感 動 與 理 冥 義 同 思 量 而 作 
T85n2774_001:0433b17	住佛威儀者。歎於身業。十地菩薩仰學如來	住 佛 威 儀 者 歎 於 身 業 十地菩薩 仰 學 如 來 
T85n2774_001:0433b18	象王視觀威儀舉動行坐住臥也。心大如海	象 王 視 觀 威 儀 舉 動 行 坐 住 臥 也 心 大 如 海 
T85n2774_001:0433b19	者。歎於意業。海者溟而難惻流潤無崖。明	者 歎 於 意 業 海 者 溟 而 難 惻 流 潤 無 崖 明 
T85n2774_001:0433b20	大士德量溟曠非下所惻潤流無崖故喻如海	大 士 德 量 溟 曠 非 下 所 惻 潤 流 無 崖 故 喻 如 海 
T85n2774_001:0433b21	也。又一解。海者廣納眾流故稱為大。欲明菩	也 又 一 解 海 者 廣 納 眾 流 故 稱 為 大 欲 明 菩 
T85n2774_001:0433b22	薩之心一切萬行盡能行之。一切眾生盡欲	薩 之 心 一 切 萬 行 盡 能 行 之 一 切 眾 生 盡 欲 
T85n2774_001:0433b23	度之。一切功德盡欲取之。故言心大如海也。	度 之 一切功德 盡 欲 取 之 故 言 心 大 如 海 也 
T85n2774_001:0433b24	第七句諸佛諮嗟訖世主所敬。總結上六句	第 七 句 諸 佛 諮 嗟 訖 世 主 所 敬 總 結 上 六 句 
T85n2774_001:0433b25	也。明既有如斯之德故。上為諸佛諮嗟歎美。	也 明 既 有 如 斯 之 德 故 上 為 諸 佛 諮 嗟 歎 美 
T85n2774_001:0433b26	下為人天之所欽敬也。欲度人故居毘耶離	下 為 人 天 之 所 欽 敬 也 欲 度 人 故 居 毘 耶 離 
T85n2774_001:0433b27	已下。歎外化德中第二段歎化物之德。就中	已 下 歎 外 化 德 中 第 二 段 歎 化 物 之 德 就 中 
T85n2774_001:0433b28	復有二段。第一從欲度人故訖入諸酒肆能	復 有 二 段 第 一 從 欲 度 人 故 訖 入 諸 酒 肆 能 
T85n2774_001:0433b29	立其志。明在毘耶施化。第二從若在長者	立 其 志 明 在 毘 耶 施 化 第 二 從 若 在 長 者 
T85n2774_001:0433c01	以下訖饒益眾生。明天上人中隱顯行化也。	以 下 訖 饒 益 眾 生 明 天 上 人 中 隱 顯 行 化 也 
T85n2774_001:0433c02	就初段中有四幡明義。一一幡皆有六句。第	就 初 段 中 有 四 幡 明 義 一 一 幡 皆 有 六 句 第 
T85n2774_001:0433c03	一幡從資財無量已下訖攝諸無智。明以六	一 幡 從 資 財 無 量 已 下 訖 攝 諸 無 智 明 以 六 
T85n2774_001:0433c04	度攝六蔽為次第也。第二幡雖為白衣訖而	度 攝 六 蔽 為 次 第 也 第 二 幡 雖 為 白 衣 訖 而 
T85n2774_001:0433c05	以禪悅為味。明家內所須為次第也。第三	以 禪 悅 為 味 明 家 內 所 須 為 次 第 也 第 三 
T85n2774_001:0433c06	幡若至博弈戲處以下訖雖獲俗利不以喜	幡 若 至 博 弈 戲 處 以 下 訖 雖 獲 俗 利 不 以 喜 
T85n2774_001:0433c07	悅。明遇緣住化不指當處所。第四幡從遊諸	悅 明 遇 緣 住 化 不 指 當 處 所 第 四 幡 從 遊 諸 
T85n2774_001:0433c08	四衢已下訖能立其志。明指當處所也。資財	四 衢 已 下 訖 能 立 其 志 明 指 當 處 所 也 資 財 
T85n2774_001:0433c09	無量攝諸貧民者。初幡第一句。貧民貧苦所	無 量 攝 諸 貧 民 者 初 幡 第 一 句 貧 民 貧 苦 所 
T85n2774_001:0433c10	逼受道莫由。是以大士多畜財物先濟貧苦	逼 受 道 莫 由 是 以 大 士 多 畜 財 物 先 濟 貧 苦 
T85n2774_001:0433c11	救其交急。然後以法語之。第二句攝諸毀禁。	救 其 交 急 然 後 以 法 語 之 第 二 句 攝 諸 毀 禁 
T85n2774_001:0433c12	眾生自非尸行成就無由可攝。是以大士先	眾 生 自 非 尸 行 成 就 無 由 可 攝 是 以 大 士 先 
T85n2774_001:0433c13	奉禁戒教令懺悔除罪。餘四度類可知也。雖	奉 禁 戒 教 令 懺 悔 除 罪 餘 四 度 類 可 知 也 雖 
T85n2774_001:0433c14	為白衣以下。第二幡家內次第也。第一句	為 白 衣 以 下 第 二 幡 家 內 次 第 也 第 一 句 
T85n2774_001:0433c15	雖為白衣奉持沙門清淨律行者。夫為俗人	雖 為 白 衣 奉 持 沙 門 清 淨 律 行 者 夫 為 俗 人 
T85n2774_001:0433c16	多求沙門之禮。而淨名外為俗人而內懷道	多 求 沙 門 之 禮 而 淨 名 外 為 俗 人 而 內 懷 道 
T85n2774_001:0433c17	風。故能奉持沙門禁戒也。第二句雖處居	風 故 能 奉 持 沙 門 禁 戒 也 第 二 句 雖 處 居 
T85n2774_001:0433c18	家不著三界者。既為俗人。理須屋宇宅舍。世	家 不著三界 者 既 為 俗 人 理 須 屋 宇 宅 舍 世 
T85n2774_001:0433c19	人於居家多生愛戀。於三界猶尚不生于著。	人 於 居 家 多 生 愛 戀 於 三 界 猶 尚 不 生 于 著 
T85n2774_001:0433c20	況於居家而當愛戀也。第三句示有妻子常	況 於 居 家 而 當 愛 戀 也 第 三 句 示 有 妻 子 常 
T85n2774_001:0433c21	修梵行者。既在家白衣。理有妻息。世人妻子	修 梵 行 者 既 在 家 白 衣 理 有 妻 息 世 人 妻 子 
T85n2774_001:0433c22	多污染淨行。淨名示有妻子常以淨行自居。	多 污 染 淨 行 淨 名 示 有 妻 子 常 以 淨 行 自 居 
T85n2774_001:0433c23	第四句現有眷屬常樂遠離者。妻兒之外悉	第 四 句 現 有 眷 屬 常樂遠離 者 妻 兒 之 外 悉 
T85n2774_001:0433c24	是婢妾僮僕謂之眷屬。世人於眷屬多起染	是 婢 妾 僮 僕 謂 之 眷 屬 世 人 於 眷 屬 多 起 染 
T85n2774_001:0433c25	悋。而淨名示現有之常樂遠離情無所悋。第	悋 而 淨 名 示 現 有 之 常樂遠離 情 無 所 悋 第 
T85n2774_001:0433c26	五句雖服寶飾而以相好嚴身者。俗人既有	五 句 雖 服 寶 飾 而 以 相 好 嚴 身 者 俗 人 既 有 
T85n2774_001:0433c27	妻子眷屬。應須服章衣被。雖有服章冠[日/勉]	妻子眷屬 應 須 服 章 衣 被 雖 有 服 章 冠 [日勉] 
T85n2774_001:0433c28	示同寶飾。常以三十二相八十種好以嚴其	示 同 寶 飾 常 以 三十二相 八十種好 以 嚴 其 
T85n2774_001:0433c29	容。第六句雖復飲食而禪悅為味者。上明藉	容 第 六 句 雖 復 飲 食 而 禪 悅 為 味 者 上 明 藉 
T85n2774_001:0434a01	衣嚴形。復須食以養命雖復飡百味餚饍。而	衣 嚴 形 復 須 食 以 養 命 雖 復 飡 百 味 餚 饍 而 
T85n2774_001:0434a02	以法喜禪悅食更無餘食想。若至博弈戲輒	以 法 喜 禪 悅 食 更 無 餘 食 想 若 至 博 弈 戲 輒 
T85n2774_001:0434a03	以度人以下。第三幡六句。第一句若至博弈	以 度 人 以 下 第 三 幡 六 句 第 一 句 若 至 博 弈 
T85n2774_001:0434a04	戲處輒以度人者。博者六博。奕者碁也。此	戲 處 輒 以 度 人 者 博 者 六 博 奕 者 碁 也 此 
T85n2774_001:0434a05	非方雅人道之處故云輒也。第二句受諸異	非 方 雅 人 道 之 處 故 云 輒 也 第 二 句 受 諸 異 
T85n2774_001:0434a06	道不毀正信者。異道者邪見之流。雖復示同	道 不 毀 正 信 者 異 道 者 邪 見 之 流 雖 復 示 同 
T85n2774_001:0434a07	邪道。而稟正信未嘗有毀。第三句雖明世	邪 道 而 稟 正 信 未 嘗 有 毀 第 三 句 雖 明 世 
T85n2774_001:0434a08	典常樂佛法者。雖外關練五經史藉。而內以	典 常 樂 佛 法 者 雖 外 關 練 五 經 史 藉 而 內 以 
T85n2774_001:0434a09	十二部經為栖神之宅。第四句一切見敬為	十二部經 為 栖 神 之 宅 第 四 句 一 切 見 敬 為 
T85n2774_001:0434a10	供養中最者。處處利物見者敬仰。能生人善	供 養 中 最 者 處 處 利 物 見 者 敬 仰 能 生 人 善 
T85n2774_001:0434a11	故有福之最也。第五句執持正法攝諸長幼	故 有 福 之 最 也 第 五 句 執 持 正 法 攝 諸 長 幼 
T85n2774_001:0434a12	者。外國別立有德者為斷事人以息唧訟。若	者 外 國 別 立 有 德 者 為 斷 事 人 以 息 唧 訟 若 
T85n2774_001:0434a13	心有阿黨則情有所偏。而淨名以正法自居	心 有 阿 黨 則 情 有 所 偏 而 淨 名 以 正 法 自 居 
T85n2774_001:0434a14	長幼歸從也。第六句一切治生諧偶雖獲俗	長 幼 歸 從 也 第 六 句 一 切 治 生 諧 偶 雖 獲 俗 
T85n2774_001:0434a15	利不以喜悅者。欲明大士雖復示求商利而	利 不 以 喜 悅 者 欲 明 大 士 雖 復 示 求 商 利 而 
T85n2774_001:0434a16	不喜悅者。不貴難得之貨。無物而非寶。豈	不 喜 悅 者 不 貴 難 得 之 貨 無 物 而 非 寶 豈 
T85n2774_001:0434a17	為貪財。同於俗利。何喜悅之有也。稱意曰諧。	為 貪 財 同 於 俗 利 何 喜 悅 之 有 也 稱 意 曰 諧 
T85n2774_001:0434a18	獲利為隅。遊諸四衢以下。第四幡明行化指	獲 利 為 隅 遊 諸 四 衢 以 下 第 四 幡 明 行 化 指 
T85n2774_001:0434a19	當處所為語。就中有六句。第一句遊以四衢	當 處 所 為 語 就 中 有 六 句 第 一 句 遊 以 四 衢 
T85n2774_001:0434a20	六句皆安入。亦應言入諸四衢。但遊之與	六 句 皆 安 入 亦 應 言 入 諸 四 衢 但 遊 之 與 
T85n2774_001:0434a21	入義不相背。又解。從家向路於遊義是便也。	入 義 不 相 背 又 解 從 家 向 路 於 遊 義 是 便 也 
T85n2774_001:0434a22	四衢者。路四是云衢也。第二句入治正法救	四 衢 者 路 四 是 云 衢 也 第 二 句 入 治 正 法 救 
T85n2774_001:0434a23	護一切者。相傳解。五百長者迭知同事次淨	護 一 切 者 相 傳 解 五 百 長 者 迭 知 同 事 次 淨 
T85n2774_001:0434a24	名入治則慈愍萬民救者。苦已至須救解。苦	名 入 治 則 慈 愍 萬 民 救 者 苦 已 至 須 救 解 苦 
T85n2774_001:0434a25	未至與其援護。故言救護一切也。第三句入	未 至 與 其 援 護 故 言 救 護 一 切 也 第 三 句 入 
T85n2774_001:0434a26	講論處導以大乘者。天竺多諸異學。各言己	講 論 處 導 以 大 乘 者 天 竺 多 諸 異 學 各 言 己 
T85n2774_001:0434a27	道為勝。其國別立論堂以辯優劣。擊鼓眾集	道 為 勝 其 國 別 立 論 堂 以 辯 優 劣 擊 鼓 眾 集 
T85n2774_001:0434a28	詣堂求論。勝者為師。負者為弟子。淨名于時	詣 堂 求 論 勝 者 為 師 負 者 為 弟 子 淨 名 于 時 
T85n2774_001:0434a29	亦昇此堂摧伏外道。然後導以大乘。第四句	亦 昇 此 堂 摧 伏 外 道 然 後 導 以 大 乘 第 四 句 
T85n2774_001:0434b01	入諸學堂誘開童蒙者。始學之流稚幼曰童。	入 諸 學 堂 誘 開 童 蒙 者 始 學 之 流 稚 幼 曰 童 
T85n2774_001:0434b02	情識猶昧曰蒙。淨名于時入此學堂。將誘開	情 識 猶 昧 曰 蒙 淨 名 于 時 入 此 學 堂 將 誘 開 
T85n2774_001:0434b03	發令悟也。第五句入諸婬舍示欲之過者。先	發 令 悟 也 第 五 句 入 諸 婬 舍 示 欲 之 過 者 先 
T85n2774_001:0434b04	以欲[牛*句]牽却以法語之。婬欲生死之本。亡國	以 欲 [牛句] 牽 却 以 法 語 之 婬 欲 生 死 之 本 亡 國 
T85n2774_001:0434b05	破家損敗忠良亡身殞命皆由於此。故示過	破 家 損 敗 忠 良 亡 身 殞 命 皆 由 於 此 故 示 過 
T85n2774_001:0434b06	令離也。第六句入諸酒肆能立其志者。酒	令 離 也 第 六 句 入 諸 酒 肆 能 立 其 志 者 酒 
T85n2774_001:0434b07	有三十六失。開諸罪門能使神昏形濁多有	有 三 十 六 失 開 諸 罪 門 能 使 神 昏 形 濁 多 有 
T85n2774_001:0434b08	所廢。酒之說過欲亦立志。互舉一邊。又解。	所 廢 酒 之 說 過 欲 亦 立 志 互 舉 一 邊 又 解 
T85n2774_001:0434b09	欲過多故偏彰其過。若在長者已下。是歎外	欲 過 多 故 偏 彰 其 過 若 在 長 者 已 下 是 歎 外 
T85n2774_001:0434b10	化德中第二段明天上人中隱顯施化。所以	化 德 中 第 二 段 明 天 上 人 中 隱 顯 施 化 所 以 
T85n2774_001:0434b11	每度其專在上化下如風之靡草無事不從。	每 度 其 專 在 上 化 下 如 風 之 靡 草 無 事 不 從 
T85n2774_001:0434b12	長者國邑有德能掩鄉望謂之長者。為說勝	長 者 國 邑 有 德 能 掩 鄉 望 謂 之 長 者 為 說 勝 
T85n2774_001:0434b13	法。長者多以俗法訓世。故說出世之勝法。為	法 長 者 多 以 俗 法 訓 世 故 說 出 世 之 勝 法 為 
T85n2774_001:0434b14	說佛法中勝事。居士斷貪者。天竺之人積財	說 佛 法 中 勝 事 居 士 斷 貪 者 天 竺 之 人 積 財 
T85n2774_001:0434b15	一億謂為居士。若不貪悋在懷何能財帛巨	一 億 謂 為 居 士 若 不 貪 悋 在 懷 何 能 財 帛 巨 
T85n2774_001:0434b16	億。故須斷貪著令其散財為福。剎利教以	億 故 須 斷 貪 著 令 其 散 財 為 福 剎 利 教 以 
T85n2774_001:0434b17	忍辱者。剎利秦言田主。劫初食地肥人情浮	忍 辱 者 剎 利 秦 言 田 主 劫 初 食 地 肥 人 情 浮 
T85n2774_001:0434b18	薄。復有自然粳糧人情轉薄。立封疆生悋護	薄 復 有 自 然 粳 糧 人 情 轉 薄 立 封 疆 生 悋 護 
T85n2774_001:0434b19	之心。別立有德割平處中相承為王。領之首	之 心 別 立 有 德 割 平 處 中 相 承 為 王 領 之 首 
T85n2774_001:0434b20	謂剎利種。其人自恃豪桀多起暴害。故令斷	謂 剎 利 種 其 人 自 恃 豪 桀 多 起 暴 害 故 令 斷 
T85n2774_001:0434b21	瞋。婆羅門者。秦言外意亦云淨行。世世相承	瞋 婆 羅 門 者 秦 言 外 意 亦 云 淨 行 世 世 相 承 
T85n2774_001:0434b22	多學道術。恃己所得情慢於物。故除我慢。大	多 學 道 術 恃 己 所 得 情 慢 於 物 故 除 我 慢 大 
T85n2774_001:0434b23	臣教以正法者。現為輔相秉執國事不得枉	臣 教 以 正 法 者 現 為 輔 相 秉 執 國 事 不 得 枉 
T85n2774_001:0434b24	濫於物。故教以正法。王子示以忠孝者。王	濫 於 物 故 教 以 正 法 王 子 示 以 忠 孝 者 王 
T85n2774_001:0434b25	位既高喜起篡逆。為臣須忠。為子須孝。王子	位 既 高 喜 起 篡 逆 為 臣 須 忠 為 子 須 孝 王 子 
T85n2774_001:0434b26	有兩兼之羲故示忠孝也。內官化正宮女者。	有 兩 兼 之 羲 故 示 忠 孝 也 內 官 化 正 宮 女 者 
T85n2774_001:0434b27	女人多以耶態為事。化令修正直之行。庶民	女 人 多 以 耶 態 為 事 化 令 修 正 直 之 行 庶 民 
T85n2774_001:0434b28	令興福力者。殖因微淺不勉斯濫。故令興福	令 興 福 力 者 殖 因 微 淺 不 勉 斯 濫 故 令 興 福 
T85n2774_001:0434b29	力也。梵天誨以勝慧者。梵王居禪多喜著定。	力 也 梵 天 誨 以 勝 慧 者 梵 王 居 禪 多 喜 著 定 
T85n2774_001:0434c01	故誨以勝慧莫令偏著。帝釋示現無常者。五	故 誨 以 勝 慧 莫 令 偏 著 帝 釋 示 現 無 常 者 五 
T85n2774_001:0434c02	欲自恣不慮無常。故說無常。又解。示現無常	欲 自 恣 不 慮 無 常 故 說 無 常 又 解 示 現 無 常 
T85n2774_001:0434c03	相令悟無常。若在護世護眾生者。四天王典	相 令 悟 無 常 若 在 護 世 護 眾 生 者 四 天 王 典 
T85n2774_001:0434c04	領鬼神不令侵人。若處其□勅諸鬼神擁護	領 鬼 神 不 令 侵 人 若 處 其 勅 諸 鬼 神 擁 護 
T85n2774_001:0434c05	為事。護諸眾生也。如是維摩詰以垂迹萬差	為 事 護 諸 眾 生 也 如 是 維 摩 詰 以 垂 迹 萬 差 
T85n2774_001:0434c06	處處示現為無量方便慈蔭六道。為饒益眾	處 處 示 現 為 無量方便 慈 蔭 六 道 為 饒 益 眾 
