T85n2855_001:1304b22	禮懺文	禮 懺 文 
T85n2855_001:1304c19	聖之王天上天下最尊最貴無能過者無與等	聖 之 王 天 上 天 下 最 尊 最 貴 無 能 過 者 無 與 等 
T85n2855_001:1304c20	者。稱天人師大慈悲父。常以方便無量慈悲	者 稱 天 人 師 大 慈 悲 父 常 以 方 便 無 量 慈 悲 
T85n2855_001:1304c21	喜捨度脫一切苦惱眾生。令得涅槃久境安	喜 捨 度 脫 一 切 苦 惱 眾 生 令 得 涅 槃 久 境 安 
T85n2855_001:1304c22	樂。若有歸依恭敬供養稱揚讚嘆。若聞其名	樂 若 有 歸 依 恭敬供養 稱 揚 讚 嘆 若 聞 其 名 
T85n2855_001:1304c23	若覩其形。燒香禮拜旋遶行道。所生功德無	若 覩 其 形 燒 香 禮 拜 旋 遶 行 道 所 生 功 德 無 
T85n2855_001:1304c24	量無邊。過於須彌深於巨海。等觀眾生由如	量 無 邊 過 於 須 彌 深 於 巨 海 等 觀 眾 生 由 如 
T85n2855_001:1304c25	一子。普皆平等無有愛憎。與諸眾生作出世	一 子 普 皆 平 等 無 有 愛 憎 與 諸 眾 生 作 出 世 
T85n2855_001:1304c26	因。於我等輩有大恩得有大利益。是我等真	因 於 我 等 輩 有 大 恩 得 有 大 利 益 是 我 等 真 
T85n2855_001:1304c27	歸依處真善智識真實福田。百千萬劫難得	歸 依 處 真 善 智 識 真 實 福 田 百千萬劫 難 得 
T85n2855_001:1304c28	待遇。百千萬劫讚揚難盡。我等今日深生慚	待 遇 百千萬劫 讚 揚 難 盡 我 等 今 日 深 生 慚 
T85n2855_001:1304c29	愧深生渴仰深生歡喜深生愛慕深生珍敬深	愧 深 生 渴 仰 深生歡喜 深生愛慕 深 生 珍 敬 深 
T85n2855_001:1305a01	生成賀深生恭敬。願弟子等所具罪障當得	生 成 賀 深 生 恭 敬 願 弟 子 等 所 具 罪 障 當 得 
T85n2855_001:1305a02	消滅　一遍福母稽請讚嘆。諸佛身中功德	消 滅 一 遍 福 母 稽 請 讚 嘆 諸 佛 身 中 功 德 
T85n2855_001:1305a03	早以由如何寫。一種所具罪障早以消滅。稽	早 以 由 如 何 寫 一 種 所 具 罪 障 早 以 消 滅 稽 
T85n2855_001:1305a04	請以了至誠懺悔　今對諸佛賢聖前。深自	請 以 了 至 誠 懺 悔 今 對 諸 佛 賢 聖 前 深 自 
T85n2855_001:1305a05	剋貴悔過。改往修來。至誠徹到披肝路膽。痛	剋 貴 悔 過 改 往 修 來 至 誠 徹 到 披 肝 路 膽 痛 
T85n2855_001:1305a06	切悲哀悲泣流淚。至誠發露懺悔。所有輕罪	切 悲 哀 悲 泣 流 淚 至 誠 發 露 懺 悔 所 有 輕 罪 
T85n2855_001:1305a07	重罪悉皆消滅。由如衣服多有垢膩。若欲洗	重 罪 悉 皆 消 滅 由 如 衣 服 多 有 垢 膩 若 欲 洗 
T85n2855_001:1305a08	浣入嚴灰。一洗垢膩俱盡。然將清水再擇便	浣 入 嚴 灰 一 洗 垢 膩 俱 盡 然 將 清 水 再 擇 便 
T85n2855_001:1305a09	得鮮潔之衣。懺悔亦復如是。造罪得罪懺悔	得 鮮 潔 之 衣 懺 悔 亦復如是 造 罪 得 罪 懺 悔 
T85n2855_001:1305a10	罪滅。即是清淨功德之身。聳身跪[跳兆+國]右膝著	罪 滅 即 是 清 淨 功 德 之 身 聳 身 跪 [跳兆國] 右 膝 著 
T85n2855_001:1305a11	地。莫左膝著地。合掌當心深生渴仰。	地 莫 左 膝 著 地 合 掌 當 心 深 生 渴 仰 
T85n2855_001:1305a12	弟子某乙等。合道場人一心。歸命十方三世	弟 子 某 乙 等 合 道 場 人 一 心 歸 命 十 方 三 世 
T85n2855_001:1305a13	盡空虛界一切諸佛諸大菩薩摩訶薩眾。大	盡 空 虛 界 一切諸佛 諸 大 菩薩摩訶薩 眾 大 
T85n2855_001:1305a14	慈大悲憐愍弟子攝授弟子不捨弟子擁護弟	慈 大 悲 憐 愍 弟 子 攝 授 弟 子 不 捨 弟 子 擁 護 弟 
T85n2855_001:1305a15	子拔濟弟子度脫弟子救度弟子加備弟子饒	子 拔 濟 弟 子 度 脫 弟 子 救 度 弟 子 加 備 弟 子 饒 
T85n2855_001:1305a16	益弟子接引弟子救濟弟子哀愍弟子受弟	益 弟 子 接 引 弟 子 救 濟 弟 子 哀 愍 弟 子 受 弟 
T85n2855_001:1305a17	子。□所佛懺悔。從無始時來乃至今日。身處	子 所 佛 懺 悔 從 無始時來 乃 至 今 日 身 處 
T85n2855_001:1305a18	凡夫具足煩惱。被貪嗔癡無量煩惱覆沒三	凡 夫 具 足 煩 惱 被 貪 嗔 癡 無 量 煩 惱 覆 沒 三 
T85n2855_001:1305a19	業迷惑三業不善三業。貪嗔嫉妬我慢貢高	業 迷 惑 三 業 不 善 三 業 貪 嗔 嫉 妬 我 慢 貢 高 
T85n2855_001:1305a20	不仁不義不敬不崇。於父母所不行慈孝。發	不 仁 不 義 不 敬 不 崇 於 父 母 所 不 行 慈 孝 發 
T85n2855_001:1305a21	言應對邪睛努目。令生怨恨令生苦惱。惱亂	言 應 對 邪 睛 努 目 令 生 怨 恨 令 生 苦 惱 惱 亂 
T85n2855_001:1305a22	父母不自覺知。或於兄弟姊妹六親心無恭	父 母 不 自 覺 知 或 於 兄 弟 姊 妹 六 親 心 無 恭 
T85n2855_001:1305a23	順不行孝義。或於鄉閭朋友智識四隣並舍。	順 不 行 孝 義 或 於 鄉 閭 朋 友 智 識 四 隣 並 舍 
T85n2855_001:1305a24	常相侵欺常相說道常相謗譏。或盜用三寶	常 相 侵 欺 常 相 說 道 常 相 謗 譏 或 盜 用 三 寶 
T85n2855_001:1305a25	一切財物。借貸不還。渧叵債負。十惡五逆無	一 切 財 物 借 貸 不 還 渧 叵 債 負 十 惡 五 逆 無 
T85n2855_001:1305a26	間重罪。起大邪見撥無因過。破塔壞寺焚燒	間 重 罪 起 大 邪 見 撥 無 因 過 破 塔 壞 寺 焚 燒 
T85n2855_001:1305a27	經像。謗三乘法言非佛說。障蔽依難凌蔑上	經 像 謗 三 乘 法 言 非 佛 說 障 蔽 依 難 凌 蔑 上 
T85n2855_001:1305a28	下。打罵大小因公約私。造諸罪障破齋破戒。	下 打 罵 大 小 因 公 約 私 造 諸 罪 障 破 齋 破 戒 
T85n2855_001:1305a29	罵辱師僧謗譏賢聖。輕凌道俗身三口四意	罵 辱 師 僧 謗 譏 賢 聖 輕 凌 道 俗 身 三 口 四 意 
T85n2855_001:1305b01	三□等。身作不善行。行殺盜婬。口作不善行	三 等 身 作 不 善 行 行 殺 盜 婬 口 作 不 善 行 
T85n2855_001:1305b02	妄言綺語。兩舌惡罵。意作不善行貪嗔邪見。	妄 言 綺 語 兩 舌 惡 罵 意 作 不 善 行 貪 嗔 邪 見 
T85n2855_001:1305b03	常夜常行十不善業。一切罪障無量無邊。或	常 夜 常 行 十不善業 一 切 罪 障 無量無邊 或 
T85n2855_001:1305b04	於莊園溉灌瀆田。損殺虫蟻撲滅蚊虻。□害	於 莊 園 溉 灌 瀆 田 損 殺 虫 蟻 撲 滅 蚊 虻 害 
T85n2855_001:1305b05	蟣虱。財施法施常生慳惜。不濟所須。見人	蟣 虱 財 施 法 施 常 生 慳 惜 不 濟 所 須 見 人 
T85n2855_001:1305b06	有苦不能相救。不生慈慜不起慈悲。却生慶	有 苦 不 能 相 救 不 生 慈 慜 不 起 慈 悲 却 生 慶 
T85n2855_001:1305b07	快。見弟安樂見有勝己不生隨喜。乃至嫉妬	快 見 弟 安 樂 見 有 勝 己 不 生 隨 喜 乃 至 嫉 妬 
T85n2855_001:1305b08	心行不忍。無慈無悲無慚無愧。心懷慘毒由	心 行 不 忍 無 慈 無 悲 無慚無愧 心 懷 慘 毒 由 
T85n2855_001:1305b09	如虎狼。由如羅剎寺舍往來。踐踏污泥飲酒	如 虎 狼 由 如 羅 剎 寺 舍 往 來 踐 踏 污 泥 飲 酒 
T85n2855_001:1305b10	食肉無厭無足。及食五辛及食五辛韮蒜薰	食 肉 無 厭 無 足 及 食 五 辛 及 食 五 辛 韮 蒜 薰 
T85n2855_001:1305b11	穢凡聖。或於市彊貪心求利。輕秤小計種種	穢 凡 聖 或 於 市 彊 貪 心 求 利 輕 秤 小 計 種 種 
T85n2855_001:1305b12	方便劫奪眾生。損於平人。惡求多求取人財	方 便 劫 奪 眾 生 損 於 平 人 惡 求 多 求 取 人 財 
T85n2855_001:1305b13	物不自覺知。殺生無量斷大慈悲。偷盜無量	物 不 自 覺 知 殺 生 無 量 斷 大 慈 悲 偷 盜 無 量 
T85n2855_001:1305b14	棄人財寶。邪行無量污淨梵行。妄語無量欺	棄 人 財 寶 邪 行 無 量 污 淨 梵 行 妄 語 無 量 欺 
T85n2855_001:1305b15	誑一切。貪欲無量心無厭足。兩舌無量□亂	誑 一 切 貪 欲 無 量 心 無 厭 足 兩 舌 無 量 亂 
T85n2855_001:1305b16	和合。惡口無量罵辱凡聖。綺語無量喜弄正	和 合 惡 口 無 量 罵 辱 凡 聖 綺 語 無 量 喜 弄 正 
T85n2855_001:1305b17	法。嗔恚無量打罵眾生。廣造諸罪無量無邊。	法 嗔 恚 無 量 打 罵 眾 生 廣 造 諸 罪 無量無邊 
T85n2855_001:1305b18	見有修行作諸善業。往來寺舍禮拜三寶。修	見 有 修 行 作 諸 善 業 往 來 寺 舍 禮 拜 三 寶 修 
T85n2855_001:1305b19	持齋戒讀誦經典。發菩提心行菩薩行。坐禪	持 齋 戒 讀 誦 經 典 發菩提心 行 菩 薩 行 坐 禪 
T85n2855_001:1305b20	修道作諸功德。不能相助不能隨喜。不能相	修 道 作 諸 功 德 不 能 相 助 不 能 隨 喜 不 能 相 
T85n2855_001:1305b21	勸不能讚嘆。却為遮障却生謗譏。却相調弄	勸 不 能 讚 嘆 却 為 遮 障 却 生 謗 譏 却 相 調 弄 
T85n2855_001:1305b22	破除眾生修出世因。令修行人□害眾生人	破 除 眾 生 修 出 世 因 令 修 行 人 害 眾 生 人 
T85n2855_001:1305b23	天眼目退菩提心。作大怨家作惡知識。道相	天 眼 目 退 菩 提 心 作 大 怨 家 作 惡 知 識 道 相 
T85n2855_001:1305b24	牽挽墮三惡道。經無量劫受地獄苦。從地獄	牽 挽 墮 三 惡 道 經 無 量 劫 受 地 獄 苦 從 地 獄 
T85n2855_001:1305b25	出縱得人身。盲聾暗瘂諸根不具。或生邊地	出 縱 得 人 身 盲 聾 暗 瘂 諸根不具 或 生 邊 地 
T85n2855_001:1305b26	無佛法處。不知禮義不識善惡。共同禽獸生	無 佛 法 處 不 知 禮 義 不 識 善 惡 共 同 禽 獸 生 
T85n2855_001:1305b27	邪見家。廣造諸罪還墮地獄。無量大劫難得	邪 見 家 廣 造 諸 罪 還 墮 地 獄 無 量 大 劫 難 得 
T85n2855_001:1305b28	解脫。是故今日對十方諸佛十二部經諸大	解 脫 是 故 今 日 對 十方諸佛 十二部經 諸 大 
T85n2855_001:1305b29	菩薩摩訶薩眾緣覺聲聞羅漢聖僧釋梵四王	菩薩摩訶薩 眾 緣 覺 聲 聞 羅 漢 聖 僧 釋 梵 四 王 
T85n2855_001:1305c01	龍天八部冥官業道一切靈祇天眼遠見天耳	龍 天 八 部 冥 官 業 道 一 切 靈 祇 天 眼 遠 見 天 耳 
T85n2855_001:1305c02	遠聞他心遠知神通諸賢聖前。證知弟子今	遠 聞 他 心 遠 知 神 通 諸 賢 聖 前 證 知 弟 子 今 
T85n2855_001:1305c03	日今時深生怕怖深生厭離深自覺悟深自改	日 今 時 深 生 怕 怖 深 生 厭 離 深 自 覺 悟 深 自 改 
T85n2855_001:1305c04	悔深生剋責深生慚愧不敢覆藏。從今已往	悔 深 生 剋 責 深生慚愧 不 敢 覆 藏 從 今 已 往 
T85n2855_001:1305c05	改住修來更不敢造所有罪障。若多若少若	改 住 修 來 更 不 敢 造 所 有 罪 障 若 多 若 少 若 
T85n2855_001:1305c06	輕若重今日今時一念之中一切罪障盡皆消	輕 若 重 今 日 今 時 一 念 之 中 一 切 罪 障 盡 皆 消 
T85n2855_001:1305c07	滅。	滅 
T85n2855_001:1305c08	唯願十方諸大慈尊證知護念。我今懺悔不	唯 願 十 方 諸 大 慈 尊 證 知 護 念 我 今 懺 悔 不 
T85n2855_001:1305c09	復更造。願我及一切眾生速得除滅。無量劫	復 更 造 願 我 及 一 切 眾 生 速 得 除 滅 無 量 劫 
T85n2855_001:1305c10	來十惡五逆四重。顛倒謗毀三寶阿闡提罪。	來 十 惡 五 逆 四 重 顛 倒 謗 毀 三 寶 阿 闡 提 罪 
T85n2855_001:1305c11	復應思惟如是罪性但從虛妄顛倒心起。無	復 應 思 惟 如 是 罪 性 但 從 虛 妄 顛 倒 心 起 無 
T85n2855_001:1305c12	有真實而可得者本唯空寂。願我及一切眾	有 真 實 而 可 得 者 本 唯 空 寂 願 我 及 一 切 眾 
