T48n2009_001:0365a08	小室六門	小 室 六 門 
T48n2009_001:0366a19	莫心孤。世間善知識。言論法細麁。頓悟心平	莫 心 孤 世 間 善 知 識 言 論 法 細 麁 頓 悟 心 平 
T48n2009_001:0366a20	等。中間有相除。	等 中 間 有 相 除 
T48n2009_001:0366a21	依般若波羅蜜多故。	依 般 若 波羅蜜多 故 
T48n2009_001:0366a22	般若言智慧。波羅無所依。心空性廣大。內外	般 若 言 智 慧 波 羅 無 所 依 心 空 性 廣 大 內 外 
T48n2009_001:0366a23	盡無為。性空無礙辯。三界達人稀。大見明大	盡 無 為 性 空 無 礙 辯 三 界 達 人 稀 大 見 明 大 
T48n2009_001:0366a24	法。皆讚不思議。	法 皆 讚 不 思 議 
T48n2009_001:0366a25	心無罣礙。	心 無 罣 礙 
T48n2009_001:0366a26	解脫心無閡。意若太虛空。四維無一物。上下	解 脫 心 無 閡 意 若 太 虛 空 四 維 無 一 物 上 下 
T48n2009_001:0366a27	悉皆同。來往心自在。人法不相逢。訪道不見	悉 皆 同 來 往 心 自 在 人 法 不 相 逢 訪 道 不 見 
T48n2009_001:0366a28	物。任運出煩籠。	物 任 運 出 煩 籠 
T48n2009_001:0366a29	無罣礙故無有恐怖。	無 罣 礙 故 無 有 恐 怖 
T48n2009_001:0366b01	生死心恐怖。無為性自安。境忘心亦滅。性海	生 死 心 恐 怖 無 為 性 自 安 境 忘 心 亦 滅 性 海 
T48n2009_001:0366b02	湛然寬。三身歸淨土。八識離因緣。六通隨實	湛 然 寬 三 身 歸 淨 土 八 識 離 因 緣 六 通 隨 實 
T48n2009_001:0366b03	相。復本却還源。	相 復 本 却 還 源 
T48n2009_001:0366b04	遠離一切顛倒夢想。	遠 離 一 切 顛 倒 夢 想 
T48n2009_001:0366b05	二邊純莫立。中道勿心修。見性生死盡。菩提	二 邊 純 莫 立 中 道 勿 心 修 見 性 生 死 盡 菩 提 
T48n2009_001:0366b06	無所求。身外覓真佛。顛倒一生休。靜坐身安	無 所 求 身 外 覓 真 佛 顛 倒 一 生 休 靜 坐 身 安 
T48n2009_001:0366b07	樂。無為果自周。	樂 無 為 果 自 周 
T48n2009_001:0366b08	究竟涅槃。	究竟涅槃 
T48n2009_001:0366b09	究竟無生性。清淨是涅槃。凡夫莫測聖。未到	究 竟 無 生 性 清 淨 是 涅 槃 凡 夫 莫 測 聖 未 到 
T48n2009_001:0366b10	即應難。有學却無學。佛智轉深玄。要會無心	即 應 難 有 學 却 無 學 佛 智 轉 深 玄 要 會 無 心 
T48n2009_001:0366b11	理。莫著息心源。	理 莫 著 息 心 源 
T48n2009_001:0366b12	三世諸佛。	三世諸佛 
T48n2009_001:0366b13	過去非言實。未來不為真。現在菩提子。無法	過 去 非 言 實 未 來 不 為 真 現 在 菩 提 子 無 法 
T48n2009_001:0366b14	號玄門。三身同歸一。一性遍含身。達理非三	號 玄 門 三 身 同 歸 一 一 性 遍 含 身 達 理 非 三 
T48n2009_001:0366b15	世。一法得無因。	世 一 法 得 無 因 
T48n2009_001:0366b16	依般若波羅蜜多故得阿耨多羅三藐三菩	依 般 若 波羅蜜多 故 得 阿 耨 多 羅 三 藐 三 菩 
T48n2009_001:0366b17	提。	提 
T48n2009_001:0366b18	佛智深難測。慧解廣無邊。無上心正遍。慈光	佛 智 深 難 測 慧 解 廣 無 邊 無 上 心 正 遍 慈 光 
T48n2009_001:0366b19	滿大千。寂滅心中巧。建立萬餘般。菩薩多方	滿 大 千 寂 滅 心 中 巧 建 立 萬 餘 般 菩 薩 多 方 
T48n2009_001:0366b20	便。普救為人天。	便 普 救 為 人 天 
T48n2009_001:0366b21	故知般若波羅蜜多是大神呪是大明呪。	故 知 般 若 波羅蜜多 是 大 神 呪 是 大 明 呪 
T48n2009_001:0366b22	般若為神呪。能除五蘊疑。煩惱皆斷盡。清淨	般 若 為 神 呪 能 除 五 蘊 疑 煩 惱 皆 斷 盡 清 淨 
T48n2009_001:0366b23	自分離。四智波無盡。八識有神威。心燈明法	自 分 離 四 智 波 無 盡 八 識 有 神 威 心 燈 明 法 
T48n2009_001:0366b24	界。即此是菩提。	界 即 此 是 菩 提 
T48n2009_001:0366b25	是無上呪。	是 無 上 呪 
T48n2009_001:0366b26	無上稱最勝。拔濟為群迷。摩訶三界主。願廣	無 上 稱 最 勝 拔 濟 為 群 迷 摩 訶 三 界 主 願 廣 
T48n2009_001:0366b27	起慈悲。能順眾生意。隨流引化迷。人人起彼	起 慈 悲 能 順 眾 生 意 隨 流 引 化 迷 人 人 起 彼 
T48n2009_001:0366b28	岸。由我不由伊。	岸 由 我 不 由 伊 
T48n2009_001:0366b29	是無等等呪。	是 無 等 等 呪 
T48n2009_001:0366c01	佛道成千聖。法力更無過。真空滅諸有。示現	佛 道 成 千 聖 法 力 更 無 過 真 空 滅 諸 有 示 現 
T48n2009_001:0366c02	化身多。來為眾生苦。去為世間魔。劫石皆歸	化 身 多 來 為 眾 生 苦 去 為 世 間 魔 劫 石 皆 歸 
T48n2009_001:0366c03	盡。唯我在娑婆。	盡 唯 我 在 娑 婆 
T48n2009_001:0366c04	能除一切苦真實不虛。	能 除 一 切 苦 真 實 不 虛 
T48n2009_001:0366c05	佛願慈心廣。世世度眾生。弘法談真理。普勸	佛 願 慈 心 廣 世 世 度 眾 生 弘 法 談 真 理 普 勸 
T48n2009_001:0366c06	急修行。回心見實相。苦盡見無生。永息三惡	急 修 行 回 心 見 實 相 苦 盡 見 無 生 永 息 三 惡 
T48n2009_001:0366c07	道。坦蕩樂裏裏。	道 坦 蕩 樂 裏 裏 
T48n2009_001:0366c08	故說般若波羅蜜多呪。	故 說 般 若 波羅蜜多 呪 
T48n2009_001:0366c09	故說真如理。未悟速心回。六賊十惡滅。魔山	故 說 真 如 理 未 悟 速 心 回 六 賊 十 惡 滅 魔 山 
T48n2009_001:0366c10	合底摧。神呪除三毒。心花五葉開。果熟根盤	合 底 摧 神 呪 除 三 毒 心 花 五 葉 開 果 熟 根 盤 
T48n2009_001:0366c11	結。步步見如來。	結 步 步 見 如 來 
T48n2009_001:0366c12	即說呪曰羯諦羯諦波羅羯諦波羅僧羯諦菩	即 說 呪 曰 羯 諦 羯 諦 波 羅 羯 諦 波 羅 僧 羯 諦 菩 
T48n2009_001:0366c13	提薩婆訶。	提 薩 婆 訶 
T48n2009_001:0366c14	羯諦本宗綱。扶機建法幢。如來最尊勝。凡心	羯 諦 本 宗 綱 扶 機 建 法 幢 如 來 最 尊 勝 凡 心 
T48n2009_001:0366c15	莫等量。無邊無中際。無短亦無長。般若波羅	莫 等 量 無 邊 無 中 際 無 短 亦 無 長 般 若 波 羅 
T48n2009_001:0366c16	蜜。萬代古今常。	蜜 萬 代 古 今 常 
T48n2009_001:0366c17	摩訶般若波羅蜜多心經。	摩訶般若波羅蜜 多 心 經 
T48n2009_001:0366c18	第二門破相論	第 二 門 破 相 論 
T48n2009_001:0366c19	問曰。若復有人。志求佛道。當修何法。最為省	問 曰 若 復 有 人 志 求 佛 道 當 修 何 法 最 為 省 
T48n2009_001:0366c20	要。答曰。唯觀心一法。總攝諸法。最為省要。	要 答 曰 唯 觀 心 一 法 總 攝 諸 法 最 為 省 要 
T48n2009_001:0366c21	問曰。何一法能攝諸法。答。心者萬法之根本。	問 曰 何 一 法 能 攝 諸 法 答 心 者 萬 法 之 根 本 
T48n2009_001:0366c22	一切諸法唯心所生。若能了心。則萬法俱備。	一切諸法 唯 心 所 生 若 能 了 心 則 萬 法 俱 備 
T48n2009_001:0366c23	猶如大樹所有枝條及諸花果。皆悉依根而	猶 如 大 樹 所 有 枝 條 及 諸 花 果 皆 悉 依 根 而 
T48n2009_001:0366c24	始生。及伐樹去根而必死。若了心修道。則省	始 生 及 伐 樹 去 根 而 必 死 若 了 心 修 道 則 省 
T48n2009_001:0366c25	力而易成。不了心而修道。則費功而無益。	力 而 易 成 不 了 心 而 修 道 則 費 功 而 無 益 
T48n2009_001:0366c26	故知一切善惡皆由自心。心外別求。終無是	故 知 一 切 善 惡 皆 由 自 心 心 外 別 求 終 無 是 
T48n2009_001:0366c27	處。	處 
T48n2009_001:0366c28	問。云何觀心稱之為了。答。菩薩摩訶薩。行深	問 云 何 觀 心 稱 之 為 了 答 菩薩摩訶薩 行 深 
T48n2009_001:0366c29	般若波羅蜜多時。了四大五陰本空無我。了	般 若 波羅蜜多 時 了 四 大 五 陰 本 空 無 我 了 
T48n2009_001:0367a01	見自心起用有二種差別。云何為二。一者淨	見 自 心 起 用 有 二 種 差 別 云 何 為 二 一 者 淨 
T48n2009_001:0367a02	心。二者染心。此二種心法界自然。本來俱有。	心 二 者 染 心 此 二 種 心 法 界 自 然 本 來 俱 有 
T48n2009_001:0367a03	雖離假緣。合互相待。淨心恒樂善因。染體常	雖 離 假 緣 合 互 相 待 淨 心 恒 樂 善 因 染 體 常 
T48n2009_001:0367a04	思惡業。若不受所染。則稱之為聖。遂能遠離	思 惡 業 若 不 受 所 染 則 稱 之 為 聖 遂 能 遠 離 
T48n2009_001:0367a05	諸苦。證涅槃樂。若隨染心造業。受其纏覆。則	諸 苦 證 涅 槃 樂 若 隨 染 心 造 業 受 其 纏 覆 則 
T48n2009_001:0367a06	名之為凡。沈淪三界。受種種苦。何以故。由	名 之 為 凡 沈 淪 三 界 受 種 種 苦 何 以 故 由 
T48n2009_001:0367a07	彼染心障真如體故。十地經云。眾生身中。有	彼 染 心 障 真 如 體 故 十 地 經 云 眾 生 身 中 有 
T48n2009_001:0367a08	金剛佛性。猶如日輪體明圓滿廣大無邊。只	金 剛 佛 性 猶 如 日 輪 體 明 圓 滿 廣 大 無 邊 只 
T48n2009_001:0367a09	為五陰重雲覆。如瓶內燈光不能顯現。又涅	為 五 陰 重 雲 覆 如 瓶 內 燈 光 不 能 顯 現 又 涅 
T48n2009_001:0367a10	槃經云。一切眾生悉有佛性。無明覆故。不得	槃 經 云 一 切 眾 生 悉 有 佛 性 無 明 覆 故 不 得 
T48n2009_001:0367a11	解脫。佛性者即覺性也。但自覺覺他。覺智明	解 脫 佛 性 者 即 覺 性 也 但 自覺覺他 覺 智 明 
T48n2009_001:0367a12	了。則名解脫。故知一切諸善以覺為根。因其	了 則 名 解 脫 故 知 一 切 諸 善 以 覺 為 根 因 其 
T48n2009_001:0367a13	覺根。遂能顯現諸功德樹。涅槃之果。因此而	覺 根 遂 能 顯 現 諸 功 德 樹 涅 槃 之 果 因 此 而 
T48n2009_001:0367a14	成。如是觀心。可名為了。	成 如 是 觀 心 可 名 為 了 
T48n2009_001:0367a15	問。上說真如佛性一切功德因覺為根。未審	問 上 說 真 如 佛 性 一切功德 因 覺 為 根 未 審 
T48n2009_001:0367a16	無明之心以何為根。答。無明之心。雖有八萬	無 明 之 心 以 何 為 根 答 無 明 之 心 雖 有 八 萬 
T48n2009_001:0367a17	四千煩惱情欲及恒河沙眾惡。皆因三毒。以	四 千 煩 惱 情 欲 及 恒 河 沙 眾 惡 皆 因 三 毒 以 
T48n2009_001:0367a18	為根本。其三毒者。即貪嗔癡是也。此三毒	為 根 本 其 三 毒 者 即 貪 嗔 癡 是 也 此 三 毒 
T48n2009_001:0367a19	心。自能具足一切諸惡。猶如大樹。根雖是	心 自 能 具 足 一 切 諸 惡 猶 如 大 樹 根 雖 是 
T48n2009_001:0367a20	一。所生枝葉其數無邊。彼三毒根。一一根中。	一 所 生 枝 葉 其 數 無 邊 彼 三 毒 根 一 一 根 中 
T48n2009_001:0367a21	生諸惡業。百千萬億。倍過於前。不可為喻。如	生 諸 惡 業 百 千 萬 億 倍 過 於 前 不 可 為 喻 如 
T48n2009_001:0367a22	是三毒心。於本體中。應現六根。亦名六賊。即	是 三 毒 心 於 本 體 中 應 現 六 根 亦 名 六 賊 即 
T48n2009_001:0367a23	六識也。由此六識出入諸根。貪著萬境。能成	六 識 也 由 此 六 識 出 入 諸 根 貪 著 萬 境 能 成 
T48n2009_001:0367a24	惡業。障真如體。故名六賊。眾生由此三毒六	惡 業 障 真 如 體 故 名 六 賊 眾 生 由 此 三 毒 六 
T48n2009_001:0367a25	賊。惑亂身心。沈沒生死。輪迴六趣。受諸苦	賊 惑 亂 身 心 沈 沒 生 死 輪 迴 六 趣 受 諸 苦 
T48n2009_001:0367a26	惱。猶如江河。因少泉源。涓流不絕。乃能彌	惱 猶 如 江 河 因 少 泉 源 涓 流 不 絕 乃 能 彌 
T48n2009_001:0367a27	漫。波濤萬里。若復有人斷其本源。即眾流皆	漫 波 濤 萬 里 若 復 有 人 斷 其 本 源 即 眾 流 皆 
T48n2009_001:0367a28	息。求解脫者。能轉三毒為三聚淨戒。轉六賊	息 求 解 脫 者 能 轉 三 毒 為 三聚淨戒 轉 六 賊 
T48n2009_001:0367a29	為六波羅蜜。自然永離一切苦海。	為 六波羅蜜 自 然 永 離 一 切 苦 海 
T48n2009_001:0367b01	問。六趣三界廣大無邊。若唯觀心。何由免無	問 六 趣 三 界 廣 大 無 邊 若 唯 觀 心 何 由 免 無 
T48n2009_001:0367b02	窮之苦。答。三界業報唯心所生。本若無心。於	窮 之 苦 答 三 界 業 報 唯 心 所 生 本 若 無 心 於 
T48n2009_001:0367b03	三界中。即出三界。其三界者。即三毒也。貪為	三 界 中 即 出 三 界 其 三 界 者 即 三 毒 也 貪 為 
T48n2009_001:0367b04	欲界。嗔為色界。癡為無色界。故名三界。由此	欲 界 嗔 為 色 界 癡 為 無 色 界 故 名 三 界 由 此 
T48n2009_001:0367b05	三毒。造業輕重。受報不同。分歸六處。故名六	三 毒 造 業 輕 重 受 報 不 同 分 歸 六 處 故 名 六 
T48n2009_001:0367b06	趣。	趣 
T48n2009_001:0367b07	問。云何輕重分之為六。答。眾生不了正因。迷	問 云 何 輕 重 分 之 為 六 答 眾 生 不 了 正 因 迷 
T48n2009_001:0367b08	心修善。未免三界。生三輕趣。云何三輕趣。所	心 修 善 未 免 三 界 生 三 輕 趣 云 何 三 輕 趣 所 
T48n2009_001:0367b09	謂迷修十善。妄求快樂。未免貪界。生於天趣。	謂 迷 修 十 善 妄 求 快 樂 未 免 貪 界 生 於 天 趣 
T48n2009_001:0367b10	迷持五戒。妄起愛憎。未免嗔界。生於人趣。迷	迷 持 五 戒 妄 起 愛 憎 未 免 嗔 界 生 於 人 趣 迷 
T48n2009_001:0367b11	執有為。信邪求福。未免癡界。生阿修羅趣。如	執 有 為 信 邪 求 福 未 免 癡 界 生 阿 修 羅 趣 如 
T48n2009_001:0367b12	是三類。名三輕趣。云何三重趣。所謂縱三毒	是 三 類 名 三 輕 趣 云 何 三 重 趣 所 謂 縱 三 毒 
T48n2009_001:0367b13	心。唯造惡業。墮三重趣。若貪業重者。墮餓鬼	心 唯 造 惡 業 墮 三 重 趣 若 貪 業 重 者 墮 餓 鬼 
T48n2009_001:0367b14	趣。嗔業重者。墮地獄趣。癡業重者。墮畜生	趣 嗔 業 重 者 墮 地 獄 趣 癡 業 重 者 墮 畜 生 
T48n2009_001:0367b15	趣。如是三重。通前三輕。遂成六趣。故知一切	趣 如 是 三 重 通 前 三 輕 遂 成 六 趣 故 知 一 切 
T48n2009_001:0367b16	苦業由自心生。但能攝心。離諸邪惡。三界六	苦 業 由 自 心 生 但 能 攝 心 離 諸 邪 惡 三 界 六 
T48n2009_001:0367b17	趣輪迴之苦。自然消滅。即得解脫。	趣 輪 迴 之 苦 自 然 消 滅 即 得 解 脫 
T48n2009_001:0367b18	問。如佛所說。我於三大阿僧祇劫。無量勤苦。	問 如 佛 所 說 我 於 三 大阿僧祇劫 無 量 勤 苦 
T48n2009_001:0367b19	方成佛道。云何今說唯只觀心而制三毒即	方 成 佛 道 云 何 今 說 唯 只 觀 心 而 制 三 毒 即 
T48n2009_001:0367b20	名解脫。答。佛所說言。無虛妄也。阿僧祇劫	名 解 脫 答 佛 所 說 言 無 虛 妄 也 阿僧祇劫 
T48n2009_001:0367b21	者。即三毒心也。胡言阿僧祇。漢名不可數。此	者 即 三 毒 心 也 胡 言 阿 僧 祇 漢 名 不 可 數 此 
T48n2009_001:0367b22	三毒心。於中有恒沙惡念。於一一念中。皆為	三 毒 心 於 中 有 恒 沙 惡 念 於 一 一 念 中 皆 為 
T48n2009_001:0367b23	一劫。如是恒沙不可數也。故言三大阿僧祇。	一 劫 如 是 恒 沙 不 可 數 也 故 言 三 大 阿 僧 祇 
T48n2009_001:0367b24	真如之性。既被三毒之所覆蓋。若不超彼三	真 如 之 性 既 被 三 毒 之 所 覆 蓋 若 不 超 彼 三 
T48n2009_001:0367b25	大恒沙毒惡之心。云何名為解脫。今若能轉	大 恒 沙 毒 惡 之 心 云 何 名 為 解 脫 今 若 能 轉 
