X55n0907_001:0642c03	禪門章	禪 門 章 
X55n0907_001:0642c17	明九種大禪自性。一切門善人。一切行除惱。他世樂	明 九 種 大 禪 自 性 一 切 門 善 人 一 切 行 除 惱 他 世 樂 
X55n0907_001:0642c18	清淨等禪。直觀諸法實相。離名絕相。亡去心法。四句	清 淨 等 禪 直 觀 諸法實相 離 名 絕 相 亡 去 心 法 四 句 
X55n0907_001:0642c19	撿洗。體達虗妄。始自菩薩藏聞思前行。終于大菩提	撿 洗 體 達 虗 妄 始 自 菩 薩 藏 聞 思 前 行 終 于 大 菩 提 
X55n0907_001:0642c20	果。雖有九禪之差。悉是約理研心。無復事中堦梯。如	果 雖 有 九 禪 之 差 悉 是 約 理 研 心 無 復 事 中 堦 梯 如 
X55n0907_001:0642c21	前之次。故名非次也。已現止觀(云云)無方赴機明禪	前 之 次 故 名 非 次 也 已 現 止 觀 云 云 無 方 赴 機 明 禪 
X55n0907_001:0642c22	者。即是非次第非不次第也。自有一種機緣亦非方	者 即 是 非 次 第 非 不 次 第 也 自 有 一 種 機 緣 亦 非 方 
X55n0907_001:0642c23	便漸次之根。亦非頓悟之性。不可定作次第之說。亦	便 漸 次 之 根 亦 非 頓 悟 之 性 不 可 定 作 次 第 之 說 亦 
X55n0907_001:0642c24	不可定作非次第說。則應以無方不定赴此機緣。此	不 可 定 作 非 次 第 說 則 應 以 無 方 不 定 赴 此 機 緣 此 
X55n0907_001:0643a01	緣不定不可一准。故言非次第非不次第也。此三直	緣 不 定 不 可 一 准 故 言 非 次 第 非 不 次 第 也 此 三 直 
X55n0907_001:0643a02	與常途所明頓漸．偏方．不定。名字乃同。而對當無方	與 常 途 所 明 頓 漸 偏 方 不 定 名 字 乃 同 而 對 當 無 方 
X55n0907_001:0643a03	之意與常異也。若以此三意對諸教者。三藏教毗曇．	之 意 與 常 異 也 若 以 此 三 意 對 諸 教 者 三 藏 教 毗 曇 
X55n0907_001:0643a04	成實所說者。即是次第意也。華嚴．地論所明集八禪	成 實 所 說 者 即 是 次 第 意 也 華 嚴 地 論 所 明 集 八 禪 
X55n0907_001:0643a05	眾。明該六十億菩薩。得住無垢地。所辨四十二賢聖	眾 明 該 六 十 億 菩 薩 得 住 無 垢 地 所 辨 四 十 二 賢 聖 
X55n0907_001:0643a06	所修禪定之相。此即非次第意也。若如諸大乘經中	所 修 禪 定 之 相 此 即 非 次 第 意 也 若 如 諸 大 乘 經 中 
X55n0907_001:0643a07	有無方不定者。即如三論正意也。欲學問人。多以智	有 無 方 不 定 者 即 如 三 論 正 意 也 欲 學 問 人 多 以 智 
X55n0907_001:0643a08	慧推撿作三教名說。今約心入道作三禪。名說兩意	慧 推 撿 作 三 教 名 說 今 約 心 入 道 作 三 禪 名 說 兩 意 
X55n0907_001:0643a09	載在餘文。今正明次第禪門淺深之相。故言次第法	載 在 餘 文 今 正 明 次 第 禪 門 淺 深 之 相 故 言 次 第 法 
X55n0907_001:0643a10	門也。故大品云。次第行學道。即此義也。問。應說波若。	門 也 故 大 品 云 次 第 行 學 道 即 此 義 也 問 應 說 波 若 
X55n0907_001:0643a11	何故說此次第禪門耶。答。為顯波若故。如波若明真	何 故 說 此 次 第 禪 門 耶 答 為 顯 波 若 故 如 波 若 明 真 
X55n0907_001:0643a12	空。為顯波若故。亦明其餘次第諸法空。何故爾。今若	空 為 顯 波 若 故 亦 明 其 餘 次 第 諸 法 空 何 故 爾 今 若 
X55n0907_001:0643a13	不遍淺深次第之門。後修般若。般若空未發。其餘空	不 遍 淺 深 次 第 之 門 後 修 般 若 般 若 空 未 發 其 餘 空 
X55n0907_001:0643a14	預前證。謬謂為是。今明次第分別異相為顯般若也。	預 前 證 謬 謂 為 是 今 明 次 第 分 別 異 相 為 顯 般 若 也 
X55n0907_001:0643a15	又所以爾者。為既辨諸法故。若修無漏時。有漏不求	又 所 以 爾 者 為 既 辨 諸 法 故 若 修 無 漏 時 有 漏 不 求 
X55n0907_001:0643a16	而自發。預不先知。謂言非法。謂乖波若。則生棄想。若	而 自 發 預 不 先 知 謂 言 非 法 謂 乖 波 若 則 生 棄 想 若 
X55n0907_001:0643a17	一向取。復混魔事。若丕取。復乖波若。故須分別。又赴	一 向 取 復 混 魔 事 若 丕 取 復 乖 波 若 故 須 分 別 又 赴 
X55n0907_001:0643a18	物機緣故。若有大機。但聞波若即會深理。若無大機	物 機 緣 故 若 有 大 機 但 聞 波 若 即 會 深 理 若 無 大 機 
X55n0907_001:0643a19	必憑屋入理。故說次第也。又眾生憙樂不同故。以欲	必 憑 屋 入 理 故 說 次 第 也 又 眾 生 憙 樂 不 同 故 以 欲 
X55n0907_001:0643a20	拘牽後令入佛道。復次說次第者。為知波若生處故。	拘 牽 後 令 入 佛 道 復 次 說 次 第 者 為 知 波 若 生 處 故 
X55n0907_001:0643a21	若修般若時。會須一法門為方便。為生般若處。隨得	若 修 般 若 時 會 須 一 法 門 為 方 便 為 生 般 若 處 隨 得 
X55n0907_001:0643a22	一法調心則堪修習般若。般若得生也。所以明次第	一 法 調 心 則 堪 修 習 般 若 般 若 得 生 也 所 以 明 次 第 
X55n0907_001:0643a23	者。若直修空於五度。成外道空。食鹽太過。若但五度。	者 若 直 修 空 於 五 度 成 外 道 空 食 鹽 太 過 若 但 五 度 
X55n0907_001:0643a24	五度無用。成凡夫法。今正道修空明般若。以五度調	五 度 無 用 成 凡 夫 法 今 正 道 修 空 明 般 若 以 五 度 調 
X55n0907_001:0643b01	心。方入般若。又說此次第者。嚴飾般若故。復次說次	心 方 入 般 若 又 說 此 次 第 者 嚴 飾 般 若 故 復 次 說 次 
X55n0907_001:0643b02	第者。為益般若故。如薪多火猛。般若無名法。破諸法	第 者 為 益 般 若 故 如 薪 多 火 猛 般 若 無 名 法 破 諸 法 
X55n0907_001:0643b03	故名般若。若不識諸法。則無所破。成般若少。若意識	故 名 般 若 若 不 識 諸 法 則 無 所 破 成 般 若 少 若 意 識 
X55n0907_001:0643b04	廣破。如火益薪也。又說次第者。為明助道故。如得初	廣 破 如 火 益 薪 也 又 說 次 第 者 為 明 助 道 故 如 得 初 
X55n0907_001:0643b05	禪。已離五蓋。乃至非想。離麤惑。斷得般若。斷十細煩	禪 已 離 五 蓋 乃 至 非 想 離 麤 惑 斷 得 般 若 斷 十 細 煩 
X55n0907_001:0643b06	惱則易。如羅漢先除三界惑。後得般若斷習入大乘。	惱 則 易 如 羅 漢 先 除 三 界 惑 後 得 般 若 斷 習 入 大 乘 
X55n0907_001:0643b07	又直般若斷惑乾燥故。得助道資成為易。又說次第	又 直 般 若 斷 惑 乾 燥 故 得 助 道 資 成 為 易 又 說 次 第 
X55n0907_001:0643b08	者。為學無所畏故。直學波若是自行。化他則闕。學次	者 為 學 無 所 畏 故 直 學 波 若 是 自 行 化 他 則 闕 學 次 
X55n0907_001:0643b09	第則隨問能答。眾生信伏。後示真道。又說次第者。菩	第 則 隨 問 能 答 眾 生 信 伏 後 示 真 道 又 說 次 第 者 菩 
X55n0907_001:0643b10	薩欲度眾生。眾生機病無量。須遍學諸法。知病識藥	薩 欲 度 眾 生 眾 生 機 病 無 量 須 遍 學 諸 法 知 病 識 藥 
X55n0907_001:0643b11	故。又說次第者。為通諸經論故。若有事相不通。理亦	故 又 說 次 第 者 為 通 諸 經 論 故 若 有 事 相 不 通 理 亦 
X55n0907_001:0643b12	成壅。復次所以明次第門者。為明中道故。若直明空。	成 壅 復 次 所 以 明 次 第 門 者 為 明 中 道 故 若 直 明 空 
X55n0907_001:0643b13	非是正觀中道。中道者。智者見空及與不空。尚不住	非 是 正 觀 中 道 中 道 者 智 者 見 空 及 與 不 空 尚 不 住 
X55n0907_001:0643b14	空豈住不空。不住二邊雙照二邊。方是正道。又說次	空 豈 住 不 空 不 住 二 邊 雙 照 二 邊 方 是 正 道 又 說 次 
X55n0907_001:0643b15	第者。還反質問者。為當離次第說非次第。為即次第	第 者 還 反 質 問 者 為 當 離 次 第 說 非 次 第 為 即 次 第 
X55n0907_001:0643b16	說耶。若離次而說非次。亦應離色別說於空。若色即	說 耶 若 離 次 而 說 非 次 亦 應 離 色 別 說 於 空 若 色 即 
X55n0907_001:0643b17	是空空不離色。今即次第是非次第。非是離次第而	是 空 空 不 離 色 今 即 次 第 是 非 次 第 非 是 離 次 第 而 
X55n0907_001:0643b18	條然有非次第。說非次第不可得故。故經云。修色無	條 然 有 非 次 第 說 非 次 第 不 可 得 故 故 經 云 修 色 無 
X55n0907_001:0643b19	常已不可得故。乃至識亦如是。修次第不可得。即是	常 已 不 可 得 故 乃 至 識 亦 如 是 修 次 第 不 可 得 即 是 
X55n0907_001:0643b20	非次第也。	非 次 第 也 
X55n0907_001:0643b21	釋十科意者。初五是解心希向。欲求定意。未是修行	釋 十 科 意 者 初 五 是 解 心 希 向 欲 求 定 意 未 是 修 行 
X55n0907_001:0643b22	之法。後五是自解而起行。內外方便方正是進。行若	之 法 後 五 是 自 解 而 起 行 內 外 方 便 方 正 是 進 行 若 
X55n0907_001:0643b23	無解不得立行。解是行本。故請觀音云。大智本行。又	無 解 不 得 立 行 解 是 行 本 故 請 觀 音 云 大 智 本 行 又 
X55n0907_001:0643b24	云。非智不禪。智即是解。禪即是行。若是事中散心布	云 非 智 不 禪 智 即 是 解 禪 即 是 行 若 是 事 中 散 心 布 
X55n0907_001:0643c01	施等行。力用微少。若制心禪寂。發得六通。能雨大千	施 等 行 力 用 微 少 若 制 心 禪 寂 發 得 六 通 能 雨 大 千 
X55n0907_001:0643c02	世界珍寶。遍十方界。已施眾生。當知修禪是大道行	世 界 珍 寶 遍 十 方 界 已 施 眾 生 當 知 修 禪 是 大 道 行 
X55n0907_001:0643c03	也。生起十意次第如文中(云云)。第五得心法者。若是	也 生 起 十 意 次 第 如 文 中 云 云 第 五 得 心 法 者 若 是 
X55n0907_001:0643c04	學義者名為境智。今禪門注名名為心法。第六方便	學 義 者 名 為 境 智 今 禪 門 注 名 名 為 心 法 第 六 方 便 
X55n0907_001:0643c05	一重者。方便名善巧。於內外方便將進得所。巧用四	一 重 者 方 便 名 善 巧 於 內 外 方 便 將 進 得 所 巧 用 四 
X55n0907_001:0643c06	悉檀調心。然後能發諸禪定。故言方便。向下自廣明	悉 檀 調 心 然 後 能 發 諸 禪 定 故 言 方 便 向 下 自 廣 明 
X55n0907_001:0643c07	之。十重明義止齊第六。第七明修證。修名習行。證名	之 十 重 明 義 止 齊 第 六 第 七 明 修 證 修 名 習 行 證 名 
X55n0907_001:0643c08	發得。此一科大有所開。具若修證方法。始論阿鼻地	發 得 此 一 科 大 有 所 開 具 若 修 證 方 法 始 論 阿 鼻 地 
X55n0907_001:0643c09	獄。上至四念處。又從四念處對阿羅漢行行慧行等。	獄 上 至 四 念 處 又 從 四 念 處 對 阿 羅 漢 行 行 慧 行 等 
X55n0907_001:0643c10	又從菩薩藏聞思前行自性禪。及諸地修證等。種種	又 從 菩 薩 藏 聞 思 前 行 自 性 禪 及 諸 地 修 證 等 種 種 
X55n0907_001:0643c11	不同。修相各各異。證相各各異。一一精細。使因果分	不 同 修 相 各 各 異 證 相 各 各 異 一 一 精 細 使 因 果 分 
X55n0907_001:0643c12	明始終可見。義廣今不復論。問。阿鼻是惡趣。云何辨	明 始 終 可 見 義 廣 今 不 復 論 問 阿 鼻 是 惡 趣 云 何 辨 
X55n0907_001:0643c13	修。答。通稱為修。真偽多種。行者為破三寶故而悟禪。	修 答 通 稱 為 修 真 偽 多 種 行 者 為 破 三 寶 故 而 悟 禪 
X55n0907_001:0643c14	此則是修阿鼻禪。問。禪是棄惡。其既惡心。那忽得禪。	此 則 是 修 阿 鼻 禪 問 禪 是 棄 惡 其 既 惡 心 那 忽 得 禪 
X55n0907_001:0643c15	舊解云。此人遮重根利。雖發心時惡。若攝心入禪。根	舊 解 云 此 人 遮 重 根 利 雖 發 心 時 惡 若 攝 心 入 禪 根 
X55n0907_001:0643c16	利故故能發禪。今解不爾。禪有多種。九十六種道隨	利 故 故 能 發 禪 今 解 不 爾 禪 有 多 種 九 十 六 種 道 隨 
X55n0907_001:0643c17	與相應即得邪禪鬼定。此案是邪見之通。得與其修	與 相 應 即 得 邪 禪 鬼 定 此 案 是 邪 見 之 通 得 與 其 修 
X55n0907_001:0643c18	相應(云云)。如調達修禪。即是阿鼻禪也。歷根本．特勝．	相 應 云 云 如 調 達 修 禪 即 是 阿 鼻 禪 也 歷 根 本 特 勝 
X55n0907_001:0643c19	通明．行行．慧行等。修相各各不同。邪正亦異。乃至菩	通 明 行 行 慧 行 等 修 相 各各不同 邪 正 亦 異 乃 至 菩 
X55n0907_001:0643c20	薩藏諸地。修證各有相貌。具有釋當有十卷文(云云)。	薩 藏 諸 地 修 證 各 有 相 貌 具 有 釋 當 有 十 卷 文 云 云 
X55n0907_001:0643c21	第八顯示果報者。果報與修證若為異。修是修習名	第 八 顯 示 果 報 者 果 報 與 修 證 若 為 異 修 是 修 習 名 
X55n0907_001:0643c22	因。證是尅獲名果。此果是習果得報之時。名為報果。	因 證 是 尅 獲 名 果 此 果 是 習 果 得 報 之 時 名 為 報 果 
X55n0907_001:0643c23	從阿鼻去乃至於佛。皆須一一顯示果報。若是二乘。	從 阿 鼻 去 乃 至 於 佛 皆 須 一 一 顯 示 果 報 若 是 二 乘 
X55n0907_001:0643c24	明但有習果無有報果。灰身滅智無受生處故。若大	明 但 有 習 果 無 有 報 果 灰 身 滅 智 無 受 生 處 故 若 大 
X55n0907_001:0644a01	乘所明。此人受法性身亦有報果。若是明菩薩者。三	乘 所 明 此 人 受 法 性 身 亦 有 報 果 若 是 明 菩 薩 者 三 
X55n0907_001:0644a02	賢十聖住果報。何容不得辨果報。佛亦得言報。涅槃	賢 十 聖 住 果 報 何 容 不 得 辨 果 報 佛 亦 得 言 報 涅 槃 
X55n0907_001:0644a03	云。願得無上報。又云。因滅是色獲得常色。亦得明報	云 願 得 無 上 報 又 云 因 滅 是 色 獲 得 常 色 亦 得 明 報 
X55n0907_001:0644a04	也。辨此亦有數卷。第九從禪起教。此有亦行因得果。	也 辨 此 亦 有 數 卷 第 九 從 禪 起 教 此 有 亦 行 因 得 果 
X55n0907_001:0644a05	自行具足復須化他。昔久住生死遍學諸禪。若次若	自 行 具 足 復 須 化 他 昔 久 住 生 死 遍 學 諸 禪 若 次 若 
X55n0907_001:0644a06	非次皆悉究了。知病識藥。隨其所宜而為設教。若設	非 次 皆 悉 究 了 知 病 識 藥 隨 其 所 宜 而 為 設 教 若 設 
X55n0907_001:0644a07	人天教。多從通明禪中起。何以故。此禪深觀五藏。即	人 天 教 多 從 通 明 禪 中 起 何 以 故 此 禪 深 觀 五 藏 即 
X55n0907_001:0644a08	能了達五行。上當五星。下當五岳。陰陽八卦五常天	能 了 達 五 行 上 當 五 星 下 當 五 岳 陰 陽 八 卦 五 常 天 
X55n0907_001:0644a09	文地理醫方笇計軍兵技術曆數禮樂。皆依五行八	文 地 理 醫 方 笇 計 軍 兵 技 術 曆 數 禮 樂 皆 依 五 行 八 
X55n0907_001:0644a10	卦。如此諸事悉在通明禪中而得明了。故知起人天	卦 如 此 諸 事 悉 在 通 明 禪 中 而 得 明 了 故 知 起 人 天 
X55n0907_001:0644a11	乘從此禪出也。若修禪時尸羅不清淨。三昧不現前。	乘 從 此 禪 出 也 若 修 禪 時 尸 羅 不 清 淨 三 昧 不 現 前 
X55n0907_001:0644a12	要須持戒乃得諸禪。發禪之時又發得定共戒。約此	要 須 持 戒 乃 得 諸 禪 發 禪 之 時 又 發 得 定 共 戒 約 此 
X55n0907_001:0644a13	而起戒藏。又四禪即是定。約此起定藏。修禪時觀四	而 起 戒 藏 又 四 禪 即 是 定 約 此 起 定 藏 修 禪 時 觀 四 
X55n0907_001:0644a14	念處。修生法二空。觀慧成就方能見理。發得無漏。故	念 處 修 生 法 二 空 觀 慧 成 就 方 能 見 理 發 得 無 漏 故 
X55n0907_001:0644a15	約此起慧藏。觀空有二種。一拆空。二體空。約折空起	約 此 起 慧 藏 觀 空 有 二 種 一 拆 空 二 體 空 約 折 空 起 
X55n0907_001:0644a16	三藏教之慧藏。約體空起通教之慧藏。禪中者觀諸	三 藏 教 之 慧 藏 約 體 空 起 通 教 之 慧 藏 禪 中 者 觀 諸 
X55n0907_001:0644a17	法雖空。一心具萬行。假名分別。約此起於名相。即別	法 雖 空 一 心 具 萬 行 假 名 分 別 約 此 起 於 名 相 即 別 
X55n0907_001:0644a18	教也。若禪中能觀中道性空真理。即約此起圓頓之	教 也 若 禪 中 能 觀 中 道 性 空 真 理 即 約 此 起 圓 頓 之 
X55n0907_001:0644a19	教。又法性即是佛性。約此而起涅槃之教。大經涅槃	教 又 法 性 即 是 佛 性 約 此 而 起 涅 槃 之 教 大 經 涅 槃 
X55n0907_001:0644a20	者。名深禪定窟也。禪觀於法性。法性能運出二種生	者 名 深 禪 定 窟 也 禪 觀 於 法 性 法 性 能 運 出 二 種 生 
X55n0907_001:0644a21	死。若觀實相理。即是性淨我。若觀智圓明。即圓淨我。	死 若 觀 實 相 理 即 是 性 淨 我 若 觀 智 圓 明 即 圓 淨 我 
X55n0907_001:0644a22	若觀方便。權巧即方便權巧。即方便乘。約此起教。即	若 觀 方 便 權 巧 即 方 便 權 巧 即 方 便 乘 約 此 起 教 即 
X55n0907_001:0644a23	法華會三歸一無上之大乘也。又修禪時觀法性空	法 華 會 三 歸 一 無 上 之 大 乘 也 又 修 禪 時 觀 法 性 空 
X55n0907_001:0644a24	故。即是一切智。觀假名道故。即道種智。觀空假不二。	故 即 是 一 切 智 觀 假 名 道 故 即 道 種 智 觀 空 假 不 二 
X55n0907_001:0644b01	即中道一切種智。約此起教。即是般若也。又禪中觀	即 中 道 一切種智 約 此 起 教 即 是 般 若 也 又 禪 中 觀 
X55n0907_001:0644b02	法。或可依次第觀。或時依不次第觀。若化他時。約此	法 或 可 依 次 第 觀 或 時 依 不 次 第 觀 若 化 他 時 約 此 
X55n0907_001:0644b03	赴緣無方縱任。即是方等維摩之屬。何以故。淨名彈	赴 緣 無 方 縱 任 即 是 方 等 維 摩 之 屬 何 以 故 淨 名 彈 
X55n0907_001:0644b04	斥俗道無方轉變。不唯一種故。又方等中。或大小相	斥 俗 道 無 方 轉 變 不 唯 一 種 故 又 方 等 中 或 大 小 相 
X55n0907_001:0644b05	並並對而說。更相形斥。即是此意也。故知諸教皆約	並 並 對 而 說 更 相 形 斥 即 是 此 意 也 故 知 諸 教 皆 約 
X55n0907_001:0644b06	禪而起。故云諸佛轉法轉輪入涅槃皆在四禪中。約	禪 而 起 故 云 諸 佛 轉 法 轉 輪 入 涅 槃 皆 在 四 禪 中 約 
X55n0907_001:0644b07	禪起教。何教不攝。如是等約作遍起諸教相。此自可	禪 起 教 何 教 不 攝 如 是 等 約 作 遍 起 諸 教 相 此 自 可 
X55n0907_001:0644b08	知。凡有兩卷明此義(云云)。第十結會旨歸者。上九意	知 凡 有 兩 卷 明 此 義 云 云 第 十 結 會 旨 歸 者 上 九 意 
X55n0907_001:0644b09	明禪。自凡至聖。論次甚多。束其旨趣但是一心。故釋	明 禪 自 凡 至 聖 論 次 甚 多 束 其 旨 趣 但是一心 故 釋 
X55n0907_001:0644b10	論云。一切諸法中。但有名與色。若欲如實觀。但當觀	論 云 一切諸法 中 但 有 名 與 色 若 欲 如 實 觀 但 當 觀 
X55n0907_001:0644b11	名色也。色從心生。但觀心性名為上定。故知研心。心	名 色 也 色 從 心 生 但 觀 心 性 名 為 上 定 故 知 研 心 心 
X55n0907_001:0644b12	収萬法。如得珠玉。眾寶皆獲。如牽衣一角。諸處皆動。	収 萬 法 如 得 珠 玉 眾 寶 皆 獲 如 牽 衣 一 角 諸 處 皆 動 
X55n0907_001:0644b13	故條流萬緒歸海而會。禪相不一。篤論但心。觀此心	故 條 流 萬 緒 歸 海 而 會 禪 相 不 一 篤 論 但 心 觀 此 心 
X55n0907_001:0644b14	性即實相理。是故歸宗結要唯在於此也。如是十科。	性 即 實 相 理 是 故 歸 宗 結 要 唯 在 於 此 也 如 是 十 科 
X55n0907_001:0644b15	前五重分別。眾緣家所尚。明顯同異故。第六七二科	前 五 重 分 別 眾 緣 家 所 尚 明 顯 同 異 故 第 六 七 二 科 
X55n0907_001:0644b16	是降心家急要。即自行用。不受學者。不可為說也。此	是 降 心 家 急 要 即 自 行 用 不 受 學 者 不 可 為 說 也 此 
X55n0907_001:0644b17	如戒心不可妄授。下去修證非初學所得。說之無妨。	如 戒 心 不 可 妄 授 下 去 修 證 非 初 學 所 得 說 之 無 妨 
X55n0907_001:0644b18	如律家五名小戒得聽(云云)。	如 律 家 五 名 小 戒 得 聽 云 云 
X55n0907_001:0644b19	釋第一大段。明大意中簡非者。凡有十種。備如止觀	釋 第 一 大 段 明 大 意 中 簡 非 者 凡 有 十 種 備 如 止 觀 
X55n0907_001:0644b20	中說。今略明一兩如者。如為求安樂故修禪。此屬六	中 說 今 略 明 一 兩 如 者 如 為 求 安 樂 故 修 禪 此 屬 六 
X55n0907_001:0644b21	欲天心。作意防持。離惡修善。希於安樂。名屬人道心。	欲 天 心 作 意 防 持 離 惡 修 善 希 於 安 樂 名 屬 人 道 心 
X55n0907_001:0644b22	是故受報假緣方得。若任運心成。不須防護。何以故。	是 故 受 報 假 緣 方 得 若 任 運 心 成 不 須 防 護 何 以 故 
X55n0907_001:0644b23	得禪味故。任運怡悅。或三五日入禪不起。設起出觀。	得 禪 味 故 任 運 怡 悅 或 三 五 日 入 禪 不 起 設 起 出 觀 
X55n0907_001:0644b24	任運有樂。若發心求此名為天心。後受天報自然而	任 運 有 樂 若 發 心 求 此 名 為 天 心 後 受 天 報 自 然 而 
X55n0907_001:0644c01	至。不勞運役。故此心名為天心也。取譬如乾牛皮。雖	至 不 勞 運 役 故 此 心 名 為 天 心 也 取 譬 如 乾 牛 皮 雖 
X55n0907_001:0644c02	強卷舒不隨處分。喻如作意。如牛腦皮。牽觸軟善。喻	強 卷 舒 不 隨 處 分 喻 如 作 意 如 牛 腦 皮 牽 觸 軟 善 喻 
X55n0907_001:0644c03	如入禪。雖復出定猶有滋味。所修戒施不同散心(云	如 入 禪 雖 復 出 定 猶 有 滋 味 所 修 戒 施 不 同 散 心 云 
X55n0907_001:0644c04	云)。又直求勢力是魔心。如魔著於果報。見人出境即	云 又 直 求 勢 力 是 魔 心 如 魔 著 於 果 報 見 人 出 境 即 
X55n0907_001:0644c05	來遮壞。如今時人既有大力受果報故。有人違之即	來 遮 壞 如 今 時 人 既 有 大 力 受 果 報 故 有 人 違 之 即 
X55n0907_001:0644c06	能損他也。又樂諸見者是外道心。欲因禪發慧毀他	能 損 他 也 又 樂 諸 見 者 是 外 道 心 欲 因 禪 發 慧 毀 他 
X55n0907_001:0644c07	顯己。如經中說梨耆彌因緣(云云)。所以禪靜能發邪	顯 己 如 經 中 說 梨 耆 彌 因 緣 云 云 所 以 禪 靜 能 發 邪 
X55n0907_001:0644c08	正二慧。本時邪獲取理。今以靜心瑩之。邪慧即發。便	正 二 慧 本 時 邪 獲 取 理 今 以 靜 心 瑩 之 邪 慧 即 發 便 
X55n0907_001:0644c09	成邪見。本時心正。用定調之。便發正慧。正慧不須簡。	成 邪 見 本 時 心 正 用 定 調 之 便 發 正 慧 正 慧 不 須 簡 
X55n0907_001:0644c10	邪心修禪是故須簡也。又若人俗有求樂欣勢樂見	邪 心 修 禪 是 故 須 簡 也 又 若 人 俗 有 求 樂 欣 勢 樂 見 
X55n0907_001:0644c11	三心者。逐其強弱以判其因。若雖求樂。樂勢力強屬	三 心 者 逐 其 強 弱 以 判 其 因 若 雖 求 樂 樂 勢 力 強 屬 
X55n0907_001:0644c12	魔心。若但樂樂帶少淨心是梵民心。若樂樂又慈人	魔 心 若 但 樂 樂 帶 少 淨 心 是 梵 民 心 若 樂 樂 又 慈 人 
X55n0907_001:0644c13	及物即梵王心。若樂諸見即屬外道。此三心相添隨	及 物 即 梵 王 心 若 樂 諸 見 即 屬 外 道 此 三 心 相 添 隨 
X55n0907_001:0644c14	強判因(云云)。	強 判 因 云 云 
X55n0907_001:0644c15	又直就外道心自判三種。一直修邪。二帶事兼人。三	又 直 就 外 道 心 自 判 三 種 一 直 修 邪 二 帶 事 兼 人 三 
X55n0907_001:0644c16	具上二。傍通名字發邪慧時。成三種外道。一一切智。	具 上 二 傍 通 名 字 發 邪 慧 時 成 三 種 外 道 一 一 切 智 
X55n0907_001:0644c17	二得神通。三韋陀總上二也。通名前三種天心亦是	二 得 神 通 三 韋 陀 總 上 二 也 通 名 前 三 種 天 心 亦 是 
X55n0907_001:0644c18	外道。樂勢力是神通。樂諸見是一切智。帶淨心兼人	外 道 樂 勢 力 是 神 通 樂 諸 見 是 一 切 智 帶 淨 心 兼 人 
X55n0907_001:0644c19	是韋陀。通別邪僻用心皆是不正也。是故非乘中。翻	是 韋 陀 通 別 邪 僻 用 心 皆 是 不 正 也 是 故 非 乘 中 翻 
X55n0907_001:0644c20	邪歸正。對破三外道悟因時。即是三種念處。獲果即	邪 歸 正 對 破 三 外 道 悟 因 時 即 是 三 種 念 處 獲 果 即 
X55n0907_001:0644c21	是三種解脫。破邪顯正(云云)。但一往判十心為因。何	是 三 種 解 脫 破 邪 顯 正 云 云 但 一 往 判 十 心 為 因 何 
X55n0907_001:0644c22	必全爾。如墮地獄自有多種。不止一途。今舉強者以	必 全 爾 如 墮 地 獄 自 有 多 種 不 止 一 途 今 舉 強 者 以 
X55n0907_001:0644c23	為義端耳。乃至二乘入理亦多種法門。略舉數修以	為 義 端 耳 乃 至 二 乘 入 理 亦 多 種 法 門 略 舉 數 修 以 
