T85n2737_001:0120a03	金剛經疏	金 剛 經 疏 
T85n2737_001:0120b28	提。實無所行。而名須菩提。是樂阿蘭那行。自	提 實 無 所 行 而 名 須 菩 提 是 樂 阿 蘭 那 行 自 
T85n2737_001:0120b29	念我得阿羅漢道。即未離欲。非阿蘭那行者。	念 我 得阿羅漢 道 即 未 離 欲 非 阿 蘭 那 行 者 
T85n2737_001:0120c01	是此西音。此名寂靜行也。上來諸文不同。四	是 此 西 音 此 名 寂 靜 行 也 上 來 諸 文 不 同 四 
T85n2737_001:0120c02	沙門果並了。從此以下。降伏正報相依報相。	沙 門 果 並 了 從 此 以 下 降 伏 正 報 相 依 報 相 
T85n2737_001:0120c03	事在明朝。從此以下。說然燈佛。以廣所聞。於	事 在 明 朝 從 此 以 下 說 然 燈 佛 以 廣 所 聞 於 
T85n2737_001:0120c04	中有二。先舉初文。舉。佛告須菩提。如來昔在	中 有 二 先 舉 初 文 舉 佛 告 須 菩 提 如 來 昔 在 
T85n2737_001:0120c05	燃燈佛所。於法有所得不。問所解也。如來昔	燃 燈 佛 所 於 法 有 所 得 不 問 所 解 也 如 來 昔 
T85n2737_001:0120c06	在然燈佛所。有法得無法得。仰答也。從此以	在 然 燈 佛 所 有 法 得 無 法 得 仰 答 也 從 此 以 
T85n2737_001:0120c07	下。止陳實狀。須菩提分疎。舉。世尊。如來在	下 止 陳 實 狀 須 菩 提 分 疎 舉 世 尊 如 來 在 
T85n2737_001:0120c08	燃燈佛所。於法實無所得。以解仰答也。釋迦	燃 燈 佛 所 於 法 實 無 所 得 以 解 仰 答 也 釋 迦 
T85n2737_001:0120c09	曾供養百萬恒沙諸佛。不得佛。何以故。以有	曾 供 養 百 萬 恒 沙 諸 佛 不 得 佛 何 以 故 以 有 
T85n2737_001:0120c10	所得故。所以不得佛。後於然燈佛。乃蒙受	所 得 故 所 以 不 得 佛 後 於 然 燈 佛 乃 蒙 受 
T85n2737_001:0120c11	記。何以故。以無所得故。此名真得。喻有一小	記 何 以 故 以 無 所 得 故 此 名 真 得 喻 有 一 小 
T85n2737_001:0120c12	兒覓度。處處求阿師。處處求索。即敬不得度。	兒 覓 度 處 處 求 阿 師 處 處 求 索 即 敬 不 得 度 
T85n2737_001:0120c13	何以故。以有覓心。於後自讀經即得　然燈	何 以 故 以 有 覓 心 於 後 自 讀 經 即 得 然 燈 
T85n2737_001:0120c14	者會須自然。即得成佛。摩納仙人者。然燈佛	者 會 須 自 然 即 得 成 佛 摩 納 仙 人 者 然 燈 佛 
T85n2737_001:0120c15	與受記。今釋迦者是也。四緣者。一因緣。二	與 受 記 今 釋 迦 者 是 也 四 緣 者 一 因 緣 二 
T85n2737_001:0120c16	無上緣。三等無間緣。四所緣緣。一切法。具此	無 上 緣 三 等無間緣 四 所 緣 緣 一 切 法 具 此 
T85n2737_001:0120c17	四緣。然可成佛言於者。於自身中。十八界中。	四 緣 然 可 成 佛 言 於 者 於 自 身 中 十 八 界 中 
T85n2737_001:0120c18	求其定主。竟不可得。然可得記。上來諸不同。	求 其 定 主 竟 不 可 得 然 可 得 記 上 來 諸 不 同 
T85n2737_001:0120c19	降伏正報相了。從此以下。降伏依報相。於中	降 伏 正 報 相 了 從 此 以 下 降 伏 依 報 相 於 中 
T85n2737_001:0120c20	有三問答。先舉。初文。舉。須菩提。於意云何。	有 三 問 答 先 舉 初 文 舉 須 菩 提 於意云何 
T85n2737_001:0120c21	菩薩莊嚴佛土不。問所解也。菩薩莊嚴佛土。	菩 薩 莊 嚴 佛 土 不 問 所 解 也 菩 薩 莊 嚴 佛 土 
T85n2737_001:0120c22	無問竟也。答。不也世尊。以意正答也。何以	無 問 竟 也 答 不 也 世 尊 以 意 正 答 也 何 以 
T85n2737_001:0120c23	故者。自徵自釋。若也不莊嚴。如得淨土。從	故 者 自 徵 自 釋 若 也 不 莊 嚴 如 得 淨 土 從 
T85n2737_001:0120c24	此以下釋。看舉。莊嚴佛土者。增益心謗。則	此 以 下 釋 看 舉 莊 嚴 佛 土 者 增 益 心 謗 則 
T85n2737_001:0120c25	非莊嚴。損陷心謗。是名莊嚴者。離有離無。啟	非 莊 嚴 損 陷 心 謗 是 名 莊 嚴 者 離有離無 啟 
T85n2737_001:0120c26	會中道。謂取形相。計為清淨。則非莊嚴。取於	會 中 道 謂 取 形 相 計 為 清 淨 則 非 莊 嚴 取 於 
T85n2737_001:0120c27	妄說。實嚴故。此莊嚴是名莊嚴。不依形相。但	妄 說 實 嚴 故 此 莊 嚴 是 名 莊 嚴 不 依 形 相 但 
T85n2737_001:0120c28	依實體。名真莊嚴。維摩經云。以其心淨。佛土	依 實 體 名 真 莊 嚴 維 摩 經 云 以 其 心 淨 佛 土 
T85n2737_001:0120c29	淨故。此名真莊嚴。所見有四。各見不同。且如	淨 故 此 名 真 莊 嚴 所 見 有 四 各 見 不 同 且 如 
T85n2737_001:0121a01	諸天。見水喚作瑠璃。餘者三種。以廣所聞。從	諸 天 見 水 喚 作 瑠 璃 餘 者 三 種 以 廣 所 聞 從 
T85n2737_001:0121a02	此以下釋迦一一教真莊嚴。舉。是故須菩提。	此 以 下 釋 迦 一 一 教 真 莊 嚴 舉 是 故 須 菩 提 
T85n2737_001:0121a03	菩薩摩訶薩。應如是生清淨心。教真莊嚴也	菩薩摩訶薩 應 如 是 生 清 淨 心 教 真 莊 嚴 也 
T85n2737_001:0121a04	　以我生清淨心即得成佛。須三業清淨。一	 以 我 生 清 淨 心 即 得 成 佛 須 三 業 清 淨 一 
T85n2737_001:0121a05	切者。總名菩薩。大者是摩訶薩。小者是菩	切 者 總 名 菩 薩 大 者 是 摩 訶 薩 小 者 是 菩 
T85n2737_001:0121a06	薩。眾生有疑。若為生清淨心。舉。不應住色生	薩 眾 生 有 疑 若 為 生 清 淨 心 舉 不 應 住 色 生 
T85n2737_001:0121a07	心。不應住聲香味觸法生心。若住諸塵。非淨	心 不 應 住 聲香味觸 法 生 心 若 住 諸 塵 非 淨 
T85n2737_001:0121a08	心故。不應住色生心者。有外界內界。內外俱	心 故 不 應 住 色 生 心 者 有 外 界 內 界 內 外 俱 
T85n2737_001:0121a09	捨。故名不住色生心。聲香味觸法生心。於六	捨 故 名 不 住 色 生 心 聲香味觸 法 生 心 於 六 
T85n2737_001:0121a10	塵境界。元無染著。若住諸塵。非淨心故　從	塵 境 界 元 無 染 著 若 住 諸 塵 非 淨 心 故 從 
T85n2737_001:0121a11	以下結勸修學。舉　應無所住。而生其心。即	以 下 結 勸 修 學 舉 應 無 所 住 而 生 其 心 即 
T85n2737_001:0121a12	得解脫。不取下塵界。無所住者。心自淨也	得 解 脫 不 取 下 塵 界 無 所 住 者 心 自 淨 也 
T85n2737_001:0121a13	　上來諸文不同。降伏依報相了　從此以下。	 上 來 諸 文 不 同 降 伏 依 報 相 了 從 此 以 下 
T85n2737_001:0121a14	第六降伏勝身相。佛為末代眾生。妄情執著。	第 六 降 伏 勝 身 相 佛 為 末 代 眾 生 妄 情 執 著 
T85n2737_001:0121a15	富者陵貧。故須降伏　為遣此疑。依喻審。問。	富 者 陵 貧 故 須 降 伏 為 遣 此 疑 依 喻 審 問 
T85n2737_001:0121a16	於中有兩問答。先舉初文。舉　須菩提。譬如	於 中 有 兩 問 答 先 舉 初 文 舉 須 菩 提 譬 如 
T85n2737_001:0121a17	人身。如須彌山王。於意云何。是大不。問所解	人 身 如須彌山 王 於意云何 是 大 不 問 所 解 
T85n2737_001:0121a18	也。於諸山中最大。故名山王。為遣此疑。依喻	也 於 諸 山 中 最 大 故 名 山 王 為 遣 此 疑 依 喻 
T85n2737_001:0121a19	審問。問竟也。答。舉　須菩提言。甚大。世尊	審 問 問 竟 也 答 舉 須 菩 提 言 甚 大 世 尊 
T85n2737_001:0121a20	是領答也。須彌山縱廣八萬四千由旬。故以	是 領 答 也 須 彌 山 縱 廣 八萬四千 由 旬 故 以 
T85n2737_001:0121a21	為喻。須菩提言甚大世尊　何以故徵。從此	為 喻 須 菩 提 言 甚 大 世 尊 何 以 故 徵 從 此 
T85n2737_001:0121a22	以下。釋成大義。舉　佛說大身。是名大身者。	以 下 釋 成 大 義 舉 佛 說 大 身 是 名 大 身 者 
T85n2737_001:0121a23	須彌山雖高。心無分別。佛身亦爾。不分別眾	須 彌 山 雖 高 心 無 分 別 佛 身 亦 爾 不 分 別 眾 
T85n2737_001:0121a24	生佛身。世間八法。所不能動。八法者生老病	生 佛 身 世間八法 所 不 能 動 八 法 者 生 老 病 
T85n2737_001:0121a25	死。地水火風。故名世間八法　衢師羅長者。	死 地水火風 故 名 世間八法 衢 師 羅 長 者 
T85n2737_001:0121a26	見三尺身。應持菩薩。見千尺身。阿修羅大身	見 三 尺 身 應 持 菩 薩 見 千 尺 身 阿 修 羅 大 身 
T85n2737_001:0121a27	無智慧。舍利弗身子小智慧大。可向身量理	無 智 慧 舍 利 弗 身 子 小 智 慧 大 可 向 身 量 理 
T85n2737_001:0121a28	看。須菩提。上來諸佛不同。第六降伏勝身	看 須 菩 提 上 來 諸 佛 不 同 第 六 降 伏 勝 身 
T85n2737_001:0121a29	相了。從以下第七降伏染福相。於中有三四	相 了 從 以 下 第 七 降 伏 染 福 相 於 中 有 三 四 
T85n2737_001:0121b01	五禮。先舉初文。舉　須菩提。如恒河中。所有	五 禮 先 舉 初 文 舉 須 菩 提 如 恒 河 中 所 有 
T85n2737_001:0121b02	沙數。如是沙等恒河。於意云何。是諸恒河沙。	沙 數 如 是 沙 等 恒 河 於意云何 是 諸 恒 河 沙 
T85n2737_001:0121b03	寧為多不。於意云何者。問彼所解。是諸恒河	寧 為 多 不 於意云何 者 問 彼 所 解 是 諸 恒 河 
T85n2737_001:0121b04	者。因神立稱。故名恒河。東面流出。遶阿耨大	者 因 神 立 稱 故 名 恒 河 東 面 流 出 遶 阿 耨 大 
T85n2737_001:0121b05	池。流入東海。京州真諦法師。其河初初水	池 流 入 東 海 京 州 真 諦 法 師 其 河 初 初 水 
T85n2737_001:0121b06	出處。闊一由旬。滿中細沙。與水同流。取一河	出 處 闊 一 由 旬 滿 中 細 沙 與 水 同 流 取 一 河 
T85n2737_001:0121b07	內所有諸沙。以沙計河。一沙一河為甚多。如	內 所 有 諸 沙 以 沙 計 河 一 沙 一 河 為 甚 多 如 
T85n2737_001:0121b08	是諸河沙。可說為多不。釋迦問敬也。須菩提	是 諸 河 沙 可 說 為 多 不 釋 迦 問 敬 也 須 菩 提 
T85n2737_001:0121b09	答。舉　須菩提言。甚多世尊。是略答也。為多	答 舉 須 菩 提 言 甚 多 世 尊 是 略 答 也 為 多 
T85n2737_001:0121b10	須菩提兩迴答。前略答。後釋答釋答看舉。但	須 菩 提 兩 迴 答 前 略 答 後 釋 答 釋 答 看 舉 但 
T85n2737_001:0121b11	諸恒沙。尚多無數。何況其沙。是釋答也。從	諸 恒 沙 尚 多 無 數 何 況 其 沙 是 釋 答 也 從 
T85n2737_001:0121b12	此以下。釋迦實答。舉　須菩提。我今實言告	此 以 下 釋 迦 實 答 舉 須 菩 提 我 今 實 言 告 
T85n2737_001:0121b13	汝者。合信也。若有善男子善女人。以七寶滿。	汝 者 合 信 也 若 有 善 男 子 善 女 人 以 七 寶 滿 
T85n2737_001:0121b14	貴財多也。爾所恒河沙數。三千世界。以用布	貴 財 多 也 爾 所 恒 河 沙 數 三千世界 以 用 布 
T85n2737_001:0121b15	施。起行勝也。得福多不。問彼所解也。得福多	施 起 行 勝 也 得 福 多 不 問 彼 所 解 也 得 福 多 
T85n2737_001:0121b16	釋迦。問須菩提多少。舉　須菩提言。甚多世	釋 迦 問 須 菩 提 多 少 舉 須 菩 提 言 甚 多 世 
T85n2737_001:0121b17	尊。是領答也。從此以下。釋迦教量。看舉。佛	尊 是 領 答 也 從 此 以 下 釋 迦 教 量 看 舉 佛 
T85n2737_001:0121b18	告須菩提。若善男子善女人者。亦取發心向	告 須 菩 提 若 善 男 子 善 女 人 者 亦 取 發 心 向 
T85n2737_001:0121b19	大乘也。於此經中。乃至受持四句偈等。為他	大 乘 也 於 此 經 中 乃 至 受 持 四 句 偈 等 為 他 
T85n2737_001:0121b20	人說。事業勝也。而此福德。勝前福德。勝前福	人 說 事 業 勝 也 而 此 福 德 勝 前 福 德 勝 前 福 
T85n2737_001:0121b21	德者。正校量也。勝有四種。一攝授勝福。持經	德 者 正 校 量 也 勝 有 四 種 一 攝 授 勝 福 持 經 
T85n2737_001:0121b22	勝布施。二堪受敬養。三難作能作。四能生勝	勝 布 施 二 堪 受 敬 養 三 難 作 能 作 四 能 生 勝 
T85n2737_001:0121b23	想。聽金剛經者。得此四箇勝。勝前福德者。攝	想 聽 金 剛 經 者 得 此 四 箇 勝 勝 前 福 德 者 攝 
T85n2737_001:0121b24	授福勝也　誦曰　表知持經四句偈。勝施恒	授 福 勝 也 誦 曰 表 知 持 經 四 句 偈 勝 施 恒 
T85n2737_001:0121b25	沙七寶因。是故顯示諸眾生。普令勸知實相	沙 七 寶 因 是 故 顯 示 諸 眾 生 普 令 勸 知 實 相 
T85n2737_001:0121b26	義　施非菩提因。法得菩提故。從此以下。說	義 施 非 菩 提 因 法 得 菩 提 故 從 此 以 下 說 
T85n2737_001:0121b27	校量。舉　復次須菩提。隨說是經乃至四句	校 量 舉 復 次 須 菩 提 隨 說 是 經 乃 至 四 句 
T85n2737_001:0121b28	偈等。當知此處。一切世間。天人阿脩羅。皆應	偈 等 當 知 此 處 一切世間 天 人 阿 脩 羅 皆 應 
T85n2737_001:0121b29	供養者。隨說是經者。不簡取眾生。諸勝劣也。	供 養 者 隨 說 是 經 者 不 簡 取 眾 生 諸 勝 劣 也 
T85n2737_001:0121c01	即與隨說一切世間者。俱是眾生類也。間者	即 與 隨 說 一切世間 者 俱 是 眾 生 類 也 間 者 
T85n2737_001:0121c02	輪迴六趣也。皆應供養者。堪受敬養也。為勿	輪 迴 六 趣 也 皆 應 供 養 者 堪 受 敬 養 也 為 勿 
T85n2737_001:0121c03	事天人供應。舉　如佛塔廟如佛塔廟者。類	事 天 人 供 應 舉 如 佛 塔 廟 如 佛 塔 廟 者 類 
T85n2737_001:0121c04	令解也西方本音。名窣堵波傳者訛略。而云	令 解 也 西 方 本 音 名 窣 堵 波 傳 者 訛 略 而 云 
T85n2737_001:0121c05	塔也。譯就中言。名高勝處三界不能動得。廟	塔 也 譯 就 中 言 名 高 勝 處 三 界 不 能 動 得 廟 
T85n2737_001:0121c06	者貌也。是此中言塔者。勝者所居。皆應供養。	者 貌 也 是 此 中 言 塔 者 勝 者 所 居 皆 應 供 養 
T85n2737_001:0121c07	從此難作能作。舉。何況有人。盡能授持讀。	從 此 難 作 能 作 舉 何 況 有 人 盡 能 授 持 讀 
T85n2737_001:0121c08	誦。須菩提當知是人。成就最上第一希有之	誦 須 菩 提 當 知 是 人 成 就 最 上 第一希有 之 
T85n2737_001:0121c09	法者。又般若勝相前之五度。故名第一希有	法 者 又 般 若 勝 相 前 之 五 度 故 名 第一希有 
T85n2737_001:0121c10	之法。總授持讀誦得何勿。舉　若是經典。所	之 法 總 授 持 讀 誦 得 何 勿 舉 若 是 經 典 所 
T85n2737_001:0121c11	在之處。則為有佛。若尊重弟子。尊重弟子	在 之 處 則 為 有 佛 若 尊重弟子 尊重弟子 
T85n2737_001:0121c12	者。真菩薩也。三乘弟子。菩薩為尊。此名結文	者 真 菩 薩 也 三 乘 弟 子 菩 薩 為 尊 此 名 結 文 
T85n2737_001:0121c13	　外器者天親釋也。故名外器也。上來諸文	 外 器 者 天 親 釋 也 故 名 外 器 也 上 來 諸 文 
T85n2737_001:0121c14	不同。是第二讚深生信。并降伏七箇相並了。	不 同 是 第 二 讚 深 生 信 并 降 伏 七 箇 相 並 了 
T85n2737_001:0121c15	從此第三當立名勸學。於中有二問答。先舉	從 此 第 三 當 立 名 勸 學 於 中 有 二 問 答 先 舉 
T85n2737_001:0121c16	初文。舉　須菩提。白佛言世尊。當何名此經。	初 文 舉 須 菩 提 白 佛 言 世 尊 當 何 名 此 經 
T85n2737_001:0121c17	我等云何奉持者。當何名此經者。問前所說	我 等 云 何 奉 持 者 當 何 名 此 經 者 問 前 所 說 
T85n2737_001:0121c18	經之總名。我等云何奉持者。問得名已受持	經 之 總 名 我 等 云 何 奉 持 者 問 得 名 已 受 持 
T85n2737_001:0121c19	軌範。範是則也　此是須菩提。索經名。須菩	軌 範 範 是 則 也 此 是 須 菩 提 索 經 名 須 菩 
T85n2737_001:0121c20	提言。我所得惠眼。未曾得聞如是深經。敬法	提 言 我 所 得 惠 眼 未 曾 得 聞 如 是 深 經 敬 法 
T85n2737_001:0121c21	希奇。伏望世尊。與我說名。喻隱士撫琴。愸半	希 奇 伏 望 世 尊 與 我 說 名 喻 隱 士 撫 琴 愸 半 
T85n2737_001:0121c22	道索名。為此希奇。所以半道。問名其琴所撫	道 索 名 為 此 希 奇 所 以 半 道 問 名 其 琴 所 撫 
T85n2737_001:0121c23	曲。名青磎。幽澗嚮山。石一非泉　須菩提請	曲 名 青 磎 幽 澗 嚮 山 石 一 非 泉 須 菩 提 請 
T85n2737_001:0121c24	問敬。釋迦答。舉。佛告須菩提。是經名金剛般	問 敬 釋 迦 答 舉 佛 告 須 菩 提 是 經 名 金 剛 般 
T85n2737_001:0121c25	若。波羅蜜。答前問也。以是名字。汝當奉持。	若 波 羅 蜜 答 前 問 也 以 是 名 字 汝 當 奉 持 
T85n2737_001:0121c26	答後問也。此是略答答敬。所以者何者。徵問。	答 後 問 也 此 是 略 答 答 敬 所以者何 者 徵 問 
T85n2737_001:0121c27	廣釋。舉　須菩提。佛說般若波羅蜜(名句味也是智慧)	廣 釋 舉 須 菩 提 佛 說 般 若 波 羅 蜜 名 句 味 也 是 智 慧 
T85n2737_001:0121c28	則非般若波羅蜜者。遮取著也。依名言取非	則 非 般 若 波 羅 蜜 者 遮 取 著 也 依 名 言 取 非 
T85n2737_001:0121c29	實故。所以不言。是名般若波羅蜜。是到彼岸	實 故 所 以 不 言 是 名 般 若 波 羅 蜜 是 到 彼 岸 
T85n2737_001:0122a01	也。喻昏定晨省。即是孝養。於意云何下。四	也 喻 昏 定 晨 省 即 是 孝 養 於意云何 下 四 
T85n2737_001:0122a02	問。顯示是金剛義。即般若波羅蜜故。第一。	問 顯 示 是 金 剛 義 即 般 若 波 羅 蜜 故 第 一 
T85n2737_001:0122a03	於意云何。破說法相。第二於意云何。破世間	於意云何 破 說 法 相 第 二 於意云何 破 世 間 
T85n2737_001:0122a04	微塵相。第三於意云何。破三十二見。如來相。	微 塵 相 第 三 於意云何 破 三 十 二 見 如 來 相 
T85n2737_001:0122a05	若善男子善女人。破有身命懈怠相。無說法	若 善 男 子 善 女 人 破 有 身 命 懈 怠 相 無 說 法 
T85n2737_001:0122a06	者。空斷相。從此以下。第一破說法相。舉。	者 空 斷 相 從 此 以 下 第 一 破 說 法 相 舉 
T85n2737_001:0122a07	須菩提。於意云何。問何解也。如來有所說法	須 菩 提 於意云何 問 何 解 也 如 來 有 所 說 法 
T85n2737_001:0122a08	不。是第一問問敬也。答舉。須菩提。白佛言世	不 是 第 一 問 問 敬 也 答 舉 須 菩 提 白 佛 言 世 
T85n2737_001:0122a09	尊。如來無所說者。是第一答。正說法時。無能	尊 如 來 無 所 說 者 是 第 一 答 正 說 法 時 無 能 
T85n2737_001:0122a10	所故。夫說法者。無說無示。其聽法者。無聞無	所 故 夫 說 法 者 無 說 無 示 其 聽 法 者 無 聞 無 
T85n2737_001:0122a11	得。但以方便。曉悟眾生。實無有法。如來可說	得 但 以 方 便 曉 悟 眾 生 實 無 有 法 如 來 可 說 
