X55n0908_001:0666c03	禪門要略	禪 門 要 略 
X55n0908_001:0667c17	常修止。行者善須斟酌。巧用止觀調心。令妄念不起。即	常 修 止 行 者 善 須 斟 酌 巧 用 止 觀 調 心 令 妄 念 不 起 即 
X55n0908_001:0667c18	是善能用心。有少道理也。	是 善 能 用 心 有 少 道 理 也 
X55n0908_001:0667c19	次明歷緣對境。修止觀者歷緣有六。謂行．住．坐．臥．言	次 明 歷 緣 對 境 修 止 觀 者 歷 緣 有 六 謂 行 住 坐 臥 言 
X55n0908_001:0667c20	語．作務也。對境亦有六。謂六根對六塵也。緣與境合	語 作 務 也 對 境 亦 有 六 謂 六 根 對 六 塵 也 緣 與 境 合 
X55n0908_001:0667c21	有十二事。初就行中修止觀者。行者欲行之時。即應	有 十 二 事 初 就 行 中 修 止 觀 者 行 者 欲 行 之 時 即 應 
X55n0908_001:0667c22	思惟。我今為何事故行。若為惡事無益等事。即不應	思 惟 我 今 為 何 事 故 行 若 為 惡 事 無 益 等 事 即 不 應 
X55n0908_001:0667c23	行。若為善事利益等事。即應行。行中修止觀者。即	行 若 為 善 事 利 益 等 事 即 應 行 行 中 修 止 觀 者 即 
X55n0908_001:0667c24	應知因於行故。則有一切善惡等法。今推此行及諸	應 知 因 於 行 故 則 有 一 切 善 惡 等 法 今 推 此 行 及 諸 
X55n0908_001:0668a01	法悉是虗妄。求實叵得。妄念不起。是名為止。復作是	法 悉 是 虗 妄 求 實 叵 得 妄 念 不 起 是 名 為 止 復 作 是 
X55n0908_001:0668a02	念。由心運身。故有去來及行中一切法。令及觀此行	念 由 心 運 身 故 有 去 來 及 行 中 一 切 法 令 及 觀 此 行 
X55n0908_001:0668a03	中之心。不見相貌來處去處。無生無滅。當知行者及	中 之 心 不 見 相 貌 來 處 去 處 無生無滅 當 知 行 者 及 
X55n0908_001:0668a04	一切法畢竟空寂。是名為觀。於行緣中修止觀既然。	一 切 法 畢 竟 空 寂 是 名 為 觀 於 行 緣 中 修 止 觀 既 然 
X55n0908_001:0668a05	餘五緣例爾。次對境修止觀者。見色之時。即知如幻	餘 五 緣 例 爾 次 對 境 修 止 觀 者 見 色 之 時 即 知 如 幻 
X55n0908_001:0668a06	如化。不起貪染。心安寂然。是名為止。當及觀見色之	如 化 不 起 貪 染 心 安 寂 然 是 名 為 止 當 及 觀 見 色 之 
X55n0908_001:0668a07	心從何而生。為從眼根生。為從色塵生。為根塵合生。	心 從 何 而 生 為 從 眼 根 生 為 從 色 塵 生 為 根 塵 合 生 
X55n0908_001:0668a08	為離根塵生。若見色從眼生者。未見色時心應已生。	為 離 根 塵 生 若 見 色 從 眼 生 者 未 見 色 時 心 應 已 生 
X55n0908_001:0668a09	若從色塵生者。何關我耶。若從合生者。撿此根塵為	若 從 色 塵 生 者 何 關 我 耶 若 從 合 生 者 撿 此 根 塵 為 
X55n0908_001:0668a10	各有心。為各無心。若有心能生心者。合時應有兩心。	各 有 心 為 各 無 心 若 有 心 能 生 心 者 合 時 應 有 兩 心 
X55n0908_001:0668a11	若各無心能生心者。無有是處。若離根塵有心生。亦	若 各 無 心 能 生 心 者 無 有 是 處 若 離 根 塵 有 心 生 亦 
X55n0908_001:0668a12	無有是處。當知見色之心本自無生。但有名字。名字	無 有 是 處 當 知 見 色 之 心 本 自 無 生 但 有 名 字 名 字 
X55n0908_001:0668a13	性空。畢竟無實。是名為觀。於眼見色時修止觀既然。	性 空 畢 竟 無 實 是 名 為 觀 於 眼 見 色 時 修 止 觀 既 然 
X55n0908_001:0668a14	餘五根對五塵例爾。	餘 五 根 對 五 塵 例 爾 
X55n0908_001:0668a15	次於禮佛中修一心三觀者。觀一念禮佛之心。即空	次 於 禮 佛 中 修 一 心 三 觀 者 觀 一 念 禮 佛 之 心 即 空 
X55n0908_001:0668a16	即假即中。觀心即空是禮報佛。觀心即假是禮應佛。	即 假 即 中 觀 心 即 空 是 禮 報 佛 觀 心 即 假 是 禮 應 佛 
X55n0908_001:0668a17	觀心即中是禮法佛。一禮即三禮。一佛即三佛。雖三	觀 心 即 中 是 禮 法 佛 一 禮 即 三 禮 一 佛 即 三 佛 雖 三 
X55n0908_001:0668a18	而一。即一而三。是名圓禮。亦名不思議禮佛。又誦經	而 一 即 一 而 三 是 名 圓 禮 亦 名 不 思 議 禮 佛 又 誦 經 
X55n0908_001:0668a19	旋遶歷緣對境與心動念皆例如此。用三觀也。問。一	旋 遶 歷 緣 對 境 與 心 動 念 皆 例 如 此 用 三 觀 也 問 一 
X55n0908_001:0668a20	心三觀有何功用。答。即空觀破四住惑。即假觀破塵	心 三 觀 有 何 功 用 答 即 空 觀 破 四 住 惑 即 假 觀 破 塵 
X55n0908_001:0668a21	沙惑。即中觀破無明惑。一心三觀。三諦圓破五住。五	沙 惑 即 中 觀 破 無 明 惑 一 心 三 觀 三 諦 圓 破 五 住 五 
X55n0908_001:0668a22	住煩惱破即三身顯。四住破即報身顯。塵沙破即應	住 煩 惱 破 即 三 身 顯 四 住 破 即 報 身 顯 塵 沙 破 即 應 
X55n0908_001:0668a23	身顯。無明破即法身顯。又三觀成故即三德滿。中觀	身 顯 無 明 破 即 法 身 顯 又 三 觀 成 故 即 三 德 滿 中 觀 
X55n0908_001:0668a24	成即法身滿。假觀成般若滿。空觀成即解脫滿。三德	成 即 法 身 滿 假 觀 成 般 若 滿 空 觀 成 即 解 脫 滿 三 德 
X55n0908_001:0668b01	滿故名秘密藏。佛及眾生悉入其中。畢竟無所有。永	滿 故 名 秘 密 藏 佛 及 眾 生 悉 入 其 中 畢 竟 無 所 有 永 
X55n0908_001:0668b02	寂如虗空。若然者。云何復言有一切法佛以假名字	寂 如 虗 空 若 然 者 云 何 復 言 有 一 切 法 佛 以 假 名 字 
X55n0908_001:0668b03	引導諸眾生。復次泥洹真法實眾生從種種門入。令	引 導 諸 眾 生 復 次 泥 洹 真 法 實 眾 生 從 種 種 門 入 令 
X55n0908_001:0668b04	粗依一理。略出此法。示初心行人。不可執此為是餘	粗 依 一 理 略 出 此 法 示 初 心 行 人 不 可 執 此 為 是 餘 
X55n0908_001:0668b05	者為非。若得此意者。則千車同轍萬流咸會也。一切	者 為 非 若 得 此 意 者 則 千 車 同 轍 萬 流 咸 會 也 一 切 
X55n0908_001:0668b06	諸法體性平等。眾生身內法身佛盡虗空遍法界。一	諸 法 體 性 平 等 眾 生 身 內 法 身 佛 盡 虗 空 遍 法 界 一 
X55n0908_001:0668b07	切行人常斂念。觀四大五陰空無所有。名為道。	切 行 人 常 斂 念 觀 四 大 五 陰 空無所有 名 為 道 
X55n0908_001:0668b09	禪門要略(終)	禪 門 要 略 終 
