T54n2126_001:0234a10	僧史略序	僧 史 略 序 
T54n2126_001:0234a27	哉。苟有不可者則待後鑑。適為寒鄉乏書者。	哉 苟 有 不 可 者 則 待 後 鑑 適 為 寒 鄉 乏 書 者 
T54n2126_001:0234a28	揭作者略傳。併為此之序。　時治治十六年	揭 作 者 略 傳 併 為 此 之 序 時 治 治 十 六 年 
T54n2126_001:0234a29	四月佛生日沙門行誡識于三緣山山房	四 月 佛 生 日 沙 門 行 誡 識 于 三 緣 山 山 房 
T54n2126_001:0234b02	重開僧史略序	重 開 僧 史 略 序 
T54n2126_001:0234b04	佛書所載。地獄鬼畜．北俱盧州．長壽天．佛前	佛 書 所 載 地 獄 鬼 畜 北 俱 盧 州 長 壽 天 佛 前 
T54n2126_001:0234b05	佛後生．便盲．聾．瘖．瘂．世智辯聰．不信毀謗	佛 後 生 便 盲 聾 瘖 瘂 世智辯聰 不 信 毀 謗 
T54n2126_001:0234b06	佛法僧者。名八難處。又曰八無暇。蓋生其處	佛 法 僧 者 名 八 難 處 又 曰 八 無 暇 蓋 生 其 處 
T54n2126_001:0234b07	者。障難深重無暇修心。不知正法。長劫驅驅	者 障 難 深 重 無 暇 修 心 不 知 正 法 長 劫 驅 驅 
T54n2126_001:0234b08	輪迴不息故也。是知世聰俗慧不達佛書。則	輪 迴 不 息 故 也 是 知 世 聰 俗 慧 不 達 佛 書 則 
T54n2126_001:0234b09	理昧正真事同盲聵。矜伐衒耀自為已能。沮	理 昧 正 真 事 同 盲 聵 矜 伐 衒 耀 自 為 已 能 沮 
T54n2126_001:0234b10	善詆僧佛所不救。生遭貶謫死入阿鼻。違逆	善 詆 僧 佛 所 不 救 生 遭 貶 謫 死 入 阿 鼻 違 逆 
T54n2126_001:0234b11	皇天招延世亂。皆此輩也。致亂皆因蠧善。具	皇 天 招 延 世 亂 皆 此 輩 也 致 亂 皆 因 蠧 善 具 
T54n2126_001:0234b12	載佛書　本朝王內翰(禹儞)。生平著述排詆釋	載 佛 書 本 朝 王 內 翰 禹 儞 生 平 著 述 排 詆 釋 
T54n2126_001:0234b13	氏。雖唐韓退之吾宋歐永叔佛書所謂天魔	氏 雖 唐 韓 退 之 吾 宋 歐 永 叔 佛 書 所 謂 天 魔 
T54n2126_001:0234b14	波旬闡提外道。無以加也。間遇英傑之僧。亦	波 旬 闡 提 外 道 無 以 加 也 間 遇 英 傑 之 僧 亦 
T54n2126_001:0234b15	心重之。余嘗讀王公(偊儞)文集。有贈僧錄通慧	心 重 之 余 嘗 讀 王 公 偊 儞 文 集 有 贈 僧 錄 通 慧 
T54n2126_001:0234b16	學公詩曰。詔修僧史浙江濱。萬卷書中老一	學 公 詩 曰 詔 修 僧 史 浙 江 濱 萬 卷 書 中 老 一 
T54n2126_001:0234b17	身。赴闕尚騎支遁馬。援毫應待仲尼麟。溟濛	身 赴 闕 尚 騎 支 遁 馬 援 毫 應 待 仲 尼 麟 溟 濛 
T54n2126_001:0234b18	雪彩松窓曉。狼籍苔花竹院春。還許幽齋暫	雪 彩 松 窓 曉 狼 籍 苔 花 竹 院 春 還 許 幽 齋 暫 
T54n2126_001:0234b19	相訪。便令陶令滿衣塵。其意竊比陶彭澤謁	相 訪 便 令 陶 令 滿 衣 塵 其 意 竊 比 陶 彭 澤 謁 
T54n2126_001:0234b20	遠法師故事。而自高之也。歐陽文忠公亦錄	遠 法 師 故 事 而 自 高 之 也 歐 陽 文 忠 公 亦 錄 
T54n2126_001:0234b21	王內翰寧僧錄元夜觀燈嘲謔之言。有秦鄭	王 內 翰 寧 僧 錄 元 夜 觀 燈 嘲 謔 之 言 有 秦 鄭 
T54n2126_001:0234b22	不愛未坑之語。王又述寧之墓誌。則有心慕	不 愛 未 坑 之 語 王 又 述 寧 之 墓 誌 則 有 心 慕 
T54n2126_001:0234b23	誠服之意。敘寧有文集一百七十卷。見行於	誠 服 之 意 敘 寧 有 文 集 一 百 七 十 卷 見 行 於 
T54n2126_001:0234b24	世。王之毀僧破佛。蜂蠆梟獍吠堯彈鳳。天	世 王 之 毀 僧 破 佛 蜂 蠆 梟 獍 吠 堯 彈 鳳 天 
T54n2126_001:0234b25	下皆知矣。獨於通慧友愛相師。賦詩述銘以	下 皆 知 矣 獨 於 通 慧 友 愛 相 師 賦 詩 述 銘 以 
T54n2126_001:0234b26	褒美之何也。蓋通慧學行才識兼類。相求自	褒 美 之 何 也 蓋 通 慧 學 行 才 識 兼 類 相 求 自 
T54n2126_001:0234b27	相友愛耳。且世諦文章未知其高下。其於學	相 友 愛 耳 且 世 諦 文 章 未 知 其 高 下 其 於 學 
T54n2126_001:0234b28	佛明心博通大教。王必不及也。且夫釋氏橫	佛 明 心 博 通 大 教 王 必 不 及 也 且 夫 釋 氏 橫 
T54n2126_001:0234b29	闊勝大之言。包羅法界洞徹隣虛。斷惑出纏	闊 勝 大 之 言 包 羅 法 界 洞 徹 隣 虛 斷 惑 出 纏 
T54n2126_001:0234c01	冥真會聖。永拋輪轉長挹愛河。出萬劫之迷	冥 真 會 聖 永 拋 輪 轉 長 挹 愛 河 出 萬 劫 之 迷 
T54n2126_001:0234c02	津。脫四魔之見網。歷劫災而不壞。與虛空而	津 脫 四 魔 之 見 網 歷 劫 災 而 不 壞 與 虛 空 而 
T54n2126_001:0234c03	並存。與夫世文寔霄壤矣。佛之利見也。應大	並 存 與 夫 世 文 寔 霄 壤 矣 佛 之 利 見 也 應 大 
T54n2126_001:0234c04	機則重重華藏剎剎分形。接小凡則丈六化	機 則 重 重 華 藏 剎 剎 分 形 接 小 凡 則 丈 六 化 
T54n2126_001:0234c05	身三千界主。所以宣尼推為至聖。老氏尊之	身 三 千 界 主 所 以 宣 尼 推 為 至 聖 老 氏 尊 之 
T54n2126_001:0234c06	竺乾吾師號佛覺一切民也。溥天慈父覆育	竺 乾 吾 師 號 佛 覺 一 切 民 也 溥 天 慈 父 覆 育 
T54n2126_001:0234c07	群倫。超出世間之大聖人也。孔老二聖豈妄	群 倫 超 出 世 間 之 大 聖 人 也 孔 老 二 聖 豈 妄 
T54n2126_001:0234c08	推之。蓋見善不及守雌保弱。不敢為天下先	推 之 蓋 見 善 不 及 守 雌 保 弱 不 敢 為 天 下 先 
T54n2126_001:0234c09	之志也。本朝駙馬都尉李度題寺詠佛詩曰。	之 志 也 本 朝 駙 馬 都 尉 李 度 題 寺 詠 佛 詩 曰 
T54n2126_001:0234c10	仲尼推至聖。老氏稱古皇。天上及天下。應	仲 尼 推 至 聖 老 氏 稱 古 皇 天 上 及 天 下 應 
T54n2126_001:0234c11	更無比量。勒碑于相國寺之東廡別院。蓋佛	更 無 比 量 勒 碑 于 相 國 寺 之 東 廡 別 院 蓋 佛 
T54n2126_001:0234c12	者流光於混元之前。列影向太虛之始。慈雲	者 流 光 於 混 元 之 前 列 影 向 太 虛 之 始 慈 雲 
T54n2126_001:0234c13	法雨潤澤群生。千聖樂推萬靈欣奉。宜乎宣	法 雨 潤 澤 群 生 千 聖 樂 推 萬 靈 欣 奉 宜 乎 宣 
T54n2126_001:0234c14	尼伯陽聞風而悅。慕德而歸命焉。唐李商隱	尼 伯 陽 聞 風 而 悅 慕 德 而 歸 命 焉 唐 李 商 隱 
T54n2126_001:0234c15	贊曰。吾儒之師曰魯仲尼。仲尼師聃龍。吾不	贊 曰 吾 儒 之 師 曰 魯 仲 尼 仲 尼 師 聃 龍 吾 不 
T54n2126_001:0234c16	知聃師竺乾。善入無為。稽首正覺吾師師師	知 聃 師 竺 乾 善 入 無 為 稽 首 正 覺 吾 師 師 師 
T54n2126_001:0234c17	懿哉儒言知佛者也。經不云乎。除摩利支山。	懿 哉 儒 言 知 佛 者 也 經 不 云 乎 除 摩 利 支 山 
T54n2126_001:0234c18	不產栴檀木。好語皆生佛法中。佛未出時。世	不 產 栴 檀 木 好 語 皆 生 佛 法 中 佛 未 出 時 世 
T54n2126_001:0234c19	諦幻法皆無名字。佛之設教。統應群機。撮要	諦 幻 法 皆 無 名 字 佛 之 設 教 統 應 群 機 撮 要 
T54n2126_001:0234c20	而言。不出乎真俗二諦。其真也。詮妙理之	而 言 不 出 乎 真 俗 二 諦 其 真 也 詮 妙 理 之 
T54n2126_001:0234c21	格言。究死生之出要。其濟俗也。獎善罰惡。罪	格 言 究 死 生 之 出 要 其 濟 俗 也 獎 善 罰 惡 罪 
T54n2126_001:0234c22	福報應。至於治世之書。亦諸佛之遺化也。故	福 報 應 至 於 治 世 之 書 亦 諸 佛 之 遺 化 也 故 
T54n2126_001:0234c23	經曰。一切世間安民濟物。皆是諸佛。法滅盡	經 曰 一切世間 安 民 濟 物 皆 是 諸 佛 法 滅 盡 
T54n2126_001:0234c24	後。有婆羅門。採什佛書。安置己典。傳於後	後 有婆羅門 採 什 佛 書 安 置 己 典 傳 於 後 
T54n2126_001:0234c25	世。大千國土各有典彛。在天竺則四韋陀。此	世 大 千 國 土 各 有 典 彛 在 天 竺 則 四 韋 陀 此 
T54n2126_001:0234c26	土則五經三史之書也。故曰。一切法者皆是	土 則 五 經 三 史 之 書 也 故 曰 一 切 法 者 皆 是 
T54n2126_001:0234c27	佛法。豈徒言哉。如今黃冠剽竊佛經。撰成己	佛 法 豈 徒 言 哉 如 今 黃 冠 剽 竊 佛 經 撰 成 己 
T54n2126_001:0234c28	教。外道經書半偷佛法。識者盡知矣。唯寧	教 外 道 經 書 半 偷 佛 法 識 者 盡 知 矣 唯 寧 
T54n2126_001:0234c29	師內外博通真俗雙究。觀師所集。物類相感。	師 內 外 博 通 真 俗 雙 究 觀 師 所 集 物 類 相 感 
T54n2126_001:0235a01	志至於微術小伎。亦盡取之。蓋欲學佛遍知	志 至 於 微 術 小 伎 亦 盡 取 之 蓋 欲 學 佛 遍 知 
T54n2126_001:0235a02	一切法也。崇寧四年。勅加命號。曰東京左街	一 切 法 也 崇 寧 四 年 勅 加 命 號 曰 東 京 左 街 
T54n2126_001:0235a03	僧錄史舘編修圓明通慧大師。以旌其學行。	僧 錄 史 舘 編 修 圓 明 通 慧 大 師 以 旌 其 學 行 
T54n2126_001:0235a04	師之所著。唯大宋高僧傳三十卷與僧史略	師 之 所 著 唯 大 宋 高 僧 傳 三 十 卷 與 僧 史 略 
T54n2126_001:0235a05	三卷。奉勅入藏頒行。外餘多湮沒。兵火之	三 卷 奉 勅 入 藏 頒 行 外 餘 多 湮 沒 兵 火 之 
T54n2126_001:0235a06	中得斯藏本。佛法事理來歷紀綱。捨此書而	中 得 斯 藏 本 佛 法 事 理 來 歷 紀 綱 捨 此 書 而 
T54n2126_001:0235a07	弗知也。苟斯文之墜地。顧大法之將沈。由是	弗 知 也 苟 斯 文 之 墜 地 顧 大 法 之 將 沈 由 是 
T54n2126_001:0235a08	敢率同袍。興心內護。爰有兩街僧錄鑒義臨	敢 率 同 袍 興 心 內 護 爰 有 兩 街 僧 錄 鑒 義 臨 
T54n2126_001:0235a09	安府前後政僧官禪講。同出長財。命工鏤板。	安 府 前 後 政 僧 官 禪 講 同 出 長 財 命 工 鏤 板 
T54n2126_001:0235a10	附藏流通。因寫王詩歐公之錄。以示方來。使	附 藏 流 通 因 寫 王 詩 歐 公 之 錄 以 示 方 來 使 
T54n2126_001:0235a11	知世智辯聰之流有時而信焉。三教之賢聖。	知 世智辯聰 之 流 有 時 而 信 焉 三 教 之 賢 聖 
T54n2126_001:0235a12	理歸一揆。則八無暇之沈淪尚可救也。故為	理 歸 一 揆 則 八 無 暇 之 沈 淪 尚 可 救 也 故 為 
T54n2126_001:0235a13	序之。	序 之 
T54n2126_001:0235a14	紹興十四年甲子四月己巳。如來誕聖日。	紹 興 十 四 年 甲 子 四 月 己 巳 如 來 誕 聖 日 
T54n2126_001:0235a15	傳西天三藏法特賜寶覺圓通法濟大師	傳 西 天 三 藏 法 特 賜 寶 覺 圓 通 法 濟 大 師 
T54n2126_001:0235a16	法道　序。	法 道 序 
T54n2126_001:0235a19	大宋僧史略(并序)	大 宋 僧 史 略 并 序 
T54n2126_001:0235a21	右街僧錄通慧大師贊寧奉　勅撰	右 街 僧 錄 通 慧 大 師 贊 寧 奉 勅 撰 
T54n2126_001:0235a22	夫僧本無史。覺乎弘明二集。可非記言耶。高	夫 僧 本 無 史 覺 乎 弘 明 二 集 可 非 記 言 耶 高 
T54n2126_001:0235a23	名僧傳。可非記事耶。言事既全。俱為載筆。原	名 僧 傳 可 非 記 事 耶 言 事 既 全 俱 為 載 筆 原 
T54n2126_001:0235a24	彼東漢。至于我朝。僅一千年。教法污隆。緇	彼 東 漢 至 于 我 朝 僅 一 千 年 教 法 污 隆 緇 
T54n2126_001:0235a25	徒出沒。富哉事迹。繁矣言詮。蘊結藏中。從何	徒 出 沒 富 哉 事 迹 繁 矣 言 詮 蘊 結 藏 中 從 何 
T54n2126_001:0235a26	攸濟(贊寧)以太平興國初。疊奉詔旨。高僧傳外	攸 濟 贊 寧 以 太 平 興 國 初 疊 奉 詔 旨 高 僧 傳 外 
T54n2126_001:0235a27	別修僧史。及進育王塔。乘馹到闕。勅居東寺。	別 修 僧 史 及 進 育 王 塔 乘 馹 到 闕 勅 居 東 寺 
T54n2126_001:0235a28	披覽多暇。遂樹立門題。搜求事類。始乎佛	披 覽 多 暇 遂 樹 立 門 題 搜 求 事 類 始 乎 佛 
T54n2126_001:0235a29	生教法流衍。至于三寶住持諸務事始。一皆	生 教 法 流 衍 至 于 三 寶 住 持 諸 務 事 始 一 皆 
T54n2126_001:0235b01	隱括。約成三卷。號僧史略焉。蓋取裴子野宋	隱 括 約 成 三 卷 號 僧 史 略 焉 蓋 取 裴 子 野 宋 
T54n2126_001:0235b02	略為目。所恨刪采不周。表明多昧。不可鴻碩	略 為 目 所 恨 刪 采 不 周 表 明 多 昧 不 可 鴻 碩 
T54n2126_001:0235b03	寓目。預懼缺然者爾。	寓 目 預 懼 缺 然 者 爾 
T54n2126_001:0235b06	大宋僧史略卷上(咸平二年重更修洛)	大 宋 僧 史 略 卷 上 咸 平 二 年 重 更 修 洛 
T54n2126_001:0235b08	一佛降生年代二僧入震旦	一 佛 降 生 年 代 二 僧 入 震 旦 
T54n2126_001:0235b09	三經像東傳四創造伽藍(浴佛行像附)	三 經 像 東 傳 四 創 造 伽 藍 浴 佛 行 像 附 
T54n2126_001:0235b10	五譯經六譯律	五 譯 經 六 譯 律 
T54n2126_001:0235b11	七譯論八東夏出家	七 譯 論 八 東 夏 出 家 
T54n2126_001:0235b12	九服章法式十立壇得戒	九 服 章 法 式 十 立 壇 得 戒 
T54n2126_001:0235b13	十一尼得戒由十二受齋懺法	十 一 尼 得 戒 由 十 二 受 齋 懺 法 
T54n2126_001:0235b14	十三禮儀沿革十四注經	十 三 禮 儀 沿 革 十 四 注 經 
T54n2126_001:0235b15	十五僧講十六尼講	十 五 僧 講 十 六 尼 講 
T54n2126_001:0235b16	十七造疏科經十八解律	十 七 造 疏 科 經 十 八 解 律 
T54n2126_001:0235b17	十九解論二十都講	十 九 解 論 二 十 都 講 
T54n2126_001:0235b18	二十一傳禪觀法(別立禪居附)	二 十 一 傳 禪 觀 法 別 立 禪 居 附 
T54n2126_001:0235b19	二十二此土僧遊西域	二 十 二 此 土 僧 遊 西 域 
T54n2126_001:0235b20	二十三傳密藏(外學附)	二 十 三 傳 密 藏 外 學 附 
T54n2126_001:0235b21	所立僅六十門。止刪取集傳。并錄所聞。	所 立 僅 六 十 門 止 刪 取 集 傳 并 錄 所 聞 
T54n2126_001:0235b22	以明佛法東傳以來百事之始也。	以 明 佛 法 東 傳 以 來 百 事 之 始 也 
T54n2126_001:0235b23	佛降生年代	佛 降 生 年 代 
T54n2126_001:0235b24	按佛生日。多說不同。一則應現非常。遇緣即	按 佛 生 日 多 說 不 同 一 則 應 現 非 常 遇 緣 即 
T54n2126_001:0235b25	化。故有見聞不同也。一則西域來僧。生處	化 故 有 見 聞 不 同 也 一 則 西 域 來 僧 生 處 
T54n2126_001:0235b26	有都城村落。傳事有部類宗計。故各說不同	有 都 城 村 落 傳 事 有 部 類 宗 計 故 各 說 不 同 
T54n2126_001:0235b27	也。一則西域朴略。罕能紀錄庶事。寬慢不尚	也 一 則 西 域 朴 略 罕 能 紀 錄 庶 事 寬 慢 不 尚 
T54n2126_001:0235b28	繁細。故流傳不同也。今且據東土傳記及經	繁 細 故 流 傳 不 同 也 今 且 據 東 土 傳 記 及 經 
T54n2126_001:0235b29	律所明。而有多說。	律 所 明 而 有 多 說 
T54n2126_001:0235c01	案上統傳漢法本內傳。合阿含經中。皆曰周	案 上 統 傳 漢 法 本 內 傳 合 阿 含 經 中 皆 曰 周 
T54n2126_001:0235c02	昭王二十三年七月十五日。現白象瑞。降摩	昭 王 二 十 三 年 七 月十五日 現 白 象 瑞 降 摩 
T54n2126_001:0235c03	耶夫人胎。明年四月八日。於嵐毘園波羅下。	耶 夫 人 胎 明 年 四 月 八 日 於 嵐 毘 園 波 羅 下 
T54n2126_001:0235c04	右脇而誕也。	右 脇 而 誕 也 
T54n2126_001:0235c05	周書異記曰。昭王二十四年甲寅歲四月八	周 書 異 記 曰 昭 王 二 十 四 年 甲 寅 歲 四 月 八 
T54n2126_001:0235c06	日。江河泉池忽然汎溢。井皆騰涌。宮殿震動。	日 江 河 泉 池 忽 然 汎 溢 井 皆 騰 涌 宮 殿 震 動 
T54n2126_001:0235c07	其夜五色光氣貫于太微。遍于西方。作青虹	其 夜 五 色 光 氣 貫 于 太 微 遍 于 西 方 作 青 虹 
T54n2126_001:0235c08	色。時王問太史蘇由。由對曰。有大聖出于西	色 時 王 問 太 史 蘇 由 由 對 曰 有 大 聖 出 于 西 
T54n2126_001:0235c09	方。故現此瑞。王曰。於國無損乎。對曰。一千	方 故 現 此 瑞 王 曰 於 國 無 損 乎 對 曰 一 千 
T54n2126_001:0235c10	年後。聲教當被于此。	年 後 聲 教 當 被 于 此 
T54n2126_001:0235c11	又案五運圖云。東周平王四十八年戊午歲	又 案 五 運 圖 云 東 周 平 王 四 十 八 年 戊 午 歲 
T54n2126_001:0235c12	佛生。此說則無憑也。又依道安羅什紀及石	佛 生 此 說 則 無 憑 也 又 依 道 安 羅 什 紀 及 石 
T54n2126_001:0235c13	柱銘云。周十八主桓王五年乙丑歲佛生。此	柱 銘 云 周 十 八 主 桓 王 五 年 乙 丑 歲 佛 生 此 
T54n2126_001:0235c14	亦非也。	亦 非 也 
T54n2126_001:0235c15	又費長房開皇三寶錄中。定佛是周莊王他	又 費 長 房 開 皇 三 寶 錄 中 定 佛 是 周 莊 王 他 
T54n2126_001:0235c16	十年甲午四月八日生。以常星不見為徵也。	十 年 甲 午 四 月 八 日 生 以 常 星 不 見 為 徵 也 
T54n2126_001:0235c17	又法顯曾遊西域云。佛是商王代中生。顯因	又 法 顯 曾 遊 西 域 云 佛 是 商 王 代 中 生 顯 因 
T54n2126_001:0235c18	見師子國三月出佛齒。供養王前。宣曰。佛	見 師 子 國 三 月 出 佛 齒 供 養 王 前 宣 曰 佛 
T54n2126_001:0235c19	滅已一千四百九十七載也。顯以晉義凞中	滅 已 一 千 四 百 九 十 七 載 也 顯 以 晉 義 凞 中 
T54n2126_001:0235c20	逆推。知佛是商時生矣。又廬山度律師眾聖	逆 推 知 佛 是 商 時 生 矣 又 廬 山 度 律 師 眾 聖 
T54n2126_001:0235c21	點記云。周貞定王二年甲戌佛生。法寶大師	點 記 云 周 貞 定 王 二 年 甲 戌 佛 生 法 寶 大 師 
T54n2126_001:0235c22	全不取此　又感通傳中。是夏桀之時見佛	全 不 取 此 又 感 通 傳 中 是 夏 桀 之 時 見 佛 
T54n2126_001:0235c23	垂迹也。	垂 迹 也 
T54n2126_001:0235c24	次上諸說帝代不同。一夏末。二商末。三周昭	次 上 諸 說 帝 代 不 同 一 夏 末 二 商 末 三 周 昭 
T54n2126_001:0235c25	王時。四平王時。五桓王時。六莊王時。七貞定	王 時 四 平 王 時 五 桓 王 時 六 莊 王 時 七 貞 定 
T54n2126_001:0235c26	王時。皆據此方傳記所說。若案經律者。浴	王 時 皆 據 此 方 傳 記 所 說 若 案 經 律 者 浴 
T54n2126_001:0235c27	佛經云。一切佛皆四月八日生也。瑞應經亦	佛 經 云 一 切 佛 皆 四 月 八 日 生 也 瑞 應 經 亦 
T54n2126_001:0235c28	云四月八日生。而薩婆多論中即云二月八	云 四 月 八 日 生 而 薩 婆 多 論 中 即 云 二 月 八 
T54n2126_001:0235c29	日生。是則內教二說不同也。今謂佛若是夏	日 生 是 則 內 教 二 說 不 同 也 今 謂 佛 若 是 夏 
T54n2126_001:0236a01	時生。即今建巳四月八日也。若商時生。即	時 生 即 今 建 巳 四 月 八 日 也 若 商 時 生 即 
T54n2126_001:0236a02	今建辰月八日也。若周時生。即今建卯月八	今 建 辰 月 八 日 也 若 周 時 生 即 今 建 卯 月 八 
T54n2126_001:0236a03	日也。又據南山宜律師問天人曰。此土傳佛	日 也 又 據 南 山 宜 律 師 問 天 人 曰 此 土 傳 佛 
T54n2126_001:0236a04	生時。或云商代。或周昭王。魯莊公世。如何指	生 時 或 云 商 代 或 周 昭 王 魯 莊 公 世 如 何 指 
T54n2126_001:0236a05	的。答曰。皆有所以。弟子是夏桀時生。天具見	的 答 曰 皆 有 所 以 弟 子 是 夏 桀 時 生 天 具 見 
T54n2126_001:0236a06	佛之垂化。然佛有三身。法報二身非人天所	佛 之 垂 化 然 佛 有 三 身 法 報 二 身 非 人 天 所 
T54n2126_001:0236a07	見。唯化身佛普被三千故。有百億釋迦。隨機	見 唯 化 身 佛 普 被 三 千 故 有 百 億 釋 迦 隨 機 
T54n2126_001:0236a08	所感。前後不定。不足疑也。	所 感 前 後 不 定 不 足 疑 也 
T54n2126_001:0236a09	今東京以臘月八日浴佛言佛生日者。案祇	今 東 京 以 臘 月 八 日 浴 佛 言 佛 生 日 者 案 祇 
T54n2126_001:0236a10	洹圖經。寺中有坡黎師子。形如拳許大。口出	洹 圖 經 寺 中 有 坡 黎 師 子 形 如 拳 許 大 口 出 
T54n2126_001:0236a11	妙音。菩薩聞之。皆超地位。每至臘月八日。舍	妙 音 菩 薩 聞 之 皆 超 地 位 每 至 臘 月 八 日 舍 
T54n2126_001:0236a12	衛城中士女競持香花。來聽法音。詳彼。不言	衛 城 中 士 女 競 持 香 花 來 聽 法 音 詳 彼 不 言 
T54n2126_001:0236a13	佛生日。疑天竺以臘八為節日耳。又疑是用	佛 生 日 疑 天 竺 以 臘 八 為 節 日 耳 又 疑 是 用 
T54n2126_001:0236a14	多論二月八日。臘月乃周之二月也。東西遼	多 論 二 月 八 日 臘 月 乃 周 之 二 月 也 東 西 遼 
T54n2126_001:0236a15	敻故。多差異焉。	敻 故 多 差 異 焉 
T54n2126_001:0236a16	又江表以今四月八日為佛生日者。依瑞應	又 江 表 以 今 四 月 八 日 為 佛 生 日 者 依 瑞 應 
T54n2126_001:0236a17	經也。如用周正。則合是今二月八日。今用建	經 也 如 用 周 正 則 合 是 今 二 月 八 日 今 用 建 
T54n2126_001:0236a18	巳月。乃周之六月也。詳此。濫用建巳月者。有	巳 月 乃 周 之 六 月 也 詳 此 濫 用 建 巳 月 者 有 
T54n2126_001:0236a19	二意焉。一聞聲便用不摭實求時。一翻經者	二 意 焉 一 聞 聲 便 用 不 摭 實 求 時 一 翻 經 者 
T54n2126_001:0236a20	多用夏正。故斯謬耳。若如南山云。并眾生見	多 用 夏 正 故 斯 謬 耳 若 如 南 山 云 并 眾 生 見 
T54n2126_001:0236a21	聞不同。故時節不等。不宜確執。然則兩方相	聞 不 同 故 時 節 不 等 不 宜 確 執 然 則 兩 方 相 
T54n2126_001:0236a22	接。三藏所傳。以周昭時生。理為長也。	接 三 藏 所 傳 以 周 昭 時 生 理 為 長 也 
T54n2126_001:0236a23	重之曰。前言月八日者。為東夏耶。為西域耶。	重 之 曰 前 言 月 八 日 者 為 東 夏 耶 為 西 域 耶 
T54n2126_001:0236a24	若尋條見本。從水求源。則事無不周。理有攸	若 尋 條 見 本 從 水 求 源 則 事 無 不 周 理 有 攸 
T54n2126_001:0236a25	貫。且天竺歲首諸說不同。高僧傳中。慧嚴與	貫 且 天 竺 歲 首 諸 說 不 同 高 僧 傳 中 慧 嚴 與 
T54n2126_001:0236a26	何承天爭中邊言。西域以建辰為歲首。傳又	何 承 天 爭 中 邊 言 西 域 以 建 辰 為 歲 首 傳 又 
T54n2126_001:0236a27	云。十二月三十日號大神變月。即此土正月	云 十 二 月 三 十 日 號 大 神 變 月 即 此 土 正 月 
T54n2126_001:0236a28	十五日。此指夏正也。而用十六日生魄。為月	十 五 日 此 指 夏 正 也 而 用 十 六 日 生 魄 為 月 
T54n2126_001:0236a29	初一日焉。今未詳。建辰月為取今三月月生	初 一 日 焉 今 未 詳 建 辰 月 為 取 今 三 月 月 生 
T54n2126_001:0236b01	日為歲首。為是月半分之準。西土無正二三	日 為 歲 首 為 是 月 半 分 之 準 西 土 無 正 二 三 
T54n2126_001:0236b02	月名。但取星直月。為月名耳。如毘舍佉月迦	月 名 但 取 星 直 月 為 月 名 耳 如 毘 舍 佉 月 迦 
T54n2126_001:0236b03	提月是也。	提 月 是 也 
T54n2126_001:0236b04	又蔥嶺北諸國。或以建未月為正首。或春際	又 蔥 嶺 北 諸 國 或 以 建 未 月 為 正 首 或 春 際 
