X65n1289_001:0424b06	禪宗指掌	禪 宗 指 掌 
X65n1289_001:0425b08	眼。以有眼故。不墮斷見。以不見故。不落常邊。眼喻真	眼 以 有 眼 故 不 墮 斷 見 以 不 見 故 不 落 常 邊 眼 喻 真 
X65n1289_001:0425b09	心。不見喻無妄。心不自見。故說為空。非無心之自體	心 不 見 喻 無 妄 心 不 自 見 故 說 為 空 非 無 心 之 自 體 
X65n1289_001:0425b10	也。真心絕待。可謂真矣。心不自見。可無妄矣。此理微	也 真 心 絕 待 可 謂 真 矣 心 不 自 見 可 無 妄 矣 此 理 微 
X65n1289_001:0425b11	妙。最難究竟。非多集善根。聰明利智者。不能通達也。	妙 最 難 究 竟 非 多 集 善 根 聰 明 利 智 者 不 能 通 達 也 
X65n1289_001:0425b12	客曰。誠如所云矣。	客 曰 誠 如 所 云 矣 
X65n1289_001:0425b13	第三篇	第 三 篇 
X65n1289_001:0425b14	夫參禪貴其善巧用心。若用心不巧。則多招愆尤。大	夫 參 禪 貴 其 善 巧 用 心 若 用 心 不 巧 則 多 招 愆 尤 大 
X65n1289_001:0425b15	則橫遭魔事。癡狂失心。小則以假為真。認虗為實。以	則 橫 遭 魔 事 癡 狂 失 心 小 則 以 假 為 真 認 虗 為 實 以 
X65n1289_001:0425b16	致虗棄一生。而更難免善因反招惡果。可不慎乎。蓋	致 虗 棄 一 生 而 更 難 免 善 因 反 招 惡 果 可 不 慎 乎 蓋 
X65n1289_001:0425b17	愚拙用心。有其多種。總在二處所攝。一者著有。二者	愚 拙 用 心 有 其 多 種 總 在 二 處 所 攝 一 者 著 有 二 者 
X65n1289_001:0425b18	執無。此二種見。俱是外道所執。佛法之所不收。今人	執 無 此 二 種 見 俱 是 外 道 所 執 佛 法 之 所 不 收 今 人 
X65n1289_001:0425b19	參禪。雖知色身虗假。而復執著。靈性是實。謂之色身	參 禪 雖 知 色 身 虗 假 而 復 執 著 靈 性 是 實 謂 之 色 身 
X65n1289_001:0425b20	之內。有個靈明覺照。思想分別心性。認為真實之我。	之 內 有 個 靈 明 覺 照 思 想 分 別 心 性 認 為 真 實 之 我 
X65n1289_001:0425b21	或執屏息妄想。一念不生。身同枯木。心等死灰。以為	或 執 屏 息 妄 想 一 念 不 生 身 同 枯 木 心 等 死 灰 以 為 
X65n1289_001:0425b22	真實究竟之處。此二皆為愚拙用心。甚可憐憫。譬如	真 實 究 竟 之 處 此 二 皆 為 愚 拙 用 心 甚 可 憐 憫 譬 如 
X65n1289_001:0425b23	壓砂取油。[穀禾+牛]角求乳。縱經塵劫。終無一得。且認心性	壓 砂 取 油 [穀禾牛] 角 求 乳 縱 經 塵 劫 終 無 一 得 且 認 心 性 
X65n1289_001:0425b24	為我者。知我者誰。若心性是我。知心性是我者又是	為 我 者 知 我 者 誰 若 心 性 是 我 知 心 性 是 我 者 又 是 
X65n1289_001:0425c01	那一個。若二俱是我。豈不一身有二我耶。諸細思之。	那 一 個 若 二 俱 是 我 豈 不 一 身 有 二 我 耶 諸 細 思 之 
X65n1289_001:0425c02	故知心性非我也。又認一念不生為真實者。若一念	故 知 心 性 非 我 也 又 認 一 念 不 生 為 真 實 者 若 一 念 
X65n1289_001:0425c03	不生。則與木石何異。若與木石無異是真實者。則一	不 生 則 與 木 石 何 異 若 與 木 石 無 異 是 真 實 者 則 一 
X65n1289_001:0425c04	切木石。應可成佛。豈有此理乎。又者認著一念不生	切 木 石 應 可 成 佛 豈 有 此 理 乎 又 者 認 著 一 念 不 生 
X65n1289_001:0425c05	為真實者。即是執著。執著即是生念。豈是無念乎。又	為 真 實 者 即 是 執 著 執 著 即 是 生 念 豈 是 無 念 乎 又 
X65n1289_001:0425c06	汝若言一念不生。亦不執著為真實者。則與無知愚	汝 若 言 一 念 不 生 亦 不 執 著 為 真 實 者 則 與 無 知 愚 
X65n1289_001:0425c07	人無異。又何名為知禪知道者乎。思之思之。不可鹵	人 無 異 又 何 名 為 知 禪 知 道 者 乎 思 之 思 之 不 可 鹵 
X65n1289_001:0425c08	莽。如何是善巧用心處耶。謂纔舉一念如何是我本	莽 如 何 是 善 巧 用 心 處 耶 謂 纔 舉 一 念 如 何 是 我 本 
X65n1289_001:0425c09	來面目。只看這舉念的是誰。須知此舉念的。元即是	來 面 目 只 看 這 舉 念 的 是 誰 須 知 此 舉 念 的 元 即 是 
X65n1289_001:0425c10	我自己舉也。豈他人乎。雖是我自己。而要無我可得。	我 自 己 舉 也 豈 他 人 乎 雖 是 我 自 己 而 要 無 我 可 得 
X65n1289_001:0425c11	無我可見。方是真我也。何也。我不得我故。我不見我	無 我 可 見 方 是 真 我 也 何 也 我 不 得 我 故 我 不 見 我 
X65n1289_001:0425c12	故。如眼不自見。刀不自割。思之。我若得我。有二我之	故 如 眼 不 自 見 刀 不 自 割 思 之 我 若 得 我 有 二 我 之 
X65n1289_001:0425c13	過故。謂若認著這舉念的即是我者。知舉念的是我	過 故 謂 若 認 著 這 舉 念 的 即 是 我 者 知 舉 念 的 是 我 
X65n1289_001:0425c14	又是那一個。若二俱是我。豈非有二我耶。又若舉念	又 是 那 一 個 若 二 俱 是 我 豈 非 有 二 我 耶 又 若 舉 念 
X65n1289_001:0425c15	的不是我者。則落斷空。是亦不可。或離此舉念的之	的 不 是 我 者 則 落 斷 空 是 亦 不 可 或 離 此 舉 念 的 之 
X65n1289_001:0425c16	外尋個我者。盡未來際不可得。此理最難明白。須是	外 尋 個 我 者 盡未來際 不 可 得 此 理 最 難 明 白 須 是 
X65n1289_001:0425c17	誠心懇切。方有入處。若能知舉念的是我。而不落常	誠 心 懇 切 方 有 入 處 若 能 知 舉 念 的 是 我 而 不 落 常 
X65n1289_001:0425c18	見之過。若知舉念的不是我。而不招斷空之尤。方是	見 之 過 若 知 舉 念 的 不 是 我 而 不 招 斷 空 之 尤 方 是 
X65n1289_001:0425c19	善巧用心處。慎之。	善 巧 用 心 處 慎 之 
X65n1289_001:0425c20	第四篇	第 四 篇 
X65n1289_001:0425c21	有問曰。本來面目是有耶。是無耶。因反問彼曰。汝現	有 問 曰 本 來 面 目 是 有 耶 是 無 耶 因 反 問 彼 曰 汝 現 
X65n1289_001:0425c22	在自己是有耶。是無耶。答曰。我現在自己是有也。問	在 自 己 是 有 耶 是 無 耶 答 曰 我 現 在 自 己 是 有 也 問 
X65n1289_001:0425c23	曰。汝現在將何為自己耶。答曰。我現在。以見聞覺知	曰 汝 現 在 將 何 為 自 己 耶 答 曰 我 現 在 以 見聞覺知 
X65n1289_001:0425c24	為自己也。問曰。汝現在以見聞覺知為自己者。知見	為 自 己 也 問 曰 汝 現 在 以 見聞覺知 為 自 己 者 知 見 
X65n1289_001:0426a01	聞覺知是自己者是誰耶。答曰。知見聞覺知亦是我	聞 覺 知 是 自 己 者 是 誰 耶 答 曰 知 見聞覺知 亦 是 我 
X65n1289_001:0426a02	也。難曰。知見聞覺知是汝。見聞覺知又是汝。若如是	也 難 曰 知 見聞覺知 是 汝 見聞覺知 又 是 汝 若 如 是 
X65n1289_001:0426a03	者。汝豈非有二我耶。問曰。我現在自己是有。有如是	者 汝 豈 非 有 二 我 耶 問 曰 我 現 在 自 己 是 有 有 如 是 
X65n1289_001:0426a04	過。則我現在自己是無耶。反問彼曰。汝現在以何為	過 則 我 現 在 自 己 是 無 耶 反 問 彼 曰 汝 現 在 以 何 為 
X65n1289_001:0426a05	無耶。答曰。我現在以見聞覺知是無也。問曰。汝現在	無 耶 答 曰 我 現 在 以 見聞覺知 是 無 也 問 曰 汝 現 在 
X65n1289_001:0426a06	能見聞能覺知否。答曰。能見聞能覺知。難曰。既能見	能 見 聞 能 覺 知 否 答 曰 能 見 聞 能 覺 知 難 曰 既 能 見 
X65n1289_001:0426a07	聞覺知。豈是無耶。汝若能知見聞覺知是我者。則不	聞 覺 知 豈 是 無 耶 汝 若 能 知 見聞覺知 是 我 者 則 不 
X65n1289_001:0426a08	復見有我及見聞覺知也。如金指鐶下爐鎔成本金。	復 見 有 我 及 見聞覺知 也 如 金 指 鐶 下 爐 鎔 成 本 金 
X65n1289_001:0426a09	則不復見有指鐶之相。汝若見有見聞覺知是我者。	則 不 復 見 有 指 鐶 之 相 汝 若 見 有 見聞覺知 是 我 者 
X65n1289_001:0426a10	則永失真我所在。如金復成指鐶。則失金之本相。故	則 永 失 真 我 所 在 如 金 復 成 指 鐶 則 失 金 之 本 相 故 
X65n1289_001:0426a11	古人偈云。知妄為妄。即妄是真。認妄為真。雖真亦妄。	古 人 偈 云 知 妄 為 妄 即 妄 是 真 認 妄 為 真 雖 真 亦 妄 
X65n1289_001:0426a12	思之。思之。更有一偈。知有難得無。知無難得有。有無	思 之 思 之 更 有 一 偈 知 有 難 得 無 知 無 難 得 有 有 無 
X65n1289_001:0426a13	俱不著。說法獅子吼。	俱 不 著 說 法 獅 子 吼 
X65n1289_001:0426a14	第五篇	第 五 篇 
X65n1289_001:0426a15	有問曰。本來面目是有耶。是無耶。答曰。非有非無也。	有 問 曰 本 來 面 目 是 有 耶 是 無 耶 答 曰 非有非無 也 
X65n1289_001:0426a16	問曰。如何是非有非無耶。答曰。若本來面目是有者。	問 曰 如 何 是 非有非無 耶 答 曰 若 本 來 面 目 是 有 者 
X65n1289_001:0426a17	是誰本來面目耶。答曰。是我本來面目也。問曰。汝是	是 誰 本 來 面 目 耶 答 曰 是 我 本 來 面 目 也 問 曰 汝 是 
X65n1289_001:0426a18	誰耶。答曰。我是我自己也。問曰。本來面目是誰耶。答	誰 耶 答 曰 我 是 我 自 己 也 問 曰 本 來 面 目 是 誰 耶 答 
X65n1289_001:0426a19	曰。亦是我自己也。難曰。汝是汝自己。本來面目又是	曰 亦 是 我 自 己 也 難 曰 汝 是 汝 自 己 本 來 面 目 又 是 
X65n1289_001:0426a20	汝自己。如是汝豈有兩個自己耶。是故本來面目非	汝 自 己 如 是 汝 豈 有 兩 個 自 己 耶 是 故 本 來 面 目 非 
X65n1289_001:0426a21	是有也。問曰。如何是非無耶。答曰。有覺有知有見有	是 有 也 問 曰 如 何 是 非 無 耶 答 曰 有 覺 有 知 有 見 有 
X65n1289_001:0426a22	聞尚不是本來面目。何況無覺無知無見無聞虗妄	聞 尚 不 是 本 來 面 目 何 況 無 覺 無 知 無 見 無 聞 虗 妄 
X65n1289_001:0426a23	斷滅為本來面目耶。是故本來面目非是無也。問曰。	斷 滅 為 本 來 面 目 耶 是 故 本 來 面 目 非 是 無 也 問 曰 
X65n1289_001:0426a24	畢竟如何是本來面目。答曰。如眼不能自見故。不可	畢 竟 如 何 是 本 來 面 目 答 曰 如 眼 不 能 自 見 故 不 可 
X65n1289_001:0426b01	說是有也。以實有眼故。不可說是無也。本來面目亦	說 是 有 也 以 實 有 眼 故 不 可 說 是 無 也 本 來 面 目 亦 
X65n1289_001:0426b02	復如是。以不能自見故。不可說是有也。以實有本來	復 如 是 以 不 能 自 見 故 不 可 說 是 有 也 以 實 有 本 來 
X65n1289_001:0426b03	面目故。不可說是無也。思之。思之。	面 目 故 不 可 說 是 無 也 思 之 思 之 
X65n1289_001:0426b04	第六篇	第 六 篇 
X65n1289_001:0426b05	一日靜坐。忽有一居士。排門而入。因問曰。汝是何人。	一 日 靜 坐 忽 有 一 居 士 排 門 而 入 因 問 曰 汝 是 何 人 
X65n1289_001:0426b06	答曰。我名悟空。有事特來請教。久聞大師有云。知有	答 曰 我 名 悟 空 有 事 特 來 請 教 久 聞 大 師 有 云 知 有 
X65n1289_001:0426b07	而不落常見。知無而不墮斷空。如何是知無而不墮	而 不 落 常 見 知 無 而 不 墮 斷 空 如 何 是 知 無 而 不 墮 
X65n1289_001:0426b08	斷空之義。答曰。我今問汝。隨汝意答。汝今眼見色否。	斷 空 之 義 答 曰 我 今 問 汝 隨 汝 意 答 汝 今 眼 見 色 否 
X65n1289_001:0426b09	答曰見。心著色否。答曰不著。如是耳聞聲。鼻齅香。舌	答 曰 見 心 著 色 否 答 曰 不 著 如 是 耳 聞 聲 鼻 齅 香 舌 
X65n1289_001:0426b10	嘗味。身覺觸。意知法。汝心還著有聲香味觸法否。答	嘗 味 身 覺 觸 意 知 法 汝 心 還 著 有 聲香味觸 法 否 答 
X65n1289_001:0426b11	曰不著。到此之時。汝心中還有何見解。答曰。到此之	曰 不 著 到 此 之 時 汝 心 中 還 有 何 見 解 答 曰 到 此 之 
X65n1289_001:0426b12	時。我心中一切無著。唯有無見在。曰。即此無見亦須	時 我 心 中 一 切 無 著 唯 有 無 見 在 曰 即 此 無 見 亦 須 
X65n1289_001:0426b13	拋却。答曰。若此無見亦拋棄者。則我心中百無所得。	拋 却 答 曰 若 此 無 見 亦 拋 棄 者 則 我 心 中 百 無 所 得 
X65n1289_001:0426b14	豈不落斷空耶。因喚彼云悟空。答曰諾。云。豈斷空耶。	豈 不 落 斷 空 耶 因 喚 彼 云 悟 空 答 曰 諾 云 豈 斷 空 耶 
X65n1289_001:0426b15	彼乃曰善哉。多蒙指教。今日方知解空而不墮斷見	彼 乃 曰 善 哉 多 蒙 指 教 今 日 方 知 解 空 而 不 墮 斷 見 
X65n1289_001:0426b16	之義。其快何如也。再三拜謝而去。	之 義 其 快 何 如 也 再 三 拜 謝 而 去 
X65n1289_001:0426b17	第七篇	第 七 篇 
X65n1289_001:0426b18	問曰。本來面目可得見否。答曰。不可得見。問曰。為甚	問 曰 本 來 面 目 可 得 見 否 答 曰 不 可 得 見 問 曰 為 甚 
X65n1289_001:0426b19	不可得見。答曰。本來面目是汝自己。汝自己又欲見	不 可 得 見 答 曰 本 來 面 目 是 汝 自 己 汝 自 己 又 欲 見 
X65n1289_001:0426b20	個本來面目。豈不是兩個本來面目耶。以是故本來	個 本 來 面 目 豈 不 是 兩 個 本 來 面 目 耶 以 是 故 本 來 
X65n1289_001:0426b21	面目。不可得見也。思之。問曰。如何是我自己耶。答曰。	面 目 不 可 得 見 也 思 之 問 曰 如 何 是 我 自 己 耶 答 曰 
X65n1289_001:0426b22	即今問者豈不是汝自己問耶。問曰。即將此問者為	即 今 問 者 豈 不 是 汝 自 己 問 耶 問 曰 即 將 此 問 者 為 
X65n1289_001:0426b23	我自己。可否。答曰。不可。問曰。為甚不可。答曰。問者雖	我 自 己 可 否 答 曰 不 可 問 曰 為 甚 不 可 答 曰 問 者 雖 
X65n1289_001:0426b24	是自己。若認著自己。即成兩個自己了。謂問者是汝	是 自 己 若 認 著 自 己 即 成 兩 個 自 己 了 謂 問 者 是 汝 
X65n1289_001:0426c01	自己。又認著問者為自己。豈非兩個自己耶。思之。	自 己 又 認 著 問 者 為 自 己 豈 非 兩 個 自 己 耶 思 之 
X65n1289_001:0426c02	第八篇	第 八 篇 
X65n1289_001:0426c03	問曰。本來面目。如何用心參耶。答曰。要不著外六塵。	問 曰 本 來 面 目 如 何 用 心 參 耶 答 曰 要 不 著 外 六 塵 
X65n1289_001:0426c04	內六根。中六識。參。是正用心處。問曰。如是。則無用心	內 六 根 中 六 識 參 是 正 用 心 處 問 曰 如 是 則 無 用 心 
X65n1289_001:0426c05	處。如何用心耶。答曰。無處用心。方是正用心處。有處	處 如 何 用 心 耶 答 曰 無 處 用 心 方 是 正 用 心 處 有 處 
X65n1289_001:0426c06	用心者。皆是著相故。問曰。無處用心。豈不落空耶。答	用 心 者 皆 是 著 相 故 問 曰 無 處 用 心 豈 不 落 空 耶 答 
X65n1289_001:0426c07	曰。知落空者誰。曰。是我也。曰。此既是你。豈落空耶。問	曰 知 落 空 者 誰 曰 是 我 也 曰 此 既 是 你 豈 落 空 耶 問 
