T85n2853_001:1301b07	布薩文等	布 薩 文 等 
T85n2853_001:1301c13	德奉資聖神贊普。伏願明齊舜宇靡叶堯湯。	德 奉 資 聖 神 贊 普 伏 願 明 齊 舜 宇 靡 叶 堯 湯 
T85n2853_001:1301c14	補恩惠於八方。親鐱黎於一子。次用功德莊	補 恩 惠 於 八 方 親 鐱 黎 於 一 子 次 用 功 德 莊 
T85n2853_001:1301c15	嚴我節兒上論。伏願榮高往歲慶益今辰。此	嚴 我 節 兒 上 論 伏 願 榮 高 往 歲 慶 益 今 辰 此 
T85n2853_001:1301c16	用莊嚴都督社公。惟福逐年長壽逾金石。然	用 莊 嚴 都 督 社 公 惟 福 逐 年 長 壽 逾 金 石 然 
T85n2853_001:1301c17	後散霑法界普及有情。	後 散 霑 法 界 普 及 有 情 
T85n2853_001:1301c18	罷四季文	罷 四 季 文 
T85n2853_001:1301c19	夫佛日舒光無災不遣。般若流演河福不臻。	夫 佛 日 舒 光 無 災 不 遣 般 若 流 演 河 福 不 臻 
T85n2853_001:1301c20	今者啟八龍之寶藏。開五印之真文。會二百	今 者 啟 八 龍 之 寶 藏 開 五 印 之 真 文 會 二 百 
T85n2853_001:1301c21	之梵輪。於三旬而轉誦者。則我當今聖神贊	之 梵 輪 於 三 旬 而 轉 誦 者 則 我 當 今 聖 神 贊 
T85n2853_001:1301c22	保。願功德之端敘矣。伏惟聖神贊普道邁義	保 願 功 德 之 端 敘 矣 伏 惟 聖 神 贊 普 道 邁 義 
T85n2853_001:1301c23	軒。功超堯舜握圖脚歷秉錄匡時八表廊清	軒 功 超 堯 舜 握 圖 脚 歷 秉 錄 匡 時 八 表 廊 清 
T85n2853_001:1301c24	廣弘。十善家以別崇妙福特竪芳。因建四	廣 弘 十 善 家 以 別 崇 妙 福 特 竪 芳 因 建 四 
T85n2853_001:1301c25	季道場。希萬機永古。由是照自舟闕遠今燉	季 道 場 希 萬 機 永 古 由 是 照 自 舟 闕 遠 今 燉 
T85n2853_001:1301c26	煌每歲修崇恒為常戒。今茲會者則春季之	煌 每 歲 修 崇 恒 為 常 戒 今 茲 會 者 則 春 季 之 
T85n2853_001:1301c27	終畢矣。是日也無田初綠桃苑讒紅。玉綵向	終 畢 矣 是 日 也 無 田 初 綠 桃 苑 讒 紅 玉 綵 向 
T85n2853_001:1301c28	終金言告罷。相此殊勝無疆福。因先用莊嚴。	終 金 言 告 罷 相 此 殊 勝 無 疆 福 因 先 用 莊 嚴 
T85n2853_001:1301c29	夫應化無方神用不倦。恩霑動植。福洽生靈。	夫 應 化 無 方 神 用 不 倦 恩 霑 動 植 福 洽 生 靈 
T85n2853_001:1302a01	天中之天獨擅其務。至於妙事豈足繁詞。此	天 中 之 天 獨 擅 其 務 至 於 妙 事 豈 足 繁 詞 此 
T85n2853_001:1302a02	瑞之興抑有由矣。今則三春中律四序初分。	瑞 之 興 抑 有 由 矣 今 則 三 春 中 律 四 序 初 分 
T85n2853_001:1302a03	絮拆南枝。氷開北岸。廣法王之化跡冀彌千	絮 拆 南 枝 氷 開 北 岸 廣 法 王 之 化 跡 冀 彌 千 
T85n2853_001:1302a04	殃。揚大聖之辭榮悕臻萬善。於是不局月殿。	殃 揚 大 聖 之 辭 榮 悕 臻 萬 善 於 是 不 局 月 殿 
T85n2853_001:1302a05	夜擊霜鍾受集緇徒。競持幡蓋列四門之勝	夜 擊 霜 鍾 受 集 緇 徒 競 持 幡 蓋 列 四 門 之 勝 
T85n2853_001:1302a06	會旋一郡之都城。像設金容。雲非鷲嶺。眉開	會 旋 一 郡 之 都 城 像 設 金 容 雲 非 鷲 嶺 眉 開 
T85n2853_001:1302a07	毫月。花步蓮宮。傾市傾城搖山蕩谷。迦維厭	毫 月 花 步 蓮 宮 傾 市 傾 城 搖 山 蕩 谷 迦 維 厭 
T85n2853_001:1302a08	慾豈用年哉。所冀四王護世百福。潛加攙搶	慾 豈 用 年 哉 所 冀 四 王 護 世 百 福 潛 加 攙 搶 
T85n2853_001:1302a09	掃於天門。疫癘藏於地戶。慶雲有世善色。凝	掃 於 天 門 疫 癘 藏 於 地 戶 慶 雲 有 世 善 色 凝 
T85n2853_001:1302a10	空倒載干戈。修文偃武。總斯功德迴奉龍天	空 倒 載 干 戈 修 文 偃 武 總 斯 功 德 迴 奉 龍 天 
T85n2853_001:1302a11	八部。惟願威光恒赫神力無涯。災害不生禍	八 部 惟 願 威 光 恒 赫 神 力 無 涯 災 害 不 生 禍 
T85n2853_001:1302a12	亂不作。又持勝福上資聖神贊普。唯願萬國	亂 不 作 又 持 勝 福 上 資 聖 神 贊 普 唯 願 萬 國 
T85n2853_001:1302a13	納貢四海來庭。寶歷恒昌。金石比壽。又持勝	納 貢 四 海 來 庭 寶 歷 恒 昌 金 石 比 壽 又 持 勝 
T85n2853_001:1302a14	福莊嚴節兒都督。唯願壽命逾遠祿極萬鐘	福 莊 嚴 節 兒 都 督 唯 願 壽 命 逾 遠 祿 極 萬 鐘 
T85n2853_001:1302a15	部落。使官遼門傳九戟。然後散霑法界普洎	部 落 使 官 遼 門 傳 九 戟 然 後 散 霑 法 界 普 洎 
T85n2853_001:1302a16	有情。賴此勝因咸登樂果。	有 情 賴 此 勝 因 咸 登 樂 果 
T85n2853_001:1302a17	行城文	行 城 文 
T85n2853_001:1302a18	我法王之利見也大矣哉。故降神兜率現影	我 法 王 之 利 見 也 大 矣 哉 故 降 神 兜 率 現 影 
T85n2853_001:1302a19	王城。觀妙色有苦於癰瘡。骸寶住乃踰於宮	王 城 觀 妙 色 有 苦 於 癰 瘡 骸 寶 住 乃 踰 於 宮 
T85n2853_001:1302a20	闕。御四魔而登正覺。居三界而獨稱尊。神化	闕 御 四 魔 而 登 正 覺 居 三 界 而 獨 稱 尊 神 化 
T85n2853_001:1302a21	難量叵能談也。今者春陽今月地拆萠芽。鳥	難 量 叵 能 談 也 今 者 春 陽 今 月 地 拆 萠 芽 鳥 
T85n2853_001:1302a22	嚮含春風搖。抑於是豁開奈苑洞啟蓮宮。金	嚮 含 春 風 搖 抑 於 是 豁 開 奈 苑 洞 啟 蓮 宮 金 
T85n2853_001:1302a23	相煥爛於四衢。銀毫暉舒於八極。隱隱振振	相 煥 爛 於 四 衢 銀 毫 暉 舒 於 八 極 隱 隱 振 振 
T85n2853_001:1302a24	如旋白飯之城。巍巍峨峨似繞迦維之闕。尊	如 旋 白 飯 之 城 巍 巍 峨 峨 似 繞 迦 維 之 闕 尊 
T85n2853_001:1302a25	卑務集大小雲奔。笙歌競奏而啾留法曲。爭	卑 務 集 大 小 雲 奔 笙 歌 競 奏 而 啾 留 法 曲 爭 
T85n2853_001:1302a26	陳而槽揆所冀百福被矣。千障雲祛覩勝相	陳 而 槽 揆 所 冀 百 福 被 矣 千 障 雲 祛 覩 勝 相 
T85n2853_001:1302a27	兮獲因。瞻妙色兮生福。總斯多善。莫限良緣。	兮 獲 因 瞻 妙 色 兮 生 福 總 斯 多 善 莫 限 良 緣 
T85n2853_001:1302a28	先用莊嚴。釋梵四王龍天八部。唯願增威力	先 用 莊 嚴 釋 梵 四 王 龍 天 八 部 唯 願 增 威 力 
T85n2853_001:1302a29	益神通。併妖氛驅疫癘。次持勝福奉用莊嚴。	益 神 通 併 妖 氛 驅 疫 癘 次 持 勝 福 奉 用 莊 嚴 
T85n2853_001:1302b01	我當今聖神贊普。伏願壽永固等乾坤六幾	我 當 今 聖 神 贊 普 伏 願 壽 永 固 等 乾 坤 六 幾 
T85n2853_001:1302b02	賓四海。伏次用莊嚴節兒尚論麥及都督杜	賓 四 海 伏 次 用 莊 嚴 節 兒 尚 論 麥 及 都 督 杜 
T85n2853_001:1302b03	公為雲為雨濟枯涸。於明朝部落使諸官建	公 為 雲 為 雨 濟 枯 涸 於 明 朝 部 落 使 諸 官 建 
T85n2853_001:1302b04	忠貞於聖伐。然後上空窮空界傍枯十方。賴	忠 貞 於 聖 伐 然 後 上 空 窮 空 界 傍 枯 十 方 賴 
T85n2853_001:1302b05	此勝因成正覺道。	此 勝 因 成 正 覺 道 
T85n2853_001:1302b06	行城文	行 城 文 
T85n2853_001:1302b07	應化無窮作用不倦。恩霑動植福洽生靈。天	應 化 無 窮 作 用 不 倦 恩 霑 動 植 福 洽 生 靈 天 
T85n2853_001:1302b08	中之天獨擅其勢。至於妙事豈足繁詞。此會	中 之 天 獨 擅 其 勢 至 於 妙 事 豈 足 繁 詞 此 會 
T85n2853_001:1302b09	之瑞抑有由矣。今則四序將盡。三春肇來。送	之 瑞 抑 有 由 矣 今 則 四 序 將 盡 三 春 肇 來 送 
T85n2853_001:1302b10	故納新。除災建福。冀清封壘保艾蒸黎。於是	故 納 新 除 災 建 福 冀 清 封 壘 保 艾 蒸 黎 於 是 
T85n2853_001:1302b11	月殿不局霜鍾。夜擊爰集緇侶。悉索幡花出	月 殿 不 局 霜 鍾 夜 擊 爰 集 緇 侶 悉 索 幡 花 出 
T85n2853_001:1302b12	佛像。於四門遶重城而一匝儼然相好鷲嶺	佛 像 於 四 門 遶 重 城 而 一 匝 儼 然 相 好 鷲 嶺 
T85n2853_001:1302b13	雲非煥爛。毫光蓮峯降步傾城傾市蕩谷搖	雲 非 煥 爛 毫 光 蓮 峯 降 步 傾 城 傾 市 蕩 谷 搖 
T85n2853_001:1302b14	山舍衛踰城豈用年矣。即冀四王護世百福	山 舍 衛 踰 城 豈 用 年 矣 即 冀 四 王 護 世 百 福 
T85n2853_001:1302b15	潛加攙槍掃於天門。疫癘藏於地戶。庶雲布	潛 加 攙 槍 掃 於 天 門 疫 癘 藏 於 地 戶 庶 雲 布 
T85n2853_001:1302b16	族喜色凝空。倒載干戈修文偃武。總斯功德	族 喜 色 凝 空 倒 載 干 戈 修 文 偃 武 總 斯 功 德 
T85n2853_001:1302b17	迴施龍天八部。惟願威光恒赫神力無涯。災	迴 施 龍 天 八 部 惟 願 威 光 恒 赫 神 力 無 涯 災 
T85n2853_001:1302b18	害不生禍亂不作。又持景福上資聖神贊普。	害 不 生 禍 亂 不 作 又 持 景 福 上 資 聖 神 贊 普 
T85n2853_001:1302b19	惟願萬國納貢四海來庭。寶曆恒昌金石比	惟 願 萬 國 納 貢 四 海 來 庭 寶 曆 恒 昌 金 石 比 
T85n2853_001:1302b20	壽。皇太子殿下游雷遠震少海。長清夫人蘭	壽 皇 太 子 殿 下 游 雷 遠 震 少 海 長 清 夫 人 蘭 
T85n2853_001:1302b21	桂永芳。妃嬪神花獻頌。又持勝福總用莊嚴	桂 永 芳 妃 嬪 神 花 獻 頌 又 持 勝 福 總 用 莊 嚴 
T85n2853_001:1302b22	我都督杜公祿極萬鍾。然後。	我 都 督 杜 公 祿 極 萬 鍾 然 後 
T85n2853_001:1302b23	行軍轉經文	行 軍 轉 經 文 
T85n2853_001:1302b24	夫諸佛興悲無緣普備有情。見異感迹緣老	夫 諸 佛 興 悲 無 緣 普 備 有 情 見 異 感 迹 緣 老 
T85n2853_001:1302b25	故使歸向者福逐。願生輕毀者禍隨心起。則	故 使 歸 向 者 福 逐 願 生 輕 毀 者 禍 隨 心 起 則 
T85n2853_001:1302b26	知禍福自致非聖愛憎者與然。今此會轉經	知 禍 福 自 致 非 聖 愛 憎 者 與 然 今 此 會 轉 經 
T85n2853_001:1302b27	意者。則我東軍國相論掣脯敬為西征。將仕	意 者 則 我 東 軍 國 相 論 掣 脯 敬 為 西 征 將 仕 
T85n2853_001:1302b28	保願功德之建修也。伏惟相公天降英靈地	保 願 功 德 之 建 修 也 伏 惟 相 公 天 降 英 靈 地 
T85n2853_001:1302b29	資秀氣。岳山作鎮謀略坐籌。每見北勇興師	資 秀 氣 岳 山 作 鎮 謀 略 坐 籌 每 見 北 勇 興 師 
T85n2853_001:1302c01	頻犯邊境。抄劫人畜暴枆田苗。使人色不安	頻 犯 邊 境 抄 劫 人 畜 暴 枆 田 苗 使 人 色 不 安 
T85n2853_001:1302c02	峯飈數舉。我國相慢然忿起。怒髮衝冠。遂擇	峯 飈 數 舉 我 國 相 慢 然 忿 起 怒 髮 衝 冠 遂 擇 
T85n2853_001:1302c03	良才主兵西討。雖料謀指掌。百無一遺。然必	良 才 主 兵 西 討 雖 料 謀 指 掌 百 無 一 遺 然 必 
T85n2853_001:1302c04	賴福資保其清吉。是以遠啟三危之侶遙祈	賴 福 資 保 其 清 吉 是 以 遠 啟 三 危 之 侶 遙 祈 
T85n2853_001:1302c05	八藏之文。冀仕馬平安永寧家國。故使虔虔	八 藏 之 文 冀 仕 馬 平 安 永 寧 家 國 故 使 虔 虔 
T85n2853_001:1302c06	一志諷誦金剛。濟濟僧尼宣揚般若。想此殊	一 志 諷 誦 金 剛 濟 濟 僧 尼 宣 揚 般 若 想 此 殊 
T85n2853_001:1302c07	勝夫何以加。先用莊嚴護世四王龍神八部。	勝 夫 何 以 加 先 用 莊 嚴 護世四王 龍 神 八 部 
T85n2853_001:1302c08	願使威光盛福力增。使西陳齊威北戎伏欵。	願 使 威 光 盛 福 力 增 使 西 陳 齊 威 北 戎 伏 欵 
T85n2853_001:1302c09	又用莊嚴行軍將相。伏願才智日新福同山	又 用 莊 嚴 行 軍 將 相 伏 願 才 智 日 新 福 同 山 
T85n2853_001:1302c10	積。壽命遐遠鎮坐臺階。諸將仕等三寶撫護	積 壽 命 遐 遠 鎮 坐 臺 階 諸 將 仕 等 三 寶 撫 護 
T85n2853_001:1302c11	萬善莊嚴。然後。	萬 善 莊 嚴 然 後 
T85n2853_001:1302c12	轉經文	轉 經 文 
T85n2853_001:1302c13	我法王之利見也難可詳焉。其有歸依者果	我 法 王 之 利 見 也 難 可 詳 焉 其 有 歸 依 者 果 
T85n2853_001:1302c14	無不剋矣。然今啟龍藏宅一心擊洪鍾邀二	無 不 剋 矣 然 今 啟 龍 藏 宅 一 心 擊 洪 鍾 邀 二 
T85n2853_001:1302c15	眾者。其誰施之。則我國相論掣脯敬為西征	眾 者 其 誰 施 之 則 我 國 相 論 掣 脯 敬 為 西 征 
T85n2853_001:1302c16	將仕保願功德之所建矣。伏惟相公乃何岳	將 仕 保 願 功 德 之 所 建 矣 伏 惟 相 公 乃 何 岳 
T85n2853_001:1302c17	降靈神威動物咸恩。出塞曰　撫俗安邊。一	降 靈 神 威 動 物 咸 恩 出 塞 曰 撫 俗 安 邊 一 
T85n2853_001:1302c18	昨春初扶陽作[薩/女]摽棹人畜。由是大舉軍師	昨 春 初 扶 陽 作 [薩女] 摽 棹 人 畜 由 是 大 舉 軍 師 
T85n2853_001:1302c19	併除兇醜。雖兵強仕勇。然福乃禍師。是	併 除 兇 醜 雖 兵 強 仕 勇 然 福 乃 禍 師 是 
T85n2853_001:1302c20	以遠杖流沙精祈轉念。今者能事遐列勝福	以 遠 杖 流 沙 精 祈 轉 念 今 者 能 事 遐 列 勝 福 
T85n2853_001:1302c21	斯圓。總用莊嚴行軍將相即體。願使諸佛護	斯 圓 總 用 莊 嚴 行 軍 將 相 即 體 願 使 諸 佛 護 
T85n2853_001:1302c22	念使無傷損之憂。八部潛加願起降和之意。	念 使 無 傷 損 之 憂 八 部 潛 加 願 起 降 和 之 意 
T85n2853_001:1302c23	然後人馬咸吉仕卒保康。各守垂永除征戰。	然 後 人 馬 咸 吉 仕 卒 保 康 各 守 垂 永 除 征 戰 
T85n2853_001:1302c24	然後散霑法界普及有情。賴此方因咸登覺	然 後 散 霑 法 界 普 及 有 情 賴 此 方 因 咸 登 覺 
T85n2853_001:1302c25	道。	道 
T85n2853_001:1302c26	置傘文	置 傘 文 
T85n2853_001:1302c27	夫除災靜難者莫善於佛頂密言。集福延休	夫 除 災 靜 難 者 莫 善 於 佛 頂 密 言 集 福 延 休 
T85n2853_001:1302c28	者事資於行城念誦。今者春陽今月寒色猶	者 事 資 於 行 城 念 誦 今 者 春 陽 今 月 寒 色 猶 
T85n2853_001:1302c29	威。請二部之僧尼建白幢於五所者。其誰施	威 請 二 部 之 僧 尼 建 白 幢 於 五 所 者 其 誰 施 
T85n2853_001:1303a01	之。時則有節兒都督為合邑黎元報願功德	之 時 則 有 節 兒 都 督 為 合 邑 黎 元 報 願 功 德 
T85n2853_001:1303a02	之所建矣。伏惟節兒都督公平育物罄節安	之 所 建 矣 伏 惟 節 兒 都 督 公 平 育 物 罄 節 安 
T85n2853_001:1303a03	邊。恐瘳疾流行災殃條起。是以預修弘願建	邊 恐 瘳 疾 流 行 災 殃 條 起 是 以 預 修 弘 願 建 
T85n2853_001:1303a04	竪良因。行城將殄於妖氛。竪幢用臻乎福利。	竪 良 因 行 城 將 殄 於 妖 氛 竪 幢 用 臻 乎 福 利 
T85n2853_001:1303a05	今既能事備勝願享。福長空量難比。以茲勝	今 既 能 事 備 勝 願 享 福 長 空 量 難 比 以 茲 勝 
T85n2853_001:1303a06	利先用莊嚴梵釋四王龍神八部。	利 先 用 莊 嚴 梵 釋 四 王 龍 神 八 部 
T85n2853_001:1303a07	置傘文	置 傘 文 
T85n2853_001:1303a08	夫覩相興善者無出於應化之身。穰災怯禍	夫 覩 相 興 善 者 無 出 於 應 化 之 身 穰 災 怯 禍 
T85n2853_001:1303a09	者莫過乎佛頂心呪。然無身之身故現身而	者 莫 過 乎 佛 頂 心 呪 然 無 身 之 身 故 現 身 而 
T85n2853_001:1303a10	齊難。無說而說說心呪而持危。盛事之興莫	齊 難 無 說 而 說 說 心 呪 而 持 危 盛 事 之 興 莫 
T85n2853_001:1303a11	大於茲矣。今者燉煌之府內竪白法之勝幢。	大 於 茲 矣 今 者 燉 煌 之 府 內 竪 白 法 之 勝 幢 
T85n2853_001:1303a12	設佛頂於四門。使黑業之殄掃厥。今此會其	設 佛 頂 於 四 門 使 黑 業 之 殄 掃 厥 今 此 會 其 
T85n2853_001:1303a13	誰施之。時則有二節兒岳牧杜公等。為城惶	誰 施 之 時 則 有 二 節 兒 岳 牧 杜 公 等 為 城 惶 
T85n2853_001:1303a14	報安之所建也。唯節兒都督以慮燉煌西極	報 安 之 所 建 也 唯 節 兒 都 督 以 慮 燉 煌 西 極 
T85n2853_001:1303a15	境接北胡。躍馬控弦寇盜無准。恐[卄/叉]踐稼穡	境 接 北 胡 躍 馬 控 弦 寇 盜 無 准 恐 [卄叉] 踐 稼 穡 
T85n2853_001:1303a16	百減衣食之源。九農匪登使萬人壞罄懸之	百 減 衣 食 之 源 九 農 匪 登 使 萬 人 壞 罄 懸 之 
T85n2853_001:1303a17	念。所以互相設計務在安人。若論護國匡邦	念 所 以 互 相 設 計 務 在 安 人 若 論 護 國 匡 邦 
T85n2853_001:1303a18	無過。建斯幢傘。即冀除災殃於不毛之地。併	無 過 建 斯 幢 傘 即 冀 除 災 殃 於 不 毛 之 地 併 
T85n2853_001:1303a19	疫癘於無何有之鄉。五穀無霜雹之災。萬品	疫 癘 於 無 何 有 之 鄉 五 穀 無 霜 雹 之 災 萬 品 
T85n2853_001:1303a20	登人壽之城。先資是福奉用莊嚴聖神讚普。	登 人 壽 之 城 先 資 是 福 奉 用 莊 嚴 聖 神 讚 普 
T85n2853_001:1303a21	伏願寶位永固金石齊年。四海澄清萬方朝	伏 願 寶 位 永 固 金 石 齊 年 四 海 澄 清 萬 方 朝 
T85n2853_001:1303a22	貢。亦持此善莊嚴節兒都督為霜為雨濟枯	貢 亦 持 此 善 莊 嚴 節 兒 都 督 為 霜 為 雨 濟 枯 
T85n2853_001:1303a23	旱。於明朝部落使諸官建中貞於聖代。又持	旱 於 明 朝 部 落 使 諸 官 建 中 貞 於 聖 代 又 持 
T85n2853_001:1303a24	是善亦用莊嚴。二教授闍梨。伏願極拔殊苦	是 善 亦 用 莊 嚴 二 教 授 闍 梨 伏 願 極 拔 殊 苦 
T85n2853_001:1303a25	超出輪迴。壽等寒松福如春草。然後薄霑動	超 出 輪 迴 壽 等 寒 松 福 如 春 草 然 後 薄 霑 動 
T85n2853_001:1303a26	植遍及無疆。賴此勝因登正覺道。	植 遍 及 無 疆 賴 此 勝 因 登 正 覺 道 
T85n2853_001:1303a27	置傘文	置 傘 文 
T85n2853_001:1303a28	夫延祥展慶必賴於勝幢。掃蘖除災要資於	夫 延 祥 展 慶 必 賴 於 勝 幢 掃 蘖 除 災 要 資 於 
T85n2853_001:1303a29	兒力。故使善住聞其增壽。慶喜剋獲本心。魑	兒 力 故 使 善 住 聞 其 增 壽 慶 喜 剋 獲 本 心 魑 
T85n2853_001:1303b01	魅畏之逃刑。天魔怖而求救。大哉神兒。無得	魅 畏 之 逃 刑 天 魔 怖 而 求 救 大 哉 神 兒 無 得 
T85n2853_001:1303b02	而稱者歟。今屬和風動物蟄戶。將開幡蓋俳	而 稱 者 歟 今 屬 和 風 動 物 蟄 戶 將 開 幡 蓋 俳 
T85n2853_001:1303b03	佪緇倫肅穆者何。所謂耶時則有我節兒。尚	佪 緇 倫 肅 穆 者 何 所 謂 耶 時 則 有 我 節 兒 尚 
T85n2853_001:1303b04	論及都督杜公等。並乃養人如子憂國同家。	論 及 都 督 杜 公 等 並 乃 養 人 如 子 憂 國 同 家 
T85n2853_001:1303b05	恐妖氛肆惡於城中。品物屢遭於逆厄。是以	恐 妖 氛 肆 惡 於 城 中 品 物 屢 遭 於 逆 厄 是 以 
T85n2853_001:1303b06	三陽令月啟三福於釋尊。四季初辰竪四門	三 陽 令 月 啟 三 福 於 釋 尊 四 季 初 辰 竪 四 門 
T85n2853_001:1303b07	之利。總斯殊妙最上福田。盡用莊嚴梵釋四	之 利 總 斯 殊 妙 最 上 福 田 盡 用 莊 嚴 梵 釋 四 
T85n2853_001:1303b08	王龍神八部。伏願威光盛福力增。育黎無護	王 龍 神 八 部 伏 願 威 光 盛 福 力 增 育 黎 無 護 
T85n2853_001:1303b09	軍國。我聖神贊普。唯願聖躬堅遠。日往月	軍 國 我 聖 神 贊 普 唯 願 聖 躬 堅 遠 日 往 月 
T85n2853_001:1303b10	來。寶住恒昌。天長地久。節兒都督松皇比壽。	來 寶 住 恒 昌 天 長 地 久 節 兒 都 督 松 皇 比 壽 
T85n2853_001:1303b11	福慶相資。部落使諸官等。唯願助理平和。惟	福 慶 相 資 部 落 使 諸 官 等 唯 願 助 理 平 和 惟 
T85n2853_001:1303b12	清惟直。然後四時順五穀登。百殃除萬祥集。	清 惟 直 然 後 四 時 順 五 穀 登 百 殃 除 萬 祥 集 
