X57n0955_001:0062b06	復宗集下	復 宗 集 下 
X57n0955_001:0062c03	殊以經論明之以祖文考之方見今說得乎正當今	殊 以 經 論 明 之 以 祖 文 考 之 方 見 今 說 得 乎 正 當 今 
X57n0955_001:0062c04	此先且考覈舊說灼見未是方顯今義與祖文合且	此 先 且 考 覈 舊 說 灼 見 未 是 方 顯 今 義 與 祖 文 合 且 
X57n0955_001:0062c05	如別教從始至終五十二位而談四種者以地前為	如 別 教 從始至終 五 十 二 位 而 談 四 種 者 以 地 前 為 
X57n0955_001:0062c06	約行教道登地為約行證道及乎約說教證又以說	約 行 教 道 登 地 為 約 行 證 道 及 乎 約 說 教 證 又 以 說 
X57n0955_001:0062c07	一教始終為約說教道說十地法為約說證道夫如	一 教 始 終 為 約 說 教 道 說 十 地 法 為 約 說 證 道 夫 如 
X57n0955_001:0062c08	是祇是三種有行位可收(以地前地地上分三種故)一種是通途	是 祇 是 三 種 有 行 位 可 收 以 地 前 地 地 上 分 三 種 故 一 種 是 通 途 
X57n0955_001:0062c09	說法(約說教道說一教故)是則只消借三種來判別門行位何	說 法 約 說 教 道 說 一 教 故 是 則 只 消 借 三 種 來 判 別 門 行 位 何 
X57n0955_001:0062c10	用約說教道耶則見借此一種用判何位有何功能	用 約 說 教 道 耶 則 見 借 此 一 種 用 判 何 位 有 何 功 能 
X57n0955_001:0062c11	只如諸教如來說法莫不皆為初心之人說其本教	只 如 諸 教 如 來 說 法 莫 不 皆 為 初 心 之 人 說 其 本 教 
X57n0955_001:0062c12	始終行位亦須盡是約說教道又何但四教行位如	始 終 行 位 亦 須 盡 是 約 說 教 道 又 何 但 四 教 行 位 如 
X57n0955_001:0062c13	此只如如來一代說法大藏之中經律論等莫不皆	此 只 如 如 來 一 代 說 法 大 藏 之 中 經 律 論 等 莫 不 皆 
X57n0955_001:0062c14	是如來金口所宣菩薩聖人代佛宣說行位智斷應	是 如 來 金 口 所 宣 菩 薩 聖 人 代 佛 宣 說 行 位 智 斷 應 
X57n0955_001:0062c15	須皆是約說教道以其無非盡為初心之人說行位	須 皆 是 約 說 教 道 以 其 無 非 盡 為 初 心 之 人 說 行 位 
X57n0955_001:0062c16	等法故何其不達之甚曾不少作如此思惟而考覈	等 法 故 何 其 不 達 之 甚 曾 不 少 作 如 此 思 惟 而 考 覈 
X57n0955_001:0062c17	之乎非但今家借用無功亦見地持說義通謾而非	之 乎 非 但 今 家 借 用 無 功 亦 見 地 持 說 義 通 謾 而 非 
X57n0955_001:0062c18	簡要何用借為又只如約說證道既以一教始終皆	簡 要 何 用 借 為 又 只 如 約 說 證 道 既 以 一 教 始 終 皆 
X57n0955_001:0062c19	是約說教道則十地已在其中又以十地為約說證	是 約 說 教 道 則 十 地 已 在 其 中 又 以 十 地 為 約 說 證 
X57n0955_001:0062c20	道則如來兩番說法耶亦使諸位義皆兩屬諸師所	道 則 如 來 兩 番 說 法 耶 亦 使 諸 位 義 皆 兩 屬 諸 師 所 
X57n0955_001:0062c21	以有作十地圓融者有作十地隔歷者意以兩番說	以 有 作 十 地 圓 融 者 有 作 十 地 隔 歷 者 意 以 兩 番 說 
X57n0955_001:0062c22	法而分二義以謂約說教道說十地隔歷約說證道	法 而 分 二 義 以 謂 約 說 教 道 說 十 地 隔 歷 約 說 證 道 
X57n0955_001:0062c23	說十地圓融為欲於一行位分其二義不免須作此	說 十 地 圓 融 為 欲 於 一 行 位 分 其 二 義 不 免 須 作 此 
X57n0955_001:0062c24	釋推其病源在乎不曉二種名目而謂約行者從行	釋 推 其 病 源 在 乎 不 曉 二 種 名 目 而 謂 約 行 者 從 行 
X57n0955_001:0063a01	人履歷邊得名約說者從如來說法邊得名因茲錯	人 履 歷 邊 得 名 約 說 者 從 如 來 說 法 邊 得 名 因 茲 錯 
X57n0955_001:0063a02	解致使所說行位判攝遂成訛謬此病來久後人循	解 致 使 所 說 行 位 判 攝 遂 成 訛 謬 此 病 來 久 後 人 循 
X57n0955_001:0063a03	習認非為是曾不省悟四教之中莫非說法莫非履	習 認 非 為 是 曾 不 省 悟 四 教 之 中 莫 非 說 法 莫 非 履 
X57n0955_001:0063a04	行何故此義獨在於別雖皆例通別本正用凡論教	行 何 故 此 義 獨 在 於 別 雖 皆 例 通 別 本 正 用 凡 論 教 
X57n0955_001:0063a05	義先正其名名或不正於義成壅須知籤云前文約	義 先 正 其 名 名 或 不 正 於 義 成 壅 須 知 籤 云 前 文 約 
X57n0955_001:0063a06	行後文約教輔行云一者約行二者約說義例云約	行 後 文 約 教 輔 行 云 一 者 約 行 二 者 約 說 義 例 云 約 
X57n0955_001:0063a07	說約證故知諸文於約行教證或云約行或云約證	說 約 證 故 知 諸 文 於 約 行 教 證 或 云 約 行 或 云 約 證 
X57n0955_001:0063a08	葢從有人歷位修行有人證果故云約證於約說教	葢 從 有 人 歷 位 修 行 有 人 證 果 故 云 約 證 於 約 說 教 
X57n0955_001:0063a09	證或云約教或云約說葢從但有其教無人歷位無	證 或 云 約 教 或 云 約 說 葢 從 但 有 其 教 無 人 歷 位 無 
X57n0955_001:0063a10	人證果虗有其說以誘物機故云約說非謂取如來	人 證 果 虗 有 其 說 以 誘 物 機 故 云 約 說 非 謂 取 如 來 
X57n0955_001:0063a11	說法而為約說也但是教門方便權設其說謂之約	說 法 而 為 約 說 也 但 是 教 門 方 便 權 設 其 說 謂 之 約 
X57n0955_001:0063a12	說若於二種名目不正附名說義悉皆顛錯若解約	說 若 於 二 種 名 目 不 正 附 名 說 義 悉 皆 顛 錯 若 解 約 
X57n0955_001:0063a13	說但是有教無人則教證之道斯過半矣既知此已	說 但 是 有 教 無 人 則 教 證 之 道 斯 過 半 矣 既 知 此 已 
X57n0955_001:0063a14	方可與論四種行位配對別教五十二位以消別門	方 可 與 論 四 種 行 位 配 對 別 教 五 十 二 位 以 消 別 門 
X57n0955_001:0063a15	坦然明白約行教證者地前屬教登地屬證此如玄	坦 然 明 白 約 行 教 證 者 地 前 屬 教 登 地 屬 證 此 如 玄 
X57n0955_001:0063a16	籤輔行明文分之顯然可見人皆共許略無所惑約	籤 輔 行 明 文 分 之 顯 然 可 見 人 皆 共 許 略 無 所 惑 約 
X57n0955_001:0063a17	說教證者人多迷之故今須以行位分定乃驗昔說	說 教 證 者 人 多 迷 之 故 今 須 以 行 位 分 定 乃 驗 昔 說 
X57n0955_001:0063a18	皆所未達須知以十地始終為約說教道以玅覺一	皆 所 未 達 須 知 以 十 地 始 終 為 約 說 教 道 以 玅 覺 一 
X57n0955_001:0063a19	位為約說證道方見以此四種教證判釋別教一教	位 為 約 說 證 道 方 見 以 此 四 種 教 證 判 釋 別 教 一 教 
X57n0955_001:0063a20	行位不相混濫是則於別教中約行教證是真似義	行 位 不 相 混 濫 是 則 於 別 教 中 約 行 教 證 是 真 似 義 
X57n0955_001:0063a21	則以地前與登地對論約說教證是分極義則以十	則 以 地 前 與 登 地 對 論 約 說 教 證 是 分 極 義 則 以 十 
X57n0955_001:0063a22	地與玅覺對論約行約說既各有其位次分齊則免	地 與 玅 覺 對 論 約 行 約 說 既 各 有 其 位 次 分 齊 則 免 
X57n0955_001:0063a23	一位義有兩屬且如何見約說教證從地上去不涉	一 位 義 有 兩 屬 且 如 何 見 約 說 教 證 從 地 上 去 不 涉 
X57n0955_001:0063a24	地前祖師明文非不白直有眼之者顯然自迷今為	地 前 祖 師 明 文 非 不 白 直 有 眼 之 者 顯 然 自 迷 今 為 
X57n0955_001:0063b01	指出今義有歸籤云依教道義以四悉檀說登地法	指 出 今 義 有 歸 籤 云 依 教 道 義 以 四 悉 檀 說 登 地 法 
X57n0955_001:0063b02	名為教道故知初地已上仍存教道輔行云二者約	名 為 教 道 故 知 初 地 已 上 仍 存 教 道 輔 行 云 二 者 約 
X57n0955_001:0063b03	說為地前說始終屬教此則明以地上之法而為教	說 為 地 前 說 始 終 屬 教 此 則 明 以 地 上 之 法 而 為 教 
X57n0955_001:0063b04	道不涉地前昔人皆於輔行之文錯解始終為一教	道 不 涉 地 前 昔 人 皆 於 輔 行 之 文 錯 解 始 終 為 一 教 
X57n0955_001:0063b05	始終故成謬妄殊不知所謂始終者乃十地始終非	始 終 故 成 謬 妄 殊 不 知 所 謂 始 終 者 乃 十 地 始 終 非 
X57n0955_001:0063b06	一教始終也何以知之今引地論本文照之方見今	一 教 始 終 也 何 以 知 之 今 引 地 論 本 文 照 之 方 見 今 
X57n0955_001:0063b07	說誠為得旨地論中金剛藏菩薩從三昧起說十地	說 誠 為 得 旨 地 論 中 金 剛 藏 菩 薩 從 三 昧 起 說 十 地 
X57n0955_001:0063b08	法有二十句第十一句云又有菩薩十地始終故論	法 有 二 十 句 第 十 一 句 云 又 有 菩薩十地 始 終 故 論 
X57n0955_001:0063b09	中云所謂得菩薩十地始終此根本始終(乃至)十義始	中 云 所 謂 得 菩薩十地 始 終 此 根 本 始 終 乃 至 十 義 始 
X57n0955_001:0063b10	終論文明說十地始終非一教也豈非此等明文以	終 論 文 明 說 十 地 始 終 非 一 教 也 豈 非 此 等 明 文 以 
X57n0955_001:0063b11	十地為約說教道籤云故知初地已上仍存教道正	十 地 為 約 說 教 道 籤 云 故 知 初 地 已 上 仍 存 教 道 正 
X57n0955_001:0063b12	此之謂也何曾以約說教道通地前人不見之便以	此 之 謂 也 何 曾 以 約 說 教 道 通 地 前 人 不 見 之 便 以 
X57n0955_001:0063b13	一教始終而消其文幾許誤哉往往人見有仍存之	一 教 始 終 而 消 其 文 幾 許 誤 哉 往 往 人 見 有 仍 存 之 
X57n0955_001:0063b14	說便認地前已是教道地上仍存豈非一教始終皆	說 便 認 地 前 已 是 教 道 地 上 仍 存 豈 非 一 教 始 終 皆 
X57n0955_001:0063b15	為約說教道殊不曉荊溪意謂地前是約行教道地	為 約 說 教 道 殊 不 曉 荊 溪 意 謂 地 前 是 約 行 教 道 地 
X57n0955_001:0063b16	上自是證道今以十地猶屬約說教道豈非地上仍	上 自 是 證 道 今 以 十 地 猶 屬 約 說 教 道 豈 非 地 上 仍 
X57n0955_001:0063b17	存教道耶乃見地前為約行教道地上為約說教道	存 教 道 耶 乃 見 地 前 為 約 行 教 道 地 上 為 約 說 教 道 
X57n0955_001:0063b18	愈更分明約說證道指玅覺位者此如籤云若說十	愈 更 分 明 約 說 證 道 指 玅 覺 位 者 此 如 籤 云 若 說 十 
X57n0955_001:0063b19	地已證之法即證道也既云已證且指誰是已證十	地 已 證 之 法 即 證 道 也 既 云 已 證 且 指 誰 是 已 證 十 
X57n0955_001:0063b20	地之人等覺一位或有或無諸文開合今置不論正	地 之 人 等 覺 一 位 或 有 或 無 諸 文 開 合 今 置 不 論 正 
X57n0955_001:0063b21	指玅覺果人為已證十地之者但請研詳已之一字	指 玅 覺 果 人 為 已 證 十 地 之 者 但 請 研 詳 已 之 一 字 
X57n0955_001:0063b22	乃見今立符文合義何以知之又玅玄云道場所得	乃 見 今 立 符 文 合 義 何 以 知 之 又 玅 玄 云 道 場 所 得 
X57n0955_001:0063b23	法即證道明義道場所得豈非玅覺乎即輔行中斷	法 即 證 道 明 義 道 場 所 得 豈 非 玅 覺 乎 即 輔 行 中 斷 
X57n0955_001:0063b24	十二品無明名為玅覺此等正是約說證道豈有斷	十 二 品 無 明 名 為 玅 覺 此 等 正 是 約 說 證 道 豈 有 斷 
X57n0955_001:0063c01	十二品無明之佛耶從別教說佛但只斷十二品爾	十 二 品 無 明 之 佛 耶 從 別 教 說 佛 但 只 斷 十 二 品 爾 
X57n0955_001:0063c02	自初地同圓從實證說初地即同初住故知地上已	自 初 地 同 圓 從 實 證 說 初 地 即 同 初 住 故 知 地 上 已 
X57n0955_001:0063c03	去但有其教無行證人從此則以十地為教道玅覺	去 但 有 其 教 無 行 證 人 從 此 則 以 十 地 為 教 道 玅 覺 
X57n0955_001:0063c04	為證道既實無人但有其教此等行位皆成虗設若	為 證 道 既 實 無 人 但 有 其 教 此 等 行 位 皆 成 虗 設 若 
X57n0955_001:0063c05	教若證皆名約說也只為別教權實難明故借彼義	教 若 證 皆 名 約 說 也 只 為 別 教 權 實 難 明 故 借 彼 義 
X57n0955_001:0063c06	以消別門方見四種借義有功從來先達昧之久矣	以 消 別 門 方 見 四 種 借 義 有 功 從 來 先 達 昧 之 久 矣 
X57n0955_001:0063c07	知此義者出自於今非謂自矜乃合祖意嗟乎此旨	知 此 義 者 出 自 於 今 非 謂 自 矜 乃 合 祖 意 嗟 乎 此 旨 
X57n0955_001:0063c08	祖師甚明人何自暗今既獲見豈不歡欣故知一家	祖 師 甚 明 人 何 自 暗 今 既 獲 見 豈 不 歡 欣 故 知 一 家 
X57n0955_001:0063c09	借彼四種用判一教且無位位兩屬之過又無借義	借 彼 四 種 用 判 一 教 且 無 位 位 兩 屬 之 過 又 無 借 義 
X57n0955_001:0063c10	無功之咎仍無諸教濫通之失請學教者試以公心	無 功 之 咎 仍 無 諸 教 濫 通 之 失 請 學 教 者 試 以 公 心 
X57n0955_001:0063c11	而考詳焉問約說教道既約十地始終是則初地應	而 考 詳 焉 問 約 說 教 道 既 約 十 地 始 終 是 則 初 地 應 
X57n0955_001:0063c12	是約說教道之始且約行證道又是初地豈非一地	是 約 說 教 道 之 始 且 約 行 證 道 又 是 初 地 豈 非 一 地 
X57n0955_001:0063c13	仍有兩屬若謂不然應約說教道只可談九地始終	仍 有 兩 屬 若 謂 不 然 應 約 說 教 道 只 可 談 九 地 始 終 
X57n0955_001:0063c14	不應云十答此之一位乃一教之進否圓別之分岐	不 應 云 十 答 此 之 一 位 乃 一 教 之 進 否 圓 別 之 分 岐 
X57n0955_001:0063c15	誠不易解人多迷之借彼判釋深有所以葢由初心	誠 不 易 解 人 多 迷 之 借 彼 判 釋 深 有 所 以 葢 由 初 心 
X57n0955_001:0063c16	稟教以十二品無明盡為極果之位以初地一品為	稟 教 以 十 二 品 無 明 盡 為 極 果 之 位 以 初 地 一 品 為 
X57n0955_001:0063c17	分果之證及乎入地一品纔亡洞見圓理初地即是	分 果 之 證 及 乎 入 地 一 品 纔 亡 洞 見 圓 理 初 地 即 是 
X57n0955_001:0063c18	初住雖同初住以從地前歷位修證而來且從期心	初 住 雖 同 初 住 以 從 地 前 歷 位 修 證 而 來 且 從 期 心 
X57n0955_001:0063c19	實證以說乃是別教證道之位若從入地同住即屬	實 證 以 說 乃 是 別 教 證 道 之 位 若 從 入 地 同 住 即 屬 
X57n0955_001:0063c20	圓初住人非復受別初地之職則初地一位亦是無	圓 初 住 人 非 復 受 別 初 地 之 職 則 初 地 一 位 亦 是 無 
X57n0955_001:0063c21	人還成虗設是故此位仍屬教道故止觀云因中有	人 還 成 虗 設 是 故 此 位 仍 屬 教 道 故 止 觀 云 因 中 有 
X57n0955_001:0063c22	教行證人果上但有其教無行證人若破無明登初	教 行 證 人 果 上 但 有 其 教 無 行 證 人 若 破 無 明 登 初 
X57n0955_001:0063c23	地時即是圓家初住位非復別家初地位也初地尚	地 時 即 是 圓 家 初 住 位 非 復 別 家 初 地 位 也 初 地 尚 
X57n0955_001:0063c24	爾況復後果輔行云初地尚無何況後果初地入住	爾 況 復 後 果 輔 行 云 初 地 尚 無 何 況 後 果 初 地 入 住 
X57n0955_001:0064a01	此為正文於教道文不須疑也是故初地從教道邊	此 為 正 文 於 教 道 文 不 須 疑 也 是 故 初 地 從 教 道 邊 
X57n0955_001:0064a02	亦實無人得云十地始終從證道邊得是別人來入	亦 實 無 人 得 云 十 地 始 終 從 證 道 邊 得 是 別 人 來 入 
X57n0955_001:0064a03	此位證道之言其實同於初住受稱可宜思之方識	此 位 證 道 之 言 其 實 同 於 初 住 受 稱 可 宜 思 之 方 識 
X57n0955_001:0064a04	教證問若以有教無人為約說教證且前二教果佛	教 證 問 若 以 有 教 無 人 為 約 說 教 證 且 前 二 教 果 佛 
X57n0955_001:0064a05	亦是有教無人亦應得是約說證道耶答教證二道	亦 是 有 教 無 人 亦 應 得 是 約 說 證 道 耶 答 教 證 二 道 
X57n0955_001:0064a06	本為別教教權證實所以借用若例諸教亦可通用	本 為 別 教 教 權 證 實 所 以 借 用 若 例 諸 教 亦 可 通 用 
X57n0955_001:0064a07	有約行教證也更以義求果佛亦可通是約說證道	有 約 行 教 證 也 更 以 義 求 果 佛 亦 可 通 是 約 說 證 道 
X57n0955_001:0064a08	以亦無人從因修證今所不爾者非教證借用之正	以 亦 無 人 從 因 修 證 今 所 不 爾 者 非 教 證 借 用 之 正 
X57n0955_001:0064a09	意故以前教果本是一佛垂為三迹今且借用以釋	意 故 以 前 教 果 本 是 一 佛 垂 為 三 迹 今 且 借 用 以 釋 
X57n0955_001:0064a10	別教教權證實用判行位權實之相餘非其要何用	別 教 教 權 證 實 用 判 行 位 權 實 之 相 餘 非 其 要 何 用 
X57n0955_001:0064a11	借為人不見之便以四種教證例通四教者未達斯	借 為 人 不 見 之 便 以 四 種 教 證 例 通 四 教 者 未 達 斯 
X57n0955_001:0064a12	旨也又見義例之文亦可通用乃分二意便以四教	旨 也 又 見 義 例 之 文 亦 可 通 用 乃 分 二 意 便 以 四 教 
X57n0955_001:0064a13	一槩通四種者迷茲之文也如前已釋今亦通用者	一 槩 通 四 種 者 迷 茲 之 文 也 如 前 已 釋 今 亦 通 用 者 
X57n0955_001:0064a14	教證二道以判權實也分二意者正語別教之中約	教 證 二 道 以 判 權 實 也 分 二 意 者 正 語 別 教 之 中 約 
X57n0955_001:0064a15	說約行也思之可知問約說證道權耶實耶若云是	說 約 行 也 思 之 可 知 問 約 說 證 道 權 耶 實 耶 若 云 是 
X57n0955_001:0064a16	權玄文借彼兩種以證實部若云是實既但有教無	權 玄 文 借 彼 兩 種 以 證 實 部 若 云 是 實 既 但 有 教 無 
X57n0955_001:0064a17	行證人如何是實答舊說皆云約說證道說十地圓	行 證 人 如 何 是 實 答 舊 說 皆 云 約 說 證 道 說 十 地 圓 
X57n0955_001:0064a18	融如神智搜玄云約說證道能說之人是圓教佛所	融 如 神 智 搜 玄 云 約 說 證 道 能 說 之 人 是 圓 教 佛 所 
X57n0955_001:0064a19	說之法是圓融法所被之人是別向圓修人元師隨	說 之 法 是 圓 融 法 所 被 之 人 是 別 向 圓 修 人 元 師 隨 
X57n0955_001:0064a20	釋云約說證道被別地前住行向位圓實機發如來	釋 云 約 說 證 道 被 別 地 前 住 行 向 位 圓 實 機 發 如 來 
X57n0955_001:0064a21	應之故說十地圓融之法被而接之倫師精微云復	應 之 故 說 十 地 圓 融 之 法 被 而 接 之 倫 師 精 微 云 復 
X57n0955_001:0064a22	有一類地前宜聞證道圓融附昔所稟十地隔歷點	有 一 類 地 前 宜 聞 證 道 圓 融 附 昔 所 稟 十 地 隔 歷 點 
X57n0955_001:0064a23	示圓融稱為約說證道此等所說皆云說十地圓融	示 圓 融 稱 為 約 說 證 道 此 等 所 說 皆 云 說 十 地 圓 融 
X57n0955_001:0064a24	之法是實以今所判照之其可得乎則全未識約說	之 法 是 實 以 今 所 判 照 之 其 可 得 乎 則 全 未 識 約 說 
X57n0955_001:0064b01	之旨唯假名湛師有云四種教證三種是權一種是	之 旨 唯 假 名 湛 師 有 云 四 種 教 證 三 種 是 權 一 種 是 
X57n0955_001:0064b02	實唯約行證道是實約說證道亦應是權若爾何以	實 唯 約 行 證 道 是 實 約 說 證 道 亦 應 是 權 若 爾 何 以 
X57n0955_001:0064b03	證實有二義故一者以權證實故特云借若一向是	證 實 有 二 義 故 一 者 以 權 證 實 故 特 云 借 若 一 向 是 
X57n0955_001:0064b04	實何須云借二者相帶為證故云及以證道然此一	實 何 須 云 借 二 者 相 帶 為 證 故 云 及 以 證 道 然 此 一 
X57n0955_001:0064b05	說能知三權一實猶勝諸師然亦不識約說證道是	說 能 知 三 權 一 實 猶 勝 諸 師 然 亦 不 識 約 說 證 道 是 
X57n0955_001:0064b06	玅覺位似是而非今所不取諸師所論全然無識若	玅 覺 位 似 是 而 非 今 所 不 取 諸 師 所 論 全 然 無 識 若 
X57n0955_001:0064b07	謂為圓修人說圓融法何名入地自證權門自開耶	謂 為 圓 修 人 說 圓 融 法 何 名 入 地 自 證 權 門 自 開 耶 
X57n0955_001:0064b08	若謂是被接人是何等接若圓接別應說圓教五十	若 謂 是 被 接 人 是 何 等 接 若 圓 接 別 應 說 圓 教 五 十 
X57n0955_001:0064b09	二位圓融之法何用十地圓融耶若是別接正如荊	二 位 圓 融 之 法 何 用 十 地 圓 融 耶 若 是 別 接 正 如 荊 
X57n0955_001:0064b10	溪破云成別接別如此被接三接不收故知昔說一	溪 破 云 成 別 接 別 如 此 被 接 三 接 不 收 故 知 昔 說 一 
X57n0955_001:0064b11	何顛倒須知約說證道既是玅覺有教無人亦屬權	何 顛 倒 須 知 約 說 證 道 既 是 玅 覺 有 教 無 人 亦 屬 權 
X57n0955_001:0064b12	攝所以引證實部者且附彼部以兩證是實兩教是	攝 所 以 引 證 實 部 者 且 附 彼 部 以 兩 證 是 實 兩 教 是 
X57n0955_001:0064b13	權以借彼義用證實部亦是且依諸教分極之義乃	權 以 借 彼 義 用 證 實 部 亦 是 且 依 諸 教 分 極 之 義 乃 
X57n0955_001:0064b14	以果證為實故得引證爾但得今意以分教證無往	以 果 證 為 實 故 得 引 證 爾 但 得 今 意 以 分 教 證 無 往 
X57n0955_001:0064b15	不達問輔行但明三種不論約說證道其義乃略籤	不 達 問 輔 行 但 明 三 種 不 論 約 說 證 道 其 義 乃 略 籤 
X57n0955_001:0064b16	文備明四種何以却指之云備如輔行答舊釋此妨	文 備 明 四 種 何 以 却 指 之 云 備 如 輔 行 答 舊 釋 此 妨 
X57n0955_001:0064b17	說者甚多或云互有廣略或云名略文廣竝皆不得	說 者 甚 多 或 云 互 有 廣 略 或 云 名 略 文 廣 竝 皆 不 得 
X57n0955_001:0064b18	約說教證之旨所以異說應知輔行亦明四種如云	約 說 教 證 之 旨 所 以 異 說 應 知 輔 行 亦 明 四 種 如 云 
X57n0955_001:0064b19	破十二品無明名為玅覺此即約說證道昔人不曉	破 十 二 品 無 明 名 為 玅 覺 此 即 約 說 證 道 昔 人 不 曉 
X57n0955_001:0064b20	此之一種位在玅覺不識輔行四種教證備全妄生	此 之 一 種 位 在 玅 覺 不 識 輔 行 四 種 教 證 備 全 妄 生 
X57n0955_001:0064b21	穿鑿若得此意四種義全引文又廣所以籤文以略	穿 鑿 若 得 此 意 四 種 義 全 引 文 又 廣 所 以 籤 文 以 略 
X57n0955_001:0064b22	指廣何所致疑亦不用此妨以此而知荊溪秉筆坦	指 廣 何 所 致 疑 亦 不 用 此 妨 以 此 而 知 荊 溪 秉 筆 坦 
X57n0955_001:0064b23	然明白何曾迃曲人自不曉遂失祖意問止觀云別	然 明 白 何 曾 迃 曲 人 自 不 曉 遂 失 祖 意 問 止 觀 云 別 
X57n0955_001:0064b24	教止觀亦頓亦漸初心知中故名亦頓涉方便入故	教 止 觀 亦 頓 亦 漸 初 心 知 中 故 名 亦 頓 涉 方 便 入 故 
X57n0955_001:0064c01	名亦漸亦頓之頓圓中耶但中耶若云但中非今頓	名 亦 漸 亦 頓 之 頓 圓 中 耶 但 中 耶 若 云 但 中 非 今 頓 
X57n0955_001:0064c02	義若謂圓中初心之人如何能知輔行云前之三教	義 若 謂 圓 中 初 心 之 人 如 何 能 知 輔 行 云 前 之 三 教 
X57n0955_001:0064c03	不知圓理故也此義如何答舊來多云知但中也中	不 知 圓 理 故 也 此 義 如 何 答 舊 來 多 云 知 但 中 也 中 
X57n0955_001:0064c04	道法體與圓中同故云亦頓近有人云不然此云知	道 法 體 與 圓 中 同 故 云 亦 頓 近 有 人 云 不 然 此 云 知 
X57n0955_001:0064c05	中名亦頓者正約漸頓止觀以簡偏圓須以圓中為	中 名 亦 頓 者 正 約 漸 頓 止 觀 以 簡 偏 圓 須 以 圓 中 為 
X57n0955_001:0064c06	頓別教初心義應兩種有稟教之初心有初地之初	頓 別 教 初 心 義 應 兩 種 有 稟 教 之 初 心 有 初 地 之 初 
X57n0955_001:0064c07	心今約初地亦云初心例如初住名初發心住今此	心 今 約 初 地 亦 云 初 心 例 如 初 住 名 初 發 心 住 今 此 
X57n0955_001:0064c08	乃指初地知中證道同圓名為亦頓故止觀次文云	乃 指 初 地 知 中 證 道 同 圓 名 為 亦 頓 故 止 觀 次 文 云 
X57n0955_001:0064c09	進破無明入初地證道是頓也輔行云前三不知圓	進 破 無 明 入 初 地 證 道 是 頓 也 輔 行 云 前 三 不 知 圓 
X57n0955_001:0064c10	理者稟教之初心也止觀前後竝以初地為頓者即	理 者 稟 教 之 初 心 也 止 觀 前 後 竝 以 初 地 為 頓 者 即 
X57n0955_001:0064c11	初地初心也然此一說一往聞之似如可采細而覈	初 地 初 心 也 然 此 一 說 一 往 聞 之 似 如 可 采 細 而 覈 
X57n0955_001:0064c12	之大有失旨違文背義者多矣此葢不識別教教旨	之 大 有 失 旨 違 文 背 義 者 多 矣 此 葢 不 識 別 教 教 旨 
