T54n2130_001:0981a05	翻梵語	翻 梵 語 
T54n2130_001:0981b10	富樓沙曇藐娑羅提(論曰富樓沙名丈夫曇藐名可化娑羅提名調御)	富 樓 沙 曇 藐 娑 羅 提 論 曰 富 樓 沙 名 丈 夫 曇 藐 名 可 化 娑 羅 提 名 調 御 
T54n2130_001:0981b11	舍多提婆魔菟舍喃(論曰舍多名師提婆名天魔菟舍喃名人)	舍 多 提 婆 魔 菟 舍 喃 論 曰 舍 多 名 師 提 婆 名 天 魔 菟 舍 喃 名 人 
T54n2130_001:0981b12	佛陀(論曰知者亦云覺者)	佛 陀 論 曰 知 者 亦 云 覺 者 
T54n2130_001:0981b13	路迦那他(論曰世尊)	路 迦 那 他 論 曰 世 尊 
T54n2130_001:0981b14	佛名第二	佛 名 第 二 
T54n2130_001:0981b15	釋師子(應云釋迦師子　譯曰釋迦者能也)　大智論第一卷	釋 師 子 應 云 釋 迦 師 子 譯 曰 釋 迦 者 能 也 大 智 論 第 一 卷 
T54n2130_001:0981b16	迦葉佛(譯者曰姓也)	迦 葉 佛 譯 者 曰 姓 也 
T54n2130_001:0981b17	瞿曇(應云瞿多摩亦云瞿曇沙門　譯曰瞿者天也多摩者樂)	瞿 曇 應 云 瞿 多 摩 亦 云 瞿 曇 沙 門 譯 曰 瞿 者 天 也 多 摩 者 樂 
T54n2130_001:0981b18	悉達多(論曰成利譯曰驗事亦云驗義)　第二卷	悉 達 多 論 曰 成 利 譯 曰 驗 事 亦 云 驗 義 第 二 卷 
T54n2130_001:0981b19	釋迦文(亦云釋迦牟尼亦云文尼　譯曰釋迦如上說牟尼者儒亦云身口滿八揵度曰度沃)	釋 迦 文 亦 云 釋 迦 牟 尼 亦 云 文 尼 譯 曰 釋 迦 如 上 說 牟 尼 者 儒 亦 云 身 口 滿 八 揵 度 曰 度 沃 
T54n2130_001:0981b20	　第三卷	 第 三 卷 
T54n2130_001:0981b21	剌那尸棄佛(譯曰剌那者寶尸棄者大亦云勝也亦最上)　第四卷	剌 那 尸 棄 佛 譯 曰 剌 那 者 寶 尸 棄 者 大 亦 云 勝 也 亦 最 上 第 四 卷 
T54n2130_001:0981b22	毘婆尸佛(亦云毘鉢尸亦云頻婆尸　論曰種見譯曰種種見也亦云勝見)	毘 婆 尸 佛 亦 云 毘 鉢 尸 亦 云 頻 婆 尸 論 曰 種 見 譯 曰 種 種 見 也 亦 云 勝 見 
T54n2130_001:0981b23	弗沙佛(譯者曰星名也)	弗 沙 佛 譯 者 曰 星 名 也 
T54n2130_001:0981b24	阿彌陀佛(譯曰无量光也)	阿 彌 陀 佛 譯 曰 无 量 光 也 
T54n2130_001:0981c01	須扇多佛(亦云須那多　譯曰好寂靜也)　第七卷	須 扇 多 佛 亦 云 須 那 多 譯 曰 好 寂 靜 也 第 七 卷 
T54n2130_001:0981c02	阿閦佛(譯曰不動)　第八卷	阿 閦 佛 譯 曰 不 動 第 八 卷 
T54n2130_001:0981c03	尸棄佛(亦云式語亦云式棄　譯曰尸棄者大亦云勝也)　第九卷	尸 棄 佛 亦 云 式 語 亦 云 式 棄 譯 曰 尸 棄 者 大 亦 云 勝 也 第 九 卷 
T54n2130_001:0981c04	鞞恕婆附佛(論曰一切勝譯曰鞞恕者一切婆附者勝亦云生)	鞞 恕 婆 附 佛 論 曰 一 切 勝 譯 曰 鞞 恕 者 一 切 婆 附 者 勝 亦 云 生 
T54n2130_001:0981c05	憍陳若佛(譯者曰姓)　第十二卷	憍 陳 若 佛 譯 者 曰 姓 第 十 二 卷 
T54n2130_001:0981c06	阿梨沙(亦云何梨師　譯曰聖主譯曰聖人)　第二十五卷	阿 梨 沙 亦 云 何 梨 師 譯 曰 聖 主 譯 曰 聖 人 第 二 十 五 卷 
T54n2130_001:0981c07	迦那伽牟尼佛(亦云迦那迦牟尼　論曰金仙人譯曰迦那伽者金牟尼如上說)	迦 那 伽 牟 尼 佛 亦 云 迦 那 迦 牟 尼 論 曰 金 仙 人 譯 曰 迦 那 伽 者 金 牟 尼 如 上 說 
T54n2130_001:0981c08	　第三十三卷	 第 三 十 三 卷 
T54n2130_001:0981c09	阿毘三佛(亦云阿惟三佛亦云阿毘三佛陀　譯曰大覺)　第三十八卷	阿毘三佛 亦 云 阿惟三佛 亦 云 阿毘三佛陀 譯 曰 大 覺 第 三 十 八 卷 
T54n2130_001:0981c10	盧舍那佛(譯曰勝眼)　華嚴經第一卷	盧 舍 那 佛 譯 曰 勝 眼 華 嚴 經 第 一 卷 
T54n2130_001:0981c11	那羅延不可破壞佛(譯曰那羅延者力也)	那 羅 延 不可破壞 佛 譯 曰 那 羅 延 者 力 也 
T54n2130_001:0981c12	沙門佛(譯曰息心亦聞說)	沙 門 佛 譯 曰 息 心 亦 聞 說 
T54n2130_001:0981c13	伊那婆那(譯曰王林)	伊 那 婆 那 譯 曰 王 林 
T54n2130_001:0981c14	勝須彌(譯曰好光)	勝 須 彌 譯 曰 好 光 
T54n2130_001:0981c15	拘那牟尼(亦云拘那含牟尼　譯曰拘那者樹牟尼如上說)	拘 那 牟 尼 亦 云 拘 那 含 牟 尼 譯 曰 拘 那 者 樹 牟 尼 如 上 說 
T54n2130_001:0981c16	拘樓佛(譯曰威累)	拘 樓 佛 譯 曰 威 累 
T54n2130_001:0981c17	提舍如來(譯曰提舍者說亦云光也)	提 舍 如 來 譯 曰 提 舍 者 說 亦 云 光 也 
T54n2130_001:0981c18	波頭摩佛(亦云鉢頭摩　譯曰赤蓮花也)	波 頭 摩 佛 亦 云 鉢 頭 摩 譯 曰 赤 蓮 花 也 
T54n2130_001:0981c19	毘樓遮那佛(亦云毗盧遮那　譯云勝光亦云種種光也)　第四十卷	毘 樓 遮 那 佛 亦 云 毗 盧 遮 那 譯 云 勝 光 亦 云 種 種 光 也 第 四 十 卷 
T54n2130_001:0981c20	彌勒佛(譯曰慈氏)　第四十二卷	彌 勒 佛 譯 曰 慈 氏 第 四 十 二 卷 
T54n2130_001:0981c21	婆羅王佛(譯曰婆羅者力)　第四十四卷	婆 羅 王 佛 譯 曰 婆 羅 者 力 第 四 十 四 卷 
T54n2130_001:0981c22	無畏妙德那師子如來(譯曰那羅者人)	無 畏 妙 德 那 師 子 如 來 譯 曰 那 羅 者 人 
T54n2130_001:0981c23	無上清淨尸羅山如來(譯曰尸羅者石)	無 上 清 淨 尸 羅 山 如 來 譯 曰 尸 羅 者 石 
T54n2130_001:0981c24	阿私陀佛(譯曰不白)	阿 私 陀 佛 譯 曰 不 白 
T54n2130_001:0982a01	毘舍佉佛(譯曰星名)	毘 舍 佉 佛 譯 曰 星 名 
T54n2130_001:0982a02	優婆提舍佛(譯曰論議亦云大說)	優 婆 提 舍 佛 譯 曰 論 議 亦 云 大 說 
T54n2130_001:0982a03	毘舍浮佛(應云毘鎖浮　譯曰廣生)　大涅槃經第三十六卷	毘 舍 浮 佛 應 云 毘 鎖 浮 譯 曰 廣 生 大 涅 槃 經 第 三 十 六 卷 
T54n2130_001:0982a04	毘舍羅婆(譯曰有光)　增一阿含第一卷	毘 舍 羅 婆 譯 曰 有 光 增 一 阿 含 第 一 卷 
T54n2130_001:0982a05	提惒竭羅(譯曰天殿)　第二十六卷	提 惒 竭 羅 譯 曰 天 殿 第 二 十 六 卷 
T54n2130_001:0982a06	毘舍(譯曰一切作也)　第三十一卷	毘 舍 譯 曰 一 切 作 也 第 三 十 一 卷 
T54n2130_001:0982a07	毘濕波浮(應云毘鎖婆浮亦云毘舍浮　譯曰一切自在)	毘 濕 波 浮 應 云 毘 鎖 婆 浮 亦 云 毘 舍 浮 譯 曰 一 切 自 在 
T54n2130_001:0982a08	　雜阿含第十五卷	 雜 阿 含 第 十 五 卷 
T54n2130_001:0982a09	那羅延力(譯曰力也)　十誦律第五卷	那 羅 延 力 譯 曰 力 也 十 誦 律 第 五 卷 
T54n2130_001:0982a10	毘舍尸(應云毘舍婆尸　譯曰安靜)　彌沙塞律第二十五卷	毘 舍 尸 應 云 毘 舍 婆 尸 譯 曰 安 靜 彌 沙 塞 律 第 二 十 五 卷 
T54n2130_001:0982a11	波頭勿多羅佛(譯曰蓮華度也)　善見毘婆沙第十三卷	波 頭 勿 多 羅 佛 譯 曰 蓮 華 度 也 善 見 毘 婆 沙 第 十 三 卷 
T54n2130_001:0982a12	悉達阿菟(應云悉達菟　譯曰成辦)　鞞波沙第四卷	悉 達 阿 菟 應 云 悉 達 菟 譯 曰 成 辦 鞞 波 沙 第 四 卷 
T54n2130_001:0982a13	寶優鉢華佛(應云欝鉢羅　譯曰黛色花也)	寶 優 鉢 華 佛 應 云 欝 鉢 羅 譯 曰 黛 色 花 也 
T54n2130_001:0982a14	　大方等大集經第一卷	 大 方 等 大 集 經 第 一 卷 
T54n2130_001:0982a15	迦羅鳩孫陀佛(亦云拘珊提亦云迦鳩留　譯曰領持)　第十九卷	迦 羅 鳩 孫 陀 佛 亦 云 拘 珊 提 亦 云 迦 鳩 留 譯 曰 領 持 第 十 九 卷 
T54n2130_001:0982a16	毘尸波佛(應云毘尸頗　譯曰種種乃也)　出曜經第一卷	毘 尸 波 佛 應 云 毘 尸 頗 譯 曰 種 種 乃 也 出 曜 經 第 一 卷 
T54n2130_001:0982a17	毘波尸佛(應云毘婆羅　譯曰淨行種也)　第七卷	毘 波 尸 佛 應 云 毘 婆 羅 譯 曰 淨 行 種 也 第 七 卷 
T54n2130_001:0982a18	毘舍毘佛(譯曰一切生也)	毘 舍 毘 佛 譯 曰 一 切 生 也 
T54n2130_001:0982a19	毘舍婆佛(譯曰一切有也)　第九卷	毘 舍 婆 佛 譯 曰 一 切 有 也 第 九 卷 
T54n2130_001:0982a20	彌樓肩佛(譯曰彌樓者光)　華首經第三卷	彌 樓 肩 佛 譯 曰 彌 樓 者 光 華 首 經 第 三 卷 
T54n2130_001:0982a21	娑羅王佛(譯者曰樹名也)	娑 羅 王 佛 譯 者 曰 樹 名 也 
T54n2130_001:0982a22	娑呵主佛(譯曰娑呵者能忍也)　第四卷	娑 呵 主 佛 譯 曰 娑 呵 者 能 忍 也 第 四 卷 
T54n2130_001:0982a23	娑伽羅佛(譯曰娑伽羅者海也)　第五卷	娑 伽 羅 佛 譯 曰 娑 伽 羅 者 海 也 第 五 卷 
T54n2130_001:0982a24	娑憐提王佛(譯者曰樹王也)　大悲蓮花經第四卷	娑 憐 提 王 佛 譯 者 曰 樹 王 也 大 悲 蓮 花 經 第 四 卷 
T54n2130_001:0982b01	閻浮羅提金光(譯者曰閻浮者樹名那提者江也)	閻 浮 羅 提 金 光 譯 者 曰 閻 浮 者 樹 名 那 提 者 江 也 
T54n2130_001:0982b02	　法花經第三卷	 法 花 經 第 三 卷 
T54n2130_001:0982b03	多摩羅跋栴檀香(譯曰藿葉香也)	多摩羅跋 栴 檀 香 譯 曰 藿 葉 香 也 
T54n2130_001:0982b04	毘尼尸佛(譯曰无闇)　摩得勒伽經第一卷	毘 尼 尸 佛 譯 曰 无 闇 摩 得 勒 伽 經 第 一 卷 
T54n2130_001:0982b05	拘脩摩(譯曰華也)　念佛三昧經第六卷	拘 脩 摩 譯 曰 華 也 念佛三昧 經 第 六 卷 
T54n2130_001:0982b06	頻婆羅(譯曰謨式)　羅摩伽經第一卷	頻 婆 羅 譯 曰 謨 式 羅 摩 伽 經 第 一 卷 
T54n2130_001:0982b07	三曼颰陀(應云三曼多跋陀羅　經曰普賢)	三 曼 颰 陀 應 云 三 曼 多 跋 陀 羅 經 曰 普 賢 
T54n2130_001:0982b08	摩尼幢佛(譯曰摩尼者珠)	摩 尼 幢 佛 譯 曰 摩 尼 者 珠 
T54n2130_001:0982b09	　大通方廣懺罪廣嚴成佛經上卷	 大 通 方 廣 懺 罪 廣 嚴 成 佛 經 上 卷 
T54n2130_001:0982b10	須摩那華光佛(譯曰好喜)	須 摩 那 華 光 佛 譯 曰 好 喜 
T54n2130_001:0982b11	樓至佛(譯曰樂也)	樓 至 佛 譯 曰 樂 也 
T54n2130_001:0982b12	陀羅尼遊戲佛(譯曰持也)	陀 羅 尼 遊 戲 佛 譯 曰 持 也 
T54n2130_001:0982b13	首楞嚴三昧力王佛(譯曰首楞嚴者勇三昧者一心)	首楞嚴三昧 力 王 佛 譯 曰 首 楞 嚴 者 勇 三 昧 者 一 心 
T54n2130_001:0982b14	群那羅耶波陂沙如來(經曰德王明也)	群 那 羅 耶 波 陂 沙 如 來 經 曰 德 王 明 也 
T54n2130_001:0982b15	摩呵惟授如來(經曰大嚴)	摩 呵 惟 授 如 來 經 曰 大 嚴 
T54n2130_001:0982b16	羅陀那吱頭(經曰寶英)	羅 陀 那 吱 頭 經 曰 寶 英 
T54n2130_001:0982b17	茶毘羅耶(經曰月光明王)	茶 毘 羅 耶 經 曰 月 光 明 王 
T54n2130_001:0982b18	首陀尸利佛(譯曰淨吉)	首 陀 尸 利 佛 譯 曰 淨 吉 
T54n2130_001:0982b19	須陀扇(應云修陀梨舍那　經曰决見佛也譯曰善見)	須 陀 扇 應 云 修 陀 梨 舍 那 經 曰 决 見 佛 也 譯 曰 善 見 
T54n2130_001:0982b20	羅陀那羈頭(應云羅多那雞兜　經曰好寶譯曰羅多那者寶雞兜者幢也)	羅 陀 那 羈 頭 應 云 羅 多 那 雞 兜 經 曰 好 寶 譯 曰 羅 多 那 者 寶 雞 兜 者 幢 也 
T54n2130_001:0982b21	閻浮檀金須彌山王佛(亦云閻浮那陀　譯曰閻浮者樹名那陀者江也)	閻浮檀金 須 彌 山 王 佛 亦 云 閻 浮 那 陀 譯 曰 閻 浮 者 樹 名 那 陀 者 江 也 
T54n2130_001:0982b22	　持世經下卷	 持 世 經 下 卷 
T54n2130_001:0982b23	迦奢羅佛(譯曰充曜)　盎意經上卷	迦 奢 羅 佛 譯 曰 充 曜 盎 意 經 上 卷 
T54n2130_001:0982b24	彌樓揵馱佛(譯曰彌樓者山名揵馱者香也)　菩薩藏經	彌 樓 揵 馱 佛 譯 曰 彌 樓 者 山 名 揵 馱 者 香 也 菩 薩 藏 經 
T54n2130_001:0982c01	鞞謁俞佛(經曰離愁)　阿闍世王女阿術達經	鞞 謁 俞 佛 經 曰 離 愁 阿 闍 世 王 女 阿 術 達 經 
T54n2130_001:0982c02	阿泥羅墮羅佛(譯曰風門)　興沙經	阿 泥 羅 墮 羅 佛 譯 曰 風 門 興 沙 經 
T54n2130_001:0982c03	阿闍墮佛(應云阿闍墮羅　譯曰未生門也)	阿 闍 墮 佛 應 云 阿 闍 墮 羅 譯 曰 未 生 門 也 
T54n2130_001:0982c04	阿栴陀墮佛(應云阿旃陀墮羅　譯曰不瞋門也)	阿 栴 陀 墮 佛 應 云 阿 旃 陀 墮 羅 譯 曰 不 瞋 門 也 
T54n2130_001:0982c05	楓摩墮羅佛(譯曰月門)	楓 摩 墮 羅 佛 譯 曰 月 門 
T54n2130_001:0982c06	阿樓羅墮羅佛(譯曰曉門)	阿 樓 羅 墮 羅 佛 譯 曰 曉 門 
T54n2130_001:0982c07	梵摩隨羅佛(譯曰淨門)	梵 摩 隨 羅 佛 譯 曰 淨 門 
T54n2130_001:0982c08	多摩羅跋栴檀香佛(譯曰藿葉香也)　十住毘婆沙經	多摩羅跋 栴 檀 香 佛 譯 曰 藿 葉 香 也 十 住 毘 婆 沙 經 
T54n2130_001:0982c09	多加羅佛(譯者曰香名也)	多 加 羅 佛 譯 者 曰 香 名 也 
T54n2130_001:0982c10	讖羅耶佛(應云讖摩耶羅　譯曰忍行)　般舟三昧經	讖 羅 耶 佛 應 云 讖 摩 耶 羅 譯 曰 忍 行 般舟三昧 經 
T54n2130_001:0982c11	賴毘羅耶佛(譯曰賴毘者月羅耶者行)	賴 毘 羅 耶 佛 譯 曰 賴 毘 者 月 羅 耶 者 行 
T54n2130_001:0982c12	私訶摩提佛(譯曰師子意也)	私 訶 摩 提 佛 譯 曰 師 子 意 也 
T54n2130_001:0982c13	薩遮羅摩佛(譯曰薩遮者實那摩者息)	薩 遮 羅 摩 佛 譯 曰 薩 遮 者 實 那 摩 者 息 
T54n2130_001:0982c14	提羅耶佛(應云提梨夜　譯曰安靜)	提 羅 耶 佛 應 云 提 梨 夜 譯 曰 安 靜 
T54n2130_001:0982c15	悉荷陀那佛(應云私訶那陀　譯曰師子吼也)　無極寶三昧經	悉 荷 陀 那 佛 應 云 私 訶 那 陀 譯 曰 師 子 吼 也 無 極 寶 三 昧 經 
T54n2130_001:0982c16	沙呵樓陀佛(譯曰沙呵者忍亦云共也樓陀者摩)	沙 呵 樓 陀 佛 譯 曰 沙 呵 者 忍 亦 云 共 也 樓 陀 者 摩 
T54n2130_001:0982c17	阿閦鞞佛(應云阿閦毘夜　譯曰不動)　阿彌陀經	阿 閦 鞞 佛 應 云 阿 閦 毘 夜 譯 曰 不 動 阿 彌 陀 經 
T54n2130_001:0982c18	阿提彌留佛(經曰起出須彌)　南方經	阿 提 彌 留 佛 經 曰 起 出 須 彌 南 方 經 
T54n2130_001:0982c19	三曼陀揵提佛(經曰圍繞香薰)	三 曼 陀 揵 提 佛 經 曰 圍 繞 香 薰 
T54n2130_001:0982c20	彌嘉揵尼如來(應云彌多羅耶尼　譯曰彌多羅者慈耶尼者行也)	彌 嘉 揵 尼 如 來 應 云 彌 多 羅 耶 尼 譯 曰 彌 多 羅 者 慈 耶 尼 者 行 也 
T54n2130_001:0982c21	婆梨佛(譯曰有力)　雜經	婆 梨 佛 譯 曰 有 力 雜 經 
T54n2130_001:0982c22	須彌迦羅佛(譯曰可愛光也)　長者子制經	須 彌 迦 羅 佛 譯 曰 可 愛 光 也 長 者 子 制 經 
T54n2130_001:0982c23	提惒迦羅佛(應云提婆迦羅　譯曰天時)　太子刷護經	提 惒 迦 羅 佛 應 云 提 婆 迦 羅 譯 曰 天 時 太 子 刷 護 經 
T54n2130_001:0982c24	薩婆乾佛(應云薩婆乾陀　譯曰一切香也)　女人大媖經	薩 婆 乾 佛 應 云 薩 婆 乾 陀 譯 曰 一 切 香 也 女 人 大 媖 經 
T54n2130_001:0983a01	婆耆羅陀佛(譯曰功德乘也)　千佛名經	婆 耆 羅 陀 佛 譯 曰 功 德 乘 也 千 佛 名 經 
T54n2130_001:0983a02	羞洹那洹波頭摩(應云修沷那跋那波頭摩　經曰金色蓮花)　阿閦佛經	羞 洹 那 洹 波 頭 摩 應 云 修 沷 那 跋 那 波 頭 摩 經 曰 金 色 蓮 花 阿 閦 佛 經 
T54n2130_001:0983a03	佛功德名第三	佛 功 德 名 第 三 
T54n2130_001:0983a04	涅槃(譯曰涅者不亦云定槃者識亦云滅)　大智論第一卷	涅 槃 譯 曰 涅 者 不 亦 云 定 槃 者 識 亦 云 滅 大 智 論 第 一 卷 
T54n2130_001:0983a05	阿耨多羅三藐三菩提(譯曰阿耨多羅者无上三藐者正三菩提者無不知智亦	阿耨多羅三藐三菩提 譯 曰 阿 耨 多 羅 者 无 上 三 藐 者 正 三 菩 提 者 無 不 知 智 亦 
T54n2130_001:0983a06	云無不知道)	云 無 不 知 道 
T54n2130_001:0983a07	婆伽婆(論曰婆伽言德婆言有譯曰大德亦破煩惱)	婆 伽 婆 論 曰 婆 伽 言 德 婆 言 有 譯 曰 大 德 亦 破 煩 惱 
T54n2130_001:0983a08	阿娑磨(應云阿娑磨　論曰无等)　第二卷	阿 娑 磨 應 云 阿 娑 磨 論 曰 无 等 第 二 卷 
T54n2130_001:0983a09	阿娑磨娑摩(應云阿娑磨沙磨　論曰无等等)	阿 娑 磨 娑 摩 應 云 阿 娑 磨 沙 磨 論 曰 无 等 等 
T54n2130_001:0983a10	波羅伽(論曰度彼岸也)	波 羅 伽 論 曰 度 彼 岸 也 
T54n2130_001:0983a11	婆檀陀(論曰大德)	婆 檀 陀 論 曰 大 德 
T54n2130_001:0983a12	尸梨伽那(論曰厚德譯曰尸梨者吉亦云德也伽那者厚)	尸梨伽那 論 曰 厚 德 譯 曰 尸 梨 者 吉 亦 云 德 也 伽 那 者 厚 
T54n2130_001:0983a13	薩婆若(論曰一切智也)　第五卷	薩 婆 若 論 曰 一 切 智 也 第 五 卷 
T54n2130_001:0983a14	薩婆若多(論曰菩薩者一切也若者智多者相)　第二十七卷	薩 婆 若 多 論 曰 菩 薩 者 一 切 也 若 者 智 多 者 相 第 二 十 七 卷 
T54n2130_001:0983a15	金慕耆婆(應云金曝耆梨婆　譯曰頸相圓滿)	金 慕 耆 婆 應 云 金 曝 耆 梨 婆 譯 曰 頸 相 圓 滿 
T54n2130_001:0983a16	伊尼延(亦云猗尼延　譯曰鹿[跳兆+專])	伊 尼 延 亦 云 猗 尼 延 譯 曰 鹿 [跳兆專] 
T54n2130_001:0983a17	般泥洹(應云般梨涅般　譯曰般利者大亦云真也涅槃者如上說)　華嚴經第一卷	般 泥 洹 應 云 般 梨 涅 般 譯 曰 般 利 者 大 亦 云 真 也 涅 槃 者 如 上 說 華 嚴 經 第 一 卷 
T54n2130_001:0983a18	法名第四	法 名 第 四 
T54n2130_001:0983a19	駝摩(亦云達摩　論曰達摩者法)　大智論第四十八卷	駝 摩 亦 云 達 摩 論 曰 達 摩 者 法 大 智 論 第 四 十 八 卷 
T54n2130_001:0983a20	摩訶般若波羅蜜經(譯曰摩訶者大般若者惠波羅者度彼岸也)	摩訶般若波羅蜜 經 譯 曰 摩 訶 者 大 般 若 者 惠 波 羅 者 度 彼 岸 也 
T54n2130_001:0983a21	　第一卷	 第 一 卷 
T54n2130_001:0983a22	中阿含(應云阿伽磨　譯曰歸也)	中 阿 含 應 云 阿 伽 磨 譯 曰 歸 也 
T54n2130_001:0983a23	破群那經(譯者曰星名也)	破 群 那 經 譯 者 曰 星 名 也 
T54n2130_001:0983a24	阿毘曇(譯曰阿毘者健亦云近曇法又阿毘曇者无漏惠也亦云破法)	阿 毘 曇 譯 曰 阿 毘 者 健 亦 云 近 曇 法 又 阿 毘 曇 者 无 漏 惠 也 亦 云 破 法 
T54n2130_001:0983b01	摩訶衍(應云摩訶耶那　譯曰摩訶者大耶那者乘也)	摩 訶 衍 應 云 摩 訶 耶 那 譯 曰 摩 訶 者 大 耶 那 者 乘 也 
T54n2130_001:0983b02	毘泥(亦云毘尼　譯曰滅也)	毘 泥 亦 云 毘 尼 譯 曰 滅 也 
T54n2130_001:0983b03	阿他婆耆經(應云阿剌他婆耆　譯曰阿賴他者義婆耆者品)	阿 他 婆 耆 經 應 云 阿 剌 他 婆 耆 譯 曰 阿 賴 他 者 義 婆 耆 者 品 
T54n2130_001:0983b04	脩妬路(亦云脩多羅　譯曰法本亦云解義)	脩 妬 路 亦 云 脩 多 羅 譯 曰 法 本 亦 云 解 義 
T54n2130_001:0983b05	難陀婆難陀龍王經(亦云和難　譯曰難陀者歡喜婆難陀者大歡喜)	難 陀 婆 難 陀 龍 王 經 亦 云 和 難 譯 曰 難 陀 者 歡 喜 婆 難 陀 者 大 歡 喜 
T54n2130_001:0983b06	　第三卷	 第 三 卷 
T54n2130_001:0983b07	難陀迦經(譯曰歡喜)	難 陀 迦 經 譯 曰 歡 喜 
T54n2130_001:0983b08	[虫*毘]盧提迦經(應云[虫*毘]盧斯迦　譯曰眾所宗重)	[虫毘]盧提迦經應云[虫毘] 盧 斯 迦 譯 曰 眾 所 宗 重 
T54n2130_001:0983b09	優婆尸難中偈說(譯曰優波尸者清信女也)　第四卷	優 婆 尸 難 中 偈 說 譯 曰 優 波 尸 者 清 信 女 也 第 四 卷 
T54n2130_001:0983b10	鞞婆沙(亦云毘婆沙　譯曰廣說)	鞞 婆 沙 亦 云 毘 婆 沙 譯 曰 廣 說 
T54n2130_001:0983b11	阿波陀經(應云阿波陀那亦云阿婆檀那　譯曰譬喻)	阿 波 陀 經 應 云 阿波陀那 亦 云 阿 婆 檀 那 譯 曰 譬 喻 
T54n2130_001:0983b12	毘那婆那王經(譯毘那者无婆那者林)　第五卷	毘 那 婆 那 王 經 譯 毘 那 者 无 婆 那 者 林 第 五 卷 
