X62n1183_001:0351c06	淨業知津	淨 業 知 津 
X62n1183_001:0352a11	世間之人。大概只能自顧自。佛菩薩自己度了。觀一	世 間 之 人 大 概 只 能 自 顧 自 佛 菩 薩 自 己 度 了 觀 一 
X62n1183_001:0352a12	切眾生。願他齊度。為此廣說修行之法。依法修行。無	切 眾 生 願 他 齊 度 為 此 廣 說 修 行 之 法 依 法 修 行 無 
X62n1183_001:0352a13	一不度。	一 不 度 
X62n1183_001:0352a14	眾生不信佛法。不肯修行。是與佛無緣。佛即不能度	眾 生 不 信 佛 法 不 肯 修 行 是 與 佛 無 緣 佛 即 不 能 度 
X62n1183_001:0352a15	儞。儞能信能修。便是前世有善根。今世與佛有緣。與	儞 儞 能 信 能 修 便 是 前 世 有 善 根 今 世 與 佛 有 緣 與 
X62n1183_001:0352a16	佛有緣。儞修行時。佛菩薩必護佑儞也。儞得了佛力	佛 有 緣 儞 修 行 時 佛 菩 薩 必 護 佑 儞 也 儞 得 了 佛 力 
X62n1183_001:0352a17	護佑。償再真切修行。無不成功矣。	護 佑 償 再 真 切 修 行 無 不 成 功 矣 
X62n1183_001:0352a18	凡修行而不得成功者。總因不真切念佛。雖念佛。而	凡 修 行 而 不 得 成 功 者 總 因 不 真 切 念 佛 雖 念 佛 而 
X62n1183_001:0352a19	仍有世間之貪求。不能一心一意。只顧求生西方極	仍 有 世 間 之 貪 求 不 能 一 心 一 意 只 顧 求 生 西 方 極 
X62n1183_001:0352a20	樂世界故也。	樂 世 界 故 也 
X62n1183_001:0352a21	念佛的人。要把念佛為切實事。其應酬世務。及料理	念 佛 的 人 要 把 念 佛 為 切 實 事 其 應 酬 世 務 及 料 理 
X62n1183_001:0352a22	身家。皆是外殻子事。切實不礙外殻子。外殻子不礙	身 家 皆 是 外 殻 子 事 切 實 不 礙 外 殻 子 外 殻 子 不 礙 
X62n1183_001:0352a23	切實。得念佛之道矣。	切 實 得 念 佛 之 道 矣 
X62n1183_001:0352a24	開眼念佛。心易散動。尚可閉目而念。兩耳聞聲。斷難	開 眼 念 佛 心 易 散 動 尚 可 閉 目 而 念 兩 耳 聞 聲 斷 難 
X62n1183_001:0352b01	塞耳。既不可塞。即借他來用。如何用法。當念佛時。將	塞 耳 既 不 可 塞 即 借 他 來 用 如 何 用 法 當 念 佛 時 將 
X62n1183_001:0352b02	此心放得空空靈靈。提起一句阿彌陀佛。即念即聽。	此 心 放 得 空 空 靈 靈 提 起 一 句 阿 彌 陀 佛 即 念 即 聽 
X62n1183_001:0352b03	即聽即念。綿綿不絕。一路盤旋。最為念佛妙訣。行之	即 聽 即 念 綿 綿 不 絕 一 路 盤 旋 最 為 念 佛 妙 訣 行 之 
X62n1183_001:0352b04	久久。必有相應時也。	久 久 必 有 相 應 時 也 
X62n1183_001:0352b05	六字念。四字念。是一樣的。(念南無阿彌陀佛。謂之六字念。但念阿彌陀佛。謂之	六 字 念 四 字 念 是 一 樣 的 念 南 無 阿 彌 陀 佛 謂 之 六 字 念 但 念 阿 彌 陀 佛 謂 之 
X62n1183_001:0352b06	四字念)行念坐念皆可念佛。越多越好。一日到夜。若忘	四 字 念 行 念 坐 念 皆 可 念 佛 越 多 越 好 一 日 到 夜 若 忘 
X62n1183_001:0352b07	記了。記得就念。別事打斷了。事畢就念。或出聲念。或	記 了 記 得 就 念 別 事 打 斷 了 事 畢 就 念 或 出 聲 念 或 
X62n1183_001:0352b08	不出聲默念。是一樣的。但要字字從念頭上著實。句	不 出 聲 默 念 是 一 樣 的 但 要 字 字 從 念 頭 上 著 實 句 
X62n1183_001:0352b09	句從求生西方裏出來。再有繫念一法。在不念佛時。	句 從 求 生 西 方 裏 出 來 再 有 繫 念 一 法 在 不 念 佛 時 
X62n1183_001:0352b10	這一點念頭。常挂在阿彌陀佛身上(每日天亮時候。就在牀上坐起。	這 一 點 念 頭 常 挂 在 阿 彌 陀 佛 身 上 每 日 天 亮 時 候 就 在 牀 上 坐 起 
X62n1183_001:0352b11	清清淨淨。一念不生。坐到日出後。下牀輕輕略轉念頭。無非思量修行的事。如此最能開發智慧)。	清 清 淨 淨 一 念 不 生 坐 到 日 出 後 下 牀 輕 輕 略 轉 念 頭 無 非 思 量 修 行 的 事 如 此 最 能 開 發 智 慧 
X62n1183_001:0352b12	心常清淨。不動不搖。是修行得力處。	心 常 清 淨 不 動 不 搖 是 修 行 得 力 處 
X62n1183_001:0352b13	念佛人功課。一卷彌陀經。三徧往生呪。念佛畢。念觀	念 佛 人 功 課 一 卷 彌 陀 經 三 徧 往 生 呪 念 佛 畢 念 觀 
X62n1183_001:0352b14	世音菩薩。大勢至菩薩。清淨大海眾菩薩。各十聲。念	世 音 菩 薩 大 勢 至 菩 薩 清 淨 大 海 眾 菩 薩 各 十 聲 念 
X62n1183_001:0352b15	回向文一篇。拜阿彌陀佛。觀音。勢至。清淨海眾。各三	回 向 文 一 篇 拜 阿 彌 陀 佛 觀 音 勢 至 清 淨 海 眾 各 三 
X62n1183_001:0352b16	拜。三皈依畢。朝暮總是如此。為念佛功課。純一不雜。	拜 三 皈 依 畢 朝 暮 總 是 如 此 為 念 佛 功 課 純 一 不 雜 
X62n1183_001:0352b17	設或要念大乘諸經呪等。寧可另作一時。立為午課。	設 或 要 念 大 乘 諸 經 呪 等 寧 可 另 作 一 時 立 為 午 課 
X62n1183_001:0352b18	不宜在朝暮正課內夾雜。夾雜則不專精。	不 宜 在 朝 暮 正 課 內 夾 雜 夾 雜 則 不 專 精 
X62n1183_001:0352b19	高王經。分珠經。香山卷。佛偈。皆不要念。藏經所無。非	高 王 經 分 珠 經 香 山 卷 佛 偈 皆 不 要 念 藏 經 所 無 非 
X62n1183_001:0352b20	真經也。	真 經 也 
X62n1183_001:0352b21	竹絲燈。據說死後。照到冥司所用。全不顧念佛道理。	竹 絲 燈 據 說 死 後 照 到 冥 司 所 用 全 不 顧 念 佛 道 理 
X62n1183_001:0352b22	我勸世人點念佛圖。點滿。填名記數。佛前焚化。最好。	我 勸 世 人 點 念 佛 圖 點 滿 填 名 記 數 佛 前 焚 化 最 好 
X62n1183_001:0352b23	自有佛光相照。何用竹絲燈。	自 有 佛 光 相 照 何 用 竹 絲 燈 
X62n1183_001:0352b24	彌陀經要熟。無量壽經。觀無量壽經。要常看。	彌 陀 經 要 熟 無 量 壽 經 觀 無 量 壽 經 要 常 看 
X62n1183_001:0352c01	每日除功課外。準定一時禮拜最好。正是在佛前。懇	每 日 除 功 課 外 準 定 一 時 禮 拜 最 好 正 是 在 佛 前 懇 
X62n1183_001:0352c02	苦虔誠。一心歸命。求佛哀憐。慈光照我。	苦 虔 誠 一 心 歸 命 求 佛 哀 憐 慈 光 照 我 
X62n1183_001:0352c03	禮拜法	禮 拜 法 
X62n1183_001:0352c04	佛前焚香。至心合掌。每念一聲。一拜。(應和南拜)念云。	佛 前 焚 香 至 心 合 掌 每 念 一 聲 一 拜 應 和 南 拜 念 云 
X62n1183_001:0352c05	南無娑婆世界。現在如來。大慈大悲。本師釋迦牟尼	南 無 娑婆世界 現 在 如 來 大慈大悲 本 師 釋 迦 牟 尼 
X62n1183_001:0352c06	佛。(九拜)	佛 九 拜 
X62n1183_001:0352c07	南無西方極樂世界。大慈大悲。大願大力。接引導師。	南 無 西方極樂 世 界 大慈大悲 大 願 大 力 接 引 導 師 
X62n1183_001:0352c08	阿彌陀佛。(四十八拜)	阿 彌 陀 佛 四 十 八 拜 
X62n1183_001:0352c09	南無西方極樂世界。萬億紫金身。觀世音菩薩摩訶	南 無 西方極樂 世 界 萬 億 紫 金 身 觀 世 音 菩 薩 摩 訶 
X62n1183_001:0352c10	薩。(三拜)	薩 三 拜 
X62n1183_001:0352c11	南無西方極樂世界。無邊光智身。大勢至菩薩摩訶	南 無 西方極樂 世 界 無 邊 光 智 身 大 勢 至 菩 薩 摩 訶 
X62n1183_001:0352c12	薩。(三拜)	薩 三 拜 
X62n1183_001:0352c13	南無西方極樂世界。滿分二嚴身。清淨大海眾菩薩	南 無 西方極樂 世 界 滿 分 二 嚴 身 清 淨 大 海 眾 菩 薩 
X62n1183_001:0352c14	摩訶薩。(三拜)	摩 訶 薩 三 拜 
X62n1183_001:0352c15	拜畢。長跪。至心合掌。念云。	拜 畢 長 跪 至 心 合 掌 念 云 
X62n1183_001:0352c16	　我昔所造諸惡業　　皆由無始貪瞋癡	 我 昔 所 造 諸 惡 業 皆 由 無 始 貪 瞋 癡 
X62n1183_001:0352c17	　從身語意之所生　　今對佛前求懺悔	 從 身 語 意 之 所 生 今 對 佛 前 求 懺 悔 
X62n1183_001:0352c18	　願我臨欲命終時　　盡除一切諸障礙	 願 我 臨 欲 命 終 時 盡 除 一 切 諸 障 礙 
X62n1183_001:0352c19	　面見彼佛阿彌陀　　即得往生安樂剎	 面 見 彼 佛 阿 彌 陀 即 得 往 生 安 樂 剎 
X62n1183_001:0352c20	　虗空有盡　　我願無窮　　情與無情　　同圓種智	 虗 空 有 盡 我 願 無 窮 情 與 無 情 同 圓 種 智 
X62n1183_001:0352c21	念畢。起立。三拜而退。	念 畢 起 立 三 拜 而 退 
X62n1183_001:0352c22	吾今所講的修行。要以念佛發願為正主。然助道因	吾 今 所 講 的 修 行 要 以 念 佛 發 願 為 正 主 然 助 道 因 
X62n1183_001:0352c23	緣必不可少。何等為助道因緣。恭敬三寶心。願求出	緣 必 不 可 少 何 等 為 助 道 因 緣 恭 敬 三 寶 心 願 求 出 
X62n1183_001:0352c24	世心。厭離牽纏心。得知善惡報應。生畏懼心。正直心。	世 心 厭 離 牽 纏 心 得 知 善 惡 報 應 生 畏 懼 心 正 直 心 
X62n1183_001:0353a01	老實心。慈悲心。解脫心。不生自道好的心。以上皆好	老 實 心 慈 悲 心 解 脫 心 不 生 自 道 好 的 心 以 上 皆 好 
X62n1183_001:0353a02	心腸。是助道因緣也。	心 腸 是 助 道 因 緣 也 
X62n1183_001:0353a03	既有了好的心腸。作為助道。又要得知壞心腸。防其	既 有 了 好 的 心 腸 作 為 助 道 又 要 得 知 壞 心 腸 防 其 
X62n1183_001:0353a04	障道。不信三寶心。自做主張修行心。名利心。貪愛世	障 道 不 信 三 寶 心 自 做 主 張 修 行 心 名 利 心 貪 愛 世 
X62n1183_001:0353a05	間快樂心。瞋心。愚癡忘想心。求世間福報心。機巧心。	間 快 樂 心 瞋 心 愚 癡 忘 想 心 求 世 間 福 報 心 機 巧 心 
X62n1183_001:0353a06	詐偽心。偏曲心。因循怠惰心。不改過心。自以為是心。	詐 偽 心 偏 曲 心 因 循 怠 惰 心 不 改 過 心 自 以 為 是 心 
X62n1183_001:0353a07	以上皆壞心腸。雖是修行。決難入道。所以然者。為此	以 上 皆 壞 心 腸 雖 是 修 行 決 難 入 道 所 以 然 者 為 此 
X62n1183_001:0353a08	等心。作遮障故也。	等 心 作 遮 障 故 也 
X62n1183_001:0353a09	辦修行事。必當親近明師善友依教奉行。不遇師友。	辦 修 行 事 必 當 親 近 明 師 善 友 依 教 奉 行 不 遇 師 友 
X62n1183_001:0353a10	彌陀經一卷。回向文一篇。即是師友。切忌杜撰。明師	彌 陀 經 一 卷 回 向 文 一 篇 即 是 師 友 切 忌 杜 撰 明 師 
X62n1183_001:0353a11	善友。有真的。有假的。若要師友。必求真的。方能引我	善 友 有 真 的 有 假 的 若 要 師 友 必 求 真 的 方 能 引 我 
X62n1183_001:0353a12	入道。開我智慧。成我修行。了我生死。所以師友之恩。	入 道 開 我 智 慧 成 我 修 行 了 我 生 死 所 以 師 友 之 恩 
X62n1183_001:0353a13	過於父母。若是假的。他便引我入錯路。塞殺我一片	過 於 父 母 若 是 假 的 他 便 引 我 入 錯 路 塞 殺 我 一 片 
X62n1183_001:0353a14	正修行心。使我一事無成。所以真假之隔。不啻天壤。	正 修 行 心 使 我 一 事 無 成 所 以 真 假 之 隔 不 啻 天 壤 
X62n1183_001:0353a15	不可不辨明而親近。	不 可 不 辨 明 而 親 近 
X62n1183_001:0353a16	吾今說箇辨法。其真正可為明師善友者。一見未必	吾 今 說 箇 辨 法 其 真 正 可 為 明 師 善 友 者 一 見 未 必 
X62n1183_001:0353a17	顯然。就有一種明師善友的本事與儞看。也不過平	顯 然 就 有 一 種 明 師 善 友 的 本 事 與 儞 看 也 不 過 平 
X62n1183_001:0353a18	平實實而已。談到修行。必就儞所修講究。井井有條。	平 實 實 而 已 談 到 修 行 必 就 儞 所 修 講 究 井 井 有 條 
X62n1183_001:0353a19	不高不下。儞聽了。覺得與平日所修工夫。頗有開發。	不 高 不 下 儞 聽 了 覺 得 與 平 日 所 修 工 夫 頗 有 開 發 
X62n1183_001:0353a20	亦見其與經書暗合。若假者。一見便有一種明師善	亦 見 其 與 經 書 暗 合 若 假 者 一 見 便 有 一 種 明 師 善 
X62n1183_001:0353a21	友的樣子。談到修行。必將儞平日所修另翻一調。以	友 的 樣 子 談 到 修 行 必 將 儞 平 日 所 修 另 翻 一 調 以 
X62n1183_001:0353a22	見高超。譬如儞平日。奉一卷彌陀經。依佛所說。執持	見 高 超 譬 如 儞 平 日 奉 一 卷 彌 陀 經 依 佛 所 說 執 持 
X62n1183_001:0353a23	名號。信願求生極樂國土。有何不是處。必要另換調	名 號 信 願 求 生 極樂國土 有 何 不 是 處 必 要 另 換 調 
X62n1183_001:0353a24	門。另立話頭。難道儞超過釋迦牟尼佛麼。倘然學者	門 另 立 話 頭 難 道 儞 超 過 釋 迦 牟 尼 佛 麼 倘 然 學 者 
X62n1183_001:0353b01	實有錯誤。不妨隨病發藥。實有未明。又當隨機解說。	實 有 錯 誤 不 妨 隨 病 發 藥 實 有 未 明 又 當 隨 機 解 說 
X62n1183_001:0353b02	念佛工夫。在於臨終時用。臨終所用的。在於平日間	念 佛 工 夫 在 於 臨 終 時 用 臨 終 所 用 的 在 於 平 日 間 
X62n1183_001:0353b03	做。平日間做。若在色力強壯時。比老衰時好。是故慎	做 平 日 間 做 若 在 色 力 強 壯 時 比 老 衰 時 好 是 故 慎 
X62n1183_001:0353b04	勿因循。遠期他日。	勿 因 循 遠 期 他 日 
X62n1183_001:0353b05	自己工夫。尚無著實。所知佛法。尚未明白。不可輕易	自 己 工 夫 尚 無 著 實 所 知 佛 法 尚 未 明 白 不 可 輕 易 
X62n1183_001:0353b06	教人。有為師之意。雖云自利利他。只恐自誤誤他耳。	教 人 有 為 師 之 意 雖 云 自利利他 只 恐 自 誤 誤 他 耳 
X62n1183_001:0353b07	修行人身體。雖不貪戀。也須調養。到老來時。但向工	修 行 人 身 體 雖 不 貪 戀 也 須 調 養 到 老 來 時 但 向 工 
X62n1183_001:0353b08	夫上收拾散動。不必向老上。安排身體。小病服藥。大	夫 上 收 拾 散 動 不 必 向 老 上 安 排 身 體 小 病 服 藥 大 
X62n1183_001:0353b09	病待死。切不可大病要好。當端正歸家去也。	病 待 死 切 不 可 大 病 要 好 當 端 正 歸 家 去 也 
X62n1183_001:0353b10	臨終或遇惡疾。痛苦異常。當知這是生生世世的惡	臨 終 或 遇 惡 疾 痛 苦 異 常 當 知 這 是 生生世世 的 惡 
X62n1183_001:0353b11	業果報。我今正應亡命的念佛。千魔百難。我心不動	業 果 報 我 今 正 應 亡 命 的 念 佛 千 魔 百 難 我 心 不 動 
X62n1183_001:0353b12	不搖。	不 搖 
X62n1183_001:0353b13	天下無難事。只要有志氣。志氣決定。則無難事。	天 下 無 難 事 只 要 有 志 氣 志 氣 決 定 則 無 難 事 
X62n1183_001:0353b14	湖海行船。必靠搖櫓。一日行一百里。也算好的了。若	湖 海 行 船 必 靠 搖 櫓 一 日 行 一 百 里 也 算 好 的 了 若 
X62n1183_001:0353b15	遇大順風。頃刻幾百里。何以如此快。天助其力也。凡	遇 大 順 風 頃 刻 幾 百 里 何 以 如 此 快 天 助 其 力 也 凡 
X62n1183_001:0353b16	人生西方。專靠人力。自然也難。若真切心念佛。佛必	人 生 西 方 專 靠 人 力 自 然 也 難 若 真 切 心 念 佛 佛 必 
X62n1183_001:0353b17	保護。佛力保護。更勝於天助。所以不難矣。若想專靠	保 護 佛 力 保 護 更 勝 於 天 助 所 以 不 難 矣 若 想 專 靠 
X62n1183_001:0353b18	佛力。自己修行不真切。竟不成功。而怪佛。當知應怪	佛 力 自 己 修 行 不 真 切 竟 不 成 功 而 怪 佛 當 知 應 怪 
X62n1183_001:0353b19	自己也。	自 己 也 
X62n1183_001:0353b20	人之生於母胎中。絕不以為難。亦不以為奇。何也。人	人 之 生 於 母 胎 中 絕 不 以 為 難 亦 不 以 為 奇 何 也 人 
X62n1183_001:0353b21	人見慣。以為實者其事也。念佛往生西方。極樂世界。	人 見 慣 以 為 實 者 其 事 也 念 佛 往 生 西 方 極樂世界 
X62n1183_001:0353b22	蓮華化身。因不曾見慣。所以覺得難。所以覺得奇。豈	蓮 華 化 身 因 不 曾 見 慣 所 以 覺 得 難 所 以 覺 得 奇 豈 
X62n1183_001:0353b23	知其實。與人之生於母胎中。一箇道理也。一邊是情	知 其 實 與 人 之 生 於 母 胎 中 一 箇 道 理 也 一 邊 是 情 
X62n1183_001:0353b24	愛而成。一邊是信願而成。	愛 而 成 一 邊 是 信 願 而 成 
X62n1183_001:0353c01	人之念佛往生西方也。初且脫離苦海。跳出六道輪	人 之 念 佛 往 生 西 方 也 初 且 脫 離 苦 海 跳 出 六 道 輪 
X62n1183_001:0353c02	迴。往生之後。修行直至成佛。	迴 往 生 之 後 修 行 直 至 成 佛 
X62n1183_001:0353c03	念佛一門。直截向上。自始至終。毫無委曲。	念 佛 一 門 直 截 向 上 自 始 至 終 毫 無 委 曲 
X62n1183_001:0353c04	修行人多從苦處裏成功。儞看快樂人那得修行。到	修 行 人 多 從 苦 處 裏 成 功 儞 看 快 樂 人 那 得 修 行 到 
X62n1183_001:0353c05	了西方。才見得苦人便宜。樂人喫虧。更看那不信修	了 西 方 才 見 得 苦 人 便 宜 樂 人 喫 虧 更 看 那 不 信 修 
X62n1183_001:0353c06	行的。一生辛苦。造了無數惡業。閻羅面前受苦報無	行 的 一 生 辛 苦 造 了 無 數 惡 業 閻 羅 面 前 受 苦 報 無 
X62n1183_001:0353c07	窮。何等苦惱。縱有善業。不過得享福報。若享福報。造	窮 何 等 苦 惱 縱 有 善 業 不 過 得 享 福 報 若 享 福 報 造 
X62n1183_001:0353c08	了惡業。不久亦向閻羅面前受苦。縱無惡業。豈知天	了 惡 業 不 久 亦 向 閻 羅 面 前 受 苦 縱 無 惡 業 豈 知 天 
X62n1183_001:0353c09	仙福盡。終須墮落。念佛人真切修行。即於現生仗佛。	仙 福 盡 終 須 墮 落 念 佛 人 真 切 修 行 即 於 現 生 仗 佛 
X62n1183_001:0353c10	力往生西方。極樂世界。永不受輪迴之苦。苦海極樂。	力 往 生 西 方 極樂世界 永 不 受 輪 迴 之 苦 苦 海 極 樂 
X62n1183_001:0353c11	相去何如哉。此皆釋迦牟尼佛金口所說。我今傳佛	相 去 何 如 哉 此 皆 釋 迦 牟 尼 佛 金 口 所 說 我 今 傳 佛 
X62n1183_001:0353c12	語。奉告諸人。字字皆真語實語。如有不實。吾當永墮	語 奉 告 諸 人 字 字 皆 真 語 實 語 如 有 不 實 吾 當 永 墮 
X62n1183_001:0353c13	拔舌地獄。	拔 舌 地 獄 
X62n1183_001:0353c14	淨業知津一書。余昔為優婆夷唐貞女述也。語用	淨 業 知 津 一 書 余 昔 為 優 婆 夷 唐 貞 女 述 也 語 用 
X62n1183_001:0353c15	粗淺。蓋欲令其容易明白。然究而極之。不越乎此。	粗 淺 蓋 欲 令 其 容 易 明 白 然 究 而 極 之 不 越 乎 此 
X62n1183_001:0353c16	惟是淺近之談。最易流俗。難入三乘正法。是書或	惟 是 淺 近 之 談 最 易 流 俗 難 入 三 乘 正 法 是 書 或 
X62n1183_001:0353c17	可免歟。四川黃居士。見而喜之。遂捐請付梓。時道	可 免 歟 四 川 黃 居 士 見 而 喜 之 遂 捐 請 付 梓 時 道 
X62n1183_001:0353c18	光己丑三月也。悟開識。	光 己 丑 三 月 也 悟 開 識 
X62n1183_001:0353c19	念佛往生淺近說	念 佛 往 生 淺 近 說 
X62n1183_001:0353c20	南無者。皈依也。阿彌陀者。無量壽也。佛者。覺也。言人	南 無 者 皈 依 也 阿 彌 陀 者 無 量 壽 也 佛 者 覺 也 言 人 
X62n1183_001:0353c21	當皈依無量壽大覺尊也。然則佛號多矣。何以專念	當 皈 依 無 量 壽 大 覺 尊 也 然 則 佛 號 多 矣 何 以 專 念 
X62n1183_001:0353c22	阿彌陀佛乎。蓋此是眾生之心佛。試觀世人喜極。則	阿 彌 陀 佛 乎 蓋 此 是 眾 生 之 心 佛 試 觀 世 人 喜 極 則 
X62n1183_001:0353c23	曰阿彌陀佛。苦極。則曰阿彌陀佛。這句佛。不知不覺。	曰 阿 彌 陀 佛 苦 極 則 曰 阿 彌 陀 佛 這 句 佛 不 知 不 覺 
X62n1183_001:0353c24	自然從口中流出。鄉愚婦豎。不教而知。不學而能。故	自 然 從 口 中 流 出 鄉 愚 婦 豎 不 教 而 知 不 學 而 能 故 
X62n1183_001:0354a01	曰心佛也。因眾生歷劫輪迴。迷失本性。佛乃開異方	曰 心 佛 也 因 眾 生 歷 劫 輪 迴 迷 失 本 性 佛 乃 開 異 方 
X62n1183_001:0354a02	便門。教人自念自佛。如人睡夢。以一句彌陀喚醒之。	便 門 教 人 自 念 自 佛 如 人 睡 夢 以 一 句 彌 陀 喚 醒 之 
X62n1183_001:0354a03	如事失記。以一句彌陀提省之。引苦惱生靈。至極樂	如 事 失 記 以 一 句 彌 陀 提 省 之 引 苦 惱 生 靈 至 極 樂 
X62n1183_001:0354a04	世界。易五濁惡世。為七寶樓臺。果能息息求生淨土。	世 界 易 五濁惡世 為 七 寶 樓 臺 果 能 息 息 求 生 淨 土 
X62n1183_001:0354a05	心心回向西方。念到純熟地步。自然水到渠成。游子	心 心 回 向 西 方 念 到 純 熟 地 步 自 然 水 到 渠 成 游 子 
X62n1183_001:0354a06	得歸故鄉。嬰兒再投慈母。三界橫出。永不退回。九品	得 歸 故 鄉 嬰 兒 再 投 慈 母 三 界 橫 出 永 不 退 回 九 品 
X62n1183_001:0354a07	安居。豫先備辦。豈不快哉。斷不可謂我孽重不能去。	安 居 豫 先 備 辦 豈不快哉 斷 不 可 謂 我 孽 重 不 能 去 
X62n1183_001:0354a08	我福薄不能去。須知彌陀。本有誓願。決不賺人。馬跳	我 福 薄 不 能 去 須 知 彌 陀 本 有 誓 願 決 不 賺 人 馬 跳 
X62n1183_001:0354a09	深潭。一躍而過。雀渡大海。一飛而超。稍涉遲疑。墮坑	深 潭 一 躍 而 過 雀 渡 大 海 一 飛 而 超 稍 涉 遲 疑 墮 坑 
X62n1183_001:0354a10	落水。一定理也。又如要到北京。先備資斧。再雇舟車。	落 水 一 定 理 也 又 如 要 到 北 京 先 備 資 斧 再 雇 舟 車 
X62n1183_001:0354a11	逐日趲程。早行早到。若資斧缺乏。舟車拋棄。旅店逗	逐 日 趲 程 早 行 早 到 若 資 斧 缺 乏 舟 車 拋 棄 旅 店 逗 
