T32n1660_001:0517b10	菩提資糧論卷第一	菩提資糧論 卷 第 一 
T32n1660_001:0517b27	盈等。盈是滿義。如是以滿菩提法。為菩提	盈 等 盈 是 滿 義 如 是 以 滿 菩 提 法 為 菩 提 
T32n1660_001:0517b28	資糧。又以持為義。譬如世間共行日攝於熱	資 糧 又 以 持 為 義 譬 如 世 間 共 行 日 攝 於 熱 
T32n1660_001:0517b29	月攝於冷。攝是持義。如是以持菩提法。為	月 攝 於 冷 攝 是 持 義 如 是 以 持 菩 提 法 為 
T32n1660_001:0517c01	菩提資糧。言資糧者即是持義。又以長養為	菩提資糧 言 資 糧 者 即 是 持 義 又 以 長 養 為 
T32n1660_001:0517c02	義。譬如世間有能滿千或百或十。或唯自滿	義 譬 如 世 間 有 能 滿 千 或 百 或 十 或 唯 自 滿 
T32n1660_001:0517c03	或難自滿。菩提資糧亦復如是。以長養菩提	或 難 自 滿 菩提資糧 亦復如是 以 長 養 菩 提 
T32n1660_001:0517c04	為義。又以因為義。如舍城車等因中說言舍	為 義 又 以 因 為 義 如 舍 城 車 等 因 中 說 言 舍 
T32n1660_001:0517c05	資糧城資糧車資糧。如是於生菩提因緣法	資 糧 城 資 糧 車 資 糧 如 是 於 生 菩 提 因 緣 法 
T32n1660_001:0517c06	中。說名菩提資糧。又以眾分具足為義。譬	中 說 名 菩提資糧 又 以 眾 分 具 足 為 義 譬 
T32n1660_001:0517c07	如祭祀分中杓火等具足名為祭祀。非不具	如 祭 祀 分 中 杓 火 等 具 足 名 為 祭 祀 非 不 具 
T32n1660_001:0517c08	足。亦如身分頭手足等具足得名為身。非不	足 亦 如 身 分 頭 手 足 等 具 足 得 名 為 身 非 不 
T32n1660_001:0517c09	具足。施分亦如是。施者施物。受者迴向。此等	具 足 施 分 亦 如 是 施 者 施 物 受 者 迴 向 此 等 
T32n1660_001:0517c10	具足名施資糧。非不具足。戒等資糧亦如是。	具 足 名 施 資 糧 非 不 具 足 戒 等 資 糧 亦 如 是 
T32n1660_001:0517c11	是故眾分具足義。是資糧義。如是我說菩提	是 故 眾 分 具 足 義 是 資 糧 義 如 是 我 說 菩 提 
T32n1660_001:0517c12	資糧。是能滿者。持者。長養者。菩提因者。菩	資 糧 是 能 滿 者 持 者 長 養 者 菩 提 因 者 菩 
T32n1660_001:0517c13	提分具足者。皆其義也。	提 分 具 足 者 皆 其 義 也 
T32n1660_001:0517c14	　何能說無闕　　菩提諸資糧	 何 能 說 無 闕 菩 提 諸 資 糧 
T32n1660_001:0517c15	　唯獨有諸佛　　別得無邊覺	 唯 獨 有 諸 佛 別 得 無 邊 覺 
T32n1660_001:0517c16	何能者。何力也。若聲聞若菩薩少分覺知無	何 能 者 何 力 也 若 聲 聞 若 菩 薩 少 分 覺 知 無 
T32n1660_001:0517c17	力能故。若欲說諸菩提資糧無闕無餘。唯是	力 能 故 若 欲 說 諸 菩提資糧 無 闕 無 餘 唯 是 
T32n1660_001:0517c18	諸佛別得無邊覺者。言無邊覺。謂非少分覺	諸 佛 別 得 無 邊 覺 者 言 無 邊 覺 謂 非 少 分 覺 
T32n1660_001:0517c19	故。以佛世尊於無邊應知義中覺知無礙。是	故 以 佛 世 尊 於 無 邊 應 知 義 中 覺 知 無 礙 是 
T32n1660_001:0517c20	故佛名無邊覺者。又於欲樂及自疲苦斷常	故 佛 名 無 邊 覺 者 又 於 欲 樂 及 自 疲 苦 斷 常 
T32n1660_001:0517c21	有無等邊見中。覺而不著。以所覺無邊。是	有 無 等 邊 見 中 覺 而 不 著 以 所 覺 無 邊 是 
T32n1660_001:0517c22	故佛名無邊覺者。問何故資糧唯佛能說。餘	故 佛 名 無 邊 覺 者 問 何 故 資 糧 唯 佛 能 說 餘 
T32n1660_001:0517c23	人不能答。	人 不 能 答 
T32n1660_001:0517c24	　佛體無邊德　　覺資糧為根	 佛 體 無 邊 德 覺 資 糧 為 根 
T32n1660_001:0517c25	　是故覺資糧　　亦無有邊際	 是 故 覺 資 糧 亦 無有邊際 
T32n1660_001:0517c26	佛體者。即佛身也。以彼佛體具足無邊功德	佛 體 者 即 佛 身 也 以 彼 佛 體 具 足 無 邊 功 德 
T32n1660_001:0517c27	故。說佛體無邊德。功德者。謂可稱讚義。若	故 說 佛 體 無 邊 德 功 德 者 謂 可 稱 讚 義 若 
T32n1660_001:0517c28	可稱讚則名功德。又是數數作義。譬如數數	可 稱 讚 則 名 功 德 又 是 數 數 作 義 譬 如 數 數 
T32n1660_001:0517c29	誦習經書。彼則說名作功德者。又是牢固義。	誦 習 經 書 彼 則 說 名 作 功 德 者 又 是 牢 固 義 
T32n1660_001:0518a01	譬如作繩。或合二為功。或合三為功。又是增	譬 如 作 繩 或 合 二 為 功 或 合 三 為 功 又 是 增 
T32n1660_001:0518a02	長義。譬如息利。或增二為功。或增三為功。又	長 義 譬 如 息 利 或 增 二 為 功 或 增 三 為 功 又 
T32n1660_001:0518a03	是依止義。譬如諸物各以依止為功。如是佛	是 依 止 義 譬 如 諸 物 各 以 依 止 為 功 如 是 佛 
T32n1660_001:0518a04	體為戒定等無邊差別功德依止故。說佛體	體 為 戒 定 等 無邊差別 功 德 依 止 故 說 佛 體 
T32n1660_001:0518a05	有無邊功德。覺資糧為根者。彼菩提資糧。	有 無 邊 功 德 覺 資 糧 為 根 者 彼 菩提資糧 
T32n1660_001:0518a06	與佛體無邊功德為根本故。根者建立義。菩	與 佛 體 無 邊 功 德 為 根 本 故 根 者 建 立 義 菩 
T32n1660_001:0518a07	提者智也。根即資糧。以彼資糧能建立一	提 者 智 也 根 即 資 糧 以 彼 資 糧 能 建 立 一 
T32n1660_001:0518a08	切智智。是故資糧為佛體根本。良由佛體有	切 智 智 是 故 資 糧 為 佛 體 根 本 良 由 佛 體 有 
T32n1660_001:0518a09	無邊功德。須以無邊功德成彼佛體。是故資	無 邊 功 德 須 以 無 邊 功 德 成 彼 佛 體 是 故 資 
T32n1660_001:0518a10	糧亦無邊際。	糧 亦 無 邊 際 
T32n1660_001:0518a11	　當說彼少分　　敬禮佛菩薩	 當 說 彼 少 分 敬 禮 佛 菩 薩 
T32n1660_001:0518a12	　是諸菩薩等　　次佛應供養	 是 諸 菩 薩 等 次 佛 應 供 養 
T32n1660_001:0518a13	彼諸資糧無邊而智有邊。是以說彼資糧不	彼 諸 資 糧 無 邊 而 智 有 邊 是 以 說 彼 資 糧 不 
T32n1660_001:0518a14	能無闕。故言當說彼少分敬禮佛菩薩問應	能 無 闕 故 言 當 說 彼 少 分 敬 禮 佛 菩 薩 問 應 
T32n1660_001:0518a15	禮佛。以一切眾生中最勝故。何義此中亦禮	禮 佛 以 一 切 眾 生 中 最 勝 故 何 義 此 中 亦 禮 
T32n1660_001:0518a16	菩薩。答是諸菩薩等次佛應供養故。諸菩薩	菩 薩 答 是 諸 菩 薩 等 次 佛 應 供 養 故 諸 菩 薩 
T32n1660_001:0518a17	等從初發心乃至覺場皆應供養。菩薩有七	等 從 初 發 心 乃 至 覺 場 皆 應 供 養 菩 薩 有 七 
T32n1660_001:0518a18	種。一初發心。二正修行。三得無生忍。四灌	種 一 初 發 心 二 正 修 行 三 得無生忍 四 灌 
T32n1660_001:0518a19	頂。五一生所繫。六最後生。七詣覺場。此等菩	頂 五 一生所繫 六 最 後 生 七 詣 覺 場 此 等 菩 
T32n1660_001:0518a20	薩於諸佛後次應供養。以身口意及外物等	薩 於 諸 佛 後 次 應 供 養 以 身 口 意 及 外 物 等 
T32n1660_001:0518a21	而供養之。初發心者未得地。正修行者乃至	而 供 養 之 初 發 心 者 未 得 地 正 修 行 者 乃 至 
T32n1660_001:0518a22	七地。得無生忍者住第八地。灌頂者住第十	七 地 得無生忍 者 住 第 八 地 灌 頂 者 住 第 十 
T32n1660_001:0518a23	地。一生所繫者方入兜率陀。最後生者兜率	地 一生所繫 者 方 入 兜 率 陀 最 後 生 者 兜 率 
T32n1660_001:0518a24	陀處住。詣覺場者欲受用一切智智。於七	陀 處 住 詣 覺 場 者 欲 受 用 一切智智 於 七 
T32n1660_001:0518a25	種菩薩中。初發心菩薩一切眾生皆應禮敬。	種 菩 薩 中 初 發 心 菩 薩 一 切 眾 生 皆 應 禮 敬 
T32n1660_001:0518a26	何況餘者。何以故。深心寬大故。如來教量	何 況 餘 者 何 以 故 深 心 寬 大 故 如 來 教 量 
T32n1660_001:0518a27	故。初發心菩薩發菩提心時。於十方分無減	故 初 發 心 菩 薩 發菩提心 時 於 十 方 分 無 減 
T32n1660_001:0518a28	諸佛土無減諸眾生無減。以慈遍滿發菩提	諸 佛 土 無 減 諸 眾 生 無 減 以 慈 遍 滿 發 菩 提 
T32n1660_001:0518a29	心。若未度眾生我當度之。未解脫者我當解	心 若 未 度 眾 生 我 當 度 之 未 解 脫 者 我 當 解 
T32n1660_001:0518b01	脫。未穌息者我當蘇息。未寂滅者我當寂滅。	脫 未 穌 息 者 我 當 蘇 息 未 寂 滅 者 我 當 寂 滅 
T32n1660_001:0518b02	應聲聞者我當令入聲聞乘中。應獨覺者我	應 聲 聞 者 我 當 令 入 聲 聞 乘 中 應 獨 覺 者 我 
T32n1660_001:0518b03	當令入獨覺乘中。應大乘者我當令入大乘	當 令 入 獨 覺 乘 中 應 大 乘 者 我 當 令 入 大 乘 
T32n1660_001:0518b04	之中。欲令眾生悉得寂滅。非為寂滅少分眾	之 中 欲 令 眾 生 悉 得 寂 滅 非 為 寂 滅 少 分 眾 
T32n1660_001:0518b05	生。以是深心寬大故。一切眾生皆應禮敬。何	生 以 是 深 心 寬 大 故 一 切 眾 生 皆 應 禮 敬 何 
T32n1660_001:0518b06	者為如來教量。如世尊說迦葉。譬如新月便	者 為 如 來 教 量 如 世 尊 說 迦 葉 譬 如 新 月 便 
T32n1660_001:0518b07	應作禮。非為滿月。如是迦葉。若信我者。應	應 作 禮 非 為 滿 月 如 是 迦 葉 若 信 我 者 應 
T32n1660_001:0518b08	當禮敬諸菩薩等。非為如來。何以故。從於菩	當 禮 敬 諸 菩 薩 等 非 為 如 來 何 以 故 從 於 菩 
T32n1660_001:0518b09	薩出如來故。又聲聞乘中亦說。	薩 出 如 來 故 又 聲 聞 乘 中 亦 說 
T32n1660_001:0518b10	　於彼知法者　　若老若年少	 於 彼 知 法 者 若 老 若 年 少 
T32n1660_001:0518b11	　應供養恭敬　　如梵志事火	 應 供養恭敬 如 梵 志 事 火 
T32n1660_001:0518b12	以是故。諸菩薩等。次於佛後皆應供養。如偈	以 是 故 諸 菩 薩 等 次 於 佛 後 皆 應 供 養 如 偈 
T32n1660_001:0518b13	說。	說 
T32n1660_001:0518b14	　紹持佛種者　　勝餘少分行	 紹 持 佛 種 者 勝 餘 少 分 行 
T32n1660_001:0518b15	　是故諸菩薩　　次佛後供養	 是 故 諸 菩 薩 次 佛 後 供 養 
T32n1660_001:0518b16	　慈與虛空等　　普遍諸眾生	 慈 與虛空等 普 遍 諸 眾 生 
T32n1660_001:0518b17	　是故最勝子　　次佛後供養	 是 故 最 勝 子 次 佛 後 供 養 
T32n1660_001:0518b18	　於諸眾生類　　大悲猶如子	 於 諸 眾 生 類 大 悲 猶 如 子 
T32n1660_001:0518b19	　是故此佛子　　次佛後供養	 是 故 此 佛 子 次 佛 後 供 養 
T32n1660_001:0518b20	　悲心利眾生　　無二似虛空	 悲 心 利 眾 生 無 二 似 虛 空 
T32n1660_001:0518b21	　是故無畏者　　次佛後供養	 是 故 無 畏 者 次 佛 後 供 養 
T32n1660_001:0518b22	　一切時如父　　增長諸眾生	 一 切 時 如 父 增 長 諸 眾 生 
T32n1660_001:0518b23	　是故諸菩薩　　次佛後供養	 是 故 諸 菩 薩 次 佛 後 供 養 
T32n1660_001:0518b24	　猶如地水火　　眾生常受用	 猶 如 地 水 火 眾 生 常 受 用 
T32n1660_001:0518b25	　是故施樂者　　次佛後供養	 是 故 施 樂 者 次 佛 後 供 養 
T32n1660_001:0518b26	　唯為利眾生　　捨離自樂因	 唯 為 利 眾 生 捨 離 自 樂 因 
T32n1660_001:0518b27	　是故彼一切　　次佛後供養	 是 故 彼 一 切 次 佛 後 供 養 
T32n1660_001:0518b28	　佛及佛之餘　　皆從初心出	 佛 及 佛 之 餘 皆 從 初 心 出 
T32n1660_001:0518b29	　是故諸菩薩　　次佛後供養	 是 故 諸 菩 薩 次 佛 後 供 養 
T32n1660_001:0518c01	問尊者已正說資糧教緣起。今應說資糧體。	問 尊 者 已 正 說 資 糧 教 緣 起 今 應 說 資 糧 體 
T32n1660_001:0518c02	答。	答 
T32n1660_001:0518c03	　既為菩薩母　　亦為諸佛母	 既 為 菩 薩 母 亦 為 諸 佛 母 
T32n1660_001:0518c04	　般若波羅蜜　　是覺初資糧	 般 若 波 羅 蜜 是 覺 初 資 糧 
T32n1660_001:0518c05	以般若波羅蜜是諸菩薩母故。為菩提初資	以 般 若 波 羅 蜜 是 諸 菩 薩 母 故 為 菩 提 初 資 
T32n1660_001:0518c06	糧。何以故。以最勝故。如諸身根中眼根最	糧 何 以 故 以 最 勝 故 如 諸 身 根 中 眼 根 最 
T32n1660_001:0518c07	勝。諸身分中頭為最勝。諸波羅蜜中般若波	勝 諸 身 分 中 頭 為 最 勝 諸波羅蜜 中 般 若 波 
T32n1660_001:0518c08	羅蜜最勝亦如是。以般若波羅蜜最勝故。為	羅 蜜 最 勝 亦 如 是 以 般 若 波 羅 蜜 最 勝 故 為 
T32n1660_001:0518c09	初資糧。又前行故。如諸法中信為前行。諸	初 資 糧 又 前 行 故 如 諸 法 中 信 為 前 行 諸 
T32n1660_001:0518c10	波羅蜜中般若波羅蜜前行亦如是。以彼陀	波 羅 蜜 中 般 若 波 羅 蜜 前 行 亦 如 是 以 彼 陀 
T32n1660_001:0518c11	那若不迴向菩提。則非陀那波羅蜜。如是尸	那 若 不 迴向菩提 則 非 陀 那 波 羅 蜜 如 是 尸 
T32n1660_001:0518c12	羅等不迴向菩提亦非尸羅等波羅蜜。迴向	羅 等 不 迴向菩提 亦 非 尸 羅 等 波 羅 蜜 迴 向 
T32n1660_001:0518c13	菩提即是般若。由般若前行故能迴向。以是	菩 提 即 是 般 若 由 般 若 前 行 故 能 迴 向 以 是 
T32n1660_001:0518c14	前行故。諸波羅蜜中般若波羅蜜。為菩提初	前 行 故 諸波羅蜜 中 般 若 波 羅 蜜 為 菩 提 初 
T32n1660_001:0518c15	資糧。又是諸波羅蜜。三輪淨因體故。以般	資 糧 又 是 諸波羅蜜 三 輪 淨 因 體 故 以 般 
T32n1660_001:0518c16	若波羅蜜為諸波羅蜜三輪淨因體。是故般	若 波 羅 蜜 為 諸波羅蜜 三 輪 淨 因 體 是 故 般 
T32n1660_001:0518c17	若波羅蜜。為菩提初資糧。三輪淨者。菩薩	若 波 羅 蜜 為 菩 提 初 資 糧 三 輪 淨 者 菩 薩 
T32n1660_001:0518c18	於般若波羅蜜中行布施時。不念自身。以離	於 般 若 波 羅 蜜 中 行 布 施 時 不 念 自 身 以 離 
T32n1660_001:0518c19	取自身故。不念受者差別。以斷一切處分別	取 自 身 故 不 念 受 者 差 別 以 斷 一 切 處 分 別 
T32n1660_001:0518c20	故。不念施果。以諸法不來不出相故。如是	故 不 念 施 果 以 諸 法 不 來 不 出 相 故 如 是 
T32n1660_001:0518c21	菩薩得三輪淨施。如淨施淨戒等亦如是。以	菩 薩 得 三 輪 淨 施 如 淨 施 淨 戒 等 亦 如 是 以 
T32n1660_001:0518c22	此般若波羅蜜是彼諸波羅蜜三輪淨因體	此 般 若 波 羅 蜜 是 彼 諸波羅蜜 三 輪 淨 因 體 
T32n1660_001:0518c23	故。般若波羅蜜為菩提初資糧。又大果故。般	故 般 若 波 羅 蜜 為 菩 提 初 資 糧 又 大 果 故 般 
T32n1660_001:0518c24	若波羅蜜大果勝諸波羅蜜。如經說。	若 波 羅 蜜 大 果 勝 諸波羅蜜 如 經 說 
T32n1660_001:0518c25	　菩提心福德　　及以攝受法	 菩 提 心 福 德 及 以 攝 受 法 
T32n1660_001:0518c26	　於空若信解　　價勝十六分	 於 空 若 信 解 價 勝 十 六 分 
T32n1660_001:0518c27	鞞羅摩經中大果因緣。此中應說。以是大果	鞞 羅 摩 經 中 大 果 因 緣 此 中 應 說 以 是 大 果 
T32n1660_001:0518c28	故。般若波羅蜜為菩提初資糧。	故 般 若 波 羅 蜜 為 菩 提 初 資 糧 
T32n1660_001:0518c29	問何故般若波羅蜜。得為菩薩母。	問 何 故 般 若 波 羅 蜜 得 為 菩 薩 母 
T32n1660_001:0519a01	答以能生故。方便所攝般若生諸菩薩。令求	答 以 能 生 故 方便所攝 般 若 生 諸 菩 薩 令 求 
T32n1660_001:0519a02	無上菩提。不求聲聞獨覺。以是生佛體因故。	無上菩提 不 求 聲聞獨覺 以 是 生 佛 體 因 故 
T32n1660_001:0519a03	般若波羅蜜為菩薩母。又置於五波羅蜜中	般 若 波 羅 蜜 為 菩 薩 母 又 置 於 五波羅蜜 中 
T32n1660_001:0519a04	故。如言冥鉢囉膩波低也。冥為性。鉢囉膩	故 如 言 冥 鉢 囉 膩 波 低 也 冥 為 性 鉢 囉 膩 
T32n1660_001:0519a05	波低為誦。即此性相是為摩多(摩多翻為母於字聲論中摩多字從	波 低 為 誦 即 此 性 相 是 為 摩 多 摩 多 翻 為 母 於 字 聲 論 中 摩 多 字 從 
T32n1660_001:0519a06	冥鉢囉膩波低語中出冥是摩多體性鉢囉膩波低是誦摩多義鉢囉膩波低正翻為置故以置為母義)。	冥 鉢 囉 膩 波 低 語 中 出 冥 是 摩 多 體 性 鉢 囉 膩 波 低 是 誦 摩 多 義 鉢 囉 膩 波 低 正 翻 為 置 故 以 置 為 母 義 
T32n1660_001:0519a07	譬如母生子。時或置床敷。或置地上。般若	譬 如 母 生 子 時 或 置 床 敷 或 置 地 上 般 若 
T32n1660_001:0519a08	波羅蜜亦如是。生彼求菩提菩薩時。置於施	波 羅 蜜 亦 如 是 生 彼 求 菩 提 菩 薩 時 置 於 施 
T32n1660_001:0519a09	等五波羅蜜中。以能置求菩提菩薩故。說般	等 五波羅蜜 中 以 能 置 求 菩 提 菩 薩 故 說 般 
T32n1660_001:0519a10	若波羅蜜為菩薩母。又以量故。如言茫摩泥	若 波 羅 蜜 為 菩 薩 母 又 以 量 故 如 言 茫 摩 泥 
T32n1660_001:0519a11	也。茫為性摩泥為誦。即此性相是為摩多	也 茫 為 性 摩 泥 為 誦 即 此 性 相 是 為 摩 多 
T32n1660_001:0519a12	(於字聲論中摩多字又從茫摩泥語中出茫亦是體性摩泥是誦其義摩泥正翻為量故以量為母義)。譬如	 於 字 聲 論 中 摩 多 字 又 從 茫 摩 泥 語 中 出 茫 亦 是 體 性 摩 泥 是 誦 其 義 摩 泥 正 翻 為 量 故 以 量 為 母 義 譬 如 
T32n1660_001:0519a13	母生子已隨時籌量。如是我子以此食故身	母 生 子 已 隨 時 籌 量 如 是 我 子 以 此 食 故 身 
T32n1660_001:0519a14	增。以此故損減。菩薩亦如是。以般若波羅	增 以 此 故 損 減 菩 薩 亦 如 是 以 般 若 波 羅 
T32n1660_001:0519a15	蜜自量其身。我應如是布施。我應如是持戒	蜜 自 量 其 身 我 應 如 是 布 施 我 應 如 是 持 戒 
T32n1660_001:0519a16	等。以是自量因緣故。說般若波羅蜜為菩薩	等 以 是 自 量 因 緣 故 說 般 若 波 羅 蜜 為 菩 薩 
T32n1660_001:0519a17	母。又以斟量故。譬如量物有鉢邏薩他。有	母 又 以 斟 量 故 譬 如 量 物 有 鉢 邏 薩 他 有 
T32n1660_001:0519a18	阿宅迦。有突嚧挐。有佉梨底等(如此間合升斗斛之類)斟	阿 宅 迦 有 突 嚧 挐 有 佉 梨 底 等 如 此 間 合 升 斗 斛 之 類 斟 
T32n1660_001:0519a19	量諸菩薩亦如是。此初發心。此修行。此得	量 諸 菩 薩 亦 如 是 此 初 發 心 此 修 行 此 得 
T32n1660_001:0519a20	忍等。以斟量因緣故。說般若波羅蜜為菩薩	忍 等 以 斟 量 因 緣 故 說 般 若 波 羅 蜜 為 菩 薩 
T32n1660_001:0519a21	母。又以修多羅中誦故。所謂於諸經中作母	母 又 以 修 多 羅 中 誦 故 所 謂 於 諸 經 中 作 母 
T32n1660_001:0519a22	名誦。彼等經中有名稱遍諸佛國菩薩。名毘	名 誦 彼 等 經 中 有 名 稱 遍 諸 佛 國 菩 薩 名 毘 
T32n1660_001:0519a23	摩羅吉利帝。說伽他言(舊云維摩詰者不正)。	摩 羅 吉 利 帝 說 伽 他 言 舊 云 維 摩 詰 者 不 正 
T32n1660_001:0519a24	　般若波羅蜜　　菩薩仁者母	 般 若 波 羅 蜜 菩 薩 仁 者 母 
T32n1660_001:0519a25	　善方便為父　　慈悲以為女	 善 方 便 為 父 慈 悲 以 為 女 
T32n1660_001:0519a26	復有餘經。亦如是誦。以修多羅量故說。般若	復 有 餘 經 亦 如 是 誦 以 修 多 羅 量 故 說 般 若 
T32n1660_001:0519a27	波羅蜜為菩薩母。	波 羅 蜜 為 菩 薩 母 
T32n1660_001:0519a28	問何故般若波羅蜜。亦為諸佛母。	問 何 故 般 若 波 羅 蜜 亦 為 諸 佛 母 
T32n1660_001:0519a29	答以出生及顯示無障礙智故。過去未來現	答 以 出 生 及 顯 示 無障礙智 故 過去未來 現 
T32n1660_001:0519b01	在諸佛。由般若波羅蜜阿含故。煩惱已盡當	在 諸 佛 由 般 若 波 羅 蜜 阿 含 故 煩 惱 已 盡 當 
T32n1660_001:0519b02	盡今盡以是出生故。般若波羅蜜為諸佛母。	盡 今 盡 以 是 出 生 故 般 若 波 羅 蜜 為 諸 佛 母 
T32n1660_001:0519b03	顯示無障礙智者。以過去未來現在諸佛世	顯 示 無障礙智 者 以 過去未來現在 諸 佛 世 
T32n1660_001:0519b04	尊顯示無障礙智皆般若波羅蜜中顯。以是	尊 顯 示 無障礙智 皆 般 若 波 羅 蜜 中 顯 以 是 
T32n1660_001:0519b05	顯示無障礙智故。諸佛亦以般若波羅蜜為	顯 示 無障礙智 故 諸 佛 亦 以 般 若 波 羅 蜜 為 
T32n1660_001:0519b06	母此中有輸盧迦。	母 此 中 有 輸 盧 迦 
T32n1660_001:0519b07	　由大悲相應　　般若波羅蜜	 由 大 悲 相 應 般 若 波 羅 蜜 
T32n1660_001:0519b08	　於無為險岸　　佛子能超過	 於 無 為 險 岸 佛 子 能 超 過 
T32n1660_001:0519b09	　得到無等覺　　利攝諸眾生	 得 到 無 等 覺 利 攝 諸 眾 生 
T32n1660_001:0519b10	　智度為母故　　大人能如是	 智 度 為 母 故 大 人 能 如 是 
T32n1660_001:0519b11	　由得智度故　　乃得成佛體	 由 得 智 度 故 乃 得 成 佛 體 
T32n1660_001:0519b12	　故為諸佛母　　勝仙之所說	 故 為 諸 佛 母 勝 仙 之 所 說 
T32n1660_001:0519b13	何故此名般若波羅蜜。以不與聲聞獨覺共	何 故 此 名 般 若 波 羅 蜜 以 不 與 聲聞獨覺 共 
T32n1660_001:0519b14	故。名般若波羅蜜。於上更無所應知故。名般	故 名 般 若 波 羅 蜜 於 上 更 無 所 應 知 故 名 般 
T32n1660_001:0519b15	若波羅蜜。此智到一切彼岸故。名般若波羅	若 波 羅 蜜 此 智 到 一 切 彼 岸 故 名 般 若 波 羅 
T32n1660_001:0519b16	蜜。此般若波羅蜜餘無能勝故。名般若波羅	蜜 此 般 若 波 羅 蜜 餘 無 能 勝 故 名 般 若 波 羅 
T32n1660_001:0519b17	蜜。三世平等故。名般若波羅蜜。虛空無邊	蜜 三世平等 故 名 般 若 波 羅 蜜 虛 空 無 邊 
T32n1660_001:0519b18	平等故。名般若波羅蜜。如是等勝因緣。如	平 等 故 名 般 若 波 羅 蜜 如 是 等 勝 因 緣 如 
T32n1660_001:0519b19	般若波羅蜜經中說。故名般若波羅蜜。	般若波羅蜜經 中 說 故 名 般 若 波 羅 蜜 
T32n1660_001:0519b20	問已略說菩提初資糧。第二資糧今應說。	問 已 略 說 菩 提 初 資 糧 第 二 資 糧 今 應 說 
T32n1660_001:0519b21	　施戒忍進定　　及此五之餘	 施 戒 忍 進 定 及 此 五 之 餘 
T32n1660_001:0519b22	　皆由智度故　　波羅蜜所攝	 皆 由 智 度 故 波 羅 蜜 所 攝 
T32n1660_001:0519b23	此中陀那波羅蜜。為第二菩提資糧。以般若	此 中 陀 那 波 羅 蜜 為 第 二 菩提資糧 以 般 若 
T32n1660_001:0519b24	前行故。菩薩為菩提而行布施。是故施為第	前 行 故 菩 薩 為 菩 提 而 行 布 施 是 故 施 為 第 
T32n1660_001:0519b25	二資糧。於中生他身意樂。因名布施。非為	二 資 糧 於 中 生 他 身 意 樂 因 名 布 施 非 為 
T32n1660_001:0519b26	作苦。彼有二種。謂財施法施。財施亦有二種。	作 苦 彼 有 二 種 謂 財 施 法 施 財 施 亦 有 二 種 
T32n1660_001:0519b27	謂共識不共識。共識亦有二種。謂內及外。	謂 共 識 不 共 識 共 識 亦 有 二 種 謂 內 及 外 
T32n1660_001:0519b28	若施自身支節。若全身施。是為內施。若施男	若 施 自 身 支 節 若 全 身 施 是 為 內 施 若 施 男 
T32n1660_001:0519b29	女妻妾及二足四足等。是為外施。不共識亦	女 妻 妾 及 二 足 四 足 等 是 為 外 施 不 共 識 亦 
T32n1660_001:0519c01	有二種。謂可食不可食。此有多種若施身	有 二 種 謂 可 食 不 可 食 此 有 多 種 若 施 身 
T32n1660_001:0519c02	內受用飲食等物。是為可食。若施身外受	內 受 用 飲 食 等 物 是 為 可 食 若 施 身 外 受 
