T44n1841_001:0143a24	因明義斷	因 明 義 斷 
T44n1841_001:0143b11	於八極之間。暐曄於六合之內。沼雖不敏。敢	於 八 極 之 間 暐 曄 於 六 合 之 內 沼 雖 不 敏 敢 
T44n1841_001:0143b12	慕高蹤。故輒藻鏡是非。議詳得失。豈只故乖	慕 高 蹤 故 輒 藻 鏡 是 非 議 詳 得 失 豈 只 故 乖 
T44n1841_001:0143b13	前哲。務為成其本宗。冀來鑒忽披。幸知其意	前 哲 務 為 成 其 本 宗 冀 來 鑒 忽 披 幸 知 其 意 
T44n1841_001:0143b14	耳。	耳 
T44n1841_001:0143b15	有人解能立云。若立三支。令他解悟。故名	有 人 解 能 立 云 若 立 三 支 令 他 解 悟 故 名 
T44n1841_001:0143b16	能立。若望因喻先成宗支未許。為成未信必	能 立 若 望 因 喻 先 成 宗 支 未 許 為 成 未 信 必 
T44n1841_001:0143b17	藉能成。因喻既為能成。能成必有所立。即以	藉 能 成 因 喻 既 為 能 成 能 成 必 有 所 立 即 以 
T44n1841_001:0143b18	宗為所立。因喻為能立。其義云何。答若以一	宗 為 所 立 因 喻 為 能 立 其 義 云 何 答 若 以 一 
T44n1841_001:0143b19	向。望於敵論宗他未許。必因喻成故。所立中	向 望 於 敵 論 宗 他 未 許 必 因 喻 成 故 所 立 中 
T44n1841_001:0143b20	者。共量可爾。他自如何。豈可宗支自生不信。	者 共 量 可 爾 他 自 如 何 豈 可 宗 支 自 生 不 信 
T44n1841_001:0143b21	又前說在能立之時。宗豈他家已許。若他已	又 前 說 在 能 立 之 時 宗 豈 他 家 已 許 若 他 已 
T44n1841_001:0143b22	許舉。即相符極成。若他不許。恒在所立之	許 舉 即 相符極成 若 他 不 許 恒 在 所 立 之 
T44n1841_001:0143b23	內。何故前說。宗在能立之中。若云前望生他	內 何 故 前 說 宗 在 能 立 之 中 若 云 前 望 生 他 
T44n1841_001:0143b24	智解。宗居能立之中。若為因喻所成故。在所	智 解 宗 居 能 立 之 中 若 為 因 喻 所 成 故 在 所 
T44n1841_001:0143b25	立之內者。此亦不然。瑜伽對法俱云。所立	立 之 內 者 此 亦 不 然 瑜 伽 對 法 俱 云 所 立 
T44n1841_001:0143b26	有二。謂自性差別。能立有八。謂宗因等。理門	有 二 謂 自性差別 能 立 有 八 謂 宗 因 等 理 門 
T44n1841_001:0143b27	亦云。由宗因喻。辨說他未了義。說名能立。不	亦 云 由 宗 因 喻 辨 說 他 未 了 義 說 名 能 立 不 
T44n1841_001:0143b28	說他智在所立中。何故今者。說宗望他即為	說 他 智 在 所 立 中 何 故 今 者 說 宗 望 他 即 為 
T44n1841_001:0143b29	能立。又宗他既不許。何得說為能立。故理門	能 立 又 宗 他 既 不 許 何 得 說 為 能 立 故 理 門 
T44n1841_001:0143c01	論云。唯有共許決定言詞。說名能立。宗不共	論 云 唯 有 共 許 決 定 言 詞 說 名 能 立 宗 不 共 
T44n1841_001:0143c02	許。故非望他說為能立。說能立者。即是言宗。	許 故 非 望 他 說 為 能 立 說 能 立 者 即 是 言 宗 
T44n1841_001:0143c03	望所詮義名為能立。為所立者。宗言雖說。義	望 所 詮 義 名 為 能 立 為 所 立 者 宗 言 雖 說 義 
T44n1841_001:0143c04	未顯決。假因喻成。言義方顯。故名所立。若望	未 顯 決 假 因 喻 成 言 義 方 顯 故 名 所 立 若 望 
T44n1841_001:0143c05	敵者。宗名所立。以他不許。今成立故。雖本立	敵 者 宗 名 所 立 以 他 不 許 今 成 立 故 雖 本 立 
T44n1841_001:0143c06	義為生他解。不望他智說為能立。然此論云。	義 為 生 他 解 不 望 他 智 說 為 能 立 然 此 論 云 
T44n1841_001:0143c07	已說宗等如是多言。開悟他時。說名能立者。	已 說 宗 等 如 是 多 言 開 悟 他 時 說 名 能 立 者 
T44n1841_001:0143c08	此據因果合說。以由因喻成宗顯決。他智得	此 據 因 果 合 說 以 由 因 喻 成 宗 顯 決 他 智 得 
T44n1841_001:0143c09	生。若其不能成彼所立。令其顯決。他智不起	生 若 其 不 能 成 彼 所 立 令 其 顯 決 他 智 不 起 
T44n1841_001:0143c10	故。比量為因。他智為果。能立所成離過。圓滿	故 比 量 為 因 他 智 為 果 能 立 所 成 離 過 圓 滿 
T44n1841_001:0143c11	能為因故。由此理門云。今此唯依證了因故。	能 為 因 故 由 此 理 門 云 今 此 唯 依 證 了 因 故 
T44n1841_001:0143c12	宗生他智。豈名證了。又云。辨說他未了義。說	宗 生 他 智 豈 名 證 了 又 云 辨 說 他 未 了 義 說 
T44n1841_001:0143c13	名能立。說他智為所立。曾無教故。若會今古	名 能 立 說 他 智 為 所 立 曾 無 教 故 若 會 今 古 
T44n1841_001:0143c14	能所立殊。如本疏說。	能 所 立 殊 如 本 疏 說 
T44n1841_001:0143c15	有人云。然舊來相傳皆作解云。無著世親已	有 人 云 然 舊 來 相 傳 皆 作 解 云 無 著 世 親 已 
T44n1841_001:0143c16	前。說八為能立。自性差別二為所立。乃至即	前 說 八 為 能 立 自性差別 二 為 所 立 乃 至 即 
T44n1841_001:0143c17	牒先疏。依於聲明為難。并疏解云。因有三相。	牒 先 疏 依 於 聲 明 為 難 并 疏 解 云 因 有 三 相 
T44n1841_001:0143c18	因一喻二。皆名多言。由此定知。宗是所立。世	因 一 喻 二 皆 名 多 言 由 此 定 知 宗 是 所 立 世 
T44n1841_001:0143c19	親已前。顯諸所諍。不過自性差別二種。故是	親 已 前 顯 諸 所 諍 不 過 自性差別 二 種 故 是 
T44n1841_001:0143c20	所立宗為能立。立此二故。陳那已後。以此二	所 立 宗 為 能 立 立 此 二 故 陳 那 已 後 以 此 二 
T44n1841_001:0143c21	種。未互差別成不相離。不是所諍。此意云。	種 未 互 差 別 成 不 相 離 不 是 所 諍 此 意 云 
T44n1841_001:0143c22	先德一向定判。陳那已後。宗為所立。已前宗	先 德 一 向 定 判 陳 那 已 後 宗 為 所 立 已 前 宗 
T44n1841_001:0143c23	為能立。不許互通。故云今依自解者。乃至云。	為 能 立 不 許 互 通 故 云 今 依 自 解 者 乃 至 云 
T44n1841_001:0143c24	古師亦說宗為所立。廣教理成。陳那宗亦能	古 師 亦 說 宗 為 所 立 廣 教 理 成 陳 那 宗 亦 能 
T44n1841_001:0143c25	成多理教立。其義云何。答此乃廣前所釋。何	成 多 理 教 立 其 義 云 何 答 此 乃 廣 前 所 釋 何 
T44n1841_001:0143c26	云唯自新知。故本疏云。陳那已後略有三	云 唯 自 新 知 故 本 疏 云 陳 那 已 後 略 有 三 
T44n1841_001:0143c27	釋。一云宗言所詮義為所立。故瑜伽論第十	釋 一 云 宗 言 所 詮 義 為 所 立 故 瑜 伽 論 第 十 
T44n1841_001:0143c28	五云。所成立義有二種。一自性。二差別能成	五 云 所 成 立 義 有 二 種 一 自 性 二 差 別 能 成 
T44n1841_001:0143c29	立法有八種。其宗能詮之言。及因等言義。皆	立 法 有 八 種 其 宗 能 詮 之 言 及 因 等 言 義 皆 
T44n1841_001:0144a01	名能立。其宗之言。因喻成故。雖亦所立。彼於	名 能 立 其 宗 之 言 因 喻 成 故 雖 亦 所 立 彼 於 
T44n1841_001:0144a02	次說。何故先立宗耶。為先顯示自所愛樂宗	次 說 何 故 先 立 宗 耶 為 先 顯 示 自 所 愛 樂 宗 
T44n1841_001:0144a03	義。故亦所立。非定所立。能成義故。猶如於	義 故 亦 所 立 非 定 所 立 能 成 義 故 猶 如 於 
T44n1841_001:0144a04	因。喻對所成故。但名能立。宗所詮義。定唯	因 喻 對 所 成 故 但 名 能 立 宗 所 詮 義 定 唯 
T44n1841_001:0144a05	所立。獨名所成。此即具釋宗通能所成。何	所 立 獨 名 所 成 此 即 具 釋 宗 通 能 所 成 何 
T44n1841_001:0144a06	言先不說。二云。總聚自性差別。教理。俱是所	言 先 不 說 二 云 總 聚 自性差別 教 理 俱 是 所 
T44n1841_001:0144a07	立。論俱名義。總中一分。對敵所申。若言若	立 論 俱 名 義 總 中 一 分 對 敵 所 申 若 言 若 
T44n1841_001:0144a08	義。自性差別。俱名為宗。即名能立。雖此對	義 自性差別 俱 名 為 宗 即 名 能 立 雖 此 對 
T44n1841_001:0144a09	宗。亦是所立。能立總故。得能立名。故陳那	宗 亦 是 所 立 能 立 總 故 得 能 立 名 故 陳 那 
T44n1841_001:0144a10	等。宗名所立。與瑜伽等理不相違。瑜伽等不	等 宗 名 所 立 與 瑜 伽 等 理 不 相 違 瑜 伽 等 不 
T44n1841_001:0144a11	說宗非一向唯能立故。此亦俱通豈不明說。	說 宗 非 一 向 唯 能 立 故 此 亦 俱 通 豈 不 明 說 
T44n1841_001:0144a12	三云。自性差別。合所依義。名為所立。能依合	三 云 自性差別 合 所 依 義 名 為 所 立 能 依 合 
T44n1841_001:0144a13	宗。說為能立。總立別故。非此總宗定唯能立。	宗 說 為 能 立 總 立 別 故 非 此 總 宗 定 唯 能 立 
T44n1841_001:0144a14	對敵合申。因喻成故。亦是所立。由非定所立。	對 敵 合 申 因 喻 成 故 亦 是 所 立 由 非 定 所 立 
T44n1841_001:0144a15	故得能立名。陳那但以共許因喻。成他未許。	故 得 能 立 名 陳 那 但 以 共 許 因 喻 成 他 未 許 
T44n1841_001:0144a16	他未許者。唯是合宗。宗為所立。自性差別。但	他 未 許 者 唯 是 合 宗 宗 為 所 立 自性差別 但 
T44n1841_001:0144a17	是宗依。非正所立。所立之具。所望義殊。不	是 宗 依 非 正 所 立 所 立 之 具 所 望 義 殊 不 
T44n1841_001:0144a18	相違也。不爾慈氏無著天親。豈不解因明。說	相 違 也 不 爾 慈 氏 無 著 天 親 豈 不 解 因 明 說 
T44n1841_001:0144a19	所為能立(此亦明說)。此即撮諸幾要。提彼宏綱足	所 為 能 立 此 亦 明 說 此 即 撮 諸 幾 要 提 彼 宏 綱 足 
T44n1841_001:0144a20	悉不違。何勞煩重。諸論互申異義。並不相違。	悉 不 違 何 勞 煩 重 諸 論 互 申 異 義 並 不 相 違 
T44n1841_001:0144a21	若言陳那文義盡同舊師。天親豈不解因明。	若 言 陳 那 文 義 盡 同 舊 師 天 親 豈 不 解 因 明 
T44n1841_001:0144a22	許令乖異。又復陳那立宗因喻。即說皆同古	許 令 乖 異 又 復 陳 那 立 宗 因 喻 即 說 皆 同 古 
T44n1841_001:0144a23	師能立。現比等支。何故即許除簡。又如瑜伽	師 能 立 現 比 等 支 何 故 即 許 除 簡 又 如 瑜 伽 
T44n1841_001:0144a24	八支之內。開喻無合結支。雜集能立八中。合	八 支 之 內 開 喻 無 合 結 支 雜 集 能 立 八 中 合 
T44n1841_001:0144a25	喻加於合結。若云合結即同類異類。名目何	喻 加 於 合 結 若 云 合 結 即 同 類 異 類 名 目 何 
T44n1841_001:0144a26	不相當。如實論亦五支合結。云何即別獨許	不 相 當 如 實 論 亦 五 支 合 結 云 何 即 別 獨 許 
T44n1841_001:0144a27	陳那遮五能立。說彼唯言。不聽遮於八支。	陳 那 遮 五 能 立 說 彼 唯 言 不 聽 遮 於 八 支 
T44n1841_001:0144a28	唯三外有能立。若云如實非真道理。此語未	唯 三 外 有 能 立 若 云 如 實 非 真 道 理 此 語 未 
T44n1841_001:0144a29	是誠言。若亦許解因明。何故開遮不等。又如	是 誠 言 若 亦 許 解 因 明 何 故 開 遮 不 等 又 如 
T44n1841_001:0144b01	古師立量。即加聖教為三。陳那為自悟門。量	古 師 立 量 即 加 聖 教 為 三 陳 那 為 自 悟 門 量 
T44n1841_001:0144b02	中但唯二種。故知。諸論開合親疎不倫。取捨	中 但 唯 二 種 故 知 諸 論 開 合 親 疎 不 倫 取 捨 
T44n1841_001:0144b03	異途各據一義。其中會釋。具本疏辨。由此更	異 途 各 據 一 義 其 中 會 釋 具 本 疏 辨 由 此 更 
T44n1841_001:0144b04	廣以理教徵。即為徒設。	廣 以 理 教 徵 即 為 徒 設 
T44n1841_001:0144b05	有人云。若因一喻二為多言名能立者。於中	有 人 云 若 因 一 喻 二 為 多 言 名 能 立 者 於 中 
T44n1841_001:0144b06	隨闕。名能立過。如闕異喻。應是過收。若言是	隨 闕 名 能 立 過 如 闕 異 喻 應 是 過 收 若 言 是 
T44n1841_001:0144b07	過。違掌珍論。彼闕異喻。非過故也。此義如	過 違 掌 珍 論 彼 闕 異 喻 非 過 故 也 此 義 如 
T44n1841_001:0144b08	何。答亦不然。誰言彼論比量無過。唯識論云。	何 答 亦 不 然 誰 言 彼 論 比 量 無 過 唯 識 論 云 
T44n1841_001:0144b09	有依大乘遣相空理。依似比量。撥無此識及	有 依 大 乘 遣 相 空 理 依 似 比 量 撥 無 此 識 及 
T44n1841_001:0144b10	一切法。若云彼說餘量。非掌珍者。應舉誠言。	一 切 法 若 云 彼 說 餘 量 非 掌 珍 者 應 舉 誠 言 
T44n1841_001:0144b11	又此量中。豈不撥無一切法耶。又理門論	又 此 量 中 豈 不 撥 無 一 切 法 耶 又 理 門 論 
T44n1841_001:0144b12	云。為必具二譬喻言詞。方成能立。為如其	云 為 必 具 二 譬 喻 言 詞 方 成 能 立 為 如 其 
T44n1841_001:0144b13	因。但隨說一。論自答云。若就正理。應具說	因 但 隨 說 一 論 自 答 云 若 就 正 理 應 具 說 
T44n1841_001:0144b14	二。由是具足。顯示所立。乃至云。若有於此一	二 由 是 具 足 顯 示 所 立 乃 至 云 若 有 於 此 一 
T44n1841_001:0144b15	分已成。隨說一分亦成能立。准彼論意。於二	分 已 成 隨 說 一 分 亦 成 能 立 准 彼 論 意 於 二 
T44n1841_001:0144b16	喻中。若隨解一。不舉非過。若俱妄解。待說方	喻 中 若 隨 解 一 不 舉 非 過 若 俱 妄 解 待 說 方 
T44n1841_001:0144b17	悟。要具說之。故云若就正理。應具說二。若不	悟 要 具 說 之 故 云 若 就 正 理 應 具 說 二 若 不 
T44n1841_001:0144b18	說者。明知不正。又此論云。又初能立。缺減	說 者 明 知 不 正 又 此 論 云 又 初 能 立 缺 減 
T44n1841_001:0144b19	過性。若云喻總言闕一不成闕。亦應宗總言	過 性 若 云 喻 總 言 闕 一 不 成 闕 亦 應 宗 總 言 
T44n1841_001:0144b20	闕一不成闕。又解。誰言掌珍。闕於異喻。異	闕 一 不 成 闕 又 解 誰 言 掌 珍 闕 於 異 喻 異 
T44n1841_001:0144b21	喻本為遮因濫行。無依因不濫。去正無宗	喻 本 為 遮 因 濫 行 無 依 因 不 濫 去 正 無 宗 
T44n1841_001:0144b22	因。即是異喻。故理門論釋二喻云。前是遮詮。	因 即 是 異 喻 故 理 門 論 釋 二 喻 云 前 是 遮 詮 
T44n1841_001:0144b23	後唯止濫。乃至云。由是雖對不立實有太虛	後 唯 止 濫 乃 至 云 由 是 雖 對 不 立 實 有 太 虛 
T44n1841_001:0144b24	空等。而得顯示無有宗處無因義成。若無異	空 等 而 得 顯 示 無 有 宗 處 無 因 義 成 若 無 異 
T44n1841_001:0144b25	所依。異喻不得立。此言何用。若爾既具支。何	所 依 異 喻 不 得 立 此 言 何 用 若 爾 既 具 支 何 
T44n1841_001:0144b26	名似比量。答犯餘過。廣如別疏。	名 似 比 量 答 犯 餘 過 廣 如 別 疏 
T44n1841_001:0144b27	有人云。陳那既乖古說。何故竟無論文破斥。	有 人 云 陳 那 既 乖 古 說 何 故 竟 無 論 文 破 斥 
T44n1841_001:0144b28	其事云何。答此亦不然。陳那明古說。非可	其 事 云 何 答 此 亦 不 然 陳 那 明 古 說 非 可 
T44n1841_001:0144b29	須破斥。但取義異故不破斥。如世親說五能	須 破 斥 但 取 義 異 故 不 破 斥 如 世 親 說 五 能 
T44n1841_001:0144c01	立。亦不非於舊陳。陳那雖三分能成。何假非	立 亦 不 非 於 舊 陳 陳 那 雖 三 分 能 成 何 假 非 
T44n1841_001:0144c02	於古說。設云破古因明師者。餘不正者。非瑜	於 古 說 設 云 破 古 因 明 師 者 餘 不 正 者 非 瑜 
T44n1841_001:0144c03	伽等。然有說彼瑜伽等非。自餘之過。非前所	伽 等 然 有 說 彼 瑜 伽 等 非 自 餘 之 過 非 前 所 
T44n1841_001:0144c04	引疏家之咎。若云三分說宗等三者。既許陳	引 疏 家 之 咎 若 云 三 分 說 宗 等 三 者 既 許 陳 
T44n1841_001:0144c05	那宗亦所成。能立之中。豈唯三也。若云據宗	那 宗 亦 所 成 能 立 之 中 豈 唯 三 也 若 云 據 宗 
T44n1841_001:0144c06	在能立。說為三分者。若宗在所立。即應唯二	在 能 立 說 為 三 分 者 若 宗 在 所 立 即 應 唯 二 
T44n1841_001:0144c07	分。若爾何故。虛設唯言。二亦能故。若云宗在	分 若爾何故 虛 設 唯 言 二 亦 能 故 若 云 宗 在 
T44n1841_001:0144c08	所立。即開喻為三者。由此故知。言三分者。但	所 立 即 開 喻 為 三 者 由 此 故 知 言 三 分 者 但 
T44n1841_001:0144c09	一因二喻。又復古師。宗為能立。陳那順古言	一 因 二 喻 又 復 古 師 宗 為 能 立 陳 那 順 古 言 
T44n1841_001:0144c10	中不違。所以理門等中。能立皆言宗等。文同	中 不 違 所 以 理 門 等 中 能 立 皆 言 宗 等 文 同 
T44n1841_001:0144c11	意異。乃翻譯之主。能知陳那宗許能成。亦是	意 異 乃 翻 譯 之 主 能 知 陳 那 宗 許 能 成 亦 是 
T44n1841_001:0144c12	先德已了。但為今造論意。正明宗在所立之	先 德 已 了 但 為 今 造 論 意 正 明 宗 在 所 立 之 
T44n1841_001:0144c13	中。釋宗為能立之言。疏中亦以具解。餘者不	中 釋 宗 為 能 立 之 言 疏 中 亦 以 具 解 餘 者 不 
T44n1841_001:0144c14	悉。執說皆同。未悟作者本意有別。疏主。既當	悉 執 說 皆 同 未 悟 作 者 本 意 有 別 疏 主 既 當 
T44n1841_001:0144c15	入室親承指撝。況復大小因明明說。故理門	入 室 親 承 指 撝 況 復 大 小 因 明 明 說 故 理 門 
T44n1841_001:0144c16	頌云。是中唯取隨自意樂。為所成立說名	頌 云 是 中 唯 取 隨 自 意 樂 為 所 成 立 說 名 
T44n1841_001:0144c17	宗。不說能立說名宗。故釋中云。故此多言。於	宗 不 說 能 立 說 名 宗 故 釋 中 云 故 此 多 言 於 
T44n1841_001:0144c18	論式等。說名能立。即顯順古。正釋即云。言是	論 式 等 說 名 能 立 即 顯 順 古 正 釋 即 云 言 是 
T44n1841_001:0144c19	中者。是簡持義。是宗等中故名是中。言唯者。	中 者 是 簡 持 義 是 宗 等 中 故 名 是 中 言 唯 者 
T44n1841_001:0144c20	是簡別義。簡別能立說為所立。此正明說若	是 簡 別 義 簡 別 能 立 說 為 所 立 此 正 明 說 若 
T44n1841_001:0144c21	今宗亦能立。何故須唯。又云。樂為所立。謂不	今 宗 亦 能 立 何 故 須 唯 又 云 樂 為 所 立 謂 不 
T44n1841_001:0144c22	樂為能成立性。又云。若爾。既取智為了因。是	樂 為 能 成 立 性 又 云 若 爾 既 取 智 為 了 因 是 
T44n1841_001:0144c23	言便失能成立義。此亦不然。令彼憶念本極	言 便 失 能 成 立 義 此 亦 不 然 令 彼 憶 念 本 極 
T44n1841_001:0144c24	成故。及此論中。皆無正釋宗為能立。既云唯	成 故 及 此 論 中 皆 無 正 釋 宗 為 能 立 既 云 唯 
T44n1841_001:0144c25	此三分說名能立。故知。一因二喻。以立宗時	此 三 分 說 名 能 立 故 知 一 因 二 喻 以 立 宗 時 
T44n1841_001:0144c26	他智未生。要待因喻。他方解故。藉因三相。比	他 智 未 生 要 待 因 喻 他 方 解 故 藉 因 三 相 比 
T44n1841_001:0144c27	智生故。故此論云。言比量者。謂藉眾相。而	智 生 故 故 此 論 云 言 比 量 者 謂 藉 眾 相 而 
T44n1841_001:0144c28	觀於義。乃至云。由彼為因於所比義。有正智	觀 於 義 乃 至 云 由 彼 為 因 於 所 比 義 有 正 智 
T44n1841_001:0144c29	生。理門云。謂智是前智。餘從如所說能立因	生 理 門 云 謂 智 是 前 智 餘 從 如 所 說 能 立 因 
T44n1841_001:0145a01	生。是緣彼義。不說從彼能立宗生。又宗不	生 是 緣 彼 義 不 說 從 彼 能 立 宗 生 又 宗 不 
T44n1841_001:0145a02	共許。立時他智不生。因喻共成。引證彼智方	共 許 立 時 他 智 不 生 因 喻 共 成 引 證 彼 智 方 
T44n1841_001:0145a03	起。故理門云。唯有共許決定言詞。說名能立。	起 故 理 門 云 唯 有 共 許 決 定 言 詞 說 名 能 立 
T44n1841_001:0145a04	又理門云。又比量中。唯見此理。若所比處。此	又 理 門 云 又 比 量 中 唯 見 此 理 若 所 比 處 此 
T44n1841_001:0145a05	相定遍於餘同類。念此定有。於彼無處。念此	相 定 遍 於 餘 同 類 念 此 定 有 於 彼 無 處 念 此 
T44n1841_001:0145a06	遍無。是故。由此生決定解。故知。所比即是所	遍 無 是 故 由 此 生 決 定 解 故 知 所 比 即 是 所 
T44n1841_001:0145a07	立。由此解生。即因三相。又云。故定三相。唯	立 由 此 解 生 即 因 三 相 又 云 故 定 三 相 唯 
T44n1841_001:0145a08	為顯因。由此道理。雖一切分皆能為因。顯了	為 顯 因 由此道理 雖 一 切 分 皆 能 為 因 顯 了 
T44n1841_001:0145a09	所立。然唯一分。且說為因。故唯三言。定目因	所 立 然 唯 一 分 且 說 為 因 故 唯 三 言 定 目 因 
T44n1841_001:0145a10	喻。若言陳那。定判其宗在能成者。釋中何	喻 若 言 陳 那 定 判 其 宗 在 能 成 者 釋 中 何 
T44n1841_001:0145a11	無正說。但見標結順古之文。即定判為能立。	無 正 說 但 見 標 結 順 古 之 文 即 定 判 為 能 立 
T44n1841_001:0145a12	其若船行逐水處異船同。執此定判能成。可	其 若 船 行 逐 水 處 異 船 同 執 此 定 判 能 成 可 
T44n1841_001:0145a13	謂見船執依舊水。昔聞刻舟求劍。斯之謂	謂 見 船 執 依 舊 水 昔 聞 刻 舟 求 劍 斯 之 謂 
T44n1841_001:0145a14	矣。	矣 
T44n1841_001:0145a15	有人正釋論文解能立中云。依舊解云。世親	有 人 正 釋 論 文 解 能 立 中 云 依 舊 解 云 世 親 
T44n1841_001:0145a16	已前。舉宗等取因喻。瑜伽總名能立。由有多	已 前 舉 宗 等 取 因 喻 瑜 伽 總 名 能 立 由 有 多 
T44n1841_001:0145a17	言故。陳那已後。但取因喻。不取其宗。取所等	言 故 陳 那 已 後 但 取 因 喻 不 取 其 宗 取 所 等 
T44n1841_001:0145a18	因喻。乃至云。自釋教東流。皆為此解。准依理	因 喻 乃 至 云 自 釋 教 東 流 皆 為 此 解 准 依 理 
T44n1841_001:0145a19	教。即理未然。其義云何。答此亦不然。此還	教 即 理 未 然 其 義 云 何 答 此 亦 不 然 此 還 
T44n1841_001:0145a20	將元一向唯說。陳那以宗唯在所立。不在能	將 元 一 向 唯 說 陳 那 以 宗 唯 在 所 立 不 在 能 
T44n1841_001:0145a21	立。古之會釋所引如前。但是據今陳那論意。	立 古 之 會 釋 所 引 如 前 但 是 據 今 陳 那 論 意 
T44n1841_001:0145a22	唯說因喻名為能立。廣顯同異。理教如前。此	唯 說 因 喻 名 為 能 立 廣 顯 同 異 理 教 如 前 此 
T44n1841_001:0145a23	乃重陳。繁不再述。	乃 重 陳 繁 不 再 述 
T44n1841_001:0145a24	有人云。如立量破他。宗因喻三。俱為能破。立	有 人 云 如 立 量 破 他 宗 因 喻 三 俱 為 能 破 立 
T44n1841_001:0145a25	量為申正義。何故獨簡其宗。其義如何。答此	量 為 申 正 義 何 故 獨 簡 其 宗 其 義 如 何 答 此 
T44n1841_001:0145a26	亦不例。如破他中有出過立量二破。豈可能	亦 不 例 如 破 他 中 有 出 過 立 量 二 破 豈 可 能 
T44n1841_001:0145a27	立亦令立量出過二立。又破他出過。隨一一	立 亦 令 立 量 出 過 二 立 又 破 他 出 過 隨 一 一 
T44n1841_001:0145a28	支。皆成能破。豈可量立。隨一一支。皆成能	支 皆 成 能 破 豈 可 量 立 隨 一 一 支 皆 成 能 
T44n1841_001:0145a29	立。又立量明宗通能所立。豈立量破宗。通能	立 又 立 量 明 宗 通 能 所 立 豈 立 量 破 宗 通 能 
T44n1841_001:0145b01	所破。又復誰言。能破亦復通宗。因喻定故。可	所 破 又 復 誰 言 能 破 亦 復 通 宗 因 喻 定 故 可 
T44n1841_001:0145b02	能破他。宗他不許。何成能破。故理門云。唯有	能 破 他 宗 他 不 許 何 成 能 破 故 理 門 云 唯 有 
T44n1841_001:0145b03	共許決定言詞。說名能立。或名能破。非互不	共 許 決 定 言 詞 說 名 能 立 或 名 能 破 非 互 不 
T44n1841_001:0145b04	成猶豫言詞。復待成故。又過類中。名似能破。	成 猶 豫 言 詞 復 待 成 故 又 過 類 中 名 似 能 破 
T44n1841_001:0145b05	據立量中。是因喻過。翻此能破。故但因喻立	據 立 量 中 是 因 喻 過 翻 此 能 破 故 但 因 喻 立 
T44n1841_001:0145b06	宗。雖為破他。無因他宗不破。故但因喻。唯識	宗 雖 為 破 他 無 因 他 宗 不 破 故 但 因 喻 唯 識 
T44n1841_001:0145b07	第十四。出其宗非。似出過破。不是立量。故無	第 十 四 出 其 宗 非 似 出 過 破 不 是 立 量 故 無 
T44n1841_001:0145b08	立量破他。亦名宗為能破。准此還是例於能	立 量 破 他 亦 名 宗 為 能 破 准 此 還 是 例 於 能 
T44n1841_001:0145b09	立。但應因喻。	立 但 應 因 喻 
T44n1841_001:0145b10	有人云。古人解云。古因明師。或聲為宗。或無	有 人 云 古 人 解 云 古 因 明 師 或 聲 為 宗 或 無 
T44n1841_001:0145b11	常為宗。或合為宗。乃至云相傳。雖有此分別。	常 為 宗 或 合 為 宗 乃 至 云 相 傳 雖 有 此 分 別 
