X57n0963_001:0122b05	北峰教義	北 峰 教 義 
X57n0963_001:0123b15	心之色心乃只心是三千色心三千皆實相相宛然	心 之 色 心 乃 只 心 是 三 千 色 心 三 千 皆 實 相 相 宛 然 
X57n0963_001:0123b16	全體皆空當處即假仍非二邊又即雙照不可以一	全 體 皆 空 當 處 即 假 仍 非 二 邊 又 即 雙 照 不 可 以 一 
X57n0963_001:0123b17	多說安可以有無思若邊若中皆莫能議(文)止觀中	多 說 安 可 以 有 無 思 若 邊 若 中 皆 莫 能 議 文 止 觀 中 
X57n0963_001:0123b18	明一心中理具三千然後結成三諦四明所見相狀	明 一 心 中 理 具 三 千 然 後 結 成 三 諦 四 明 所 見 相 狀 
X57n0963_001:0123b19	略爾豈有圓妙更過於此如何三千唯存假耶二名	略 爾 豈 有 圓 妙 更 過 於 此 如 何 三 千 唯 存 假 耶 二 名 
X57n0963_001:0123b20	隨德用三千三諦法體雖云體一互融而真諦彰法	隨 德 用 三 千 三 諦 法 體 雖 云 體 一 互 融 而 真 諦 彰 法 
X57n0963_001:0123b21	體空德空用俗諦彰法體假德假用中諦彰法體中	體 空 德 空 用 俗 諦 彰 法 體 假 德 假 用 中 諦 彰 法 體 中 
X57n0963_001:0123b22	德中用故荊溪云夫三諦者天然之性德也中諦者	德 中 用 故 荊 溪 云 夫 三 諦 者 天 然 之 性 德 也 中 諦 者 
X57n0963_001:0123b23	統一切法真諦者泯一切法俗諦者立一切法心性	統 一 切 法 真 諦 者 泯 一 切 法 俗 諦 者 立 一 切 法 心 性 
X57n0963_001:0123b24	不動假立中名亡泯三千假立空稱雖亡而存假立	不 動 假 立 中 名 亡 泯 三 千 假 立 空 稱 雖 亡 而 存 假 立 
X57n0963_001:0123c01	假號四明云只一覺性具三種德受三種名既一性	假 號 四 明 云 只 一 覺 性 具 三 種 德 受 三 種 名 既 一 性 
X57n0963_001:0123c02	體具三德用強立三名矣名隨德用空則一相不存	體 具 三 德 用 強 立 三 名 矣 名 隨 德 用 空 則 一 相 不 存 
X57n0963_001:0123c03	假則諸法宛爾中則絕待二邊三千立法合於假上	假 則 諸 法 宛 爾 中 則 絕 待 二 邊 三 千 立 法 合 於 假 上 
X57n0963_001:0123c04	說之故四明云空中名遮一相不立假觀名照三千	說 之 故 四 明 云 空 中 名 遮 一 相 不 立 假 觀 名 照 三 千 
X57n0963_001:0123c05	宛然自行即淨穢亡泯無不空中利佗則帝網交羅	宛 然 自 行 即 淨 穢 亡 泯 無 不 空 中 利 佗 則 帝 網 交 羅 
X57n0963_001:0123c06	三千皆假然今所辨自佗俱存妙假以能化所化皆	三 千 皆 假 然 今 所 辨 自 佗 俱 存 妙 假 以 能 化 所 化 皆 
X57n0963_001:0123c07	三千故又云施設三千皆妙假力亡淨穢相以空以	三 千 故 又 云 施 設 三 千 皆 妙 假 力 亡 淨 穢 相 以 空 以 
X57n0963_001:0123c08	中既云照故三千恒具照是觀否三千是妙假否此	中 既 云 照 故 三 千 恒 具 照 是 觀 否 三 千 是 妙 假 否 此 
X57n0963_001:0123c09	指要文也又十義書第一義云能造識陰明具三千	指 要 文 也 又 十 義 書 第 一 義 云 能 造 識 陰 明 具 三 千 
X57n0963_001:0123c10	三千是假大意云此能造心具足諸法故輔行云心	三 千 是 假 大 意 云 此 能 造 心 具 足 諸 法 故 輔 行 云 心 
X57n0963_001:0123c11	具是假此之三千非法性無明自他共離而造故空	具 是 假 此 之 三 千 非 法 性 無 明 自 他 共 離 而 造 故 空 
X57n0963_001:0123c12	約此空假遮照不偏名為中道豈非不思議境義含	約 此 空 假 遮 照 不 偏 名 為 中 道 豈 非 不思議境 義 含 
X57n0963_001:0123c13	三觀又云只如於識陰修三觀者約何義說假觀耶	三 觀 又 云 只 如 於 識 陰 修 三 觀 者 約 何 義 說 假 觀 耶 
X57n0963_001:0123c14	豈說緣生假耶豈說建立假耶既非此等之假仍須	豈 說 緣 生 假 耶 豈 說 建 立 假 耶 既 非 此 等 之 假 仍 須 
X57n0963_001:0123c15	即陰說具三千方為妙假故荊溪云具即是假(文)良	即 陰 說 具 三 千 方 為 妙 假 故 荊 溪 云 具 即 是 假 文 良 
X57n0963_001:0123c16	由雖三諦一境而空蕩中絕於名義用觀當須亡泯	由 雖 三 諦 一 境 而 空 蕩 中 絕 於 名 義 用 觀 當 須 亡 泯 
X57n0963_001:0123c17	不當建立是故說具三千合是假觀非分外也四明	不 當 建 立 是 故 說 具 三 千 合 是 假 觀 非 分 外 也 四 明 
X57n0963_001:0123c18	之說義甚圓融相未甞混但四明假上說三千則當	之 說 義 甚 圓 融 相 未 甞 混 但 四 明 假 上 說 三 千 則 當 
X57n0963_001:0123c19	處空中體是實相性具之法法法常住淨覺假上說	處 空 中 體 是 實 相 性 具 之 法 法 法 常 住 淨 覺 假 上 說 
X57n0963_001:0123c20	三千體是無明緣生之法果上永斷二說大異也四	三 千 體 是 無 明 緣 生 之 法 果 上 永 斷 二 說 大 異 也 四 
X57n0963_001:0123c21	明既而法法實相則實相之體常空假中終日互具	明 既 而 法 法 實 相 則 實 相 之 體 常 空 假 中 終 日 互 具 
X57n0963_001:0123c22	若淨覺既而法是無明緣生之事則終成質礙互融	若 淨 覺 既 而 法 是 無 明 緣 生 之 事 則 終 成 質 礙 互 融 
X57n0963_001:0123c23	不成雖說互融乃強說耳。	不 成 雖 說 互 融 乃 強 說 耳 
X57n0963_001:0123c24	二淨覺異說雜編辯三諦有五段不出立三千在俗	二 淨 覺 異 說 雜 編 辯 三 諦 有 五 段 不 出 立 三 千 在 俗 
X57n0963_001:0124a01	以破四明初約三諦名義破輔行云三諦無形可寄	以 破 四 明 初 約 三 諦 名 義 破 輔 行 云 三 諦 無 形 可 寄 
X57n0963_001:0124a02	事辯等評曰三千既即空假中乃三德三諦之三千	事 辯 等 評 曰 三 千 既 即 空 假 中 乃 三 德 三 諦 之 三 千 
X57n0963_001:0124a03	也豈缺空中但在俗耶然名隨德用空亡俗有中道	也 豈 缺 空 中 但 在 俗 耶 然 名 隨 德 用 空 亡 俗 有 中 道 
X57n0963_001:0124a04	雙非就假以明三千四明諸文文文點示何甞少違	雙 非 就 假 以 明 三 千 四 明 諸 文 文 文 點 示 何 甞 少 違 
X57n0963_001:0124a05	諸祖之文則所據文不勞通也略知輔行之文如蓮	諸 祖 之 文 則 所 據 文 不 勞 通 也 略 知 輔 行 之 文 如 蓮 
X57n0963_001:0124a06	老云以三諦妙理天然性德無名無相然不離事法	老 云 以 三 諦 妙 理 天 然 性 德 無 名 無 相 然 不 離 事 法 
X57n0963_001:0124a07	而今寄假名相說名空假中凡落言論者皆謂之假	而 今 寄 假 名 相 說 名 空 假 中 凡 落 言 論 者 皆 謂 之 假 
X57n0963_001:0124a08	雖寄假事立三諦名其體常一故云空中二體二無	雖 寄 假 事 立 三 諦 名 其 體 常 一 故 云 空 中 二 體 二 無 
X57n0963_001:0124a09	二也心性不動假立中名等耳二約三千名義破雜	二 也 心 性 不 動 假 立 中 名 等 耳 二 約 三 千 名 義 破 雜 
X57n0963_001:0124a10	編云又復三千既名世間既名幻有等評曰定認世	編 云 又 復 三 千 既 名 世 間 既 名 幻 有 等 評 曰 定 認 世 
X57n0963_001:0124a11	俗間差之名而不思以生顯具耶豈三千妙境是不	俗 間 差 之 名 而 不 思 以 生 顯 具 耶 豈 三 千 妙 境 是 不 
X57n0963_001:0124a12	實幻有法耶良由不知以性奪修名幻故也淨覺之	實 幻 有 法 耶 良 由 不 知 以 性 奪 修 名 幻 故 也 淨 覺 之 
X57n0963_001:0124a13	宗如此何由傳遠乎三約三諦互具破雜編云又若	宗 如 此 何 由 傳 遠 乎 三 約 三 諦 互 具 破 雜 編 云 又 若 
X57n0963_001:0124a14	見諸文云一假一切假便謂空中存三千等評曰四	見 諸 文 云 一 假 一 切 假 便 謂 空 中 存 三 千 等 評 曰 四 
X57n0963_001:0124a15	明何文謂一假一切假故空中立三千耶如此則四	明 何 文 謂 一 假 一 切 假 故 空 中 立 三 千 耶 如 此 則 四 
X57n0963_001:0124a16	明空中立法之義淨覺全然不知也又云只一三千	明 空 中 立 法 之 義 淨 覺 全 然 不 知 也 又 云 只 一 三 千 
X57n0963_001:0124a17	不用無相便是三諦四明亦無此說四約三諦事理	不 用 無 相 便 是 三 諦 四 明 亦 無 此 說 四 約 三 諦 事 理 
X57n0963_001:0124a18	破雜編云或問若將三諦合為二諦其即空義為真	破 雜 編 云 或 問 若 將 三 諦 合 為 二 諦 其 即 空 義 為 真 
X57n0963_001:0124a19	俗等評曰中邊事理三諦開合無妨之論但判止觀	俗 等 評 曰 中 邊 事 理 三 諦 開 合 無 妨 之 論 但 判 止 觀 
X57n0963_001:0124a20	淨名記文有所不是止觀第一義諦無法世諦有法	淨 名 記 文 有 所 不 是 止 觀 第一義諦 無 法 世 諦 有 法 
X57n0963_001:0124a21	今用草庵體用相形名言兩立之語通之淨名記文	今 用 草 庵 體 用 相 形 名 言 兩 立 之 語 通 之 淨 名 記 文 
X57n0963_001:0124a22	者三千世間體是諸法若情見取著皆名非道若智	者 三 千 世 間 體 是 諸 法 若 情 見 取 著 皆 名 非 道 若 智 
X57n0963_001:0124a23	達空中即名佛道但除其病而不除法豈破三千顯	達 空 中 即 名 佛 道 但 除 其 病 而 不 除 法 豈 破 三 千 顯 
X57n0963_001:0124a24	空中耶五約假有單複破雜編問若三千是俗者只	空 中 耶 五 約 假 有 單 複 破 雜 編 問 若 三 千 是 俗 者 只 
X57n0963_001:0124b01	可云即空即中何故諸文云即空假中答說有詳略	可 云 即 空 即 中 何 故 諸 文 云 即 空 假 中 答 說 有 詳 略 
X57n0963_001:0124b02	假有單複等評曰止觀三千之後結成三諦不二門	假 有 單 複 等 評 曰 止 觀 三 千 之 後 結 成 三 諦 不 二 門 
X57n0963_001:0124b03	明事理三千後亦結三諦別行玄文亦明千如結示	明 事 理 三 千 後 亦 結 三 諦 別 行 玄 文 亦 明 千 如 結 示 
X57n0963_001:0124b04	三諦以至諸文皆然蓋三千是諸法之本體三諦是	三 諦 以 至 諸 文 皆 然 蓋 三 千 是 諸 法 之 本 體 三 諦 是 
X57n0963_001:0124b05	諸法之德相不空假中法不圓妙文理當然豈緣順	諸 法 之 德 相 不 空 假 中 法 不 圓 妙 文 理 當 然 豈 緣 順 
X57n0963_001:0124b06	中論偈耶別行用論乃引證也有無假處恰是文略	中 論 偈 耶 別 行 用 論 乃 引 證 也 有 無 假 處 恰 是 文 略 
X57n0963_001:0124b07	耳而云他云因緣生法且是一念介爾之心何得便	耳 而 云 他 云 因緣生法 且 是 一 念 介 爾 之 心 何 得 便 
X57n0963_001:0124b08	是三千妙假者須知四明無此之文但若於緣生上	是 三 千 妙 假 者 須 知 四 明 無 此 之 文 但 若 於 緣 生 上 
X57n0963_001:0124b09	說千如百界則是妙假若未示三千灼然且是陰境	說 千 如 百 界 則 是 妙 假 若 未 示 三 千 灼 然 且 是 陰 境 
X57n0963_001:0124b10	諸法也雜編文義細碎今但點破其大體餘者可以	諸 法 也 雜 編 文 義 細 碎 今 但 點 破 其 大 體 餘 者 可 以 
X57n0963_001:0124b11	意得辯三諦竟。	意 得 辯 三 諦 竟 
X57n0963_001:0124b12	三明事理	三 明 事 理 
X57n0963_001:0124b13	分三初四明正說諸文事理雖則多途四明宗旨的	分 三 初 四 明 正 說 諸 文 事 理 雖 則 多 途 四 明 宗 旨 的 
X57n0963_001:0124b14	約具變分事理也體用修性其義亦然指要云造謂	約 具 變 分 事 理 也 體 用 修 性 其 義 亦 然 指 要 云 造 謂 
X57n0963_001:0124b15	體用者指上反造即全體起用故因前心具色心隨	體 用 者 指 上 反 造 即 全 體 起 用 故 因 前 心 具 色 心 隨 
X57n0963_001:0124b16	緣反造修中色心乃以性中三千為體修起三千為	緣 反 造 修 中 色 心 乃 以 性 中 三 千 為 體 修 起 三 千 為 
X57n0963_001:0124b17	用則全理體起於事用方是圓教隨緣之義故輔行	用 則 全 理 體 起 於 事 用 方 是 圓 教 隨 緣 之 義 故 輔 行 
X57n0963_001:0124b18	云心造有二種一者約理造即是具二者約事乃明	云 心 造 有 二 種 一 者 約 理 造 即 是 具 二 者 約 事 乃 明 
X57n0963_001:0124b19	三世凡聖反造即結云皆由理具方有事用(上一十五)然	三 世 凡 聖 反 造 即 結 云 皆 由 理 具 方 有 事 用 上 一 十 五 然 
X57n0963_001:0124b20	又須知四明宗旨於事理三千各論三諦指要云應	又 須 知 四 明 宗 旨 於 事 理 三 千 各 論 三 諦 指 要 云 應 
X57n0963_001:0124b21	知立茲體用欲於理體及於事用皆明三諦事用若	知 立 茲 體 用 欲 於 理 體 及 於 事 用 皆 明 三 諦 事 用 若 
X57n0963_001:0124b22	即空假中還成不二圓妙否(上十六)又云心空故事理	即 空 假 中 還 成 不 二 圓 妙 否 上 十 六 又 云 心 空 故 事 理 
X57n0963_001:0124b23	諸法皆空即非色非心也假中亦然輔行云並由理	諸法皆空 即 非 色 非 心 也 假 中 亦 然 輔 行 云 並 由 理 
X57n0963_001:0124b24	具方有事用今欲修觀但觀理具俱破俱立俱是法	具 方 有 事 用 今 欲 修 觀 但 觀 理 具 俱 破 俱 立 俱 是 法 
X57n0963_001:0124c01	界任運攝得權實所觀(七十六)俱破空也俱立假也俱	界 任 運 攝 得 權 實 所 觀 七 十 六 俱 破 空 也 俱 立 假 也 俱 
X57n0963_001:0124c02	是法界中也四明尊者立義引證切當明白更無可	是 法 界 中 也 四 明 尊 者 立 義 引 證 切 當 明 白 更 無 可 
X57n0963_001:0124c03	說者。	說 者 
X57n0963_001:0124c04	二淨覺異見又二初據文淨覺之宗專約三諦分事	二 淨 覺 異 見 又 二 初 據 文 淨 覺 之 宗 專 約 三 諦 分 事 
X57n0963_001:0124c05	理空中為理俗假為事與四明無別據乎妙玄理事	理 空 中 為 理 俗 假 為 事 與 四 明 無 別 據 乎 妙 玄 理 事 
X57n0963_001:0124c06	本迹無住之理即是本時實相真諦立一切法即是	本 迹 無 住 之 理 即 是 本 時 實 相 真 諦 立 一 切 法 即 是 
X57n0963_001:0124c07	本時森羅俗諦釋籤以三千為森羅評曰此乃四明	本 時 森 羅 俗 諦 釋 籤 以 三 千 為 森 羅 評 曰 此 乃 四 明 
X57n0963_001:0124c08	理中三諦自分理事望反造事並名為理即是初重	理 中 三 諦 自 分 理 事 望 反 造 事 並 名 為 理 即 是 初 重 
X57n0963_001:0124c09	本法耳豈不讀釋籤所斷此理性之迹耶又據文句	本 法 耳 豈 不 讀 釋 籤 所 斷 此 理 性 之 迹 耶 又 據 文 句 
X57n0963_001:0124c10	無住無相即無差別立一切法即有差別乃至若知	無 住 無 相 即 無 差 別 立 一 切 法 即 有 差 別 乃 至 若 知 
X57n0963_001:0124c11	地具桃李即識實中有權解無差別即是差別評曰	地 具 桃 李 即 識 實 中 有 權 解 無 差 別 即 是 差 別 評 曰 
X57n0963_001:0124c12	地具桃李正喻理中差別今宗理具三千相豈但性	地 具 桃 李 正 喻 理 中 差 別 今 宗 理 具 三 千 相 豈 但 性 
X57n0963_001:0124c13	耶他既失旨難與議矣二立義雜偏曰今謂無住之	耶 他 既 失 旨 難 與 議 矣 二 立 義 雜 偏 曰 今 謂 無 住 之 
X57n0963_001:0124c14	本有離有合所立之法有性有修評曰性中之本離	本 有 離 有 合 所 立 之 法 有 性 有 修 評 曰 性 中 之 本 離 
X57n0963_001:0124c15	明所立之法但是三千之性者別行云修德相貌在	明 所 立 之 法 但 是 三 千 之 性 者 別 行 云 修 德 相 貌 在 
X57n0963_001:0124c16	性德中不二門云全修在性如何會耶所云修性合	性 德 中 不 二 門 云 全 修 在 性 如 何 會 耶 所 云 修 性 合 
X57n0963_001:0124c17	論即以性中本法俱為修中之本合於性三其所立	論 即 以 性 中 本 法 俱 為 修 中 之 本 合 於 性 三 其 所 立 
