T18n0850_001:0065a03	刻密軌序	刻 密 軌 序 
T18n0850_001:0065a23	大念誦儀軌供養方便會第一	大 念 誦 儀 軌 供 養 方 便 會 第 一 
T18n0850_001:0065a25	京大興善寺中天竺國三藏	京 大 興 善 寺 中 天 竺 國 三 藏 
T18n0850_001:0065a26	輸婆迦羅奉　詔譯授法	輸 婆 迦 羅 奉 詔 譯 授 法 
T18n0850_001:0065a27	弟子一行筆授比丘寶月譯語	弟 子 一 行 筆 授 比 丘 寶 月 譯 語 
T18n0850_001:0065a28	　稽首毘盧遮那佛　　開敷淨眼如青蓮	 稽 首 毘 盧 遮 那 佛 開 敷 淨 眼 如 青 蓮 
T18n0850_001:0065a29	　我依大日經王說　　供養所資眾儀軌	 我 依 大 日 經 王 說 供 養 所 資 眾 儀 軌 
T18n0850_001:0065b01	　為成次第真言法　　如彼當得速成就	 為 成 次 第 真 言 法 如 彼 當 得 速 成 就 
T18n0850_001:0065b02	　又令本心離垢故　　我今隨要略宣說	 又 令 本 心 離 垢 故 我 今 隨 要 略 宣 說 
T18n0850_001:0065b03	　欲於此生入悉地　　隨其所應思念之	 欲 於 此 生 入 悉 地 隨其所應 思 念 之 
T18n0850_001:0065b04	　親於尊所授明法　　觀察相應作成就	 親 於 尊 所 授 明 法 觀 察 相 應 作 成 就 
T18n0850_001:0065b05	　先禮灌頂傳教尊　　請白真言所修業	 先 禮 灌 頂 傳 教 尊 請 白 真 言 所 修 業 
T18n0850_001:0065b06	　智者蒙師許可已　　依於地分所宜處	 智 者 蒙 師 許 可 已 依 於 地 分 所 宜 處 
T18n0850_001:0065b07	　妙山輔峯半巖間　　種種龕窟兩山中	 妙 山 輔 峯 半 巖 間 種 種 龕 窟 兩 山 中 
T18n0850_001:0065b08	　或諸如來聖弟子　　甞於往昔所遊居	 或 諸 如 來 聖 弟 子 甞 於 往 昔 所 遊 居 
T18n0850_001:0065b09	　寺塔練若古仙室　　當於自心意樂處	 寺 塔 練 若 古 仙 室 當 於 自 心 意 樂 處 
T18n0850_001:0065b10	　悲愍有情畫大壇　　次補如來開法眼	 悲 愍 有 情 畫 大 壇 次 補 如 來 開 法 眼 
T18n0850_001:0065b11	　能度人天無量眾　　即是如來勝生子	 能 度 人 天 無 量 眾 即 是 如 來 勝 生 子 
T18n0850_001:0065b12	　具淨慧力能堪忍　　精進不求諸世間	 具 淨 慧 力 能 堪 忍 精 進 不 求 諸 世 間 
T18n0850_001:0065b13	　是夜放逸所生罪　　殷勤還淨皆悔除	 是 夜 放 逸 所 生 罪 殷 勤 還 淨 皆 悔 除 
T18n0850_001:0065b14	　心目視觀諦明了　　五輪投地而作禮	 心 目 視 觀 諦 明 了 五 輪 投 地 而 作 禮 
T18n0850_001:0065b15	　歸命十方正等覺　　三世一切具三身	 歸 命 十 方 正 等 覺 三 世 一 切 具 三 身 
T18n0850_001:0065b16	　歸命一切大乘法　　歸命不退菩提眾	 歸 命 一切大乘 法 歸 命 不 退 菩 提 眾 
T18n0850_001:0065b17	　歸命諸明真實言　　歸命一切諸密印	 歸 命 諸 明 真 實 言 歸 命 一 切 諸 密 印 
T18n0850_001:0065b18	　以身口意清淨業　　殷勤無量恭敬禮	 以 身 口 意 清 淨 業 殷 勤 無 量 恭 敬 禮 
T18n0850_001:0065b19	作禮方便真言曰(用下持地印)	作 禮 方 便 真 言 曰 用 下 持 地 印 
T18n0850_001:0065b20	（一）唵(一)曩謨薩嚩怛他(引)蘖多(二)迦耶嚩	 一 唵 一 曩 謨 薩 嚩 怛 他 引 蘖 多 二 迦 耶 嚩 
T18n0850_001:0065b21	(入)乞質(二合)多(三)嚩日羅鑁娜難迦嚕弭(四)	 入 乞 質 二 合 多 三 嚩 日 羅 鑁 娜 難 迦 嚕 弭 四 
T18n0850_001:0065b22	　由此作禮真實言　　即能遍禮十方佛	 由 此 作 禮 真 實 言 即 能 遍 禮 十 方 佛 
T18n0850_001:0065b23	　右膝著地合爪掌　　思惟說悔先罪業	 右膝著地 合 爪 掌 思 惟 說 悔 先 罪 業 
T18n0850_001:0065b24	　我由無明所積集　　身口意業造眾罪	 我 由 無 明 所 積 集 身口意業 造 眾 罪 
T18n0850_001:0065b25	　貪慾恚癡覆心故　　於佛正法賢聖僧	 貪 慾 恚 癡 覆 心 故 於 佛 正 法 賢 聖 僧 
T18n0850_001:0065b26	　父母二師善知識　　以及無量眾生所	 父 母 二 師 善 知 識 以 及 無 量 眾 生 所 
T18n0850_001:0065b27	　無始生死流轉中　　具造極重無盡罪	 無始生死 流 轉 中 具 造 極 重 無 盡 罪 
T18n0850_001:0065b28	　親對十方現在佛　　悉皆懺悔不復作	 親 對 十 方 現 在 佛 悉 皆 懺 悔 不 復 作 
T18n0850_001:0065b29	出罪方便真言曰(普通)	出 罪 方 便 真 言 曰 普 通 
T18n0850_001:0065c01	（二）唵(一)薩嚩播婆薩普(二合)吒(二)娜賀曩嚩	 二 唵 一 薩 嚩 播 婆 薩 普 二 合 吒 二 娜 賀 曩 嚩 
T18n0850_001:0065c02	日囉(二合)野(三)娑嚩(二合)賀	日 囉 二 合 野 三 娑 嚩 二 合 賀 
T18n0850_001:0065c03	　南無十方三世佛　　三種常身正法藏	 南 無 十 方 三 世 佛 三 種 常 身 正 法 藏 
T18n0850_001:0065c04	　勝願菩提大心眾　　我今皆悉正歸依	 勝 願 菩 提 大 心 眾 我 今 皆 悉 正 歸 依 
T18n0850_001:0065c05	歸依方便真言曰(普通)	歸 依 方 便 真 言 曰 普 通 
T18n0850_001:0065c06	（三）唵(一)薩嚩沒馱冒地薩怛鑁(三合二)設囉赧	 三 唵 一 薩 嚩 沒 馱 冒 地 薩 怛 鑁 三 合 二 設 囉 赧 
T18n0850_001:0065c07	蘖縒弭(三)嚩日囉(二合)達磨(四)紇哩(二合五)	蘖 縒 弭 三 嚩 日 囉 二 合 達 磨 四 紇 哩 二 合 五 
T18n0850_001:0065c08	　我淨此身離諸垢　　及與三世身口意	 我 淨 此 身 離 諸 垢 及 與 三 世 身 口 意 
T18n0850_001:0065c09	　過於大海剎塵數　　奉獻一切諸如來	 過 於 大 海 剎 塵 數 奉 獻 一切諸如來 
T18n0850_001:0065c10	施身方便真言曰(身同獨股杵相)	施 身 方 便 真 言 曰 身 同 獨 股 杵 相 
T18n0850_001:0065c11	（四）唵(一)薩嚩怛他(引)蘖多(二)布惹鉢囉(二合)	 四 唵 一 薩 嚩 怛 他 引 蘖 多 二 布 惹 鉢 囉 二 合 
T18n0850_001:0065c12	嚩哩多曩夜怛麼(二合)南(三)涅(儞逸反)哩野(二合)哆	嚩 哩 多 曩 夜 怛 麼 二 合 南 三 涅 儞 逸 反 哩 野 二 合 哆 
T18n0850_001:0065c13	夜弭(四)薩嚩怛他(引)蘖多室者(二合)地底瑟姹	夜 弭 四 薩 嚩 怛 他 引 蘖 多 室 者 二 合 地 底 瑟 姹 
T18n0850_001:0065c14	(二合)耽(都含反五)薩嚩怛他(引)蘖多惹難謎(六)阿	 二 合 耽 都 含 反 五 薩 嚩 怛 他 引 蘖 多 惹 難 謎 六 阿 
T18n0850_001:0065c15	味設都(引)(七)	味 設 都 引 七 
T18n0850_001:0065c16	　淨菩提心勝願寶　　我今起發濟群生	 淨 菩 提 心 勝 願 寶 我 今 起 發 濟 群 生 
T18n0850_001:0065c17	　生苦等集所纏身　　及與無知所害身	 生 苦 等 集 所 纏 身 及 與 無 知 所 害 身 
T18n0850_001:0065c18	　救攝歸依令解脫　　常當利益諸含識	 救 攝 歸 依 令 解 脫 常 當 利 益 諸 含 識 
T18n0850_001:0065c19	發菩提心方便真言曰(縛印)	發菩提心 方 便 真 言 曰 縛 印 
T18n0850_001:0065c20	（五）唵(一)冒地唧多(二)母怛播娜夜弭(三)	 五 唵 一 冒 地 唧 多 二 母 怛 播 娜 夜 弭 三 
T18n0850_001:0065c21	　十方無量世界中　　諸正遍知大海眾	 十 方 無量世界 中 諸 正 遍 知 大 海 眾 
T18n0850_001:0065c22	　種種善巧方便力　　及諸佛子為群生	 種 種 善巧方便 力 及 諸 佛 子 為 群 生 
T18n0850_001:0065c23	　諸有所修福業等　　我今一切盡隨喜	 諸 有 所 修 福 業 等 我 今 一 切 盡 隨 喜 
T18n0850_001:0065c24	隨喜方便真言曰(歸命合掌)	隨 喜 方 便 真 言 曰 歸 命 合 掌 
T18n0850_001:0065c25	（六）唵(一)薩嚩怛他(引)蘖多(二)布惹(尼也反)惹曩	 六 唵 一 薩 嚩 怛 他 引 蘖 多 二 布 惹 尼 也 反 惹 曩 
T18n0850_001:0066a01	弩母娜曩(三)布惹迷伽三母捺攞(二合)(四)娑頗	弩 母 娜 曩 三 布 惹 迷 伽 三 母 捺 攞 二 合 四 娑 頗 
T18n0850_001:0066a02	(二合)囉拏三麼曳(五)吽	 二 合 囉 拏 三 麼 曳 五 吽 
T18n0850_001:0066a03	　我今勸請諸如來　　菩提大心救世者	 我 今 勸 請 諸 如 來 菩 提 大 心 救 世 者 
T18n0850_001:0066a04	　唯願普於十方界　　恒以大雲降法雨	 唯 願 普 於 十 方 界 恒 以 大 雲 降 法 雨 
T18n0850_001:0066a05	勸請方便真言曰	勸 請 方 便 真 言 曰 
T18n0850_001:0066a06	（七）唵(一)薩嚩怛他蘖多(二)睇灑儜布惹迷伽	 七 唵 一 薩 嚩 怛 他 蘖 多 二 睇 灑 儜 布 惹 迷 伽 
T18n0850_001:0066a07	娑母捺囉(二合)(三)娑頗(二合)囉拏三摩曳(四)吽	娑 母 捺 囉 二 合 三 娑 頗 二 合 囉 拏 三 摩 曳 四 吽 
T18n0850_001:0066a08	　願令凡夫所住處　　速捨眾苦所集身	 願 令 凡 夫 所 住 處 速 捨 眾 苦 所 集 身 
T18n0850_001:0066a09	　當得至於無垢處　　安住清淨法界身	 當 得 至 於 無 垢 處 安 住 清 淨 法 界 身 
T18n0850_001:0066a10	奉請法身方便真言曰	奉 請 法 身 方 便 真 言 曰 
T18n0850_001:0066a11	（八）唵(一)薩嚩怛他(引)蘖多(二)娜睇灑野弭(三)薩	 八 唵 一 薩 嚩 怛 他 引 蘖 多 二 娜 睇 灑 野 弭 三 薩 
T18n0850_001:0066a12	嚩薩怛嚩(二合)係多(引)哩他(二合引)野(四)達麼	嚩 薩 怛 嚩 二 合 係 多 引 哩 他 二 合 引 野 四 達 麼 
T18n0850_001:0066a13	馱覩悉體(他以反二合)底[口*栗]婆(二合上)靺覩(五)	馱 覩 悉 體 他 以 反 二 合 底 [口栗] 婆 二 合 上 靺 覩 五 
T18n0850_001:0066a14	　所修一切眾善業　　利益一切眾生故	 所 修 一 切 眾 善 業 利 益 一 切 眾 生 故 
T18n0850_001:0066a15	　我今盡皆正迴向　　除生死苦至菩提	 我 今 盡 皆 正 迴 向 除 生 死 苦 至 菩 提 
T18n0850_001:0066a16	迴向方便真言曰	迴 向 方 便 真 言 曰 
T18n0850_001:0066a17	（九）唵(一)薩嚩怛他(引)蘖多(二)涅(準前)哩也(二	 九 唵 一 薩 嚩 怛 他 引 蘖 多 二 涅 準 前 哩 也 二 
T18n0850_001:0066a18	合)怛曩(二合)布惹迷伽三母捺囉(二合三)娑頗(二	合 怛 曩 二 合 布 惹 迷 伽 三 母 捺 囉 二 合 三 娑 頗 二 
T18n0850_001:0066a19	合)囉拏三摩曳(四)吽	合 囉 拏 三 摩 曳 四 吽 
T18n0850_001:0066a20	　復造所餘諸福事　　讀誦經行宴坐等	 復 造 所 餘 諸 福 事 讀 誦 經 行 宴 坐 等 
T18n0850_001:0066a21	　為令身心遍清淨　　哀愍救攝於自他	 為 令 身 心 遍 清 淨 哀 愍 救 攝 於 自 他 
T18n0850_001:0066a22	　心性如是離諸垢　　身隨所應以安坐	 心 性 如 是 離 諸 垢 身 隨 所 應 以 安 坐 
T18n0850_001:0066a23	　分明諦觀初字門　　輪圍九重虛圓白	 分 明 諦 觀 初 字 門 輪 圍 九 重 虛 圓 白 
T18n0850_001:0066a24	　次當結三昧耶印(定慧虛心合掌空建竪如幢能滿福智聚)	 次 當 結 三 昧 耶 印 定 慧 虛 心 合 掌 空 建 竪 如 幢 能 滿 福 智 聚 
T18n0850_001:0066a25	　所謂淨除三業道	 所 謂 淨 除 三 業 道 
T18n0850_001:0066a26	　應知密印相　　諸正遍知說	 應 知 密 印 相 諸 正 遍 知 說 
T18n0850_001:0066a27	　當合定慧手　　竝建二空輪	 當 合 定 慧 手 竝 建 二 空 輪 
T18n0850_001:0066a28	　遍觸諸支分　　誦持真實語	 遍 觸 諸 支 分 誦 持 真 實 語 
T18n0850_001:0066a29	　入佛三昧耶　　三昧耶真言	 入 佛 三 昧 耶 三 昧 耶 真 言 
T18n0850_001:0066b01	（十）曩謨(引)薩嚩怛他(引)蘖帝毘藥(二合一)尾濕	 十 曩 謨 引 薩 嚩 怛 他 引 蘖 帝 毘 藥 二 合 一 尾 濕 
T18n0850_001:0066b02	嚩(二合)目契毘藥(二合二)唵阿三迷(三)底哩(二合)	嚩 二 合 目 契 毘 藥 二 合 二 唵 阿 三 迷 三 底 哩 二 合 
T18n0850_001:0066b03	三迷(四)三磨曳(五)娑嚩(二合)賀	三 迷 四 三 磨 曳 五 娑 嚩 二 合 賀 
T18n0850_001:0066b04	　纔結此密印　　能淨如來地	 纔 結 此 密 印 能 淨 如 來 地 
T18n0850_001:0066b05	　地波羅蜜滿　　成三法界道	 地 波 羅 蜜 滿 成 三 法 界 道 
T18n0850_001:0066b06	　所餘諸密印　　印品次當陳	 所 餘 諸 密 印 印 品 次 當 陳 
T18n0850_001:0066b07	　次結法界生　　密慧之幖幟	 次 結 法 界 生 密 慧 之 幖 幟 
T18n0850_001:0066b08	　淨身口意故　　遍轉於身分	 淨 身 口 意 故 遍 轉 於 身 分 
T18n0850_001:0066b09	　般若三昧手　　俱作金剛拳	 般若三昧 手 俱 作 金 剛 拳 
T18n0850_001:0066b10	　二空在其掌　　風幢皆正直	 二 空 在 其 掌 風 幢 皆 正 直 
T18n0850_001:0066b11	　如是名法界　　清淨之祕印	 如 是 名 法 界 清 淨 之 祕 印 
T18n0850_001:0066b12	　法界生真言	 法 界 生 真 言 
T18n0850_001:0066b13	（一一）曩莫三滿多沒馱南(一)囕達麼馱暏(二)	 一 一 曩 莫 三 滿 多 沒 馱 南 一 囕 達 麼 馱 暏 二 
T18n0850_001:0066b14	娑嚩(二合)婆嚩句憾(三)	娑 嚩 二 合 婆 嚩 句 憾 三 
T18n0850_001:0066b15	　如法界自性　　而觀於自身	 如 法 界 自 性 而 觀 於 自 身 
T18n0850_001:0066b16	　或以真實言　　三轉而宣說	 或 以 真 實 言 三 轉 而 宣 說 
T18n0850_001:0066b17	　當見住法體　　無垢如虛空	 當 見 住 法 體 無 垢 如 虛 空 
T18n0850_001:0066b18	　真言印威力　　加持行人故	 真 言 印 威 力 加 持 行 人 故 
T18n0850_001:0066b19	　為令彼堅固　　觀自執金剛	 為 令 彼 堅 固 觀 自 執 金 剛 
T18n0850_001:0066b20	　結金剛智印　　止觀手相背	 結 金 剛 智 印 止 觀 手 相 背 
T18n0850_001:0066b21	　地水火風輪　　左右互相持	 地水火風 輪 左 右 互 相 持 
T18n0850_001:0066b22	　二空各旋轉　　合於慧掌中	 二 空 各 旋 轉 合 於 慧 掌 中 
T18n0850_001:0066b23	　是名為法輪　　最勝吉祥印	 是 名 為 法 輪 最 勝 吉 祥 印 
T18n0850_001:0066b24	　是人當不久　　同於救世者	 是 人 當 不 久 同 於 救 世 者 
T18n0850_001:0066b25	　真言印威力　　成就者當見	 真 言 印 威 力 成 就 者 當 見 
T18n0850_001:0066b26	　掌如寶輪轉　　而轉大法輪	 掌 如 寶 輪 轉 而 轉 大 法 輪 
T18n0850_001:0066b27	　金剛薩埵言	 金 剛 薩 埵 言 
T18n0850_001:0066b28	（一二）曩莫三滿多嚩日囉(二合)赧(一)嚩日囉	 一 二 曩 莫 三 滿 多 嚩 日 囉 二 合 赧 一 嚩 日 囉 
T18n0850_001:0066b29	(二合)怛麼(二合)句憾(二)	 二 合 怛 麼 二 合 句 憾 二 
T18n0850_001:0066c01	　誦此真言已　　當住於等引	 誦 此 真 言 已 當 住 於 等 引 
T18n0850_001:0066c02	　諦觀我此身　　即是執金剛	 諦 觀 我 此 身 即 是 執 金 剛 
T18n0850_001:0066c03	　無量天魔眾　　諸有見之者	 無 量 天 魔 眾 諸 有 見 之 者 
T18n0850_001:0066c04	　如金剛薩埵　　勿生疑惑心	 如 金 剛 薩 埵 勿 生 疑 惑 心 
T18n0850_001:0066c05	　次擐金剛甲　　當觀所被服	 次 擐 金 剛 甲 當 觀 所 被 服 
T18n0850_001:0066c06	　遍體生焰光　　用是嚴身故	 遍 體 生 焰 光 用 是 嚴 身 故 
T18n0850_001:0066c07	　諸魔為障者　　及餘惡心類	 諸 魔 為 障 者 及 餘 惡 心 類 
T18n0850_001:0066c08	　覩之咸四散　　先作三補吒	 覩 之 咸 四 散 先 作 三 補 吒 
T18n0850_001:0066c09	　止觀二風輪　　糺持火輪上	 止 觀 二 風 輪 糺 持 火 輪 上 
T18n0850_001:0066c10	　二空自相竝　　而在於掌中	 二 空 自 相 竝 而 在 於 掌 中 
T18n0850_001:0066c11	　誦彼真言已　　當觀無垢字	 誦 彼 真 言 已 當 觀 無 垢 字 
T18n0850_001:0066c12	　金剛甲冑明	 金 剛 甲 冑 明 
T18n0850_001:0066c13	（一三）曩莫三滿多嚩日囉(二合)赧(一)唵(二)嚩	 一 三 曩 莫 三 滿 多 嚩 日 囉 二 合 赧 一 唵 二 嚩 
T18n0850_001:0066c14	日囉(二合)迦嚩遮(三)吽	日 囉 二 合 迦 嚩 遮 三 吽 
T18n0850_001:0066c15	　囉字色鮮白　　空點以嚴之	 囉 字 色 鮮 白 空 點 以 嚴 之 
T18n0850_001:0066c16	　如彼髻明珠　　置之於頂上	 如 彼 髻 明 珠 置 之 於 頂 上 
T18n0850_001:0066c17	　設於百劫中　　所積眾罪垢	 設 於 百 劫 中 所 積 眾 罪 垢 
T18n0850_001:0066c18	　由是悉除滅　　福慧皆圓滿	 由 是 悉 除 滅 福 慧 皆 圓 滿 
T18n0850_001:0066c19	即彼真言曰	即 彼 真 言 曰 
T18n0850_001:0066c20	（一四）曩莫三滿多沒馱南(一)囕	 一 四 曩 莫 三 滿 多 沒 馱 南 一 囕 
T18n0850_001:0066c21	　真言同法界　　無量眾罪除	 真 言 同 法 界 無 量 眾 罪 除 
T18n0850_001:0066c22	　不久當成就　　住於不退地	 不 久 當 成 就 住 於 不 退 地 
T18n0850_001:0067a01	　一切觸穢處　　當加此字門	 一 切 觸 穢 處 當 加 此 字 門 
T18n0850_001:0067a02	　赤色具威光　　焰鬘遍圍繞	 赤 色 具 威 光 焰 鬘 遍 圍 繞 
T18n0850_001:0067a03	　次為降伏魔　　制諸大障者	 次 為 降 伏 魔 制 諸 大 障 者 
T18n0850_001:0067a04	　當念大護者　　無能堪忍明	 當 念 大 護 者 無 能 堪 忍 明 
T18n0850_001:0067a05	　印相如下明大護真言曰	 印 相 如 下 明 大 護 真 言 曰 
T18n0850_001:0067a06	（一五）曩莫薩嚩怛他(引)蘖帝毘藥(二合)(一)薩嚩	 一 五 曩 莫 薩 嚩 怛 他 引 蘖 帝 毘 藥 二 合 一 薩 嚩 
T18n0850_001:0067a07	婆野尾誐帝毘藥(二合)(二)尾濕嚩(二合)目契毘	婆 野 尾 誐 帝 毘 藥 二 合 二 尾 濕 嚩 二 合 目 契 毘 
T18n0850_001:0067a08	藥(二合)(三)薩嚩他(引四)憾欠(五)囉乞灑(二合)	藥 二 合 三 薩 嚩 他 引 四 憾 欠 五 囉 乞 灑 二 合 
T18n0850_001:0067a09	摩賀(引)沫麗(六)薩嚩怛他(引)蘖多(七)奔尼也	摩 賀 引 沫 麗 六 薩 嚩 怛 他 引 蘖 多 七 奔 尼 也 
T18n0850_001:0067a10	(二合)儞(寧逸反)左帝(八)吽吽(九)怛囉(二合)吒怛囉	 二 合 儞 寧 逸 反 左 帝 八 吽 吽 九 怛 囉 二 合 吒 怛 囉 
T18n0850_001:0067a11	(二合)吒(十)阿鉢囉(二合)底資多(十一)娑嚩(二合)	 二 合 吒 十 阿 鉢 囉 二 合 底 資 多 十 一 娑 嚩 二 合 
T18n0850_001:0067a12	賀	賀 
T18n0850_001:0067a13	　由纔憶念故　　諸尾曩夜迦	 由 纔 憶 念 故 諸 尾 曩 夜 迦 
T18n0850_001:0067a14	　惡形羅剎等　　彼一切馳散	 惡 形 羅 剎 等 彼 一 切 馳 散 
T18n0850_001:0067a15	　現前觀囉字　　具點廣嚴飾	 現 前 觀 囉 字 具 點 廣 嚴 飾 
T18n0850_001:0067a16	　謂淨光焰鬘　　赫如朝日暉	 謂 淨 光 焰 鬘 赫 如 朝 日 暉 
T18n0850_001:0067a17	　念聲真實義　　能除一切障	 念 聲 真 實 義 能 除 一 切 障 
T18n0850_001:0067a18	　解脫三毒垢　　諸法亦復然	 解 脫 三 毒 垢 諸 法 亦 復 然 
T18n0850_001:0067a19	　先自淨心地　　次淨道場地	 先 自 淨 心 地 次 淨 道 場 地 
T18n0850_001:0067a20	　悉除眾過患　　其相如虛空	 悉 除 眾 過 患 其 相 如 虛 空 
T18n0850_001:0067a21	　如金剛所持　　此地亦如是	 如 金 剛 所 持 此 地 亦 如 是 
T18n0850_001:0067a22	　瑜伽者諦觀　　五輪最深密	 瑜 伽 者 諦 觀 五 輪 最 深 密 
T18n0850_001:0067a23	　最初於下位　　思惟彼風輪	 最 初 於 下 位 思 惟 彼 風 輪 
T18n0850_001:0067a24	　賀字所安住　　黑光焰流布	 賀 字 所 安 住 黑 光 焰 流 布 
T18n0850_001:0067a25	即彼真言曰	即 彼 真 言 曰 
T18n0850_001:0067a26	（一六）曩莫三滿多沒馱南唅	 一 六 曩 莫 三 滿 多 沒 馱 南 唅 
T18n0850_001:0067a27	　次上安水輪　　其色猶雪乳	 次 上 安 水 輪 其 色 猶 雪 乳 
T18n0850_001:0067a28	　嚩字所安住　　頗胝月電光	 嚩 字 所 安 住 頗 胝 月 電 光 
T18n0850_001:0067a29	　即彼真言曰	 即 彼 真 言 曰 
T18n0850_001:0067b01	鑁(歸命同前)	鑁 歸 命 同 前 
T18n0850_001:0067b02	　復於水輪上　　觀作金剛輪	 復 於 水 輪 上 觀 作 金 剛 輪 
T18n0850_001:0067b03	　想置本初字　　四方遍黃色	 想 置 本 初 字 四 方 遍 黃 色 
T18n0850_001:0067b04	即彼真言曰	即 彼 真 言 曰 
T18n0850_001:0067b05	阿(歸命同前)	阿 歸 命 同 前 
T18n0850_001:0067b06	　是輪如金剛　　名大因陀羅	 是 輪 如 金 剛 名 大 因 陀 羅 
T18n0850_001:0067b07	　光焰淨金色　　普皆遍流出	 光 焰 淨 金 色 普 皆 遍 流 出 
T18n0850_001:0067b08	　於彼中思惟　　導師諸佛子	 於 彼 中 思 惟 導 師 諸 佛 子 
T18n0850_001:0067b09	　水中觀白蓮　　妙色金剛莖	 水 中 觀 白 蓮 妙 色 金 剛 莖 
T18n0850_001:0067b10	　八葉具鬚蘂　　眾寶自莊嚴	 八 葉 具 鬚 蘂 眾 寶 自 莊 嚴 
T18n0850_001:0067b11	　常出無量光　　百千眾蓮繞	 常 出 無 量 光 百 千 眾 蓮 繞 
T18n0850_001:0067b12	　其上復觀想　　大覺師子座	 其 上 復 觀 想 大 覺 師 子 座 
T18n0850_001:0067b13	　寶王以挍飾　　在大宮殿中	 寶 王 以 挍 飾 在 大 宮 殿 中 
T18n0850_001:0067b14	　寶柱皆行列　　遍有諸幢蓋	 寶 柱 皆 行 列 遍 有 諸 幢 蓋 
T18n0850_001:0067b15	　珠鬘等交絡　　垂懸妙寶衣	 珠 鬘 等 交 絡 垂 懸 妙 寶 衣 
T18n0850_001:0067b16	　周布香華雲　　及與眾寶雲	 周 布 香 華 雲 及 與 眾 寶 雲 
T18n0850_001:0067b17	　普雨雜華等　　繽紛以嚴地	 普 雨 雜 華 等 繽 紛 以 嚴 地 
T18n0850_001:0067b18	　諧韻所愛聲　　而奏諸音樂	 諧 韻 所 愛 聲 而 奏 諸 音 樂 
T18n0850_001:0067b19	　宮中想淨妙　　賢瓶於閼伽	 宮 中 想 淨 妙 賢 瓶 於 閼 伽 
T18n0850_001:0067b20	　寶樹王開敷　　照以摩尼燈	 寶 樹 王 開 敷 照 以 摩 尼 燈 
T18n0850_001:0067b21	　三昧總持地　　自在之婇女	 三 昧 總 持 地 自 在 之 婇 女 
T18n0850_001:0067b22	　佛波羅蜜等　　菩提妙嚴華	 佛 波 羅 蜜 等 菩 提 妙 嚴 華 
T18n0850_001:0067b23	　方便作眾伎　　歌詠妙法音	 方 便 作 眾 伎 歌 詠 妙 法 音 
T18n0850_001:0067b24	　以我功德力　　如來加持力	 以 我 功 德 力 如 來 加 持 力 
T18n0850_001:0067b25	　及以法界力　　普供養而住	 及 以 法 界 力 普 供 養 而 住 
T18n0850_001:0067b26	虛空藏明妃真言曰(法應多誦觀想如經)	虛 空 藏 明 妃 真 言 曰 法 應 多 誦 觀 想 如 經 
