T08n0227_001:0536c15	小品經序	小 品 經 序 
T08n0227_001:0537a13	略之說也。其多者云有十萬偈，少者六百偈。	略 之 說 也 其 多 者 云 有 十 萬 偈 少 者 六 百 偈 
T08n0227_001:0537a14	此之大品，乃是天竺之中品也。隨宜之言，復	此 之 大 品 乃 是 天 竺 之 中 品 也 隨 宜 之 言 復 
T08n0227_001:0537a15	何必計其多少，議其煩簡耶！梵文雅質，案	何 必 計 其 多 少 議 其 煩 簡 耶 梵 文 雅 質 案 
T08n0227_001:0537a16	本譯之於麗巧不足，樸正有餘矣。幸冀文悟	本 譯 之 於 麗 巧 不 足 樸 正 有 餘 矣 幸 冀 文 悟 
T08n0227_001:0537a17	之賢，略其華而幾其實也。	之 賢 略 其 華 而 幾 其 實 也 
T08n0227_001:0537a20	摩訶般若波羅蜜經卷第一	摩訶般若波羅蜜 經 卷 第 一 
T08n0227_001:0537a21	(丹本摩訶上有小品二字)	 丹 本 摩 訶 上 有 小 品 二 字 
T08n0227_001:0537a23	後秦龜茲國三藏鳩摩羅什譯	後 秦 龜 茲 國 三 藏 鳩 摩 羅 什 譯 
T08n0227_001:0537a24	初品第一	初 品 第 一 
T08n0227_001:0537a25	如是我聞：一時佛在王舍城耆闍崛山中，與	如是我聞 一 時 佛 在 王 舍 城 耆 闍 崛 山 中 與 
T08n0227_001:0537a26	大比丘僧千二百五十人俱，皆是阿羅漢，諸	大 比 丘 僧 千二百五十 人 俱 皆 是 阿 羅 漢 諸 
T08n0227_001:0537a27	漏已盡，如調象王，所作已辦，捨於重擔，逮得	漏 已 盡 如 調 象 王 所 作 已 辦 捨於重擔 逮 得 
T08n0227_001:0537a28	己利，盡諸有結，正智解脫，心得自在，唯除阿	己 利 盡諸有結 正智解脫 心得自在 唯 除 阿 
T08n0227_001:0537a29	難。爾時佛告須菩提：「汝樂說者，為諸菩薩說	難 爾 時 佛 告 須 菩 提 汝 樂 說 者 為 諸 菩 薩 說 
T08n0227_001:0537b01	所應成就般若波羅蜜。」舍利弗即作是念：「須	所 應 成 就 般 若 波 羅 蜜 舍 利 弗 即 作 是 念 須 
T08n0227_001:0537b02	菩提自以力說？為承佛神力？」須菩提知舍利	菩 提 自 以 力 說 為 承佛神力 須 菩 提 知 舍 利 
T08n0227_001:0537b03	弗心所念，語舍利弗言：「佛諸弟子，敢有所說，	弗 心 所 念 語 舍 利 弗 言 佛 諸 弟 子 敢 有 所 說 
T08n0227_001:0537b04	皆是佛力。所以者何？佛所說法，於中學者，能	皆 是 佛 力 所以者何 佛 所 說 法 於 中 學 者 能 
T08n0227_001:0537b05	證諸法相，證已有所言說，皆與法相不相違	證 諸 法 相 證 已 有 所 言 說 皆 與 法 相 不 相 違 
T08n0227_001:0537b06	背，以法相力故。」爾時須菩提白佛言：「世尊！佛	背 以 法 相 力 故 爾 時 須 菩 提 白 佛 言 世 尊 佛 
T08n0227_001:0537b07	使我為諸菩薩說所應成就般若波羅蜜。世	使 我 為 諸 菩 薩 說 所 應 成 就 般 若 波 羅 蜜 世 
T08n0227_001:0537b08	尊！所言菩薩菩薩者，何等法義是菩薩？我不	尊 所 言 菩 薩 菩 薩 者 何 等 法 義 是 菩 薩 我 不 
T08n0227_001:0537b09	見有法名為菩薩。世尊！我不見菩薩，不得菩	見 有 法 名 為 菩 薩 世 尊 我 不 見 菩 薩 不 得 菩 
T08n0227_001:0537b10	薩，亦不見不得般若波羅蜜，當教何等菩薩	薩 亦 不 見 不 得 般 若 波 羅 蜜 當 教 何 等 菩 薩 
T08n0227_001:0537b11	般若波羅蜜？若菩薩聞作是說，不驚不怖，不	般 若 波 羅 蜜 若 菩 薩 聞 作 是 說 不驚不怖 不 
T08n0227_001:0537b12	沒不退，如所說行，是名教菩薩般若波羅蜜。	沒 不 退 如 所 說 行 是 名 教 菩 薩 般 若 波 羅 蜜 
T08n0227_001:0537b13	復次，世尊！菩薩行般若波羅蜜時，應如是學，	復 次 世 尊 菩 薩 行 般 若 波 羅 蜜 時 應 如 是 學 
T08n0227_001:0537b14	不念是菩薩心。所以者何？是心非心，心相本	不 念 是 菩 薩 心 所以者何 是 心 非 心 心 相 本 
T08n0227_001:0537b15	淨故。」爾時舍利弗語須菩提：「有此非心心不？」	淨 故 爾 時 舍 利 弗 語 須 菩 提 有 此 非 心 心 不 
T08n0227_001:0537b16	須菩提語舍利弗：「非心心可得若有若無不？」	須 菩 提 語 舍 利 弗 非 心 心 可 得 若有若無 不 
T08n0227_001:0537b17	舍利弗言：「不也！」須菩提語舍利弗：「若非心心	舍 利 弗 言 不 也 須 菩 提 語 舍 利 弗 若 非 心 心 
T08n0227_001:0537b18	不可得有無者，應作是言有心無心耶？」舍利	不 可 得 有 無 者 應作是言 有 心 無 心 耶 舍 利 
T08n0227_001:0537b19	弗言：「何法為非心？」須菩提言：「不壞不分別。	弗 言 何 法 為 非 心 須 菩 提 言 不 壞 不 分 別 
T08n0227_001:0537b20	菩薩聞作是說，不驚不怖，不沒不退，當知是	菩 薩 聞 作 是 說 不驚不怖 不沒不退 當 知 是 
T08n0227_001:0537b21	菩薩不離般若波羅蜜行。若善男子、善女人，	菩 薩 不 離 般 若 波 羅 蜜 行 若 善 男 子 善 女 人 
T08n0227_001:0537b22	欲學聲聞地，當聞是般若波羅蜜，受持讀誦，	欲 學 聲 聞 地 當 聞 是 般 若 波 羅 蜜 受持讀誦 
T08n0227_001:0537b23	如說修行。欲學辟支佛地，當聞是般若波羅	如說修行 欲 學 辟支佛地 當 聞 是 般 若 波 羅 
T08n0227_001:0537b24	蜜，受持讀誦，如說修行。欲學菩薩地，亦當聞	蜜 受持讀誦 如說修行 欲 學 菩 薩 地 亦 當 聞 
T08n0227_001:0537b25	是般若波羅蜜，受持讀誦，如說修行。所以者	是 般 若 波 羅 蜜 受持讀誦 如說修行 所 以 者 
T08n0227_001:0537b26	何？般若波羅蜜中，廣說菩薩所應學法。」須菩	何 般 若 波 羅 蜜 中 廣 說 菩 薩 所 應 學 法 須 菩 
T08n0227_001:0537b27	提白佛言：「世尊！我不得不見菩薩，當教何等	提 白 佛 言 世 尊 我 不 得 不 見 菩 薩 當 教 何 等 
T08n0227_001:0537b28	菩薩般若波羅蜜？世尊！我不見菩薩法來去，	菩 薩 般 若 波 羅 蜜 世 尊 我 不 見 菩 薩 法 來 去 
T08n0227_001:0537b29	而與菩薩作字言是菩薩，我則疑悔。世尊！又	而 與 菩 薩 作 字 言 是 菩 薩 我 則 疑 悔 世 尊 又 
T08n0227_001:0537c01	菩薩字無決定、無住處。所以者何？是字無所	菩 薩 字 無 決 定 無 住 處 所以者何 是 字 無 所 
T08n0227_001:0537c02	有故。無所有亦無定無處。若菩薩聞是事，不	有 故 無 所 有 亦 無 定 無 處 若 菩 薩 聞 是 事 不 
T08n0227_001:0537c03	驚不怖，不沒不退，當知是菩薩畢竟住不退	驚 不 怖 不沒不退 當 知 是 菩 薩 畢 竟 住 不 退 
T08n0227_001:0537c04	轉地，住無所住。「復次，世尊！菩薩行般若波羅	轉 地 住 無 所 住 復 次 世 尊 菩 薩 行 般 若 波 羅 
T08n0227_001:0537c05	蜜時，不應色中住，不應受、想、行、識中住。何以	蜜 時 不 應 色 中 住 不 應 受 想 行 識 中 住 何 以 
T08n0227_001:0537c06	故？若住色中，為作色行；若住受、想、行、識中，為	故 若 住 色 中 為 作 色 行 若 住 受 想 行 識 中 為 
T08n0227_001:0537c07	作識行。若行作法，則不能受般若波羅蜜，不	作 識 行 若 行 作 法 則 不 能 受 般 若 波 羅 蜜 不 
T08n0227_001:0537c08	能習般若波羅蜜；不具足般若波羅蜜，則不	能 習 般 若 波 羅 蜜 不 具 足 般 若 波 羅 蜜 則 不 
T08n0227_001:0537c09	能成就薩婆若。何以故？色無受、想，受、想、行、識	能 成 就 薩 婆 若 何 以 故 色 無 受 想 受 想 行 識 
T08n0227_001:0537c10	無受想。若色無受則非色；受、想、行、識無受則	無 受 想 若 色 無 受 則 非 色 受 想 行 識 無 受 則 
T08n0227_001:0537c11	非識。般若波羅蜜亦無受。菩薩應如是學行	非 識 般 若 波 羅 蜜 亦 無 受 菩 薩 應 如 是 學 行 
T08n0227_001:0537c12	般若波羅蜜，是名菩薩諸法無受，三昧廣大，	般 若 波 羅 蜜 是 名 菩 薩 諸 法 無 受 三 昧 廣 大 
T08n0227_001:0537c13	無量無定，一切聲聞、辟支佛所不能壞。何以故？	無 量 無 定 一 切 聲 聞 辟 支 佛 所 不 能 壞 何 以 故 
T08n0227_001:0537c14	是三昧，不可以相得。若是三昧可以相得，先	是 三 昧 不 可 以 相 得 若 是 三 昧 可 以 相 得 先 
T08n0227_001:0537c15	尼梵志於薩婆若智不應生信。先尼梵志以	尼 梵 志 於 薩 婆 若 智 不 應 生 信 先 尼 梵 志 以 
T08n0227_001:0537c16	有量智入是法中，入已不受色，不受受、想、行、	有 量 智 入 是 法 中 入 已 不 受 色 不 受 受 想 行 
T08n0227_001:0537c17	識。是梵志不以得聞見是智，不以內色見	識 是 梵 志 不 以 得 聞 見 是 智 不 以 內 色 見 
T08n0227_001:0537c18	是智，不以外色見是智，不以內外色見是智，	是 智 不 以 外 色 見 是 智 不 以 內 外 色 見 是 智 
T08n0227_001:0537c19	亦不離內外色見是智；不以內受、想、行、識見	亦 不 離 內 外 色 見 是 智 不 以 內 受 想 行 識 見 
T08n0227_001:0537c20	是智，不以外受、想、行、識見是智，不以內外受、	是 智 不 以 外 受 想 行 識 見 是 智 不 以 內 外 受 
T08n0227_001:0537c21	想、行、識見是智，亦不離內外受、想、行、識見是	想 行 識 見 是 智 亦 不 離 內 外 受 想 行 識 見 是 
T08n0227_001:0537c22	智。先尼梵志信解薩婆若智，以得諸法實相，	智 先 尼 梵 志 信 解 薩 婆 若 智 以 得 諸法實相 
T08n0227_001:0537c23	故得解脫。得解脫已，於諸法中無取無捨，乃	故 得 解 脫 得 解 脫 已 於 諸 法 中 無 取 無 捨 乃 
T08n0227_001:0537c24	至涅槃亦無取無捨。世尊！是名菩薩般若波	至 涅 槃 亦 無 取 無 捨 世 尊 是 名 菩 薩 般 若 波 
T08n0227_001:0537c25	羅蜜不受色，不受受、想、行、識。雖不受色，不受	羅 蜜 不 受 色 不 受 受 想 行 識 雖 不 受 色 不 受 
T08n0227_001:0537c26	受、想、行、識，未具足佛十力、四無所畏、十八不共	受 想 行 識 未 具 足 佛 十 力 四無所畏 十八不共 
T08n0227_001:0537c27	法，終不中道而般涅槃。「復次，世尊！菩薩行般	法 終 不 中 道 而 般 涅 槃 復 次 世 尊 菩 薩 行 般 
T08n0227_001:0537c28	若波羅蜜，應如是思惟：『何等是般若波羅蜜？	若 波 羅 蜜 應 如 是 思 惟 何 等 是 般 若 波 羅 蜜 
T08n0227_001:0537c29	是誰般若波羅蜜？若法不可得，是般若波羅	是 誰 般 若 波 羅 蜜 若 法 不 可 得 是 般 若 波 羅 
T08n0227_001:0538a01	蜜耶？』若菩薩作是思惟觀時，不驚不畏不怖，	蜜 耶 若 菩 薩 作是思惟 觀 時 不 驚 不 畏 不 怖 
T08n0227_001:0538a02	不沒不退，當知是菩薩不離般若波羅蜜行。」	不沒不退 當 知 是 菩 薩 不 離 般 若 波 羅 蜜 行 
T08n0227_001:0538a03	爾時舍利弗語須菩提：「若色離色性，受、想、行、	爾 時 舍 利 弗 語 須 菩 提 若 色 離 色 性 受 想 行 
T08n0227_001:0538a04	識離識性，般若波羅蜜離般若波羅蜜性者，	識 離 識 性 般 若 波 羅 蜜 離 般 若 波 羅 蜜 性 者 
T08n0227_001:0538a05	何故說菩薩不離般若波羅蜜行？」須菩提言：	何 故 說 菩 薩 不 離 般 若 波 羅 蜜 行 須 菩 提 言 
T08n0227_001:0538a06	「如是，舍利弗！色離色性，受、想、行、識離識性，般	 如 是 舍 利 弗 色 離 色 性 受 想 行 識 離 識 性 般 
T08n0227_001:0538a07	若波羅蜜離般若波羅蜜性，是法皆離自性，	若 波 羅 蜜 離 般 若 波 羅 蜜 性 是 法 皆 離 自 性 
T08n0227_001:0538a08	性相亦離。」舍利弗言：「若菩薩於是中學，能成	性 相 亦 離 舍 利 弗 言 若 菩 薩 於 是 中 學 能 成 
T08n0227_001:0538a09	就薩婆若耶？」須菩提言：「如是，舍利弗！菩薩如	就 薩 婆 若 耶 須 菩 提 言 如 是 舍 利 弗 菩 薩 如 
T08n0227_001:0538a10	是學者，能成就薩婆若。所以者何？一切法無	是 學 者 能 成 就 薩 婆 若 所以者何 一 切 法 無 
T08n0227_001:0538a11	生無成就故。若菩薩如是行者，則近薩婆	生 無 成 就 故 若 菩 薩 如 是 行 者 則 近 薩 婆 
T08n0227_001:0538a12	若。」	若 
T08n0227_001:0538a13	爾時須菩提語舍利弗言：「菩薩若行色行為	爾 時 須 菩 提 語 舍 利 弗 言 菩 薩 若 行 色 行 為 
T08n0227_001:0538a14	行相，若生色行為行相，若滅色行為行相，若	行 相 若 生 色 行 為 行 相 若 滅 色 行 為 行 相 若 
T08n0227_001:0538a15	壞色行為行相，若空色行為行相。我行是	壞 色 行 為 行 相 若 空 色 行 為 行 相 我 行 是 
T08n0227_001:0538a16	行，亦是行相。若行受、想、行、識行為行相，若生	行 亦 是 行 相 若 行 受 想 行 識 行 為 行 相 若 生 
T08n0227_001:0538a17	識行為行相，若滅識行為行相，若壞識行為	識 行 為 行 相 若 滅 識 行 為 行 相 若 壞 識 行 為 
T08n0227_001:0538a18	行相，若空識行為行相。我行是行，亦是行相。	行 相 若 空 識 行 為 行 相 我 行 是 行 亦 是 行 相 
T08n0227_001:0538a19	若作是念：『能如是行者，是行般若波羅蜜，亦	若 作 是 念 能 如 是 行 者 是 行 般 若 波 羅 蜜 亦 
T08n0227_001:0538a20	是行相。』當知是菩薩未善知方便。」舍利弗語	是 行 相 當 知 是 菩 薩 未 善知方便 舍 利 弗 語 
T08n0227_001:0538a21	須菩提：「今菩薩云何行，名為行般若波羅蜜？」	須 菩 提 今 菩 薩 云 何 行 名 為 行 般 若 波 羅 蜜 
T08n0227_001:0538a22	須菩提言：「若菩薩不行色，不行色生，不行色	須 菩 提 言 若 菩 薩 不 行 色 不 行 色 生 不 行 色 
T08n0227_001:0538a23	滅，不行色壞，不行色空，不行受、想、行、識，不行	滅 不 行 色 壞 不 行 色 空 不 行 受 想 行 識 不 行 
T08n0227_001:0538a24	識生，不行識滅，不行識壞，不行識空，是名行	識 生 不 行 識 滅 不 行 識 壞 不 行 識 空 是 名 行 
T08n0227_001:0538a25	般若波羅蜜。不念行般若波羅蜜，不念不行，	般 若 波 羅 蜜 不 念 行 般 若 波 羅 蜜 不 念 不 行 
T08n0227_001:0538a26	不念行不行，亦不念非行非不行，是名行般	不 念 行 不 行 亦 不 念 非 行 非 不 行 是 名 行 般 
T08n0227_001:0538a27	若波羅蜜。所以者何？一切法無受故。是名	若 波 羅 蜜 所以者何 一 切 法 無 受 故 是 名 
T08n0227_001:0538a28	菩薩諸法無受，三昧廣大，無量無定，一切聲	菩 薩 諸 法 無 受 三 昧 廣 大 無 量 無 定 一 切 聲 
T08n0227_001:0538a29	聞、辟支佛所不能壞。菩薩行是三昧，疾得阿	聞 辟 支 佛 所 不 能 壞 菩 薩 行 是 三 昧 疾 得 阿 
T08n0227_001:0538b01	耨多羅三藐三菩提。」須菩提承佛威神，而作	耨 多 羅 三藐三菩提 須 菩 提 承佛威神 而 作 
T08n0227_001:0538b02	是言：「若菩薩行是三昧，不念不分別：『是三昧	是 言 若 菩 薩 行 是 三 昧 不 念 不 分 別 是 三 昧 
T08n0227_001:0538b03	我當入，是三昧我今入、我已入。』無如是分別，	我 當 入 是 三 昧 我 今 入 我 已 入 無 如 是 分 別 
T08n0227_001:0538b04	當知是菩薩已從諸佛得受阿耨多羅三藐	當 知 是 菩 薩 已 從 諸 佛 得 受 阿 耨 多 羅 三 藐 
T08n0227_001:0538b05	三菩提記。」舍利弗語須菩提：「菩薩所行三昧，	三 菩 提 記 舍 利 弗 語 須 菩 提 菩薩所行 三 昧 
T08n0227_001:0538b06	得從諸佛受阿耨多羅三藐三菩提記。是三	得 從 諸 佛 受 阿耨多羅三藐三菩提 記 是 三 
T08n0227_001:0538b07	昧可得示不？」須菩提言：「不也，舍利弗！何以故？	昧 可 得 示 不 須 菩 提 言 不 也 舍 利 弗 何 以 故 
T08n0227_001:0538b08	善男子！不分別是三昧。所以者何？三昧性無	善 男 子 不 分 別 是 三 昧 所以者何 三 昧 性 無 
T08n0227_001:0538b09	所有故。」佛讚須菩提言：「善哉，善哉！我說汝於	所 有 故 佛 讚 須 菩 提 言 善 哉 善 哉 我 說 汝 於 
T08n0227_001:0538b10	無諍三昧人中，最為第一。如我所說，菩薩應	無諍三昧 人 中 最 為 第 一 如 我 所 說 菩 薩 應 
T08n0227_001:0538b11	如是學般若波羅蜜。若如是學者，是名學般	如 是 學 般 若 波 羅 蜜 若 如 是 學 者 是 名 學 般 
T08n0227_001:0538b12	若波羅蜜。」舍利弗白佛言：「世尊！菩薩如是學，	若 波 羅 蜜 舍 利 弗 白 佛 言 世 尊 菩 薩 如 是 學 
T08n0227_001:0538b13	為學何法？」佛告舍利弗：「菩薩如是學，於法無	為 學 何 法 佛 告 舍 利 弗 菩 薩 如 是 學 於 法 無 
T08n0227_001:0538b14	所學。何以故？舍利弗！是諸法不爾，如凡夫所	所 學 何 以 故 舍 利 弗 是 諸 法 不 爾 如 凡 夫 所 
T08n0227_001:0538b15	著。」舍利弗白佛言：「世尊！今云何有？」佛言：「如	著 舍 利 弗 白 佛 言 世 尊 今 云 何 有 佛 言 如 
T08n0227_001:0538b16	無所有，如是有。如是諸法無所有，故名無明。	無 所 有 如 是 有 如 是 諸 法 無 所 有 故 名 無 明 
T08n0227_001:0538b17	凡夫分別無明，貪著無明，墮於二邊，不知不見，	凡 夫 分 別 無 明 貪 著 無 明 墮 於 二 邊 不 知 不 見 
T08n0227_001:0538b18	於無法中憶想分別，貪著名色。因貪著故，於	於 無 法 中 憶想分別 貪 著 名 色 因 貪 著 故 於 
T08n0227_001:0538b19	無所有法，不知不見，不出不信不住，是故墮	無 所 有 法 不 知 不 見 不 出 不 信 不 住 是 故 墮 
T08n0227_001:0538b20	在凡夫貪著數中。」舍利弗白佛言：「世尊！菩薩	在 凡 夫 貪 著 數 中 舍 利 弗 白 佛 言 世 尊 菩 薩 
T08n0227_001:0538b21	如是學，亦不學薩婆若。」佛告舍利弗：「菩薩如	如 是 學 亦 不 學 薩 婆 若 佛 告 舍 利 弗 菩 薩 如 
T08n0227_001:0538b22	是學，亦不學薩婆若。如是學，亦名學薩婆若、	是 學 亦 不 學 薩 婆 若 如 是 學 亦 名 學 薩 婆 若 
T08n0227_001:0538b23	成就薩婆若。」須菩提白佛言：「世尊！若有問：『幻	成 就 薩 婆 若 須 菩 提 白 佛 言 世 尊 若 有 問 幻 
T08n0227_001:0538b24	人學薩婆若，當成就薩婆若不？』世尊！我當云	人 學 薩 婆 若 當 成 就 薩 婆 若 不 世 尊 我 當 云 
T08n0227_001:0538b25	何答？」「須菩提！我還問汝，隨意答。於意云何？	何 答 須 菩 提 我 還 問 汝 隨 意 答 於意云何 
T08n0227_001:0538b26	幻異色，色異幻，幻異受、想、行、識耶？」須菩提言：	幻 異 色 色 異 幻 幻 異 受 想 行 識 耶 須 菩 提 言 
T08n0227_001:0538b27	「幻不異色，色不異幻。幻即是色，色即是幻。幻	 幻 不 異 色 色 不 異 幻 幻 即 是 色 色 即 是 幻 幻 
T08n0227_001:0538b28	不異受、想、行、識，識不異幻。幻即是識，識即是	不 異 受 想 行 識 識 不 異 幻 幻 即 是 識 識 即 是 
T08n0227_001:0538b29	幻。」「須菩提！於意云何？五受陰名為菩薩不？」「如	幻 須 菩 提 於意云何 五 受 陰 名 為 菩 薩 不 如 
T08n0227_001:0538c01	是，世尊！」佛告須菩提：「菩薩學阿耨多羅三藐三	是 世 尊 佛 告 須 菩 提 菩 薩 學 阿 耨 多 羅 三 藐 三 
T08n0227_001:0538c02	菩提，當如幻人學。何以故？當知五陰即是幻	菩 提 當 如 幻 人 學 何 以 故 當 知 五 陰 即 是 幻 
T08n0227_001:0538c03	人。所以者何？說色如幻，說受、想、行、識如幻，	人 所以者何 說 色 如 幻 說 受 想 行 識 如 幻 
T08n0227_001:0538c04	識是六情五陰。」「世尊！新發意菩薩聞是說者，	識 是 六 情 五 陰 世 尊 新發意菩薩 聞 是 說 者 
T08n0227_001:0538c05	將無驚怖退沒耶？」佛告須菩提：「若新發意菩	將 無 驚 怖 退 沒 耶 佛 告 須 菩 提 若 新 發 意 菩 
T08n0227_001:0538c06	薩隨惡知識，則驚怖退沒。若隨善知識聞是	薩 隨 惡 知 識 則 驚 怖 退 沒 若 隨 善 知 識 聞 是 
T08n0227_001:0538c07	說者，則無驚怖沒退。」須菩提言：「世尊！何等	說 者 則 無 驚 怖 沒 退 須 菩 提 言 世 尊 何 等 
T08n0227_001:0538c08	是菩薩惡知識？」佛言：「教令遠離般若波羅蜜，	是 菩 薩 惡 知 識 佛 言 教 令 遠 離 般 若 波 羅 蜜 
T08n0227_001:0538c09	使不樂菩提。又教令學取相分別、嚴飾文頌，	使 不 樂 菩 提 又 教 令 學 取 相 分 別 嚴 飾 文 頌 
T08n0227_001:0538c10	又教學雜聲聞、辟支佛經法，又與作魔事因	又 教 學 雜 聲 聞 辟 支 佛 經 法 又 與 作 魔 事 因 
T08n0227_001:0538c11	緣。是名菩薩惡知識。」「世尊！何等為菩薩善知	緣 是 名 菩 薩 惡 知 識 世 尊 何 等 為 菩 薩 善 知 
T08n0227_001:0538c12	識？」「若教令學般若波羅蜜，為說魔事，說魔過	識 若 教 令 學 般 若 波 羅 蜜 為 說 魔 事 說 魔 過 
T08n0227_001:0538c13	惡；令知魔事、魔過惡已，教令遠離。須菩提！是	惡 令 知 魔 事 魔 過 惡 已 教 令 遠 離 須 菩 提 是 
T08n0227_001:0538c14	名發大乘心大莊嚴菩薩摩訶薩善知識。」須	名 發大乘心 大 莊 嚴 菩薩摩訶薩 善 知 識 須 
T08n0227_001:0538c15	菩提白佛言：「世尊！所言菩薩，菩薩有何義？」佛	菩 提 白 佛 言 世 尊 所 言 菩 薩 菩 薩 有 何 義 佛 
T08n0227_001:0538c16	告須菩提：「為學一切法無障礙，亦如實知一切	告 須 菩 提 為 學 一 切 法 無 障 礙 亦 如 實 知 一 切 
T08n0227_001:0538c17	法，是名菩薩義。」須菩提白佛言：「世尊！若知一	法 是 名 菩 薩 義 須 菩 提 白 佛 言 世 尊 若 知 一 
T08n0227_001:0538c18	切法名為菩薩義，復以何義名為摩訶薩？」佛	切 法 名 為 菩 薩 義 復 以 何 義 名 為 摩 訶 薩 佛 
T08n0227_001:0538c19	言：「當為大眾作上首，名為摩訶薩義。」舍利弗	言 當 為 大 眾 作 上 首 名 為 摩 訶 薩 義 舍 利 弗 
T08n0227_001:0538c20	白佛言：「世尊！我亦樂說所以為摩訶薩義。」佛	白 佛 言 世 尊 我 亦 樂 說 所 以 為 摩 訶 薩 義 佛 
T08n0227_001:0538c21	言：「樂說便說。」舍利弗白佛言：「世尊！菩薩為斷	言 樂 說 便 說 舍 利 弗 白 佛 言 世 尊 菩 薩 為 斷 
T08n0227_001:0538c22	我見、眾生見、壽者見、人見，有見無見、斷見常	我 見 眾 生 見 壽 者 見 人 見 有 見 無 見 斷 見 常 
T08n0227_001:0538c23	見等，而為說法，是名摩訶薩義。於是中心無	見 等 而 為 說 法 是 名 摩 訶 薩 義 於 是 中 心 無 
T08n0227_001:0538c24	所著，亦名摩訶薩義。」舍利弗問須菩提：「何故	所 著 亦 名 摩 訶 薩 義 舍 利 弗 問 須 菩 提 何 故 
T08n0227_001:0538c25	於是中心無所著？」須菩提言：「無心故，於是中	於 是 中 心無所著 須 菩 提 言 無 心 故 於 是 中 
