T85n2788_001:0616c14	律戒本疏	律 戒 本 疏 
T85n2788_001:0617c12	地犯重。若共期舉二。是犯重。四足眾生若臥	地 犯 重 若 共 期 舉 二 是 犯 重 四 足 眾 生 若 臥 
T85n2788_001:0617c13	若繫一處。若解取若驅起過四足悉犯重。若	若 繫 一 處 若 解 取 若 驅 起 過 四 足 悉 犯 重 若 
T85n2788_001:0617c14	在蘭薗擁牆出外四足犯重。見林中方念言。	在 蘭 薗 擁 牆 出 外 四 足 犯 重 見 林 中 方 念 言 
T85n2788_001:0617c15	我當盜取重偷。若殺犯墮。取皮肉直五錢犯	我 當 盜 取 重 偷 若 殺 犯 墮 取 皮 肉 直 五 錢 犯 
T85n2788_001:0617c16	重。若親族師徒知識為劫賊。盜賊失物。不囑	重 若 親 族 師 徒 知 識 為 劫 賊 盜 賊 失 物 不 囑 
T85n2788_001:0617c17	令取。取者犯重。自物人盜去。已作捨意後見	令 取 取 者 犯 重 自 物 人 盜 去 已 作 捨 意 後 見 
T85n2788_001:0617c18	奪取犯重。求捨取無罪。若親屬破在他手不	奪 取 犯 重 求 捨 取 無 罪 若 親 屬 破 在 他 手 不 
T85n2788_001:0617c19	得作勢力奪。奪者犯重。[虫*(替日+貝)]虫犯者用[口*束]治脚	得 作 勢 力 奪 奪 者 犯 重 [虫替日貝]虫犯者用[口束] 治 脚 
T85n2788_001:0617c20	腫弱故。若許三寶物意決向人說。後不與犯	腫 弱 故 若 許 三 寶 物 意 決 向 人 說 後 不 與 犯 
T85n2788_001:0617c21	突。來報重。僧食佛不白。白餘僧及主人持與	突 來 報 重 僧 食 佛 不 白 白 餘 僧 及 主 人 持 與 
T85n2788_001:0617c22	人明。若自食犯突亦來報重。死比丘重物屬	人 明 若 自 食 犯 突 亦 來 報 重 死 比 丘 重 物 屬 
T85n2788_001:0617c23	四方僧。若用作食。若分犯突。來報重。若先	四 方 僧 若 用 作 食 若 分 犯 突 來 報 重 若 先 
T85n2788_001:0617c24	許五錢意已決定而後悔不與舉雖本處犯	許 五 錢 意 已 決 定 而 後 悔 不 與 舉 雖 本 處 犯 
T85n2788_001:0617c25	重。又前定許彼彼彼未索不與犯重。知他決	重 又 前 定 許 彼 彼 彼 未 索 不 與 犯 重 知 他 決 
T85n2788_001:0617c26	定許人物毀壞令失五錢重偷。不輸市治五	定 許 人 物 毀 壞 令 失 五 錢 重 偷 不 輸 市 治 五 
T85n2788_001:0617c27	錢犯重。縊死人施物。官若強索不與犯突。取	錢 犯 重 縊 死 人 施 物 官 若 強 索 不 與 犯 突 取 
T85n2788_001:0617c28	至二錢犯輕偷。從二錢至少分未滿五錢重	至 二 錢 犯 輕 偷 從 二 錢 至 少 分 未 滿 五 錢 重 
T85n2788_001:0617c29	偷。有一比丘尼。亦知居士許。施越比丘尼物。	偷 有 一 比 丘 尼 亦 知 居 士 許 施 越 比 丘 尼 物 
T85n2788_001:0618a01	便詐以施越名索取之。佛言。得故忘語罪。又	便 詐 以 施 越 名 索 取 之 佛 言 得 故 忘 語 罪 又 
T85n2788_001:0618a02	言。詐以他名取得罪。得罪者或犯重偷。隨物	言 詐 以 他 名 取 得 罪 得 罪 者 或 犯 重 偷 隨 物 
T85n2788_001:0618a03	所屬。隨物多少而得罪也。若越施不受物。物	所 屬 隨 物 多 少 而 得 罪 也 若 越 施 不 受 物 物 
T85n2788_001:0618a04	故屬居士。居士邊得罪。施越受而不同意。施	故 屬 居 士 居 士 邊 得 罪 施 越 受 而 不 同 意 施 
T85n2788_001:0618a05	越邊得罪。今施越先許受居士施。一比丘尼	越 邊 得 罪 今 施 越 先 許 受 居 士 施 一 比 丘 尼 
T85n2788_001:0618a06	與施越。同意取故不犯重。而但得故忘語罪	與 施 越 同 意 取 故 不 犯 重 而 但 得 故 忘 語 罪 
T85n2788_001:0618a07	也。凡七種取人非人物畜生物無罪。一己物	也 凡 七 種 取 人 非 人 物 畜 生 物 無 罪 一 己 物 
T85n2788_001:0618a08	想。二同意取。三暫因。四謂無主。五狂。六亂心。	想 二 同 意 取 三 暫 因 四 謂 無 主 五 狂 六 亂 心 
T85n2788_001:0618a09	七病壞心。異是則把。取人物犯重。非人偷。畜	七 病 壞 心 異 是 則 把 取 人 物 犯 重 非 人 偷 畜 
T85n2788_001:0618a10	生物突。若他遺物要有所屬。不得取。取之不	生 物 突 若 他 遺 物 要 有 所 屬 不 得 取 取 之 不 
T85n2788_001:0618a11	得藏。應歸還主。取糞掃衣無罪。凡三寶物不	得 藏 應 歸 還 主 取 糞 掃 衣 無 罪 凡 三 寶 物 不 
T85n2788_001:0618a12	應貨。若貨佛物招提僧物。若破至他處得隨	應 貨 若 貨 佛 物 招 提 僧 物 若 破 至 他 處 得 隨 
T85n2788_001:0618a13	突償。若入口物現前僧物則不得也。了事取	突 償 若 入 口 物 現前僧物 則 不 得 也 了 事 取 
T85n2788_001:0618a14	財突。度國忘奴出家突。有盜心犯重。多人遣	財 突 度 國 忘 奴 出 家 突 有 盜 心 犯 重 多 人 遣 
T85n2788_001:0618a15	一人取五錢多人犯重偷。取者犯重。二人遣	一 人 取 五 錢 多 人 犯 重 偷 取 者 犯 重 二 人 遣 
T85n2788_001:0618a16	一人二俱犯重也。取非人畜生重物犯重偷。	一 人 二 俱 犯 重 也 取 非 人 畜 生 重 物 犯 重 偷 
T85n2788_001:0618a17	輕物突。瞋心壞他物犯重偷。輕物突吉羅也	輕 物 突 瞋 心 壞 他 物 犯 重 偷 輕 物 突 吉 羅 也 
T85n2788_001:0618a18	　第三若比丘若人自手奪命若持刀與教人持	 第 三 若 比 丘 若 人 自 手 奪 命 若 持 刀 與 教 人 持 
T85n2788_001:0618a19	刀與教死嘆死乃至因是事死　若比丘若人	刀 與 教 死 嘆 死 乃 至 因 是 事 死 若 比 丘 若 人 
T85n2788_001:0618a20	自手奪命若持刀與教死讚死乃至因是事死	自 手 奪 命 若 持 刀 與 教 死 讚 死 乃 至 因 是 事 死 
T85n2788_001:0618a21	波羅夷。佛在婆求河上。諸比丘修不淨觀。厭	波 羅 夷 佛 在 婆 求 河 上 諸 比 丘 修不淨觀 厭 
T85n2788_001:0618a22	患其報。或欲自殺。鹿杖梵志手斷六十比丘	患 其 報 或 欲 自 殺 鹿 杖 梵 志 手 斷 六 十 比 丘 
T85n2788_001:0618a23	命。因是結戒。奪命有三種。自作教作遣使	命 因 是 結 戒 奪 命 有 三 種 自 作 教 作 遣 使 
T85n2788_001:0618a24	作。彼命斷時比丘犯重。又三種殺。或用身。或	作 彼 命 斷 時 比 丘 犯 重 又 三 種 殺 或 用 身 或 
T85n2788_001:0618a25	用非身。或兩用。斷彼命犯重。即死不即死	用 非 身 或 兩 用 斷 彼 命 犯 重 即 死 不 即 死 
T85n2788_001:0618a26	因是死犯重。不因死犯重偷。若作火坑欲殺	因 是 死 犯 重 不 因 死 犯 重 偷 若 作 火 坑 欲 殺 
T85n2788_001:0618a27	人。人死者犯重。非人畜生死者重偷餘。一切	人 人 死 者 犯 重 非 人 畜 生 死 者 重 偷 餘 一 切 
T85n2788_001:0618a28	方便殺應如是知。若為非人詐坑。非人死者	方 便 殺 應 如 是 知 若 為 非 人 詐 坑 非 人 死 者 
T85n2788_001:0618a29	重偷。人畜生死者悉突。若為畜生作坑。畜生	重 偷 人 畜 生 死 者 悉 突 若 為 畜 生 作 坑 畜 生 
T85n2788_001:0618b01	死者犯墮。人非人死者突。若作坑不定。為害	死 者 犯 墮 人 非 人 死 者 突 若 作 坑 不 定 為 害 
T85n2788_001:0618b02	一切命。人死者重。非人死者偷。畜生墮。都無	一 切 命 人 死 者 重 非 人 死 者 偷 畜 生 墮 都 無 
T85n2788_001:0618b03	死者突。若似人者謂初胎始得身根命根。諸	死 者 突 若 似 人 者 謂 初 胎 始 得 身 根 命 根 諸 
T85n2788_001:0618b04	根未具名為似人。為殺母故命胎墮。母死者	根 未 具 名 為 似 人 為 殺 母 故 命 胎 墮 母 死 者 
T85n2788_001:0618b05	犯重。胎死者重偷。俱死者犯重。俱不死者	犯 重 胎 死 者 重 偷 俱 死 者 犯 重 俱 不 死 者 
T85n2788_001:0618b06	重偷。為殺胎。胎死者犯重。母死者犯重偷。俱	重 偷 為 殺 胎 胎 死 者 犯 重 母 死 者 犯 重 偷 俱 
T85n2788_001:0618b07	死犯重。俱不死重偷。求刀有二種。或自求。或	死 犯 重 俱 不 死 重 偷 求 刀 有 二 種 或 自 求 或 
T85n2788_001:0618b08	遣人求。嘆死有三種。惡戒人善或人鬼病人。	遣 人 求 嘆 死 有 三 種 惡 戒 人 善 或 人 鬼 病 人 
T85n2788_001:0618b09	十二惡律儀人。是名惡戒人。語惡戒人言。汝	十 二 惡 律 儀 人 是 名 惡 戒 人 語 惡 戒 人 言 汝 
T85n2788_001:0618b10	何用久在世。作惡為不如早死。語七眾善戒	何 用 久 在 世 作 惡 為 不 如 早 死 語 七 眾 善 戒 
T85n2788_001:0618b11	人言。汝持善戒。死則生天。何不自殺。語鬼	人 言 汝 持 善 戒 死 則 生 天 何 不 自 殺 語 鬼 
T85n2788_001:0618b12	人言。汝何能受苦惱。何不自害。彼因嘆死者	人 言 汝 何 能 受 苦 惱 何 不 自 害 彼 因 嘆 死 者 
T85n2788_001:0618b13	比丘犯重。不因死者重偷。人作非人相絕命	比 丘 犯 重 不 因 死 者 重 偷 人 作 非 人 相 絕 命 
T85n2788_001:0618b14	突。非人作人想斷命重偷。若為惱不為殺而	突 非 人 作 人 想 斷 命 重 偷 若 為 惱 不 為 殺 而 
T85n2788_001:0618b15	彼命斷重偷。方便欲謀儀未去。去未至輕偷。	彼 命 斷 重 偷 方 便 欲 謀 儀 未 去 去 未 至 輕 偷 
T85n2788_001:0618b16	到之打未死重偷。教死遣使發言令去犯重	到 之 打 未 死 重 偷 教 死 遣 使 發 言 令 去 犯 重 
T85n2788_001:0618b17	偷。意已決故殺盜二戒自作教作犯重。餘二	偷 意 已 決 故 殺 盜 二 戒 自 作 教 作 犯 重 餘 二 
T85n2788_001:0618b18	戒自作犯重。教作不犯重。凡不故作不犯如	戒 自 作 犯 重 教 作 不 犯 重 凡 不 故 作 不 犯 如 
T85n2788_001:0618b19	迦留陀夷入居士舍不諦觀床。便坐坐他兒	迦 留 陀 夷 入 居 士 舍 不 諦 觀 床 便 坐 坐 他 兒 
T85n2788_001:0618b20	上。兒即死。如是一切不犯。但坐時應諦視床	上 兒 即 死 如是一切 不 犯 但 坐 時 應 諦 視 床 
T85n2788_001:0618b21	上。不諦視者犯突吉羅也。	上 不 諦 視 者 犯 突 吉 羅 也 
T85n2788_001:0618b22	第四若比丘不知不見空無過人法自言我得	第 四 若 比 丘 不 知 不 見 空 無 過 人 法 自 言 我 得 
T85n2788_001:0618b23	如是乃至增上慢　若比丘不知不見空無過	如 是 乃 至 增 上 慢 若 比 丘 不 知 不 見 空 無 過 
T85n2788_001:0618b24	人法自言我得如是見乃至除增上慢。佛在	人 法 自 言 我 得 如 是 見 乃 至 除 增 上 慢 佛 在 
T85n2788_001:0618b25	維耶離。諸比丘在婆求河上夏安居。時世飢	維 耶 離 諸 比 丘 在 婆 求 河 上 夏 安 居 時 世 飢 
T85n2788_001:0618b26	饉。乞食難得。為利養故自相稱說。於過人	饉 乞 食 難 得 為 利 養 故 自 相 稱 說 於 過 人 
T85n2788_001:0618b27	法中未得言得。因是結戒。四果四向四禪四	法 中 未 得 言 得 因 是 結 戒 四 果 四 向 四 禪 四 
T85n2788_001:0618b28	空安般不淨觀等名過人法。邪不得不見未	空 安 般 不 淨 觀 等 名 過 人 法 邪 不 得 不 見 未 
T85n2788_001:0618b29	觸不證名不知也。不見四諦名見也。出於凡	觸 不 證 名 不 知 也 不 見 四 諦 名 見 也 出 於 凡 
T85n2788_001:0618c01	俗名為過人。過人法示得言得。他人解者犯	俗 名 為 過 人 過 人 法 示 得 言 得 他 人 解 者 犯 
T85n2788_001:0618c02	重。不解者重偷。方便欲言欲說輕偷。說竟	重 不 解 者 重 偷 方 便 欲 言 欲 說 輕 偷 說 竟 
T85n2788_001:0618c03	犯重。若言天龍八部來至我所更相問答。不	犯 重 若 言 天 龍 八 部 來 至 我 所 更 相 問 答 不 
T85n2788_001:0618c04	實者犯重。若言我於戒婬欲不起。不實者重	實 者 犯 重 若 言 我 於 戒 婬 欲 不 起 不 實 者 重 
T85n2788_001:0618c05	偷。不解者突。乃至言旋風土鬼來至我所。不	偷 不 解 者 突 乃 至 言 旋 風 土 鬼 來 至 我 所 不 
T85n2788_001:0618c06	實者解亦犯重偷。不解突。向非人畜生不解	實 者 解 亦 犯 重 偷 不 解 突 向 非 人 畜 生 不 解 
T85n2788_001:0618c07	突。解重偷。教他忘語突。若語他令說已得	突 解 重 偷 教 他 忘 語 突 若 語 他 令 說 已 得 
T85n2788_001:0618c08	道。前人受語犯重。不受語重偷。前人受初語	道 前 人 受 語 犯 重 不 受 語 重 偷 前 人 受 初 語 
T85n2788_001:0618c09	時突。向他說犯墮。若問答不問者。謂或有人	時 突 向 他 說 犯 墮 若 問 答 不 問 者 謂 或 有 人 
T85n2788_001:0618c10	檢校。或不檢校為求清淨故。便自實言。我不	檢 校 或 不 檢 校 為 求 清 淨 故 便 自 實 言 我 不 
T85n2788_001:0618c11	知言知空誑忘語耳。聖果是增法。若得四念	知 言 知 空 誑 忘 語 耳 聖 果 是 增 法 若 得 四 念 
T85n2788_001:0618c12	處上至有頂法。雖求得果果相已現。知見分	處 上 至 有 頂 法 雖 求 得 果 果 相 已 現 知 見 分 
T85n2788_001:0618c13	明。便自謂得增上聖果。以此高物故名增上	明 便 自 謂 得 增 上 聖 果 以 此 高 物 故 名 增 上 
T85n2788_001:0618c14	慢也。雖所言不實而言意不空。意不空故不	慢 也 雖 所 言 不 實 而 言 意 不 空 意 不 空 故 不 
T85n2788_001:0618c15	犯重也。如目連取入定相不取出定相。自言。	犯 重 也 如 目 連 取 入 定 相 不 取 出 定 相 自 言 
T85n2788_001:0618c16	無所有定中間阿修羅樂音隨心想說。如是	無 所 有 定 中 間 阿 修 羅 樂 音 隨 心 想 說 如 是 
T85n2788_001:0618c17	等比皆不犯也。犯一一法者。四重中趣犯一	等 比 皆 不 犯 也 犯 一 一 法 者 四 重 中 趣 犯 一 
T85n2788_001:0618c18	法也。如前備亦如是者如本末受具戒時。不	法 也 如 前 備 亦 如 是 者 如 本 末 受 具 戒 時 不 
T85n2788_001:0618c19	與共事犯竟。不共亦如是。四事竟。	與 共 事 犯 竟 不 共 亦 如 是 四 事 竟 
T85n2788_001:0618c20	十三僧殘法　僧伽婆尸沙。僧伽有二義。一	十三僧殘法 僧伽婆尸沙 僧 伽 有 二 義 一 
