T22n1424_001:0214a17	彌沙塞羯磨本	彌 沙 塞 羯 磨 本 
T22n1424_001:0214b19	定人、瘂人、聾人、狂人、亂心人、病壞心人、樹上人、白衣人，十二人不成受戒足數。」《磨德勒伽論》云：「重病人、邊地人、癡鈍	定 人 瘂 人 聾 人 狂 人 亂 心 人 病 壞 心 人 樹 上 人 白 衣 人 十 二 人 不 成 受 戒 足 數 磨 德 勒 伽 論 云 重 病 人 邊 地 人 癡 鈍 
T22n1424_001:0214b20	人，此三人不成滿眾。」《僧祇》云：「若與欲人、若隔障、若半覆、申手不相及、若眾僧行作羯磨住坐臥等，皆不足數。」此律病人	人 此 三 人 不 成 滿 眾 僧 祇 云 若 與 欲 人 若 隔 障 若 半 覆 申 手 不 相 及 若 眾 僧 行 作 羯 磨 住 坐 臥 等 皆 不 足 數 此 律 病 人 
T22n1424_001:0214b21	皆羯磨說戒。佛言：「別眾如捨戒中，中邊不相解等，皆非足數。」此上諸人並是不得滿數不得呵。四者、得滿數呵。若善	皆 羯 磨 說 戒 佛 言 別 眾 如 捨 戒 中 中 邊 不 相 解 等 皆 非 足 數 此 上 諸 人 並 是 不 得 滿 數 不 得 呵 四 者 得 滿 數 呵 若 善 
T22n1424_001:0214b22	比丘同一界住，不離見聞處，乃至語謗人等是。即上諸不足數人，若以相足，並不羯磨)。	比 丘 同 一 界 住 不 離 見 聞 處 乃 至 語 謗 人 等 是 即 上 諸 不 足 數 人 若 以 相 足 並 不 羯 磨 
T22n1424_001:0214b23	五、和合無別(故律云：「應來不來、應囑授不囑授，羯磨時得訶人不同而強羯磨，是名別眾。」即此文	五 和 合 無 別 故 律 云 應 來 不 來 應 囑 授 不 囑 授 羯 磨 時 得 訶 人 不 同 而 強 羯 磨 是 名 別 眾 即 此 文 
T22n1424_001:0214b24	中有三別眾及別名目和。和唯是一囑授之法，具如下列)。	中 有 三 別 眾 及 別 名 目 和 和 唯 是 一 囑 授 之 法 具 如 下 列 
T22n1424_001:0214c01	六、問答所作(秉法者應問云：「今僧和合，先作何事？」眾中一人應答云：「作某羯磨。」但事有總別，答亦	六 問 答 所 作 秉 法 者 應 問 云 今 僧 和 合 先作何事 眾 中 一 人 應 答 云 作 某 羯 磨 但 事 有 總 別 答 亦 
T22n1424_001:0214c02	通兩。若結界，理無雙答)。	通 兩 若 結 界 理 無 雙 答 
T22n1424_001:0214c03	七、羯磨如法(具上六緣，合秉羯磨。羯磨之法又有如、非，具離諸非方名辦事。略顯非相及以成	七 羯 磨 如 法 具 上 六 緣 合 秉 羯 磨 羯 磨 之 法 又 有 如 非 具 離 諸 非 方 名 辦 事 略 顯 非 相 及 以 成 
T22n1424_001:0214c04	如也)。	如 也 
T22n1424_001:0214c05	僧法羯磨文有六非(文中辯非或一四五，據相總論不過六種。若准餘文及《四分律》，	僧 法 羯 磨 文 有 六 非 文 中 辯 非 或 一 四 五 據 相 總 論 不 過 六 種 若 准 餘 文 及 四 分 律 
T22n1424_001:0214c06	有呵不止非，即可為七)。	有 呵 不 止 非 即 可 為 七 
T22n1424_001:0214c07	一、餘法餘律羯磨(謂僧、法、處、事隨一不如，所作羯磨皆不成就。非正軌則、正調伏，並名為	一 餘 法 餘 律 羯 磨 謂 僧 法 處 事 隨 一 不 如 所 作 羯 磨 皆 不 成 就 非 正 軌 則 正 調 伏 並 名 為 
T22n1424_001:0214c08	餘。此據總說，下約別明也)。	餘 此 據 總 說 下 約 別 明 也 
T22n1424_001:0214c09	二、非法別眾羯磨(謂詞句增減不依聖教。翻非即如、驗文可曉。別眾三種，如上所陳三種和	二 非 法 別 眾 羯 磨 謂 詞 句 增 減 不 依 聖 教 翻 非 即 如 驗 文 可 曉 別 眾 三 種 如 上 所 陳 三 種 和 
T22n1424_001:0214c10	合相翻即是也)。	合 相 翻 即 是 也 
T22n1424_001:0214c11	三、非法和合羯磨(人雖和合，法落非中)。	三 非 法 和 合 羯 磨 人 雖 和 合 法 落 非 中 
T22n1424_001:0214c12	四、如法別眾羯磨(羯磨雖如，眾不詳集)。	四 如 法 別 眾 羯 磨 羯 磨 雖 如 眾 不 詳 集 
T22n1424_001:0214c13	五、似法別眾羯磨(詞句顛倒，別眾如前)。	五 似 法 別 眾 羯 磨 詞 句 顛 倒 別 眾 如 前 
T22n1424_001:0214c14	六、似法和合羯磨(似法同前，和合為異。准文更有無事作、非法事、不現前界界外施、秉體未	六 似 法 和 合 羯 磨 似 法 同 前 和 合 為 異 准 文 更 有 無 事 作 非 法 事 不 現 前 界 界 外 施 秉 體 未 
T22n1424_001:0214c15	成、僧不應解等。此並僧界事中，不應聖教。並初非攝，不別陳之)。	成 僧 不 應 解 等 此 並 僧 界 事 中 不 應 聖 教 並 初 非 攝 不 別 陳 之 
T22n1424_001:0214c16	第二結解諸界法(界有三種：一、攝僧界。攝人以同法，令無別眾愆。二，攝衣界。攝衣以屬人，令	第 二 結 解 諸 界 法 界 有 三 種 一 攝 僧 界 攝 人 以 同 法 令 無 別 眾 愆 二 攝 衣 界 攝 衣 以 屬 人 令 
T22n1424_001:0214c17	無離宿罪。三、攝食界。攝食以障僧，令無二內過。今依此三次第辯相也)。	無 離 宿 罪 三 攝 食 界 攝 食 以 障 僧 令 無 二 內 過 今 依 此 三 次 第 辯 相 也 
T22n1424_001:0214c18	第一、結解僧界法(律云：時世飢饉，餘處比丘集王舍城，僧房皆空，無人守護。因開各	第 一 結 解 僧 界 法 律 云 時 世 飢 饉 餘 處 比 丘 集 王 舍 城 僧 房 皆 空 無 人 守 護 因 開 各 
T22n1424_001:0214c19	解本界、通結一界。後時豐足，解通已還結小界。又初緣時為界內不集別眾受戒，遂開界外結小界受，名曰戒壇。若	解 本 界 通 結 一 界 後 時 豐 足 解 通 已 還 結 小 界 又 初 緣 時 為 界 內 不 集 別 眾 受 戒 遂 開 界 外 結 小 界 受 名 曰 戒 壇 若 
T22n1424_001:0214c20	受戒竟應捨，於坊內作受戒。又為比丘將受戒人至壇處，遇賊被剝，因聽於坊內作受戒場。應先捨僧坊界，然後結界戒	受 戒 竟 應 捨 於 坊 內 作 受 戒 又 為 比 丘 將 受 戒 人 至 壇 處 遇 賊 被 剝 因 聽 於 坊 內 作 受 戒 場 應 先 捨 僧 坊 界 然 後 結 界 戒 
T22n1424_001:0214c21	場。唱相除內地，更結僧坊界。此則先結戒場後結大界。先界外結者，是對難結小界非即是戒場。若是者，何故令捨？	場 唱 相 除 內 地 更 結 僧 坊 界 此 則 先 結 戒 場 後 結 大 界 先 界 外 結 者 是 對 難 結 小 界 非 即 是 戒 場 若 是 者 何 故 令 捨 
T22n1424_001:0214c22	古今皆云：《五分》初緣安置戒場在界外者。據文不然。今依次第，有其二位：一戒場、二大界。今且依此依，具結解之儀)。	古 今 皆 云 五 分 初 緣 安 置 戒 場 在 界 外 者 據 文 不 然 今 依 次 第 有 其 二 位 一 戒 場 二 大 界 今 且 依 此 依 具 結 解 之 儀 
T22n1424_001:0214c23	第一、結戒場法(欲結之時依前集僧。《四分律》云：「不得說欲。」此雖無文，理亦同彼。集眾問和	第 一 結 戒 場 法 欲 結 之 時 依 前 集 僧 四 分 律 云 不 得 說 欲 此 雖 無 文 理 亦 同 彼 集 眾 問 和 
T22n1424_001:0214c24	具方便已，先唱四方界相，然後白二結之)。	具 方 便 已 先 唱 四 方 界 相 然 後 白 二 結 之 
T22n1424_001:0215a01	唱四方界相法(律云：先應一比丘唱四方界相。若不唱相，不成結界，犯突吉羅。不得以眾生及	唱 四 方 界 相 法 律 云 先 應 一 比 丘 唱 四 方 界 相 若 不 唱 相 不 成 結 界 犯 突 吉 羅 不 得 以 眾 生 及 
T22n1424_001:0215a02	烟火作相、不得兩界相並相入，皆不成結，犯突吉羅。《四分》云：「應令舊住比丘唱相。」意取諳委界相。縱非舊住，但委識	烟 火 作 相 不 得 兩 界 相 並 相 入 皆 不 成 結 犯 突 吉 羅 四 分 云 應 令 舊 住 比 丘 唱 相 意 取 諳 委 界 相 縱 非 舊 住 但 委 識 
T22n1424_001:0215a03	方所，亦得令唱。唱相之人應具威儀，敷尼師壇脫革屣禮眾僧已，合掌白云也)。	方 所 亦 得 令 唱 唱 相 之 人 應 具 威 儀 敷 尼 師 壇 脫 革 屣 禮 眾 僧 已 合 掌 白 云 也 
T22n1424_001:0215a04	「大德僧聽！我比丘為僧唱四方戒場相。從此	 大德僧聽 我 比 丘 為 僧 唱 四 方 戒 場 相 從 此 
T22n1424_001:0215a05	東南角某標，至西南角某標，從此至西北角	東 南 角 某 標 至 西 南 角 某 標 從 此 至 西 北 角 
T22n1424_001:0215a06	某標，從此至東北角某標，從此還至東南角	某 標 從 此 至 東 北 角 某 標 從 此 還 至 東 南 角 
T22n1424_001:0215a07	某標。此戒場相一周訖。」(三說。必有屈曲門戶多少，並須具牒，稱事分明。所標相極	某 標 此 戒 場 相 一 周 訖 三 說 必 有 屈 曲 門 戶 多 少 並 須 具 牒 稱 事 分 明 所 標 相 極 
T22n1424_001:0215a08	須彰顯，若錯涉差互乖文及唱相違失，並不成結界。既不成，後秉諸法並不成就。此既根本，特須詳審也)	須 彰 顯 若 錯 涉 差 互 乖 文 及 唱 相 違 失 並 不 成 結 界 既 不 成 後 秉 諸 法 並 不 成 就 此 既 根 本 特 須 詳 審 也 
T22n1424_001:0215a09	正結戒場法。「大德僧聽！如某甲比丘所唱界	正 結 戒 場 法 大德僧聽 如 某 甲 比 丘 所 唱 界 
T22n1424_001:0215a10	相，今僧結作戒壇，共住、共布薩、共得施。若僧	相 今 僧 結 作 戒 壇 共 住 共 布 薩 共 得 施 若 僧 
T22n1424_001:0215a11	時到僧忍聽。白如是。」「大德僧聽！如某甲比丘	時 到 僧 忍 聽 白 如 是 大德僧聽 如 某 甲 比 丘 
T22n1424_001:0215a12	所唱界相，今僧結作戒壇，共住、共布薩、共得	所 唱 界 相 今 僧 結 作 戒 壇 共 住 共 布 薩 共 得 
T22n1424_001:0215a13	施。誰諸長老忍，默然；不忍者說。」「僧已結某甲	施 誰 諸 長 老 忍 默 然 不 忍 者 說 僧 已 結 某 甲 
T22n1424_001:0215a14	比丘所唱界相作戒壇，共住，共布薩，共得施竟。	比 丘 所 唱 界 相 作 戒 壇 共 住 共 布 薩 共 得 施 竟 
T22n1424_001:0215a15	僧忍，默然故，是事如是持。」(依《四分律》，不牒二同；此摽三共，與彼宗異)	僧 忍 默 然 故 是事如是持 依 四 分 律 不 牒 二 同 此 摽 三 共 與 彼 宗 異 
T22n1424_001:0215a16	解戒場法(諸比丘既結戒場，不捨而去。佛言：「應白二羯磨捨界。」方便如前)。	解 戒 場 法 諸 比 丘 既 結 戒 場 不 捨 而 去 佛 言 應 白二羯磨 捨 界 方 便 如 前 
T22n1424_001:0215a17	「大德僧聽！此結界處，僧今捨是界。若僧時到	 大德僧聽 此 結 界 處 僧 今 捨 是 界 若僧時到 
T22n1424_001:0215a18	僧忍聽。白如是。」「大德僧聽！此結界處，僧今捨	僧 忍 聽 白 如 是 大德僧聽 此 結 界 處 僧 今 捨 
T22n1424_001:0215a19	是界。誰諸長老忍，默然；不忍者說。」「僧已捨是	是 界 誰 諸 長 老 忍 默 然 不 忍 者 說 僧 已 捨 是 
T22n1424_001:0215a20	界竟。僧忍，默然故，是事如是持。」(文無三共者，以背界故也)第	界 竟 僧 忍 默 然 故 是事如是持 文 無 三 共 者 以 背 界 故 也 第 
T22n1424_001:0215a21	二、結大界法(律云：結戒壇已更結僧坊界，應一比丘唱四方界相，又唱除內地。即據此文，應安兩	二 結 大 界 法 律 云 結 戒 壇 已 更 結 僧 坊 界 應 一 比 丘 唱 四 方 界 相 又 唱 除 內 地 即 據 此 文 應 安 兩 
T22n1424_001:0215a22	重標相：一大界外相、二大界內相。其外相者，住處方圓斜正大小規矩無定。故諸論中，界形有五或十七等，隨	重 標 相 一 大 界 外 相 二 大 界 內 相 其 外 相 者 住 處 方 圓 斜 正 大 小 規 矩 無 定 故 諸 論 中 界 形 有 五 或 十 七 等 隨 
T22n1424_001:0215a23	其前事即以為標，牓標內外任以為相。其內相者，標相准前，所除多少住處寬狹。但分兩界，勿相並入。古云一肘，	其 前 事 即 以 為 標 牓 標 內 外 任 以 為 相 其 內 相 者 標 相 准 前 所 除 多 少 住 處 寬 狹 但 分 兩 界 勿 相 並 入 古 云 一 肘 
T22n1424_001:0215a24	實為膠柱。作法方便、唱相法則，一准於前)。	實 為 膠 柱 作 法 方 便 唱 相 法 則 一 准 於 前 
T22n1424_001:0215a25	唱相法(威儀同前)。「大德僧聽！我比丘為僧唱四方大	唱 相 法 威 儀 同 前 大德僧聽 我 比 丘 為 僧 唱 四 方 大 
T22n1424_001:0215a26	界內外相。唱外相，從此東南角某標，乃至	界 內 外 相 唱 外 相 從 此 東 南 角 某 標 乃 至 
T22n1424_001:0215a27	還至東南角某標。此是大界外相一周訖。」(三說。內相	還 至 東 南 角 某 標 此 是 大 界 外 相 一 周 訖 三 說 內 相 
T22n1424_001:0215b01	准此，但稱內相為異。各三說訖，後總云：「彼為外相、此為內相，此是大界內外相三周訖。」)	准 此 但 稱 內 相 為 異 各 三 說 訖 後 總 云 彼 為 外 相 此 為 內 相 此 是 大 界 內 外 相 三 周 訖 
T22n1424_001:0215b02	正結大界法。「大德僧聽！此某甲比丘唱四	正 結 大 界 法 大德僧聽 此 某 甲 比 丘 唱 四 
T22n1424_001:0215b03	方界相及除內地，今僧結作僧大界，共住、共	方 界 相 及 除 內 地 今 僧 結 作 僧 大 界 共 住 共 
T22n1424_001:0215b04	布薩、共得施。若僧時到僧忍聽。白如是。」「大	布 薩 共 得 施 若僧時到 僧 忍 聽 白 如 是 大 
T22n1424_001:0215b05	德僧聽！此某甲比丘唱四方界相及除內地，	德 僧 聽 此 某 甲 比 丘 唱 四 方 界 相 及 除 內 地 
T22n1424_001:0215b06	今僧結作僧大界，共住、共布薩、共得施。誰諸	今 僧 結 作 僧 大 界 共 住 共 布 薩 共 得 施 誰 諸 
T22n1424_001:0215b07	長老忍，默然；不忍者說。」「僧已結某甲比丘唱	長 老 忍 默 然 不 忍 者 說 僧 已 結 某 甲 比 丘 唱 
T22n1424_001:0215b08	四方界相及除內地作僧大界，共住、共布薩、共	四 方 界 相 及 除 內 地 作 僧 大 界 共 住 共 布 薩 共 
T22n1424_001:0215b09	得施竟。僧忍，默然故，是事如是持。」(若無戒場，不除內地。但除	得 施 竟 僧 忍 默 然 故 是事如是持 若 無 戒 場 不 除 內 地 但 除 
T22n1424_001:0215b10	內地一句為異)	內 地 一 句 為 異 
T22n1424_001:0215b11	解大界法(方便如前)。「大德僧聽！此一住處，僧共住、共	解 大 界 法 方 便 如 前 大德僧聽 此 一 住 處 僧 共 住 共 
T22n1424_001:0215b12	布薩、共得施。先結此界，今解。若僧時到僧忍	布 薩 共 得 施 先 結 此 界 今 解 若僧時到 僧 忍 
T22n1424_001:0215b13	聽。白如是。」「大德僧聽！此一住處，僧共住、共布	聽 白 如 是 大德僧聽 此 一 住 處 僧 共 住 共 布 
T22n1424_001:0215b14	薩、共得施。先結此界，今解。誰諸長老忍，默然；	薩 共 得 施 先 結 此 界 今 解 誰 諸 長 老 忍 默 然 
T22n1424_001:0215b15	不忍者說。」「僧已解先所結界竟。僧忍，默然	不 忍 者 說 僧 已 解 先 所 結 界 竟 僧 忍 默 然 
T22n1424_001:0215b16	故，是事如是持。」(此解界文牒三共者，表與戒場大小為異)	故 是事如是持 此 解 界 文 牒 三 共 者 表 與 戒 場 大 小 為 異 
T22n1424_001:0215b17	第二、結解衣界法(因憍陳如持糞掃衣路行疲極，故開此法。界大藍小方可須結，藍	第 二 結 解 衣 界 法 因 憍 陳 如 持 糞 掃 衣 路 行 疲 極 故 開 此 法 界 大 藍 小 方 可 須 結 藍 
T22n1424_001:0215b18	大或等並不用之)。	大 或 等 並 不 用 之 
T22n1424_001:0215b19	「大德僧聽！此結界處聚落中(謂城塹籬柵之內也)、	 大德僧聽 此 結 界 處 聚 落 中 謂 城 塹 籬 柵 之 內 也 
T22n1424_001:0215b20	若聚落界(謂城塹等外人所行處，及有慚愧人大小行處。上之二處，《四分》、《十誦》並悉除之。今不除者，	若 聚 落 界 謂 城 塹 等 外 人 所 行 處 及 有 慚 愧 人 大小行處 上 之 二 處 四 分 十 誦 並 悉 除 之 今 不 除 者 
T22n1424_001:0215b21	宗殊故也)，	宗 殊 故 也 
T22n1424_001:0215b22	共住、共布薩、共得施。今結作不失衣界。若僧	共 住 共 布 薩 共 得 施 今 結 作 不 失 衣 界 若 僧 
T22n1424_001:0215b23	時到僧忍聽。白如是。」「大德僧聽！此結界處	時 到 僧 忍 聽 白 如 是 大德僧聽 此 結 界 處 
T22n1424_001:0215b24	聚落界，共住、共布薩、共得施，今結作不失衣	聚 落 界 共 住 共 布 薩 共 得 施 今 結 作 不 失 衣 
T22n1424_001:0215b25	界。誰諸長老忍，默然；不忍者說。」「僧已結作不	界 誰 諸 長 老 忍 默 然 不 忍 者 說 僧 已 結 作 不 
T22n1424_001:0215b26	失衣界竟。僧忍，默然故，是事如是持。」解衣	失 衣 界 竟 僧 忍 默 然 故 是事如是持 解 衣 
T22n1424_001:0215b27	界法。「大德僧聽！此結界處聚落中、若聚落	界 法 大德僧聽 此 結 界 處 聚 落 中 若 聚 落 
T22n1424_001:0215b28	界，先結作不失衣界，僧今解之。若僧時到	界 先 結 作 不 失 衣 界 僧 今 解 之 若僧時到 
T22n1424_001:0215c01	僧忍聽。白如是。」「大德僧聽！此結界處聚落	僧 忍 聽 白 如 是 大德僧聽 此 結 界 處 聚 落 
T22n1424_001:0215c02	中、若聚落界，先結作不失衣界，僧今解之。誰	中 若 聚 落 界 先 結 作 不 失 衣 界 僧 今 解 之 誰 
T22n1424_001:0215c03	諸長老忍，默然；不忍者說。」「僧已解不失衣界	諸 長 老 忍 默 然 不 忍 者 說 僧 已 解 不 失 衣 界 
T22n1424_001:0215c04	竟。僧忍，默然故，是事如是持。」(初結僧先，後解僧後)	竟 僧 忍 默 然 故 是事如是持 初 結 僧 先 後 解 僧 後 
T22n1424_001:0215c05	第三、結食界法(淨有三種，並文具顯)。一、他處淨(有一織師中路起屋，比丘	第 三 結 食 界 法 淨 有 三 種 並 文 具 顯 一 他 處 淨 有 一 織 師 中 路 起 屋 比 丘 
T22n1424_001:0215c06	欲於屋中作食安食。佛言：「聽於白衣舍作淨屋。」後以施僧，亦聽為淨屋)。	欲 於 屋 中 作 食 安 食 佛 言 聽 於 白 衣 舍 作 淨 屋 後 以 施 僧 亦 聽 為 淨 屋 
T22n1424_001:0215c07	二、處分淨(佛言：「若作新住處，應先指某處作淨地，便可安食。若未羯磨，不得入中至明相出。」有云：未	二 處 分 淨 佛 言 若 作 新 住 處 應 先 指 某 處 作 淨 地 便 可 安 食 若 未 羯 磨 不 得 入 中 至 明 相 出 有 云 未 
T22n1424_001:0215c08	羯磨者，謂簡淨地羯磨。今正以處分為羯磨)。	羯 磨 者 謂 簡 淨 地 羯 磨 今 正 以 處 分 為 羯 磨 
T22n1424_001:0215c09	三、羯磨淨(諸比丘著食淨屋中，為人所偷。佛言：「應羯磨中房作淨處。」諸比丘欲羯磨一房牆內、或齊	三 羯 磨 淨 諸 比 丘 著 食 淨 屋 中 為 人 所 偷 佛 言 應 羯 磨 中 房 作 淨 處 諸 比 丘 欲 羯 磨 一 房 牆 內 或 齊 
T22n1424_001:0215c10	屋溜處、或於中庭、或房一角、或半房等作淨地。佛言：「聽。應在院外結之。」律雖無文，義應唱相言也)。	屋 溜 處 或 於 中 庭 或 房 一 角 或 半 房 等 作 淨 地 佛 言 聽 應 在 院 外 結 之 律 雖 無 文 義 應 唱 相 言 也 
T22n1424_001:0215c11	「大德僧聽！我比丘為僧唱安食淨處。此僧伽	 大德僧聽 我 比 丘 為 僧 唱 安 食 淨 處 此 僧 伽 
