X24n0470_001:0846c06	 小引	 小 引 
X24n0470_001:0846c19	惺然。頓發鄙志。領受諭言。誠至齋戒。指我迷津。纔明	惺 然 頓 發 鄙 志 領 受 諭 言 誠 至 齋 戒 指 我 迷 津 纔 明 
X24n0470_001:0846c20	真性。報母之願有期矣。何以明其真性。所云金剛二	真 性 報 母 之 願 有 期 矣 何 以 明 其 真 性 所 云 金 剛 二 
X24n0470_001:0846c21	字。信其性然。是年冬。初客旋姑蘇。夏林二君過訪。袖	字 信 其 性 然 是 年 冬 初 客 旋 姑 蘇 夏 林 二 君 過 訪 袖 
X24n0470_001:0846c22	出金剛鐵鋑錎解。視予。玩味深遠。句句在正。字字合	出 金 剛 鐵 鋑 錎 解 視 予 玩 味 深 遠 句 句 在 正 字 字 合 
X24n0470_001:0846c23	中。是以復梓行世。凡誦金剛經者。必須細閱根由。方	中 是 以 復 梓 行 世 凡 誦 金 剛 經 者 必 須 細 閱 根 由 方 
X24n0470_001:0846c24	明出世之因。真為手鏡之用也云耳。	明 出 世 之 因 真 為 手 鏡 之 用 也 云 耳 
X24n0470_001:0847a01	順治戊子端月朔日柯山一止居士龔泰瑞麟生父	順 治 戊 子 端 月 朔 日 柯 山 一 止 居 士 龔 泰 瑞 麟 生 父 
X24n0470_001:0847a02	沐手謹識	沐 手 謹 識 
X24n0470_001:0847a08	註解鐵鋑錎	註 解 鐵 鋑 錎 
X24n0470_001:0847a11	　無上甚深微妙法　　百千萬劫難遭遇	 無 上 甚深微妙法 百千萬劫 難 遭 遇 
X24n0470_001:0847a12	　我今見聞得受持　　願解如來真實義	 我 今 見 聞 得 受 持 願 解 如 來 真 實 義 
X24n0470_001:0847a13	　金剛二字世間希　　脩行能有幾人知	 金 剛 二 字 世 間 希 脩 行 能 有 幾 人 知 
X24n0470_001:0847a14	　三十二個鐵鋑錎　　嚼破便是善知識	 三 十 二 個 鐵 鋑 錎 嚼 破 便 是 善 知 識 
X24n0470_001:0847a15	金剛者。自性堅固。永劫不壞。況金性堅剛也。此金	金 剛 者 自 性 堅 固 永 劫 不 壞 況 金 性 堅 剛 也 此 金 
X24n0470_001:0847a16	剛本性。無形無相。世間希少。天上難尋。故云。世間	剛 本 性 無 形 無 相 世 間 希 少 天 上 難 尋 故 云 世 間 
X24n0470_001:0847a17	希。時今一切修行之人。終日茫茫。著相持求。不知	希 時 今 一 切 修 行 之 人 終 日 茫 茫 著 相 持 求 不 知 
X24n0470_001:0847a18	金剛一性之圓明。徒逞六根著相之貪欲。故云。修	金 剛 一 性 之 圓 明 徒 逞 六 根 著 相 之 貪 欲 故 云 修 
X24n0470_001:0847a19	行能有幾人知。前兩句。言金剛本性。識者希少。後	行 能 有 幾 人 知 前 兩 句 言 金 剛 本 性 識 者 希 少 後 
X24n0470_001:0847a20	兩句。勸修行之人。把此一卷金剛經。細細嚼破。鐵	兩 句 勸 修 行 之 人 把 此 一 卷 金 剛 經 細 細 嚼 破 鐵 
X24n0470_001:0847a21	鋑錎者。鐵鋑。乃是鐵刀。錎。函也。故勸修行之人。看	鋑 錎 者 鐵 鋑 乃 是 鐵 刀 錎 函 也 故 勸 修 行 之 人 看 
X24n0470_001:0847a22	三十二分金剛經。由如三十二把鋑刀。皆要細細	三 十 二 分 金 剛 經 由 如 三 十 二 把 鋑 刀 皆 要 細 細 
X24n0470_001:0847a23	嚼破。若還有人嚼得破者。方纔稱得善知識也。故	嚼 破 若 還 有 人 嚼 得 破 者 方 纔 稱 得 善 知 識 也 故 
X24n0470_001:0847a24	云。嚼破便是善知識。	云 嚼 破 便 是 善 知 識 
X24n0470_001:0847b01	法會因由。無斷無休。不提正念。空過春秋。	法 會 因 由 無 斷 無 休 不 提 正 念 空 過 春 秋 
X24n0470_001:0847b02	說法聚會。由此起因。佛在舍衛國。祇樹給孤獨園。	說 法 聚 會 由 此 起 因 佛 在 舍 衛 國 祇 樹 給 孤 獨 園 
X24n0470_001:0847b03	與大比丘眾。千二百五十人俱。爾時世尊。食時著	與 大 比 丘 眾 千二百五十 人 俱 爾 時 世 尊 食 時 著 
X24n0470_001:0847b04	衣持鉢。入舍衛大城乞食。於其城中。次第乞已。還	衣 持 鉢 入 舍 衛 大 城 乞 食 於 其 城 中 次 第 乞 已 還 
X24n0470_001:0847b05	至本處。飯食訖。收衣鉢。洗足已。敷座而坐。因須菩	至 本 處 飯 食 訖 收 衣 鉢 洗 足 已 敷 座 而 坐 因 須 菩 
X24n0470_001:0847b06	提起問。故云。法會因由。無斷無休者。迦葉一笑得	提 起 問 故 云 法 會 因 由 無 斷 無 休 者 迦 葉 一 笑 得 
X24n0470_001:0847b07	來。直傳至二十八祖達磨。神光三拜得來。直傳至	來 直 傳 至 二 十 八 祖 達 磨 神 光 三 拜 得 來 直 傳 至 
X24n0470_001:0847b08	曹谿六祖惠能。後傳南嶽馬祖。直至今時。故云。無	曹 谿 六 祖 惠 能 後 傳 南 嶽 馬 祖 直 至 今 時 故 云 無 
X24n0470_001:0847b09	斷無休。時今有一等修行之人。也有識得一箇眼	斷 無 休 時 今 有 一 等 修 行 之 人 也 有 識 得 一 箇 眼 
X24n0470_001:0847b10	看耳聞的籠筒佛性。也有知得一箇法界真心。一	看 耳 聞 的 籠 筒 佛 性 也 有 知 得 一 箇 法 界 真 心 一 
X24n0470_001:0847b11	向廣覽經教。積習字脚在心。便說我能我會。我悟	向 廣 覽 經 教 積 習 字 脚 在 心 便 說 我 能 我 會 我 悟 
X24n0470_001:0847b12	我達。並不提箇正念。清解論云。若你廣通都知會。	我 達 並 不 提 箇 正 念 清 解 論 云 若 你 廣 通 都 知 會 
X24n0470_001:0847b13	不著正念怎得中。曉了正念和本地。何須出聲又	不 著 正 念 怎 得 中 曉 了 正 念 和 本 地 何 須 出 聲 又 
X24n0470_001:0847b14	啕氣。如此不提正念之人。空吃嘗齋。空過春秋者	啕 氣 如 此 不 提 正 念 之 人 空 吃 嘗 齋 空 過 春 秋 者 
X24n0470_001:0847b15	也。故云。不提正念。空過春秋。咄。如何是正念。噫。除	也 故 云 不 提 正 念 空 過 春 秋 咄 如 何 是 正 念 噫 除 
X24n0470_001:0847b16	了雜念。便是正念也。	了 雜 念 便 是 正 念 也 
X24n0470_001:0847b17	　法會因由起根源　　轉動寶藏得安然	 法 會 因 由 起 根 源 轉 動 寶 藏 得 安 然 
X24n0470_001:0847b18	　心無罣礙常常念　　諸佛時時在目前	 心 無 罣 礙 常 常 念 諸 佛 時 時 在 目 前 
X24n0470_001:0847b19	起句言。說法聚會之因由。乃是須菩提起問之根	起 句 言 說 法 聚 會 之 因 由 乃 是 須 菩 提 起 問 之 根 
X24n0470_001:0847b20	源。呈句。言此一卷金剛經。有二十七處疑。有二十	源 呈 句 言 此 一 卷 金 剛 經 有 二 十 七 處 疑 有 二 十 
X24n0470_001:0847b21	九處問答。或佛問。須菩提答。或須菩提問。佛答。由	九 處 問 答 或 佛 問 須 菩 提 答 或 須 菩 提 問 佛 答 由 
X24n0470_001:0847b22	如轉動寶藏。此乃須菩提。問世尊。善男子善女人。	如 轉 動 寶 藏 此 乃 須 菩 提 問 世 尊 善 男 子 善 女 人 
X24n0470_001:0847b23	發阿耨多羅三藐三菩提心。云何應住。云何降伏	發 阿耨多羅三藐三菩提 心 云 何 應 住 云 何 降 伏 
X24n0470_001:0847b24	其心。佛告須菩提。汝今諦聽。當為汝說。善男子。善	其 心 佛 告 須 菩 提 汝 今 諦 聽 當 為 汝 說 善 男 子 善 
X24n0470_001:0847c01	女人。發阿耨多羅三藐三菩提心。應如是住。如是	女 人 發 阿耨多羅三藐三菩提 心 應 如 是 住 如 是 
X24n0470_001:0847c02	降伏其心。如是者。乃是般若法。須菩提會佛之意。	降 伏 其 心 如 是 者 乃 是 般 若 法 須 菩 提 會 佛 之 意 
X24n0470_001:0847c03	纔得心內安然。故云轉動寶藏得安然。轉句。言此	纔 得 心 內 安 然 故 云 轉 動 寶 藏 得 安 然 轉 句 言 此 
X24n0470_001:0847c04	須菩提心內安然。心上無有罣碍。乃是無記頑空。	須 菩 提 心 內 安 然 心 上 無 有 罣 碍 乃 是 無 記 頑 空 
X24n0470_001:0847c05	故云嘗嘗念。嘗嘗念者。祇是眼看耳聞瞞不得。青	故 云 嘗 嘗 念 嘗 嘗 念 者 祇 是 眼 看 耳 聞 瞞 不 得 青 
X24n0470_001:0847c06	黃赤白。是當人結句。故云諸佛時時在目前。	黃 赤 白 是 當 人 結 句 故 云 諸 佛 時 時 在 目 前 
X24n0470_001:0847c07	法會因由。普勸世人正好脩。你說道不能勾。大限無	法 會 因 由 普 勸 世 人 正 好 脩 你 說 道 不 能 勾 大 限 無 
X24n0470_001:0847c08	人救。佛。閻王出帖勾。地獄三塗。不免將身受。苦痛難	人 救 佛 閻 王 出 帖 勾 地 獄 三 塗 不 免 將 身 受 苦 痛 難 
X24n0470_001:0847c09	熬無盡休。苦痛難熬無盡休。	熬 無 盡 休 苦 痛 難 熬 無 盡 休 
X24n0470_001:0847c10	我佛如來。說法四十九年。談經三百餘會。祇是勸	我 佛 如 來 說 法 四 十 九 年 談 經 三 百 餘 會 祇 是 勸 
X24n0470_001:0847c11	人。及早修行。今時世人。家私未足。夫妻恩愛。世事	人 及 早 修 行 今 時 世 人 家 私 未 足 夫 妻 恩 愛 世 事 
X24n0470_001:0847c12	不了。男女未大。諸事纏身。祇說我不能勾得。科家	不 了 男 女 未 大 諸 事 纏 身 祇 說 我 不 能 勾 得 科 家 
X24n0470_001:0847c13	道。忽朝大限到來。臨行手無所措。這裡脫下溫布	道 忽 朝 大 限 到 來 臨 行 手 無 所 措 這 裡 脫 下 溫 布 
X24n0470_001:0847c14	衫。那裏穿上胎州襖。去去來來。何日得了。生死苦	衫 那 裏 穿 上 胎 州 襖 去 去 來 來 何 日 得 了 生 死 苦 
X24n0470_001:0847c15	海。幾時得渡。我的佛。閻羅王在大鐵圍山外。有宮	海 幾 時 得 渡 我 的 佛 閻 羅 王 在 大鐵圍山 外 有 宮 
X24n0470_001:0847c16	殿縱廣六十由旬。七重墻壁。七重欄楯。七重鈴網。	殿 縱 廣 六 十 由 旬 七 重 墻 壁 七 重 欄 楯 七 重 鈴 網 
X24n0470_001:0847c17	其外七重多羅行樹。臺殿園苑種種可觀。王以惡	其 外 七 重 多 羅 行 樹 臺 殿 園 苑 種 種 可 觀 王 以 惡 
X24n0470_001:0847c18	業自然有。赤融銅汁在前。宮殿即變成鐵色。五欲	業 自 然 有 赤 融 銅 汁 在 前 宮 殿 即 變 成 鐵 色 五 欲 
X24n0470_001:0847c19	功德皆沒。王見此已。怖畏不安。即走入內。時守獄	功 德 皆 沒 王 見 此 已 怖 畏 不 安 即 走 入 內 時 守 獄 
X24n0470_001:0847c20	卒。取閻羅王。高舉撲之。以融銅汁。灌入王口。次第	卒 取 閻 羅 王 高 舉 撲 之 以 融 銅 汁 灌 入 王 口 次 第 
X24n0470_001:0847c21	燋然。從下而出。王作是念。往昔作惡。令受此苦。願	燋 然 從 下 而 出 王 作 是 念 往 昔 作 惡 令 受 此 苦 願 
X24n0470_001:0847c22	捨自身。于佛法中。出家入道。既發善念。所住宮殿	捨 自 身 于 佛 法 中 出家入道 既 發 善 念 所 住 宮 殿 
X24n0470_001:0847c23	還復如舊。事之了畢。還與彩女娛樂。彼諸大臣。亦	還 復 如 舊 事 之 了 畢 還 與 彩 女 娛 樂 彼 諸 大 臣 亦 
X24n0470_001:0847c24	復如是。閻王尚然。何況一切受苦眾生者也。出帖	復 如 是 閻 王 尚 然 何 況 一 切 受 苦 眾 生 者 也 出 帖 
X24n0470_001:0848a01	勾者。閻羅王差無常二鬼勾喚。地獄者。大海之底。	勾 者 閻 羅 王 差 無 常 二 鬼 勾 喚 地 獄 者 大 海 之 底 
X24n0470_001:0848a02	有石名沃燋。縱廣八萬四千由旬。厚二萬里。下有	有 石 名 沃 燋 縱 廣 八萬四千 由 旬 厚 二 萬 里 下 有 
X24n0470_001:0848a03	八大地獄。一名活大地獄。二名黑繩大地獄。三名	八大地獄 一 名 活 大 地 獄 二 名 黑 繩 大 地 獄 三 名 
X24n0470_001:0848a04	合大地獄。四名呌喚大地獄。五名大呌喚大地獄。	合 大 地 獄 四 名 呌 喚 大 地 獄 五 名 大 呌 喚 大 地 獄 
X24n0470_001:0848a05	六名熱惱大地獄。七名大熱惱大地獄。八名阿鼻	六 名 熱 惱 大 地 獄 七 名 大 熱 惱 大 地 獄 八 名 阿 鼻 
X24n0470_001:0848a06	大地獄。每一重縱廣五百由旬。各各有十六小獄。	大 地 獄 每 一 重 縱 廣 五 百 由 旬 各 各 有 十 六 小 獄 
X24n0470_001:0848a07	周匝圍繞。一名黑雲沙小地獄。二名糞屎泥小地	周匝圍繞 一 名 黑 雲 沙 小 地 獄 二 名 糞 屎 泥 小 地 
X24n0470_001:0848a08	獄。三名五叉小地獄。四名飢餓小地獄。五名燋渴	獄 三 名 五 叉 小 地 獄 四 名 飢 餓 小 地 獄 五 名 燋 渴 
X24n0470_001:0848a09	小地獄。六名膿血小地獄。七名一銅釜小地獄。八	小 地 獄 六 名 膿 血 小 地 獄 七 名 一 銅 釜 小 地 獄 八 
X24n0470_001:0848a10	名多銅釜小地獄。九名鐵磑小地獄。十名豳量小	名 多 銅 釜 小 地 獄 九 名 鐵 磑 小 地 獄 十 名 豳 量 小 
X24n0470_001:0848a11	地獄。十一名雞小地獄。十二名灰河小地獄。十三	地 獄 十 一 名 雞 小 地 獄 十 二 名 灰 河 小 地 獄 十 三 
X24n0470_001:0848a12	斫截小地獄。十四劍葉小地獄。十五狐狼小地獄。	斫 截 小 地 獄 十 四 劍 葉 小 地 獄 十 五 狐 狼 小 地 獄 
X24n0470_001:0848a13	十六寒冰小地獄。三塗者。乃是地獄塗。餓鬼塗。畜	十 六 寒 冰 小 地 獄 三 塗 者 乃 是 地 獄 塗 餓 鬼 塗 畜 
X24n0470_001:0848a14	生塗。一切作業之人。不免將身自受。無人替得。二	生 塗 一 切 作 業 之 人 不 免 將 身 自 受 無 人 替 得 二 
X24n0470_001:0848a15	受過五百劫。故云。苦痛難熬無盡休。	受 過 五 百 劫 故 云 苦 痛 難 熬 無 盡 休 
X24n0470_001:0848a16	善現起請。無形無影。自己彌陀。迷人不惺。	善 現 起 請 無 形 無 影 自 己 彌 陀 迷 人 不 惺 
X24n0470_001:0848a17	善現即是須菩提起來請佛說法。在大眾中。即從	善 現 即 是 須 菩 提 起 來 請 佛 說 法 在 大 眾 中 即 從 
X24n0470_001:0848a18	座起。褊袒右肩。右膝著地。合掌恭敬。而白佛言。希	座 起 褊 袒 右 肩 右膝著地 合掌恭敬 而 白 佛 言 希 
X24n0470_001:0848a19	有世尊。如來善護念諸菩薩。善付囑諸菩薩。世尊。	有 世 尊 如 來 善 護 念 諸 菩 薩 善 付 囑 諸 菩 薩 世 尊 
X24n0470_001:0848a20	善男子。善女人。發阿耨多羅三藐三菩提心。云何	善 男 子 善 女 人 發 阿耨多羅三藐三菩提 心 云 何 
X24n0470_001:0848a21	應住。云何降伏其心。此乃須菩提。從座而起。右膝	應 住 云 何 降 伏 其 心 此 乃 須 菩 提 從座而起 右 膝 
X24n0470_001:0848a22	著地。合掌恭敬。讚嘆世尊。身長丈六紫磨金容。具	著 地 合掌恭敬 讚 嘆 世 尊 身 長 丈 六 紫 磨 金 容 具 
X24n0470_001:0848a23	三十二相。八十種好。三界無比。口吐八萬四千法	三十二相 八十種好 三 界 無 比 口 吐 八萬四千 法 
X24n0470_001:0848a24	門。故云。希有世尊。如來以般若波羅密法。護念諸	門 故 云 希 有 世 尊 如 來 以 般 若 波 羅 密 法 護 念 諸 
X24n0470_001:0848b01	菩薩。如來以般若波羅密法。付囑須菩提。諸大菩	菩 薩 如 來 以 般 若 波 羅 密 法 付 囑 須 菩 提 諸 大 菩 
X24n0470_001:0848b02	薩。令諸學人以般若智。護念自身。心不令妄。不起	薩 令 諸 學 人 以 般 若 智 護 念 自 身 心 不 令 妄 不 起 
X24n0470_001:0848b03	邪念。須菩提觀一切善男子。善女人。躁擾不停。念	邪 念 須 菩 提 觀 一 切 善 男 子 善 女 人 躁 擾 不 停 念 
X24n0470_001:0848b04	念相續。無有間歇。云何法而住。云何法而降伏其	念 相 續 無 有 間 歇 云 何 法 而 住 云 何 法 而 降 伏 其 
X24n0470_001:0848b05	妄想之心也。佛言。善哉善哉。須菩提。如汝所說。如	妄 想 之 心 也 佛 言 善哉善哉 須 菩 提 如 汝 所 說 如 
X24n0470_001:0848b06	來善護念諸菩薩。善付囑諸菩薩。汝今諦聽。當為	來 善 護 念 諸 菩 薩 善 付 囑 諸 菩 薩 汝 今 諦 聽 當 為 
X24n0470_001:0848b07	汝說。善男子。善女人。發阿耨多羅三藐三菩提心。	汝 說 善 男 子 善 女 人 發 阿耨多羅三藐三菩提 心 
X24n0470_001:0848b08	應如是住。如是降伏其心。如來觀見須菩提。問處	應 如 是 住 如 是 降 伏 其 心 如 來 觀 見 須 菩 提 問 處 
X24n0470_001:0848b09	孤高。故言善哉善哉。佛呌須菩提。如汝這樣所說。	孤 高 故 言 善哉善哉 佛 呌 須 菩 提 如 汝 這 樣 所 說 
X24n0470_001:0848b10	乃是劫外向上之間。善護我心。非獨你得。我念諸	乃 是 劫 外 向 上 之 間 善 護 我 心 非 獨 你 得 我 念 諸 
X24n0470_001:0848b11	菩薩。我善付囑諸菩薩。你今諦聽。我當為汝說法。	菩 薩 我 善 付 囑 諸 菩 薩 你 今 諦 聽 我 當 為 汝 說 法 
X24n0470_001:0848b12	若善男子。善女人。發無上真正之心。應如是般若	若 善 男 子 善 女 人 發 無 上 真 正 之 心 應 如 是 般 若 
X24n0470_001:0848b13	法而住。如是般若法而降伏其妄想之心也。須菩	法 而 住 如 是 般 若 法 而 降 伏 其 妄 想 之 心 也 須 菩 
X24n0470_001:0848b14	提言。唯然世尊。願樂欲聞。此須菩提。願佛廣說。領	提 言 唯 然 世 尊 願 樂 欲 聞 此 須 菩 提 願 佛 廣 說 領 
X24n0470_001:0848b15	中下根機盡得開悟也。此妄想之心。本是不屬相	中 下 根 機 盡 得 開 悟 也 此 妄 想 之 心 本 是 不 屬 相 
X24n0470_001:0848b16	貌。非青赤白。故云。無形無影。這箇妄想之心。非從	貌 非 青 赤 白 故 云 無 形 無 影 這 箇 妄 想 之 心 非 從 
X24n0470_001:0848b17	外得。實是自己彌陀發出來的。永嘉云。無明實性	外 得 實 是 自 己 彌 陀 發 出 來 的 永 嘉 云 無 明 實 性 
X24n0470_001:0848b18	即佛性。幻化空身即法身。故云。自己彌陀。一切迷	即 佛 性 幻 化 空 身 即 法 身 故 云 自 己 彌 陀 一 切 迷 
X24n0470_001:0848b19	人。不惺此意。著相特來。不了此心。故迷迭不悟。	人 不 惺 此 意 著 相 特 來 不 了 此 心 故 迷 迭 不 悟 
X24n0470_001:0848b20	　善現啟請在本身　　行住坐臥念真經	 善 現 啟 請 在 本 身 行住坐臥 念 真 經 
X24n0470_001:0848b21	　若還踏著無生地　　步步頭頭總現成	 若 還 踏 著 無 生 地 步 步 頭 頭 總 現 成 
X24n0470_001:0848b22	善現即是須菩提起來請問佛法。一切修行之人。	善 現 即 是 須 菩 提 起 來 請 問 佛 法 一 切 修 行 之 人 
X24n0470_001:0848b23	誦何經。而菩薩住處。誦何經而降伏其妄想之心	誦 何 經 而 菩 薩 住 處 誦 何 經 而 降 伏 其 妄 想 之 心 
X24n0470_001:0848b24	也。佛言。如是金剛般若波羅蜜經而住。如是金剛	也 佛 言 如 是 金 剛 般若波羅蜜經 而 住 如 是 金 剛 
X24n0470_001:0848c01	般若波羅密經而降伏其妄想之心也。此一卷金	般 若 波 羅 密 經 而 降 伏 其 妄 想 之 心 也 此 一 卷 金 
X24n0470_001:0848c02	剛經。非是紙上的。乃是金性堅剛。永結不壞。故云	剛 經 非 是 紙 上 的 乃 是 金 性 堅 剛 永 結 不 壞 故 云 
X24n0470_001:0848c03	金剛。般若者。智慧也。智以方便為功。慧以訣斷為	金 剛 般 若 者 智 慧 也 智 以 方 便 為 功 慧 以 訣 斷 為 
X24n0470_001:0848c04	用。波羅密者。發彼岸義也。見性得度。即登彼岸。未	用 波 羅 密 者 發 彼 岸 義 也 見 性 得 度 即 登 彼 岸 未 
X24n0470_001:0848c05	得度者。即在此岸。乃是人人的靈覺真性。故云。本	得 度 者 即 在 此 岸 乃 是 人 人 的 靈 覺 真 性 故 云 本 
X24n0470_001:0848c06	在身。言此一卷金剛經。在行住坐臥四威儀中。無	在 身 言 此 一 卷 金 剛 經 在 行住坐臥 四 威 儀 中 無 
X24n0470_001:0848c07	斷無滅。如何增得。如何減得。故云。行住坐臥念真	斷 無 滅 如 何 增 得 如 何 減 得 故 云 行住坐臥 念 真 
X24n0470_001:0848c08	經。前兩句。說此金剛經。在行住坐臥之中。後兩句。	經 前 兩 句 說 此 金 剛 經 在 行住坐臥 之 中 後 兩 句 
X24n0470_001:0848c09	又要行人還要踏無生覺地。科儀云。步步踏著實	又 要 行 人 還 要 踏 無 生 覺 地 科 儀 云 步 步 踏 著 實 
X24n0470_001:0848c10	地。頭頭頂掛虗空。穿衣時。摸著腰領。洗面時。揣著	地 頭 頭 頂 掛 虗 空 穿 衣 時 摸 著 腰 領 洗 面 時 揣 著 
X24n0470_001:0848c11	鼻梁。上樹時。兩手攀枝。下坑來。兩脚點地。可謂步	鼻 梁 上 樹 時 兩 手 攀 枝 下 坑 來 兩 脚 點 地 可 謂 步 
X24n0470_001:0848c12	步頭頭總現成也。	步 頭 頭 總 現 成 也 
X24n0470_001:0848c13	善現起請。欲要脩行路不通。眼前黑洞洞。六賊來搬	善 現 起 請 欲 要 脩 行 路 不 通 眼 前 黑 洞 洞 六 賊 來 搬 
X24n0470_001:0848c14	弄。佛。著力緊加功。打死無明。纔得三昧定。一法通時	弄 佛 著 力 緊 加 功 打 死 無 明 纔 得 三 昧 定 一 法 通 時 
X24n0470_001:0848c15	萬法通。一法通時萬法通。	萬 法 通 一 法 通 時 萬 法 通 
X24n0470_001:0848c16	言此須菩提。請問如來一切脩行之人。恩愛不斷。	言 此 須 菩 提 請 問 如 來 一 切 脩 行 之 人 恩 愛 不 斷 
X24n0470_001:0848c17	六欲不除。無明未棄。如何降伏其妄想之心也。故	六 欲 不 除 無 明 未 棄 如 何 降 伏 其 妄 想 之 心 也 故 
X24n0470_001:0848c18	云。眼前黑洞洞。六賊來搬弄。我的佛。還要行人著	云 眼 前 黑 洞 洞 六 賊 來 搬 弄 我 的 佛 還 要 行 人 著 
X24n0470_001:0848c19	力加功。力有五力。乃有進力。信力。念力。定力。慧力。	力 加 功 力 有 五 力 乃 有 進 力 信 力 念 力 定 力 慧 力 
X24n0470_001:0848c20	若有智慧之力。打死無明煩惱恩愛妄想四事永	若 有 智 慧 之 力 打 死 無 明 煩 惱 恩 愛 妄 想 四 事 永 
X24n0470_001:0848c21	滅。纔得無諍三昧。定也。故云。打死無明。纔得三昧	滅 纔 得 無諍三昧 定 也 故 云 打 死 無 明 纔 得 三 昧 
X24n0470_001:0848c22	定。若得無諍三昧定了。顯出清淨涅槃妙心。即是	定 若 得 無諍三昧 定 了 顯 出 清 淨 涅 槃 妙 心 即 是 
X24n0470_001:0848c23	一箇法界真心。是故。一法通時萬法通。	一 箇 法 界 真 心 是 故 一 法 通 時 萬 法 通 
X24n0470_001:0848c24	大乘正宗。降伏其心。揭起海底。直上崑崙。	大 乘 正 宗 降 伏 其 心 揭 起 海 底 直 上 崑 崙 
X24n0470_001:0849a01	大乘。非是小乘。正宗。非是邪宗。佛告須菩提。諸菩	大 乘 非 是 小 乘 正 宗 非 是 邪 宗 佛 告 須 菩 提 諸 菩 
X24n0470_001:0849a02	薩摩訶薩。應如是降伏其心。菩薩者梵語。東土為	薩 摩 訶 薩 應 如 是 降 伏 其 心 菩 薩 者 梵 語 東 土 為 
X24n0470_001:0849a03	道心眾生。摩訶者梵語。東土為大。乃是大菩薩。此	道 心 眾 生 摩 訶 者 梵 語 東 土 為 大 乃 是 大 菩 薩 此 
X24n0470_001:0849a04	大菩薩。雖在塵勞。心常清淨。又慈悲喜捨。種種方	大 菩 薩 雖 在 塵 勞 心 常 清 淨 又 慈 悲 喜 捨 種 種 方 
X24n0470_001:0849a05	便。化導眾生。名為菩薩。雖化眾生。心無取著。是名	便 化 導 眾 生 名 為 菩 薩 雖 化 眾 生 心 無 取 著 是 名 
X24n0470_001:0849a06	摩訶薩。恭敬一切眾生。即是降伏自心處。故云。大	摩 訶 薩 恭 敬 一 切 眾 生 即 是 降 伏 自 心 處 故 云 大 
X24n0470_001:0849a07	乘正宗。降伏其心。後兩句。海底崑崙者。海底即是	乘 正 宗 降 伏 其 心 後 兩 句 海 底 崑 崙 者 海 底 即 是 
X24n0470_001:0849a08	濕生。崑崙即是須彌山王。直至非想非非想處天。	濕 生 崑 崙 即 是 須 彌 山 王 直 至 非想非非想處 天 
X24n0470_001:0849a09	此言所有一切眾生之類。若卵生。若胎生。若濕生。	此 言 所有一切 眾 生 之 類 若 卵 生 若 胎 生 若 濕 生 
X24n0470_001:0849a10	若化生。若有色若無色。若有想。若無想。若非有想。	若 化 生 若 有 色 若 無 色 若 有 想 若 無 想 若 非 有 想 
X24n0470_001:0849a11	若非無想。我皆令入無餘涅槃。卵生者。迷性也。胎	若 非 無 想 我 皆 令 入無餘涅槃 卵 生 者 迷 性 也 胎 
X24n0470_001:0849a12	生者。習性也。濕生者。隨邪性也。化生者。見趣性也。	生 者 習 性 也 濕 生 者 隨 邪 性 也 化 生 者 見 趣 性 也 
X24n0470_001:0849a13	乃是四生之根。若起修心之心。不契無相之理。名	乃 是 四 生 之 根 若 起 修 心 之 心 不 契 無 相 之 理 名 
