T85n2794_001:0683c03	律抄	律 抄 
T85n2794_001:0683c25	食亦可得用　問。暫入聚落得留衣鉢去不	食 亦 可 得 用 問 暫 入 聚 落 得 留 衣 鉢 去 不 
T85n2794_001:0683c26	　答。得留。若被宿應持去　問。得總白和上作	 答 得 留 若 被 宿 應 持 去 問 得 總 白 和 上 作 
T85n2794_001:0683c27	一切法事不　答。得總白　問。飯食時亦應	一 切 法 事 不 答 得 總 白 問 飯 食 時 亦 應 
T85n2794_001:0683c28	白和上　答。不須白。以揵椎故　問。蘇著水	白 和 上 答 不 須 白 以 揵 椎 故 問 蘇 著 水 
T85n2794_001:0683c29	中。無病得非時飲不　答。得飲　問。道由聚	中 無 病 得 非 時 飲 不 答 得 飲 問 道 由 聚 
T85n2794_001:0684a01	落中過。得不著僧迦利不　答。須著　問。法	落 中 過 得 不 著 僧 迦 利 不 答 須 著 問 法 
T85n2794_001:0684a02	事私事得受三十九夜去不　答。三寶事得。	事 私 事 得 受 三 十 九 夜 去 不 答 三 寶 事 得 
T85n2794_001:0684a03	若私事不得　問。捉殺行不　答。得捉。若長	若 私 事 不 得 問 捉 殺 行 不 答 得 捉 若 長 
T85n2794_001:0684a04	持者不得　問。夏後一月時。同加締那衣時。	持 者 不 得 問 夏 後 一 月 時 同 加 締 那 衣 時 
T85n2794_001:0684a05	得離衣宿不　答。離三衣不同。餘事悉同	得 離 衣 宿 不 答 離 三 衣 不 同 餘 事 悉 同 
T85n2794_001:0684a06	　問。一住處果竹幸多。知事人得分與餘處僧	 問 一 住 處 果 竹 幸 多 知 事 人 得 分 與 餘 處 僧 
T85n2794_001:0684a07	及白衣不　答。知事人不得。僧先教與得與	及 白 衣 不 答 知 事 人 不 得 僧 先 教 與 得 與 
T85n2794_001:0684a08	　問。若住處又安般和合。得移精舍餘處云	 問 若 住 處 又 安 般 和 合 得 移 精 舍 餘 處 云 
T85n2794_001:0684a09	不　答。不得　問。若界內見他犯罪。即出亦	不 答 不 得 問 若 界 內 見 他 犯 罪 即 出 亦 
T85n2794_001:0684a10	須向人說　答。其應說　問。僧淨器得比丘	須 向 人 說 答 其 應 說 問 僧 淨 器 得 比 丘 
T85n2794_001:0684a11	床上食白衣不　答。得　問。若聞他麁罪。須	床 上 食 白 衣 不 答 得 問 若 聞 他 麁 罪 須 
T85n2794_001:0684a12	向人說不　答。不須說　問。若殘食乞白衣	向 人 說 不 答 不 須 說 問 若 殘 食 乞 白 衣 
T85n2794_001:0684a13	不洗手。得捉僧淨器不　答。得　問。大銅槃	不 洗 手 得 捉 僧 淨 器 不 答 得 問 大 銅 槃 
T85n2794_001:0684a14	得私房中術不　答。不得。自畜得淨施。白衣	得 私 房 中 術 不 答 不 得 自 畜 得 淨 施 白 衣 
T85n2794_001:0684a15	私房中食術無犯　問。得捉金銀供養具不	私 房 中 食 術 無 犯 問 得 捉 金 銀 供 養 具 不 
T85n2794_001:0684a16	　答。不得捉。異部得捉　問。若上下高坐動帳	 答 不 得 捉 異 部 得 捉 問 若 上 下 高 坐 動 帳 
T85n2794_001:0684a17	無犯不　卒不為動故　問。二三臘比丘得	無 犯 不 卒 不 為 動 故 問 二 三 臘 比 丘 得 
T85n2794_001:0684a18	作羯磨師不　答。若知法得作。	作 羯 磨 師 不 答 若 知 法 得 作 
T85n2794_001:0684a19	問。土人不以二受香為敬。得常立受香不	問 土 人 不 以 二 受 香 為 敬 得 常 立 受 香 不 
T85n2794_001:0684a20	　答。得　問。從四月十七日乃至五月半。中間	 答 得 問 從 四 月 十 七 日 乃 至 五 月 半 中 間 
T85n2794_001:0684a21	悉得結後坐不　答。不得。異部中有得。受後	悉 得 結 後 坐 不 答 不 得 異 部 中 有 得 受 後 
T85n2794_001:0684a22	安居人得共前安居人並自恣不　答。數滿	安 居 人 得 共 前 安 居 人 並 自 恣 不 答 數 滿 
T85n2794_001:0684a23	九十日便自恣竟。便得受加締那衣。亦應數	九 十 日 便 自 恣 竟 便 得 受 加 締 那 衣 亦 應 數 
T85n2794_001:0684a24	日不得。至臘月方捨　問。中有潤。六月半結。	日 不 得 至 臘 月 方 捨 問 中 有 潤 六 月 半 結 
T85n2794_001:0684a25	後坐八月半。滿九十日得不　答。不得。後坐	後 坐 八 月 半 滿 九 十 日 得 不 答 不 得 後 坐 
T85n2794_001:0684a26	法要五月十五日也　問。安居中有父母師	法 要 五 月十五日 也 問 安 居 中 有 父 母 師 
T85n2794_001:0684a27	僂病諸難。破安居去。有罪不　答。無罪。但是	僂 病 諸 難 破 安 居 去 有 罪 不 答 無 罪 但 是 
T85n2794_001:0684a28	破安居可　問。一人說竟。為眾都竟名自恣	破 安 居 可 問 一 人 說 竟 為 眾 都 竟 名 自 恣 
T85n2794_001:0684a29	竟耶　一人三說竟白羯磨竟。應遮非比丘	竟 耶 一 人 三 說 竟 白 羯 磨 竟 應 遮 非 比 丘 
T85n2794_001:0684b01	　問。加締那衣時得不受殘食及長鉢不	 問 加 締 那 衣 時 得 不 受 殘 食 及 長 鉢 不 
T85n2794_001:0684b02	　答。不受殘食。不得受長鉢　問。後安居亦有	 答 不 受 殘 食 不 得 受 長 鉢 問 後 安 居 亦 有 
T85n2794_001:0684b03	一月時不　答。同有　問。若犯四重戒故在	一 月 時 不 答 同 有 問 若 犯 四 重 戒 故 在 
T85n2794_001:0684b04	不　答。戒故在　問。欲時不得楷露刑人。若	不 答 戒 故 在 問 欲 時 不 得 楷 露 刑 人 若 
T85n2794_001:0684b05	得含勒得相楷不　答。得　問。得受氈作尼	得 含 勒 得 相 楷 不 答 得 問 得 受 氈 作 尼 
T85n2794_001:0684b06	師檀不　答　得　問。若優婆塞犯同四重得	師 檀 不 答 得 問 若 優 婆 塞 犯 同 四 重 得 
T85n2794_001:0684b07	出家不　答。得與出家　問。若貴人不肯從	出 家 不 答 得 與 出 家 問 若 貴 人 不 肯 從 
T85n2794_001:0684b08	比丘。三自歸可得像前自受不　答。得　問。	比 丘 三 自 歸 可 得 像 前 自 受 不 答 得 問 
T85n2794_001:0684b09	若隔慢與女人受戒得不　答。若聞聲得	若 隔 慢 與 女 人 受 戒 得 不 答 若 聞 聲 得 
T85n2794_001:0684b10	　問。次戒雖欲受戒羯磨時不能專心聽。又不	 問 次 戒 雖 欲 受 戒 羯 磨 時 不 能 專 心 聽 又 不 
T85n2794_001:0684b11	解羯磨。當得戒不　答。得下品戒　問。沙彌	解 羯 磨 當 得 戒 不 答 得 下 品 戒 問 沙 彌 
T85n2794_001:0684b12	無和上。一人得與受戒不　前人得我師。得	無 和 上 一 人 得 與 受 戒 不 前 人 得 我 師 得 
T85n2794_001:0684b13	師罪　問。沙彌遙請和上受十戒。得戒不	師 罪 問 沙 彌 遙 請 和 上 受 十 戒 得 戒 不 
T85n2794_001:0684b14	答。得戒　問。授沙彌戒時不求和上。得不	答 得 戒 問 授 沙 彌 戒 時 不 求 和 上 得 不 
T85n2794_001:0684b15	　答。不須求　問。先以授三歸戒後受八戒時。	 答 不 須 求 問 先 以 授 三 歸 戒 後 受 八 戒 時 
T85n2794_001:0684b16	不說前三歸總後說三歸得不　答。不得□	不 說 前 三 歸 總 後 說 三 歸 得 不 答 不 得 
T85n2794_001:0684b17	□盡前三歸　問。尼應白僧。自恣已還房。尼	 盡 前 三 歸 問 尼 應 白 僧 自 恣 已 還 房 尼 
T85n2794_001:0684b18	得從自恣人遊受不　答。應更集僧受　問。	得 從 自 恣 人 遊 受 不 答 應 更 集 僧 受 問 
T85n2794_001:0684b19	二三尼共住亦應受八敬法不　答。受六法。	二 三 尼 共 住 亦 應 受 八 敬 法 不 答 受 六 法 
T85n2794_001:0684b20	尼不作本事。直大僧中受大戒得戒不　答。	尼 不 作 本 事 直 大 僧 中 受 大 戒 得 戒 不 答 
T85n2794_001:0684b21	不得戒。異部有得處　問。尼僧不羯磨。差人	不 得 戒 異 部 有 得 處 問 尼 僧 不 羯 磨 差 人 
T85n2794_001:0684b22	直遣從比丘受八敬法得不　答。不得。要應	直 遣 從 比 丘 受 八 敬 法 得 不 答 不 得 要 應 
T85n2794_001:0684b23	羯磨。比丘僧中受六法。尼戒得不　答。得	羯 磨 比 丘 僧 中 受 六 法 尼 戒 得 不 答 得 
T85n2794_001:0684b24	　問。尼界內獨宿得何罪　答。若界內有餘尼	 問 尼 界 內 獨 宿 得 何 罪 答 若 界 內 有 餘 尼 
T85n2794_001:0684b25	而別房宿犯偷蘭罪。若界內都無尼僧伽婆尸	而 別 房 宿 犯 偷 蘭 罪 若 界 內 都 無 尼 僧 伽 婆 尸 
T85n2794_001:0684b26	沙　問。若一比丘尼僧中為六法。尼作羯磨。	沙 問 若 一 比 丘 尼 僧 中 為 六 法 尼 作 羯 磨 
T85n2794_001:0684b27	得戒不　答。不得　問。比丘授沙彌尼戒。而	得 戒 不 答 不 得 問 比 丘 授 沙彌尼戒 而 
T85n2794_001:0684b28	尼作和上。得戒不　答。得　問。若不受六法	尼 作 和 上 得 戒 不 答 得 問 若 不 受 六 法 
T85n2794_001:0684b29	便與大戒。得不　答。不得戒　問。若受六法	便 與 大 戒 得 不 答 不 得 戒 問 若 受 六 法 
T85n2794_001:0684c01	而不二歲。便受大戒。得戒不　答。前人得戒。	而 不 二 歲 便 受 大 戒 得 戒 不 答 前 人 得 戒 
T85n2794_001:0684c02	僧得罪　問。中衣作大衣。受得著入聚落不	僧 得 罪 問 中 衣 作 大 衣 受 得 著 入 聚 落 不 
T85n2794_001:0684c03	　答。貧不能得總。中衣受作大衣得無罪。若	 答 貧 不 能 得 總 中 衣 受 作 大 衣 得 無 罪 若 
T85n2794_001:0684c04	曼不得入　問。直縫衣得受持不　答。不能。	曼 不 得 入 問 直 縫 衣 得 受 持 不 答 不 能 
T85n2794_001:0684c05	好受亦無罪　問。求和上時不捉足得不	好 受 亦 無 罪 問 求 和 上 時 不 捉 足 得 不 
T85n2794_001:0684c06	　答。隨安□不必須捉　問。界內有比丘。得向	 答 隨 安 不 必 須 捉 問 界 內 有 比 丘 得 向 
T85n2794_001:0684c07	沙彌說淨不　答。向不得。餘部律中得　問。	沙 彌 說 淨 不 答 向 不 得 餘 部 律 中 得 問 
T85n2794_001:0684c08	釋比丘得心念口言。結安居不　答。得　問。	釋 比 丘 得 心 念 口 言 結 安 居 不 答 得 問 
T85n2794_001:0684c09	若獨安居云何說　答。如常共人說法。若先	若 獨 安 居 云 何 說 答 如 常 共 人 說 法 若 先 
T85n2794_001:0684c10	受三十九夜。盡復得受七日不　答。得　問。	受 三 十 九 夜 盡 復 得 受 七 日 不 答 得 問 
T85n2794_001:0684c11	小比丘得暫就二和上得一二宿不　答。和	小 比 丘 得 暫 就 二 和 上 得 一 二 宿 不 答 和 
T85n2794_001:0684c12	上遣行彼無好師無罪　問。律中云。無慚無	上 遣 行 彼 無 好 師 無 罪 問 律 中 云 無 慚 無 
T85n2794_001:0684c13	愧比丘獨食淨。何名無慚無愧　答。犯四重	愧 比 丘 獨 食 淨 何 名 無慚無愧 答 犯 四 重 
T85n2794_001:0684c14	名無慚無愧　問。亡比丘臥縟長床錢米穀	名 無慚無愧 問 亡 比 丘 臥 縟 長 床 錢 米 穀 
T85n2794_001:0684c15	應分不　答。臥縟長床小床不應分。在重物	應 分 不 答 臥 縟 長 床 小 床 不 應 分 在 重 物 
T85n2794_001:0684c16	中。錢米入僧食用。不應分　問。若貴人別請	中 錢 米 入 僧 食 用 不 應 分 問 若 貴 人 別 請 
T85n2794_001:0684c17	十人。給錢米作食。若長得分不　答。得分	十 人 給 錢 米 作 食 若 長 得 分 不 答 得 分 
T85n2794_001:0684c18	　問。終身藥已受著器中。白中衣捉物不更受	 問 終 身 藥 已 受 著 器 中 白 中 衣 捉 物 不 更 受 
T85n2794_001:0684c19	而服。犯何罪　答。不須更受。七日藥亦如是	而 服 犯 何 罪 答 不 須 更 受 七 日 藥 亦 如 是 
T85n2794_001:0684c20	　問。捉七日飲食藥移動。更應受七日。終身	 問 捉 七 日 飲 食 藥 移 動 更 應 受 七 日 終 身 
T85n2794_001:0684c21	已手受未口受。移亦應更受　問。律中云。不	已 手 受 未 口 受 移 亦 應 更 受 問 律 中 云 不 
T85n2794_001:0684c22	得著皮。除摩栰鹿摩栰。鹿皮定著不　答。不	得 著 皮 除 摩 栰 鹿 摩 栰 鹿 皮 定 著 不 答 不 
T85n2794_001:0684c23	得　問。尼依比丘安居。而不在比丘界內。得	得 問 尼 依 比 丘 安 居 而 不 在 比 丘 界 內 得 
T85n2794_001:0684c24	不　答。不須在比丘界內　問。僧中常等行	不 答 不 須 在 比 丘 界 內 問 僧 中 常 等 行 
T85n2794_001:0684c25	食上坐。復須教等與不　答。知不須教。若不	食 上 坐 復 須 教 等 與 不 答 知 不 須 教 若 不 
T85n2794_001:0684c26	知應教　問。不嚼楊枝而食有犯不　答。突	知 應 教 問 不 嚼 楊 枝 而 食 有 犯 不 答 突 
T85n2794_001:0684c27	吉羅　問。盡日障得眠不　答。得　問。長	吉 羅 問 盡 日 障 得 眠 不 答 得 問 長 
T85n2794_001:0684c28	衣離衣宿過一月衣。長鉢過十日。阿練若六	衣 離 衣 宿 過 一 月 衣 長 鉢 過 十 日 阿 練 若 六 
T85n2794_001:0684c29	夜。過七日藥有六事捨與。一人向一人悔應	夜 過 七 日 藥 有 六 事 捨 與 一 人 向 一 人 悔 應 
T85n2794_001:0685a01	還。犯戒比丘從非親理尼取衣。從非親理居	還 犯 戒 比 丘 從 非 親 理 尼 取 衣 從 非 親 理 居 
T85n2794_001:0685a02	士居士婦取衣。非親理居士居士婦與衣。長	士 居 士 婦 取 衣 非 親 理 居 士 居 士 婦 與 衣 長 
T85n2794_001:0685a03	取勸非親理居士居士婦置衣。勸織師作衣。	取 勸 非 親 理 居 士 居 士 婦 置 衣 勸 織 師 作 衣 
T85n2794_001:0685a04	與他人還奪取知物與僧迴向已。是八事應	與 他 人 還 奪 取 知 物 與 僧 迴 向 已 是 八 事 應 
T85n2794_001:0685a05	還財主。向一人悔。餘十六事。餘盡應捨與	還 財 主 向 一 人 悔 餘 十 六 事 餘 盡 應 捨 與 
T85n2794_001:0685a06	僧悔。異部中向一人悔。若入僧物中。是三衣	僧 悔 異 部 中 向 一 人 悔 若 入 僧 物 中 是 三 衣 
T85n2794_001:0685a07	數者必應還。若餘衣還者彼比丘亦得取。若	數 者 必 應 還 若 餘 衣 還 者 彼 比 丘 亦 得 取 若 
T85n2794_001:0685a08	不還無罪　問。若出家人販賣物。如法比丘	不 還 無 罪 問 若 出 家 人 販 賣 物 如 法 比 丘 
T85n2794_001:0685a09	得受不　答。若於販賣邊隨喜心不得受。不	得 受 不 答 若 於 販 賣 邊 隨 喜 心 不 得 受 不 
T85n2794_001:0685a10	生隨喜心得受。若知不知能斷彼。令不作	生 隨 喜 心 得 受 若 知 不 知 能 斷 彼 令 不 作 
T85n2794_001:0685a11	者不得受。若以不受俱不能令彼斷者得受。	者 不 得 受 若 以 不 受 俱 不 能 令 彼 斷 者 得 受 
T85n2794_001:0685a12	不如法施僧一切得受　問。若用如法物易	不 如 法 施 僧 一 切 得 受 問 若 用 如 法 物 易 
T85n2794_001:0685a13	彼不如法物。衣食得如法不　答。盡得名如	彼 不 如 法 物 衣 食 得 如 法 不 答 盡 得 名 如 
T85n2794_001:0685a14	法　問。長床一人不奉勝容四人坐者。雖臘	法 問 長 床 一 人 不 奉 勝 容 四 人 坐 者 雖 臘 
T85n2794_001:0685a15	數不同多少盡得共坐不　答。若別坐具別	數 不 同 多 少 盡 得 共 坐 不 答 若 別 坐 具 別 
T85n2794_001:0685a16	內衣。得通覆共床臥　問。若住處僧無食。得	內 衣 得 通 覆 共 床 臥 問 若 住 處 僧 無 食 得 
T85n2794_001:0685a17	令比丘乞作不　答。不得。若乞者得罪　問。	令 比 丘 乞 作 不 答 不 得 若 乞 者 得 罪 問 
T85n2794_001:0685a18	若住比丘於乞比丘邊生隨喜心盡不得食。	若 住 比 丘 於 乞 比 丘 邊 生 隨 喜 心 盡 不 得 食 
T85n2794_001:0685a19	若作方便往索者得受用無罪。若不作方便	若 作 方 便 往 索 者 得 受 用 無 罪 若 不 作 方 便 
T85n2794_001:0685a20	盡不得為僧乞。唯有十誦律中得為僧乞取。	盡 不 得 為 僧 乞 唯 有 十 誦 律 中 得 為 僧 乞 取 
T85n2794_001:0685a21	乃至塔寺房舍床褥盡同上　問。比丘得即用	乃 至 塔 寺 房 舍 床 褥 盡 同 上 問 比 丘 得 即 用 
T85n2794_001:0685a22	死比丘衣覆去不　答。得用一埿洹僧一飯	死 比 丘 衣 覆 去 不 答 得 用 一 埿 洹 僧 一 飯 
T85n2794_001:0685a23	行一覆殘衣。亦云三衣中取一覆去　問。若	行 一 覆 殘 衣 亦 云 三 衣 中 取 一 覆 去 問 若 
T85n2794_001:0685a24	為僧乞食。房舍臥具淨人諸眾生類者。乃至	為 僧 乞 食 房 舍 臥 具 淨 人 諸 眾 生 類 者 乃 至 
T85n2794_001:0685a25	佛事精舍。盡令比丘往檀越。所言眾僧欲散	佛 事 精 舍 盡 令 比 丘 往 檀 越 所 言 眾 僧 欲 散 
T85n2794_001:0685a26	去檀越言。何以散去可隨事　答。之少故是	去 檀 越 言 何 以 散 去 可 隨 事 答 之 少 故 是 
T85n2794_001:0685a27	名方便　問。若比丘隨犯可悔。罪眾多無量	名 方 便 問 若 比 丘 隨 犯 可 悔 罪 眾 多 無 量 
T85n2794_001:0685a28	而忘不憶罪名。欲懺悔時。但於編中得憶罪	而 忘 不 憶 罪 名 欲 懺 悔 時 但 於 編 中 得 憶 罪 
T85n2794_001:0685a29	名者。餘同編諸罪悉得除。若都不憶者不得	名 者 餘 同 編 諸 罪 悉 得 除 若 都 不 憶 者 不 得 
T85n2794_001:0685b01	悔。重則兼輕羅　問。若比丘死。淨施主比丘	悔 重 則 兼 輕 羅 問 若 比 丘 死 淨 施 主 比 丘 
T85n2794_001:0685b02	應於僧中捨彼死比丘物。已僧乃得作羯磨	應 於 僧 中 捨 彼 死 比 丘 物 已 僧 乃 得 作 羯 磨 
T85n2794_001:0685b03	可。若淨施主不捨。僧不得作羯磨。僧亦不得	可 若 淨 施 主 不 捨 僧 不 得 作 羯 磨 僧 亦 不 得 
T85n2794_001:0685b04	從淨施主索。得突吉羅。若淨施主不捨與僧	從 淨 施 主 索 得 突 吉 羅 若 淨 施 主 不 捨 與 僧 
T85n2794_001:0685b05	者亦得突吉羅　問。若淨施主遠方。而是比	者 亦 得 突 吉 羅 問 若 淨 施 主 遠 方 而 是 比 
T85n2794_001:0685b06	丘於此死。應將比丘物與淨施主人同意。比	丘 於 此 死 應 將 比 丘 物 與 淨 施 主 人 同 意 比 
T85n2794_001:0685b07	丘使比丘得已還。僧已羯磨。若知淨施主持	丘 使 比 丘 得 已 還 僧 已 羯 磨 若 知 淨 施 主 持 
T85n2794_001:0685b08	比丘者亦得羯磨不　須求與淨施同意比丘	比 丘 者 亦 得 羯 磨 不 須 求 與 淨 施 同 意 比 丘 
T85n2794_001:0685b09	　問。百九十二大豆輕重敵十六少錢。此十	 問 百 九 十 二 大 豆 輕 重 敵 十 六 少 錢 此 十 
T85n2794_001:0685b10	六小錢盜滿此五錢犯波羅夷。羯磨剎沙槃。	六 小 錢 盜 滿 此 五 錢 犯 波 羅 夷 羯 磨 剎 沙 槃 
T85n2794_001:0685b11	以金錢流離。作外國直二十大錢。至廣州直	以 金 錢 流 離 作 外 國 直 二 十 大 錢 至 廣 州 直 
T85n2794_001:0685b12	一兩銀　問。布薩賊難處。先當閉僧房大門	一 兩 銀 問 布 薩 賊 難 處 先 當 閉 僧 房 大 門 
T85n2794_001:0685b13	使人守之。若無淨人使三四比丘守應與僧	使 人 守 之 若 無 淨 人 使 三 四 比 丘 守 應 與 僧 
T85n2794_001:0685b14	欲　問。若安居中受七日法已盡。得更受不	欲 問 若 安 居 中 受 七 日 法 已 盡 得 更 受 不 
T85n2794_001:0685b15	　答。薩婆中一向不得。異部律中以事訖為	 答 薩 婆 中 一 向 不 得 異 部 律 中 以 事 訖 為 
T85n2794_001:0685b16	限。若七日不訖者更來受第二七日去。如是	限 若 七 日 不 訖 者 更 來 受 第 二 七 日 去 如 是 
T85n2794_001:0685b17	乃至事未竟得更來受七日。黃色衣不得著。	乃 至 事 未 竟 得 更 來 受 七 日 黃 色 衣 不 得 著 
T85n2794_001:0685b18	赤黑青色等得著　問。死比丘物有二種。一	赤 黑 青 色 等 得 著 問 死 比 丘 物 有 二 種 一 
T85n2794_001:0685b19	者囿田車牛。凡是眾生類。二者金銀及錢穀	者 囿 田 車 牛 凡 是 眾 生 類 二 者 金 銀 及 錢 穀 
T85n2794_001:0685b20	米等。諸藥草重物不應羯磨。入四方僧用。第	米 等 諸 藥 草 重 物 不 應 羯 磨 入 四 方 僧 用 第 
T85n2794_001:0685b21	二種物應羯磨。已令淨人賣。與眾僧供食。不	二 種 物 應 羯 磨 已 令 淨 人 賣 與 眾 僧 供 食 不 
T85n2794_001:0685b22	得分。唯一切藥物應入僧藥庫中。不得賣。餘	得 分 唯 一 切 藥 物 應 入 僧 藥 庫 中 不 得 賣 餘 
T85n2794_001:0685b23	一切輕物應羯磨分之。若物作僧房應作淨	一 切 輕 物 應 羯 磨 分 之 若 物 作 僧 房 應 作 淨 
T85n2794_001:0685b24	地法。若已作僧房者。應舍捨已心念作淨地	地 法 若 已 作 僧 房 者 應 舍 捨 已 心 念 作 淨 地 
T85n2794_001:0685b25	法。念捨者云是處我捨作淨地法。念者云此	法 念 捨 者 云 是 處 我 捨 作 淨 地 法 念 者 云 此 
T85n2794_001:0685b26	處我作淨地受　問。著行騰臂衣得不　答。	處 我 作 淨 地 受 問 著 行 騰 臂 衣 得 不 答 
T85n2794_001:0685b27	為病得著　第一上坐入堂時。不得禮眾。若	為 病 得 著 第 一 上 坐 入 堂 時 不 得 禮 眾 若 
T85n2794_001:0685b28	欲禮堂作禮。餘處上生者得偏坐食。是根本	欲 禮 堂 作 禮 餘 處 上 生 者 得 偏 坐 食 是 根 本 
T85n2794_001:0685b29	方法。若坐食亦罪。但勿令污僧褥耳。應敷物	方 法 若 坐 食 亦 罪 但 勿 令 污 僧 褥 耳 應 敷 物 
T85n2794_001:0685c01	著僧褥上食方坐。眾中不得獨遍坐。眾中不	著 僧 褥 上 食 方 坐 眾 中 不 得 獨 遍 坐 眾 中 不 
T85n2794_001:0685c02	得獨方坐。敬眾故。若兩眾集時各別一邊	得 獨 方 坐 敬 眾 故 若 兩 眾 集 時 各 別 一 邊 
T85n2794_001:0685c03	　佛言。不應作如是事。若作者非威儀犯戒。為	 佛 言 不 應 作 如 是 事 若 作 者 非 威 儀 犯 戒 為 
T85n2794_001:0685c04	僧出行。若施物應與分。除亡物。受加締那	僧 出 行 若 施 物 應 與 分 除 亡 物 受 加 締 那 
T85n2794_001:0685c05	衣法。守功德衣人應到今前。作如是言。我某	衣 法 守 功 德 衣 人 應 到 今 前 作如是言 我 某 
T85n2794_001:0685c06	甲比丘。為僧受此功德衣。前人答。善哉好	甲 比 丘 為 僧 受 此 功 德 衣 前 人 答 善 哉 好 
T85n2794_001:0685c07	受持。是中有八事功德。我盡得之八戒同先。	受 持 是 中 有 八 事 功 德 我 盡 得 之 八 戒 同 先 
T85n2794_001:0685c08	知事有勞得以僧。常用物乞不答得。小床不	知 事 有 勞 得 以 僧 常 用 物 乞 不 答 得 小 床 不 
T85n2794_001:0685c09	應。今氈若不受不應分。臥褥亦爾　不衣受	應 今 氈 若 不 受 不 應 分 臥 褥 亦 爾 不 衣 受 
T85n2794_001:0685c10	作大衣不得著。大衣作小衣受得著　作破	作 大 衣 不 得 著 大 衣 作 小 衣 受 得 著 作 破 
T85n2794_001:0685c11	安居人有一月時不同。有異部中云　正得	安 居 人 有 一 月 時 不 同 有 異 部 中 云 正 得 
T85n2794_001:0685c12	畜長衣。餘七事不得。比丘有相應罪。又不語	畜 長 衣 餘 七 事 不 得 比 丘 有 相 應 罪 又 不 語 
T85n2794_001:0685c13	前人而前人不知。從其懺悔得名悔。但受者	前 人 而 前 人 不 知 從 其 懺 悔 得 名 悔 但 受 者 
T85n2794_001:0685c14	得突吉羅　一界內有因緣不得廣布薩時。	得 突 吉 羅 一 界 內 有 因 緣 不 得 廣 布 薩 時 
T85n2794_001:0685c15	同一界內別作三語布薩　若以如法物買他	同 一 界 內 別 作 三 語 布 薩 若 以 如 法 物 買 他 
T85n2794_001:0685c16	比丘捨。捨墮物者得名清淨物　答。從比丘	比 丘 捨 捨 墮 物 者 得 名 清 淨 物 答 從 比 丘 
T85n2794_001:0685c17	得捨墮物。受時得突吉羅。隨用無罪。錢實物	得 捨 墮 物 受 時 得 突 吉 羅 隨 用 無 罪 錢 實 物 
T85n2794_001:0685c18	初時即應坐念。此物如蛇。我不應受。是中淨	初 時 即 應 坐 念 此 物 如 蛇 我 不 應 受 是 中 淨 
T85n2794_001:0685c19	物生我當受。五歲十五已下受三歸五戒。作	物 生 我 當 受 五 歲 十 五 已 下 受 三 歸 五 戒 作 
