T24n1464_001:0851a03	鼻奈耶序	鼻 奈 耶 序 
T24n1464_001:0851b10	鼻奈耶卷第一(鼻秦言去，奈耶秦言真也，去若干非而就真，故言真	鼻 奈 耶 卷 第 一 鼻 秦 言 去 奈 耶 秦 言 真 也 去 若 干 非 而 就 真 故 言 真 
T24n1464_001:0851b11	也，降伏此心、息此心、忍不起，故曰真也。降伏戒也，息定也，忍智也)	也 降 伏 此 心 息 此 心 忍 不 起 故 曰 真 也 降 伏 戒 也 息 定 也 忍 智 也 
T24n1464_001:0851b13	姚秦涼州沙門竺佛念譯	姚 秦 涼 州 沙 門 竺 佛 念 譯 
T24n1464_001:0851b14	三戒：無上戒戒、無上意戒、無上智戒。彼云	三 戒 無 上 戒 戒 無 上 意 戒 無 上 智 戒 彼 云 
T24n1464_001:0851b15	何無上戒戒？於此比丘比丘持戒，以戒解脫	何 無 上 戒 戒 於 此 比 丘 比 丘 持 戒 以 戒 解 脫 
T24n1464_001:0851b16	自嚴飾，習行成見，纖芥事即恐懼，應戒中戒，	自 嚴 飾 習 行 成 見 纖 芥 事 即 恐 懼 應 戒 中 戒 
T24n1464_001:0851b17	此謂無上戒戒。云何無上意戒？於此比丘除	此 謂 無 上 戒 戒 云 何 無 上 意 戒 於 此 比 丘 除 
T24n1464_001:0851b18	婬，乃至四禪思惟正受，此謂無上意戒。云何	婬 乃 至 四 禪 思 惟 正 受 此 謂 無 上 意 戒 云 何 
T24n1464_001:0851b19	無上智戒？於此比丘知此苦諦、知此苦習諦、	無 上 智 戒 於 此 比 丘 知 此 苦 諦 知 此 苦 習 諦 
T24n1464_001:0851b20	知此苦盡諦、知此苦道諦，此謂無上智戒。以	知 此 苦 盡 諦 知 此 苦 道 諦 此 謂 無 上 智 戒 以 
T24n1464_001:0851b21	此三戒得立順真，恒沙等過去當來今現在	此 三 戒 得 立 順 真 恒 沙 等 過 去 當 來 今 現 在 
T24n1464_001:0851b22	佛，佛藏佛寶佛祕要，以訓三乘聲聞各佛三	佛 佛 藏 佛 寶 佛 祕 要 以 訓 三 乘 聲 聞 各 佛 三 
T24n1464_001:0851b23	耶三佛。	耶 三 佛 
T24n1464_001:0851b24	佛世尊在鞞貰羅城(秦言廣博)獼猴江邊石臺園	佛 世 尊 在 鞞 貰 羅 城 秦 言 廣 博 獼 猴 江 邊 石 臺 園 
T24n1464_001:0851b25	觀，去鞞貰羅不遠，名迦蘭陀鈐波。迦蘭陀	觀 去 鞞 貰 羅 不 遠 名 迦 蘭 陀 鈐 波 迦 蘭 陀 
T24n1464_001:0851b26	子名須達多於彼止，富財無際限，田業盈豐	子 名 須 達 多 於 彼 止 富 財 無 際 限 田 業 盈 豐 
T24n1464_001:0851b27	舍宅成就，象馬駝牛驢、錢穀珍寶、金銀真珠	舍 宅 成 就 象 馬 駝 牛 驢 錢 穀 珍 寶 金 銀 真 珠 
T24n1464_001:0851b28	琉璃貝玉虎魄碼瑙硨渠珊瑚，即捨趣如來	琉 璃 貝 玉 虎 魄 碼 瑙 硨 渠 珊 瑚 即 捨 趣 如 來 
T24n1464_001:0851b29	聽受法奧，得信樂意。以此信樂意得正受，剃	聽 受 法 奧 得 信 樂 意 以 此 信 樂 意 得 正 受 剃 
T24n1464_001:0851c01	除鬚髮捨家為道，共無限比丘到拘薩羅城	除 鬚 髮 捨 家 為 道 共 無 限 比 丘 到 拘 薩 羅 城 
T24n1464_001:0851c02	竹園結歲坐。當爾時穀貴飢餓，穀霜雹所殺，	竹 園 結 歲 坐 當 爾 時 穀 貴 飢 餓 穀 霜 雹 所 殺 
T24n1464_001:0851c03	離少遺脫為蟥虫所食，乞求甚難得。於是	離 少 遺 脫 為 蟥 虫 所 食 乞 求 甚 難 得 於 是 
T24n1464_001:0851c04	須達迦蘭陀子作是念：「今穀貴飢餓，穀霜雹	須 達 迦 蘭 陀 子 作 是 念 今 穀 貴 飢 餓 穀 霜 雹 
T24n1464_001:0851c05	所殺，雖少遺脫為蟥虫所食，乞求甚難。諸	所 殺 雖 少 遺 脫 為 蟥 虫 所 食 乞 求 甚 難 諸 
T24n1464_001:0851c06	賢聽我所言！我有鞞貰羅國知識家親里家，	賢 聽 我 所 言 我 有 鞞 貰 羅 國 知 識 家 親 里 家 
T24n1464_001:0851c07	富貴無限，錢財田業無量、珍寶雜物豐盈。我	富 貴 無 限 錢 財 田 業 無 量 珍 寶 雜 物 豐 盈 我 
T24n1464_001:0851c08	等可共到彼福度親里，諸比丘亦可得安身，	等 可 共 到 彼 福 度 親 里 諸 比 丘 亦 可 得 安 身 
T24n1464_001:0851c09	及時可向鞞貰羅國。到彼已，比丘當供食飯	及 時 可 向 鞞 貰 羅 國 到 彼 已 比 丘 當 供 食 飯 
T24n1464_001:0851c10	漿湯藥衣被。」於是須達多迦蘭陀子於拘薩	漿 湯 藥 衣 被 於 是 須 達 多 迦 蘭 陀 子 於 拘 薩 
T24n1464_001:0851c11	羅城結坐。結坐已竟，三月補納衣裳，一日竟	羅 城 結 坐 結 坐 已 竟 三 月 補 納 衣 裳 一 日 竟 
T24n1464_001:0851c12	衣已辦，即著衣持鉢向鞞貰羅。將諸眾前行，	衣 已 辦 即 著衣持鉢 向 鞞 貰 羅 將 諸 眾 前 行 
T24n1464_001:0851c13	漸漸到鞞貰羅，趣鞞貰羅獼猴江邊石臺。所	漸 漸 到 鞞 貰 羅 趣 鞞 貰 羅 獼 猴 江 邊 石 臺 所 
T24n1464_001:0851c14	作諸飯食，飯諸比丘，自手斟酌。爾時須達多	作 諸 飯 食 飯 諸 比 丘 自 手 斟 酌 爾 時 須 達 多 
T24n1464_001:0851c15	迦蘭陀子，到時著衣持鉢趣鞞貰羅國親里家	迦 蘭 陀 子 到 時 著衣持鉢 趣 鞞 貰 羅 國 親 里 家 
T24n1464_001:0851c16	乞食，乞食已即速出去。于時門外迦蘭陀家	乞 食 乞 食 已 即 速 出 去 于 時 門 外 迦 蘭 陀 家 
T24n1464_001:0851c17	婢女子見須達多迦蘭陀子入親里家，何以	婢 女 子 見 須 達 多 迦 蘭 陀 子 入 親 里 家 何 以 
T24n1464_001:0851c18	速出還？見迦蘭陀婦，跽白此意：「向者貴族須	速 出 還 見 迦 蘭 陀 婦 跽 白 此 意 向 者 貴 族 須 
T24n1464_001:0851c19	達多迦蘭陀子入親里家還出甚速。將無疾	達 多 迦 蘭 陀 子 入 親 里 家 還 出 甚 速 將 無 疾 
T24n1464_001:0851c20	病意愁耶？為不樂梵行犯戒捨道就俗法乎？」	病 意 愁 耶 為 不 樂 梵 行 犯 戒 捨 道 就 俗 法 乎 
T24n1464_001:0851c21	須達多母聞此語已，歡喜無量不能自勝。	須 達 多 母 聞 此 語 已 歡喜無量 不 能 自 勝 
T24n1464_001:0851c22	即往須達多所，告須達多：「身體輕健不？意無	即 往 須 達 多 所 告 須 達 多 身 體 輕 健 不 意 無 
T24n1464_001:0851c23	餘想婆？意有犯梵行耶？為欲犯戒捨道就俗	餘 想 婆 意 有 犯 梵 行 耶 為 欲 犯 戒 捨 道 就 俗 
T24n1464_001:0851c24	法乎？若有此心速來。須達多！捨戒習俗，不妨	法 乎 若 有 此 心 速 來 須 達 多 捨 戒 習 俗 不 妨 
T24n1464_001:0851c25	布施作諸功德。何以故？於佛眾中持戒甚難、	布 施 作 諸 功 德 何 以 故 於 佛 眾 中 持 戒 甚 難 
T24n1464_001:0851c26	學道亦難。」聞此已，即報母言：「我無疾患，亦	學 道 亦 難 聞 此 已 即 報 母 言 我 無 疾 患 亦 
T24n1464_001:0851c27	無他想，無犯梵行，意不犯戒捨道就俗法。」母	無 他 想 無 犯 梵 行 意 不 犯 戒 捨 道 就 俗 法 母 
T24n1464_001:0851c28	復答曰：「須達多！汝當知此意。汝前婦端正無	復 答 曰 須 達 多 汝 當 知 此 意 汝 前 婦 端 正 無 
T24n1464_001:0851c29	雙，若不欲捨道就俗者，可住續種繼後，吾	雙 若 不 欲 捨 道 就 俗 者 可 住 續 種 繼 後 吾 
T24n1464_001:0852a01	種姓熾盛。一旦無繼者，錢財珍寶盡為拘薩	種 姓 熾 盛 一 旦 無 繼 者 錢 財 珍 寶 盡 為 拘 薩 
T24n1464_001:0852a02	羅王所奪。」須達多答曰：「若聽我為道者，此	羅 王 所 奪 須 達 多 答 曰 若 聽 我 為 道 者 此 
T24n1464_001:0852a03	事可隨。」爾時須達多母語須達多婦言：「我今	事 可 隨 爾 時 須 達 多 母 語 須 達 多 婦 言 我 今 
T24n1464_001:0852a04	勅汝，若月期三日後，著初嫁衣服好自嚴飾	勅 汝 若 月 期 三 日 後 著 初 嫁 衣 服 好 自 嚴 飾 
T24n1464_001:0852a05	來白我。」須達多婦即隨其教，月期三日後，著	來 白 我 須 達 多 婦 即 隨 其 教 月 期 三 日 後 著 
T24n1464_001:0852a06	夫前所敬服，往須達多母所。即如事白：「月期	夫 前 所 敬 服 往 須 達 多 母 所 即 如 事 白 月 期 
T24n1464_001:0852a07	三日，今正是時。」於是須達多母將此婦到須	三 日 今正是時 於 是 須 達 多 母 將 此 婦 到 須 
T24n1464_001:0852a08	達多所，語須達多言：「當知此婦端正無雙，可	達 多 所 語 須 達 多 言 當 知 此 婦 端 正 無 雙 可 
T24n1464_001:0852a09	續種繼後，莫使吾種姓繼斷，錢財珍寶為拘	續 種 繼 後 莫 使 吾 種 姓 繼 斷 錢 財 珍 寶 為 拘 
T24n1464_001:0852a10	薩羅王所奪。」留婦已即避出去。爾時須達多	薩 羅 王 所 奪 留 婦 已 即 避 出 去 爾 時 須 達 多 
T24n1464_001:0852a11	前抱此婦將屏處作不淨行，須臾間乃至三，	前 抱 此 婦 將 屏 處 作 不 淨 行 須 臾 間 乃 至 三 
T24n1464_001:0852a12	當爾時帝釋降神處其胎。爾時須達多婦八月	當 爾 時 帝 釋 降 神 處 其 胎 爾 時 須 達 多 婦 八 月 
T24n1464_001:0852a13	外九月裏生男兒，面首端正無雙。前所言續	外 九 月 裏 生 男 兒 面 首 端 正 無 雙 前 所 言 續 
T24n1464_001:0852a14	種，母即名之為續種。爾時須達多作此惡行	種 母 即 名 之 為 續 種 爾 時 須 達 多 作 此 惡 行 
T24n1464_001:0852a15	已慚愧，為人所辱。爾時須達多與比丘同學	已 慚 愧 為 人 所 辱 爾 時 須 達 多 與 比 丘 同 學 
T24n1464_001:0852a16	等體者結坐，結坐已今方竟，故來問訊：「汝忍	等 體 者 結 坐 結 坐 已 今 方 竟 故 來 問 訊 汝 忍 
T24n1464_001:0852a17	意，常不壞婆，氣力輕健不？結坐中供養充足	意 常 不 壞 婆 氣 力 輕 健 不 結 坐 中 供 養 充 足 
T24n1464_001:0852a18	不？出乞食婆，無疾患婆意，無若干想乎？」須達	不 出 乞 食 婆 無 疾 患 婆 意 無 若 干 想 乎 須 達 
T24n1464_001:0852a19	多答言：「諸賢當知，有忍意，結坐盡充足，亦	多 答 言 諸 賢 當 知 有 忍 意 結 坐 盡 充 足 亦 
T24n1464_001:0852a20	不出乞食，亦無疾患。唯意有他想。」諸比丘答：	不 出 乞 食 亦 無 疾 患 唯 意 有 他 想 諸 比 丘 答 
T24n1464_001:0852a21	「若卿有忍意，結坐竟盡充足，復無疾患。何	 若 卿 有 忍 意 結 坐 竟 盡 充 足 復 無 疾 患 何 
T24n1464_001:0852a22	故有他想？」須達多前所犯，盡具向諸比丘說。	故 有 他 想 須 達 多 前 所 犯 盡 具 向 諸 比 丘 說 
T24n1464_001:0852a23	即時彼諸比丘極好共責須達多：「世尊以無	即 時 彼 諸 比 丘 極 好 共 責 須 達 多 世 尊 以 無 
T24n1464_001:0852a24	數方便說婬之惡露，向婬念婬、婬意熾盛。世	數 方 便 說 婬 之 惡 露 向 婬 念 婬 婬 意 熾 盛 世 
T24n1464_001:0852a25	尊說婬惡露如此，向婬犯貞念婬、婬意熾盛。」	尊 說 婬 惡 露 如 此 向 婬 犯 貞 念 婬 婬 意 熾 盛 
T24n1464_001:0852a26	如是諸比丘極好責數已，即往世尊所，頭面	如 是 諸 比 丘 極 好 責 數 已 即 往 世 尊 所 頭 面 
T24n1464_001:0852a27	著地在一面坐，以此所犯具白世尊。佛知即	著 地 在 一 面 坐 以 此 所 犯 具 白 世 尊 佛 知 即 
T24n1464_001:0852a28	告須達多：「汝審犯此事耶？」答：「審犯。世尊！」世尊	告 須 達 多 汝 審 犯 此 事 耶 答 審 犯 世 尊 世 尊 
T24n1464_001:0852a29	言：「我以若干方便為癡人說婬之惡露，向婬	言 我 以 若 干 方 便 為 癡 人 說 婬 之 惡 露 向 婬 
T24n1464_001:0852b01	念婬、婬意熾盛，說婬之惡露如是。」佛以若干	念 婬 婬 意 熾 盛 說 婬 之 惡 露 如 是 佛 以 若 干 
T24n1464_001:0852b02	方便，為沙門結戒：「觀比丘十德當與戒。何等	方 便 為 沙 門 結 戒 觀 比 丘 十 德 當 與 戒 何 等 
T24n1464_001:0852b03	十眾德？持眾德養眾德行道(一)；不信戒者	十 眾 德 持 眾 德 養 眾 德 行 道 一 不 信 戒 者 
T24n1464_001:0852b04	教令入信(二)；常自慚愧省己短(三)；犯邪者教	教 令 入 信 二 常 自 慚 愧 省 己 短 三 犯 邪 者 教 
T24n1464_001:0852b05	令入正(四)；正者欲令重正(五)；現身學道滅結欲	令 入 正 四 正 者 欲 令 重 正 五 現 身 學 道 滅 結 欲 
T24n1464_001:0852b06	使後身無結(六)；後身欲使結滅不起(七)；習諸淨	使 後 身 無 結 六 後 身 欲 使 結 滅 不 起 七 習 諸 淨 
T24n1464_001:0852b07	行(八)；得梵行欲不失(九)；欲使梵行久住(十)。沙門	行 八 得 梵 行 欲 不 失 九 欲 使 梵 行 久 住 十 沙 門 
T24n1464_001:0852b08	當共知。」爾時世尊因此事因此義，集諸和合	當 共 知 爾 時 世 尊 因 此 事 因 此 義 集 諸 和 合 
T24n1464_001:0852b09	僧，結此戒：「若比丘比丘犯戒，不捨戒、戒羸，不	僧 結 此 戒 若 比 丘 比 丘 犯 戒 不 捨 戒 戒 羸 不 
T24n1464_001:0852b10	自悔，無淨行犯婬法者，此比丘波羅移菩提	自 悔 無 淨 行 犯 婬 法 者 此 比 丘 波 羅 移 菩 提 
T24n1464_001:0852b11	阿薩婆肆(阿薩婆四者，不受僧不客也)。」	阿 薩 婆 肆 阿 薩 婆 四 者 不 受 僧 不 客 也 
T24n1464_001:0852b12	佛世尊在舍衛國祇樹給孤獨園。當爾時有	佛 世 尊 在 舍 衛 國 祇 樹 給 孤 獨 園 當 爾 時 有 
T24n1464_001:0852b13	異比丘，拘薩羅國去城不遠有園觀，於中夏	異 比 丘 拘 薩 羅 國 去 城 不 遠 有 園 觀 於 中 夏 
T24n1464_001:0852b14	坐。去園不遠，有雌獼猴於彼止住。雌獼猴	坐 去 園 不 遠 有 雌 獼 猴 於 彼 止 住 雌 獼 猴 
T24n1464_001:0852b15	數數到比丘所，此比丘數數與彼獼猴食，如	數 數 到 比 丘 所 此 比 丘 數 數 與 彼 獼 猴 食 如 
T24n1464_001:0852b16	是獼猴不畏難彼比丘，比丘與獼猴為不淨	是 獼 猴 不 畏 難 彼 比 丘 比 丘 與 獼 猴 為 不 淨 
T24n1464_001:0852b17	行。彼大比丘眾中有同學共檀者，拘薩羅	行 彼 大 比 丘 眾 中 有 同 學 共 檀 者 拘 薩 羅 
T24n1464_001:0852b18	國結坐。結坐已補納衣，一日所成衣著衣執	國 結 坐 結 坐 已 補 納 衣 一 日 所 成 衣 著 衣 執 
T24n1464_001:0852b19	鉢到此比丘所，語比丘言：「夏坐來不有患苦	鉢 到 此 比 丘 所 語 比 丘 言 夏 坐 來 不 有 患 苦 
T24n1464_001:0852b20	不？出乞食婆意無若干想婆？」比丘答：「諸賢！	不 出 乞 食 婆 意 無 若 干 想 婆 比 丘 答 諸 賢 
T24n1464_001:0852b21	有忍意，於夏坐中無所患苦，亦無亂想。」彼	有 忍 意 於 夏 坐 中 無 所 患 苦 亦 無 亂 想 彼 
T24n1464_001:0852b22	獼猴從外來，逕趣此比丘，在前踞熟視比丘，	獼 猴 從 外 來 逕 趣 此 比 丘 在 前 踞 熟 視 比 丘 
T24n1464_001:0852b23	踞視比丘已迴面復看餘比丘，看餘比丘	踞 視 比 丘 已 迴 面 復 看 餘 比 丘 看 餘 比 丘 
T24n1464_001:0852b24	迴面看是比丘，於是比丘前迴身背比丘。此	迴 面 看 是 比 丘 於 是 比 丘 前 迴 身 背 比 丘 此 
T24n1464_001:0852b25	比丘羞諸比丘不從獼猴，亦不眄視。獼猴見	比 丘 羞 諸 比 丘 不 從 獼 猴 亦 不 眄 視 獼 猴 見 
T24n1464_001:0852b26	比丘不眄視，便起惡意，迴身攫掣比丘頭面	比 丘 不 眄 視 便 起 惡 意 迴 身 攫 掣 比 丘 頭 面 
T24n1464_001:0852b27	傷壞便去。諸大比丘語此比丘言：「向者獼猴	傷 壞 便 去 諸 大 比 丘 語 此 比 丘 言 向 者 獼 猴 
T24n1464_001:0852b28	來到此間前舉目視卿，復視我等，便迴身背	來 到 此 間 前 舉 目 視 卿 復 視 我 等 便 迴 身 背 
T24n1464_001:0852b29	卿。見卿不語不眄視，便起恚意，攫掣卿頭面	卿 見 卿 不 語 不 眄 視 便 起 恚 意 攫 掣 卿 頭 面 
T24n1464_001:0852c01	破便去。」諸大比丘好切責數。得諸比丘責數	破 便 去 諸 大 比 丘 好 切 責 數 得 諸 比 丘 責 數 
T24n1464_001:0852c02	已，即便自首。諸比丘語：「云何比丘，世尊竟不	已 即 便 自 首 諸 比 丘 語 云 何 比 丘 世 尊 竟 不 
T24n1464_001:0852c03	說無數方便說婬惡露耶？向婬念婬、婬意熾	說 無數方便 說 婬 惡 露 耶 向 婬 念 婬 婬 意 熾 
T24n1464_001:0852c04	盛。世尊盡說婬之惡露，向婬念婬、婬意熾盛。	盛 世 尊 盡 說 婬 之 惡 露 向 婬 念 婬 婬 意 熾 盛 
T24n1464_001:0852c05	卿云何不觀此婬行而為此惡行？」如是諸大	卿 云 何 不 觀 此 婬 行 而 為 此 惡 行 如 是 諸 大 
T24n1464_001:0852c06	比丘責數此比丘已，即往詣佛所，頭面著地	比 丘 責 數 此 比 丘 已 即 往 詣 佛 所 頭 面 著 地 
T24n1464_001:0852c07	禮佛足在一面坐。彼比丘眾如前所見盡白	禮 佛 足 在 一 面 坐 彼 比 丘 眾 如 前 所 見 盡 白 
T24n1464_001:0852c08	佛。佛知告此比丘：「審實爾不？」比丘慚愧，面	佛 佛 知 告 此 比 丘 審 實 爾 不 比 丘 慚 愧 面 
T24n1464_001:0852c09	顏失色如被塵坌，右膝著地偏袒右肩，長跪	顏 失 色 如 被 塵 坌 右膝著地 偏袒右肩 長 跪 
T24n1464_001:0852c10	叉十指白佛世尊：「審實。世尊！」爾時世尊語此	叉 十 指 白 佛 世 尊 審 實 世 尊 爾 時 世 尊 語 此 
T24n1464_001:0852c11	比丘：「云何比丘，我豈不為癡人無數方便說	比 丘 云 何 比 丘 我 豈 不 為 癡 人 無數方便 說 
T24n1464_001:0852c12	婬之惡露，向婬念婬、婬意熾盛。我盡說婬之	婬 之 惡 露 向 婬 念 婬 婬 意 熾 盛 我 盡 說 婬 之 
T24n1464_001:0852c13	惡露如是。」佛世尊無數方便說婬，因此事因	惡 露 如 是 佛 世 尊 無數方便 說 婬 因 此 事 因 
T24n1464_001:0852c14	此義，集和合僧觀有十德，乃至梵行久住，世	此 義 集 和 合 僧 觀 有 十 德 乃 至 梵 行 久 住 世 
T24n1464_001:0852c15	尊為諸比丘結此戒：「若比丘比丘犯戒，婬意	尊 為 諸 比 丘 結 此 戒 若 比 丘 比 丘 犯 戒 婬 意 
T24n1464_001:0852c16	起不還捨戒、戒羸不自悔，為不淨行，下及畜	起 不 還 捨 戒 戒 羸 不 自 悔 為 不 淨 行 下 及 畜 
T24n1464_001:0852c17	生有形之屬，犯者不受棄捐。」彼云何為戒？戒	生 有 形 之 屬 犯 者 不 受 棄 捐 彼 云 何 為 戒 戒 
T24n1464_001:0852c18	名者，若比丘持二百五十戒無上戒戒，是謂	名 者 若 比 丘 持 二百五十戒 無 上 戒 戒 是 謂 
T24n1464_001:0852c19	戒戒。云何不還戒？不還戒名愚癡亂意痛惱。	戒 戒 云 何 不 還 戒 不 還 戒 名 愚 癡 亂 意 痛 惱 
T24n1464_001:0852c20	捨戒者為不還戒，瘂聾相向。還戒者為不	捨 戒 者 為 不 還 戒 瘂 聾 相 向 還 戒 者 為 不 
T24n1464_001:0852c21	還戒，音聲不相關者。還戒不為還戒，若獨還	還 戒 音 聲 不 相 關 者 還 戒 不 為 還 戒 若 獨 還 
T24n1464_001:0852c22	戒者不為還戒。佛塔前沙門塔前還戒，不為	戒 者 不 為 還 戒 佛 塔 前 沙 門 塔 前 還 戒 不 為 
T24n1464_001:0852c23	還戒。若離佛、和上和上友、阿闍梨阿闍梨	還 戒 若 離 佛 和 上 和 上 友 阿 闍 梨 阿 闍 梨 
T24n1464_001:0852c24	友，離盡不依附，我不佛法中住。向諸比丘	友 離 盡 不 依 附 我 不 佛 法 中 住 向 諸 比 丘 
T24n1464_001:0852c25	言：「我今已往不為道。」諸比丘語：「汝不為道耶？」	言 我 今 已 往 不 為 道 諸 比 丘 語 汝 不 為 道 耶 
T24n1464_001:0852c26	答：「不為道。」此為還戒。婬女色三處成棄捐：近	答 不 為 道 此 為 還 戒 婬 女 色 三 處 成 棄 捐 近 
T24n1464_001:0852c27	常產道是一棄捐法，近穀道是二棄捐法，若	常 產 道 是 一 棄 捐 法 近 穀 道 是 二 棄 捐 法 若 
T24n1464_001:0852c28	近口是三棄捐法。近男兒有二棄捐：近穀道、	近 口 是 三 棄 捐 法 近 男 兒 有 二 棄 捐 近 穀 道 
T24n1464_001:0852c29	近口，是二棄捐。不成男亦二事：有男有女。二	近 口 是 二 棄 捐 不 成 男 亦 二 事 有 男 有 女 二 
T24n1464_001:0853a01	形者，有三與女同。近畜生有二，除口與女同。	形 者 有 三 與 女 同 近 畜 生 有 二 除 口 與 女 同 
T24n1464_001:0853a02	畜生雄者一棄捐，畜生捐者亦爾。畜生中有	畜 生 雄 者 一 棄 捐 畜 生 捐 者 亦 爾 畜 生 中 有 
T24n1464_001:0853a03	雄雌形者，二棄捐。雞鶚如上二。非人女三處	雄 雌 形 者 二 棄 捐 雞 鶚 如 上 二 非 人 女 三 處 
T24n1464_001:0853a04	與女人同。此不淨行婆羅移。	與 女 人 同 此 不 淨 行 婆 羅 移 
T24n1464_001:0853a05	佛世尊在羅閱祇鷲山，與大比丘眾俱千二	佛 世 尊 在 羅 閱 祇 鷲 山 與 大 比 丘 眾 俱 千 二 
T24n1464_001:0853a06	百五十弟子。彼時比丘收拾薪草持用作庵	百 五 十 弟 子 彼 時 比 丘 收 拾 薪 草 持 用 作 庵 
