X40n0715_001:0177a03	釋戒本序	釋 戒 本 序 
X40n0715_001:0178a09	玄範即指戒法。	玄 範 即 指 戒 法 
X40n0715_001:0178a10	前下二示所說教準疏科經大分三分今文初二句	前 下 二 示 所 說 教 準 疏 科 經 大 分 三 分 今 文 初 二 句 
X40n0715_001:0178a11	乃示序文以前稽首等偈法護結集為廣略二教通	乃 示 序 文 以 前 稽 首 等 偈 法 護 結 集 為 廣 略 二 教 通 
X40n0715_001:0178a12	敘前開持毀之言以成說聽之本和合下佛自安布	敘 前 開 持 毀 之 言 以 成 說 聽 之 本 和 合 下 佛 自 安 布 
X40n0715_001:0178a13	以為正宗發起由致次二句即指正宗以篇聚所列	以 為 正 宗 發 起 由 致 次 二 句 即 指 正 宗 以 篇 聚 所 列 
X40n0715_001:0178a14	條相重輕持犯開遮禁防機欲羅猶列也。	條 相 重 輕 持 犯 開 遮 禁 防 機 欲 羅 猶 列 也 
X40n0715_001:0178a15	約下三敘能說之義文有四句初定說時次制盡集	約 下 三 敘 能 說 之 義 文 有 四 句 初 定 說 時 次 制 盡 集 
X40n0715_001:0178a16	三簡聽眾四彰利益初時中準律中因諸外道梵志	三 簡 聽 眾 四 彰 利 益 初 時 中 準 律 中 因 諸 外 道 梵 志 
X40n0715_001:0178a17	月八日十四日十五日三時眾集來往周旋共為知	月 八 日 十 四 日 十 五 日 三 時 眾 集 來 往 周 旋 共 為 知 
X40n0715_001:0178a18	友給與飲食極相愛念經日供養時瓶沙王因見此	友 給 與 飲 食 極 相 愛 念 經 日 供 養 時 瓶 沙 王 因 見 此 
X40n0715_001:0178a19	事遂往日白佛始教比丘月三時集說法論義此時	事 遂 往 日 白 佛 始 教 比 丘 月 三 時 集 說 法 論 義 此 時 
X40n0715_001:0178a20	猶未制說戒後因如來靜處思惟立制法初則日日	猶 未 制 說 戒 後 因 如 來 靜 處 思 惟 立 制 法 初 則 日 日 
X40n0715_001:0178a21	說戒因眾疲極乃制半月疏云故約晦望折中之宜	說 戒 因 眾 疲 極 乃 制 半 月 疏 云 故 約 晦 望 折 中 之 宜 
X40n0715_001:0178a22	次制集中疏云俱斯正戒乃是眾同所聞理宜崇遵	次 制 集 中 疏 云 俱 斯 正 戒 乃 是 眾 同 所 聞 理 宜 崇 遵 
X40n0715_001:0178a23	必無乖別如律初制盡閻浮提統通自然通為一集	必 無 乖 別 如 律 初 制 盡 閻 浮 提 統 通 自 然 通 為 一 集 
X40n0715_001:0178a24	後以奔馳損道開四處六相以至隨處局結雖然局	後 以 奔 馳 損 道 開 四 處 六 相 以 至 隨 處 局 結 雖 然 局 
X40n0715_001:0178b01	處至說戒時不拘界之內外通須盡集簡眾中律云	處 至 說 戒 時 不 拘 界 之 內 外 通 須 盡 集 簡 眾 中 律 云 
X40n0715_001:0178b02	犯者不得聞戒亦不得向犯者說故疏云凡欲聞戒	犯 者 不 得 聞 戒 亦 不 得 向 犯 者 說 故 疏 云 凡 欲 聞 戒 
X40n0715_001:0178b03	為被行淨之人必有違犯便乖說戒之法合猶當也	為 被 行 淨 之 人 必 有 違 犯 便 乖 說 戒 之 法 合 猶 當 也 
X40n0715_001:0178b04	潔即行淨等猶同也彰益中十誦云佛法幾時住世	潔 即 行 淨 等 猶 同 也 彰 益 中 十 誦 云 佛 法 幾 時 住 世 
X40n0715_001:0178b05	佛答隨清淨比丘說戒諸不壞名住世故疏云良由	佛 答 隨 清 淨 比 丘 說 戒 諸 不 壞 名 住 世 故 疏 云 良 由 
X40n0715_001:0178b06	一聞行教信而奉遵業非內傾定慧內發遠近兩果	一 聞 行 教 信 而 奉 遵 業 非 內 傾 定 慧 內 發 遠 近 兩 果 
X40n0715_001:0178b07	無不思議引生後進永隆萬載故為久住。	無 不 思 議 引 生 後 進 永 隆 萬 載 故 為 久 住 
X40n0715_001:0178b08	兩土弘傳中初敘為三初敘時移情變初二句正明	兩 土 弘 傳 中 初 敘 為 三 初 敘 時 移 情 變 初 二 句 正 明 
X40n0715_001:0178b09	上句敘時言不競者以正像末必由次第非可一併	上 句 敘 時 言 不 競 者 以 正 像 末 必 由 次 第 非 可 一 併 
X40n0715_001:0178b10	而至競猶並也下句敘情言變流者或先醇後薄或	而 至 競 猶 並 也 下 句 敘 情 言 變 流 者 或 先 醇 後 薄 或 
X40n0715_001:0178b11	利鈍不同執見差殊宜樂各異次二句引證上句即	利 鈍 不 同 執 見 差 殊 宜 樂 各 異 次 二 句 引 證 上 句 即 
X40n0715_001:0178b12	大集經長者夢一端[疊*毛]後為五段佛言我滅度後有	大 集 經 長 者 夢 一 端 [疊毛] 後 為 五 段 佛 言 我 滅 度 後 有 
X40n0715_001:0178b13	諸弟子分五部等下句即本律因拘睒彌比丘鬪諍	諸 弟 子 分 五 部 等 下 句 即 本 律 因 拘 睒 彌 比 丘 鬪 諍 
X40n0715_001:0178b14	來至舍衛諸優婆塞問佛當云何布施佛言應分作	來 至 舍 衛 諸 優 婆 塞 問 佛 當 云 何 布 施 佛 言 應 分 作 
X40n0715_001:0178b15	二分此亦是僧彼亦是僧如彼金杖分為二分二俱	二 分 此 亦 是 僧 彼 亦 是 僧 如 彼 金 杖 分 為 二 分 二 俱 
X40n0715_001:0178b16	是金。	是 金 
X40n0715_001:0178b17	致下次明教法支分上句謂能詮之教謂諸部各興	致 下 次 明 教 法 支 分 上 句 謂 能 詮 之 教 謂 諸 部 各 興 
X40n0715_001:0178b18	結集即如鈔云隨其樂欲成立己宗競彩大眾各生	結 集 即 如 鈔 云 隨 其 樂 欲 成 立 己 宗 競 彩 大 眾 各 生 
X40n0715_001:0178b19	異執如鈔云但為機悟不同致令諸部岳立下二句	異 執 如 鈔 云 但 為 機 悟 不 同 致 令 諸 部 岳 立 下 二 句 
X40n0715_001:0178b20	即四位分部委如疏記雲飛喻其分散山張喻其堅	即 四 位 分 部 委 如 疏 記 雲 飛 喻 其 分 散 山 張 喻 其 堅 
X40n0715_001:0178b21	執。	執 
X40n0715_001:0178b22	取下三明如來懸被上二句謂通含諸計以初制戒	取 下 三 明 如 來 懸 被 上 二 句 謂 通 含 諸 計 以 初 制 戒 
X40n0715_001:0178b23	乃有萬差良由眾生根機不同樂聞有異故令聖制	乃 有 萬 差 良 由 眾 生 根 機 不 同 樂 聞 有 異 故 令 聖 制 
X40n0715_001:0178b24	輕重不等緩急有殊諸部重輕乃有無量下二句謂	輕 重 不 等 緩 急 有 殊 諸 部 重 輕 乃 有 無 量 下 二 句 謂 
X40n0715_001:0178c01	皆皈正業謂雖分諸部情見差殊至於破惑詮其趣	皆 皈 正 業 謂 雖 分 諸 部 情 見 差 殊 至 於 破 惑 詮 其 趣 
X40n0715_001:0178c02	果異故大集云五部雖異不妨諸佛法界涅槃。	果 異 故 大 集 云 五 部 雖 異 不 妨 諸 佛 法 界 涅 槃 
X40n0715_001:0178c03	東華敘昔傳中初科為三初標傳集始終若據四分	東 華 敘 昔 傳 中 初 科 為 三 初 標 傳 集 始 終 若 據 四 分 
X40n0715_001:0178c04	戒本乃當姚秦覺明誦律初始翻出金言曹魏者乃	戒 本 乃 當 姚 秦 覺 明 誦 律 初 始 翻 出 金 言 曹 魏 者 乃 
X40n0715_001:0178c05	取曇摩迦羅初行受法出僧祇戒心故云創傳故刪	取 曇 摩 迦 羅 初 行 受 法 出 僧 祇 戒 心 故 云 創 傳 故 刪 
X40n0715_001:0178c06	定序云自戒本之行東夏也曹魏中世法護創傳羯	定 序 云 自 戒 本 之 行 東 夏 也 曹 魏 中 世 法 護 創 傳 羯 
X40n0715_001:0178c07	磨乃明戒本蓋闕又如疏云自漢明夜夢之始迦竺	磨 乃 明 戒 本 蓋 闕 又 如 疏 云 自 漢 明 夜 夢 之 始 迦 竺 
X40n0715_001:0178c08	傳法已來草創鎡基未遑具體眾分道俗無受皈戒	傳 法 已 來 草 創 鎡 基 未 遑 具 體 眾 分 道 俗 無 受 皈 戒 
X40n0715_001:0178c09	年過二百至魏齊帝(第四主)嘉平年中有天竺沙門曇	年 過 二 百 至 魏 齊 帝 第 四 主 嘉 平 年 中 有 天 竺 沙 門 曇 
X40n0715_001:0178c10	摩迦羅魏言法時出僧祇戒心方立大僧羯磨受戒	摩 迦 羅 魏 言 法 時 出 僧 祇 戒 心 方 立 大 僧 羯 磨 受 戒 
X40n0715_001:0178c11	至高貴卿公(第五主)正元元年有安息國沙門曇諦出	至 高 貴 卿 公 第 五 主 正 元 元 年 有 安 息 國 沙 門 曇 諦 出 
X40n0715_001:0178c12	曇無德部羯磨斯之二部初在洛陽是謂戒律之先	曇 無 德 部 羯 磨 斯 之 二 部 初 在 洛 陽 是 謂 戒 律 之 先 
X40n0715_001:0178c13	也隋運初者即文帝時言始於魏末終至隋初戒本	也 隋 運 初 者 即 文 帝 時 言 始 於 魏 末 終 至 隋 初 戒 本 
X40n0715_001:0178c14	傳世其間芟削改移者不少。	傳 世 其 間 芟 削 改 移 者 不 少 
X40n0715_001:0178c15	二或下列示諸本文中四句即指四本在文具顯委	二 或 下 列 示 諸 本 文 中 四 句 即 指 四 本 在 文 具 顯 委 
X40n0715_001:0178c16	如後釋言隸文者此有二釋或謂翻彼文成此隸師	如 後 釋 言 隸 文 者 此 有 二 釋 或 謂 翻 彼 文 成 此 隸 師 
X40n0715_001:0178c17	字以此簡古書始自伏犧時史官蒼頡觀鳥跡以成	字 以 此 簡 古 書 始 自 伏 犧 時 史 官 蒼 頡 觀 鳥 跡 以 成 
X40n0715_001:0178c18	文後程邈□篆為隸止如今宗即隸書耳或云隸字	文 後 程 邈 篆 為 隸 止 如 今 宗 即 隸 書 耳 或 云 隸 字 
X40n0715_001:0178c19	誤也以下斥云準律得在宗皈等此謂單寫律文。	誤 也 以 下 斥 云 準 律 得 在 宗 皈 等 此 謂 單 寫 律 文 
X40n0715_001:0178c20	三讎下總責謬妄上二句顯非讎校左傳注云讎對	三 讎 下 總 責 謬 妄 上 二 句 顯 非 讎 校 左 傳 注 云 讎 對 
X40n0715_001:0178c21	也謂校諸本以其文義芟改理致乖違則使依附奉	也 謂 校 諸 本 以 其 文 義 芟 改 理 致 乖 違 則 使 依 附 奉 
X40n0715_001:0178c22	持事相不曉故曰蒙然周易云山下出泉曰蒙以其	持 事 相 不 曉 故 曰 蒙 然 周 易 云 山 下 出 泉 曰 蒙 以 其 
X40n0715_001:0178c23	未有所適下二句彰損上句謂因聖欺賢下句蔽塞	未 有 所 適 下 二 句 彰 損 上 句 謂 因 聖 欺 賢 下 句 蔽 塞 
X40n0715_001:0178c24	來學別顯中文有八句委辨四本得失但初本全失	來 學 別 顯 中 文 有 八 句 委 辨 四 本 得 失 但 初 本 全 失 
X40n0715_001:0179a01	餘三則兼得失並上句縱與下句奪破梵本者謂多	餘 三 則 兼 得 失 並 上 句 縱 與 下 句 奪 破 梵 本 者 謂 多 
X40n0715_001:0179a02	梵言迷其文旨彼此方言義不相融通準律即寫隷	梵 言 迷 其 文 旨 彼 此 方 言 義 不 相 融 通 準 律 即 寫 隷 
X40n0715_001:0179a03	文者宗皈謂識達宗旨辨相謂更無註釋單寫戒文	文 者 宗 皈 謂 識 達 宗 旨 辨 相 謂 更 無 註 釋 單 寫 戒 文 
X40n0715_001:0179a04	使輕重等相冥然莫辨言惠求即惠光律師出謂以	使 輕 重 等 相 冥 然 莫 辨 言 惠 求 即 惠 光 律 師 出 謂 以 
X40n0715_001:0179a05	義理求其文相故疏序云隨義約文又刪定序文云	義 理 求 其 文 相 故 疏 序 云 隨 義 約 文 又 刪 定 序 文 云 
X40n0715_001:0179a06	更以義求纂緝遺逸以光師撰廣律疏羯磨戒本咸	更 以 義 求 纂 緝 遺 逸 以 光 師 撰 廣 律 疏 羯 磨 戒 本 咸 
X40n0715_001:0179a07	如刪定深會義其博瞻未靜論端謂展轉駿難未能	如 刪 定 深 會 義 其 博 瞻 未 靜 論 端 謂 展 轉 駿 難 未 能 
X40n0715_001:0179a08	盡理即序云鄙光所出宗理爽文是也言緣據者即	盡 理 即 序 云 鄙 光 所 出 宗 理 爽 文 是 也 言 緣 據 者 即 
X40n0715_001:0179a09	法願律師所出謂依律引緣以為正據故疏序云誦	法 願 律 師 所 出 謂 依 律 引 緣 以 為 正 據 故 疏 序 云 誦 
X40n0715_001:0179a10	律計文刪定序文云準約律部連寫戒心是也具周	律 計 文 刪 定 序 文 云 準 約 律 部 連 寫 戒 心 是 也 具 周 
X40n0715_001:0179a11	猶如委悉別見謂止是一家之計未可通被群心。	猶 如 委 悉 別 見 謂 止 是 一 家 之 計 未 可 通 被 群 心 
X40n0715_001:0179a12	總責中分三初引聖親制正戒謂出離聖道不類邪	總 責 中 分 三 初 引 聖 親 制 正 戒 謂 出 離 聖 道 不 類 邪 
X40n0715_001:0179a13	術明禁謂旨妄警心理非暗昧唯佛制者以經論二	術 明 禁 謂 旨 妄 警 心 理 非 暗 昧 唯 佛 制 者 以 經 論 二 
X40n0715_001:0179a14	學猶通餘聖獨斯戒律金口親宣良以大千界內佛	學 猶 通 餘 聖 獨 斯 戒 律 金 口 親 宣 良 以 大 千 界 內 佛 
X40n0715_001:0179a15	為法王律是佛勅唯聖制立自餘下位但可依承又	為 法 王 律 是 佛 勅 唯 聖 制 立 自 餘 下 位 但 可 依 承 又 
X40n0715_001:0179a16	如國家賞罸號令從女王出臣下僭曰庶人失信亡	如 國 家 賞 罸 號 令 從 女 王 出 臣 下 僭 曰 庶 人 失 信 亡 
X40n0715_001:0179a17	敗無日戒法亦爾若究官說群生不奉法不久住賢	敗 無 日 戒 法 亦 爾 若 究 官 說 群 生 不 奉 法 不 久 住 賢 
X40n0715_001:0179a18	聖祇奉者良以如來行極果圓窮盡眾生重輕業性	聖 祇 奉 者 良 以 如 來 行 極 果 圓 窮 盡 眾 生 重 輕 業 性 
X40n0715_001:0179a19	等覺已下尚非所堪況餘少聖安敢擬議緘默謂無	等 覺 已 下 尚 非 所 堪 況 餘 少 聖 安 敢 擬 議 緘 默 謂 無 
X40n0715_001:0179a20	敢錯辭祇奉謂稟承嚴訓。	敢 錯 辭 祇 奉 謂 稟 承 嚴 訓 
X40n0715_001:0179a21	故下二敘論宗經宗經謂諸論解釋律藏盡宗承本	故 下 二 敘 論 宗 經 宗 經 謂 諸 論 解 釋 律 藏 盡 宗 承 本 
X40n0715_001:0179a22	經教旨不易餘位班者此有二釋或約大小賢聖故	經 教 旨 不 易 餘 位 班 者 此 有 二 釋 或 約 大 小 賢 聖 故 
X40n0715_001:0179a23	曰位班未能窮聖意故曰揣度或約論文解釋不合	曰 位 班 未 能 窮 聖 意 故 曰 揣 度 或 約 論 文 解 釋 不 合 
X40n0715_001:0179a24	參混佛言分別節段附釋聖意無敢思度妄自違越	參 混 佛 言 分 別 節 段 附 釋 聖 意 無 敢 思 度 妄 自 違 越 
X40n0715_001:0179b01	故曰疏云五部十八乃是人分至律教無非佛旨何	故 曰 疏 云 五 部 十 八 乃 是 人 分 至 律 教 無 非 佛 旨 何 
X40n0715_001:0179b02	得無學妄敢錯辭縱有披解自為卷帙是也。	得 無 學 妄 敢 錯 辭 縱 有 披 解 自 為 卷 帙 是 也 
X40n0715_001:0179b03	總下三正斥謬妄上二句指斥諸見總前諸本情執	總 下 三 正 斥 謬 妄 上 二 句 指 斥 諸 見 總 前 諸 本 情 執 
X40n0715_001:0179b04	師心謂妄從臆說如云非制而制是制便違是也下	師 心 謂 妄 從 臆 說 如 云 非 制 而 制 是 制 便 違 是 也 下 
