X17n0323_001:0135a03	 楞伽經序	 楞 伽 經 序 
X17n0323_001:0135a22	以佛廢禪不以玄廢義則其近之矣冉求問聞斯行	以 佛 廢 禪 不 以 玄 廢 義 則 其 近 之 矣 冉 求 問 聞 斯 行 
X17n0323_001:0135a23	諸孔子曰聞斯行之子路問聞斯行諸曰有父兄在	諸 孔 子 曰 聞 斯 行 之 子 路 問 聞 斯 行 諸 曰 有 父 兄 在 
X17n0323_001:0135a24	如之何其聞斯行之求也退故進之由也兼人故退	如 之 何 其 聞 斯 行 之 求 也 退 故 進 之 由 也 兼 人 故 退 
X17n0323_001:0135b01	之說豈有常哉救其偏而已學佛之敝至於溺經文	之 說 豈 有 常 哉 救 其 偏 而 已 學 佛 之 敝 至 於 溺 經 文 
X17n0323_001:0135b02	惑句義而人不體玄則言禪以救之學禪之敝至於	惑 句 義 而 人 不 體 玄 則 言 禪 以 救 之 學 禪 之 敝 至 於 
X17n0323_001:0135b03	馳空言玩琦辯而人不了義則言佛以救之二者更	馳 空 言 玩 琦 辯 而 人 不 了 義 則 言 佛 以 救 之 二 者 更 
X17n0323_001:0135b04	相救而佛法完矣昔達磨西來既已傳心印於二祖	相 救 而 佛 法 完 矣 昔 達 磨 西 來 既 已 傳 心 印 於 二 祖 
X17n0323_001:0135b05	且云吾有楞伽經四卷亦用付汝即是如來心地要	且 云 吾 有 楞 伽 經 四 卷 亦 用 付 汝 即 是 如 來 心 地 要 
X17n0323_001:0135b06	門令諸眾生開示悟入此亦佛與禪並傳而玄與義	門 令 諸 眾 生 開 示 悟 入 此 亦 佛 與 禪 並 傳 而 玄 與 義 
X17n0323_001:0135b07	俱付也至五祖始易以金剛經傳授故六祖聞客讀	俱 付 也 至 五 祖 始 易 以 金 剛 經 傳 授 故 六 祖 聞 客 讀 
X17n0323_001:0135b08	金剛經而問其所從來客云我從蘄州黃梅縣東五	金 剛 經 而 問 其 所 從 來 客 云 我 從 蘄 州 黃 梅 縣 東 五 
X17n0323_001:0135b09	祖山來五祖大師常勸僧俗但持金剛經即自見性	祖 山 來 五 祖 大 師 常 勸 僧 俗 但 持 金 剛 經 即 自 見 性 
X17n0323_001:0135b10	成佛矣則是持金剛經者始於五祖故金剛以是盛	成 佛 矣 則 是 持 金 剛 經 者 始 於 五 祖 故 金 剛 以 是 盛 
X17n0323_001:0135b11	行於世而楞伽遂無傳焉今之傳者實自張公倡之	行 於 世 而 楞 伽 遂 無 傳 焉 今 之 傳 者 實 自 張 公 倡 之 
X17n0323_001:0135b12	之奇過南都謁張公親聞公說楞伽因緣始張公自	之 奇 過 南 都 謁 張 公 親 聞 公 說 楞 伽 因 緣 始 張 公 自 
X17n0323_001:0135b13	三司使翰林學士出守滁一日入琅邪僧舍見一經	三 司 使 翰 林 學 士 出 守 滁 一 日 入 琅 邪 僧 舍 見 一 經 
X17n0323_001:0135b14	函發而視之乃楞伽經也恍然覺其前生之所書筆	函 發 而 視 之 乃 楞 伽 經 也 恍 然 覺 其 前 生 之 所 書 筆 
X17n0323_001:0135b15	畫宛然其始神先受之甚明也之奇聞羊叔子五歲	畫 宛 然 其 始 神 先 受 之 甚 明 也 之 奇 聞 羊 叔 子 五 歲 
X17n0323_001:0135b16	時令乳母取所弄金環乳母謂之汝初無是物祜即	時 令 乳 母 取 所 弄 金 環 乳 母 謂 之 汝 初 無 是 物 祜 即 
X17n0323_001:0135b17	自詣鄰人李氏東垣桑木中探得之主人驚曰此吾	自 詣 鄰 人 李 氏 東 垣 桑 木 中 探 得 之 主 人 驚 曰 此 吾 
X17n0323_001:0135b18	亡兒所失物也云何持去乳母具言之知祜之前身	亡 兒 所 失 物 也 云 何 持 去 乳 母 具 言 之 知 祜 之 前 身 
X17n0323_001:0135b19	為李氏子也白樂天始生七月姆指之無兩字雖試	為 李 氏 子 也 白 樂 天 始 生 七 月 姆 指 之 無 兩 字 雖 試 
X17n0323_001:0135b20	百數不差九歲諳識聲律史氏以為篤於互章盖天	百 數 不 差 九 歲 諳 識 聲 律 史 氏 以 為 篤 於 互 章 盖 天 
X17n0323_001:0135b21	稟然而樂天固自以為宿習之緣矣人之以是一真	稟 然 而 樂 天 固 自 以 為 宿 習 之 緣 矣 人 之 以 是 一 真 
X17n0323_001:0135b22	不滅之性而死生去來於天地之間其為世數雖折	不 滅 之 性 而 死 生 去 來 於 天 地 之 間 其 為 世 數 雖 折 
X17n0323_001:0135b23	天下之草木以為籌筯不能算之矣然以淪於死生	天 下 之 草 木 以 為 籌 筯 不 能 算 之 矣 然 以 淪 於 死 生 
X17n0323_001:0135b24	神識疲耗不能復記惟圓明不昧之人知焉有如張	神 識 疲 耗 不 能 復 記 惟 圓 明 不 昧 之 人 知 焉 有 如 張 
X17n0323_001:0135c01	公以高文大冊再中制舉登侍從秉鈞軸出入朝廷	公 以 高 文 大 冊 再 中 制 舉 登 侍 從 秉 鈞 軸 出 入 朝 廷 
X17n0323_001:0135c02	逾四十年風烈事業播人耳目則其前身甞為大善	逾 四 十 年 風 烈 事 業 播 人 耳 目 則 其 前 身 甞 為 大 善 
X17n0323_001:0135c03	知識無足疑者其能記憶前世之事豈不謂信然哉	知 識 無 足 疑 者 其 能 記 憶 前 世 之 事 豈 不 謂 信 然 哉 
X17n0323_001:0135c04	故因讀楞伽新經而記其因緣於經之端云。	故 因 讀 楞 伽 新 經 而 記 其 因 緣 於 經 之 端 云 
X17n0323_001:0135c08	 書楞伽經後	 書 楞 伽 經 後 
X17n0323_001:0135c09	楞伽阿跋多羅寶經先佛所說微妙第一真實了義	楞 伽 阿 跋 多 羅 寶 經 先 佛 所 說 微 妙 第 一 真 實 了 義 
X17n0323_001:0135c10	故謂之佛語心品祖師達磨以付二祖曰吾觀震旦	故 謂 之 佛 語 心 品 祖 師 達 磨 以 付 二 祖 曰 吾 觀 震 旦 
X17n0323_001:0135c11	所有經教惟楞伽四卷可以印心祖祖相授以為心	所 有 經 教 惟 楞 伽 四 卷 可 以 印 心 祖 祖 相 授 以 為 心 
X17n0323_001:0135c12	法如醫之難經句句皆理字字皆法後世達者神而	法 如 醫 之 難 經 句 句 皆 理 字 字 皆 法 後 世 達 者 神 而 
X17n0323_001:0135c13	明之如槃走珠如珠走槃無不可者若出新意而棄	明 之 如 槃 走 珠 如 珠 走 槃 無 不 可 者 若 出 新 意 而 棄 
X17n0323_001:0135c14	舊學以為無用非愚無知則狂而已近歲學者各宗	舊 學 以 為 無 用 非 愚 無 知 則 狂 而 已 近 歲 學 者 各 宗 
X17n0323_001:0135c15	其師務從簡便得一句一偈自謂了證至使婦人孺	其 師 務 從 簡 便 得 一 句 一 偈 自 謂 了 證 至 使 婦 人 孺 
X17n0323_001:0135c16	子抵掌嬉笑爭談禪悅高者為名下者為利餘波末	子 抵 掌 嬉 笑 爭 談 禪 悅 高 者 為 名 下 者 為 利 餘 波 末 
X17n0323_001:0135c17	流無所不至而佛法微矣譬如俚俗醫師不由經論	流 無 所 不 至 而 佛 法 微 矣 譬 如 俚 俗 醫 師 不 由 經 論 
X17n0323_001:0135c18	直授方藥以之療病非不或中至於遇病輙應懸斷	直 授 方 藥 以 之 療 病 非 不 或 中 至 於 遇 病 輙 應 懸 斷 
X17n0323_001:0135c19	死生則與知經學古者不可同日語矣世人徒見其	死 生 則 與 知 經 學 古 者 不 可 同 日 語 矣 世 人 徒 見 其 
X17n0323_001:0135c20	有一至之功或捷於古人因謂難經不學而可豈不	有 一 至 之 功 或 捷 於 古 人 因 謂 難 經 不 學 而 可 豈 不 
X17n0323_001:0135c21	誤哉楞伽義趣幽眇文字簡古讀者或不能句而況	誤 哉 楞 伽 義 趣 幽 眇 文 字 簡 古 讀 者 或 不 能 句 而 況 
X17n0323_001:0135c22	遺文以得義忘義以了心者乎此其所以寂寥於世	遺 文 以 得 義 忘 義 以 了 心 者 乎 此 其 所 以 寂 寥 於 世 
X17n0323_001:0135c23	幾廢而僅存也太子太保樂全先生張公安道以廣	幾 廢 而 僅 存 也 太 子 太 保 樂 全 先 生 張 公 安 道 以 廣 
X17n0323_001:0135c24	大心得清淨覺慶歷中嘗為滁州至一僧舍偶見此	大 心 得 清 淨 覺 慶 歷 中 嘗 為 滁 州 至 一 僧 舍 偶 見 此 
X17n0323_001:0136a01	經入手恍然如獲舊物開卷未終夙障冰解細視筆	經 入 手 恍 然 如 獲 舊 物 開 卷 未 終 夙 障 冰 解 細 視 筆 
X17n0323_001:0136a02	畫手迹宛然悲喜太息從是悟入常以經首四偈發	畫 手 迹 宛 然 悲 喜 太 息 從 是 悟 入 常 以 經 首 四 偈 發 
X17n0323_001:0136a03	明心要軾游於公之門三十年矣今年二月過南都	明 心 要 軾 游 於 公 之 門 三 十 年 矣 今 年 二 月 過 南 都 
X17n0323_001:0136a04	見公於私第公時年七十九幻滅都盡惠光渾圜而	見 公 於 私 第 公 時 年 七 十 九 幻 滅 都 盡 惠 光 渾 圜 而 
X17n0323_001:0136a05	軾亦老於憂患百念灰冷公以為可教者乃授此經	軾 亦 老 於 憂 患 百 念 灰 冷 公 以 為 可 教 者 乃 授 此 經 
X17n0323_001:0136a06	且以錢三十萬使印施於江淮間而金山長老佛印	且 以 錢 三 十 萬 使 印 施 於 江 淮 間 而 金 山 長 老 佛 印 
X17n0323_001:0136a07	大師子元曰印施有盡若書而刻之則無盡軾乃為	大 師 子 元 曰 印 施 有 盡 若 書 而 刻 之 則 無 盡 軾 乃 為 
X17n0323_001:0136a08	書之而元使其侍者曉機走錢塘求善工刻之板遂	書 之 而 元 使 其 侍 者 曉 機 走 錢 塘 求 善 工 刻 之 板 遂 
X17n0323_001:0136a09	以為金山常住。元豐八年九月九日朝奉郎新差知	以 為 金 山 常 住 元 豐 八 年 九 月 九 日 朝 奉 郎 新 差 知 
X17n0323_001:0136a10	登州軍州兼管內勸農事騎都尉借緋蘇軾書	登 州 軍 州 兼 管 內 勸 農 事 騎 都 尉 借 緋 蘇 軾 書 
X17n0323_001:0136a13	 楞伽通義序	 楞 伽 通 義 序 
X17n0323_001:0136a15	如來藏心未始有物所謂五法三自性八識二無我	如來藏心 未 始 有 物 所 謂 五 法 三 自 性 八 識 二 無 我 
X17n0323_001:0136a16	由之而出此楞伽佛語心之大旨也故以離相言之	由 之 而 出 此 楞 伽 佛 語 心 之 大 旨 也 故 以 離 相 言 之 
X17n0323_001:0136a17	雖正智如如亦悉須離以即性言之雖名相妄想無	雖 正 智 如 如 亦 悉 須 離 以 即 性 言 之 雖 名 相 妄 想 無 
X17n0323_001:0136a18	不皆即是則破相無不盡顯性無不周往復折徵析	不 皆 即 是 則 破 相 無 不 盡 顯 性 無 不 周 往 復 折 徵 析 
X17n0323_001:0136a19	理精微此經該而存焉其窮理盡性之詮乎故達磨	理 精 微 此 經 該 而 存 焉 其 窮 理 盡 性 之 詮 乎 故 達 磨 
X17n0323_001:0136a20	傳之馬祖示之張文定公夙契之蘇文忠公發揮之	傳 之 馬 祖 示 之 張 文 定 公 夙 契 之 蘇 文 忠 公 發 揮 之 
X17n0323_001:0136a21	而世始盛傳人知景慕獨其文簡古譯者葢將使上	而 世 始 盛 傳 人 知 景 慕 獨 其 文 簡 古 譯 者 葢 將 使 上 
X17n0323_001:0136a22	根達識深於自得傳之後世未遽以文字曉則不至	根 達 識 深 於 自 得 傳 之 後 世 未 遽 以 文 字 曉 則 不 至 
X17n0323_001:0136a23	於玩且敞而中下根器幾不能句而望崖焉注釋之	於 玩 且 敞 而 中 下 根 器 幾 不 能 句 而 望 崖 焉 注 釋 之 
X17n0323_001:0136a24	家非無發明往往昧於教意暗於文旨正邪莫辨其	家 非 無 發 明 往 往 昧 於 教 意 暗 於 文 旨 正 邪 莫 辨 其 
X17n0323_001:0136b01	說混淆無上至教幾息于時余竊患之試摭一二徐	說 混 淆 無 上 至 教 幾 息 于 時 余 竊 患 之 試 摭 一 二 徐 
X17n0323_001:0136b02	思而得欲罷不能於是究一經始末節句義起盡按	思 而 得 欲 罷 不 能 於 是 究 一 經 始 末 節 句 義 起 盡 按 
X17n0323_001:0136b03	吾台宗規矩大體申述其旨目曰通義載藁載書朞	吾 台 宗 規 矩 大 體 申 述 其 旨 目 曰 通 義 載 藁 載 書 朞 
X17n0323_001:0136b04	年乃成嘗出以示人則曰佛旨淵深凡情淺陋幾何	年 乃 成 嘗 出 以 示 人 則 曰 佛 旨 淵 深 凡 情 淺 陋 幾 何 
X17n0323_001:0136b05	而不貽誚於大方之家曰有是哉以凡望聖則余豈	而 不 貽 誚 於 大 方 之 家 曰 有 是 哉 以 凡 望 聖 則 余 豈 
X17n0323_001:0136b06	敢以人望人余亦未之多遜或又曰使譯者意不在	敢 以 人 望 人 余 亦 未 之 多 遜 或 又 曰 使 譯 者 意 不 在 
X17n0323_001:0136b07	簡古則已觀今之說則晦者明窒者通迂者直難者	簡 古 則 已 觀 今 之 說 則 晦 者 明 窒 者 通 迂 者 直 難 者 
X17n0323_001:0136b08	易無乃得罪於昔人耶曰知我罪我其惟春秋余固	易 無 乃 得 罪 於 昔 人 耶 曰 知 我 罪 我 其 惟 春 秋 余 固 
X17n0323_001:0136b09	不敢辭。	不 敢 辭 
X17n0323_001:0136b10	嘉定己巳中冬三日　柏庭善月序	嘉 定 己 巳 中 冬 三 日 柏 庭 善 月 序 
X17n0323_001:0136b16	楞伽阿跋多羅寶經通義卷第一	楞 伽 阿 跋 多 羅 寶 經 通 義 卷 第 一 
X17n0323_001:0136b18	四明沙門柏庭　善月　述	四 明 沙 門 柏 庭 善 月 述 
X17n0323_001:0136b19	一切佛語心品第一之一	一 切 佛 語 心 品 第 一 之 一 
X17n0323_001:0136b20	此經大本具在天竺譯人以卷帙既多此品最要	此 經 大 本 具 在 天 竺 譯 人 以 卷 帙 既 多 此 品 最 要 
X17n0323_001:0136b21	有足以印心者故別傳此土凡四譯三存(求那跋陀羅譯	有 足 以 印 心 者 故 別 傳 此 土 凡 四 譯 三 存 求 那 跋 陀 羅 譯 
X17n0323_001:0136b22	於宋菩提流志譯於魏實叉難陀譯於唐)一亡(曇謨讖譯於北涼)盛行宋譯得	於 宋 菩 提 流 志 譯 於 魏 實 叉 難 陀 譯 於 唐 一 亡 曇 謨 讖 譯 於 北 涼 盛 行 宋 譯 得 
X17n0323_001:0136b23	無謂乎楞伽阿跋多羅寶經大本總目也楞伽謂	無 謂 乎 楞 伽 阿 跋 多 羅 寶 經 大 本 總 目 也 楞 伽 謂 
X17n0323_001:0136b24	其山高絕非神通莫往故以不可往翻之表心路	其 山 高 絕 非 神 通 莫 往 故 以 不 可 往 翻 之 表 心 路 
X17n0323_001:0136c01	絕也即說是經處阿跋多羅梵本正云阿靺多羅	絕 也 即 說 是 經 處 阿 跋 多 羅 梵 本 正 云 阿 靺 多 羅 
X17n0323_001:0136c02	此翻游入故二譯竝以入楞伽稱之約理則游入	此 翻 游 入 故 二 譯 竝 以 入 楞 伽 稱 之 約 理 則 游 入 
X17n0323_001:0136c03	自覺聖智境界而說是經亦猶金光明云游於無	自覺聖智 境 界 而 說 是 經 亦 猶 金 光 明 云 游 於 無 
X17n0323_001:0136c04	量甚深法性是也或翻無上則合云阿耨多羅恐	量 甚 深 法 性 是 也 或 翻 無 上 則 合 云 阿 耨 多 羅 恐 
X17n0323_001:0136c05	訛轉爾寶之為言貴重也以出世法寶無以尚故	訛 轉 爾 寶 之 為 言 貴 重 也 以 出 世 法 寶 無 以 尚 故 
X17n0323_001:0136c06	借世寶譬之以凡立題人法譬言之即以處從法	借 世 寶 譬 之 以 凡 立 題 人 法 譬 言 之 即 以 處 從 法 
X17n0323_001:0136c07	亦法譬之例也經如常釋一切佛語心品一品別	亦 法 譬 之 例 也 經 如 常 釋 一 切 佛 語 心 品 一 品 別 
X17n0323_001:0136c08	題也一切則何所不該三世諸佛同證此心共說	題 也 一 切 則 何 所 不 該 三世諸佛 同 證 此 心 共 說 
X17n0323_001:0136c09	此法今從別指且自釋迦文雖通法亦只是心從	此 法 今 從 別 指 且 自 釋 迦 文 雖 通 法 亦 只 是 心 從 
X17n0323_001:0136c10	要總目故曰佛語心品者類義謂類聚以成品也	要 總 目 故 曰 佛 語 心 品 者 類 義 謂 類 聚 以 成 品 也 
X17n0323_001:0136c11	今從別題按台宗以五重玄義申之其一曰人法	今 從 別 題 按 台 宗 以 五 重 玄 義 申 之 其 一 曰 人 法 
X17n0323_001:0136c12	離相為名即一切佛人也語心者法也率皆離相	離 相 為 名 即 一 切 佛 人 也 語 心 者 法 也 率 皆 離 相 
X17n0323_001:0136c13	方稱題旨葢佛是究竟果人則究竟離相以離相	方 稱 題 旨 葢 佛 是 究 竟 果 人 則 究 竟 離 相 以 離 相 
X17n0323_001:0136c14	人說離相法是法即心心亦離相離相無相無相	人 說 離 相 法 是 法 即 心 心 亦 離 相 離 相 無 相 無 相 
X17n0323_001:0136c15	亦離即此為名法可知矣其二曰第一義心為體	亦 離 即 此 為 名 法 可 知 矣 其 二 曰 第 一 義 心 為 體 
X17n0323_001:0136c16	即名所詮體夫心義多種今之所名即如來藏自	即 名 所 詮 體 夫 心 義 多 種 今 之 所 名 即 如 來 藏 自 
X17n0323_001:0136c17	性清淨第一義心故曰此是三世諸佛性自性第	性 清 淨 第 一 義 心 故 曰 此 是 三世諸佛 性 自 性 第 
X17n0323_001:0136c18	一義心此心至中至極如君如父性一切心玅一	一 義 心 此 心 至 中 至 極 如 君 如 父 性 一 切 心 玅 一 
X17n0323_001:0136c19	切法建立一切義為一切法所歸趣處皆體之謂	切 法 建 立 一 切 義 為 一 切 法 所 歸 趣 處 皆 體 之 謂 
X17n0323_001:0136c20	也其三曰了妄無性為宗宗所以顯體苟有諸妄	也 其 三 曰 了 妄 無 性 為 宗 宗 所 以 顯 體 苟 有 諸 妄 
X17n0323_001:0136c21	體不自顯要由自覺聖智了妄無性即妄顯真莫	體 不 自 顯 要 由 自覺聖智 了 妄 無 性 即 妄 顯 真 莫 
X17n0323_001:0136c22	要乎此故曰妄想無性又曰外性無性等皆此經	要 乎 此 故 曰 妄 想 無 性 又 曰 外 性 無 性 等 皆 此 經 
X17n0323_001:0136c23	之宗致也其四曰破外辨邪為用以宗顯則智明	之 宗 致 也 其 四 曰 破 外 辨 邪 為 用 以 宗 顯 則 智 明 
X17n0323_001:0136c24	智明然後有用故以之破外則內外斯別以之辨	智 明 然 後 有 用 故 以 之 破 外 則 內 外 斯 別 以 之 辨 
X17n0323_001:0137a01	邪則邪正畢見猶鑑明則不欺於妍醜繩設則不	邪 則 邪 正 畢 見 猶 鑑 明 則 不 欺 於 妍 醜 繩 設 則 不 
X17n0323_001:0137a02	謬於曲直故無不得其當矣其五曰方等通乘為	謬 於 曲 直 故 無 不 得 其 當 矣 其 五 曰 方 等 通 乘 為 
X17n0323_001:0137a03	教相此經舊皆以為頓大之說殊不知多談幻相	教 相 此 經 舊 皆 以 為 頓 大 之 說 殊 不 知 多 談 幻 相 
X17n0323_001:0137a04	義涉衍門所被之機猶通三乘所談之位兼該十	義 涉 衍 門 所 被 之 機 猶 通 三 乘 所 談 之 位 兼 該 十 
X17n0323_001:0137a05	地故今判之以時則方等除四時部類統收諸大	地 故 今 判 之 以 時 則 方 等 除 四 時 部 類 統 收 諸 大 
X17n0323_001:0137a06	乘故也以教則通乘通於前後兼攝三乘四教故	乘 故 也 以 教 則 通 乘 通 於 前 後 兼 攝 三 乘 四 教 故 
X17n0323_001:0137a07	也如此宗判金光明有判教屬通就圓釋體之例	也 如 此 宗 判 金 光 明 有 判 教 屬 通 就 圓 釋 體 之 例 
X17n0323_001:0137a08	雖若特異從所宗也五義不出三法三法本乎一	雖 若 特 異 從 所 宗 也 五 義 不 出 三 法 三 法 本 乎 一 
X17n0323_001:0137a09	心用釋茲題其旨彌顯又此品目據下別文一名	心 用 釋 茲 題 其 旨 彌 顯 又 此 品 目 據 下 別 文 一 名 
X17n0323_001:0137a10	聖智事分別自性經又名觀察五法自性經亦名	聖 智 事 分 別 自 性 經 又 名 觀 察 五 法 自 性 經 亦 名 
X17n0323_001:0137a11	言說妄想相心經益其所說大約有四謂五法三	言說妄想 相 心 經 益 其 所 說 大 約 有 四 謂 五 法 三 
X17n0323_001:0137a12	自性八識二無我即此品之綱目建義之關鍵各	自 性 八 識 二 無 我 即 此 品 之 綱 目 建 義 之 關 鍵 各 
X17n0323_001:0137a13	從其義以彰異號然不若佛語心兼該總攝事理	從 其 義 以 彰 異 號 然 不 若 佛 語 心 兼 該 總 攝 事 理 
X17n0323_001:0137a14	俱得故特以名焉。	俱 得 故 特 以 名 焉 
X17n0323_001:0137a15	如是我聞一時佛住南海濱楞伽山頂種種寶華以	如是我聞 一 時 佛 住 南 海 濱 楞 伽 山 頂 種 種 寶 華 以 
X17n0323_001:0137a16	為莊嚴與大比丘僧及大菩薩眾俱從彼種種異佛	為 莊 嚴 與 大 比 丘 僧 及 大 菩 薩 眾 俱 從 彼 種 種 異 佛 
X17n0323_001:0137a17	剎來是諸菩薩摩訶薩無量三昧自在之力神通游	剎 來 是 諸 菩薩摩訶薩 無量三昧 自 在 之 力 神 通 游 
X17n0323_001:0137a18	戲大慧菩薩摩訶薩而為上首一切諸佛手灌其頂	戲 大 慧 菩薩摩訶薩 而 為 上 首 一切諸佛 手 灌 其 頂 
X17n0323_001:0137a19	自心現境界善解其義種種眾生種種心色無量度	自 心 現 境 界 善 解 其 義 種 種 眾 生 種 種 心 色 無 量 度 
X17n0323_001:0137a20	門隨類普現於五法自性識二種無我究竟通達。	門 隨 類 普 現 於 五 法 自 性 識 二 種 無 我 究 竟 通 達 
X17n0323_001:0137a21	佛未始有說經未始有言阿難何從得聞乎經固	佛 未 始 有 說 經 未 始 有 言 阿 難 何 從 得 聞 乎 經 固 
X17n0323_001:0137a22	言之矣其說法者無說無示其聽法者無聞無得	言 之 矣 其 說 法 者 無 說 無 示 其 聽 法 者 無 聞 無 得 
X17n0323_001:0137a23	是則如來以無說說阿難以不聞聞向言離相其	是 則 如 來 以 無 說 說 阿 難 以 不 聞 聞 向 言 離 相 其 
X17n0323_001:0137a24	謂是歟言如是則指所聞法亦信順之辭我聞則	謂 是 歟 言 如 是 則 指 所 聞 法 亦 信 順 之 辭 我 聞 則 
X17n0323_001:0137b01	阿難從佛聞持是法台宗章疏約大經生生等四	阿 難 從 佛 聞 持 是 法 台 宗 章 疏 約 大 經 生 生 等 四 
X17n0323_001:0137b02	句作我我聞聞等釋符四教也一時則聞持和合	句 作 我 我 聞 聞 等 釋 符 四 教 也 一 時 則 聞 持 和 合 
X17n0323_001:0137b03	機應際會之時佛則覺道既成乘機說法導利羣	機 應 際 會 之 時 佛 則 覺 道 既 成 乘 機 說 法 導 利 羣 
X17n0323_001:0137b04	品也餘義他文詳之住南海濵楞伽山頂者說處	品 也 餘 義 他 文 詳 之 住 南 海 濵 楞 伽 山 頂 者 說 處 
X17n0323_001:0137b05	也按唐譯曰摩羅耶山楞伽城中下文亦云楞伽	也 按 唐 譯 曰 摩 羅 耶 山 楞 伽 城 中 下 文 亦 云 楞 伽 
X17n0323_001:0137b06	國摩羅耶山此言楞伽者以國城名山或從略爾	國 摩 羅 耶 山 此 言 楞 伽 者 以 國 城 名 山 或 從 略 爾 
X17n0323_001:0137b07	種種寶華以為莊嚴示其處勝也或約表法義釋	種 種 寶 華 以 為 莊 嚴 示 其 處 勝 也 或 約 表 法 義 釋 
X17n0323_001:0137b08	之與大比丘眾等列同聞眾仍歎德行文先歎眾	之 與 大 比 丘 眾 等 列 同 聞 眾 仍 歎 德 行 文 先 歎 眾 
X17n0323_001:0137b09	菩薩德而言從彼種種異佛剎來者舉遠知近且	菩 薩 德 而 言 從 彼 種 種 異 佛 剎 來 者 舉 遠 知 近 且 
X17n0323_001:0137b10	語他方非謂不兼此土機緣無量三昧等正歎德	語 他 方 非 謂 不 兼 此 土 機 緣 無量三昧 等 正 歎 德 
X17n0323_001:0137b11	也初句言定次句言慧第三句言化他而不歎聲	也 初 句 言 定 次 句 言 慧 第 三 句 言 化 他 而 不 歎 聲 
X17n0323_001:0137b12	聞者褒貶之意在焉所以先列者則又以形服進	聞 者 褒 貶 之 意 在 焉 所 以 先 列 者 則 又 以 形 服 進 
X17n0323_001:0137b13	之也次別歎上首大慧德一切諸佛手灌其頂明	之 也 次 別 歎 上 首 大 慧 德 一切諸佛 手 灌 其 頂 明 
X17n0323_001:0137b14	位高也言是菩薩有亞聖之德故以授職灌頂稱	位 高 也 言 是 菩 薩 有 亞 聖 之 德 故 以 授 職 灌 頂 稱 
X17n0323_001:0137b15	之事見後文自心現境界者一經之旨首見於此	之 事 見 後 文 自 心 現 境 界 者 一 經 之 旨 首 見 於 此 
X17n0323_001:0137b16	言大慧善解則智德超勝也以種種眾生而有種	言 大 慧 善 解 則 智 德 超 勝 也 以 種 種 眾 生 而 有 種 
X17n0323_001:0137b17	種心色則善惡等五陰種別大慧以無量度門而	種 心 色 則 善 惡 等 五 陰 種 別 大 慧 以 無 量 度 門 而 
