T35n1731_001:0001a03	華嚴遊意	華 嚴 遊 意 
T35n1731_001:0001c05	南北兩師釋如此也。	南 北 兩 師 釋 如 此 也 
T35n1731_001:0001c06	今次難此兩師解。委悉述大師之言。前難南	今 次 難 此 兩 師 解 委 悉 述 大 師 之 言 前 難 南 
T35n1731_001:0001c07	土解。釋迦與舍那不異。今還用前四種責故	土 解 釋 迦 與 舍 那 不 異 今 還 用 前 四 種 責 故 
T35n1731_001:0001c08	不得一。一者化主異。涅槃般若是釋迦佛說。	不 得 一 一 者 化 主 異 涅 槃 般 若 是 釋 迦 佛 說 
T35n1731_001:0001c09	七處八會是舍那佛說。舍那是本佛釋迦是	七 處 八 會 是 舍 那 佛 說 舍 那 是 本 佛 釋 迦 是 
T35n1731_001:0001c10	迹佛故。菩薩戒經云。我今盧舍那方坐蓮華	迹 佛 故 菩 薩 戒 經 云 我 今 盧 舍 那 方 坐 蓮 華 
T35n1731_001:0001c11	臺。周匝千華上示現千釋迦。故舍那是本	臺 周 匝 千 華 上 示 現 千 釋 迦 故 舍 那 是 本 
T35n1731_001:0001c12	釋迦是迹。若使如此本迹不同那得為一。	釋 迦 是 迹 若 使 如 此 本 迹 不 同 那 得 為 一 
T35n1731_001:0001c13	二者化處異。釋迦在娑婆世界。舍那在蓮華	二 者 化 處 異 釋 迦 在 娑婆世界 舍 那 在 蓮 華 
T35n1731_001:0001c14	藏國。娑婆是雜惡國土。蓮華藏界是純淨土。	藏 國 娑 婆 是 雜 惡 國 土 蓮 華 藏 界 是 純 淨 土 
T35n1731_001:0001c15	二處不同豈得為一。又娑婆國動則六種動。	二 處 不 同 豈 得 為 一 又 娑 婆 國 動 則 六 種 動 
T35n1731_001:0001c16	蓮華藏動則十八種動。又臺葉二處不同。舍	蓮 華 藏 動 則 十 八 種 動 又 臺 葉 二 處 不 同 舍 
T35n1731_001:0001c17	那在臺釋迦在葉。二處如此之殊。何得為	那 在 臺 釋 迦 在 葉 二 處 如 此 之 殊 何 得 為 
T35n1731_001:0001c18	一耶。三者教門異。釋迦則雜說三一。雜說半	一 耶 三 者 教 門 異 釋 迦 則 雜 說 三 一 雜 說 半 
T35n1731_001:0001c19	滿。雜說但不但。舍那純說一大。純滿純不	滿 雜 說 但 不 但 舍 那 純 說 一 大 純 滿 純 不 
T35n1731_001:0001c20	但。釋迦赴雜緣說雜教。赴三一緣說三一教。	但 釋 迦 赴 雜 緣 說 雜 教 赴 三 一 緣 說 三 一 教 
T35n1731_001:0001c21	乃至赴但不但緣說但不但教。舍那唯赴一	乃 至 赴 但 不 但 緣 說 但 不 但 教 舍 那 唯 赴 一 
T35n1731_001:0001c22	大緣說一大教。乃至赴滿不但緣說滿不但	大 緣 說 一 大 教 乃 至 赴 滿 不 但 緣 說 滿 不 但 
T35n1731_001:0001c23	教。若爾故不得為一也。四者徒眾異。釋迦具	教 若 爾 故 不 得 為 一 也 四 者 徒 眾 異 釋 迦 具 
T35n1731_001:0001c24	有三一雜緣但不但緣。如千二百聲聞彌勒	有 三 一 雜 緣 但 不 但 緣 如 千 二 百 聲 聞 彌 勒 
T35n1731_001:0001c25	等菩薩則是雜緣也。舍那唯一大緣滿緣。	等 菩 薩 則 是 雜 緣 也 舍 那 唯 一 大 緣 滿 緣 
T35n1731_001:0001c26	普賢菩薩等則是大緣。教既其異緣亦不同。	普 賢 菩 薩 等 則 是 大 緣 教 既 其 異 緣 亦 不 同 
T35n1731_001:0001c27	緣既不同故。二佛不得為一。將此四條異彈	緣 既 不 同 故 二 佛 不 得 為 一 將 此 四 條 異 彈 
T35n1731_001:0001c28	南人解二佛不得是一也。次更前難何者彼	南 人 解 二 佛 不 得 是 一 也 次 更 前 難 何 者 彼 
T35n1731_001:0001c29	云。釋迦遙說蓮華藏國。如釋迦在此說無	云 釋 迦 遙 說 蓮 華 藏 國 如 釋 迦 在 此 說 無 
T35n1731_001:0002a01	量壽國。然此解不知是誰解。山中師及興皇	量 壽 國 然 此 解 不 知 是 誰 解 山 中 師 及 興 皇 
T35n1731_001:0002a02	師並述此釋實不成釋。好體不煩須難。何	師 並 述 此 釋 實 不 成 釋 好 體 不 煩 須 難 何 
T35n1731_001:0002a03	者汝既云舍那即釋迦。何得言釋迦遙說耶。	者 汝 既 云 舍 那 即 釋 迦 何 得 言 釋 迦 遙 說 耶 
T35n1731_001:0002a04	但別有難。今更述之。何者釋迦說無量壽凡	但 別 有 難 今 更 述 之 何 者 釋 迦 說 無 量 壽 凡 
T35n1731_001:0002a05	有二種經。一者無量壽觀經。二者無量壽	有 二 種 經 一 者 無 量 壽 觀 經 二 者 無 量 壽 
T35n1731_001:0002a06	經。無量壽觀經為世王母韋提希夫人說。夫	經 無 量 壽 觀 經 為 世 王 母 韋 提 希 夫 人 說 夫 
T35n1731_001:0002a07	人在獄。令其觀佛三昧。若是無量壽經為比	人 在 獄 令 其 觀 佛 三 昧 若 是 無 量 壽 經 為 比 
T35n1731_001:0002a08	丘十六正士說彼國土淨人華。令此間五痛	丘 十 六 正 士 說 彼 國 土 淨 人 華 令 此 間 五 痛 
T35n1731_001:0002a09	五燒三輩往生。若爾說無量壽國既有所為	五 燒 三 輩 往 生 若 爾 說 無 量 壽 國 既 有 所 為 
T35n1731_001:0002a10	緣。釋迦遙說蓮華藏國。為何物緣。不見有解	緣 釋 迦 遙 說 蓮 華 藏 國 為 何 物 緣 不 見 有 解 
T35n1731_001:0002a11	故不應言是遙說。好體不須難。大師既有	故 不 應 言 是 遙 說 好 體 不 須 難 大 師 既 有 
T35n1731_001:0002a12	斯言略而述了。此即是借北人異彈南人	斯 言 略 而 述 了 此 即 是 借 北 人 異 彈 南 人 
T35n1731_001:0002a13	一竟。	一 竟 
T35n1731_001:0002a14	次借南人一彈北人異亦有兩難。彼云。如此	次 借 南 人 一 彈 北 人 異 亦 有 兩 難 彼 云 如 此 
T35n1731_001:0002a15	二佛有此四殊豈得為一。所以北講華嚴。	二 佛 有 此 四 殊 豈 得 為 一 所 以 北 講 華 嚴 
T35n1731_001:0002a16	勝於南土。今次難之還用前四條。難一者。	勝 於 南 土 今 次 難 之 還 用 前 四 條 難 一 者 
T35n1731_001:0002a17	化主不得異。凡舉三處文。難一者此經名	化 主 不 得 異 凡 舉 三 處 文 難 一 者 此 經 名 
T35n1731_001:0002a18	號品是第二會。文殊菩薩說文云。或名盧	號 品 是 第 二 會 文 殊 菩 薩 說 文 云 或 名 盧 
T35n1731_001:0002a19	舍那。或名釋迦文。或名悉達多。既稱或	舍 那 或 名 釋 迦 文 或 名 悉 達 多 既 稱 或 
T35n1731_001:0002a20	名何得言異。若使或名舍那或名釋迦。而言	名 何 得 言 異 若 使 或 名 舍 那 或 名 釋 迦 而 言 
T35n1731_001:0002a21	異。或名眼或名目。亦應異。反詰云。第二像	異 或 名 眼 或 名 目 亦 應 異 反 詰 云 第 二 像 
T35n1731_001:0002a22	法決疑經云。或有見我為舍那。或有見釋迦。	法 決 疑 經 云 或 有 見 我 為 舍 那 或 有 見 釋 迦 
T35n1731_001:0002a23	此是緣見不同佛為何異。如有見佛身三尺。	此 是 緣 見 不 同 佛 為 何 異 如 有 見 佛 身 三 尺 
T35n1731_001:0002a24	或有見佛身無邊。如瞿師羅長者見佛短。	或 有 見 佛 身 無 邊 如 瞿 師 羅 長 者 見 佛 短 
T35n1731_001:0002a25	大梵天王不見佛頂。只是一佛緣見異耳。	大 梵 天 王 不 見 佛 頂 只 是 一 佛 緣 見 異 耳 
T35n1731_001:0002a26	若緣見舍那釋迦則言二佛異者。緣見長短	若 緣 見 舍 那 釋 迦 則 言 二 佛 異 者 緣 見 長 短 
T35n1731_001:0002a27	亦應為異。反詰云。若爾故不應言異也。次	亦 應 為 異 反 詰 云 若 爾 故 不 應 言 異 也 次 
T35n1731_001:0002a28	第三此經第六會在他化自在宮說十地法	第 三 此 經 第 六 會 在 他 化 自 在 宮 說 十 地 法 
T35n1731_001:0002a29	門。釋迦放眉間白毫相光加金剛藏說。既	門 釋 迦 放 眉間白毫相光 加 金 剛 藏 說 既 
T35n1731_001:0002b01	是釋迦勸金剛藏說十地。何得言是舍那	是 釋 迦 勸 金 剛 藏 說 十 地 何 得 言 是 舍 那 
T35n1731_001:0002b02	說。若是舍那說應舍那放光勸。而今是釋迦	說 若 是 舍 那 說 應 舍 那 放 光 勸 而 今 是 釋 迦 
T35n1731_001:0002b03	放勸。故不應言二佛調然逈異也。二者處所	放 勸 故 不 應 言 二 佛 調 然 逈 異 也 二 者 處 所 
T35n1731_001:0002b04	不得為異。說此經在摩竭提國寂滅道場。摩	不 得 為 異 說 此 經 在 摩 竭 提 國 寂 滅 道 場 摩 
T35n1731_001:0002b05	竭提還是摩伽陀。此乃是梵音之切緩。何	竭 提 還 是 摩 伽 陀 此 乃 是 梵 音 之 切 緩 何 
T35n1731_001:0002b06	關兩所有異。若爾還是娑婆國說此經也。何	關 兩 所 有 異 若 爾 還 是 娑 婆 國 說 此 經 也 何 
T35n1731_001:0002b07	以得知。涅槃經云。并及摩竭提阿闍世大	以 得 知 涅 槃 經 云 并 及 摩 竭 提 阿 闍 世 大 
T35n1731_001:0002b08	王不久須臾至。阿闍世王即是摩伽陀國主。	王 不 久 須 臾 至 阿 闍 世 王 即 是 摩伽陀國 主 
T35n1731_001:0002b09	以此而言故知二處不異也。三者教門不得	以 此 而 言 故 知 二 處 不 異 也 三 者 教 門 不 得 
T35n1731_001:0002b10	異。何者釋迦說雜教。釋迦說純淨教。釋迦說	異 何 者 釋 迦 說 雜 教 釋 迦 說 純 淨 教 釋 迦 說 
T35n1731_001:0002b11	半滿教。釋迦說純滿教。若為是釋迦說純淨	半 滿 教 釋 迦 說 純 滿 教 若 為 是 釋 迦 說 純 淨 
T35n1731_001:0002b12	教耶。解云。釋迦勸金剛藏說十地法門。是此	教 耶 解 云 釋 迦 勸 金 剛 藏 說 十 地 法 門 是 此 
T35n1731_001:0002b13	經之中。故知釋迦說純淨大教也。四者徒眾	經 之 中 故 知 釋 迦 說 純 淨 大 教 也 四 者 徒 眾 
T35n1731_001:0002b14	亦不異。第八會具列大小乘眾。列五百聲聞	亦 不 異 第 八 會 具 列 大 小 乘 眾 列 五 百 聲 聞 
T35n1731_001:0002b15	身子須菩提等。若爾二佛徒眾亦不異。若使	身 子 須 菩 提 等 若 爾 二 佛 徒 眾 亦 不 異 若 使 
T35n1731_001:0002b16	言舍那唯為一大緣則應唯列一大乘眾。何	言 舍 那 唯 為 一 大 緣 則 應 唯 列 一 大 乘 眾 何 
T35n1731_001:0002b17	則具列大小眾。為則具大小緣。又列既雜列。	則 具 列 大 小 眾 為 則 具 大 小 緣 又 列 既 雜 列 
T35n1731_001:0002b18	緣即是雜緣。教是雜教。又釋迦大緣文殊彌	緣 即 是 雜 緣 教 是 雜 教 又 釋 迦 大 緣 文 殊 彌 
T35n1731_001:0002b19	勒等。更無別文殊彌勒。何異舍那。小緣身子	勒 等 更 無 別 文 殊 彌 勒 何 異 舍 那 小 緣 身 子 
T35n1731_001:0002b20	須菩提等。無別身子須菩提等。若使如此故	須 菩 提 等 無 別 身 子 須 菩 提 等 若 使 如 此 故 
T35n1731_001:0002b21	知。二佛徒眾亦復不異。四種既其不異。何	知 二 佛 徒 眾 亦 復 不 異 四 種 既 其 不 異 何 
T35n1731_001:0002b22	得釋兩佛調然有殊。	得 釋 兩 佛 調 然 有 殊 
T35n1731_001:0002b23	第二別難者。彼云。舍那是報佛。釋迦是化	第 二 別 難 者 彼 云 舍 那 是 報 佛 釋 迦 是 化 
T35n1731_001:0002b24	佛。舍那是釋迦之報。釋迦為舍那之化。師	佛 舍 那 是 釋 迦 之 報 釋 迦 為 舍 那 之 化 師 
T35n1731_001:0002b25	難云。此則迴互二佛。翻覆世界。混亂教門。言	難 云 此 則 迴 互 二 佛 翻 覆 世 界 混 亂 教 門 言 
T35n1731_001:0002b26	迴互二佛者。謂舍那自有報應。舍那自有本	迴 互 二 佛 者 謂 舍 那 自 有 報 應 舍 那 自 有 本 
T35n1731_001:0002b27	迹。釋迦亦自有報應。自為本迹。何得指彼	迹 釋 迦 亦 自 有 報 應 自 為 本 迹 何 得 指 彼 
T35n1731_001:0002b28	佛為此報。此佛為彼化。彼佛為此本。此佛	佛 為 此 報 此 佛 為 彼 化 彼 佛 為 此 本 此 佛 
T35n1731_001:0002b29	為彼迹。若指彼佛為此報。此佛為彼化。即有	為 彼 迹 若 指 彼 佛 為 此 報 此 佛 為 彼 化 即 有 
T35n1731_001:0002c01	二佛迴互之失。言翻覆世界者。釋迦自出華	二 佛 迴 互 之 失 言 翻 覆 世 界 者 釋 迦 自 出 華 
T35n1731_001:0002c02	葉上。舍那自在華臺上。二世界各自不同。何	葉 上 舍 那 自 在 華 臺 上 二 世 界 各 自 不 同 何 
T35n1731_001:0002c03	得指彼佛為此報。此佛為彼化耶。言混亂教	得 指 彼 佛 為 此 報 此 佛 為 彼 化 耶 言 混 亂 教 
T35n1731_001:0002c04	門者。釋迦赴大小緣說大小教。舍那為大	門 者 釋 迦 赴 大 小 緣 說 大 小 教 舍 那 為 大 
T35n1731_001:0002c05	緣說大教不同。何得以舍那為釋迦本。釋迦	緣 說 大 教 不 同 何 得 以 舍 那 為 釋 迦 本 釋 迦 
T35n1731_001:0002c06	為舍那迹耶。前開借異以破一。此開就異	為 舍 那 迹 耶 前 開 借 異 以 破 一 此 開 就 異 
T35n1731_001:0002c07	以彈異。大而為言。前借北異彈南一。今借南	以 彈 異 大 而 為 言 前 借 北 異 彈 南 一 今 借 南 
T35n1731_001:0002c08	一破北異。此則互借兩家。彈彼二解竟。	一 破 北 異 此 則 互 借 兩 家 彈 彼 二 解 竟 
T35n1731_001:0002c09	既斥南北一異兩家皆非。彼即反問。汝既彈	既 斥 南 北 一 異 兩 家 皆 非 彼 即 反 問 汝 既 彈 
T35n1731_001:0002c10	一異皆非。汝作若為別釋耶。建初法師曾以	一 異 皆 非 汝 作 若 為 別 釋 耶 建 初 法 師 曾 以 
T35n1731_001:0002c11	此問興皇一大學士云。舍那釋迦為一為	此 問 興 皇 一 大 學 士 云 舍 那 釋 迦 為 一 為 
T35n1731_001:0002c12	異耶。答云。舍那釋迦釋迦舍那。建初即云。我	異 耶 答 云 舍 那 釋 迦 釋 迦 舍 那 建 初 即 云 我 
T35n1731_001:0002c13	已解。若為解。既云舍那釋迦釋迦舍那。豈	已 解 若 為 解 既 云 舍 那 釋 迦 釋 迦 舍 那 豈 
T35n1731_001:0002c14	是一豈是異。作此一答彼即便解也。然何但	是 一 豈 是 異 作 此 一 答 彼 即 便 解 也 然 何 但 
T35n1731_001:0002c15	非一異四句皆非。何者釋迦是舍那。釋迦豈	非 一 異 四 句 皆 非 何 者 釋 迦 是 舍 那 釋 迦 豈 
T35n1731_001:0002c16	得是異。乃至非異亦爾。又釋迦舍那豈得是	得 是 異 乃 至 非 異 亦 爾 又 釋 迦 舍 那 豈 得 是 
T35n1731_001:0002c17	一。釋迦舍那豈得是異。釋迦舍那豈得是亦	一 釋 迦 舍 那 豈 得 是 異 釋 迦 舍 那 豈 得 是 亦 
T35n1731_001:0002c18	一亦異非一非異耶。雖非一異四句欲言	一 亦 異 非一非異 耶 雖 非 一 異 四 句 欲 言 
T35n1731_001:0002c19	一異四句亦不失因緣四句。何者釋迦舍那	一 異 四 句 亦 不 失 因 緣 四 句 何 者 釋 迦 舍 那 
T35n1731_001:0002c20	豈一。不一而不失一。釋迦舍那豈是異。不異	豈 一 不 一 而 不 失 一 釋 迦 舍 那 豈 是 異 不 異 
T35n1731_001:0002c21	而不失異。餘兩句亦爾。故非四句而不失四	而 不 失 異 餘 兩 句 亦 爾 故 非 四 句 而 不 失 四 
T35n1731_001:0002c22	句。因緣無礙也。非一異四句而一異四句。並	句 因 緣 無 礙 也 非 一 異 四 句 而 一 異 四 句 並 
T35n1731_001:0002c23	有其文義。何者文云。或名釋迦。或名舍那。故	有 其 文 義 何 者 文 云 或 名 釋 迦 或 名 舍 那 故 
T35n1731_001:0002c24	不得其異。而臺葉本迹不同故。不得為一。	不 得 其 異 而 臺 葉 本 迹 不 同 故 不 得 為 一 
T35n1731_001:0002c25	或為緣見是釋迦。或有緣見是舍那。故得是	或 為 緣 見 是 釋 迦 或 有 緣 見 是 舍 那 故 得 是 
T35n1731_001:0002c26	亦一亦異。或有緣見非是釋迦非是舍那。故	亦 一 亦 異 或 有 緣 見 非 是 釋 迦 非 是 舍 那 故 
T35n1731_001:0002c27	得是非一非異。所以因緣無礙。無往不得也。	得 是 非一非異 所 以 因 緣 無 礙 無 往 不 得 也 
T35n1731_001:0002c28	然要須彈他四句乃得明今因緣四句。何者	然 要 須 彈 他 四 句 乃 得 明 今 因 緣 四 句 何 者 
T35n1731_001:0002c29	他語是亦須彈語非故。宜須彈語既是何須	他 語 是 亦 須 彈 語 非 故 宜 須 彈 語 既 是 何 須 
T35n1731_001:0003a01	彈語耶。解云。語雖是而不得因緣無礙意。	彈 語 耶 解 云 語 雖 是 而 不 得 因 緣 無 礙 意 
T35n1731_001:0003a02	既其失意不成語故。若是若非皆悉須彈。以	既 其 失 意 不 成 語 故 若 是 若 非 皆 悉 須 彈 以 
T35n1731_001:0003a03	彈彼淨。然後始得明今因緣無礙也。用此語	彈 彼 淨 然 後 始 得 明 今 因 緣 無 礙 也 用 此 語 
T35n1731_001:0003a04	者為對他家了非是。今時明因緣義但為對	者 為 對 他 家 了 非 是 今 時 明 因 緣 義 但 為 對 
T35n1731_001:0003a05	彼定義。南方定云一。北方定異。為破彼定一	彼 定 義 南 方 定 云 一 北 方 定 異 為 破 彼 定 一 
T35n1731_001:0003a06	定異明今因緣一異。此語既答前之一異	定 異 明 今 因 緣 一 異 此 語 既 答 前 之 一 異 
T35n1731_001:0003a07	問也。	問 也 
T35n1731_001:0003a08	次更別明一異四句。或成前意。此四句為異	次 更 別 明 一 異 四 句 或 成 前 意 此 四 句 為 異 
T35n1731_001:0003a09	從來四句。言四句者。一則二佛說一教。二則	從 來 四 句 言 四 句 者 一 則 二 佛 說 一 教 二 則 
T35n1731_001:0003a10	一佛說二教。三則一佛說一教。四則二佛說	一 佛 說 二 教 三 則 一 佛 說 一 教 四 則 二 佛 說 
T35n1731_001:0003a11	二教。二佛說一教者。舍那釋迦二佛。舍那是	二 教 二 佛 說 一 教 者 舍 那 釋 迦 二 佛 舍 那 是 
T35n1731_001:0003a12	本。釋迦是迹。本迹臺葉不同故。是二佛一教	本 釋 迦 是 迹 本 迹 臺 葉 不 同 故 是 二 佛 一 教 
T35n1731_001:0003a13	者。涅槃華嚴一教。涅槃即華嚴。華嚴即是	者 涅 槃 華 嚴 一 教 涅 槃 即 華 嚴 華 嚴 即 是 
T35n1731_001:0003a14	涅槃。故是一教也。一佛二教者。一佛即舍	涅 槃 故 是 一 教 也 一 佛 二 教 者 一 佛 即 舍 
T35n1731_001:0003a15	那釋迦一佛。舍那即釋迦。釋迦即舍那。本	那 釋 迦 一 佛 舍 那 即 釋 迦 釋 迦 即 舍 那 本 
