T38n1769_001:0239a13	涅槃宗要	涅 槃 宗 要 
T38n1769_001:0239b10	大滅度。欲明如來所證道體周無外。用遍有	大 滅 度 欲 明 如 來 所 證 道 體 周 無 外 用 遍 有 
T38n1769_001:0239b11	情廣苞遠濟。莫是為先依莫先義。故名為大	情 廣 苞 遠 濟 莫 是 為 先 依 莫 先 義 故 名 為 大 
T38n1769_001:0239b12	體大用無二無別。既無彼崖可到。何有此崖	體 大 用 無 二 無 別 既 無 彼 崖 可 到 何 有 此 崖 
T38n1769_001:0239b13	可離。無所離故無所不離乃為大滅。無所到	可 離 無 所 離 故 無 所 不 離 乃 為 大 滅 無 所 到 
T38n1769_001:0239b14	故無所不到方是大度。以是義故名大滅度。	故 無 所 不 到 方 是 大 度 以是義故 名 大 滅 度 
T38n1769_001:0239b15	所言經者。大聖格言貫十方而一揆。歷千代	所 言 經 者 大 聖 格 言 貫 十 方 而 一 揆 歷 千 代 
T38n1769_001:0239b16	而莫二法。而且常故名為經。正說之前先序	而 莫 二 法 而 且 常 故 名 為 經 正 說 之 前 先 序 
T38n1769_001:0239b17	時事。以之故言序品。第一故導大般涅槃經	時 事 以 之 故 言 序 品 第 一 故 導 大 般 涅 槃 經 
T38n1769_001:0239b18	序品第一。二者廣開之內有其四門。初說因	序 品 第 一 二 者 廣 開 之 內 有 其 四 門 初 說 因 
T38n1769_001:0239b19	緣。次明教宗。三出經體。四辨教迹。第一說經	緣 次 明 教 宗 三 出 經 體 四 辨 教 迹 第 一 說 經 
T38n1769_001:0239b20	因緣門者。問佛臨涅槃而說是經。為有因緣	因 緣 門 者 問 佛 臨 涅 槃 而 說 是 經 為 有 因 緣 
T38n1769_001:0239b21	為無因緣。若無因緣亦應無說。若有因緣有	為 無 因 緣 若 無 因 緣 亦 應 無 說 若 有 因 緣 有 
T38n1769_001:0239b22	為幾種。答佛說是經無因無緣。所以然者。所	為 幾 種 答 佛 說 是 經 無 因 無 緣 所 以 然 者 所 
T38n1769_001:0239b23	說之旨絕於名言不開因緣故。能說之人離諸	說 之 旨 絕 於 名 言 不 開 因 緣 故 能 說 之 人 離 諸 
T38n1769_001:0239b24	分別不思因緣故。無因強說是經。如此下文	分 別 不 思 因 緣 故 無 因 強 說 是 經 如 此 下 文 
T38n1769_001:0239b25	言。如拉羅婆夷名為食油。實不食油強為立	言 如 拉 羅 婆 夷 名 為 食 油 實 不 食 油 強 為 立 
T38n1769_001:0239b26	名字為食油。是大涅槃亦復如是。無有因緣	名 字 為 食 油 是 大 涅 槃 亦復如是 無 有 因 緣 
T38n1769_001:0239b27	強立名字。又攝論云。若佛果是無分別智所	強 立 名 字 又 攝 論 云 若 佛 果 是 無分別智 所 
T38n1769_001:0239b28	顯離分別。眾生。云何得作眾生利益事。如理	顯 離 分 別 眾 生 云 何 得 作 眾 生 利 益 事 如 理 
T38n1769_001:0239b29	無倒為顯無功用作事。故重說偈言。譬摩尼	無 倒 為 顯 無 功 用 作 事 故 重 說 偈 言 譬 摩 尼 
T38n1769_001:0239c01	天鼓無思成自事。如是不分別種種佛事成。	天 鼓 無 思 成 自 事 如 是 不 分 別 種 種 佛 事 成 
T38n1769_001:0239c02	解云。若依是義無因緣而有所說。又復得言	解 云 若 依 是 義 無 因 緣 而 有 所 說 又 復 得 言 
T38n1769_001:0239c03	無因緣故亦無所說。如是經下文言。若知如	無 因 緣 故 亦 無 所 說 如 是 經 下 文 言 若 知 如 
T38n1769_001:0239c04	來常不說法是名菩薩具足多聞。二夜經云。	來 常 不 說 法 是 名 菩 薩 具 足 多 聞 二 夜 經 云 
T38n1769_001:0239c05	從初得道夜乃至涅槃夜是二夜中間不說一	從 初 得 道 夜 乃至涅槃 夜 是 二 夜 中 間 不 說 一 
T38n1769_001:0239c06	言字。以是證知無因無說。或有說者。有大因	言 字 以 是 證 知 無 因 無 說 或 有 說 者 有 大 因 
T38n1769_001:0239c07	緣佛說是經。所以然者。如愚癡人都無因緣	緣 佛 說 是 經 所 以 然 者 如 愚 癡 人 都 無 因 緣 
T38n1769_001:0239c08	有無所作。智者不爾。有深所以乃有所作。如	有 無 所 作 智 者 不 爾 有 深 所 以 乃 有 所 作 如 
T38n1769_001:0239c09	智度論云。譬如須彌山王不以無因緣及小因	智 度 論 云 譬 如須彌山 王 不 以 無 因 緣 及 小 因 
T38n1769_001:0239c10	緣而自動作。諸佛亦爾。不無因緣而有所說。	緣 而 自 動 作 諸 佛 亦 爾 不 無 因 緣 而 有 所 說 
T38n1769_001:0239c11	依是文意有因有說。若依是意說此經因有	依 是 文 意 有 因 有 說 若 依 是 意 說 此 經 因 有 
T38n1769_001:0239c12	總有別。別而論之因緣無量。所以然者。大人	總 有 別 別 而 論 之 因 緣 無 量 所 以 然 者 大 人 
T38n1769_001:0239c13	發言必不徒說。一偈一句各有因緣。一言之	發 言 必 不 徒 說 一 偈 一 句 各 有 因 緣 一 言 之 
T38n1769_001:0239c14	內亦有眾緣。此經梵本有二萬五千偈則有	內 亦 有 眾 緣 此 經 梵 本 有 二 萬 五 千 偈 則 有 
T38n1769_001:0239c15	二萬五千因緣。隨其一偈皆有四句。則十萬	二 萬 五 千 因 緣 隨 其 一 偈 皆 有 四 句 則 十 萬 
T38n1769_001:0239c16	句有爾許因緣。又一一句各有諸緣。由是言	句 有 爾 許 因 緣 又 一 一 句 各 有 諸 緣 由 是 言 
T38n1769_001:0239c17	之有無量緣。別緣如是不可具陳。總因緣者	之 有 無 量 緣 別 緣 如 是 不 可 具 陳 總 因 緣 者 
T38n1769_001:0239c18	如來宜以大因緣而說是經。所謂欲顯諸佛	如 來 宜 以 大 因 緣 而 說 是 經 所 謂 欲 顯 諸 佛 
T38n1769_001:0239c19	出世之大意故。如法花經言。諸佛如來唯以	出 世 之 大 意 故 如 法 花 經 言 諸佛如來 唯 以 
T38n1769_001:0239c20	一事因緣故出現於世乃至廣說。又此經菩	一 事 因 緣 故 出 現 於 世 乃至廣說 又 此 經 菩 
T38n1769_001:0239c21	薩品云。若有人能供養恭敬無量諸佛。方乃	薩 品 云 若 有 人 能 供養恭敬 無 量 諸 佛 方 乃 
T38n1769_001:0239c22	得聞大涅槃經。所以者何。大德之人乃能得	得 聞 大 涅 槃 經 所以者何 大 德 之 人 乃 能 得 
T38n1769_001:0239c23	聞如是大事。何等為大。所謂諸佛甚深祕藏	聞 如 是 大 事 何 等 為 大 所 謂 諸 佛 甚 深 祕 藏 
T38n1769_001:0239c24	如來之性。以是義故名為大事。解云。今說是	如 來 之 性 以是義故 名 為 大 事 解 云 今 說 是 
T38n1769_001:0239c25	經之時正臨一化之終日究意顯示諸佛大意。	經 之 時 正 臨 一 化 之 終 日 究 意 顯 示 諸 佛 大 意 
T38n1769_001:0239c26	所謂總括成道以來隨機所說一切言教。悉	所 謂 總 括 成 道 以 來 隨 機 所 說 一 切 言 教 悉 
T38n1769_001:0239c27	為示一味之道。普今歸趣無二之性。十方世	為 示 一 味 之 道 普 今 歸 趣 無 二 之 性 十 方 世 
T38n1769_001:0239c28	一切諸佛悉同是意無二無別。是謂諸佛出	一切諸佛 悉 同 是 意 無 二 無 別 是 謂 諸 佛 出 
T38n1769_001:0239c29	世大意。是名如來甚深祕藏。由有如是一大	世 大 意 是 名 如 來 甚 深 祕 藏 由 有 如 是 一 大 
T38n1769_001:0240a01	因緣。是故如來說是大經。如是總門一大因	因 緣 是 故 如 來 說 是 大 經 如 是 總 門 一 大 因 
T38n1769_001:0240a02	緣即攝別門無量因緣。以其眾緣不出一意。	緣 即 攝 別 門 無 量 因 緣 以 其 眾 緣 不 出 一 意 
T38n1769_001:0240a03	問彼初師義無因無說。此後師意有因有說。	問 彼 初 師 義 無 因 無 說 此 後 師 意 有 因 有 說 
T38n1769_001:0240a04	如是二說何得何失。或有說者。二說悉得。皆	如 是 二 說 何 得 何 失 或 有 說 者 二 說 悉 得 皆 
T38n1769_001:0240a05	依經典不相妨故。雖非不然故說有無無而	依 經 典 不 相 妨 故 雖 非 不 然 故 說 有 無 無 而 
T38n1769_001:0240a06	非定然故不相違。說經因緣應如是知。第二	非 定 然 故 不 相 違 說 經 因 緣 應 如 是 知 第 二 
T38n1769_001:0240a07	辨教宗者。此經宗旨說者不同。有師說言。經	辨 教 宗 者 此 經 宗 旨 說 者 不 同 有 師 說 言 經 
T38n1769_001:0240a08	文始終所詮眾義以為經宗。對問而言。即有	文 始 終 所 詮 眾 義 以 為 經 宗 對 問 而 言 即 有 
T38n1769_001:0240a09	六六三十六義。所謂第一長壽因果乃至最	六 六 三 十 六 義 所 謂 第 一 長 壽 因 果 乃 至 最 
T38n1769_001:0240a10	後諸陰法門。或有說者。四種大義為此經宗。	後 諸 陰 法 門 或 有 說 者 四 種 大 義 為 此 經 宗 
T38n1769_001:0240a11	何等為四。一者大涅槃圓極妙果具足三事	何 等 為 四 一 者 大 涅 槃 圓 極 妙 果 具 足 三 事 
T38n1769_001:0240a12	及與四德。二者一切眾生悉有佛性。煩惱覆	及 與 四 德 二 者 一 切 眾 生 悉 有 佛 性 煩 惱 覆 
T38n1769_001:0240a13	故不能見。三者三寶佛性同體無二。四者闡	故 不 能 見 三 者 三 寶 佛 性 同 體 無 二 四 者 闡 
T38n1769_001:0240a14	提謗法執性二乘。悉當作佛。如是四義以為	提 謗 法 執 性 二 乘 悉 當 作 佛 如 是 四 義 以 為 
T38n1769_001:0240a15	其宗。或有說者。出世因果以其為宗。果即菩	其 宗 或 有 說 者 出 世 因 果 以 其 為 宗 果 即 菩 
T38n1769_001:0240a16	提涅槃。因即佛性聖行。如能陀章開菩提果。	提 涅 槃 因 即 佛 性 聖 行 如 能 陀 章 開 菩 提 果 
T38n1769_001:0240a17	[冗几+(罩卓+(衣〦+一))]歎章中開涅槃果。如來性品顯佛性因。聖	[冗几罩卓衣〦一] 歎 章 中 開 涅 槃 果 如 來 性 品 顯 佛 性 因 聖 
T38n1769_001:0240a18	行品中說行德因。其餘諸品重顯因果。故知	行 品 中 說 行 德 因 其 餘 諸 品 重 顯 因 果 故 知 
T38n1769_001:0240a19	無上因果為宗。或有說者。當常現常二果為	無 上 因 果 為 宗 或 有 說 者 當 常 現 常 二 果 為 
T38n1769_001:0240a20	宗。所謂一切眾生悉有佛性。是顯當常如來	宗 所 謂 一 切 眾 生 悉 有 佛 性 是 顯 當 常 如 來 
T38n1769_001:0240a21	所證大般涅槃。是明現常聖行等因即助顯	所 證 大 般 涅 槃 是 明 現 常 聖 行 等 因 即 助 顯 
T38n1769_001:0240a22	於果非為正宗。若據佛意欲使眾生各證當	於 果 非 為 正 宗 若 據 佛 意 欲 使 眾 生 各 證 當 
T38n1769_001:0240a23	果。但當果未非恐難取信。是故自說所證將	果 但 當 果 未 非 恐 難 取 信 是 故 自 說 所 證 將 
T38n1769_001:0240a24	成物信。以是義故二果為宗。但從現立題故	成 物 信 以是義故 二 果 為 宗 但 從 現 立 題 故 
T38n1769_001:0240a25	名涅槃也。或有說者。圓極一果為是經宗。所	名 涅 槃 也 或 有 說 者 圓 極 一 果 為 是 經 宗 所 
T38n1769_001:0240a26	謂諸佛大般涅槃。所以從宗而立題名。瓔珞	謂 諸 佛 大 般 涅 槃 所 以 從 宗 而 立 題 名 瓔 珞 
T38n1769_001:0240a27	經六種瓔珞為宗。大般若經三種般若為宗。	經 六 種 瓔 珞 為 宗 大 般 若 經 三 種 般 若 為 宗 
T38n1769_001:0240a28	當知是涅槃經一大涅槃為宗。或有說者。諸	當 知 是 涅 槃 經 一 大 涅 槃 為 宗 或 有 說 者 諸 
T38n1769_001:0240a29	佛祕藏無二實性以為經宗。如是實性離相	佛 祕 藏 無 二 實 性 以 為 經 宗 如 是 實 性 離 相 
T38n1769_001:0240b01	離性故於諸門無障無礙。離相故不垢不淨	離 性 故 於 諸 門 無障無礙 離 相 故 不垢不淨 
T38n1769_001:0240b02	非因非果不一不異非有非無。以離性故亦	非 因 非 果 不 一 不 異 非有非無 以 離 性 故 亦 
T38n1769_001:0240b03	染亦淨為因為果亦一亦異為有為無為。染	染 亦 淨 為 因 為 果 亦 一 亦 異 為 有 為 無 為 染 
T38n1769_001:0240b04	淨故或名眾生或名生死。亦名如來亦名法	淨 故 或 名 眾 生 或 名 生 死 亦 名 如 來 亦 名 法 
T38n1769_001:0240b05	身。為因果故或名佛性名如來藏或名菩提	身 為 因 果 故 或 名 佛 性 名 如 來 藏 或 名 菩 提 
T38n1769_001:0240b06	名大涅槃。乃至為有無故名為二諦。非有無	名 大 涅 槃 乃 至 為 有 無 故 名 為 二 諦 非 有 無 
T38n1769_001:0240b07	故名為中道。由非一故能當諸門。由非異故	故 名 為 中 道 由 非 一 故 能 當 諸 門 由 非 異 故 
T38n1769_001:0240b08	諸門一味。如是無二祕藏以為是經宗旨。但	諸 門 一 味 如 是 無 二 祕 藏 以 為 是 經 宗 旨 但 
T38n1769_001:0240b09	其題目之中不能並偏存諸名。且隨時事立	其 題 目 之 中 不 能 並 偏 存 諸 名 且 隨 時 事 立 
T38n1769_001:0240b10	涅槃名。問六師所說何者為實。答或有說者。	涅 槃 名 問 六 師 所 說 何 者 為 實 答 或 有 說 者 
T38n1769_001:0240b11	諸說悉實。佛意無方無不當故。或有說者。後	諸 說 悉 實 佛 意 無 方 無 不 當 故 或 有 說 者 後 
T38n1769_001:0240b12	說為實。能得如來無方意故。並容前說諸師	說 為 實 能 得 如 來 無 方 意 故 並 容 前 說 諸 師 
T38n1769_001:0240b13	義故。當知是二說亦不相違也。總說雖然。於	義 故 當 知 是 二 說 亦 不 相 違 也 總 說 雖 然 於 
T38n1769_001:0240b14	中分別。且依二門以示其相。謂涅槃門及佛	中 分 別 且 依 二 門 以 示 其 相 謂 涅 槃 門 及 佛 
T38n1769_001:0240b15	性門。涅槃之義六門分別。一名義門。二體相	性 門 涅 槃 之 義 六 門 分 別 一 名 義 門 二 體 相 
T38n1769_001:0240b16	門。三通局門。四二滅門。五三事門。六四德	門 三 通 局 門 四 二 滅 門 五 三 事 門 六 四 德 
T38n1769_001:0240b17	門。名義門內翻名釋義。初翻名者諸說不同。	門 名 義 門 內 翻 名 釋 義 初 翻 名 者 諸 說 不 同 
T38n1769_001:0240b18	或說無翻。或說有翻。有翻之說雖有諸宗。今	或 說 無 翻 或 說 有 翻 有 翻 之 說 雖 有 諸 宗 今 
T38n1769_001:0240b19	出一義翻為滅度。其文證者如法花經長行	出 一 義 翻 為 滅 度 其 文 證 者 如 法 花 經 長 行 
T38n1769_001:0240b20	言。如來於今日中夜入當無餘涅槃。下偈頌	言 如 來 於 今 日 中 夜 入 當 無餘涅槃 下 偈 頌 
T38n1769_001:0240b21	曰。佛此夜滅度。如薪盡火滅。又此大經第一	曰 佛 此 夜 滅 度 如 薪 盡 火 滅 又 此 大 經 第 一 
T38n1769_001:0240b22	卷云。隨其類音普告眾生。今日如來將欲涅	卷 云 隨 其 類 音 普 告 眾 生 今 日 如 來 將 欲 涅 
T38n1769_001:0240b23	槃。六卷泥洹此處文言。悟惔寂滅大牟尼尊	槃 六 卷 泥 洹 此 處 文 言 悟 惔 寂 滅 大 牟 尼 尊 
T38n1769_001:0240b24	告諸眾生。今當滅度。以是等文當知滅度正	告 諸 眾 生 今 當 滅 度 以 是 等 文 當 知 滅 度 正 
T38n1769_001:0240b25	翻涅槃也。無翻之說亦有諸宗。且出一義。彼	翻 涅 槃 也 無 翻 之 說 亦 有 諸 宗 且 出 一 義 彼 
T38n1769_001:0240b26	師說言。外國語容含多名訓。此土語偏不能	師 說 言 外 國 語 容 含 多 名 訓 此 土 語 偏 不 能 
T38n1769_001:0240b27	相當。是故不可一名而翻。其文證者如德王	相 當 是 故 不 可 一 名 而 翻 其 文 證 者 如 德 王 
T38n1769_001:0240b28	品第七功德文言。涅者不槃者識。不識之義	品 第 七 功 德 文 言 涅 者 不 槃 者 識 不 識 之 義 
T38n1769_001:0240b29	名為涅槃。槃言覆。不覆之義乃名涅槃。槃言	名 為 涅 槃 槃 言 覆 不 覆 之 義 乃 名 涅 槃 槃 言 
T38n1769_001:0240c01	去來。不去不來乃名涅槃。槃者言取。不取之	去 來 不 去 不 來 乃 名 涅 槃 槃 者 言 取 不 取 之 
T38n1769_001:0240c02	義乃名涅槃。槃者不定。無不定義乃名涅槃。	義 乃 名 涅 槃 槃 者 不 定 無 不 定 義 乃 名 涅 槃 
T38n1769_001:0240c03	槃言新故。無新故義乃名涅槃。槃言障礙。無	槃 言 新 故 無 新 故 義 乃 名 涅 槃 槃 言 障 礙 無 
T38n1769_001:0240c04	障礙義乃名涅槃。又下文言。善男子槃者言	障 礙 義 乃 名 涅 槃 又 下 文 言 善 男 子 槃 者 言 
T38n1769_001:0240c05	有。無有之義乃名涅槃。槃者名為和合。無和	有 無 有 之 義 乃 名 涅 槃 槃 者 名 為 和 合 無 和 
T38n1769_001:0240c06	合義乃名涅槃。槃者言苦。無苦之義乃名涅	合 義 乃 名 涅 槃 槃 者 言 苦 無 苦 之 義 乃 名 涅 
T38n1769_001:0240c07	槃。此處略出是十種訓。上下諸文乃眾多。故	槃 此 處 略 出 是 十 種 訓 上 下 諸 文 乃 眾 多 故 
T38n1769_001:0240c08	知不可一語而翻。問若立後師義是難云何	知 不 可 一 語 而 翻 問 若 立 後 師 義 是 難 云 何 
T38n1769_001:0240c09	通。謂有難曰。經說有翻耶得無翻。如言隨其	通 謂 有 難 曰 經 說 有 翻 耶 得 無 翻 如 言 隨 其 
T38n1769_001:0240c10	類音普告眾生今日如來將欲涅槃。豈隨蜂	類 音 普 告 眾 生 今 日 如 來 將 欲 涅 槃 豈 隨 蜂 
T38n1769_001:0240c11	蟻六道之音得翻涅槃之名。而獨不得此國	蟻 六 道 之 音 得 翻 涅 槃 之 名 而 獨 不 得 此 國 
T38n1769_001:0240c12	語翻。又當此處經文既翻云之滅度。豈可得	語 翻 又 當 此 處 經 文 既 翻 云 之 滅 度 豈 可 得 
T38n1769_001:0240c13	云不能翻耶。彼師通曰。涅槃之名多訓之內	云 不 能 翻 耶 彼 師 通 曰 涅 槃 之 名 多 訓 之 內 
T38n1769_001:0240c14	且取一義翻為滅度。即依此訓普告眾生。非	且 取 一 義 翻 為 滅 度 即 依 此 訓 普 告 眾 生 非 
T38n1769_001:0240c15	謂其名只翻滅度。以是義故彼難善通。問若	謂 其 名 只 翻 滅 度 以是義故 彼 難 善 通 問 若 
T38n1769_001:0240c16	立初師義是文云何通。如德王品菩薩難言。	立 初 師 義 是 文 云 何 通 如 德 王 品 菩 薩 難 言 
T38n1769_001:0240c17	若使滅度非涅槃者。何故如來自期三月當	若 使 滅 度 非 涅 槃 者 何 故 如 來 自 期 三 月 當 
T38n1769_001:0240c18	般涅槃。師子孔品云。諸結火滅故名滅度。離	般 涅 槃 師 子 孔 品 云 諸 結 火 滅 故 名 滅 度 離 
T38n1769_001:0240c19	覺觀故故名涅槃。以是文證明知滅度非正	覺 觀 故 故 名 涅 槃 以 是 文 證 明 知 滅 度 非 正 
T38n1769_001:0240c20	翻於涅槃名也。彼師通曰。此等經文是翻譯	翻 於 涅 槃 名 也 彼 師 通 曰 此 等 經 文 是 翻 譯 
T38n1769_001:0240c21	家故漢互舉綺飾其文。若使令存外國語者。	家 故 漢 互 舉 綺 飾 其 文 若 使 令 存 外 國 語 者 
T38n1769_001:0240c22	既言若使涅槃非涅槃者。又諸結火滅故名	既 言 若 使 涅 槃 非 涅 槃 者 又 諸 結 火 滅 故 名 
T38n1769_001:0240c23	涅槃離覺觀故故名涅槃。如其令存此土語	涅 槃 離 覺 觀 故 故 名 涅 槃 如 其 令 存 此 土 語 
T38n1769_001:0240c24	者。既云若使滅度非滅度者。下文例爾。由是	者 既 云 若 使 滅 度 非 滅 度 者 下 文 例 爾 由 是 
T38n1769_001:0240c25	義故不相違也。問二師所說何是何非。答或	義 故 不 相 違 也 問 二 師 所 說 何 是 何 非 答 或 
T38n1769_001:0240c26	有說者。二說俱是。悉依經文而成立故。是義	有 說 者 二 說 俱 是 悉 依 經 文 而 成 立 故 是 義 
T38n1769_001:0240c27	云何。涅槃之名即含二義。所謂密語及顯了	云 何 涅 槃 之 名 即 含 二 義 所 謂 密 語 及 顯 了 
T38n1769_001:0240c28	語。依顯了語正翻滅度。如初師說。若依密語	語 依 顯 了 語 正 翻 滅 度 如 初 師 說 若 依 密 語 
T38n1769_001:0240c29	即含多訓。如後師訓。由是道理二說悉得。若	即 含 多 訓 如 後 師 訓 由 是 道 理 二 說 悉 得 若 
T38n1769_001:0241a01	依是意通彼難者。就顯了義有正翻。故隨其	依 是 意 通 彼 難 者 就 顯 了 義 有 正 翻 故 隨 其 
T38n1769_001:0241a02	類音普告眾生。就其密語含多義訓。是故後	類 音 普 告 眾 生 就 其 密 語 含 多 義 訓 是 故 後 
T38n1769_001:0241a03	文亦得善通。說言。若使滅度者舉顯了語死	文 亦 得 善 通 說 言 若 使 滅 度 者 舉 顯 了 語 死 
T38n1769_001:0241a04	滅度也。非涅槃者取密語內不識義也。難意	滅 度 也 非 涅 槃 者 取 密 語 內 不 識 義 也 難 意 
T38n1769_001:0241a05	正言。若使死滅之滅度義非不滅之涅槃義	正 言 若 使 死 滅 之 滅 度 義 非 不 滅 之 涅 槃 義 
T38n1769_001:0241a06	者。何故以是不識之名自期三月當般涅槃。	者 何 故 以 是 不 識 之 名 自 期 三 月 當 般 涅 槃 
T38n1769_001:0241a07	以先樹下成道之時已得不識之涅槃故。要有	以 先 樹 下 成 道 之 時 已 得 不 識 之 涅 槃 故 要 有 
T38n1769_001:0241a08	煩惱乃識生死。故師子吼言。諸結火滅名滅	煩 惱 乃 識 生 死 故 師 子 吼 言 諸 結 火 滅 名 滅 
T38n1769_001:0241a09	度者亦是顯了語之滅度。離覺覺故名涅槃者	度 者 亦 是 顯 了 語 之 滅 度 離 覺 覺 故 名 涅 槃 者 
T38n1769_001:0241a10	取密語內無苦之義。入無餘時苦報滅已方	取 密 語 內 無 苦 之 義 入 無 餘 時 苦 報 滅 已 方 
T38n1769_001:0241a11	離覺覺分別心故。由是道理諸善說通也。次	離 覺 覺 分 別 心 故 由 是 道 理 諸 善 說 通 也 次 
T38n1769_001:0241a12	釋義者。且依顯了之語以釋有翻之義。此土	釋 義 者 且 依 顯 了 之 語 以 釋 有 翻 之 義 此 土 
T38n1769_001:0241a13	釋之言大滅度。所言大者。古人釋云。莫先為	釋 之 言 大 滅 度 所 言 大 者 古 人 釋 云 莫 先 為 
T38n1769_001:0241a14	義。謂釋勝之時莫是為先。非約時前後言無	義 謂 釋 勝 之 時 莫 是 為 先 非 約 時 前 後 言 無 
T38n1769_001:0241a15	先也。依下經文大有六義。一者廣之莫先故	先 也 依 下 經 文 大 有 六 義 一 者 廣 之 莫 先 故 
T38n1769_001:0241a16	名為大。如經言。大者其性廣博猶如虛空無	名 為 大 如 經 言 大 者 其 性 廣 博 猶如虛空 無 
T38n1769_001:0241a17	所不至。涅槃如是故名為大。二者長之莫先	所 不 至 涅 槃 如 是 故 名 為 大 二 者 長 之 莫 先 
T38n1769_001:0241a18	故名為大。如經言。所言大者名之為長。譬如	故 名 為 大 如 經 言 所 言 大 者 名 之 為 長 譬 如 
T38n1769_001:0241a19	有人壽命無量名大歲夫。三者深之莫先故	有 人 壽 命 無 量 名 大 歲 夫 三 者 深 之 莫 先 故 
T38n1769_001:0241a20	名為大。如經言。大者名為不可思議。一切世	名 為 大 如 經 言 大 者 名 為 不可思議 一 切 世 
T38n1769_001:0241a21	間聲聞緣覺不能測量涅槃之義故名為大。	間 聲 聞 緣 覺 不 能 測 量 涅 槃 之 義 故 名 為 大 
T38n1769_001:0241a22	四者高之莫先故為大。如經言。譬如大山一	四 者 高 之 莫 先 故 為 大 如 經 言 譬 如 大 山 一 
T38n1769_001:0241a23	切世人不能得上故名為大。涅槃如是凡夫	切 世 人 不 能 得 上 故 名 為 大 涅 槃 如 是 凡 夫 
T38n1769_001:0241a24	二乘及諸菩薩不能窮到故名為大。五者多	二 乘 及 諸 菩 薩 不 能 窮 到 故 名 為 大 五 者 多 
