T46n1917_001:0549a03	六妙法門	六 妙 法 門 
T46n1917_001:0549b29	沙也。五者金剛輪三昧。即是第九無礙道。能	沙 也 五 者 金 剛 輪 三 昧 即 是 第 九 無 礙 道 能 
T46n1917_001:0549c01	斷三界結使。永盡無餘。證盡智無生智入涅	斷 三 界 結 使 永 盡 無 餘 證 盡 智 無 生 智 入 涅 
T46n1917_001:0549c02	槃。止為妙門。意在此也。四者觀為妙門者。行	槃 止 為 妙 門 意 在 此 也 四 者 觀 為 妙 門 者 行 
T46n1917_001:0549c03	者因修觀故。即能出生九想。八念。十想。八背	者 因 修 觀 故 即 能 出 生 九 想 八 念 十 想 八 背 
T46n1917_001:0549c04	捨。八勝處。十一切處。九次第定。師子奮迅三	捨 八 勝 處 十一切處 九次第定 師 子 奮 迅 三 
T46n1917_001:0549c05	昧。超越三昧。練禪。十四變化心。三明。六通。	昧 超越三昧 練 禪 十 四 變 化 心 三 明 六 通 
T46n1917_001:0549c06	及八解脫。得滅受想。即入涅槃。觀為妙門。意	及 八 解 脫 得 滅 受 想 即 入 涅 槃 觀 為 妙 門 意 
T46n1917_001:0549c07	在此也。五者還為妙門者。行者若用惠行。善	在 此 也 五 者 還 為 妙 門 者 行 者 若 用 惠 行 善 
T46n1917_001:0549c08	巧破折。反本還源。是時即便出生空無想無	巧 破 折 反 本 還 源 是 時 即 便 出 生 空 無 想 無 
T46n1917_001:0549c09	作。三十七品四諦。十二因緣。中道正觀。因	作 三十七品 四 諦 十二因緣 中 道 正 觀 因 
T46n1917_001:0549c10	此得入涅槃。還為妙門。意在此也。六者淨為	此 得 入 涅 槃 還 為 妙 門 意 在 此 也 六 者 淨 為 
T46n1917_001:0549c11	妙門者。行者若能體識一切諸法本性清淨。	妙 門 者 行 者 若 能 體 識 一切諸法 本 性 清 淨 
T46n1917_001:0549c12	即便獲得自性禪也。得此禪故。二乘之人。定	即 便 獲 得 自 性 禪 也 得 此 禪 故 二 乘 之 人 定 
T46n1917_001:0549c13	證涅槃。若是菩薩。入鐵輪位。具十信心。修行	證 涅 槃 若 是 菩 薩 入 鐵 輪 位 具 十 信 心 修 行 
T46n1917_001:0549c14	不止。即便出生九種大禪。所謂自性禪。一切	不 止 即 便 出 生 九 種 大 禪 所 謂 自 性 禪 一 切 
T46n1917_001:0549c15	禪。難禪。一切門禪。善人禪。一切行禪。除惱	禪 難 禪 一 切 門 禪 善 人 禪 一 切 行 禪 除 惱 
T46n1917_001:0549c16	禪。此世他世樂禪。清淨禪。菩薩依是禪故。	禪 此世他世 樂 禪 清 淨 禪 菩 薩 依 是 禪 故 
T46n1917_001:0549c17	得大菩提果。已得今得當得。淨為妙門。意在	得大菩提 果 已 得 今 得 當 得 淨 為 妙 門 意 在 
T46n1917_001:0549c18	此也。	此 也 
T46n1917_001:0549c19	次釋第二次第相生六妙門者。次第相生。入	次 釋 第 二 次 第 相 生 六 妙 門 者 次 第 相 生 入 
T46n1917_001:0549c20	道之階梯也。若於欲界中。巧行六法。第六淨	道 之 階 梯 也 若 於 欲 界 中 巧 行 六 法 第 六 淨 
T46n1917_001:0549c21	心成就。即發三乘無漏。況復具足諸禪三昧。	心 成 就 即 發 三 乘 無 漏 況 復 具 足 諸 禪 三 昧 
T46n1917_001:0549c22	此即與前有異。所以者何。如數有二種。一者	此 即 與 前 有 異 所以者何 如 數 有 二 種 一 者 
T46n1917_001:0549c23	修數。二者證數。修數者。行者調和氣息。不澁	修 數 二 者 證 數 修 數 者 行 者 調 和 氣 息 不 澁 
T46n1917_001:0549c24	不滑。安詳徐數。從一至十。攝心在數。不令馳	不 滑 安 詳 徐 數 從 一 至 十 攝 心 在 數 不 令 馳 
T46n1917_001:0549c25	散。是名修數。證數者。覺心任運。從一至十。	散 是 名 修 數 證 數 者 覺 心 任 運 從 一 至 十 
T46n1917_001:0549c26	不加功力心住息緣。覺息虛微。心相漸細。患	不 加 功 力 心 住 息 緣 覺 息 虛 微 心 相 漸 細 患 
T46n1917_001:0549c27	數為麁。意不欲數。爾時行者。應當放數修	數 為 麁 意 不 欲 數 爾 時 行 者 應 當 放 數 修 
T46n1917_001:0549c28	隨。隨亦有二。一者修隨。二者證隨。修隨者。	隨 隨 亦 有 二 一 者 修 隨 二 者 證 隨 修 隨 者 
T46n1917_001:0549c29	捨前數法。一心依隨息之出入。攝心緣息。知	捨 前 數 法 一 心 依 隨 息 之 出 入 攝 心 緣 息 知 
T46n1917_001:0550a01	息入出。心住息緣。無分散意。是名修隨。證隨	息 入 出 心 住 息 緣 無 分 散 意 是 名 修 隨 證 隨 
T46n1917_001:0550a02	者。心既微細。安靜不亂。覺息長短遍身入出。	者 心 既 微 細 安 靜 不 亂 覺 息 長 短 遍 身 入 出 
T46n1917_001:0550a03	心息任運相依。意慮恬然凝靜。覺隨為麁。心	心 息 任 運 相 依 意 慮 恬 然 凝 靜 覺 隨 為 麁 心 
T46n1917_001:0550a04	厭欲捨。如人疲極欲眠不樂眾務。爾時行者。	厭 欲 捨 如 人 疲 極 欲 眠 不 樂 眾 務 爾 時 行 者 
T46n1917_001:0550a05	應當捨隨修止。止亦有二。一者修止。二者證	應 當 捨 隨 修 止 止 亦 有 二 一 者 修 止 二 者 證 
T46n1917_001:0550a06	止。修止者。息諸緣慮。不念數隨。凝寂其心。	止 修 止 者 息 諸 緣 慮 不 念 數 隨 凝 寂 其 心 
T46n1917_001:0550a07	是名修止。證止者。覺身心泯然入定。不見內	是 名 修 止 證 止 者 覺 身 心 泯 然 入 定 不 見 內 
T46n1917_001:0550a08	外相貌。定法持心。任運不動行者是時。即	外 相 貌 定 法 持 心 任 運 不 動 行 者 是 時 即 
T46n1917_001:0550a09	作是念。今此三昧。雖復無為寂靜安隱快樂。	作 是 念 今 此 三 昧 雖 復 無 為 寂 靜 安 隱 快 樂 
T46n1917_001:0550a10	而無惠方便。不能破壞生死。復作是念。今此	而 無 惠 方 便 不 能 破 壞 生 死 復 作 是 念 今 此 
T46n1917_001:0550a11	定者。皆屬因緣陰界入法和合而有。虛誑不	定 者 皆 屬 因 緣 陰 界 入 法 和 合 而 有 虛 誑 不 
T46n1917_001:0550a12	實。我今不見不覺。應須照了。作是念已。即不	實 我 今 不 見 不 覺 應 須 照 了 作 是 念 已 即 不 
T46n1917_001:0550a13	著止。起觀分別。觀亦有二。一者修觀。二者證	著 止 起 觀 分 別 觀 亦 有 二 一 者 修 觀 二 者 證 
T46n1917_001:0550a14	觀。修觀者。於定心中。以惠分別。觀於微細出	觀 修 觀 者 於 定 心 中 以 惠 分 別 觀 於 微 細 出 
T46n1917_001:0550a15	入息相。如空中風。皮肉筋骨。三十六物。如	入 息 相 如 空 中 風 皮 肉 筋 骨 三 十 六 物 如 
T46n1917_001:0550a16	芭蕉不實。心識無常。剎那不住。無有我人。	芭 蕉 不 實 心 識 無 常 剎 那 不 住 無 有 我 人 
T46n1917_001:0550a17	身受心法。皆無自性。不得人法。定何所依。是	身 受 心 法 皆 無 自 性 不 得 人 法 定 何 所 依 是 
T46n1917_001:0550a18	名修觀證觀者。如是觀時。覺息出入遍諸毛	名 修 觀 證 觀 者 如 是 觀 時 覺 息 出 入 遍 諸 毛 
T46n1917_001:0550a19	孔。心眼開明。徹見三十六物。及諸虫戶。內外	孔 心 眼 開 明 徹 見 三 十 六 物 及 諸 虫 戶 內 外 
T46n1917_001:0550a20	不淨。剎那變易。心生悲喜。得四念處。破四顛	不 淨 剎 那 變 易 心 生 悲 喜 得 四 念 處 破 四 顛 
T46n1917_001:0550a21	倒。是名證觀。觀相既發。心緣觀境。分別破	倒 是 名 證 觀 觀 相 既 發 心 緣 觀 境 分 別 破 
T46n1917_001:0550a22	折。覺念流動。非真實道。爾時應當捨觀修還。	折 覺 念 流 動 非 真 實 道 爾 時 應 當 捨 觀 修 還 
T46n1917_001:0550a23	還亦有二。一者修還二者證還。修還者。既知	還 亦 有 二 一 者 修 還 二 者 證 還 修 還 者 既 知 
T46n1917_001:0550a24	觀從心生。若從折境。此即不會本源。應當反	觀 從 心 生 若 從 折 境 此 即 不 會 本 源 應 當 反 
T46n1917_001:0550a25	觀觀心。此觀心者。從何而生。為從觀心生。為	觀 觀 心 此 觀 心 者 從 何 而 生 為 從 觀 心 生 為 
T46n1917_001:0550a26	從非觀心生。若從觀心生。即已有觀。今實不	從 非 觀 心 生 若 從 觀 心 生 即 已 有 觀 今 實 不 
T46n1917_001:0550a27	爾。所以者何。數隨止等三法中。未有即觀故。	爾 所以者何 數 隨 止 等 三 法 中 未 有 即 觀 故 
T46n1917_001:0550a28	若從不觀心生。不觀心為滅生。為不滅生。若	若 從 不 觀 心 生 不 觀 心 為 滅 生 為 不 滅 生 若 
T46n1917_001:0550a29	不滅生。即二心並。若滅法生滅法已謝。不能	不 滅 生 即 二 心 並 若 滅 法 生 滅 法 已 謝 不 能 
T46n1917_001:0550b01	生觀。若言亦滅亦不滅生。乃至非滅非不滅	生 觀 若 言 亦 滅 亦 不 滅 生 乃 至 非 滅 非 不 滅 
T46n1917_001:0550b02	生。皆不可得。當知觀心本自不生。不生故不	生 皆 不 可 得 當 知 觀 心 本 自 不 生 不 生 故 不 
T46n1917_001:0550b03	有。不有故即空。空故無觀心。若無觀心。豈有	有 不 有 故 即 空 空 故 無 觀 心 若 無 觀 心 豈 有 
T46n1917_001:0550b04	觀境。境智雙亡。還源之要也。是名修還相。證	觀 境 境 智 雙 亡 還 源 之 要 也 是 名 修 還 相 證 
T46n1917_001:0550b05	還相者。心惠開發。不加功力。任運自能破	還 相 者 心 惠 開 發 不 加 功 力 任 運 自 能 破 
T46n1917_001:0550b06	折。反本還源。是名證還。行者當知。若離境	折 反 本 還 源 是 名 證 還 行 者 當 知 若 離 境 
T46n1917_001:0550b07	智。欲歸無境智。不離境智縛。以隨二邊故。爾	智 欲 歸 無 境 智 不 離 境 智 縛 以 隨 二 邊 故 爾 
T46n1917_001:0550b08	時當捨還門安心淨道。淨亦有二。一者修淨。	時 當 捨 還 門 安 心 淨 道 淨 亦 有 二 一 者 修 淨 
T46n1917_001:0550b09	二者證淨修淨者。知色淨故。不起妄想分別。	二 者 證 淨 修 淨 者 知 色 淨 故 不 起 妄想分別 
T46n1917_001:0550b10	受想行識。亦復如是。息妄想垢。是名修淨。息	受 想 行 識 亦復如是 息 妄 想 垢 是 名 修 淨 息 
T46n1917_001:0550b11	分別垢是名修淨。息取我垢。是名修淨。舉要	分 別 垢 是 名 修 淨 息 取 我 垢 是 名 修 淨 舉 要 
T46n1917_001:0550b12	言之。若能心如本淨。是名修淨。亦不得能修	言 之 若 能 心 如 本 淨 是 名 修 淨 亦 不 得 能 修 
T46n1917_001:0550b13	所修及淨不淨。是名修淨。證淨者。如是修	所 修 及 淨 不 淨 是 名 修 淨 證 淨 者 如 是 修 
T46n1917_001:0550b14	時。豁然心惠相應。無礙方便。任運開發。三	時 豁 然 心 惠 相 應 無 礙 方 便 任 運 開 發 三 
T46n1917_001:0550b15	昧正受。心無依恃。證淨有二。一者相似證。五	昧 正 受 心 無 依 恃 證 淨 有 二 一 者 相 似 證 五 
T46n1917_001:0550b16	方便相似無漏道惠發。二者真實證。苦法忍	方 便 相 似 無 漏 道 惠 發 二 者 真 實 證 苦 法 忍 
T46n1917_001:0550b17	乃至第九無礙道等真無漏惠發也。三界垢	乃 至 第 九 無 礙 道 等 真 無 漏 惠 發 也 三 界 垢 
T46n1917_001:0550b18	盡。故名證淨。復次觀眾生空故名為觀。觀實	盡 故 名 證 淨 復 次 觀 眾 生 空 故 名 為 觀 觀 實 
T46n1917_001:0550b19	法空故名為還。觀平等空故名為淨。復次空	法 空 故 名 為 還 觀 平 等 空 故 名 為 淨 復 次 空 
T46n1917_001:0550b20	三昧相應故名為觀。無相三昧相應故名為	三 昧 相 應 故 名 為 觀 無相三昧 相 應 故 名 為 
T46n1917_001:0550b21	還。無作三昧相應故名為淨。復次一切外觀	還 無作三昧 相 應 故 名 為 淨 復 次 一 切 外 觀 
T46n1917_001:0550b22	名為觀。一切內觀名為還。一切非內非外觀	名 為 觀 一 切 內 觀 名 為 還 一 切 非 內 非 外 觀 
T46n1917_001:0550b23	名為淨。故先尼梵志言。非內觀故。得是智惠。	名 為 淨 故 先 尼 梵 志 言 非 內 觀 故 得 是 智 惠 
T46n1917_001:0550b24	非外觀故。得是智惠。非內外觀故。得是智惠。	非 外 觀 故 得 是 智 惠 非 內 外 觀 故 得 是 智 惠 
T46n1917_001:0550b25	亦不無觀故。得是智惠也。	亦 不 無 觀 故 得 是 智 惠 也 
T46n1917_001:0550b26	次釋第三隨便宜六妙門。夫行者欲得深禪	次 釋 第 三 隨 便 宜 六 妙 門 夫 行 者 欲 得 深 禪 
T46n1917_001:0550b27	定智慧。乃至實相涅槃。初學安心。必須善	定 智 慧 乃 至 實 相 涅 槃 初 學 安 心 必 須 善 
T46n1917_001:0550b28	巧。云何善巧。當於六妙門法。悉知悉覺。調伏	巧 云 何 善 巧 當 於 六 妙 門 法 悉 知 悉 覺 調 伏 
T46n1917_001:0550b29	其心。隨心所便。可以常用。所以者何。若心不	其 心 隨 心 所 便 可 以 常 用 所以者何 若 心 不 
T46n1917_001:0550c01	便修治即無益。是故初坐時。當識調心。學數	便 修 治 即 無 益 是 故 初 坐 時 當 識 調 心 學 數 
T46n1917_001:0550c02	次當學隨。復當學心觀還等。各各經數日。學	次 當 學 隨 復 當 學 心 觀 還 等 各 各 經 數 日 學 
T46n1917_001:0550c03	已復更從數隨。乃至還淨。安心修習。復各經	已 復 更 從 數 隨 乃 至 還 淨 安 心 修 習 復 各 經 
T46n1917_001:0550c04	數日。如是數反。行者即應自知心所便宜。若	數 日 如 是 數 反 行 者 即 應 自 知 心 所 便 宜 若 
T46n1917_001:0550c05	心便數。當以數法安心。乃至淨亦如是。隨便	心 便 數 當 以 數 法 安 心 乃 至 淨 亦 如 是 隨 便 
T46n1917_001:0550c06	而用不簡次第如是安心時。若覺身安息調。	而 用 不 簡 次 第 如 是 安 心 時 若 覺 身 安 息 調 
T46n1917_001:0550c07	心靜開明。始終安固。當專用此法。必有深	心 靜 開 明 始 終 安 固 當 專 用 此 法 必 有 深 
T46n1917_001:0550c08	利。若有妨生心散闇塞。當更隨便轉用餘門。	利 若 有 妨 生 心 散 闇 塞 當 更 隨 便 轉 用 餘 門 
T46n1917_001:0550c09	安即為善。可以長軌。是則略明初學善巧安	安 即 為 善 可 以 長 軌 是 則 略 明 初 學 善 巧 安 
T46n1917_001:0550c10	心六妙門。是知便宜用心大意。復次行者。心	心 六 妙 門 是 知 便 宜 用 心 大 意 復 次 行 者 心 
T46n1917_001:0550c11	若安穩必有所證。云何為證。所謂得持身及	若 安 穩 必 有 所 證 云 何 為 證 所 謂 得 持 身 及 
T46n1917_001:0550c12	麁住細住。欲界未到地初禪等種種諸禪定。	麁 住 細 住 欲 界 未 到 地 初 禪 等 種 種 諸 禪 定 
T46n1917_001:0550c13	得諸定已。若心住不進。當隨定深淺。修六妙	得 諸 定 已 若 心 住 不 進 當 隨 定 深 淺 修 六 妙 
T46n1917_001:0550c14	門開發。云何名淺定不進修六門令進。如行	門 開 發 云 何 名 淺 定 不 進 修 六 門 令 進 如 行 
T46n1917_001:0550c15	者初得持身法。及麁細住法。經於日月而不	者 初 得 持 身 法 及 麁 細 住 法 經 於 日 月 而 不 
T46n1917_001:0550c16	增進。爾時應當細心修數。數若不進。復當	增 進 爾 時 應 當 細 心 修 數 數 若 不 進 復 當 
T46n1917_001:0550c17	修隨。隨若不進。當細凝心修止。止若不進。當	修 隨 隨 若 不 進 當 細 凝 心 修 止 止 若 不 進 當 
T46n1917_001:0550c18	定中觀陰入界法。觀若不進。當還更反檢心	定 中 觀 陰 入 界 法 觀 若 不 進 當 還 更 反 檢 心 
T46n1917_001:0550c19	源。還若不進。當寂然體淨。用此六法。若偏於	源 還 若 不 進 當 寂 然 體 淨 用 此 六 法 若 偏 於 
T46n1917_001:0550c20	一法。增進之時。當即善修之。既漸進入深禪	一 法 增 進 之 時 當 即 善 修 之 既 漸 進 入 深 禪 
T46n1917_001:0550c21	定。便過數境。數相既謝。進發隨禪。於此定	定 便 過 數 境 數 相 既 謝 進 發 隨 禪 於 此 定 
T46n1917_001:0550c22	中。若不境進。當善修隨止觀還淨等五法。定	中 若 不 境 進 當 善 修 隨 止 觀 還 淨 等 五 法 定 
T46n1917_001:0550c23	進漸深。隨境已度。若發止禪。禪若不進。當善	進 漸 深 隨 境 已 度 若 發 止 禪 禪 若 不 進 當 善 
T46n1917_001:0550c24	修止及觀還淨等四法。止定進漸深。觀心開	修 止 及 觀 還 淨 等 四 法 止 定 進 漸 深 觀 心 開 
T46n1917_001:0550c25	發。雖有止法。知從緣生無有自性。止相已	發 雖 有 止 法 知 從 緣 生 無 有 自 性 止 相 已 
T46n1917_001:0550c26	謝。若觀禪不進。當更善巧修觀及還淨等三	謝 若 觀 禪 不 進 當 更 善 巧 修 觀 及 還 淨 等 三 
T46n1917_001:0550c27	法。觀禪既進。進已若謝。轉入深定。惠解開	法 觀 禪 既 進 進 已 若 謝 轉 入 深 定 惠 解 開 
T46n1917_001:0550c28	發。唯覺自心所有法相。知觀虛誑不實亦在	發 唯 覺 自 心所有法 相 知 觀 虛 誑 不 實 亦 在 
T46n1917_001:0550c29	妄情。如夢中所見。知已不受。還反照心源。還	妄 情 如 夢 中 所 見 知 已 不 受 還 反 照 心 源 還 
T46n1917_001:0551a01	禪經久。又不進。當復更善反觀心源。及體	禪 經 久 又 不 進 當 復 更 善 反 觀 心 源 及 體 
T46n1917_001:0551a02	淨當寂。還禪既進。進已若謝。便發淨禪。此禪	淨 當 寂 還 禪 既 進 進 已 若 謝 便 發 淨 禪 此 禪 
T46n1917_001:0551a03	念相觀已除。言語法皆滅。無量眾罪除。清淨	念 相 觀 已 除 言 語 法 皆 滅 無 量 眾 罪 除 清 淨 
T46n1917_001:0551a04	心常一。是名淨禪。淨若不進。當善却垢心。體	心 常 一 是 名 淨 禪 淨 若 不 進 當 善 却 垢 心 體 
T46n1917_001:0551a05	真寂虛。心如虛空。無所依倚。爾時淨禪漸深	真 寂 虛 心 如 虛 空 無 所 依 倚 爾 時 淨 禪 漸 深 
T46n1917_001:0551a06	寂。豁然明朗發真無漏。證三乘道。此則略	寂 豁 然 明 朗 發 真 無 漏 證 三 乘 道 此 則 略 
T46n1917_001:0551a07	說六妙門。隨便宜而用增長諸禪功德智惠。	說 六 妙 門 隨 便 宜 而 用 增 長 諸 禪 功 德 智 惠 
T46n1917_001:0551a08	乃至入涅槃也。復次行者。於其中間。若有內	乃 至 入 涅 槃 也 復 次 行 者 於其中間 若 有 內 
T46n1917_001:0551a09	外障起。欲除却者。亦當於六門中。隨取一	外 障 起 欲 除 却 者 亦 當 於 六 門 中 隨 取 一 
T46n1917_001:0551a10	法。一一試用却之。若得差者即為藥也。治禪	法 一 一 試 用 却 之 若 得 差 者 即 為 藥 也 治 禪 
T46n1917_001:0551a11	障及禪中魔事病患。功用六門悉得差也。上	障 及 禪 中 魔 事 病 患 功 用 六 門 悉 得 差 也 上 
T46n1917_001:0551a12	來所說。其意難見。行者若用此法門。當善思	來 所 說 其 意 難 見 行 者 若 用 此 法 門 當 善 思 
T46n1917_001:0551a13	推取意。勿妄行也。	推 取 意 勿 妄 行 也 
T46n1917_001:0551a14	次釋第四對治六妙門。三乘行者。修道會真。	次 釋 第 四 對 治 六 妙 門 三 乘 行 者 修 道 會 真 
T46n1917_001:0551a15	悉是除障顯理。無所造作。所以者何。二乘之	悉 是 除 障 顯 理 無 所 造 作 所以者何 二 乘 之 
T46n1917_001:0551a16	人。四住惑除。名得聖果。更無別法。菩薩大	人 四 住 惑 除 名 得 聖 果 更 無 別 法 菩 薩 大 
