X62n1192_001:0481c06	 清珠集序	 清 珠 集 序 
X62n1192_001:0482b16	淨土要語。以清珠名集。盖取諸清珠。下於濁水。水不	淨 土 要 語 以 清 珠 名 集 盖 取 諸 清 珠 下 於 濁 水 水 不 
X62n1192_001:0482b17	得不清淨。念投於散心。心不得不一之意也。淨願社	得 不 清 淨 念 投 於 散 心 心 不 得 不 一 之 意 也 淨 願 社 
X62n1192_001:0482b18	友欲付剞劂。庸廣同志。仍為社中規約。證珠以弁卷。	友 欲 付 剞 劂 庸 廣 同 志 仍 為 社 中 規 約 證 珠 以 弁 卷 
X62n1192_001:0482b19	噫吾人既到寶所。必須探驪龍握靈蛇。豈可徒手空	噫 吾 人 既 到 寶 所 必 須 探 驪 龍 握 靈 蛇 豈 可 徒 手 空 
X62n1192_001:0482b20	回乎。若能認得此衣底本有之珠。則定不暇為他人	回 乎 若 能 認 得 此 衣 底 本 有 之 珠 則 定 不 暇 為 他 人 
X62n1192_001:0482b21	數寶。更何有於此集。然畢竟那珠在甚麼處。咄。萬古	數 寶 更 何 有 於 此 集 然 畢 竟 那 珠 在 甚 麼 處 咄 萬 古 
X62n1192_001:0482b22	碧潭空界月。再三撈漉始應知。	碧 潭 空 界 月 再 三 撈 漉 始 應 知 
X62n1192_001:0482b23	同治九年庚午余月浴佛日雪嶽沙門幻空治兆	同 治 九 年 庚 午 余 月 浴 佛 日 雪 嶽 沙 門 幻 空 治 兆 
X62n1192_001:0482b24	書于普光寺之樂西觀	書 于 普 光 寺 之 樂 西 觀 
X62n1192_001:0482c04	凡例	凡 例 
X62n1192_001:0482c05	淨土之書。汗牛充棟。而是集節錄諸家。盡祛繁冗。	淨 土 之 書 汗 牛 充 棟 而 是 集 節 錄 諸 家 盡 祛 繁 冗 
X62n1192_001:0482c06	披沙揀金。將以一句半偈。警惺行人。且不敢以己	披 沙 揀 金 將 以 一 句 半 偈 警 惺 行 人 且 不 敢 以 己 
X62n1192_001:0482c07	意妄自參入也。	意 妄 自 參 入 也 
X62n1192_001:0482c08	各則不錄何人說某書出者。譬如集腋成裘。貴無	各 則 不 錄 何 人 說 某 書 出 者 譬 如 集 腋 成 裘 貴 無 
X62n1192_001:0482c09	縫痕。儼成一家語。欲使覧者啟信篤修而已。且備	縫 痕 儼 成 一 家 語 欲 使 覧 者 啟 信 篤 修 而 已 且 備 
X62n1192_001:0482c10	載引用書目。博雅之人。自應默會出處矣。	載 引 用 書 目 博 雅 之 人 自 應 默 會 出 處 矣 
X62n1192_001:0482c11	往生方便有二門。一曰觀想。二曰持名。是集專主	往 生 方 便 有 二 門 一 曰 觀 想 二 曰 持 名 是 集 專 主 
X62n1192_001:0482c12	持名。而略觀想者。眾生心麤。觀難成就。且此土根	持 名 而 略 觀 想 者 眾 生 心 麤 觀 難 成 就 且 此 土 根 
X62n1192_001:0482c13	機持名甚易。有願必生故耳。	機 持 名 甚 易 有 願 必 生 故 耳 
X62n1192_001:0482c14	抄選各家。如集眾醫。經驗良方。頗有重複。而無倫	抄 選 各 家 如 集 眾 醫 經 驗 良 方 頗 有 重 複 而 無 倫 
X62n1192_001:0482c15	次。然務在自覺覺他。則不妨諄諭之至於再三也。	次 然 務 在 自覺覺他 則 不 妨 諄 諭 之 至 於 再 三 也 
X62n1192_001:0482c16	專說淨土而簡禪宗。盖取有禪無淨。十人九錯。有	專 說 淨 土 而 簡 禪 宗 盖 取 有 禪 無 淨 十 人 九 錯 有 
X62n1192_001:0482c17	淨無禪。萬修萬去之意。然方便多門。歸元無二。則	淨 無 禪 萬 修 萬 去 之 意 然 方 便 多 門 歸 元 無 二 則 
X62n1192_001:0482c18	禪淨何嘗分岐。唯參念到源。始知其不差毫釐。	禪 淨 何 嘗 分 岐 唯 參 念 到 源 始 知 其 不 差 毫 釐 
X62n1192_001:0482c19	是集無分類。中有警策啟信修行發願飭終功德	是 集 無 分 類 中 有 警 策 啟 信 修 行 發 願 飭 終 功 德 
X62n1192_001:0482c20	持戒勸孝正辨引喻等門。而始於自己佛。以無不	持 戒 勸 孝 正 辨 引 喻 等 門 而 始 於 自 己 佛 以 無 不 
X62n1192_001:0482c21	是佛終焉。欲使覽者。頓悟自性佛。即證無生忍。	是 佛 終 焉 欲 使 覽 者 頓 悟 自 性 佛 即 證 無 生 忍 
X62n1192_001:0482c22	自顧寡陋。搜閱未博。所輯幾則未免漏萬。若隨見	自 顧 寡 陋 搜 閱 未 博 所 輯 幾 則 未 免 漏 萬 若 隨 見 
X62n1192_001:0482c23	續錄。以俟後之同社諸賢云爾。	續 錄 以 俟 後 之 同 社 諸 賢 云 爾 
X62n1192_001:0483a04	引用書目	引 用 書 目 
X62n1192_001:0483a05	淨土十疑論(智者)念佛三昧寶王論(飛錫)	淨 土 十 疑 論 智 者 念佛三昧 寶 王 論 飛 錫 
X62n1192_001:0483a06	往生論(道安)羣疑論(懷感)	往 生 論 道 安 羣 疑 論 懷 感 
X62n1192_001:0483a07	安樂集(道綽)淨土慈悲集(慈愍)	安 樂 集 道 綽 淨 土 慈 悲 集 慈 愍 
X62n1192_001:0483a08	萬善同歸集(永明)往生淨土懺願儀(慈雲)	萬 善 同 歸 集 永 明 往 生 淨 土 懺 願 儀 慈 雲 
X62n1192_001:0483a09	直指淨土決疑集(王古)寶珠集(同上)	直 指 淨 土 決 疑 集 王 古 寶 珠 集 同 上 
X62n1192_001:0483a10	龍舒淨土文(王虛中)歸元直指集(宗本)	龍 舒 淨 土 文 王 虛 中 歸 元 直 指 集 宗 本 
X62n1192_001:0483a11	淨土或問(天如)三時繫念儀範(明本)	淨 土 或 問 天 如 三 時 繫 念 儀 範 明 本 
X62n1192_001:0483a12	淨土立教志(志磐)寂照集	淨 土 立 教 志 志 磐 寂 照 集 
X62n1192_001:0483a13	白蓮集蓮宗寶鑑(普度)	白 蓮 集 蓮 宗 寶 鑑 普 度 
X62n1192_001:0483a14	念佛直指集(妙叶)念佛鏡(道鏡)	念 佛 直 指 集 妙 叶 念 佛 鏡 道 鏡 
X62n1192_001:0483a15	雲棲法彚(袾宏)淨土指歸集(大佑)	雲 棲 法 彚 袾 宏 淨 土 指 歸 集 大 佑 
X62n1192_001:0483a16	慈恩通讚(窺基)西方合論(袁宏道)	慈 恩 通 讚 窺 基 西 方 合 論 袁 宏 道 
X62n1192_001:0483a17	樂邦文類(宗曉)淨土晨鍾(周克復)	樂 邦 文 類 宗 曉 淨 土 晨 鍾 周 克 復 
X62n1192_001:0483a18	故鄉消息(丁明登)蓮漏清音(蓮侶)	故 鄉 消 息 丁 明 登 蓮 漏 清 音 蓮 侶 
X62n1192_001:0483a19	淨土自信錄(王闐)	淨 土 自 信 錄 王 闐 
X62n1192_001:0483a20	禪念彌陀道場懺法(王子成)蓮華世界書(唐宜之)	禪 念 彌 陀 道 場 懺 法 王 子 成 蓮 華 世 界 書 唐 宜 之 
X62n1192_001:0483a21	淨土法語(無盡)夢遊集(德清)	淨 土 法 語 無 盡 夢 遊 集 德 清 
X62n1192_001:0483a22	淨信堂集(智旭)淨土生無生論(傳燈)	淨 信 堂 集 智 旭 淨 土 生 無 生 論 傳 燈 
X62n1192_001:0483a23	佛頂珠(石成金)西方公據(慶亷)	佛 頂 珠 石 成 金 西 方 公 據 慶 亷 
X62n1192_001:0483b04	目錄	目 錄 
X62n1192_001:0483b05	自己佛秘密法門直下承當玄妙簡易	自 己 佛 秘 密 法 門 直 下 承 當 玄 妙 簡 易 
X62n1192_001:0483b06	六度萬行一乘正因真空正知見	六 度 萬 行 一 乘 正 因 真 空 正 知 見 
X62n1192_001:0483b07	有求即得貴賤一蹉百蹉醉夢	有 求 即 得 貴 賤 一 蹉 百 蹉 醉 夢 
X62n1192_001:0483b08	活計竪橫覓安下處性情	活 計 竪 橫 覓 安 下 處 性 情 
X62n1192_001:0483b09	知苦出苦轉變是我糊塗隨業	知 苦 出 苦 轉 變 是 我 糊 塗 隨 業 
X62n1192_001:0483b10	好漢生自心中實無去來無階級	好 漢 生 自 心 中 實 無 去 來 無 階 級 
X62n1192_001:0483b11	大德大福酬宿報法身一局	大 德 大 福 酬 宿 報 法 身 一 局 
X62n1192_001:0483b12	秋草冬蟬無著恍如一夢遭他累	秋 草 冬 蟬 無 著 恍 如 一 夢 遭 他 累 
X62n1192_001:0483b13	以小易大險身仔細看努力	以 小 易 大 險 身 仔 細 看 努 力 
X62n1192_001:0483b14	警老丟得下戒病非是我	警 老 丟 得 下 戒 病 非 是 我 
X62n1192_001:0483b15	憂喜得失帶不去決志鉤鎻連環	憂 喜 得 失 帶 不 去 決 志 鉤 鎻 連 環 
X62n1192_001:0483b16	撥置萬事無常信修行及早天性相關	撥 置 萬 事 無 常 信 修 行 及 早 天 性 相 關 
X62n1192_001:0483b17	十種信須彌山三通回向	十 種 信 須 彌 山 三 通 回 向 
X62n1192_001:0483b18	信定得只從今時深思諦信蜎蝡	信 定 得 只 從 今 時 深 思 諦 信 蜎 蝡 
X62n1192_001:0483b19	招安為民拘於所見無効自欺慢棄	招 安 為 民 拘 於 所 見 無 効 自 欺 慢 棄 
X62n1192_001:0483b20	功德法中王只此一念作得主	功 德 法 中 王 只 此 一 念 作 得 主 
X62n1192_001:0483b21	自己命根真境張三李四放下	自 己 命 根 真 境 張 三 李 四 放 下 
X62n1192_001:0483b22	自成一片趨向綿密喚醒	自 成 一 片 趨 向 綿 密 喚 醒 
X62n1192_001:0483b23	真念初心瀾翻潮湧喃喃	真 念 初 心 瀾 翻 潮 湧 喃 喃 
X62n1192_001:0483b24	恭敬心五敬都攝六根剋期成就	恭 敬 心 五 敬 都 攝 六 根 剋 期 成 就 
X62n1192_001:0483c01	靜做動鍊專修晨夕課十念	靜 做 動 鍊 專 修 晨 夕 課 十 念 
X62n1192_001:0483c02	心息相依當念往生參念研究	心 息 相 依 當 念 往 生 參 念 研 究 
X62n1192_001:0483c03	直捷心花燦發一相三昧精明	直 捷 心 花 燦 發 一 相 三 昧 精 明 
X62n1192_001:0483c04	日觀白毫觀想見諸瑞相	日 觀 白 毫 觀 想 見 諸 瑞 相 
X62n1192_001:0483c05	愚不可能著力最初一步真實修行	愚 不 可 能 著 力 最 初 一 步 真 實 修 行 
X62n1192_001:0483c06	不容放過三得正好百工四民	不 容 放 過 三 得 正 好 百 工 四 民 
X62n1192_001:0483c07	正行密憶菩提心三心	正 行 密 憶 菩 提 心 三 心 
X62n1192_001:0483c08	解脫雨淋頭常永貞固一境一心	解 脫 雨 淋 頭 常 永 貞 固 一 境 一 心 
X62n1192_001:0483c09	聞見回嗔作喜渡河筏靜之至	聞 見 回 嗔 作 喜 渡 河 筏 靜 之 至 
X62n1192_001:0483c10	願王直入無為迴向偈滿願	願 王 直 入 無 為 迴 向 偈 滿 願 
X62n1192_001:0483c11	至誠金剛幢氣類交接必蒙接引	至 誠 金 剛 幢 氣 類 交 接 必 蒙 接 引 
X62n1192_001:0483c12	竟有生處永無退轉千年調好消息	竟 有 生 處 永 無 退 轉 千 年 調 好 消 息 
X62n1192_001:0483c13	離心無體全現稱意之事鳴磬	離 心 無 體 全 現 稱 意 之 事 鳴 磬 
X62n1192_001:0483c14	平等指南車歸故鄉瑞應非一	平 等 指 南 車 歸 故 鄉 瑞 應 非 一 
X62n1192_001:0483c15	護身符三疑四關七分得一	護 身 符 三 疑 四 關 七 分 得 一 
X62n1192_001:0483c16	不得念預修賊去關門[穀禾+牛]牛乳頃	不 得 念 預 修 賊 去 關 門 [穀禾牛] 牛 乳 頃 
X62n1192_001:0483c17	苦樂相比無非是善取驗遠魔	苦 樂 相 比 無 非 是 善 取 驗 遠 魔 
X62n1192_001:0483c18	七勝高聲念勸修福報禮佛	七 勝 高 聲 念 勸 修 福 報 禮 佛 
X62n1192_001:0483c19	不修十失十種功德淨土十勝往生十易	不 修 十 失 十 種 功 德 淨 土 十 勝 往 生 十 易 
X62n1192_001:0483c20	眾戒清淨瓔珞珠悟情怨親	眾 戒 清 淨 瓔 珞 珠 悟 情 怨 親 
X62n1192_001:0483c21	杳冥七不得放生戒殺	杳 冥 七 不 得 放 生 戒 殺 
X62n1192_001:0483c22	食色相因體恒自如一絲可繫要斷根株	食 色 相 因 體 恒 自 如 一 絲 可 繫 要 斷 根 株 
X62n1192_001:0483c23	出世間孝助親西行報恩普度	出 世 間 孝 助 親 西 行 報 恩 普 度 
X62n1192_001:0483c24	眾善相資行無瘡疣十心四料簡	眾 善 相 資 行 無 瘡 疣 十 心 四 料 簡 
X62n1192_001:0484a01	去備當學此法三股繩較量	去 備 當 學 此 法 三 股 繩 較 量 
X62n1192_001:0484a02	出家摩頭醫王六根	出 家 摩 頭 醫 王 六 根 
X62n1192_001:0484a03	用境除我相心空理寂心滅性現	用 境 除 我 相 心 空 理 寂 心 滅 性 現 
X62n1192_001:0484a04	業性空萬牛莫挽堅持獨當	業 性 空 萬 牛 莫 挽 堅 持 獨 當 
X62n1192_001:0484a05	瀟洒快活養生忘死五惑自甘塗炭	瀟 洒 快 活 養 生 忘 死 五 惑 自 甘 塗 炭 
X62n1192_001:0484a06	邪見貢高阿伽陀防死	邪 見 貢 高 阿 伽 陀 防 死 
X62n1192_001:0484a07	許多榜樣笑哭少善難生蠟印印泥	許 多 榜 樣 笑 哭 少 善 難 生 蠟 印 印 泥 
X62n1192_001:0484a08	百斤金驗生生死二苦十難	百 斤 金 驗 生 生 死 二 苦 十 難 
X62n1192_001:0484a09	情想飛墜善因惡果得意忘言形骸得失	情 想 飛 墜 善 因 惡 果 得 意 忘 言 形 骸 得 失 
X62n1192_001:0484a10	二天人小因果資生助道無苦	二 天 人 小 因 果 資 生 助 道 無 苦 
X62n1192_001:0484a11	寂用無礙離妄即真迷悟無不是佛	寂 用 無 礙 離 妄 即 真 迷 悟 無 不 是 佛 
X62n1192_001:0484a12	(附)結社文發願文募緣疏戒懺疏	 附 結 社 文 發 願 文 募 緣 疏 戒 懺 疏 
X62n1192_001:0484a18	清珠集	清 珠 集 
X62n1192_001:0484a20	古靈山普光寺淨願社主釋幻空堂　治兆　輯	古 靈 山 普 光 寺 淨 願 社 主 釋 幻 空 堂 治 兆 輯 
X62n1192_001:0484a21	自己佛	自 己 佛 
X62n1192_001:0484a22	三世諸佛。盡在自己身中。因氣習所昧。境物所轉。便	三世諸佛 盡 在 自 己 身 中 因 氣 習 所 昧 境 物 所 轉 便 
X62n1192_001:0484a23	自迷了。若於心無心。便是過去佛。寂然不動。便是未	自 迷 了 若 於 心 無 心 便 是 過 去 佛 寂 然 不 動 便 是 未 
X62n1192_001:0484a24	來佛。隨機應物。便是現在佛。清淨無染。便是離垢佛。	來 佛 隨 機 應 物 便 是 現 在 佛 清 淨 無 染 便 是 離 垢 佛 
X62n1192_001:0484b01	出入無礙。便是神通佛。到處優游。便是自在佛。一心	出 入 無 礙 便 是 神 通 佛 到 處 優 游 便 是 自 在 佛 一 心 
X62n1192_001:0484b02	不昧。便是光明佛。道念堅固。便是不壞佛。廣大慈悲。	不 昧 便 是 光 明 佛 道 念 堅 固 便 是 不 壞 佛 廣 大 慈 悲 
X62n1192_001:0484b03	便是彌陀佛。且今人見十方諸佛。便作奇特想。於自	便 是 彌 陀 佛 且 今 人 見 十方諸佛 便 作 奇 特 想 於 自 
X62n1192_001:0484b04	己便作下劣想。不知諸佛只是本分的凡夫。凡夫只	己 便 作 下 劣 想 不 知 諸 佛 只 是 本 分 的 凡 夫 凡 夫 只 
X62n1192_001:0484b05	是不本分的諸佛。分內珍寶。掉頭不顧。分外艱苦。甘	是 不 本 分 的 諸 佛 分 內 珍 寶 掉 頭 不 顧 分 外 艱 苦 甘 
X62n1192_001:0484b06	自承當。可憐可憫。	自 承 當 可 憐 可 憫 
X62n1192_001:0484b07	秘密法門	秘 密 法 門 
X62n1192_001:0484b08	古人教親近明師。求善知識。而善知識實無口傳心	古 人 教 親 近 明 師 求 善 知 識 而 善 知 識 實 無 口 傳 心 
X62n1192_001:0484b09	授秘密法門。只替人解黏去縛。便是秘密。今但執持	授 秘 密 法 門 只 替 人 解 黏 去 縛 便 是 秘 密 今 但 執 持 
X62n1192_001:0484b10	名號。一心不亂。此八箇字即是解黏去縛秘密法門。	名 號 一心不亂 此 八 箇 字 即 是 解 黏 去 縛 秘 密 法 門 
X62n1192_001:0484b11	莫更他求。	莫 更 他 求 
X62n1192_001:0484b12	直下承當	直 下 承 當 
X62n1192_001:0484b13	八萬四千法門。總不如一句佛。一千七百公案。亦不	八萬四千法門 總 不 如 一 句 佛 一 千 七 百 公 案 亦 不 
X62n1192_001:0484b14	如一句佛。何則。惟此一門。有頓有漸。有理有迹。上根	如 一 句 佛 何 則 惟 此 一 門 有 頓 有 漸 有 理 有 迹 上 根 
X62n1192_001:0484b15	智人。直下承當。見性成佛。中下之流。未能頓超者。仗	智 人 直 下 承 當 見 性 成 佛 中 下 之 流 未 能 頓 超 者 仗 
X62n1192_001:0484b16	彼佛力。皆得往生。是如此門勝過一切。	彼 佛 力 皆 得 往 生 是 如 此 門 勝 過 一 切 
X62n1192_001:0484b17	玄妙簡易	玄 妙 簡 易 
X62n1192_001:0484b18	此道至玄至妙。亦復至簡至易。以簡易故。高明者忽	此 道 至 玄 至 妙 亦 復 至 簡 至 易 以 簡 易 故 高 明 者 忽 
X62n1192_001:0484b19	焉。夫生死不離一念。乃至世出世間萬法。皆不離一	焉 夫 生 死 不 離 一 念 乃 至 世出世間 萬 法 皆 不 離 一 
X62n1192_001:0484b20	念。今即以此念念佛。何等切近精實。若覷破此念起	念 今 即 以 此 念 念 佛 何 等 切 近 精 實 若 覷 破 此 念 起 
X62n1192_001:0484b21	處。即是自性彌陀。即是祖師西來意。乘此念力。往生	處 即 是 自 性 彌 陀 即 是 祖 師 西 來 意 乘 此 念 力 往 生 
X62n1192_001:0484b22	淨土。且橫截生死。不受輪回。即證無生法忍。	淨 土 且 橫 截 生 死 不 受 輪 回 即 證 無生法忍 
X62n1192_001:0484b23	六度萬行	六 度 萬 行 
X62n1192_001:0484b24	一句佛該羅八教。圓攝五宗。三藏十二部極則教理。	一 句 佛 該 羅 八 教 圓 攝 五 宗 三 藏 十 二 部 極 則 教 理 
X62n1192_001:0484c01	千七百公案向上機關。三千威儀。八萬細行。三聚淨	千 七 百 公 案 向 上 機 關 三 千 威 儀 八 萬 細 行 三 聚 淨 
X62n1192_001:0484c02	戒都在裏許。真能念佛。放下身心世界。即大布施。不	戒 都 在 裏 許 真 能 念 佛 放 下 身 心 世 界 即 大 布 施 不 
X62n1192_001:0484c03	復起貪嗔癡。即大持戒。不計人我是非。即大忍辱。不	復 起 貪 嗔 癡 即 大 持 戒 不 計 人 我 是 非 即 大 忍 辱 不 
