T85n2780_001:0536c13	溫室經疏	溫 室 經 疏 
T85n2780_001:0537b03	形。美艶絕倫。瓌姿蓋世。由此義故。稱之奈	形 美 艶 絕 倫 瓌 姿 蓋 世 由 此 義 故 稱 之 奈 
T85n2780_001:0537b04	女。祗域既是奈女之子種。所以為貴也。祗域	女 祗 域 既 是 奈 女 之 子 種 所 以 為 貴 也 祗 域 
T85n2780_001:0537b05	者指名字也。祈域梵音。此云能活。善解四病	者 指 名 字 也 祈 域 梵 音 此 云 能 活 善 解 四 病 
T85n2780_001:0537b06	之原。妙通八術之要。下針定若投藥必愈。有	之 原 妙 通 八 術 之 要 下 針 定 若 投 藥 必 愈 有 
T85n2780_001:0537b07	此之能故稱能活也。為大醫王善療眾病釋	此 之 能 故 稱 能 活 也 為 大 醫 王 善 療 眾 病 釋 
T85n2780_001:0537b08	所以也。藥病縱任名曰醫王。治無不愈稱為	所 以 也 藥 病 縱 任 名 曰 醫 王 治 無 不 愈 稱 為 
T85n2780_001:0537b09	善療。以善療故名能活也。	善 療 以 善 療 故 名 能 活 也 
T85n2780_001:0537b10	經曰少小好學長而彌篤才藝過通智達五經	經 曰 少 小 好 學 長 而 彌 篤 才 藝 過 通 智 達 五 經 
T85n2780_001:0537b11	天文地理　通曰。次明敘德自有三意。一美	天 文 地 理 通 曰 次 明 敘 德 自 有 三 意 一 美 
T85n2780_001:0537b12	學功。二稱治績。三即總結。此美學功也。才	學 功 二 稱 治 績 三 即 總 結 此 美 學 功 也 才 
T85n2780_001:0537b13	謂三才。天地人也。藝謂六藝。禮樂射御書疏。	謂 三 才 天 地 人 也 藝 謂 六 藝 禮 樂 射 御 書 疏 
T85n2780_001:0537b14	五經即五明論。內論因論聲論工巧論醫方	五 經 即 五 明 論 內 論 因 論 聲 論 工 巧 論 醫 方 
T85n2780_001:0537b15	論也。天文謂景宿。地理即山川。然則幼而欽	論 也 天 文 謂 景 宿 地 理 即 山 川 然 則 幼 而 欽 
T85n2780_001:0537b16	道故曰少小好學。長而彌篤故曰才藝過通。	道 故 曰 少 小 好 學 長 而 彌 篤 故 曰 才 藝 過 通 
T85n2780_001:0537b17	智達經成前好學。天文地理美上過通也。	智 達 經 成 前 好 學 天 文 地 理 美 上 過 通 也 
T85n2780_001:0537b18	經曰其所治者莫不除愈死者更生喪車得還	經 曰 其 所 治 者 莫 不 除 愈 死 者 更 生 喪 車 得 還 
T85n2780_001:0537b19	　通曰。此明治績也。上兩句總歎。下兩句別	 通 曰 此 明 治 績 也 上 兩 句 總 歎 下 兩 句 別 
T85n2780_001:0537b20	彰。其効昔有參差。中夭已登幽路。一逢祇	彰 其 効 昔 有 參 差 中 夭 已 登 幽 路 一 逢 祇 
T85n2780_001:0537b21	域。再發神明。遂使魂魄寂已還蘇。抑車動而	域 再 發 神 明 遂 使 魂 魄 寂 已 還 蘇 抑 車 動 而 
T85n2780_001:0537b22	旋駕。翻凶作吉迴死就生。治驗之靈莫斯為	旋 駕 翻 凶 作 吉 迴 死 就 生 治 驗 之 靈 莫 斯 為 
T85n2780_001:0537b23	大也。	大 也 
T85n2780_001:0537b24	經曰其德多不可具陳八國宗仰見者歡喜	經 曰 其 德 多 不 可 具 陳 八 國 宗 仰 見 者 歡 喜 
T85n2780_001:0537b25	　通曰。此總結也。祇域。道超心計。德雜覼縷。	 通 曰 此 總 結 也 祇 域 道 超 心 計 德 雜 覼 縷 
T85n2780_001:0537b26	故使聞者欽風。見者神悅。	故 使 聞 者 欽 風 見 者 神 悅 
T85n2780_001:0537b27	經曰於是祇域夜欻生念明至佛所當問我疑	經 曰 於 是 祇 域 夜 欻 生 念 明 至 佛 所 當 問 我 疑 
T85n2780_001:0537b28	　通曰。下明敘事自有七意。一生心。二發	 通 曰 下 明 敘 事 自 有 七 意 一 生 心 二 發 
T85n2780_001:0537b29	引。三達所。四見佛。五都僧。六聞法。七作業。	引 三 達 所 四 見 佛 五 都 僧 六 聞 法 七 作 業 
T85n2780_001:0537c01	此明生心也。祇域以良辰夜靜驚肅神衿。既	此 明 生 心 也 祇 域 以 良 辰 夜 靜 驚 肅 神 衿 既 
T85n2780_001:0537c02	悟入道之正因。遂結洗僧之念。然則念雖在	悟 入 道 之 正 因 遂 結 洗 僧 之 念 然 則 念 雖 在 
T85n2780_001:0537c03	已。法不自由。所以坐企有明就佛請決也。	已 法 不 自 由 所 以 坐 企 有 明 就 佛 請 決 也 
T85n2780_001:0537c04	經曰晨旦勅家大小眷屬嚴至佛所　通曰。	經 曰 晨 旦 勅 家 大 小 眷 屬 嚴 至 佛 所 通 曰 
T85n2780_001:0537c05	發引也。明星忽已掩耀。旭日復漸舒光。既見	發 引 也 明 星 忽 已 掩 耀 旭 日 復 漸 舒 光 既 見 
T85n2780_001:0537c06	指塗之兆。宜敦率旅之誡。所以先標晨旦。後	指 塗 之 兆 宜 敦 率 旅 之 誡 所 以 先 標 晨 旦 後 
T85n2780_001:0537c07	即勅家也。然此辰問道匪唯自益。欲使恩沾	即 勅 家 也 然 此 辰 問 道 匪 唯 自 益 欲 使 恩 沾 
T85n2780_001:0537c08	九族。道洽六親。男女同榮。尊卑並潤所以臨	九 族 道 洽 六 親 男 女 同 榮 尊 卑 並 潤 所 以 臨 
T85n2780_001:0537c09	岐整眾。其從如雲。大小同行。俱遵佛路也。	岐 整 眾 其 從 如 雲 大 小 同 行 俱 遵 佛 路 也 
T85n2780_001:0537c10	經曰到精舍門　通曰。此明達所也。祇域既	經 曰 到 精 舍 門 通 曰 此 明 達 所 也 祇 域 既 
T85n2780_001:0537c11	問道情深。所以星駕遂得旅神閣。故曰到精	問 道 情 深 所 以 星 駕 遂 得 旅 神 閣 故 曰 到 精 
T85n2780_001:0537c12	舍門也。	舍 門 也 
T85n2780_001:0537c13	經曰見佛炳然光照天地　通曰。此明見佛	經 曰 見 佛 炳 然 光 照 天 地 通 曰 此 明 見 佛 
T85n2780_001:0537c14	也。如來將然智炬先發方光。所以日月演明	也 如 來 將 然 智 炬 先 發 方 光 所 以 日 月 演 明 
T85n2780_001:0537c15	乾川洞耀。	乾 川 洞 耀 
T85n2780_001:0537c16	經曰眾坐四輩數千萬人　通曰。此明都僧	經 曰 眾 坐 四 輩 數 千 萬 人 通 曰 此 明 都 僧 
T85n2780_001:0537c17	也。如來德雖獨秀亦因眾仰。所以眾坐四輩	也 如 來 德 雖 獨 秀 亦 因 眾 仰 所 以 眾 坐 四 輩 
T85n2780_001:0537c18	數千萬人。如栴檀林栴檀圍遶也。	數 千 萬 人 如 栴 檀 林 栴 檀 圍 遶 也 
T85n2780_001:0537c19	經曰佛為說法一心靜聽　通曰。此明聞法	經 曰 佛 為 說 法 一 心 靜 聽 通 曰 此 明 聞 法 
T85n2780_001:0537c20	也。僧既仰成佛德。佛復扇以玄風。師資之道	也 僧 既 仰 成 佛 德 佛 復 扇 以 玄 風 師 資 之 道 
T85n2780_001:0537c21	既顯。聽之儀亦著也。	既 顯 聽 之 儀 亦 著 也 
T85n2780_001:0537c22	經曰祗域眷屬下車直進為佛作禮各坐一面	經 曰 祗 域 眷 屬 下 車 直 進 為 佛 作 禮 各 坐 一 面 
T85n2780_001:0537c23	　通曰。此明作業也。祇域來因問道。是故下	 通 曰 此 明 作 業 也 祇 域 來 因 問 道 是 故 下 
T85n2780_001:0537c24	車。既和寂為歸。所以直進將陳啟告先事虔	車 既 和 寂 為 歸 所 以 直 進 將 陳 啟 告 先 事 虔 
T85n2780_001:0537c25	恭恐誼眾四部。所以各安一面也。	恭 恐 誼 眾 四 部 所 以 各 安 一 面 也 
T85n2780_001:0537c26	經曰佛慰勞曰善來醫王欲有所問莫得疑難	經 曰 佛 慰 勞 曰 善 來 醫 王 欲 有 所 問 莫 得 疑 難 
T85n2780_001:0537c27	　通曰。上明序分已訖興致之由下明經體。	 通 曰 上 明 序 分 已 訖 興 致 之 由 下 明 經 體 
T85n2780_001:0537c28	次彰即坐之益。經體自有五種。一引汲。二發	次 彰 即 坐 之 益 經 體 自 有 五 種 一 引 汲 二 發 
T85n2780_001:0537c29	請。三讚述。四答問。五斷疑。此即引汲也。此	請 三 讚 述 四 答 問 五 斷 疑 此 即 引 汲 也 此 
T85n2780_001:0538a01	教之設事藉醫王故。唱善來以慰其心。莫疑	教 之 設 事 藉 醫 王 故 唱 善 來 以 慰 其 心 莫 疑 
T85n2780_001:0538a02	以進其問。	以 進 其 問 
T85n2780_001:0538a03	經曰祇域長跪叉手白佛言　通曰。下明發	經 曰 祇 域 長 跪 叉 手 白 佛 言 通 曰 下 明 發 
T85n2780_001:0538a04	請自有五意。一表肅。二自傷　三請行。四發	請 自 有 五 意 一 表 肅 二 自 傷 三 請 行 四 發 
T85n2780_001:0538a05	願五乞恩此今表肅也。然即事請道理。須更	願 五 乞 恩 此 今 表 肅 也 然 即 事 請 道 理 須 更 
T85n2780_001:0538a06	整容儀所以長跪所方乃發言啟告也。	整 容 儀 所 以 長 跪 所 方 乃 發 言 啟 告 也 
T85n2780_001:0538a07	經曰雖得出世為人疎野隨俗眾流未曾為福	經 曰 雖 得 出 世 為 人 疎 野 隨 俗 眾 流 未 曾 為 福 
T85n2780_001:0538a08	　通曰。自傷也。心遊外物曰疎。形落俗中為	 通 曰 自 傷 也 心 遊 外 物 曰 疎 形 落 俗 中 為 
T85n2780_001:0538a09	野。野故隨俗眾流。疎故未曾為福也。	野 野 故 隨 俗 眾 流 疎 故 未 曾 為 福 也 
T85n2780_001:0538a10	經曰今欲請佛及眾僧菩薩大士入浴室滲洗	經 曰 今 欲 請 佛 及 眾 僧 菩薩大士 入 浴 室 滲 洗 
T85n2780_001:0538a11	　通曰。請引也。眾生身疾粗得療治。聖人	 通 曰 請 引 也 眾 生 身 疾 粗 得 療 治 聖 人 
T85n2780_001:0538a12	骸垢未曾請沐。今欲初基淨業必假良田。所	骸 垢 未 曾 請 沐 今 欲 初 基 淨 業 必 假 良 田 所 
T85n2780_001:0538a13	以奉屈三尊來遊滲室。	以 奉 屈 三 尊 來 遊 滲 室 
T85n2780_001:0538a14	經曰願令眾生長夜清淨垢穢消除不遭眾患	經 曰 願 令 眾 生 長 夜 清 淨 垢 穢 消 除 不 遭 眾 患 
T85n2780_001:0538a15	　通曰。發願也。引之與願二事相行。猶車	 通 曰 發 願 也 引 之 與 願 二 事 相 行 猶 車 
T85n2780_001:0538a16	之兩輪。鳥之二翼。陸載空飛。闕一不可。所	之 兩 輪 鳥 之 二 翼 陸 載 空 飛 闕 一 不 可 所 
T85n2780_001:0538a17	以請行復須發願。願行。此願普洽黔黎。長祛	以 請 行 復 須 發 願 願 行 此 願 普 洽 黔 黎 長 祛 
T85n2780_001:0538a18	垢累之惱。永安輕利之泰。	垢 累 之 惱 永 安 輕 利 之 泰 
T85n2780_001:0538a19	經曰唯佛聖旨不忽所願　通曰。此乞恩也。	經 曰 唯 佛 聖 旨 不 忽 所 願 通 曰 此 乞 恩 也 
T85n2780_001:0538a20	唯佛聖旨照我微心。不忽所願降躬滲室也。	唯 佛 聖 旨 照 我 微 心 不 忽 所 願 降 躬 滲 室 也 
T85n2780_001:0538a21	經曰佛告醫王善哉妙意　通曰。下明說述。	經 曰 佛 告 醫 王 善 哉 妙 意 通 曰 下 明 說 述 
T85n2780_001:0538a22	自有四意。一美心。二述業。三示福。四許宣。	自 有 四 意 一 美 心 二 述 業 三 示 福 四 許 宣 
T85n2780_001:0538a23	此美意心也。祇域既鄙疎野之心。又敦修福	此 美 意 心 也 祇 域 既 鄙 疎 野 之 心 又 敦 修 福 
T85n2780_001:0538a24	之念。故能標心淨業來遊問道。此真妙意故。	之 念 故 能 標 心 淨 業 來 遊 問 道 此 真 妙 意 故 
T85n2780_001:0538a25	讚善哉也。	讚 善 哉 也 
T85n2780_001:0538a26	經曰治眾人病皆蒙除愈遠近慶賴莫不歡喜	經 曰 治 眾 人 病 皆 蒙 除 愈 遠 近 慶 賴 莫 不 歡 喜 
T85n2780_001:0538a27	　通曰。此述舊業也。預是有身誰能無患。繼	 通 曰 此 述 舊 業 也 預 是 有 身 誰 能 無 患 繼 
T85n2780_001:0538a28	沾有識誰不畏苦。祇域既能使藥石纔通。即	沾 有 識 誰 不 畏 苦 祇 域 既 能 使 藥 石 纔 通 即 
T85n2780_001:0538a29	轉苦為樂。針艾亦進即變夭為修。故已治者	轉 苦 為 樂 針 艾 亦 進 即 變 夭 為 修 故 已 治 者 
T85n2780_001:0538b01	即交忻慶賴。未療者亦逆結歡心也。	即 交 忻 慶 賴 未 療 者 亦 逆 結 歡 心 也 
T85n2780_001:0538b02	經曰今復請佛及眾僧洗浴願及十方　通曰。	經 曰 今 復 請 佛 及 眾 僧 洗 浴 願 及 十 方 通 曰 
T85n2780_001:0538b03	此述新業也。請僧述行。十方述願。然則行須	此 述 新 業 也 請 僧 述 行 十 方 述 願 然 則 行 須 
T85n2780_001:0538b04	指事故但及此方。願得懸標故傍羅異域。故	指 事 故 但 及 此 方 願 得 懸 標 故 傍 羅 異 域 故 
T85n2780_001:0538b05	曰願及十方也。	曰 願 及 十 方 也 
T85n2780_001:0538b06	經曰眾藥療病滲浴除垢其福無量　通曰。	經 曰 眾 藥 療 病 滲 浴 除 垢 其 福 無 量 通 曰 
T85n2780_001:0538b07	此示其福也。療疾之心既闊。洗僧之願復廣。	此 示 其 福 也 療 疾 之 心 既 闊 洗 僧 之 願 復 廣 
T85n2780_001:0538b08	既植無限之因故。招無量之報也。	既 植 無 限 之 因 故 招 無 量 之 報 也 
T85n2780_001:0538b09	經曰一心聽法為汝先說洗浴眾僧及報之福	經 曰 一 心 聽 法 為 汝 先 說 洗 浴 眾 僧 及 報 之 福 
T85n2780_001:0538b10	　通曰。此許其宣也。祇域來為洗僧。所以先	 通 曰 此 許 其 宣 也 祇 域 來 為 洗 僧 所 以 先 
T85n2780_001:0538b11	說之報。既請不因疾。是故宜停療疾之果也。	說 之 報 既 請 不 因 疾 是 故 宜 停 療 疾 之 果 也 
T85n2780_001:0538b12	經曰佛告祇域洗浴之法當用七物除去七病	經 曰 佛 告 祇 域 洗 浴 之 法 當 用 七 物 除 去 七 病 
T85n2780_001:0538b13	得七福報　通曰。此下答問自有三節。一標。	得 七 福 報 通 曰 此 下 答 問 自 有 三 節 一 標 
T85n2780_001:0538b14	二釋。三頌。此即標也。一標七物之體。二標七	二 釋 三 頌 此 即 標 也 一 標 七 物 之 體 二 標 七 
T85n2780_001:0538b15	物之功。三標七物之報。	物 之 功 三 標 七 物 之 報 
T85n2780_001:0538b16	經曰何謂七物一者燃火二者淨水三者滲豆	經 曰 何 謂 七 物 一 者 燃 火 二 者 淨 水 三 者 滲 豆 
T85n2780_001:0538b17	四者蘇膏五者淳灰六者楊枝七者內衣是為	四 者 蘇 膏 五 者 淳 灰 六 者 楊 枝 七 者 內 衣 是 為 
T85n2780_001:0538b18	洗浴之法　通曰。此列七物體也。燃火即赫	洗 浴 之 法 通 曰 此 列 七 物 體 也 燃 火 即 赫 
T85n2780_001:0538b19	以炎爐絕輕煙而無焰。淨水乃澄之似鏡去	以 炎 爐 絕 輕 煙 而 無 焰 淨 水 乃 澄 之 似 鏡 去 
T85n2780_001:0538b20	穢濁而留清。滲豆既滑而光華。蘇膏而凝而	穢 濁 而 留 清 滲 豆 既 滑 而 光 華 蘇 膏 而 凝 而 
T85n2780_001:0538b21	體潤。淳灰酷烈燒山桑之切木。楊枝細軟折	體 潤 淳 灰 酷 烈 燒 山 桑 之 切 木 楊 枝 細 軟 折 
T85n2780_001:0538b22	河柳之疎條。至如內衣。則新裂齊紈。皎猶美	河 柳 之 疎 條 至 如 內 衣 則 新 裂 齊 紈 皎 猶 美 
T85n2780_001:0538b23	練。裁縫巧妙。形製新奇。雖人裏之內衣類。	練 裁 縫 巧 妙 形 製 新 奇 雖 人 裏 之 內 衣 類 
T85n2780_001:0538b24	天中之上服七物既精華。若此七報亦佳麗	天 中 之 上 服 七 物 既 精 華 若 此 七 報 亦 佳 麗 
T85n2780_001:0538b25	如彼。如彼之功下文自述。	如 彼 如 彼 之 功 下 文 自 述 
T85n2780_001:0538b26	經曰何謂七物病一者四大安穩二者除風病	經 曰 何 謂 七 物 病 一 者 四 大 安 穩 二 者 除 風 病 
T85n2780_001:0538b27	三者除濕痺四者除寒氷五者除熱氣六者除	三 者 除 濕 痺 四 者 除 寒 氷 五 者 除 熱 氣 六 者 除 
T85n2780_001:0538b28	垢穢七者身體輕便眼目精明是為除眾僧之	垢 穢 七 者 身 體 輕 便 眼 目 精 明 是 為 除 眾 僧 之 
T85n2780_001:0538b29	病　通曰。此顯七物功也。四大安穩內衣功	病 通 曰 此 顯 七 物 功 也 四 大 安 穩 內 衣 功 
T85n2780_001:0538c01	能。除風病者淳灰功能。除濕痺者蘇膏功能。	能 除 風 病 者 淳 灰 功 能 除 濕 痺 者 蘇 膏 功 能 
T85n2780_001:0538c02	除寒氷者燃火功能。除熱氣者楊枝功能。除	除 寒 氷 者 燃 火 功 能 除 熱 氣 者 楊 枝 功 能 除 
T85n2780_001:0538c03	垢穢者滲豆功能。身體輕便眼目精明者淨	垢 穢 者 滲 豆 功 能 身 體 輕 便 眼 目 精 明 者 淨 
T85n2780_001:0538c04	水功能。何則夫以衣蔽形醜四支所以寧泰。	水 功 能 何 則 夫 以 衣 蔽 形 醜 四 支 所 以 寧 泰 
T85n2780_001:0538c05	灰除風疾六根所以安淨。摩膏既遣痺以調	灰 除 風 疾 六 根 所 以 安 淨 摩 膏 既 遣 痺 以 調 
T85n2780_001:0538c06	方。燃火乃却寒而留煖。來香去臭莫善於楊	方 燃 火 乃 却 寒 而 留 煖 來 香 去 臭 莫 善 於 楊 
T85n2780_001:0538c07	枝。光身落垢寧加於滲豆至如水含八德。獨	枝 光 身 落 垢 寧 加 於 滲 豆 至 如 水 含 八 德 獨 
T85n2780_001:0538c08	檀眾美。洞洗內外雅暢胸衿。明目拙身沃燋	檀 眾 美 洞 洗 內 外 雅 暢 胸 衿 明 目 拙 身 沃 燋 
T85n2780_001:0538c09	除濁。七功既如霧氣。七病亦類雲消。故曰是	除 濁 七 功 既 如 霧 氣 七 病 亦 類 雲 消 故 曰 是 
T85n2780_001:0538c10	為除眾僧七病也。	為 除 眾 僧 七 病 也 
T85n2780_001:0538c11	經曰如是供養便得七福何謂七福　通曰。	經 曰 如 是 供 養 便 得 七 福 何 謂 七 福 通 曰 
T85n2780_001:0538c12	自下明七物報也。自有三節。一得相似果。二	自 下 明 七 物 報 也 自 有 三 節 一 得 相 似 果 二 
T85n2780_001:0538c13	得果報果。三得增上果。此明得相似果故標	得 果 報 果 三 得 增 上 果 此 明 得 相 似 果 故 標 
T85n2780_001:0538c14	數以問之。	數 以 問 之 
T85n2780_001:0538c15	經曰一者四大安無病所生當安勇武丁健眾	經 曰 一 者 四 大 安 無 病 所 生 當 安 勇 武 丁 健 眾 
T85n2780_001:0538c16	人敬仰　通曰。此是燃火似果。夫煖氣流形	人 敬 仰 通 曰 此 是 燃 火 似 果 夫 煖 氣 流 形 
T85n2780_001:0538c17	則舉體平泰。寒風侵骨則遍身戰悼　燃火以	則 舉 體 平 泰 寒 風 侵 骨 則 遍 身 戰 悼 燃 火 以 
T85n2780_001:0538c18	進煖故。故寒故得報之身安而勇健。既安且	進 煖 故 故 寒 故 得 報 之 身 安 而 勇 健 既 安 且 
T85n2780_001:0538c19	健則眾人敬仰。	健 則 眾 人 敬 仰 
T85n2780_001:0538c20	經曰二者所生清淨面目端正塵水不著為人	經 曰 二 者 所 生 清 淨 面 目 端 正 塵 水 不 著 為 人 
T85n2780_001:0538c21	所敬　通曰。此是淨水似果。夫水者。一能淨	所 敬 通 曰 此 是 淨 水 似 果 夫 水 者 一 能 淨 
T85n2780_001:0538c22	他。二則性潔淨他故。面目端正性潔故。塵水	他 二 則 性 潔 淨 他 故 面 目 端 正 性 潔 故 塵 水 
T85n2780_001:0538c23	不著。面目端狀如素月塵水不著。有類紅蓮	不 著 面 目 端 狀 如 素 月 塵 水 不 著 有 類 紅 蓮 
T85n2780_001:0538c24	既得如月如蓮。見者且愛且敬。	既 得 如 月 如 蓮 見 者 且 愛 且 敬 
T85n2780_001:0538c25	經曰三者身體常香衣服淨潔見者歡喜莫不	經 曰 三 者 身 體 常 香 衣 服 淨 潔 見 者 歡 喜 莫 不 
T85n2780_001:0538c26	恭敬　通曰。此是滲豆相似果。夫形骸垢膩	恭 敬 通 曰 此 是 滲 豆 相 似 果 夫 形 骸 垢 膩 
T85n2780_001:0538c27	則穢惡紛綸。質狀鮮皎則馨香發越。滲豆之	則 穢 惡 紛 綸 質 狀 鮮 皎 則 馨 香 發 越 滲 豆 之 
T85n2780_001:0538c28	功次能光身而落垢。所得之報亦衣潔而身	功 次 能 光 身 而 落 垢 所 得 之 報 亦 衣 潔 而 身 
T85n2780_001:0538c29	香。既潔且香則觀者神賴。	香 既 潔 且 香 則 觀 者 神 賴 
T85n2780_001:0539a01	經曰四肌體濡澤威光德大莫不敬歎獨步無	經 曰 四 肌 體 濡 澤 威 光 德 大 莫 不 敬 歎 獨 步 無 
T85n2780_001:0539a02	雙　通曰。此是蘇膏相似果。夫痺染四支則	雙 通 曰 此 是 蘇 膏 相 似 果 夫 痺 染 四 支 則 
T85n2780_001:0539a03	皮膚靭強。膏流百節則湊理和暢。摩膏既遣	皮 膚 靭 強 膏 流 百 節 則 湊 理 和 暢 摩 膏 既 遣 
