X87n1620_001:0179c02	先覺宗乘	先 覺 宗 乘 
X87n1620_001:0180a07	比部孫居士(嗣法楊岐會)提刑郭祥正(嗣法白雲端)	比 部 孫 居 士 嗣 法 楊 岐 會 提 刑 郭 祥 正 嗣 法 白 雲 端 
X87n1620_001:0180a08	郡王趙令衿(嗣法昭覺勤)樞密徐俯(嗣法昭覺勤)	郡 王 趙 令 衿 嗣 法 昭 覺 勤 樞 密 徐 俯 嗣 法 昭 覺 勤 
X87n1620_001:0180a09	尚書莫將(嗣法大隨靜)龍圖王蕭(嗣法大隨靜)	尚 書 莫 將 嗣 法 大 隨 靜 龍 圖 王 蕭 嗣 法 大 隨 靜 
X87n1620_001:0180a10	參政李邴(嗣法徑山杲)寶學劉彥修(嗣法徑山杲)	參 政 李 邴 嗣 法 徑 山 杲 寶 學 劉 彥 修 嗣 法 徑 山 杲 
X87n1620_001:0180a11	提刑吳偉明(嗣法徑山杲)門司黃彥節(嗣法徑山杲)	提 刑 吳 偉 明 嗣 法 徑 山 杲 門 司 黃 彥 節 嗣 法 徑 山 杲 
X87n1620_001:0180a12	參政錢端禮(嗣法護國元)內翰曾開(嗣法靈隱遠)	參 政 錢 端 禮 嗣 法 護 國 元 內 翰 曾 開 嗣 法 靈 隱 遠 
X87n1620_001:0180a13	侍制潘良貴(嗣法佛燈珣)侍郎李浩(嗣法天童華)	侍 制 潘 良 貴 嗣 法 佛 燈 珣 侍 郎 李 浩 嗣 法 天 童 華 
X87n1620_001:0180a14	吳十三道人(嗣法開善謙)	吳 十 三 道 人 嗣 法 開 善 謙 
X87n1620_001:0180a15	卷四(問法)	卷 四 問 法 
X87n1620_001:0180a16	太守楊衒之(問達磨)使者宋雲(問達磨)	太 守 楊 衒 之 問 達 磨 使 者 宋 雲 問 達 磨 
X87n1620_001:0180a17	向居士(問二祖)崔趙公(問國一欽)	向 居 士 問 二 祖 崔 趙 公 問 國 一 欽 
X87n1620_001:0180a18	中使楊光庭(問本淨禪師)相國杜鴻漸(問無住禪師)	中 使 楊 光 庭 問 本 淨 禪 師 相 國 杜 鴻 漸 問 無 住 禪 師 
X87n1620_001:0180a19	鄴侯李泌(問懶殘)張濆行者(問忠國師)	鄴 侯 李 泌 問 懶 殘 張 濆 行 者 問 忠 國 師 
X87n1620_001:0180a20	魚軍容(問忠國師)刺史李渤(問歸宗常)	魚 軍 容 問 忠 國 師 刺 史 李 渤 問 歸 宗 常 
X87n1620_001:0180a21	相國崔羣(問東寺會)相國于頔(問紫玉通藥山儼)	相 國 崔 羣 問 東 寺 會 相 國 于 頔 問 紫 玉 通 藥 山 儼 
X87n1620_001:0180a22	文公韓愈(問大顛通)燕王(訪趙州諗)	文 公 韓 愈 問 大 顛 通 燕 王 訪 趙 州 諗 
X87n1620_001:0180a23	趙王王鎔(問趙州諗)馬大夫(問趙州諗)	趙 王 王 鎔 問 趙 州 諗 馬 大 夫 問 趙 州 諗 
X87n1620_001:0180a24	周員外(問趙州諗)劉相公(問趙州諗)	周 員 外 問 趙 州 諗 劉 相 公 問 趙 州 諗 
X87n1620_001:0180b01	竺尚書(問長沙岑)李軍容(參溈山祐)	竺 尚 書 問 長 沙 岑 李 軍 容 參 溈 山 祐 
X87n1620_001:0180b02	劉侍御(問仰山寂)朱行軍(請際上座)	劉 侍 御 問 仰 山 寂 朱 行 軍 請 際 上 座 
X87n1620_001:0180b03	尚書溫造(問圭峰密)史山人(問圭峰密)	尚 書 溫 造 問 圭 峰 密 史 山 人 問 圭 峰 密 
X87n1620_001:0180b04	相國宋齊丘(訪慧覺禪師)閩王王審知(禮雪峰存玄沙備)	相 國 宋 齊 丘 訪 慧 覺 禪 師 閩 王 王 審 知 禮 雪 峰 存 玄 沙 備 
X87n1620_001:0180b05	王延鈞(延羅山和尚夢筆和尚)陳尚書(問雲門)	王 延 鈞 延 羅 山 和 尚 夢 筆 和 尚 陳 尚 書 問 雲 門 
X87n1620_001:0180b06	韋監軍(謁玄沙備)陳尚書(問洞山)	韋 監 軍 謁 玄 沙 備 陳 尚 書 問 洞 山 
X87n1620_001:0180b07	節度使成汭(問雲居膺)劉禹端(問雲居膺)	節 度 使 成 汭 問 雲 居 膺 劉 禹 端 問 雲 居 膺 
X87n1620_001:0180b08	張覇遷(問疎山仁)劉翁(謁青林虔)	張 覇 遷 問 疎 山 仁 劉 翁 謁 青 林 虔 
X87n1620_001:0180b09	鍾司徒(問安鐵胡)給事陶穀(禮常覺禪師)	鍾 司 徒 問 安 鐵 胡 給 事 陶 穀 禮 常 覺 禪 師 
X87n1620_001:0180b10	李相公(問福巖承)李王(禮清涼益)	李 相 公 問 福 巖 承 李 王 禮 清 涼 益 
X87n1620_001:0180b11	宋令公(對大寧寺僧)相國馮延巳(問游鍾山僧)	宋 令 公 對 大 寧 寺 僧 相 國 馮 延 巳 問 游 鍾 山 僧 
X87n1620_001:0180b12	樞密李崇矩(問圓明禪師)歐陽文忠公修(延浮山遠)	樞 密 李 崇 矩 問 圓 明 禪 師 歐 陽 文 忠 公 修 延 浮 山 遠 
X87n1620_001:0180b13	丞相呂許公(謁志言大士)王質(問法華言)	丞 相 呂 許 公 謁 志 言 大 士 王 質 問 法 華 言 
X87n1620_001:0180b14	助教徐岳(問法華言)相國王安石(禮吳山端)	助 教 徐 岳 問 法 華 言 相 國 王 安 石 禮 吳 山 端 
X87n1620_001:0180b15	武昌劉居士(對雲居舜)李端愿(禮宗本禪師)	武 昌 劉 居 士 對 雲 居 舜 李 端 愿 禮 宗 本 禪 師 
X87n1620_001:0180b16	葉清臣蔣侍郎(禮政黃牛)陳瓘(問宗道者)	葉 清 臣 蔣 侍 郎 禮 政 黃 牛 陳 瓘 問 宗 道 者 
X87n1620_001:0180b17	太尉陳良弼(禮淨因)李朝請(謁道場琳)	太 尉 陳 良 弼 禮 淨 因 李 朝 請 謁 道 場 琳 
X87n1620_001:0180b18	相國錢象祖(參此菴元)	相 國 錢 象 祖 參 此 菴 元 
X87n1620_001:0180b19	卷五(無名宰官居士)	卷 五 無 名 宰 官 居 士 
X87n1620_001:0180b20	洪州廉使俗士問天堂地獄	洪 州 廉 使 俗 士 問 天 堂 地 獄 
X87n1620_001:0180b21	歸宗因官人來問儒者問三教	歸 宗 因 官 人 來 問 儒 者 問 三 教 
X87n1620_001:0180b22	行者問即心即佛丹霞逢老人與童子	行 者 問 即 心 即 佛 丹 霞 逢 老 人 與 童 子 
X87n1620_001:0180b23	丹霞會留守百丈政路逢官人	丹 霞 會 留 守 百 丈 政 路 逢 官 人 
X87n1620_001:0180b24	趙州與官人遊園官人問趙州	趙 州 與 官 人 遊 園 官 人 問 趙 州 
X87n1620_001:0180c01	官人問趙州燒木佛俗官問趙州	官 人 問 趙 州 燒 木 佛 俗 官 問 趙 州 
X87n1620_001:0180c02	秀才乞拄杖秀才問趙州	秀 才 乞 拄 杖 秀 才 問 趙 州 
X87n1620_001:0180c03	俗士獻袈裟趙州勘行者	俗 士 獻 袈 裟 趙 州 勘 行 者 
X87n1620_001:0180c04	秀才問長沙岑普化見步使	秀 才 問 長 沙 岑 普 化 見 步 使 
X87n1620_001:0180c05	天使問睦州秀才訪睦州	天 使 問 睦 州 秀 才 訪 睦 州 
X87n1620_001:0180c06	睦州問秀才閩帥問壽山年多少	睦 州 問 秀 才 閩 帥 問 壽 山 年 多 少 
X87n1620_001:0180c07	有俗士舉手俗士問殺牛	有 俗 士 舉 手 俗 士 問 殺 牛 
X87n1620_001:0180c08	仰山問推官行者問霍山	仰 山 問 推 官 行 者 問 霍 山 
X87n1620_001:0180c09	洞山行脚遇官人官人問洞山	洞 山 行 脚 遇 官 人 官 人 問 洞 山 
X87n1620_001:0180c10	投子赴檀越齋有官人問壽州	投 子 赴 檀 越 齋 有 官 人 問 壽 州 
X87n1620_001:0180c11	閩王問雪峰存閩王封柑橘至雪峰	閩 王 問 雪 峰 存 閩 王 封 柑 橘 至 雪 峰 
X87n1620_001:0180c12	廣主請雲門開堂常侍問雲門	廣 主 請 雲 門 開 堂 常 侍 問 雲 門 
X87n1620_001:0180c13	官人問雲門閩王送玄沙上船	官 人 問 雲 門 閩 王 送 玄 沙 上 船 
X87n1620_001:0180c14	泉守請玄沙登樓閩帥請辨驗聲明三藏	泉 守 請 玄 沙 登 樓 閩 帥 請 辨 驗 聲 明 三 藏 
X87n1620_001:0180c15	閩帥問鼓山晏行者至菴	閩 帥 問 鼓 山 晏 行 者 至 菴 
X87n1620_001:0180c16	童子見鏡清俗士問靜上座	童 子 見 鏡 清 俗 士 問 靜 上 座 
X87n1620_001:0180c17	俗士獻畵障子老人參桐峰	俗 士 獻 畵 障 子 老 人 參 桐 峰 
X87n1620_001:0180c18	儒者謁南院牧主請風穴陞座	儒 者 謁 南 院 牧 主 請 風 穴 陞 座 
X87n1620_001:0180c19	提刑問璉三生工部問三交嵩	提 刑 問 璉 三 生 工 部 問 三 交 嵩 
X87n1620_001:0180c20	提刑問楊岐會俗士投五祖出家	提 刑 問 楊 岐 會 俗 士 投 五 祖 出 家 
X87n1620_001:0180c21	居士往五祖齋僧俗士問雲峰悅	居 士 往 五 祖 齋 僧 俗 士 問 雲 峰 悅 
X87n1620_001:0180c22	太守問九頂侍郎問九僊	太 守 問 九 頂 侍 郎 問 九 僊 
X87n1620_001:0180c23	益州辭知府巡檢問黃龍明	益 州 辭 知 府 巡 檢 問 黃 龍 明 
X87n1620_001:0180c24	俗士問歸仁官人問興陽	俗 士 問 歸 仁 官 人 問 興 陽 
X87n1620_001:0181a01	居士官人問天平居士問東山雲頂	居 士 官 人 問 天 平 居 士 問 東 山 雲 頂 
X87n1620_001:0181a02	童子上經洪塘橋官人問僧	童 子 上 經 洪 塘 橋 官 人 問 僧 
X87n1620_001:0181a03	賣鹽翁騎牛公子	賣 鹽 翁 騎 牛 公 子 
X87n1620_001:0181a04	跨驢人道流背佛而坐	跨 驢 人 道 流 背 佛 而 坐 
X87n1620_001:0181a05	行者向佛而唾魚浮水上	行 者 向 佛 而 唾 魚 浮 水 上 
X87n1620_001:0181a06	佛殿鴿子廣南國主出獵	佛 殿 鴿 子 廣 南 國 主 出 獵 
X87n1620_001:0181a07	官人入鎮州天王院官人作無鬼論	官 人 入 鎮 州 天 王 院 官 人 作 無 鬼 論 
X87n1620_001:0181a08	官人問無揀僧	官 人 問 無 揀 僧 
X87n1620_001:0181a10	先覺宗乘目錄(終)	先 覺 宗 乘 目 錄 終 
X87n1620_001:0181a16	先覺宗乘卷一	先 覺 宗 乘 卷 一 
X87n1620_001:0181a18	徑山語風老人　圓信　較定	徑 山 語 風 老 人 圓 信 較 定 
X87n1620_001:0181a19	無地地主人　郭凝之　彚編	無 地 地 主 人 郭 凝 之 彚 編 
X87n1620_001:0181a20	維摩大士	維 摩 大 士 
X87n1620_001:0181a21	維摩會上。三十二菩薩。各說不二法門。文殊曰。我於	維 摩 會 上 三 十 二 菩 薩 各 說 不二法門 文 殊 曰 我 於 
X87n1620_001:0181a22	一切法。無言無說。無示無識。離諸問答。是為菩薩入	一 切 法 無 言 無 說 無 示 無 識 離 諸 問 答 是 為 菩 薩 入 
X87n1620_001:0181a23	不二法門。於是文殊又問維摩。仁者當說。何等是菩	不二法門 於 是 文 殊 又 問 維 摩 仁 者 當 說 何 等 是 菩 
X87n1620_001:0181a24	薩入不二法門。維摩默然。文殊讚曰。乃至無有語言	薩 入 不二法門 維 摩 默 然 文 殊 讚 曰 乃 至 無 有 語 言 
X87n1620_001:0181b01	文字。是菩薩真入不二法門(雪竇舉此。至仁者當說何等是菩薩入不二法	文 字 是 菩 薩 真 入 不二法門 雪 竇 舉 此 至 仁 者 當 說 何 等 是 菩 薩 入 不 二 法 
X87n1620_001:0181b02	門。不舉維摩默然。便云。維摩道甚麼。又云。勘破了也。復頌云。咄這維摩老。悲生空懊惱。臥疾毗耶離。全身太枯	門 不 舉 維 摩 默 然 便 云 維 摩 道 甚 麼 又 云 勘 破 了 也 復 頌 云 咄 這 維 摩 老 悲 生 空 懊 惱 臥 疾 毗 耶 離 全 身 太 枯 
X87n1620_001:0181b03	槁。七佛祖師來。一室且頻掃。請問不二門。當時便靠倒。不靠倒。金毛獅子無處討。圜悟勤云。如今禪和子。便道	槁 七 佛 祖 師 來 一 室 且 頻 掃 請 問 不 二 門 當 時 便 靠 倒 不 靠 倒 金 毛 獅 子 無 處 討 圜 悟 勤 云 如 今 禪 和 子 便 道 
X87n1620_001:0181b04	無語是靠倒。且莫錯認定盤星　白雲端頌云。一箇兩箇百千萬。屈指尋文數不辦。暫時放在暗牕前。明日與	無 語 是 靠 倒 且 莫 錯 認 定 盤 星 白 雲 端 頌 云 一 箇 兩 箇 百 千 萬 屈 指 尋 文 數 不 辦 暫 時 放 在 暗 牕 前 明 日 與 
X87n1620_001:0181b05	君重計筭)。	君 重 計 筭 
X87n1620_001:0181b06	梁雙林善慧大士傅翕	梁 雙 林 善 慧 大 士 傅 翕 
X87n1620_001:0181b07	善慧大士者。婺州義烏縣人也。齊明帝建武四年丁	善 慧 大 士 者 婺 州 義 烏 縣 人 也 齊 明 帝 建 武 四 年 丁 
X87n1620_001:0181b08	丑。五月八日。降於雙林鄉傅宣慈家。本名翕。年十六	丑 五 月 八 日 降 於 雙 林 鄉 傅 宣 慈 家 本 名 翕 年 十 六 
X87n1620_001:0181b09	納劉氏女。名妙光。生普建普成二子。梁普通元年。年	納 劉 氏 女 名 妙 光 生 普 建 普 成 二 子 梁 普 通 元 年 年 
X87n1620_001:0181b10	二十四。與里人稽亭浦摝魚。獲已。沉籠水中。祝曰。去	二 十 四 與 里 人 稽 亭 浦 摝 魚 獲 已 沉 籠 水 中 祝 曰 去 
X87n1620_001:0181b11	者適。止者留。人或謂之愚。會有天竺僧嵩頭陀。引之	者 適 止 者 留 人 或 謂 之 愚 會 有 天 竺 僧 嵩 頭 陀 引 之 
X87n1620_001:0181b12	臨水觀影。見圓光寶葢。法從甚盛。翕笑而悟。乃至松	臨 水 觀 影 見 圓 光 寶 葢 法 從 甚 盛 翕 笑 而 悟 乃 至 松 
X87n1620_001:0181b13	山頂。結庵雙檮樹間。自號雙林善慧大士。種植蔬果。	山 頂 結 庵 雙 檮 樹 間 自 號 雙 林 善 慧 大 士 種 植 蔬 果 
X87n1620_001:0181b14	為人傭作。晝作夜歸。與妻敷演佛法。苦行七年。大士	為 人 傭 作 晝 作 夜 歸 與 妻 敷 演 佛 法 苦 行 七 年 大 士 
X87n1620_001:0181b15	欲導羣品。令弟子奉書詣闕。稱武帝為國主救世菩	欲 導 羣 品 令 弟 子 奉 書 詣 闕 稱 武 帝 為 國 主 救 世 菩 
X87n1620_001:0181b16	薩。帝預勅鎻門。以觀其意。大士袖出木槌一扣。諸門	薩 帝 預 勅 鎻 門 以 觀 其 意 大 士 袖 出 木 槌 一 扣 諸 門 
X87n1620_001:0181b17	盡開。直入見帝於善言殿上。御榻對語。帝問師事從	盡 開 直 入 見 帝 於 善 言 殿 上 御 榻 對 語 帝 問 師 事 從 
X87n1620_001:0181b18	誰。答曰。從無所從。師無所師。事無所事。大士三至京	誰 答 曰 從 無 所 從 師 無 所 師 事 無 所 事 大 士 三 至 京 
X87n1620_001:0181b19	師。以度道俗。不可數計。帝召見壽光殿。共論真諦。大	師 以 度 道 俗 不 可 數 計 帝 召 見 壽 光 殿 共 論 真 諦 大 
X87n1620_001:0181b20	士曰。息而不滅。帝請講金剛經。大士纔陞座。以尺揮	士 曰 息 而 不 滅 帝 請 講 金 剛 經 大 士 纔 陞 座 以 尺 揮 
X87n1620_001:0181b21	案一下。便下座。帝愕然。聖師曰。陛下還會麼。帝曰。不	案 一 下 便 下 座 帝 愕 然 聖 師 曰 陛 下 還 會 麼 帝 曰 不 
X87n1620_001:0181b22	會。聖師曰。大士講經竟。又一日講經次。帝至。眾皆起。	會 聖 師 曰 大 士 講 經 竟 又 一 日 講 經 次 帝 至 眾 皆 起 
X87n1620_001:0181b23	大士端坐不動。眾報聖駕臨此何不起。大士曰。法地	大 士 端 坐 不 動 眾 報 聖 駕 臨 此 何 不 起 大 士 曰 法 地 
X87n1620_001:0181b24	若動。一切不安。大士一日披衲頂冠靸履朝見。帝問。	若 動 一 切 不 安 大 士 一 日 披 衲 頂 冠 靸 履 朝 見 帝 問 
X87n1620_001:0181c01	是僧耶。大士以手指冠。是道耶。大士以手指履。是俗	是 僧 耶 大 士 以 手 指 冠 是 道 耶 大 士 以 手 指 履 是 俗 
X87n1620_001:0181c02	耶。大士以手指衲衣。陳宣帝大建元年入涅槃。壽七	耶 大 士 以 手 指 衲 衣 陳 宣 帝 大 建 元 年 入 涅 槃 壽 七 
X87n1620_001:0181c03	十三。甞著心王銘曰。觀心空王。玄妙難測。無形無相。	十 三 甞 著 心 王 銘 曰 觀 心 空 王 玄 妙 難 測 無 形 無 相 
X87n1620_001:0181c04	有大神力。能滅千災。成就萬德。體性雖空。能施法則。	有 大 神 力 能 滅 千 災 成 就 萬 德 體 性 雖 空 能 施 法 則 
X87n1620_001:0181c05	觀之無形。呼之有聲。為大法將。心戒傳經。水中鹽味。	觀 之 無 形 呼 之 有 聲 為 大 法 將 心 戒 傳 經 水 中 鹽 味 
X87n1620_001:0181c06	色裏膠青。決定是有。不見其形。心王亦爾。身內居停。	色 裏 膠 青 決 定 是 有 不 見 其 形 心 王 亦 爾 身 內 居 停 
X87n1620_001:0181c07	面門出入。應物隨情。自在無礙。所作皆成。了本識心。	面 門 出 入 應 物 隨 情 自在無礙 所 作 皆 成 了 本 識 心 
X87n1620_001:0181c08	識心見佛。是心是佛。是佛是心。念念佛心。佛心念佛。	識 心 見 佛 是 心 是 佛 是 佛 是 心 念 念 佛 心 佛 心 念 佛 
X87n1620_001:0181c09	欲得早成。戒心自律。淨律淨心。心即是佛。除此心王。	欲 得 早 成 戒 心 自 律 淨 律 淨 心 心 即 是 佛 除 此 心 王 
X87n1620_001:0181c10	更無別佛。欲求成佛。莫染一物。心性雖空。貪嗔體實。	更 無 別 佛 欲 求 成 佛 莫 染 一 物 心 性 雖 空 貪 嗔 體 實 
X87n1620_001:0181c11	入此法門。端坐成佛。到彼岸已。得波羅蜜。慕道真士。	入 此 法 門 端 坐 成 佛 到 彼 岸 已 得 波 羅 蜜 慕 道 真 士 
X87n1620_001:0181c12	自觀自心。知佛在內。不向外尋。即心即佛。即佛即心。	自 觀 自 心 知 佛 在 內 不 向 外 尋 即 心 即 佛 即 佛 即 心 
X87n1620_001:0181c13	心明識佛。曉了識心。離心非佛。離佛非心。非佛莫測。	心 明 識 佛 曉 了 識 心 離 心 非 佛 離 佛 非 心 非 佛 莫 測 
X87n1620_001:0181c14	無所堪任。執空滯寂。於此漂沉。諸佛菩薩。非此安心。	無 所 堪 任 執 空 滯 寂 於 此 漂 沉 諸佛菩薩 非 此 安 心 
X87n1620_001:0181c15	明心大士。悟此玄音。身心性妙。用無更改。是故智者。	明 心 大 士 悟 此 玄 音 身 心 性 妙 用 無 更 改 是 故 智 者 
X87n1620_001:0181c16	放心自在。莫言心王。空無體性。能使色身。作邪作正。	放 心 自 在 莫 言 心 王 空 無 體 性 能 使 色 身 作 邪 作 正 
X87n1620_001:0181c17	非有非無。隱顯不定。心性離空。能凡能聖。是故相勸。	非有非無 隱 顯 不 定 心 性 離 空 能 凡 能 聖 是 故 相 勸 
X87n1620_001:0181c18	好生防慎。剎那造作。還復漂沉。清淨心智。如世黃金。	好 生 防 慎 剎 那 造 作 還 復 漂 沉 清 淨 心 智 如 世 黃 金 
X87n1620_001:0181c19	般若法藏。並在身心。無為法寶。非淺非深。諸佛菩薩。	般 若 法 藏 並 在 身 心 無 為 法 寶 非 淺 非 深 諸佛菩薩 
X87n1620_001:0181c20	了此本心。有緣遇者。非去來今。有偈曰。夜夜抱佛眠。	了 此 本 心 有 緣 遇 者 非 去 來 今 有 偈 曰 夜 夜 抱 佛 眠 
X87n1620_001:0181c21	朝朝還共起。起坐鎮相隨。語默同居止。纖毫不相離。	朝 朝 還 共 起 起 坐 鎮 相 隨 語 默 同 居 止 纖 毫 不 相 離 
X87n1620_001:0181c22	如身影相似。欲識佛去處。祇這語聲是。(保寧勇云。大眾。傅大士此	如 身 影 相 似 欲 識 佛 去 處 祇 這 語 聲 是 保 寧 勇 云 大 眾 傅 大 士 此 
X87n1620_001:0181c23	頌。古今不墜。一切人知。向此瞥地者固多。錯會者不少。玄沙云。大小傅大士。只認得箇昭昭靈靈。洞山聰云。且	頌 古 今 不 墜 一 切 人 知 向 此 瞥 地 者 固 多 錯 會 者 不 少 玄 沙 云 大 小 傅 大 士 只 認 得 箇 昭 昭 靈 靈 洞 山 聰 云 且 
X87n1620_001:0181c24	道衲僧家。日裏還曾睡也無。此兩轉語。誰言世上無仙客。須信壺中別有天。保寧亦有一頌。要眠時即眠。要起	道 衲 僧 家 日 裏 還 曾 睡 也 無 此 兩 轉 語 誰 言 世 上 無 仙 客 須 信 壺 中 別 有 天 保 寧 亦 有 一 頌 要 眠 時 即 眠 要 起 
X87n1620_001:0182a01	時即起。水洗面皮光。啜茶濕却嘴。大海紅塵處。平地波濤起。呵呵阿呵呵。囉哩囉囉哩)又曰。空	時 即 起 水 洗 面 皮 光 啜 茶 濕 却 嘴 大 海 紅 塵 處 平 地 波 濤 起 呵 呵 阿 呵 呵 囉 哩 囉 囉 哩 又 曰 空 
X87n1620_001:0182a02	手把鋤頭。步行騎水牛。人從橋上過。橋流水不流。(斷橋	手 把 鋤 頭 步 行 騎 水 牛 人 從 橋 上 過 橋 流 水 不 流 斷 橋 
X87n1620_001:0182a03	倫頌云。狗走抖擻口。猴愁樓搜頭。瑞巖門外水。自古向西流)。(張無盡見皓布裩舉大士此頌。皓曰。此頌得法	倫 頌 云 狗 走 抖 擻 口 猴 愁 樓 搜 頭 瑞 巖 門 外 水 自 古 向 西 流 張 無 盡 見 皓 布 裩 舉 大 士 此 頌 皓 曰 此 頌 得 法 
X87n1620_001:0182a04	身邊事。頌不得法身向上事。無盡曰。請和尚頌。皓遂應聲頌曰。昨夜雨霶亨。打倒葡萄棚。知事普請。行者人力。	身 邊 事 頌 不 得 法 身 向 上 事 無 盡 曰 請 和 尚 頌 皓 遂 應 聲 頌 曰 昨 夜 雨 霶 亨 打 倒 葡 萄 棚 知 事 普 請 行 者 人 力 
X87n1620_001:0182a05	拄底拄撑底撑。撑撑拄拄到天明。依舊可憐生)又曰。有物先天地。無形本寂	拄 底 拄 撑 底 撑 撑 撑 拄 拄 到 天 明 依 舊 可 憐 生 又 曰 有 物 先 天 地 無 形 本 寂 
X87n1620_001:0182a06	寥。能為萬象主。不逐四時凋。	寥 能 為 萬 象 主 不 逐 四 時 凋 
X87n1620_001:0182a07	唐龐蘊居士(嗣法馬祖一)	唐 龐 蘊 居 士 嗣 法 馬 祖 一 
X87n1620_001:0182a08	囊州居士龐蘊。衡州衡陽縣人也。字道玄。世本儒業。	囊 州 居 士 龐 蘊 衡 州 衡 陽 縣 人 也 字 道 玄 世 本 儒 業 
X87n1620_001:0182a09	少悟塵勞。志求真諦。唐貞元初。謁石頭遷禪師。問不	少 悟 塵 勞 志 求 真 諦 唐 貞 元 初 謁 石 頭 遷 禪 師 問 不 
