T30n1569_001:0167c11	百論序	百 論 序 
T30n1569_001:0167c27	之訓釋。使沈隱之義。彰於徽翰。風味宣流。	之 訓 釋 使 沈 隱 之 義 彰 於 徽 翰 風 味 宣 流 
T30n1569_001:0167c28	被於來葉。文藻煥然。宗塗易曉。其為論也。	被 於 來 葉 文 藻 煥 然 宗 塗 易 曉 其 為 論 也 
T30n1569_001:0167c29	言而無當。破而無執。儻然靡據。而事	言 而 無 當 破 而 無 執 儻 然 靡 據 而 事 
T30n1569_001:0168a01	不失真。蕭焉無寄。而理自玄會。返本之	不 失 真 蕭 焉 無 寄 而 理 自 玄 會 返 本 之 
T30n1569_001:0168a02	道。著乎茲矣。有天竺沙門鳩摩羅什。器量	道 著 乎 茲 矣 有 天 竺 沙 門 鳩 摩 羅 什 器 量 
T30n1569_001:0168a03	淵弘。俊神超邈。鑽仰累年。轉不可測。常味	淵 弘 俊 神 超 邈 鑽 仰 累 年 轉 不 可 測 常 味 
T30n1569_001:0168a04	詠斯論。以為心要。先雖親譯。而方言未融。	詠 斯 論 以 為 心 要 先 雖 親 譯 而 方 言 未 融 
T30n1569_001:0168a05	至令思尋者。躊躇於謬文。摽位者。乖迕於	至 令 思 尋 者 躊 躇 於 謬 文 摽 位 者 乖 迕 於 
T30n1569_001:0168a06	歸致。大秦司隷校尉安成侯姚嵩。風韻清舒。	歸 致 大 秦 司 隷 校 尉 安 成 侯 姚 嵩 風 韻 清 舒 
T30n1569_001:0168a07	沖心簡勝。博涉內外。理思兼通。少好大道。	沖 心 簡 勝 博 涉 內 外 理 思 兼 通 少 好 大 道 
T30n1569_001:0168a08	長而彌篤。雖復形羈時務。而法言不輟。每	長 而 彌 篤 雖 復 形 羈 時 務 而 法 言 不 輟 每 
T30n1569_001:0168a09	撫茲文。所慨良多。以弘始六年歲次壽星。	撫 茲 文 所 慨 良 多 以 弘 始 六 年 歲 次 壽 星 
T30n1569_001:0168a10	集理味沙門。與什考挍正本。陶練覆疏。務	集 理 味 沙 門 與 什 考 挍 正 本 陶 練 覆 疏 務 
T30n1569_001:0168a11	存論旨。使質而不野。簡而必詣。宗致盡爾。	存 論 旨 使 質 而 不 野 簡 而 必 詣 宗 致 盡 爾 
T30n1569_001:0168a12	無間然矣。論凡二十品。品各五偈。後十品。	無 間 然 矣 論 凡 二 十 品 品 各 五 偈 後 十 品 
T30n1569_001:0168a13	其人以為無益此土。故闕而不傳。冀明識	其 人 以 為 無 益 此 土 故 闕 而 不 傳 冀 明 識 
T30n1569_001:0168a14	君子。詳而攬焉。	君 子 詳 而 攬 焉 
T30n1569_001:0168a18	百論卷上	百 論 卷 上 
T30n1569_001:0168a20	提婆菩薩造　婆藪開士釋	提 婆 菩 薩 造 婆 藪 開 士 釋 
T30n1569_001:0168a21	姚秦三藏鳩摩羅什譯	姚 秦 三 藏 鳩 摩 羅 什 譯 
T30n1569_001:0168a22	捨罪福品第一	捨 罪 福 品 第 一 
T30n1569_001:0168a23	　頂禮佛足哀世尊　　於無量劫荷眾苦	 頂禮佛足 哀 世 尊 於 無 量 劫 荷 眾 苦 
T30n1569_001:0168a24	　煩惱已盡習亦除　　梵釋龍神咸恭敬	 煩 惱 已 盡 習 亦 除 梵 釋 龍 神 咸 恭 敬 
T30n1569_001:0168a25	　亦禮無上照世法　　能淨瑕穢止戲論	 亦 禮 無 上 照 世 法 能 淨 瑕 穢 止 戲 論 
T30n1569_001:0168a26	　諸佛世尊之所說　　并及八輩應真僧	 諸佛世尊 之 所 說 并 及 八 輩 應 真 僧 
T30n1569_001:0168a27	外曰。偈言世尊之所說。何等是世尊。內曰。汝	外 曰 偈 言 世 尊 之 所 說 何 等 是 世 尊 內 曰 汝 
T30n1569_001:0168a28	何故生如是疑。外曰種種說世尊相故生	何 故 生 如 是 疑 外 曰 種 種 說 世 尊 相 故 生 
T30n1569_001:0168a29	疑。有人言。葦紐天(秦言遍勝天)名世尊。又言。	疑 有 人 言 葦 紐 天 秦 言 遍 勝 天 名 世 尊 又 言 
T30n1569_001:0168b01	摩醯首羅天(秦言大自在天)名世尊。又言。迦毘羅。	摩 醯 首 羅 天 秦 言 大 自 在 天 名 世 尊 又 言 迦 毘 羅 
T30n1569_001:0168b02	優樓迦。勒沙婆等仙人皆名世尊。汝何以獨	優 樓 迦 勒 沙 婆 等 仙 人 皆 名 世 尊 汝 何 以 獨 
T30n1569_001:0168b03	言佛為世尊。是故生疑。內曰。佛知諸法實	言 佛 為 世 尊 是 故 生 疑 內 曰 佛 知 諸 法 實 
T30n1569_001:0168b04	相。明了無礙。又能說深淨法。是故獨稱佛	相 明 了 無 礙 又 能 說 深 淨 法 是 故 獨 稱 佛 
T30n1569_001:0168b05	為世尊。外曰。諸餘導師亦能明了諸法相。	為 世 尊 外 曰 諸 餘 導 師 亦 能 明 了 諸 法 相 
T30n1569_001:0168b06	亦能說深淨法。如迦毘羅弟子。誦僧佉經。	亦 能 說 深 淨 法 如 迦 毘 羅 弟 子 誦 僧 佉 經 
T30n1569_001:0168b07	說諸善法總相別相。於二十五諦中。淨覺	說 諸 善 法 總 相 別 相 於 二十五諦 中 淨 覺 
T30n1569_001:0168b08	分。是名善法。優樓迦弟子。誦衛世師經。言	分 是 名 善 法 優 樓 迦 弟 子 誦 衛 世 師 經 言 
T30n1569_001:0168b09	於六諦。求那諦中。日三洗。再供養火等和	於 六 諦 求 那 諦 中 日 三 洗 再 供 養 火 等 和 
T30n1569_001:0168b10	合。生神分善法。勒沙婆弟子。誦尼乾子經	合 生 神 分 善 法 勒 沙 婆 弟 子 誦 尼 乾 子 經 
T30n1569_001:0168b11	言。五熱炙身。拔髮等受苦法。是名善法。又	言 五熱炙身 拔 髮 等 受 苦 法 是 名 善 法 又 
T30n1569_001:0168b12	有諸師。行自餓法。投淵赴火。自墜高巖。	有 諸 師 行 自 餓 法 投 淵 赴 火 自 墜 高 巖 
T30n1569_001:0168b13	寂默常立。持牛戒等。是名善法。如是等皆	寂 默 常 立 持 牛 戒 等 是 名 善 法 如 是 等 皆 
T30n1569_001:0168b14	是深淨法。何以言獨佛能說耶。內曰。是皆	是 深 淨 法 何 以 言 獨 佛 能 說 耶 內 曰 是 皆 
T30n1569_001:0168b15	邪見。覆正見故。不能說深淨法。是事後	邪 見 覆 正 見 故 不 能 說 深 淨 法 是 事 後 
T30n1569_001:0168b16	當廣說。外曰。佛說何等善法相。內曰。惡止	當 廣 說 外 曰 佛 說 何 等 善 法 相 內 曰 惡 止 
T30n1569_001:0168b17	善行法(修妬路)。佛略說善法二種。止相行相。息	善 行 法 修 妬 路 佛 略 說 善 法 二 種 止 相 行 相 息 
T30n1569_001:0168b18	一切惡。是名止相。修一切善。是名行相。	一 切 惡 是 名 止 相 修 一 切 善 是 名 行 相 
T30n1569_001:0168b19	何等為惡。身邪行。口邪行。意邪行。身殺	何 等 為 惡 身 邪 行 口 邪 行 意 邪 行 身 殺 
T30n1569_001:0168b20	盜婬。口妄言兩舌惡口綺語。意貪瞋惱邪見。	盜 婬 口 妄 言 兩 舌 惡 口 綺 語 意 貪 瞋 惱 邪 見 
T30n1569_001:0168b21	復有十不善道。所不攝鞭杖繫閉等。及	復 有 十 不 善 道 所 不 攝 鞭 杖 繫 閉 等 及 
T30n1569_001:0168b22	十不善道前後種種罪。是名為惡。何等為	十 不 善 道 前 後 種 種 罪 是 名 為 惡 何 等 為 
T30n1569_001:0168b23	止。息惡不作。若心生。若口語。若受戒。	止 息 惡 不 作 若 心 生 若 口 語 若 受 戒 
T30n1569_001:0168b24	從今日終不復作。是名為止。何等為善。	從 今 日 終 不 復 作 是 名 為 止 何 等 為 善 
T30n1569_001:0168b25	身正行。口正行。意正行。身迎送合掌。禮敬	身 正 行 口 正 行 意 正 行 身 迎 送 合 掌 禮 敬 
T30n1569_001:0168b26	等。口實語。和合語。柔軟語。利益語。意慈	等 口 實 語 和 合 語 柔 軟 語 利 益 語 意 慈 
T30n1569_001:0168b27	悲正見等。如是種種清淨法。是名善法。何	悲 正 見 等 如 是 種 種 清 淨 法 是 名 善 法 何 
T30n1569_001:0168b28	等為行。於是善法中。信受修習。是名為行。	等 為 行 於 是 善 法 中 信 受 修 習 是 名 為 行 
T30n1569_001:0168b29	外曰。汝經有過。初不吉故(修妬路)。諸師作	外 曰 汝 經 有 過 初 不 吉 故 修 妬 路 諸 師 作 
T30n1569_001:0168c01	經法。初說吉故。義味易解。法音流布。若智	經 法 初 說 吉 故 義 味 易 解 法 音 流 布 若 智 
T30n1569_001:0168c02	人讀誦念知。便得增壽威德尊重。如有經	人 讀 誦 念 知 便 得 增 壽 威 德 尊 重 如 有 經 
T30n1569_001:0168c03	名婆羅呵波帝(秦言廣主經)。如是經等。初皆言	名 婆 羅 呵 波 帝 秦 言 廣 主 經 如 是 經 等 初 皆 言 
T30n1569_001:0168c04	吉。以初吉故。中後亦吉。汝經初說惡故是	吉 以 初 吉 故 中 後 亦 吉 汝 經 初 說 惡 故 是 
T30n1569_001:0168c05	不吉。是以言汝經有過。內曰。不然。斷邪	不 吉 是 以 言 汝 經 有 過 內 曰 不 然 斷 邪 
T30n1569_001:0168c06	見故說是經(修妬路)。是吉。是不吉。此是邪見	見 故 說 是 經 修 妬 路 是 吉 是 不 吉 此 是 邪 見 
T30n1569_001:0168c07	氣。是故無過。復次無吉故(修妬路)。若少有吉。	氣 是 故 無 過 復 次 無 吉 故 修 妬 路 若 少 有 吉 
T30n1569_001:0168c08	經初應言吉。此實無吉。何以故。是一事。此	經 初 應 言 吉 此 實 無 吉 何 以 故 是 一 事 此 
T30n1569_001:0168c09	以為吉。彼以為不吉。或以為非吉非不吉。	以 為 吉 彼 以 為 不 吉 或 以 為 非 吉 非 不 吉 
T30n1569_001:0168c10	不定故無吉。汝愚人無方便。強欲求樂。妄	不 定 故 無 吉 汝 愚 人 無 方 便 強 欲 求 樂 妄 
T30n1569_001:0168c11	生憶想。言是事吉。是事不吉。復次自他共	生 憶 想 言 是 事 吉 是 事 不 吉 復 次 自 他 共 
T30n1569_001:0168c12	不可得故(修妬路)。是吉法不自生。何以故。無	不 可 得 故 修 妬 路 是 吉 法 不 自 生 何 以 故 無 
T30n1569_001:0168c13	有一法從自己生故。亦二相過故。一者生。	有 一 法 從 自 己 生 故 亦 二 相 過 故 一 者 生 
T30n1569_001:0168c14	二者能生。亦不從他生。自相無故。他相亦	二 者 能 生 亦 不 從 他 生 自 相 無 故 他 相 亦 
T30n1569_001:0168c15	無。復次無窮故。以生更有生故。亦不共生。	無 復 次 無 窮 故 以 生 更 有 生 故 亦 不 共 生 
T30n1569_001:0168c16	二俱過故。凡生法有三種。自他共。是三種	二 俱 過 故 凡 生 法 有 三 種 自 他 共 是 三 種 
T30n1569_001:0168c17	中。求不可得。是故無吉事。外曰。是吉自生	中 求不可得 是 故 無 吉 事 外 曰 是 吉 自 生 
T30n1569_001:0168c18	故如鹽(修妬路)。譬如鹽自性醎。能使餘物醎。吉	故 如 鹽 修 妬 路 譬 如 鹽 自 性 醎 能 使 餘 物 醎 吉 
T30n1569_001:0168c19	亦如是。自性吉。能使餘物吉。內曰。前已破	亦 如 是 自 性 吉 能 使 餘 物 吉 內 曰 前 已 破 
T30n1569_001:0168c20	故。亦鹽相鹽中住故(修妬路)。我先破無有法自	故 亦 鹽 相 鹽 中 住 故 修 妬 路 我 先 破 無 有 法 自 
T30n1569_001:0168c21	性生。復次汝意謂鹽從因緣出。是故鹽不	性 生 復 次 汝 意 謂 鹽 從 因 緣 出 是 故 鹽 不 
T30n1569_001:0168c22	自性醎。我不受汝語。今當還以汝語破汝	自 性 醎 我 不 受 汝 語 今 當 還 以 汝 語 破 汝 
T30n1569_001:0168c23	所說。鹽雖他物合。物不為鹽。鹽相鹽中住	所 說 鹽 雖 他 物 合 物 不 為 鹽 鹽 相 鹽 中 住 
T30n1569_001:0168c24	故。譬如牛相不為馬相。外曰。如燈(修妬路)。譬	故 譬 如 牛 相 不 為 馬 相 外 曰 如 燈 修 妬 路 譬 
T30n1569_001:0168c25	如燈既自照。亦能照他。吉亦如是。自吉亦	如 燈 既 自 照 亦 能 照 他 吉 亦 如 是 自 吉 亦 
T30n1569_001:0168c26	能令不吉者吉。內曰。燈自他無闇故(修妬路)。燈	能 令 不 吉 者 吉 內 曰 燈 自 他 無 闇 故 修 妬 路 燈 
T30n1569_001:0168c27	自無闇。何以故。明闇不並故。燈亦無能照。	自 無 闇 何 以 故 明 闇 不 並 故 燈 亦 無 能 照 
T30n1569_001:0168c28	不能照故。亦二相過故。一能照。二受照。是	不 能 照 故 亦 二 相 過 故 一 能 照 二 受 照 是 
T30n1569_001:0168c29	故燈不自照。所照之處亦無闇。是故不能	故 燈 不 自 照 所 照 之 處 亦 無 闇 是 故 不 能 
T30n1569_001:0169a01	照他。以破闇故名照。無闇可破故非照。	照 他 以 破 闇 故 名 照 無 闇 可 破 故 非 照 
T30n1569_001:0169a02	外曰。初生時二俱照故(修妬路)。我不言燈先生	外 曰 初 生 時 二 俱 照 故 修 妬 路 我 不 言 燈 先 生 
T30n1569_001:0169a03	而後照。初生時自照。亦能照他。內曰。不然。	而 後 照 初 生 時 自 照 亦 能 照 他 內 曰 不 然 
T30n1569_001:0169a04	一法有無相不可得故(修妬路)。初生時名半生。	一 法 有 無 相 不 可 得 故 修 妬 路 初 生 時 名 半 生 
T30n1569_001:0169a05	半未生。生不能照。如前說。何況未生能有	半 未 生 生 不 能 照 如 前 說 何 況 未 生 能 有 
T30n1569_001:0169a06	所照。復次一法云何亦有相亦無相。復次不	所 照 復 次 一 法 云 何 亦 有 相 亦 無 相 復 次 不 
T30n1569_001:0169a07	到闇故(修妬路)。燈若已生。若未生。俱不到闇。	到 闇 故 修 妬 路 燈 若 已 生 若 未 生 俱 不 到 闇 
T30n1569_001:0169a08	性相違故。燈若不到闇。云何能破闇。外曰。	性 相 違 故 燈 若 不 到 闇 云 何 能 破 闇 外 曰 
T30n1569_001:0169a09	如呪星故(修妬路)。若遙呪遠人能令惱。亦如	如 呪 星 故 修 妬 路 若 遙 呪 遠 人 能 令 惱 亦 如 
T30n1569_001:0169a10	星變在天。令人不吉。燈亦如是。雖不到	星 變 在 天 令 人 不 吉 燈 亦 如 是 雖 不 到 
T30n1569_001:0169a11	闇。而能破闇。內曰。太過實故(修妬路)。若燈有	闇 而 能 破 闇 內 曰 太 過 實 故 修 妬 路 若 燈 有 
T30n1569_001:0169a12	力不到闇。而能破闇者。何不天竺然燈。	力 不 到 闇 而 能 破 闇 者 何 不 天 竺 然 燈 
T30n1569_001:0169a13	破振旦闇。如呪星力能及遠。而燈事不	破 振 旦 闇 如 呪 星 力 能 及 遠 而 燈 事 不 
T30n1569_001:0169a14	爾。是故汝喻非也。復次若初吉餘不吉(修妬路)。	爾 是 故 汝 喻 非 也 復 次 若 初 吉 餘 不 吉 修 妬 路 
T30n1569_001:0169a15	若經初言吉。餘應不吉。若餘亦吉。汝言初	若 經 初 言 吉 餘 應 不 吉 若 餘 亦 吉 汝 言 初 
T30n1569_001:0169a16	吉者。是為妄語。外曰。初吉故餘亦吉(修妬路)。	吉 者 是 為 妄 語 外 曰 初 吉 故 餘 亦 吉 修 妬 路 
T30n1569_001:0169a17	初吉力故餘亦吉。內曰。不吉多故。吉為不	初 吉 力 故 餘 亦 吉 內 曰 不 吉 多 故 吉 為 不 
T30n1569_001:0169a18	吉(修妬路)。汝經初言吉。則多不吉。以不吉多	吉 修 妬 路 汝 經 初 言 吉 則 多 不 吉 以 不 吉 多 
T30n1569_001:0169a19	故。應吉為不吉。外曰。如象手(修妬路)。譬如象	故 應 吉 為 不 吉 外 曰 如 象 手 修 妬 路 譬 如 象 
T30n1569_001:0169a20	有手故名有手。不以有眼耳頭等。名為有	有 手 故 名 有 手 不 以 有 眼 耳 頭 等 名 為 有 
T30n1569_001:0169a21	眼耳頭。如是以少吉力故。令多不吉為吉。	眼 耳 頭 如 是 以 少 吉 力 故 令 多 不 吉 為 吉 
T30n1569_001:0169a22	內曰。不然無象過故(修妬路)。若象與手異。頭	內 曰 不 然 無 象 過 故 修 妬 路 若 象 與 手 異 頭 
T30n1569_001:0169a23	足等亦異。如是則無別象。若分中有分具	足 等 亦 異 如 是 則 無 別 象 若 分 中 有 分 具 
T30n1569_001:0169a24	者。何不頭中有足。如破異中說。若象與	者 何 不 頭 中 有 足 如 破 異 中 說 若 象 與 
T30n1569_001:0169a25	手不異者。亦無別象。若有分與分不異者。	手 不 異 者 亦 無 別 象 若 有 分 與 分 不 異 者 
T30n1569_001:0169a26	頭應是足。二事與象不異故。如破一中	頭 應 是 足 二 事 與 象 不 異 故 如 破 一 中 
T30n1569_001:0169a27	說。如是吉事。種種因緣求不可得。云何言	說 如 是 吉 事 種種因緣 求不可得 云 何 言 
T30n1569_001:0169a28	初吉故中後亦吉。外曰。惡止止妙。何不在	初 吉 故 中 後 亦 吉 外 曰 惡 止 止 妙 何 不 在 
T30n1569_001:0169a29	初。內曰。行者要先知惡。然後能止。是故先	初 內 曰 行 者 要 先 知 惡 然 後 能 止 是 故 先 
T30n1569_001:0169b01	惡後止。外曰。善行應在初。有妙果故(修妬路)。	惡 後 止 外 曰 善 行 應 在 初 有 妙 果 故 修 妬 路 
T30n1569_001:0169b02	諸善法有妙果。行者欲得妙果故止惡。如	諸 善 法 有 妙 果 行 者 欲 得 妙 果 故 止 惡 如 
T30n1569_001:0169b03	是應先說善行。後說惡止。內曰。次第法故。	是 應 先 說 善 行 後 說 惡 止 內 曰 次 第 法 故 
T30n1569_001:0169b04	先除麁垢。次除細垢。若行者不止惡。不能	先 除 麁 垢 次 除 細 垢 若 行 者 不 止 惡 不 能 
T30n1569_001:0169b05	修善。是故先除麁垢。後染善法。譬如浣	修 善 是 故 先 除 麁 垢 後 染 善 法 譬 如 浣 
T30n1569_001:0169b06	衣。先去垢然後可染。外曰。已說惡止。不	衣 先 去 垢 然 後 可 染 外 曰 已 說 惡 止 不 
T30n1569_001:0169b07	應復言善行。內曰。布施等善行故(修妬路)。布	應 復 言 善 行 內 曰 布 施 等 善 行 故 修 妬 路 布 
T30n1569_001:0169b08	施是善行。非是惡止。復次如大菩薩。惡已	施 是 善 行 非 是 惡 止 復 次 如 大 菩 薩 惡 已 
T30n1569_001:0169b09	先止。行四無量心。憐愍眾生。守護他命。是	先 止 行 四無量心 憐 愍 眾 生 守 護 他 命 是 
T30n1569_001:0169b10	則善行非止惡。外曰。布施是止慳法。是故布	則 善 行 非 止 惡 外 曰 布 施 是 止 慳 法 是 故 布 
T30n1569_001:0169b11	施應是止惡。內曰。不然。若不布施便是惡	施 應 是 止 惡 內 曰 不 然 若 不 布 施 便 是 惡 
T30n1569_001:0169b12	者。諸不布施悉應有罪。復次諸漏盡人慳貪	者 諸 不 布 施 悉 應 有 罪 復 次 諸 漏 盡 人 慳 貪 
T30n1569_001:0169b13	已盡。布施時止何惡。或有人雖行布施。慳	已 盡 布 施 時 止 何 惡 或 有 人 雖 行 布 施 慳 
T30n1569_001:0169b14	心不止。縱復能止。然以善行為本。是故布	心 不 止 縱 復 能 止 然 以 善 行 為 本 是 故 布 
T30n1569_001:0169b15	施是善行。外曰。已說善行。不應說惡止。	施 是 善 行 外 曰 已 說 善 行 不 應 說 惡 止 
T30n1569_001:0169b16	何以故。惡止即是善行故。內曰。止相息。行相	何 以 故 惡 止 即 是 善 行 故 內 曰 止 相 息 行 相 
T30n1569_001:0169b17	作。性相違故。是故說善行。不攝惡止。外曰。	作 性 相 違 故 是 故 說 善 行 不 攝 惡 止 外 曰 
T30n1569_001:0169b18	是事實爾。我不言惡止善行是一相。但惡止	是 事 實 爾 我 不 言 惡 止 善 行 是 一 相 但 惡 止 
T30n1569_001:0169b19	則是善法。是故若言善行。不應復言惡止。	則 是 善 法 是 故 若 言 善 行 不 應 復 言 惡 止 
T30n1569_001:0169b20	內曰。應說惡止善行。何以故。惡止名受戒	內 曰 應 說 惡 止 善 行 何 以 故 惡 止 名 受 戒 
T30n1569_001:0169b21	時息諸惡。善行名修習善法。若但說善行	時 息 諸 惡 善 行 名 修 習 善 法 若 但 說 善 行 
T30n1569_001:0169b22	福。不說惡止者。有人受戒惡止。若心不善。	福 不 說 惡 止 者 有 人 受 戒 惡 止 若 心 不 善 
T30n1569_001:0169b23	若心無記。是時不行善故。不應有福。是時	若 心 無 記 是 時 不 行 善 故 不 應 有 福 是 時 
T30n1569_001:0169b24	惡止故亦有福。是故應說惡止。亦應說善	惡 止 故 亦 有 福 是 故 應 說 惡 止 亦 應 說 善 
T30n1569_001:0169b25	行。是惡止善行法。隨眾生意故。佛三種分	行 是 惡 止 善 行 法 隨 眾 生 意 故 佛 三 種 分 
T30n1569_001:0169b26	別。下中上人施戒智(修妬路)。行者有三種。下智	別 下 中 上 人 施 戒 智 修 妬 路 行 者 有 三 種 下 智 
T30n1569_001:0169b27	人教布施。中智人教持戒。上智人教智慧。	人 教 布 施 中 智 人 教 持 戒 上 智 人 教 智 慧 
T30n1569_001:0169b28	布施名利益他捨財相應思。及起身口業持	布 施 名 利 益 他 捨 財 相 應 思 及 起 身 口 業 持 
T30n1569_001:0169b29	戒名若口語。若心生。若受戒。從今日不復	戒 名 若 口 語 若 心 生 若 受 戒 從 今 日 不 復 
T30n1569_001:0169c01	作三種身邪行。四種口邪行。智慧名諸法相	作 三 種 身 邪 行 四 種 口 邪 行 智 慧 名 諸 法 相 
T30n1569_001:0169c02	中。心定不動。何以說下中上。利益差降故。	中 心 定 不 動 何 以 說 下 中 上 利 益 差 降 故 
T30n1569_001:0169c03	布施者少利益。是名下智。持戒者中利益。是	布 施 者 少 利 益 是 名 下 智 持 戒 者 中 利 益 是 
T30n1569_001:0169c04	名中智。智慧者上利益。是名上智。復次施	名 中 智 智 慧 者 上 利 益 是 名 上 智 復 次 施 
T30n1569_001:0169c05	報下。戒報中。智報上。是故說下中上智。外	報 下 戒 報 中 智 報 上 是 故 說 下 中 上 智 外 
T30n1569_001:0169c06	曰。布施者皆是下智不。內曰。不然。何以故。	曰 布 施 者 皆 是 下 智 不 內 曰 不 然 何 以 故 
T30n1569_001:0169c07	施有二種。一者不淨。二者淨行。不淨施是	施 有 二 種 一 者 不 淨 二 者 淨 行 不 淨 施 是 
T30n1569_001:0169c08	名下智人。外曰。何等名不淨施。內曰。為報	名 下 智 人 外 曰 何 等 名 不 淨 施 內 曰 為 報 
T30n1569_001:0169c09	施是不淨。如市易故(修妬路)。報有二種。現報	施 是 不 淨 如 市 易 故 修 妬 路 報 有 二 種 現 報 
T30n1569_001:0169c10	後報。現報者。名稱敬愛等。後報者。後世富貴	後 報 現 報 者 名 稱 敬 愛 等 後 報 者 後 世 富 貴 
T30n1569_001:0169c11	等。是名不淨施。所以者何。還欲得故。譬如	等 是 名 不 淨 施 所以者何 還 欲 得 故 譬 如 
T30n1569_001:0169c12	賈客遠到他方。雖持雜物。多所饒益。然非	賈 客 遠 到 他 方 雖 持 雜 物 多 所 饒 益 然 非 
T30n1569_001:0169c13	憐愍眾生。以自求利故。是業不淨。布施求	憐 愍 眾 生 以 自 求 利 故 是 業 不 淨 布 施 求 
T30n1569_001:0169c14	報亦復如是。外曰。何等名淨施。內曰。若人	報 亦復如是 外 曰 何 等 名 淨 施 內 曰 若 人 
T30n1569_001:0169c15	愛敬利益他故。不求今世後世報。如眾菩	愛 敬 利 益 他 故 不 求 今 世 後 世 報 如 眾 菩 
T30n1569_001:0169c16	薩。及諸上人行清淨施。是名淨施。外曰。持	薩 及 諸 上 人 行 清 淨 施 是 名 淨 施 外 曰 持 
T30n1569_001:0169c17	戒皆是中智人不。內曰。不然。何以故。持戒	戒 皆 是 中 智 人 不 內 曰 不 然 何 以 故 持 戒 
T30n1569_001:0169c18	有二種。一者不淨。二者淨。不淨持戒者。名	有 二 種 一 者 不 淨 二 者 淨 不 淨 持 戒 者 名 
T30n1569_001:0169c19	中智人。外曰。何等不淨持戒。內曰。持戒求	中 智 人 外 曰 何 等 不 淨 持 戒 內 曰 持 戒 求 
T30n1569_001:0169c20	樂報。為婬欲故。如覆相(修妬路)。樂報有二	樂 報 為 婬 欲 故 如 覆 相 修 妬 路 樂 報 有 二 
T30n1569_001:0169c21	種。一者生天。二者人中富貴。若持戒求天	種 一 者 生 天 二 者 人 中 富 貴 若 持 戒 求 天 
T30n1569_001:0169c22	上。與天女娛樂。若人中受五欲樂。所以者	上 與 天 女 娛 樂 若 人 中 受 五 欲 樂 所 以 者 
T30n1569_001:0169c23	何。為婬欲故。如覆相者。內欲他色。外詐	何 為 婬 欲 故 如 覆 相 者 內 欲 他 色 外 詐 
T30n1569_001:0169c24	親善。是名不淨持戒。如阿難語難陀。	親 善 是 名 不 淨 持 戒 如 阿 難 語 難 陀 
T30n1569_001:0169c25	　如羝羊相觸　　將前而更却	 如 羝 羊 相 觸 將 前 而 更 却 
T30n1569_001:0169c26	　汝為欲持戒　　其事亦如是	 汝 為 欲 持 戒 其 事 亦 如 是 
T30n1569_001:0169c27	　身雖能持戒　　心為欲所牽	 身 雖 能 持 戒 心 為 欲 所 牽 
T30n1569_001:0169c28	　斯業不清淨　　何用是戒為	 斯 業 不 清 淨 何 用 是 戒 為 
T30n1569_001:0169c29	外曰。何等名淨持戒。內曰。行者作是念。一	外 曰 何 等 名 淨 持 戒 內 曰 行 者 作 是 念 一 
T30n1569_001:0170a01	切善法。戒為根本。持戒之人。則心不悔。不	切 善 法 戒 為 根 本 持 戒 之 人 則 心 不 悔 不 
T30n1569_001:0170a02	悔則歡喜。歡喜則心樂。心樂得一心一心	悔 則 歡 喜 歡 喜 則 心 樂 心 樂 得 一 心 一 心 
