X62n1197_001:0577c05	蓮宗必讀	蓮 宗 必 讀 
X62n1197_001:0578a02	告曰。汝今念佛。正是其時。當知念佛。諸法之王。慧日	告 曰 汝 今 念 佛 正 是 其 時 當 知 念 佛 諸 法 之 王 慧 日 
X62n1197_001:0578a03	感觀音亦云。汝當知淨土法門。勝過諸行。二大士皆	感 觀 音 亦 云 汝 當 知 淨 土 法 門 勝 過 諸 行 二 大 士 皆 
X62n1197_001:0578a04	法王長子。親口傳授念佛法門。殷勤如此。可不信哉。	法 王 長 子 親 口 傳 授 念 佛 法 門 殷 勤 如 此 可 不 信 哉 
X62n1197_001:0578a05	飛錫。永明。四明。慈照。優曇。天如。妙叶。楚石。幽溪等。乃	飛 錫 永 明 四 明 慈 照 優 曇 天 如 妙 叶 楚 石 幽 溪 等 乃 
X62n1197_001:0578a06	傳宗列祖。闡教聖師。皆撰文述偈。深勸往生。當細心	傳 宗 列 祖 闡 教 聖 師 皆 撰 文 述 偈 深 勸 往 生 當 細 心 
X62n1197_001:0578a07	玩味。而詳擇之。蕅益法師。每見學者。未識方隅。靡慚	玩 味 而 詳 擇 之 蕅 益 法 師 每 見 學 者 未 識 方 隅 靡 慚 
X62n1197_001:0578a08	濫吹。或云念佛散心無益。或云念佛須一心不亂。或	濫 吹 或 云 念 佛 散 心 無 益 或 云 念 佛 須 一心不亂 或 
X62n1197_001:0578a09	云念佛須參究是誰。詰其信願。毫無所知。可悲也夫。	云 念 佛 須 參 究 是 誰 詰 其 信 願 毫 無 所 知 可 悲 也 夫 
X62n1197_001:0578a10	如意珠王。遇此等人。而成瓦礫。以此故述信願持名	如 意 珠 王 遇 此 等 人 而 成 瓦 礫 以 此 故 述 信 願 持 名 
X62n1197_001:0578a11	歷九品說。行者宜勤覧之。又云。得生與否。全田信願	歷 九 品 說 行 者 宜 勤 覧 之 又 云 得 生 與 否 全 田 信 願 
X62n1197_001:0578a12	之有無。品位高下。全由持名之深淺。堅密云。一句彌	之 有 無 品 位 高 下 全 由 持 名 之 深 淺 堅 密 云 一 句 彌 
X62n1197_001:0578a13	陀。非大徹不能全提。而最愚亦無少欠。只貴一心受	陀 非 大 徹 不 能 全 提 而 最 愚 亦 無 少 欠 只 貴 一 心 受 
X62n1197_001:0578a14	持。甯羨依稀解悟。省庵云。暫持聖號。勝於布施百年。	持 甯 羨 依 稀 解 悟 省 庵 云 暫 持 聖 號 勝 於 布 施 百 年 
X62n1197_001:0578a15	一發大心。超過修行歷劫。徹悟云。淨土一門。最初省	一 發 大 心 超 過 修 行 歷 劫 徹 悟 云 淨 土 一 門 最 初 省 
X62n1197_001:0578a16	求悟門。末後不待發慧。不須懺業。不斷煩惱。至極省	求 悟 門 末 後 不 待 發 慧 不 須 懺 業 不 斷 煩 惱 至 極 省 
X62n1197_001:0578a17	要。至極徑捷。及其證入。至極廣大。至極究竟。故要解	要 至 極 徑 捷 及 其 證 入 至 極 廣 大 至 極 究 竟 故 要 解 
X62n1197_001:0578a18	云。一聲阿彌陀佛。即釋迦本師於五濁惡世所得之	云 一 聲 阿 彌 陀 佛 即 釋 迦 本 師 於 五濁惡世 所 得 之 
X62n1197_001:0578a19	阿耨多羅三藐三菩提法。今以此果覺。全體授與濁	阿耨多羅三藐三菩提 法 今 以 此 果 覺 全 體 授 與 濁 
X62n1197_001:0578a20	惡眾生。乃諸佛所行境界。唯佛與佛能究盡。非九界	惡 眾 生 乃 諸 佛 所 行 境 界 唯 佛 與 佛 能 究 盡 非 九 界 
X62n1197_001:0578a21	自力所能信解也。如上所述。咸遵佛祖誠言。非敢臆	自 力 所 能 信 解 也 如 上 所 述 咸 遵 佛 祖 誠 言 非 敢 臆 
X62n1197_001:0578a22	說。撮其詞明義顯最切要者。會成一冊。以便朝暮莊	說 撮 其 詞 明 義 顯 最 切 要 者 會 成 一 冊 以 便 朝 暮 莊 
X62n1197_001:0578a23	誦。刻刻提撕。如面聆法音。不敢疑貳。名之曰。蓮宗必	誦 刻 刻 提 撕 如 面 聆 法 音 不 敢 疑 貳 名 之 曰 蓮 宗 必 
X62n1197_001:0578a24	讀。余為障緣深重。濁智騰波。非專修一行。生死難脫。	讀 余 為 障 緣 深 重 濁 智 騰 波 非 專 修 一 行 生 死 難 脫 
X62n1197_001:0578b01	匪憑聖教。信願難階。況去聖時遙。邪風競起。正行之	匪 憑 聖 教 信 願 難 階 況 去 聖 時 遙 邪 風 競 起 正 行 之 
X62n1197_001:0578b02	人。多被惑亂。是故必讀此書。然後必生淨土。愧鄙見	人 多 被 惑 亂 是 故 必 讀 此 書 然 後 必 生 淨 土 愧 鄙 見 
X62n1197_001:0578b03	隘劣。焉敢公諸勝友。但自為鞭策。而作往生左券。敬	隘 劣 焉 敢 公 諸 勝 友 但 自 為 鞭 策 而 作 往 生 左 券 敬 
X62n1197_001:0578b04	摘諸文而謬為之序。戊辰仲春淨業弟子古崑謹集	摘 諸 文 而 謬 為 之 序 戊 辰 仲 春 淨 業 弟 子 古 崑 謹 集 
X62n1197_001:0578b05	　敬採佛祖誠實言　　成就往生決定信	 敬 採 佛 祖 誠 實 言 成 就 往 生 決 定 信 
X62n1197_001:0578b06	　普願法界諸眾生　　速脫輪迴生安養	 普 願 法 界 諸 眾 生 速 脫 輪 迴 生 安 養 
X62n1197_001:0578b07	　願我早登下下品　　免得娑婆受苦辛	 願 我 早 登 下 下 品 免 得 娑 婆 受 苦 辛 
X62n1197_001:0578b08	　待吾一見彌陀後　　盡未來際度羣生	 待 吾 一 見 彌 陀 後 盡未來際 度 羣 生 
X62n1197_001:0578b12	蓮宗必讀總目	蓮 宗 必 讀 總 目 
X62n1197_001:0578b13	佛說阿彌陀經無量壽經四十八願	佛 說 阿 彌 陀 經 無 量 壽 經 四 十 八 願 
X62n1197_001:0578b14	觀經九品觀章佛說五王八苦經	觀 經 九 品 觀 章 佛 說 五 王 八 苦 經 
X62n1197_001:0578b15	慈雲決疑行願二門智者大師十疑論	慈 雲 決 疑 行 願 二 門 智 者 大 師 十 疑 論 
X62n1197_001:0578b16	善導和尚專修法門法照大師感見文殊	善 導 和 尚 專 修 法 門 法 照 大 師 感 見 文 殊 
X62n1197_001:0578b17	慧日法師感見觀音飛錫法師高聲念佛	慧 日 法 師 感 見 觀 音 飛 錫 法 師 高 聲 念 佛 
X62n1197_001:0578b18	永明壽禪師(誡勿輕淨土)四明尊者勸念佛疏	永 明 壽 禪 師 誡 勿 輕 淨 土 四 明 尊 者 勸 念 佛 疏 
X62n1197_001:0578b19	慈照宗主勸發願偈優曇和尚蓮宗寶鑑	慈 照 宗 主 勸 發 願 偈 優 曇 和 尚 蓮 宗 寶 鑑 
X62n1197_001:0578b20	天如禪師淨土或問妙叶禪師念佛直指	天 如 禪 師 淨 土 或 問 妙 叶 禪 師 念 佛 直 指 
X62n1197_001:0578b21	楚石琦禪師淨土詩幽溪法師淨土法語	楚 石 琦 禪 師 淨 土 詩 幽 溪 法 師 淨 土 法 語 
X62n1197_001:0578b22	蕅益法師持名九品堅密大師淨要總序	蕅 益 法 師 持 名 九 品 堅 密 大 師 淨 要 總 序 
X62n1197_001:0578b23	省菴法師菩提心文徹悟禪師念佛法語	省 菴 法 師 菩 提 心 文 徹 悟 禪 師 念 佛 法 語 
X62n1197_001:0578c04	佛說阿彌陀經	佛 說 阿 彌 陀 經 
X62n1197_001:0578c05	姚秦三藏法師鳩摩羅什　譯	姚 秦 三藏法師 鳩 摩 羅 什 譯 
X62n1197_001:0578c06	如是我聞。一時佛在舍衛國祇樹給孤獨園。與大比	如是我聞 一 時 佛 在 舍 衛 國 祇 樹 給 孤 獨 園 與 大 比 
X62n1197_001:0578c07	丘僧。千二百五十人俱。皆是大阿羅漢眾所知識。長	丘 僧 千二百五十 人 俱 皆 是 大阿羅漢 眾 所 知 識 長 
X62n1197_001:0578c08	老舍利弗。摩訶目犍連。摩訶迦葉。摩訶迦旃延。摩訶	老 舍 利 弗 摩 訶 目 犍 連 摩 訶 迦 葉 摩 訶 迦 旃 延 摩 訶 
X62n1197_001:0578c09	俱絺羅。離婆多。周利槃陀伽。難陀。阿難陀。羅睺羅。憍	俱 絺 羅 離 婆 多 周利槃陀伽 難 陀 阿 難 陀 羅 睺 羅 憍 
X62n1197_001:0578c10	梵波提。賓頭盧頗羅墮。迦留陀夷。摩訶劫賓那。薄拘	梵 波 提 賓 頭 盧 頗 羅 墮 迦 留 陀 夷 摩 訶 劫 賓 那 薄 拘 
X62n1197_001:0578c11	羅。阿菟樓馱。如是等諸大弟子。并諸菩薩摩訶薩。文	羅 阿 菟 樓 馱 如 是 等 諸 大 弟 子 并 諸 菩薩摩訶薩 文 
X62n1197_001:0578c12	殊師利法王子。阿逸多菩薩。乾陀訶提菩薩。常精進	殊 師 利 法 王 子 阿 逸 多 菩 薩 乾 陀 訶 提 菩 薩 常 精 進 
X62n1197_001:0578c13	菩薩。與如是等諸大菩薩。及釋提桓因等。無量諸天	菩 薩 與 如 是 等 諸 大 菩 薩 及 釋提桓因 等 無 量 諸 天 
X62n1197_001:0578c14	大眾俱。爾時佛告長老舍利弗。從是西方過十萬億	大 眾 俱 爾 時 佛 告 長 老 舍 利 弗 從 是 西 方 過 十 萬 億 
X62n1197_001:0578c15	佛土。有世界名曰極樂。其土有佛。號阿彌陀。今現在	佛 土 有 世 界 名 曰 極 樂 其 土 有 佛 號 阿 彌 陀 今 現 在 
X62n1197_001:0578c16	說法。舍利弗。彼土何故名為極樂。其國眾生。無有眾	說 法 舍 利 弗 彼 土 何 故 名 為 極 樂 其 國 眾 生 無 有 眾 
X62n1197_001:0578c17	苦。但受諸樂。故名極樂。又舍利弗。極樂國土。七重欄	苦 但 受 諸 樂 故 名 極 樂 又 舍 利 弗 極樂國土 七 重 欄 
X62n1197_001:0578c18	楯。七重羅網。七重行樹。皆是四寶。周帀圍繞。是故彼	楯 七 重 羅 網 七重行樹 皆 是 四 寶 周 帀 圍 繞 是 故 彼 
X62n1197_001:0578c19	國。名為極樂。又舍利弗。極樂國土。有七寶地。八功德	國 名 為 極 樂 又 舍 利 弗 極樂國土 有 七 寶 地 八 功 德 
X62n1197_001:0578c20	水。充滿其中。池底純以金沙布地。四邊階道。金銀琉	水 充 滿 其 中 池 底 純 以 金 沙 布 地 四 邊 階 道 金 銀 琉 
X62n1197_001:0578c21	璃玻瓈合成。上有樓閣。亦以金銀琉璃玻瓈[王*車]璖赤	璃 玻 瓈 合 成 上 有 樓 閣 亦 以 金 銀 琉 璃 玻 瓈 [王車] 璖 赤 
X62n1197_001:0578c22	珠碼碯而嚴飾之。池中蓮華。大如車輪。青色青光。黃	珠 碼 碯 而 嚴 飾 之 池 中 蓮 華 大 如 車 輪 青 色 青 光 黃 
X62n1197_001:0578c23	色黃光。赤色赤光。白色白光。微妙香潔。舍利弗。極樂	色 黃 光 赤 色 赤 光 白 色 白 光 微 妙 香 潔 舍 利 弗 極 樂 
X62n1197_001:0578c24	國土。成就如是功德莊嚴。又舍利弗。彼佛國土。常作	國 土 成 就 如 是 功德莊嚴 又 舍 利 弗 彼 佛 國 土 常 作 
X62n1197_001:0579a01	天樂。黃金為地。晝夜六時。雨天曼陀羅華。其土眾生。	天 樂 黃 金 為 地 晝 夜 六 時 雨 天曼陀羅華 其 土 眾 生 
X62n1197_001:0579a02	常以清旦。各以衣裓。盛眾妙華。供養他方十萬億佛。	常 以 清 旦 各 以 衣 裓 盛 眾 妙 華 供 養 他 方 十 萬 億 佛 
X62n1197_001:0579a03	即以食時。還到本國。飯食經行。舍利弗。極樂國土。成	即 以 食 時 還 到 本 國 飯 食 經 行 舍 利 弗 極樂國土 成 
X62n1197_001:0579a04	就如是功德莊嚴。復次舍利弗。彼國常有種種奇妙	就 如 是 功德莊嚴 復 次 舍 利 弗 彼 國 常 有 種 種 奇 妙 
X62n1197_001:0579a05	雜色之鳥。白鶴。孔雀。鸚鵡。舍利。迦陵頻伽。共命之鳥。	雜 色 之 鳥 白 鶴 孔 雀 鸚 鵡 舍 利 迦陵頻伽 共 命 之 鳥 
X62n1197_001:0579a06	是諸眾鳥。晝夜六時。出和雅音。其音演暢五根。五力。	是 諸 眾 鳥 晝 夜 六 時 出 和 雅 音 其 音 演 暢 五 根 五 力 
X62n1197_001:0579a07	七菩提分。八聖道分。如是等法。其土眾生。聞是音已。	七菩提分 八 聖 道 分 如 是 等 法 其 土 眾 生 聞 是 音 已 
X62n1197_001:0579a08	皆悉念佛念法念僧。舍利弗。汝勿謂此鳥。實是罪報	皆 悉 念 佛 念 法 念 僧 舍 利 弗 汝 勿 謂 此 鳥 實 是 罪 報 
X62n1197_001:0579a09	所生。所以者何。彼佛國土。無三惡道。舍利弗。其佛國	所 生 所以者何 彼 佛 國 土 無 三 惡 道 舍 利 弗 其 佛 國 
X62n1197_001:0579a10	土。尚無惡道之名。何況有實。是諸眾鳥。皆是阿彌陀	土 尚 無 惡 道 之 名 何 況 有 實 是 諸 眾 鳥 皆 是 阿 彌 陀 
X62n1197_001:0579a11	佛欲令法音宣流。變化所作。舍利弗。彼佛國土。微風	佛 欲 令 法 音 宣 流 變 化 所 作 舍 利 弗 彼 佛 國 土 微 風 
X62n1197_001:0579a12	吹動諸寶行樹。及寶羅網。出微妙音。譬如百千種樂。	吹 動 諸 寶 行 樹 及 寶 羅 網 出 微 妙 音 譬 如 百 千 種 樂 
X62n1197_001:0579a13	同時俱作。聞是音者。自然皆生念佛念法念僧之心。	同 時 俱 作 聞 是 音 者 自 然 皆 生 念 佛 念 法 念 僧 之 心 
X62n1197_001:0579a14	舍利弗。其佛國土。成就如是功德莊嚴。舍利弗。於汝	舍 利 弗 其 佛 國 土 成 就 如 是 功德莊嚴 舍 利 弗 於 汝 
X62n1197_001:0579a15	意云何。彼佛何故號阿彌陀。舍利弗。彼佛光明無量。	意 云 何 彼 佛 何 故 號 阿 彌 陀 舍 利 弗 彼 佛 光 明 無 量 
X62n1197_001:0579a16	照十方國無所障礙。是故號為阿彌陀。又舍利弗。彼	照 十 方 國 無所障礙 是 故 號 為 阿 彌 陀 又 舍 利 弗 彼 
X62n1197_001:0579a17	佛壽命。及其人民。無量無邊阿僧祇劫。故名阿彌陀。	佛 壽 命 及 其 人 民 無量無邊 阿僧祇劫 故 名 阿 彌 陀 
X62n1197_001:0579a18	舍利弗。阿彌陀佛成佛已來。於今十劫。又舍利弗。彼	舍 利 弗 阿 彌 陀 佛 成佛已來 於 今 十 劫 又 舍 利 弗 彼 
X62n1197_001:0579a19	佛有無量無邊聲聞弟子。皆阿羅漢。非是算數之所	佛 有 無量無邊 聲聞弟子 皆 阿 羅 漢 非 是 算 數 之 所 
X62n1197_001:0579a20	能知。諸菩薩眾。亦復如是。舍利弗。彼佛國土。成就如	能 知 諸 菩 薩 眾 亦復如是 舍 利 弗 彼 佛 國 土 成 就 如 
X62n1197_001:0579a21	是功德莊嚴。又舍利弗。極樂國土。眾生生者。皆是阿	是 功德莊嚴 又 舍 利 弗 極樂國土 眾 生 生 者 皆 是 阿 
X62n1197_001:0579a22	鞞跋致。其中多有一生補處。其數甚多。非是算數所	鞞 跋 致 其 中 多 有 一生補處 其 數 甚 多 非 是 算 數 所 
X62n1197_001:0579a23	能知之。但可以無量無邊阿僧祇說。舍利弗。眾生聞	能 知 之 但 可 以 無量無邊 阿 僧 祇 說 舍 利 弗 眾 生 聞 
X62n1197_001:0579a24	者。應當發願。願生彼國。所以者何。得與如是諸上善	者 應 當 發 願 願 生 彼 國 所以者何 得 與 如 是 諸 上 善 
X62n1197_001:0579b01	人。俱會一處。舍利弗。不可以少善根福德因緣。得生	人 俱 會 一 處 舍 利 弗 不 可 以 少 善 根 福 德 因 緣 得 生 
X62n1197_001:0579b02	彼國。舍利弗。若有善男子。善女人。聞說阿彌陀佛。執	彼 國 舍 利 弗 若 有 善 男 子 善 女 人 聞 說 阿 彌 陀 佛 執 
X62n1197_001:0579b03	持名號。若一日。若二日。若三日。若四日。若五日。若六	持 名 號 若 一 日 若 二 日 若 三 日 若 四 日 若 五 日 若 六 
X62n1197_001:0579b04	日。若七日。一心不亂。其人臨命終時。阿彌陀佛。與諸	日 若 七 日 一心不亂 其 人 臨命終時 阿 彌 陀 佛 與 諸 
X62n1197_001:0579b05	聖眾。現在其前。是人終時。心不顛倒。即得往生阿彌	聖 眾 現 在 其 前 是 人 終 時 心 不 顛 倒 即 得 往 生 阿 彌 
X62n1197_001:0579b06	陀佛極樂國土。舍利弗。我見是利。故說此言。若有眾	陀 佛 極樂國土 舍 利 弗 我 見 是 利 故 說 此 言 若 有 眾 
X62n1197_001:0579b07	生。聞是說者。應當發願。生彼國土。舍利弗。如我今者。	生 聞 是 說 者 應 當 發 願 生 彼 國 土 舍 利 弗 如 我 今 者 
X62n1197_001:0579b08	讚歎阿彌陀佛不可思議功德之利。東方亦有阿閦	讚 歎 阿 彌 陀 佛 不可思議 功 德 之 利 東 方 亦 有 阿 閦 
X62n1197_001:0579b09	鞞佛。須彌相佛。大須彌佛。須彌光佛。妙音佛。如是等	鞞 佛 須 彌 相 佛 大 須 彌 佛 須 彌 光 佛 妙 音 佛 如 是 等 
X62n1197_001:0579b10	恒河沙數諸佛。各於其國。出廣長舌相。遍覆三千大	恒 河 沙 數 諸 佛 各 於 其 國 出 廣長舌相 遍 覆 三 千 大 
X62n1197_001:0579b11	千世界。說誠實言。汝等眾生。當信是稱讚不可思議	千 世 界 說 誠 實 言 汝 等 眾 生 當 信 是 稱 讚 不可思議 
X62n1197_001:0579b12	功德一切諸佛所護念經。舍利弗。南方世界有日月	功 德 一切諸佛 所 護 念 經 舍 利 弗 南 方 世 界 有 日 月 
X62n1197_001:0579b13	燈佛。名聞光佛。大燄肩佛。須彌燈佛。無量精進佛。如	燈 佛 名 聞 光 佛 大 燄 肩 佛 須 彌 燈 佛 無 量 精 進 佛 如 
X62n1197_001:0579b14	是等恒河沙數諸佛。各於其國。出廣長舌相。遍覆三	是 等 恒 河 沙 數 諸 佛 各 於 其 國 出 廣長舌相 遍 覆 三 
X62n1197_001:0579b15	千大千世界。說誠實言。汝等眾生。當信是稱讚不可	千 大千世界 說 誠 實 言 汝 等 眾 生 當 信 是 稱 讚 不 可 
X62n1197_001:0579b16	思議功德一切諸佛所護念經。舍利弗。西方世界有	思 議 功 德 一切諸佛 所 護 念 經 舍 利 弗 西 方 世 界 有 
X62n1197_001:0579b17	無量壽佛。無量相佛。無量幢佛。大光佛。大明佛。寶相	無 量 壽 佛 無 量 相 佛 無 量 幢 佛 大 光 佛 大 明 佛 寶 相 
X62n1197_001:0579b18	佛。淨光佛。如是等恒河沙數諸佛。各於其國。出廣長	佛 淨 光 佛 如 是 等 恒 河 沙 數 諸 佛 各 於 其 國 出 廣 長 
X62n1197_001:0579b19	舌相。遍覆三千大千世界。說誠實言。汝等眾生。當信	舌 相 遍 覆 三千大千世界 說 誠 實 言 汝 等 眾 生 當 信 
X62n1197_001:0579b20	是稱讚不可思議功德一切諸佛所護念經。舍利弗。	是 稱 讚 不可思議 功 德 一切諸佛 所 護 念 經 舍 利 弗 
X62n1197_001:0579b21	北方世界有燄肩佛。最勝音佛。難沮佛。日生佛。網明	北 方 世 界 有 燄 肩 佛 最 勝 音 佛 難 沮 佛 日 生 佛 網 明 
X62n1197_001:0579b22	佛。如是等恒河沙數諸佛。各於其國。出廣長舌相。遍	佛 如 是 等 恒 河 沙 數 諸 佛 各 於 其 國 出 廣長舌相 遍 
X62n1197_001:0579b23	覆三千大千世界。說誠實言。汝等眾生。當信是稱讚	覆 三千大千世界 說 誠 實 言 汝 等 眾 生 當 信 是 稱 讚 
X62n1197_001:0579b24	不可思議功德一切諸佛所護念經。舍利弗。下方世	不可思議 功 德 一切諸佛 所 護 念 經 舍 利 弗 下 方 世 
X62n1197_001:0579c01	界有師子佛。名聞佛。名光佛。達摩佛。法幢佛。持法佛。	界 有 師 子 佛 名 聞 佛 名 光 佛 達 摩 佛 法 幢 佛 持 法 佛 
X62n1197_001:0579c02	如是等恒河沙數諸佛。各於其國。出廣長舌相。遍覆	如 是 等 恒 河 沙 數 諸 佛 各 於 其 國 出 廣長舌相 遍 覆 
X62n1197_001:0579c03	三千大千世界。說誠實言。汝等眾生。當信是稱讚不	三千大千世界 說 誠 實 言 汝 等 眾 生 當 信 是 稱 讚 不 
X62n1197_001:0579c04	可思議功德一切諸佛所護念經。舍利弗。上方世界	可 思 議 功 德 一切諸佛 所 護 念 經 舍 利 弗 上 方 世 界 
X62n1197_001:0579c05	有梵音佛。宿王佛。香上佛。香光佛。大燄肩佛。雜色寶	有 梵 音 佛 宿 王 佛 香 上 佛 香 光 佛 大 燄 肩 佛 雜 色 寶 
X62n1197_001:0579c06	華嚴身佛。娑羅樹王佛。寶華德佛。見一切義佛。如須	華 嚴 身 佛 娑 羅 樹 王 佛 寶 華 德 佛 見 一 切 義 佛 如 須 
X62n1197_001:0579c07	彌山佛。如是等恒河沙數諸佛。各於其國。出廣長舌	彌 山 佛 如 是 等 恒 河 沙 數 諸 佛 各 於 其 國 出 廣 長 舌 
X62n1197_001:0579c08	相。遍覆三千大千世界。說誠實言。汝等眾生。當信是	相 遍 覆 三千大千世界 說 誠 實 言 汝 等 眾 生 當 信 是 
X62n1197_001:0579c09	稱讚不可思議功德一切諸佛所護念經。舍利弗。於	稱 讚 不可思議 功 德 一切諸佛 所 護 念 經 舍 利 弗 於 
X62n1197_001:0579c10	汝意云何。何故名為一切諸佛所護念經。舍利弗。若	汝意云何 何 故 名 為 一切諸佛 所 護 念 經 舍 利 弗 若 
X62n1197_001:0579c11	有善男子善女人。聞是經受持者。及聞諸佛名者。是	有 善 男 子 善 女 人 聞 是 經 受 持 者 及 聞 諸 佛 名 者 是 
X62n1197_001:0579c12	諸善男子善女人。皆為一切諸佛之所護念。皆得不	諸 善 男 子 善 女 人 皆 為 一切諸佛 之 所 護 念 皆 得 不 
X62n1197_001:0579c13	退轉於阿耨多羅三藐三菩提。是故舍利弗。汝等皆	退 轉 於 阿耨多羅三藐三菩提 是 故 舍 利 弗 汝 等 皆 
X62n1197_001:0579c14	當信受我語。及諸佛所說。舍利弗。若有人已發願。今	當 信 受 我 語 及 諸佛所說 舍 利 弗 若 有 人 已 發 願 今 
X62n1197_001:0579c15	發願。當發願。欲生阿彌陀佛國者。是諸人等。皆得不	發 願 當 發 願 欲 生 阿 彌 陀 佛 國 者 是 諸 人 等 皆 得 不 
X62n1197_001:0579c16	退轉於阿耨多羅三藐三菩提。於彼國土。若已生。若	退 轉 於 阿耨多羅三藐三菩提 於 彼 國 土 若 已 生 若 
X62n1197_001:0579c17	今生。若當生。是故舍利弗。諸善男子善女人。若有信	今 生 若 當 生 是 故 舍 利 弗 諸 善 男 子 善 女 人 若 有 信 
X62n1197_001:0579c18	者。應當發願生彼國土。舍利弗。如我今者。稱讚諸佛	者 應 當 發 願 生 彼 國 土 舍 利 弗 如 我 今 者 稱 讚 諸 佛 
X62n1197_001:0579c19	不可思議功德。彼諸佛等。亦稱讚我不可思議功德。	不可思議 功 德 彼 諸 佛 等 亦 稱 讚 我 不可思議 功 德 
X62n1197_001:0579c20	而作是言。釋迦牟尼佛。能為甚難希有之事。能於娑	而 作 是 言 釋 迦 牟 尼 佛 能 為 甚 難 希 有 之 事 能 於 娑 
X62n1197_001:0579c21	婆國土五濁惡世。劫濁見濁煩惱濁眾生濁命濁中。	婆 國 土 五濁惡世 劫 濁 見 濁 煩 惱 濁 眾 生 濁 命 濁 中 
X62n1197_001:0579c22	得阿耨多羅三藐三菩提。為諸眾生。說是一切世間	得阿耨多羅三藐三菩提 為 諸 眾 生 說 是 一切世間 
X62n1197_001:0579c23	難信之法。舍利弗。當知我於五濁惡世行此難事。得	難 信 之 法 舍 利 弗 當 知 我 於 五濁惡世 行 此 難 事 得 
X62n1197_001:0579c24	阿耨多羅三藐三菩提。為一切世間說此難信之法。	阿耨多羅三藐三菩提 為 一切世間 說 此 難 信 之 法 
X62n1197_001:0580a01	是為甚難。佛說此經已。舍利弗。及諸比丘。一切世間	是 為 甚 難 佛 說 此 經 已 舍 利 弗 及 諸 比 丘 一切世間 
X62n1197_001:0580a02	天人阿修羅等。聞佛所說。歡喜信受。作禮而去。	天 人 阿 修 羅 等 聞 佛 所 說 歡喜信受 作 禮 而 去 
