T85n2750_001:0189b24	法華經疏	法 華 經 疏 
T85n2750_001:0190a14	豈可畏加毀。惜身身命也。要藉此身。得通	豈 可 畏 加 毀 惜 身 身 命 也 要 藉 此 身 得 通 
T85n2750_001:0190a15	大法。故避走遠也。是故經言。不愛身命。但昔	大 法 故 避 走 遠 也 是 故 經 言 不 愛 身 命 但 昔 
T85n2750_001:0190a16	無上道也。第三臨欲終時。至三菩提。明不	無 上 道 也 第 三 臨 欲 終 時 至 三 菩 提 明 不 
T85n2750_001:0190a17	輕聞法華經。得六根清淨現報。更增壽命。廣	輕 聞 法 華 經 得 六 根 清 淨 現 報 更 增 壽 命 廣 
T85n2750_001:0190a18	為人說。增上慢者。信伏隨從。神通力者。六	為 人 說 增上慢者 信 伏 隨 從 神 通 力 者 六 
T85n2750_001:0190a19	根現報。樂說辨力者。為四眾說法華。萬善資	根 現 報 樂 說 辨 力 者 為 四 眾 說 法 華 萬 善 資 
T85n2750_001:0190a20	已。名為大善寂力也。菩薩伏化千萬億眾。	已 名 為 大善寂力 也 菩 薩 伏 化 千 萬 億 眾 
T85n2750_001:0190a21	住菩提者。位皆性地也。第四命終之後。至當	住 菩 提 者 位 皆 性 地 也 第 四 命終之後 至 當 
T85n2750_001:0190a22	得作佛者。三值佛故。同號日月燈明心也。無	得 作 佛 者 三 值 佛 故 同 號 日 月 燈 明 心 也 無 
T85n2750_001:0190a23	畏者。初依菩薩。離五怖畏也。第五於意云何。	畏 者 初 依 菩 薩 離 五 怖 畏 也 第 五 於意云何 
T85n2750_001:0190a24	至不退者是。會古今。得大勢彼時四眾以下。	至 不 退 者 是 會 古 今 得 大 勢 彼 時 四 眾 以 下 
T85n2750_001:0190a25	會弟子古今。由輕賤我故。言二百億劫常值	會 弟 子 古 今 由 輕 賤 我 故 言 二 百 億 劫 常 值 
T85n2750_001:0190a26	佛。千劫於阿鼻。受大苦惱者。若不值我。受	佛 千 劫 於 阿 鼻 受 大 苦 惱 者 若 不 值 我 受 
T85n2750_001:0190a27	苦無遍。由見我以。受苦有其畔濟。以道聖人	苦 無 遍 由 見 我 以 受 苦 有 其 畔 濟 以 道 聖 人 
T85n2750_001:0190a28	不作煩惱因緣。畢是罪已。復遇不輕。得性地	不 作 煩 惱 因 緣 畢 是 罪 已 復 遇 不 輕 得 性 地 
T85n2750_001:0190a29	解。故道得三菩提。得大勢四眾。豈異人乎以	解 故 道 得 三 菩 提 得 大 勢 四 眾 豈 異 人 乎 以 
T85n2750_001:0190b01	下。會弟子名字。第六得大勢。當知是法華經。	下 會 弟 子 名 字 第 六 得 大 勢 當 知 是 法 華 經 
T85n2750_001:0190b02	大饒諸菩薩。訖長行。勸令受持也。說偈重頌。	大 饒 諸 菩 薩 訖 長 行 勸 令 受 持 也 說 偈 重 頌 
T85n2750_001:0190b03	初一偈半。頌第一不輕行行之處。是佛滅後	初 一 偈 半 頌 第 一 不 輕 行 行 之 處 是 佛 滅 後 
T85n2750_001:0190b04	四偈。頌第二四眾與不輕作名字。時諸四眾。	四 偈 頌 第 二 四 眾 與 不 輕 作 名 字 時 諸 四 眾 
T85n2750_001:0190b05	計著法者。學小乘人。可有漸化之理。故言到	計 著 法 者 學 小 乘 人 可 有 漸 化 之 理 故 言 到 
T85n2750_001:0190b06	其所也。其罪畢已三偈頌第三六根現報。不	其 所 也 其 罪 畢 已 三 偈 頌 第 三 六 根 現 報 不 
T85n2750_001:0190b07	輕命終一偈半。頌第四值三佛。下五偈半。頌	輕 命 終 一 偈 半 頌 第 四 值 三 佛 下 五 偈 半 頌 
T85n2750_001:0190b08	第五會古今。億億萬劫以下。頌第六勸人受	第 五 會 古 今 億 億 萬 劫 以 下 頌 第 六 勸 人 受 
T85n2750_001:0190b09	持也。	持 也 
T85n2750_001:0190b10	如來神力品	如來神力 品 
T85n2750_001:0190b11	此品所以而來。上雖引證。未能取信。要須廣	此 品 所 以 而 來 上 雖 引 證 未 能 取 信 要 須 廣 
T85n2750_001:0190b12	現神變。表明大法。現在未來。皆有實益不	現 神 變 表 明 大 法 現在未來 皆 有 實 益 不 
T85n2750_001:0190b13	虛。欲不囑流通。所以來也。爾時千世界。從	虛 欲 不 囑 流 通 所 以 來 也 爾 時 千 世 界 從 
T85n2750_001:0190b14	地踴出者。上明聞如來。言我下方。自有恒河	地 踴 出 者 上 明 聞 如 來 言 我 下 方 自 有 恒 河 
T85n2750_001:0190b15	沙菩薩。自能受持。咸皆從地踴出。今者說法	沙 菩 薩 自 能 受 持 咸 皆 從 地 踴 出 今 者 說 法 
T85n2750_001:0190b16	既同。欲以此法。末代世中。流通法華。自行兼	既 同 欲 以 此 法 末 代 世 中 流 通 法 華 自 行 兼 
T85n2750_001:0190b17	人也。爾時世尊。於文殊師利。舊住大眾等	人 也 爾 時 世 尊 於 文 殊 師 利 舊 住 大 眾 等 
T85n2750_001:0190b18	前。現其神力。付囑流通也。此品大泮。有七	前 現 其 神 力 付 囑 流 通 也 此 品 大 泮 有 七 
T85n2750_001:0190b19	種神力。第一出廣長舌者。表明不談語相。上	種 神 力 第 一 出 廣 長 舌 者 表 明 不 談 語 相 上 
T85n2750_001:0190b20	來明因乘真實。一果長孝。明師及弟子。所	來 明 因 乘 真 實 一 果 長 孝 明 師 及 弟 子 所 
T85n2750_001:0190b21	得果報。上來所說。皆實不虛。所以出廣長舌。	得 果 報 上 來 所 說 皆 實 不 虛 所 以 出 廣 長 舌 
T85n2750_001:0190b22	上至梵世者。通化之處故也。第二一切毛孔。	上 至 梵 世 者 通 化 之 處 故 也 第 二 一 切 毛 孔 
T85n2750_001:0190b23	放無數色光者。欲明大乘之道。善無不積德	放 無 數 色 光 者 欲 明 大 乘 之 道 善 無 不 積 德 
T85n2750_001:0190b24	無不備表明一乘具足之理。欲使四依。未來	無 不 備 表 明 一 乘 具 足 之 理 欲 使 四 依 未 來 
T85n2750_001:0190b25	於彼有緣經因。開其惠目。照事法相。已如	於 彼 有 緣 經 因 開 其 惠 目 照 事 法 相 已 如 
T85n2750_001:0190b26	似因光照於萬像。故放無數色光也。教化十	似 因 光 照 於 萬 像 故 放 無 數 色 光 也 教 化 十 
T85n2750_001:0190b27	方人等。故遍照十方也。分身諸佛。出廣長舌	方 人 等 故 遍照十方 也 分 身 諸 佛 出 廣 長 舌 
T85n2750_001:0190b28	者。證理是一。皆表不望語相。第三一時磬	者 證 理 是 一 皆 表 不 望 語 相 第 三 一 時 磬 
T85n2750_001:0190b29	咳者。明道自昔以來。但說三乘。一乘離隔。在	咳 者 明 道 自 昔 以 來 但 說 三 乘 一 乘 離 隔 在 
T85n2750_001:0190c01	於凶衿。今日時中。大理得障。本意得暢也。第	於 凶 衿 今 日 時 中 大 理 得 障 本 意 得 暢 也 第 
T85n2750_001:0190c02	四俱供彈指者。明昔日以來。設有所說。皆契	四 俱 供 彈 指 者 明 昔 日 以 來 設 有 所 說 皆 契 
T85n2750_001:0190c03	當法法相也。是二音聲遍至十方者通化之	當 法 法 相 也 是 二 音 聲 遍 至 十 方 者 通 化 之 
T85n2750_001:0190c04	處也。第五動地者。地本剛鑛難動。欲明像正	處 也 第 五 動 地 者 地 本 剛 鑛 難 動 欲 明 像 正 
T85n2750_001:0190c05	中人。煩惱剛鑛。喻若於地。欲使二依。未作	中 人 煩 惱 剛 鑛 喻 若 於 地 欲 使 二 依 未 作 
T85n2750_001:0190c06	流通以大乘柔伏喻除其三毒。故動地應之。	流 通 以 大 乘 柔 伏 喻 除 其 三 毒 故 動 地 應 之 
T85n2750_001:0190c07	豫現柔軟之拔也。欲使他方八部。以佛神力。	豫 現 柔 軟 之 拔 也 欲 使 他 方 八 部 以佛神力 
T85n2750_001:0190c08	皆使遙見娑婆淨土。見諸佛及以四眾也。即	皆 使 遙 見 娑 婆 淨 土 見 諸 佛 及 以 四 眾 也 即 
T85n2750_001:0190c09	時諸天。於虛空中唱言以下。所以唱告者。今	時 諸 天 於 虛 空 中 唱 言 以 下 所 以 唱 告 者 今 
T85n2750_001:0190c10	若不使十方眾生。識諸佛名字。及以國土。二	若 不 使 十 方 眾 生 識 諸 佛 名 字 及 以 國 土 二 
T85n2750_001:0190c11	依未來道化。何能取信。故先唱告。使識諸佛	依 未 來 道 化 何 能 取 信 故 先 唱 告 使 識 諸 佛 
T85n2750_001:0190c12	名字。及以國土。二依未來流通。聞音都障。	名 字 及 以 國 土 二 依 未 來 流 通 聞 音 都 障 
T85n2750_001:0190c13	靡不從順也。彼諸眾生聞空中聲已。合掌向	靡 不 從 順 也 彼 諸 眾 生 聞 空 中 聲 已 合 掌 向 
T85n2750_001:0190c14	娑婆者。明十方頓首。理可欽敬。故重歸命。稱	娑 婆 者 明 十 方 頓 首 理 可 欽 敬 故 重 歸 命 稱 
T85n2750_001:0190c15	南無釋迦也。第六所散諸物以下。變成寶帳	南 無 釋 迦 也 第 六 所 散 諸 物 以 下 變 成 寶 帳 
T85n2750_001:0190c16	者。如來遂其人意。蓋合為一欲明萬善之因。	者 如 來 遂 其 人 意 蓋 合 為 一 欲 明 萬 善 之 因 
T85n2750_001:0190c17	歸一果也。亦欲使二依諸人。未來弘通大乘。	歸 一 果 也 亦 欲 使 二 依 諸 人 未 來 弘 通 大 乘 
T85n2750_001:0190c18	十方同行也。第七是時十方世界。如一佛土	十 方 同 行 也 第 七 是 時 十方世界 如 一 佛 土 
T85n2750_001:0190c19	者。欲明十方諸佛。法輪道同。理處唯一也。爾	者 欲 明 十方諸佛 法 輪 道 同 理 處 唯 一 也 爾 
T85n2750_001:0190c20	時佛告上行菩以下。明經理深重。付囑二依。	時 佛 告 上 行 菩 以 下 明 經 理 深 重 付 囑 二 依 
T85n2750_001:0190c21	若我以是神力。於阿僧祇劫。為囑累故。說是	若 我 以 是 神 力 於 阿僧祇劫 為 囑 累 故 說 是 
T85n2750_001:0190c22	經功德。曾不能盡明。法華大乘。理處無量何	經 功 德 曾 不 能 盡 明 法 華 大 乘 理 處 無 量 何 
T85n2750_001:0190c23	可具說。以要言之者。文簡而理收。為要言也。	可 具 說 以要言之 者 文 簡 而 理 收 為 要 言 也 
T85n2750_001:0190c24	如來所有一切之法以者。自上以來。明破三	如 來 所有一切 之 法 以 者 自 上 以 來 明 破 三 
T85n2750_001:0190c25	歸一。萬善同歸。大乘之道也。自在神通之力	歸 一 萬 善 同 歸 大 乘 之 道 也 自 在 神 通 之 力 
T85n2750_001:0190c26	者。即是觀彼久遠。由若今日也。祕密之藏	者 即 是 觀 彼 久 遠 由 若 今 日 也 祕密之藏 
T85n2750_001:0190c27	者。明此經自昔以來。隱而不彰。名祕密。功	者 明 此 經 自 昔 以 來 隱 而 不 彰 名 祕 密 功 
T85n2750_001:0190c28	德積聚名。如來一切甚深之事者。常住理	德 積 聚 名 如 來 一 切 甚 深 之 事 者 常 住 理 
T85n2750_001:0190c29	深。顯在此經。故言甚深藏也。亦言我淨土不	深 顯 在 此 經 故 言 甚 深 藏 也 亦 言 我 淨 土 不 
T85n2750_001:0191a01	毀。而不見燒盡。皆指此法華經。宜示顯說。	毀 而 不 見 燒 盡 皆 指 此 法 華 經 宜 示 顯 說 
T85n2750_001:0191a02	汝等於如來滅後以下。勸二依人。受持如說	汝 等 於 如來滅後 以 下 勸 二 依 人 受 持 如 說 
T85n2750_001:0191a03	修行。若其經所住之處。皆應起塔供養者。明	修 行 若 其 經 所 住 之 處 皆 應 起 塔 供 養 者 明 
T85n2750_001:0191a04	理深故也。所以者何。下釋明經理深重。當知	理 深 故 也 所以者何 下 釋 明 經 理 深 重 當 知 
T85n2750_001:0191a05	道場者。此經是諸佛之母。由之得佛也。道場	道 場 者 此 經 是 諸 佛 之 母 由 之 得 佛 也 道 場 
T85n2750_001:0191a06	者。是得道之處。由此經故。能斷其惑得。一切	者 是 得 道 之 處 由 此 經 故 能 斷 其 惑 得 一 切 
T85n2750_001:0191a07	智。故言是處即是道場。諸佛於此經中。修學	智 故 言 是 處 即 是 道 場 諸 佛 於 此 經 中 修 學 
T85n2750_001:0191a08	道成正覺也。欲以法道照天下。不欲獨善一	道 成 正 覺 也 欲 以 法 道 照 天 下 不 欲 獨 善 一 
T85n2750_001:0191a09	已。故言請佛於此。轉於法輪。緣盡則化滅。故	已 故 言 請 佛 於 此 轉於法輪 緣 盡 則 化 滅 故 
T85n2750_001:0191a10	諸佛於此。而般涅槃。自下說偈。初四偈。頌	諸 佛 於 此 而 般 涅 槃 自 下 說 偈 初 四 偈 頌 
T85n2750_001:0191a11	七種神力之事。上直明歎經理深重。自下有	七 種 神 力 之 事 上 直 明 歎 經 理 深 重 自 下 有 
T85n2750_001:0191a12	十二偈。人以歎法。何以得知。經文言。囑累	十 二 偈 人 以 歎 法 何 以 得 知 經 文 言 囑 累 
T85n2750_001:0191a13	是經故。歎美持經者。故知。就人歎經也。	是 經 故 歎 美 持 經 者 故 知 就 人 歎 經 也 
T85n2750_001:0191a14	囑累品	囑 累 品 
T85n2750_001:0191a15	此品所以而來。上明師及弟子所得果報。引	此 品 所 以 而 來 上 明 師 及 弟 子 所 得 果 報 引 
T85n2750_001:0191a16	證分明。現其神力。明經深重。欲以此法委之	證 分 明 現 其 神 力 明 經 深 重 欲 以 此 法 委 之 
T85n2750_001:0191a17	二依。摩頂付囑。故所以來也。自下正明付囑	二 依 摩 頂 付 囑 故 所 以 來 也 自 下 正 明 付 囑 
T85n2750_001:0191a18	二依。末代流通。像正中人。要假二依。已為匠	二 依 末 代 流 通 像 正 中 人 要 假 二 依 已 為 匠 
T85n2750_001:0191a19	主。行得成就。事相之中。似若供相勞累。故	主 行 得 成 就 事 相 之 中 似 若 供 相 勞 累 故 
T85n2750_001:0191a20	言囑累。理而言之應名囑利。所以然者。明二	言 囑 累 理 而 言 之 應 名 囑 利 所 以 然 者 明 二 
T85n2750_001:0191a21	依像正流通。匠導化物□已萬行得成。有此	依 像 正 流 通 匠 導 化 物 已 萬 行 得 成 有 此 
T85n2750_001:0191a22	大利。應名囑利也。所以然者。二依□□□以	大 利 應 名 囑 利 也 所 以 然 者 二 依 以 
T85n2750_001:0191a23	右手摩無量菩薩頂者。明理甚深故。如摩頂	右 手 摩 無 量 菩 薩 頂 者 明 理 甚 深 故 如 摩 頂 
T85n2750_001:0191a24	勸人。如是慇勤至三。我於無量阿僧祇劫。修	勸 人 如 是 慇 勤 至 三 我 於 無量阿僧祇劫 修 
T85n2750_001:0191a25	集是難得無上菩提法。今以付囑汝等。汝等	集 是 難 得 無上菩提 法 今 以 付 囑 汝 等 汝 等 
T85n2750_001:0191a26	應末代流通。自行兼人。隨緣施化。廣作利	應 末 代 流 通 自 行 兼 人 隨 緣 施 化 廣 作 利 
T85n2750_001:0191a27	益。令一切眾生。普得聞知。所以者何下。釋所	益 令 一 切 眾 生 普 得 聞 知 所以者何 下 釋 所 
T85n2750_001:0191a28	勸汝者。何明如來有大慈悲。慈本與樂至極。	勸 汝 者 何 明 如 來 有 大 慈 悲 慈 本 與 樂 至 極 
T85n2750_001:0191a29	悲能拔苦盡原。故言有大慈悲。每歎與人。無	悲 能 拔 苦 盡 原 故 言 有 大 慈 悲 每 歎 與 人 無 
T85n2750_001:0191b01	說慳悋。更何所惠也。能與眾生。大乘佛之智	說 慳 悋 更 何 所 惠 也 能 與 眾 生 大 乘 佛 之 智 
T85n2750_001:0191b02	惠也。如來是一切之大施主者。施中最極。莫	惠 也 如 來 是 一 切 之 大 施 主 者 施 中 最 極 莫 
T85n2750_001:0191b03	過大乘。故言是施主也。汝等亦應隨學如來。	過 大 乘 故 言 是 施 主 也 汝 等 亦 應 隨 學 如 來 
T85n2750_001:0191b04	勿以慳悋。以法付之。應仿而成。須懃修行之。	勿 以 慳 悋 以 法 付 之 應 仿 而 成 須 懃 修 行 之 
T85n2750_001:0191b05	於未來世。若有善男子等。有大乘幾根。信如	於未來世 若 有 善 男 子 等 有 大 乘 幾 根 信 如 
T85n2750_001:0191b06	知惠者。當為廣說是法華經。若眾生不信受	知 惠 者 當 為 廣 說 是 法 華 經 若 眾 生 不 信 受 
T85n2750_001:0191b07	者。當於如來餘深法中。何者是餘深法。二乘	者 當 於 如 來 餘 深 法 中 何 者 是 餘 深 法 二 乘 
T85n2750_001:0191b08	是大乘家餘。為說二乘。示教利喜也。汝等若	是 大 乘 家 餘 為 說 二 乘 示 教 利 喜 也 汝 等 若 
T85n2750_001:0191b09	能如是。則已報諸佛之恩也。明釋迦分身。及	能 如 是 則 已 報 諸 佛 之 恩 也 明 釋 迦 分 身 及 
T85n2750_001:0191b10	以多寶。三佛之意。正使流通大法。彼能流通。	以 多 寶 三 佛 之 意 正 使 流 通 大 法 彼 能 流 通 
T85n2750_001:0191b11	則稱三佛意。故言。則為已報諸佛之恩。自下	則 稱 三 佛 意 故 言 則 為 已 報 諸 佛 之 恩 自 下 
T85n2750_001:0191b12	明師□慇懃。至為第三。弟子之法。亦須領受	明 師 慇 懃 至 為 第 三 弟 子 之 法 亦 須 領 受 
T85n2750_001:0191b13	至三。唯然世尊。則不有慮。即受之辭也。上來	至 三 唯 然 世 尊 則 不 有 慮 即 受 之 辭 也 上 來 
T85n2750_001:0191b14	明因果理周。付囑流通。自下唱隨意。分身	明 因 果 理 周 付 囑 流 通 自 下 唱 隨 意 分 身 
T85n2750_001:0191b15	諸佛。及以多寶。大眾各隨所安。雖唱隨意。	諸 佛 及 以 多 寶 大 眾 各 隨 所 安 雖 唱 隨 意 
T85n2750_001:0191b16	由未離坐。普賢品末。方去之耳。何以得知。藥	由 未 離 坐 普 賢 品 末 方 去 之 耳 何 以 得 知 藥 
T85n2750_001:0191b17	王品。讚嘆宿王。故知未去也。	王 品 讚 嘆 宿 王 故 知 未 去 也 
T85n2750_001:0191b18	藥王本事品	藥 王 本 事 品 
T85n2750_001:0191b19	此品所以而來。上如來摩頂付囑。四依領受。	此 品 所 以 而 來 上 如 來 摩 頂 付 囑 四 依 領 受 
T85n2750_001:0191b20	訖在於上。自下六品。流通方軌。上言因藥王	訖 在 於 上 自 下 六 品 流 通 方 軌 上 言 因 藥 王 
T85n2750_001:0191b21	告八萬大士。未知其人有備何德行。所以因	告 八 萬 大 士 未 知 其 人 有 備 何 德 行 所 以 因 
T85n2750_001:0191b22	之明。藥王昔日有此苦行之德亡身取法。勘	之 明 藥 王 昔 日 有 此 苦 行 之 德 亡 身 取 法 勘 
T85n2750_001:0191b23	能弘經。是以因之也。自下明藥王本流通之	能 弘 經 是 以 因 之 也 自 下 明 藥 王 本 流 通 之 
T85n2750_001:0191b24	事。故名本事品也。此品凡有三意。一者明	事 故 名 本 事 品 也 此 品 凡 有 三 意 一 者 明 
T85n2750_001:0191b25	藥王上依之人彌劫苦行。捨身燒臂。弘通大	藥 王 上 依 之 人 彌 劫 苦 行 捨 身 燒 臂 弘 通 大 
T85n2750_001:0191b26	乘。此是流通方軌。二欲使諸小菩薩。則而行	乘 此 是 流 通 方 軌 二 欲 使 諸 小 菩 薩 則 而 行 
T85n2750_001:0191b27	之。三為一段。諸人德道也。就此品中。可有十	之 三 為 一 段 諸 人 德 道 也 就 此 品 中 可 有 十 
T85n2750_001:0191b28	二段經文。第一明宿王華。問藥王苦行之處。	二 段 經 文 第 一 明 宿 王 華 問 藥 王 苦 行 之 處 
T85n2750_001:0191b29	欲列八部三乘人也。佛答劫數久近。佛之名	欲 列 八 部 三 乘 人 也 佛 答 劫 數 久 近 佛 之 名 
T85n2750_001:0191c01	號。先明行行之處也第二爾時彼佛以下。為	號 先 明 行 行 之 處 也 第 二 爾 時 彼 佛 以 下 為 
T85n2750_001:0191c02	說法華。第三既聞法已。於中修行□德三昧。	說 法 華 第 三 既 聞 法 已 於 中 修 行 德 三 昧 
T85n2750_001:0191c03	第四即作是念以下。明欲報經佛恩。即入三	第 四 即 作 是 念 以 下 明 欲 報 經 佛 恩 即 入 三 
T85n2750_001:0191c04	昧。而香華以供養佛。雖以神力供養。未表虔	昧 而 香 華 以 供 養 佛 雖 以 神 力 供 養 未 表 虔 
T85n2750_001:0191c05	恭之心。單成之至。以身供養。即服諸香。使內	恭 之 心 單 成 之 至 以 身 供 養 即 服 諸 香 使 內 
T85n2750_001:0191c06	外俱香也。以神通願力。而自然身。不由水火	外 俱 香 也 以 神 通 願 力 而 自 然 身 不 由 水 火 
T85n2750_001:0191c07	也。光明遍照。諸佛讚歎。是名真法供養。身	也 光明遍照 諸 佛 讚 歎 是 名 真 法 供 養 身 
T85n2750_001:0191c08	者是財。何故名法。為法燒身。故名為法供養	者 是 財 何 故 名 法 為 法 燒 身 故 名 為 法 供 養 
T85n2750_001:0191c09	經。佛法施無窮。財施有限也。又解。莫問財	經 佛 法 施 無 窮 財 施 有 限 也 又 解 莫 問 財 
T85n2750_001:0191c10	法。要解名用。得作法施之名。若不解名用而	法 要 解 名 用 得 作 法 施 之 名 若 不 解 名 用 而 
T85n2750_001:0191c11	施者。由名為財也。第五喜見菩薩。命終之	施 者 由 名 為 財 也 第 五 喜 見 菩 薩 命 終 之 
T85n2750_001:0191c12	後。淨德王家。忽然化生。即為其父說偈。道昔	後 淨 德 王 家 忽 然 化 生 即 為 其 父 說 偈 道 昔 
