T46n1931_001:0773c19	四教頌	四 教 頌 
T46n1931_001:0774b22	凡二卷。上卷明一家判教之義。下卷明南北諸	凡 二 卷 上 卷 明 一 家 判 教 之 義 下 卷 明 南 北 諸 
T46n1931_001:0774b23	師宗途異計。今所傳者上卷耳。言約義該實為	師 宗 途 異 計 今 所 傳 者 上 卷 耳 言 約 義 該 實 為 
T46n1931_001:0774b24	台教之關鑰。學者了此則一化大綱思過半矣。	台 教 之 關 鑰 學 者 了 此 則 一 化 大 綱 思 過 半 矣 
T46n1931_001:0774b25	南天竺沙門蒙潤有集註三卷。亦精核可喜近	南 天 竺 沙 門 蒙 潤 有 集 註 三 卷 亦 精 核 可 喜 近 
T46n1931_001:0774b26	吳中有刻本焉。掩關凡兩月既出則復濫世罔	吳 中 有 刻 本 焉 掩 關 凡 兩 月 既 出 則 復 濫 世 罔 
T46n1931_001:0774b27	遂不能保淨戒。啖酒肉近妻子如曩時。客有幼	遂 不 能 保 淨 戒 啖 酒 肉 近 妻 子 如 曩 時 客 有 幼 
T46n1931_001:0774b28	迷於他鄉者。一旦人告之曰子之家在某所。父	迷 於 他 鄉 者 一 旦 人 告 之 曰 子 之 家 在 某 所 父 
T46n1931_001:0774b29	兄宗族墳墓田宅種種可念也。其人即留滯不	兄 宗 族 墳 墓 田 宅 種 種 可 念 也 其 人 即 留 滯 不 
T46n1931_001:0774c01	能遽返。豈作他鄉人哉。今歲春。余且以一命棄	能 遽 返 豈 作 他 鄉 人 哉 今 歲 春 余 且 以 一 命 棄 
T46n1931_001:0774c02	青山行有日矣。因追前志捨貲刻四教儀一卷。	青 山 行 有 日 矣 因 追 前 志 捨 貲 刻 四 教 儀 一 卷 
T46n1931_001:0774c03	并科文行于世同志者。其遂執鑰洞關以窮海	并 科 文 行 于 世 同 志 者 其 遂 執 鑰 洞 關 以 窮 海 
T46n1931_001:0774c04	藏。令一家教觀如日輪當午川流赴壑。即余留	藏 令 一 家 教 觀 如 日 輪 當 午 川 流 赴 壑 即 余 留 
T46n1931_001:0774c05	滯他鄉可藉以懺悔矣。其勉之哉。其勉之哉。	滯 他 鄉 可 藉 以 懺 悔 矣 其 勉 之 哉 其 勉 之 哉 
T46n1931_001:0774c06	　　　壬午春佛歡喜日病居士馮夢禎譔	 壬 午 春 佛 歡 喜 日 病 居 士 馮 夢 禎 譔 
T46n1931_001:0774c10	天台四教儀	天 台 四 教 儀 
T46n1931_001:0774c12	高麗沙門諦觀錄	高 麗 沙 門 諦 觀 錄 
T46n1931_001:0774c13	天台智者大師。以五時八教。判釋東流一代	天 台 智 者 大 師 以 五 時 八 教 判 釋 東 流 一 代 
T46n1931_001:0774c14	聖教。罄無不盡。言五時者。一華嚴時。二鹿	聖 教 罄 無 不 盡 言 五 時 者 一 華 嚴 時 二 鹿 
T46n1931_001:0774c15	苑時(說四阿含)三方等時(說維摩思益楞伽楞嚴三昧金光明勝鬘等經)四般若	苑 時 說 四 阿 含 三 方 等 時 說 維 摩 思 益 楞 伽 楞 嚴 三 昧 金 光 明 勝 鬘 等 經 四 般 若 
T46n1931_001:0774c16	時(說摩訶般若光讚般若金剛般若大品般若等諸般若經)五法華涅槃時。是為	時 說 摩訶般若 光 讚 般 若 金 剛 般 若 大 品 般 若 等 諸 般 若 經 五 法 華 涅 槃 時 是 為 
T46n1931_001:0774c17	五時。亦名五味。言八教者。頓漸祕密不定	五 時 亦 名 五 味 言 八 教 者 頓 漸 祕 密 不 定 
T46n1931_001:0774c18	藏通別圓。是名八教。頓等四教是化儀。如世	藏 通 別 圓 是 名 八 教 頓 等 四 教 是 化 儀 如 世 
T46n1931_001:0774c19	藥方。藏等四教名化法。如辨藥味。如是等儀	藥 方 藏 等 四 教 名 化 法 如 辨 藥 味 如 是 等 儀 
T46n1931_001:0774c20	散在廣文。今依大本略錄綱要。初辨五時五	散 在 廣 文 今 依 大 本 略 錄 綱 要 初 辨 五 時 五 
T46n1931_001:0774c21	味及化儀四教。然後出藏通別圓。第一頓教	味 及 化 儀 四 教 然 後 出 藏 通 別 圓 第 一 頓 教 
T46n1931_001:0774c22	者。即華嚴經也。從部時味等。得名為頓。所	者 即 華 嚴 經 也 從 部 時 味 等 得 名 為 頓 所 
T46n1931_001:0774c23	謂如來初成正覺。在寂滅道場。四十一位法	謂 如 來 初 成 正 覺 在 寂 滅 道 場 四 十 一 位 法 
T46n1931_001:0774c24	身大士。及宿世根熟天龍八部一時圍繞。如	身 大 士 及 宿 世 根 熟 天 龍 八 部 一 時 圍 繞 如 
T46n1931_001:0774c25	雲籠月。爾時如來現盧舍那身。說圓滿修多	雲 籠 月 爾 時 如 來 現 盧 舍 那 身 說 圓 滿 修 多 
T46n1931_001:0774c26	羅。故言頓教。若約機約教。未免兼權。謂初發	羅 故 言 頓 教 若 約 機 約 教 未 免 兼 權 謂 初 發 
T46n1931_001:0774c27	心時便成正覺等文。為圓機說圓教。處處說	心 時 便 成 正 覺 等 文 為 圓 機 說 圓 教 處 處 說 
T46n1931_001:0774c28	行布次第。則為權機說別教。故約部為頓。約	行 布 次 第 則 為 權 機 說 別 教 故 約 部 為 頓 約 
T46n1931_001:0774c29	教名兼。此經中云。譬如日出先照高山(第一時)	教 名 兼 此 經 中 云 譬 如 日 出 先 照 高 山 第 一 時 
T46n1931_001:0775a01	涅槃云。譬如從牛出乳。此從佛出十二部經	涅 槃 云 譬 如 從 牛 出 乳 此 從 佛 出 十二部經 
T46n1931_001:0775a02	(一乳味)法華信解品云。即遣旁人急追將還。窮	 一 乳 味 法 華 信 解 品 云 即 遣 旁 人 急 追 將 還 窮 
T46n1931_001:0775a03	子驚愕稱怨大喚等。此領何義。答諸聲聞在	子 驚 愕 稱 怨 大 喚 等 此 領 何 義 答 諸 聲 聞 在 
T46n1931_001:0775a04	座如聾若啞等是也。第二漸教者(此下三時三味。總名為	座 如 聾 若 啞 等 是 也 第 二 漸 教 者 此 下 三 時 三 味 總 名 為 
T46n1931_001:0775a05	漸)次為三乘根性於頓無益故。不動寂場而	漸 次 為 三 乘 根 性 於 頓 無 益 故 不 動 寂 場 而 
T46n1931_001:0775a06	游鹿苑。脫舍那珍御之服。著丈六弊垢之衣。	游 鹿 苑 脫 舍 那 珍 御 之 服 著 丈 六 弊 垢 之 衣 
T46n1931_001:0775a07	示從兜率降下託摩耶胎。住胎出胎納妃生	示 從 兜 率 降 下 託 摩 耶 胎 住 胎 出 胎 納 妃 生 
T46n1931_001:0775a08	子。出家苦行六年已後。木菩提樹下以草為	子 出 家 苦 行 六 年 已 後 木 菩提樹下 以 草 為 
T46n1931_001:0775a09	座成劣應身。初在鹿苑先為五人。說四諦十	座 成 劣 應 身 初 在 鹿 苑 先 為 五 人 說 四 諦 十 
T46n1931_001:0775a10	二因緣事六度等教。若約時則日照幽谷(第二時)	二 因 緣 事 六 度 等 教 若 約 時 則 日 照 幽 谷 第 二 時 
T46n1931_001:0775a11	若約味則從乳出酪。此從十二部經出九部	若 約 味 則 從 乳 出 酪 此 從 十二部經 出 九 部 
T46n1931_001:0775a12	修多羅(二酪味)信解品云。而以方便密遣二人(聲聞	修 多 羅 二 酪 味 信 解 品 云 而 以 方 便 密 遣 二 人 聲 聞 
T46n1931_001:0775a13	緣覺)形色憔悴無威德者。汝可詣彼徐語窮子。	緣 覺 形 色 憔 悴 無 威 德 者 汝 可 詣 彼 徐 語 窮 子 
T46n1931_001:0775a14	雇汝除糞。此領何義。答次頓之後說三藏教。	雇 汝 除 糞 此 領 何 義 答 次 頓 之 後 說 三 藏 教 
T46n1931_001:0775a15	二十年中常令除糞。即破見思煩惱等義也。	二 十 年 中 常 令 除 糞 即 破 見 思 煩 惱 等 義 也 
T46n1931_001:0775a16	次明方等部。淨名等經。彈偏折小。歎大褒	次 明 方 等 部 淨 名 等 經 彈 偏 折 小 歎 大 褒 
T46n1931_001:0775a17	圓。四教俱說。藏為半字教。通別圓為滿字	圓 四 教 俱 說 藏 為 半 字 教 通 別 圓 為 滿 字 
T46n1931_001:0775a18	教。對半說滿。故言對教。若約時則食時(第三時)	教 對 半 說 滿 故 言 對 教 若 約 時 則 食 時 第 三 時 
T46n1931_001:0775a19	若約味則從酪出生酥。此從九部出方等(三生	若 約 味 則 從 酪 出 生 酥 此 從 九 部 出 方 等 三 生 
T46n1931_001:0775a20	酥味)信解品云。過是已後心相體信入出無難。	酥 味 信 解 品 云 過是已後 心 相 體 信 入 出 無 難 
T46n1931_001:0775a21	然其所止猶在本處。此領何義。答三藏之後	然 其 所 止 猶 在 本 處 此 領 何 義 答 三 藏 之 後 
T46n1931_001:0775a22	次說方等。已得道果心相體信。聞罵不瞋。內	次 說 方 等 已 得 道 果 心 相 體 信 聞 罵 不 瞋 內 
T46n1931_001:0775a23	懷慚愧心漸淳淑。次說般若。轉教。付財。融	懷 慚 愧 心 漸 淳 淑 次 說 般 若 轉 教 付 財 融 
T46n1931_001:0775a24	通。淘汰。此般若中不說藏教。帶通別二正	通 淘 汰 此 般 若 中 不 說 藏 教 帶 通 別 二 正 
T46n1931_001:0775a25	說圓教。約時則禺中時(第四時)約味則從生酥出	說 圓 教 約 時 則 禺 中 時 第 四 時 約 味 則 從 生 酥 出 
T46n1931_001:0775a26	熟酥。此從方等之後出摩訶般若(四熟酥味)信解	熟 酥 此 從 方 等 之 後 出 摩訶般若 四 熟 酥 味 信 解 
T46n1931_001:0775a27	品云。是時長者有疾自知將死不久。語窮子	品 云 是 時 長 者 有 疾 自 知 將 死 不 久 語 窮 子 
T46n1931_001:0775a28	言。我今多有金銀珍寶倉庫盈溢。其中多少	言 我 今 多 有 金 銀 珍 寶 倉 庫 盈 溢 其 中 多 少 
T46n1931_001:0775a29	所應取與。此領何義。答明方等之後次說般	所 應 取 與 此 領 何 義 答 明 方 等 之 後 次 說 般 
T46n1931_001:0775b01	若。般若觀慧即是家業。空生身子受勅轉教。	若 般 若 觀 慧 即 是 家 業 空 生 身 子 受 勅 轉 教 
T46n1931_001:0775b02	即是領知等也。已上三味對華嚴頓教。總名	即 是 領 知 等 也 已 上 三 味 對 華 嚴 頓 教 總 名 
T46n1931_001:0775b03	為漸。第三祕密教者。如前四時中。如來三	為 漸 第 三 祕 密 教 者 如 前 四 時 中 如 來 三 
T46n1931_001:0775b04	輪不思議故。或為此人說頓。或為彼人說漸。	輪 不 思 議 故 或 為 此 人 說 頓 或 為 彼 人 說 漸 
T46n1931_001:0775b05	彼此互不相知。能令得益。故言祕密教。第	彼 此 互 不 相 知 能 令 得 益 故 言 祕 密 教 第 
T46n1931_001:0775b06	四不定教者。亦由前四味中。佛以一音演說	四 不 定 教 者 亦 由 前 四 味 中 佛 以 一 音 演 說 
T46n1931_001:0775b07	法。眾生隨類各得解。此則如來不思議力。能	法 眾 生 隨 類 各 得 解 此 則 如 來 不 思 議 力 能 
T46n1931_001:0775b08	令眾生於漸說中得頓益。於頓說中得漸益。	令 眾 生 於 漸 說 中 得 頓 益 於 頓 說 中 得 漸 益 
T46n1931_001:0775b09	如是得益不同。故言不定教也。然祕密不定	如 是 得 益 不 同 故 言 不 定 教 也 然 祕 密 不 定 
T46n1931_001:0775b10	二教。教下義理只是藏通別圓。化儀四教齊	二 教 教 下 義 理 只 是 藏 通 別 圓 化 儀 四 教 齊 
T46n1931_001:0775b11	此。次說法華開前頓漸會入非頓非漸。故言	此 次 說 法 華 開 前 頓 漸 會 入 非 頓 非 漸 故 言 
T46n1931_001:0775b12	開權顯實。又言廢權立實。又言會三歸一。言	開 權 顯 實 又 言 廢 權 立 實 又 言 會 三 歸 一 言 
T46n1931_001:0775b13	權實者。名通今昔。義意不同。謂法華已前	權 實 者 名 通 今 昔 義 意 不 同 謂 法 華 已 前 
T46n1931_001:0775b14	權實不同。大小相隔。如華嚴時。一權一實	權 實 不 同 大 小 相 隔 如 華 嚴 時 一 權 一 實 
T46n1931_001:0775b15	(圓實別權)各不相即。大不納小故。小雖在座如聾	 圓 實 別 權 各 不 相 即 大 不 納 小 故 小 雖 在 座 如 聾 
T46n1931_001:0775b16	若瘂。是故所說法門雖廣大圓滿。攝機不盡。	若 瘂 是 故 所 說 法 門 雖 廣 大 圓 滿 攝 機 不 盡 
T46n1931_001:0775b17	不暢如來出世本懷。所以者何。初頓部有一	不 暢 如 來 出 世 本 懷 所以者何 初 頓 部 有 一 
T46n1931_001:0775b18	麁(別教)一妙(圓教)一妙則與法華無二無別。若是一	麁 別 教 一 妙 圓 教 一 妙 則 與 法 華 無 二 無 別 若 是 一 
T46n1931_001:0775b19	麁。須待法華開會廢了。方始稱妙。次鹿苑但	麁 須 待 法 華 開 會 廢 了 方 始 稱 妙 次 鹿 苑 但 
T46n1931_001:0775b20	麁無妙(藏教)次方等三麁(藏通別)一妙(圓教)次般若二麁	麁 無 妙 藏 教 次 方 等 三 麁 藏 通 別 一 妙 圓 教 次 般 若 二 麁 
T46n1931_001:0775b21	(通別)一妙(圓教)來至法華會上。總開會廢前四味	 通 別 一 妙 圓 教 來 至 法 華 會 上 總 開 會 廢 前 四 味 
T46n1931_001:0775b22	麁。令成一乘妙。諸味圓教更不須開。本自	麁 令 成 一 乘 妙 諸 味 圓 教 更 不 須 開 本 自 
T46n1931_001:0775b23	圓融不待開也。但是部內兼但對帶。故不及	圓 融 不 待 開 也 但 是 部 內 兼 但 對 帶 故 不 及 
T46n1931_001:0775b24	法華淳一無雜。獨得妙名。良有以也。故文	法 華 淳 一 無 雜 獨 得 妙 名 良 有 以 也 故 文 
T46n1931_001:0775b25	云。十方佛土中唯有一乘法。無二亦無三(教一)	云 十 方 佛 土 中 唯 有 一 乘 法 無 二 亦 無 三 教 一 
T46n1931_001:0775b26	正直捨方便。但說無上道(行一)但為菩薩。不為	正 直 捨 方 便 但 說 無 上 道 行 一 但 為 菩 薩 不 為 
T46n1931_001:0775b27	小乘(人一)世間相常住(理一)時人未得法華妙旨。但	小 乘 人 一 世 間 相 常 住 理 一 時 人 未 得 法 華 妙 旨 但 
T46n1931_001:0775b28	見部內有三車窮子化城等譬。乃謂不及餘	見 部 內 有 三 車 窮 子 化 城 等 譬 乃 謂 不 及 餘 
T46n1931_001:0775b29	經。蓋不知重舉前四時權獨顯大車。但付家	經 蓋 不 知 重 舉 前 四 時 權 獨 顯 大 車 但 付 家 
T46n1931_001:0775c01	業唯至寶所。故致誹謗之咎也。約時則日輪	業 唯 至 寶 所 故 致 誹 謗 之 咎 也 約 時 則 日 輪 
T46n1931_001:0775c02	當午。罄無側影(第五時)約味則從熟酥出醍醐。此	當 午 罄 無 側 影 第 五 時 約 味 則 從 熟 酥 出 醍 醐 此 
T46n1931_001:0775c03	從摩訶般若出法華(五醍醐味)信解品云。聚會親族	從 摩訶般若 出 法 華 五 醍 醐 味 信 解 品 云 聚 會 親 族 
T46n1931_001:0775c04	即自宣言。此實我子。我實其父。吾今所有	即 自 宣 言 此 實 我 子 我 實 其 父 吾 今 所 有 
T46n1931_001:0775c05	皆是子有。付與家業。窮子歡喜得未曾有。此	皆 是 子 有 付 與 家 業 窮 子 歡 喜 得未曾有 此 
T46n1931_001:0775c06	領何義。答即般若之後次說法華。先已領知	領 何 義 答 即 般 若 之 後 次 說 法 華 先 已 領 知 
T46n1931_001:0775c07	庫藏諸物。臨命終時。直付家業而已。譬前轉	庫 藏 諸 物 臨命終時 直 付 家 業 而 已 譬 前 轉 
T46n1931_001:0775c08	教皆知法門。說法華時。開示悟入佛之知見。	教 皆 知 法 門 說 法 華 時 開 示 悟 入 佛 之 知 見 
T46n1931_001:0775c09	授記作佛而已。次說大涅槃者。有二義。一	授 記 作 佛 而 已 次 說 大 涅 槃 者 有 二 義 一 
T46n1931_001:0775c10	為未熟者。更說四教具談佛性。令具真常入	為 未 熟 者 更 說 四 教 具 談 佛 性 令 具 真 常 入 
T46n1931_001:0775c11	大涅槃。故名捃拾教。二為末代鈍根於佛法	大 涅 槃 故 名 捃 拾 教 二 為 末 代 鈍 根 於 佛 法 
T46n1931_001:0775c12	中。起斷滅見。夭傷慧命。亡失法身。設三種	中 起 斷 滅 見 夭 傷 慧 命 亡 失 法 身 設 三 種 
T46n1931_001:0775c13	權。扶一圓實。故名扶律談常教。然若論時	權 扶 一 圓 實 故 名 扶 律 談 常 教 然 若 論 時 
T46n1931_001:0775c14	味。與法華同。論其部內。純雜小異。故文云。	味 與 法 華 同 論 其 部 內 純 雜 小 異 故 文 云 
T46n1931_001:0775c15	從摩訶般若出大涅槃。前法華合此經。為第	從 摩訶般若 出 大 涅 槃 前 法 華 合 此 經 為 第 
T46n1931_001:0775c16	五時也。問此經具四教。與前方等部具說四	五 時 也 問 此 經 具 四 教 與 前 方 等 部 具 說 四 
T46n1931_001:0775c17	教。為同為異。答名同義異。方等中四。圓則	教 為 同 為 異 答 名 同 義 異 方 等 中 四 圓 則 
T46n1931_001:0775c18	初後俱知常。別則初不知後方知。藏通則初	初 後 俱 知 常 別 則 初 不 知 後 方 知 藏 通 則 初 
T46n1931_001:0775c19	後俱不知。涅槃中四。初後俱知。問將五味	後 俱 不 知 涅 槃 中 四 初 後 俱 知 問 將 五 味 
T46n1931_001:0775c20	對五時教。其意如何。答有二。一者但取相	對 五 時 教 其 意 如 何 答 有 二 一 者 但 取 相 
T46n1931_001:0775c21	生次第。所謂牛譬於佛。五味譬教。乳從牛出。	生 次 第 所 謂 牛 譬 於 佛 五 味 譬 教 乳 從 牛 出 
T46n1931_001:0775c22	酪從乳生。二酥醍醐次第不亂。故譬五時相	酪 從 乳 生 二 酥 醍 醐 次 第 不 亂 故 譬 五 時 相 
T46n1931_001:0775c23	生次第。二者取其濃淡。此則取一番下劣根	生 次 第 二 者 取 其 濃 淡 此 則 取 一 番 下 劣 根 
T46n1931_001:0775c24	性。所謂二乘根性。在華嚴座不信不解。不	性 所 謂 二 乘 根 性 在 華 嚴 座 不 信 不 解 不 
T46n1931_001:0775c25	變凡情。故譬其乳。次至鹿苑聞三藏教。二	變 凡 情 故 譬 其 乳 次 至 鹿 苑 聞 三 藏 教 二 
T46n1931_001:0775c26	乘根性依教修行。轉凡成聖。故譬轉乳成酪。	乘 根 性 依 教 修 行 轉 凡 成 聖 故 譬 轉 乳 成 酪 
T46n1931_001:0775c27	次至方等聞彈斥聲聞。慕大恥小得通教益。	次 至 方 等 聞 彈 斥 聲 聞 慕 大 恥 小 得 通 教 益 
T46n1931_001:0775c28	如轉酪成生酥。次至般若奉勅轉教。心漸通	如 轉 酪 成 生 酥 次 至 般 若 奉 勅 轉 教 心 漸 通 
T46n1931_001:0775c29	泰得別教益。如轉生酥成熟酥。次至法華聞	泰 得 別 教 益 如 轉 生 酥 成 熟 酥 次 至 法 華 聞 
T46n1931_001:0776a01	三周說法。得記作佛。如轉熟酥成醍醐。此	三 周 說 法 得 記 作 佛 如 轉 熟 酥 成 醍 醐 此 
T46n1931_001:0776a02	約最鈍根具經五味。其次者。或經一二三四。	約 最 鈍 根 具 經 五 味 其 次 者 或 經 一 二 三 四 
T46n1931_001:0776a03	其上達根性。味味得入法界實相。何必須待	其 上 達 根 性 味 味 得 入 法 界 實 相 何 必 須 待 
T46n1931_001:0776a04	法華開會。上來已錄五味五時化儀四教。大	法 華 開 會 上 來 已 錄 五 味 五 時 化 儀 四 教 大 
T46n1931_001:0776a05	綱如此。自下明化法四教。第一三藏教者。一	綱 如 此 自 下 明 化 法 四 教 第 一 三 藏 教 者 一 
