T85n2770_001:0355a08	維摩經疏	維 摩 經 疏 
T85n2770_001:0355c14	度者。地持論中說有三義。一者時度。此之六	度 者 地 持 論 中 說 有 三 義 一 者 時 度 此 之 六 
T85n2770_001:0355c15	行種性已上度三阿僧祇方始成滿。二者果	行 種 性 已 上 度 三阿僧祇 方 始 成 滿 二 者 果 
T85n2770_001:0355c16	度。此六能得大菩提果。三自性清淨度。此六	度 此 六 能 得大菩提 果 三 自 性 清 淨 度 此 六 
T85n2770_001:0355c17	能得破捨情相到法實際。具此三義故名為	能 得 破 捨 情 相 到 法 實 際 具 此 三 義 故 名 為 
T85n2770_001:0355c18	度。言到岸者。如龍樹說。解有三義。一能捨	度 言 到 岸 者 如 龍 樹 說 解 有 三 義 一 能 捨 
T85n2770_001:0355c19	離生死此岸到於無上涅槃彼岸。同前果度。	離 生 死 此 岸 到 於 無 上 涅 槃 彼 岸 同 前 果 度 
T85n2770_001:0355c20	二能捨離生死涅槃有相此岸到於平等無相	二 能 捨 離 生死涅槃 有 相 此 岸 到 於 平 等 無 相 
T85n2770_001:0355c21	彼岸。與前自性度義相似。三能捨離六弊此	彼 岸 與 前 自 性 度 義 相 似 三 能 捨 離 六 弊 此 
T85n2770_001:0355c22	岸到於六度究竟彼岸名到彼岸。因修至成故	岸 到 於 六 度 究 竟 彼 岸 名 到 彼 岸 因 修 至 成 故 
T85n2770_001:0355c23	名始修為能到矣。具此三義名到彼岸。此六	名 始 修 為 能 到 矣 具 此 三 義 名 到 彼 岸 此 六 
T85n2770_001:0355c24	同時隨位。且分壇寄初地。乃至彼若在第六	同 時 隨 位 且 分 壇 寄 初 地 乃 至 彼 若 在 第 六 
T85n2770_001:0355c25	地。如地經說。及方便力無不具足七地功德。	地 如 地 經 說 及 方 便 力 無 不 具 足 七 地 功 德 
T85n2770_001:0355c26	七地修習十方便慧發起勝行名方便力無不	七 地 修 習 十 方 便 慧 發 起 勝 行 名 方 便 力 無 不 
T85n2770_001:0355c27	具足。逮無所得不起法忍。八地功德。逮謂及	具 足 逮 無 所 得 不 起 法 忍 八 地 功 德 逮 謂 及 
T85n2770_001:0355c28	也。亦曰至也。無所得者。無生理中無淨可	也 亦 曰 至 也 無 所 得 者 無 生 理 中 無 淨 可 
T85n2770_001:0355c29	得。此諸菩薩破去情相到無得處。是故名為	得 此 諸 菩 薩 破 去 情 相 到 無 得 處 是 故 名 為 
T85n2770_001:0356a01	逮無所得。不起法忍猶是經中無生法忍。由	逮 無 所 得 不 起 法 忍 猶 是 經 中 無生法忍 由 
T85n2770_001:0356a02	逮無得是故便成不起法忍。不見淨法可生	逮 無 得 是 故 便 成 不 起 法 忍 不 見 淨 法 可 生 
T85n2770_001:0356a03	起故。已能隨等九地功德。已能隨順轉不退	起 故 已 能 隨 等 九 地 功 德 已 能 隨 順 轉 不 退 
T85n2770_001:0356a04	輪是九地中說成就矣。謂能隨生轉妙法輪。	輪 是 九 地 中 說 成 就 矣 謂 能 隨 生 轉 妙 法 輪 
T85n2770_001:0356a05	文堪化益名曰已能。化順物機名為隨順。說	文 堪 化 益 名 曰 已 能 化 順 物 機 名 為 隨 順 說 
T85n2770_001:0356a06	授名轉。不退輪者。經中或說三業為輪。或	授 名 轉 不 退 輪 者 經 中 或 說 三 業 為 輪 或 
T85n2770_001:0356a07	復宣說佛法為輪。今此所論名法為輪。如彼	復 宣 說 佛 法 為 輪 今 此 所 論 名 法 為 輪 如 彼 
T85n2770_001:0356a08	轉輪聖王輪寶。能摧剛彊轉下眾生上昇虛	轉輪聖王 輪 寶 能 摧 剛 彊 轉 下 眾 生 上 昇 虛 
T85n2770_001:0356a09	空。佛法如是能摧眾生惡不善法轉下眾生	空 佛 法 如 是 能 摧 眾 生 惡不善法 轉 下 眾 生 
T85n2770_001:0356a10	上入佛道。故名為轉。一得永住故云不退。善	上 入 佛 道 故 名 為 轉 一 得 永 住 故 云 不 退 善 
T85n2770_001:0356a11	解法相是九地中智成就也。知眾生根是九	解 法 相 是 九 地 中 智 成 就 也 知 眾 生 根 是 九 
T85n2770_001:0356a12	地中入行成就。	地 中 入 行 成 就 
T85n2770_001:0356a13	蓋諸大眾得無畏下十地功德。蓋諸大眾得	蓋 諸 大 眾 得 無 畏 下 十 地 功 德 蓋 諸 大 眾 得 
T85n2770_001:0356a14	無所畏。利他功德十地學窮故。蓋大眾起說	無 所 畏 利 他 功 德 十 地 學 窮 故 蓋 大 眾 起 說 
T85n2770_001:0356a15	不怯故得無畏功德。已下自利功德。功德智	不 怯 故 得 無 畏 功 德 已 下 自 利 功 德 功 德 智 
T85n2770_001:0356a16	慧以修其心。妙德嚴心。功者是其功德莊嚴。	慧 以 修 其 心 妙 德 嚴 心 功 者 是 其 功德莊嚴 
T85n2770_001:0356a17	智者是其智慧莊嚴。此二莊嚴廣如別章。此	智 者 是 其 智慧莊嚴 此 二 莊 嚴 廣 如 別 章 此 
T85n2770_001:0356a18	應具論。然今且可釋其名字。具功德者亦名	應 具 論 然 今 且 可 釋 其 名 字 具 功 德 者 亦 名 
T85n2770_001:0356a19	福德。福謂福利。善能資[門@壬]福利行人故名為	福 德 福 謂 福 利 善 能 資 [門壬] 福 利 行 人 故 名 為 
T85n2770_001:0356a20	福。此福是其善行家德故名福德。如清冷等	福 此 福 是 其 善 行 家 德 故 名 福 德 如 清 冷 等 
T85n2770_001:0356a21	是水家德。功謂功能。善有資[門@壬]利益之功故	是 水 家 德 功 謂 功 能 善 有 資 [門壬] 利 益 之 功 故 
T85n2770_001:0356a22	名為功。此功還是善行家德故名功德。言智	名 為 功 此 功 還 是 善 行 家 德 故 名 功 德 言 智 
T85n2770_001:0356a23	慧者。依如毘曇。決斷名智。對諸忍故。若依成	慧 者 依 如 毘 曇 決 斷 名 智 對 諸 忍 故 若 依 成 
T85n2770_001:0356a24	實。無著名智。想別識故通相以論。知法名智。	實 無 著 名 智 想 別 識 故 通 相 以 論 知 法 名 智 
T85n2770_001:0356a25	觀達稱惠。此智與惠通釋一物。隨義別分。非	觀 達 稱 惠 此 智 與 惠 通 釋 一 物 隨 義 別 分 非 
T85n2770_001:0356a26	無差異。異相如何。依如地持。知世諦者名之	無 差 異 異 相 如 何 依 如 地 持 知 世 諦 者 名 之 
T85n2770_001:0356a27	為智。知第一義說以為惠。故彼文言。於一切	為 智 知 第 一 義 說 以 為 惠 故 彼 文 言 於 一 切 
T85n2770_001:0356a28	法部分知者名智波羅蜜。於第一義開覺名波	法 部 分 知 者 名 智波羅蜜 於 第 一 義 開 覺 名 波 
T85n2770_001:0356a29	若波羅蜜。涅槃亦然。若依地論。證第一義名	若 波 羅 蜜 涅 槃 亦 然 若 依 地 論 證 第 一 義 名 
T85n2770_001:0356b01	隨智了達教法名隨惠者皆得無傷。此二經中	隨 智 了 達 教 法 名 隨 惠 者 皆 得 無 傷 此 二 經 中 
T85n2770_001:0356b02	為莊嚴。亦名律儀。亦曰助法。亦復說之為菩	為 莊 嚴 亦 名 律 儀 亦 曰 助 法 亦 復 說 之 為 菩 
T85n2770_001:0356b03	提具。言莊嚴者。如涅槃說。能嚴行人故曰莊	提 具 言 莊 嚴 者 如 涅 槃 說 能 嚴 行 人 故 曰 莊 
T85n2770_001:0356b04	嚴。又復諸行共相莊飾亦曰莊嚴。如莊嚴具	嚴 又 復 諸 行 共 相 莊 飾 亦 曰 莊 嚴 如 莊 嚴 具 
T85n2770_001:0356b05	眾寶間錯。言律儀者。如地持說。此二內調故	眾 寶 間 錯 言 律 儀 者 如 地 持 說 此 二 內 調 故 
T85n2770_001:0356b06	名為律。合法稱儀。言助法者。望果為言。資順	名 為 律 合 法 稱 儀 言 助 法 者 望 果 為 言 資 順 
T85n2770_001:0356b07	菩提故云助法。能為佛因故復說之為菩提	菩 提 故 云 助 法 能 為 佛 因 故 復 說 之 為 菩 提 
T85n2770_001:0356b08	具。依此二行修練己心。故曰修心。相好已	具 依 此 二 行 修 練 己 心 故 曰 修 心 相 好 已 
T85n2770_001:0356b09	下勝相莊身。表德名相。帷情稱好。用此莊形	下 勝 相 莊 身 表 德 名 相 帷 情 稱 好 用 此 莊 形 
T85n2770_001:0356b10	故曰嚴身。相好嚴身過餘世報名色第一。不	故 曰 嚴 身 相 好 嚴 身 過 餘 世 報 名 色 第 一 不 
T85n2770_001:0356b11	假餘營故捨世間所有飾好。	假 餘 營 故 捨 世 間 所 有 飾 好 
T85n2770_001:0356b12	自下第三彰德殊勝故名高遠。於中先舉名	自 下 第 三 彰 德 殊 勝 故 名 高 遠 於 中 先 舉 名 
T85n2770_001:0356b13	稱高遠。顯德殊勝名聞上徹名為高遠。如何	稱 高 遠 顯 德 殊 勝 名 聞 上 徹 名 為 高 遠 如 何 
T85n2770_001:0356b14	踰於須彌。踰謂過也。須彌胡語。此名好高山	踰 於 須 彌 踰 謂 過 也 須 彌 胡 語 此 名 好 高 山 
T85n2770_001:0356b15	亦名安明山。舉高三百三十六萬里。縱廣亦	亦 名 安 明 山 舉 高 三 百 三 十 六 萬 里 縱 廣 亦 
T85n2770_001:0356b16	然。四寶所成。六萬諸山而為眷屬。	然 四 寶 所 成 六 萬 諸 山 而 為 眷 屬 
T85n2770_001:0356b17	深信堅下辨德顯名。於中有三。一明其信。二	深 信 堅 下 辨 德 顯 名 於 中 有 三 一 明 其 信 二 
T85n2770_001:0356b18	深入緣下彰其解。三無有量下顯其行。此三	深 入 緣 下 彰 其 解 三 無 有 量 下 顯 其 行 此 三 
T85n2770_001:0356b19	分中皆自利利他。就初分中深信堅固猶若	分 中 皆 自利利他 就 初 分 中 深 信 堅 固 猶 若 
T85n2770_001:0356b20	金剛。是其自利。決定名信。信門不同。或說為	金 剛 是 其 自 利 決 定 名 信 信 門 不 同 或 說 為 
T85n2770_001:0356b21	二。如地經說。信菩薩行及諸佛法。或分為三。	二 如 地 經 說 信 菩 薩 行 及 諸 佛 法 或 分 為 三 
T85n2770_001:0356b22	信佛法僧。或說四種。信佛法僧及與信戒。如	信 佛 法 僧 或 說 四 種 信 佛 法 僧 及 與 信 戒 如 
T85n2770_001:0356b23	成實說。或說八種。如地持說。信佛法僧即以	成 實 說 或 說 八 種 如 地 持 說 信 佛 法 僧 即 以 
T85n2770_001:0356b24	為三。信佛菩薩神通之力通前為四。信種種	為 三 信 佛 菩 薩 神 通 之 力 通 前 為 四 信 種 種 
T85n2770_001:0356b25	因果是其世諦。信真實義是其真諦。通前為	因 果 是 其 世 諦 信 真 實 義 是 其 真 諦 通 前 為 
T85n2770_001:0356b26	六。得義為七。得方便八。無上菩薩名為得義。	六 得 義 為 七 得 方 便 八 無 上 菩 薩 名 為 得 義 
T85n2770_001:0356b27	一切菩薩所修學道名得方便。隨別細分亦	一切菩薩 所 修 學 道 名 得 方 便 隨 別 細 分 亦 
T85n2770_001:0356b28	可無量。慇厚曰深。難壞稱堅。此是法說。猶若	可 無 量 慇 厚 曰 深 難 壞 稱 堅 此 是 法 說 猶 若 
T85n2770_001:0356b29	金剛喻以顯之。下明利他。法寶普照而雨甘	金 剛 喻 以 顯 之 下 明 利 他 法 寶 普 照 而 雨 甘 
T85n2770_001:0356c01	露明其能益。法寶普照惠法教人。聞思修等	露 明 其 能 益 法 寶 普 照 惠 法 教 人 聞 思 修 等 
T85n2770_001:0356c02	三惠之法名之為法。此法可珍。又能照曜故	三 惠 之 法 名 之 為 法 此 法 可 珍 又 能 照 曜 故 
T85n2770_001:0356c03	說為寶。隨機等示故名為普。開曉物心除其	說 為 寶 隨 機 等 示 故 名 為 普 開 曉 物 心 除 其 
T85n2770_001:0356c04	闇障說之為照。而雨甘露功德教人世間。甘	闇 障 說 之 為 照 而 雨 甘 露 功 德 教 人 世 間 甘 
T85n2770_001:0356c05	露能除憔渴。功德善法能[門@壬]行人故名甘露。	露 能 除 憔 渴 功 德 善 法 能 [門壬] 行 人 故 名 甘 露 
T85n2770_001:0356c06	授人稱雨。此明能益。於眾言音微妙第一彰	授 人 稱 雨 此 明 能 益 於 眾 言 音 微 妙 第 一 彰 
T85n2770_001:0356c07	其能說。說前法時能宣吐也。謂於世俗言音	其 能 說 說 前 法 時 能 宣 吐 也 謂 於 世 俗 言 音 
T85n2770_001:0356c08	之中最為第一。	之 中 最 為 第 一 
T85n2770_001:0356c09	第二解中深入緣起斷邪見等。是其自利。入	第 二 解 中 深 入 緣 起 斷 邪 見 等 是 其 自 利 入 
T85n2770_001:0356c10	深緣起明能攝治。觀窮曰深。解順名入。言緣	深 緣 起 明 能 攝 治 觀 窮 曰 深 解 順 名 入 言 緣 
T85n2770_001:0356c11	起者。謂十二緣。經名因緣亦稱緣起亦曰緣	起 者 謂 十 二 緣 經 名 因 緣 亦 稱 緣 起 亦 曰 緣 
T85n2770_001:0356c12	集。籍因託緣諸法得生故名因緣。法籍緣起故	集 籍 因 託 緣 諸 法 得 生 故 名 因 緣 法 籍 緣 起 故 
T85n2770_001:0356c13	曰緣起。法從緣集故稱緣集。名字是何。謂從	曰 緣 起 法 從 緣 集 故 稱 緣 集 名 字 是 何 謂 從 
T85n2770_001:0356c14	無明乃至老死。云何深入因緣之法。唯真不	無 明 乃 至 老 死 云 何 深 入 因 緣 之 法 唯 真 不 
T85n2770_001:0356c15	生單妄不成。真妄和合方得集起。於中開合	生 單 妄 不 成 真 妄 和 合 方 得 集 起 於 中 開 合 
T85n2770_001:0356c16	廣略不定。或分為二。唯真與妄。據妄統攝十	廣 略 不 定 或 分 為 二 唯 真 與 妄 據 妄 統 攝 十 
T85n2770_001:0356c17	二因緣。皆妄心起名之為妄。據真統收。皆真	二 因 緣 皆 妄 心 起 名 之 為 妄 據 真 統 收 皆 真 
T85n2770_001:0356c18	心起說以為真。或以為三。一事緣起。十二因	心 起 說 以 為 真 或 以 為 三 一 事 緣 起 十 二 因 
T85n2770_001:0356c19	緣皆是六種事識所為。二妄緣起。據妄統攝	緣 皆 是 六 種 事 識 所 為 二 妄 緣 起 據 妄 統 攝 
T85n2770_001:0356c20	十二因緣。皆是七識妄想心作。如蔑所見。故	十二因緣 皆 是 七 識 妄 想 心 作 如 蔑 所 見 故 
T85n2770_001:0356c21	經說言三界虛妄皆一心作。妄心作矣。三真	經 說 言 三 界 虛 妄 皆 一 心 作 妄 心 作 矣 三 真 
T85n2770_001:0356c22	緣起。據真統攝十二因緣。皆真心作。如波水	緣 起 據 真 統 攝 十二因緣 皆 真 心 作 如 波 水 
T85n2770_001:0356c23	作此。如地經六地中說。故彼經言。十二因緣	作 此 如 地 經 六 地 中 說 故 彼 經 言 十二因緣 
T85n2770_001:0356c24	皆一心作。謂何黎耶真心作矣。細分有六。於	皆 一 心 作 謂 何 黎 耶 真 心 作 矣 細 分 有 六 於 
T85n2770_001:0356c25	前事識因緣之中義別有二。一事相因緣三	前 事 識 因 緣 之 中 義 別 有 二 一 事 相 因 緣 三 
T85n2770_001:0356c26	世流轉。非我我所。如毘曇說。二虛假因緣。十	世 流 轉 非 我 我 所 如 毘 曇 說 二 虛 假 因 緣 十 
T85n2770_001:0356c27	二因緣皆是名用虛假之有。無有自性。如成	二 因 緣 皆 是 名 用 虛 假 之 有 無 有 自 性 如 成 
T85n2770_001:0356c28	實說。於前妄識因緣之中義別亦二。一妄相	實 說 於 前 妄 識 因 緣 之 中 義 別 亦 二 一 妄 相 
T85n2770_001:0356c29	因緣。十二因緣是實幻虛妄相有之。如化如	因 緣 十二因緣 是 實 幻 虛 妄 相 有 之 如 化 如 
T85n2770_001:0357a01	炎。無相為相。相即無相。不但無性。相亦叵	炎 無 相 為 相 相 即 無 相 不 但 無 性 相 亦 叵 
T85n2770_001:0357a02	得。二妄想因緣。十二因緣皆妄心起。心外無	得 二 妄 想 因 緣 十二因緣 皆 妄 心 起 心 外 無 
T85n2770_001:0357a03	法。如蔑所覩。但是心見。心外無法。於前真識	法 如 蔑 所 覩 但 是 心 見 心 外 無 法 於 前 真 識 
T85n2770_001:0357a04	因緣之中義別亦二。一真用因緣。如來藏性	因 緣 之 中 義 別 亦 二 一 真 用 因 緣 如 來 藏 性 
T85n2770_001:0357a05	不染而染。起十二緣。故經說言。如來藏性是	不 染 而 染 起 十 二 緣 故 經 說 言 如 來 藏 性 是 
T85n2770_001:0357a06	其一切善不善因。能遍興造一切趣生。猶如	其 一 切 善 不 善 因 能 遍 興 造 一 切 趣 生 猶 如 
T85n2770_001:0357a07	彼見變現眾趣。又經亦言。即此法界輪轉五	彼 見 變 現 眾 趣 又 經 亦 言 即 此 法 界 輪 轉 五 
T85n2770_001:0357a08	道名曰眾生。此等皆是真用因緣。二真體因	道 名 曰 眾 生 此 等 皆 是 真 用 因 緣 二 真 體 因 
T85n2770_001:0357a09	緣。如來藏性是因緣體。名曰因緣。而此體中	緣 如 來 藏 性 是 因 緣 體 名 曰 因 緣 而 此 體 中 
T85n2770_001:0357a10	無因緣相。良以真實如來藏性是緣體故。經	無 因 緣 相 良 以 真 實 如 來 藏 性 是 緣 體 故 經 
T85n2770_001:0357a11	中宣說十二因緣以為佛性。見十二緣名為	中 宣 說 十二因緣 以 為 佛 性 見 十 二 緣 名 為 
T85n2770_001:0357a12	見佛見法見僧因緣。如是此諸諸菩薩皆能	見 佛 見 法 見 僧 因 緣 如 是 此 諸 諸 菩 薩 皆 能 
T85n2770_001:0357a13	窮達。故曰深入。此明攝治。	窮 達 故 曰 深 入 此 明 攝 治 
T85n2770_001:0357a14	下明離障。斷諸邪見正使永亡。五見非一。說	下 明 離 障 斷 諸 邪 見 正 使 永 亡 五 見 非 一 說 
T85n2770_001:0357a15	以為諸法。外推求名為邪見。見實除捨目之	以 為 諸 法 外 推 求 名 為 邪 見 見 實 除 捨 目 之 
T85n2770_001:0357a16	為斷。有無二遍無復餘習。殘氣亦盡。由證因	為 斷 有 無 二 遍 無 復 餘 習 殘 氣 亦 盡 由 證 因 
T85n2770_001:0357a17	緣非有無性。故便有無二邊之見。永無餘習。	緣 非 有 無 性 故 便 有 無 二 邊 之 見 永 無 餘 習 
T85n2770_001:0357a18	下明利他。演法無畏如師子吼。自心不怯。其	下 明 利 他 演 法 無 畏 如 師 子 吼 自 心 不 怯 其 
T85n2770_001:0357a19	所講說乃如雷震。說我益物。又冥無畏說	所 講 說 乃 如 雷 震 說 我 益 物 又 冥 無 畏 說 
T85n2770_001:0357a20	□□□　講如雷震。語能生善。前中初言演	 講 如 雷 震 語 能 生 善 前 中 初 言 演 
