X33n0629_001:0433a03	 製疏始末	 製 疏 始 末 
X33n0629_001:0433b08	究於是疏無暇及也。癸丑春。矢志閉關。重理前槀。甫	究 於 是 疏 無 暇 及 也 癸 丑 春 矢 志 閉 關 重 理 前 槀 甫 
X33n0629_001:0433b09	完正宗。又值	完 正 宗 又 值 
X33n0629_001:0433b10	公令。奉	公 令 奉 
X33n0629_001:0433b11	旨圓明園。校對宗鏡等書。緣茲日事筆墨。折衷古今	旨 圓 明 園 校 對 宗 鏡 等 書 緣 茲 日 事 筆 墨 折 衷 古 今 
X33n0629_001:0433b12	於臆見不無少補。時思華嚴為諸經之王。清涼擅一	於 臆 見 不 無 少 補 時 思 華 嚴 為 諸 經 之 王 清 涼 擅 一 
X33n0629_001:0433b13	家之宗。不究其源。寧攝於末。由是於乾隆六年辛酉。	家 之 宗 不 究 其 源 寧 攝 於 末 由 是 於 乾 隆 六 年 辛 酉 
X33n0629_001:0433b14	啟建華嚴講期。醉心大疏。三越暑寒。望大海之洪深。	啟 建 華 嚴 講 期 醉 心 大 疏 三 越 暑 寒 望 大 海 之 洪 深 
X33n0629_001:0433b15	自鄙行潦。目太虗之寬濶。羞詡芥空。甲子冬。再講斯	自 鄙 行 潦 目 太 虗 之 寬 濶 羞 詡 芥 空 甲 子 冬 再 講 斯 
X33n0629_001:0433b16	經。重治茲疏。功未及半。即赴他請。乙丑冬。歸自清涼。	經 重 治 茲 疏 功 未 及 半 即 赴 他 請 乙 丑 冬 歸 自 清 涼 
X33n0629_001:0433b17	誓終此志。約閉無期之關。限待有成之日。心祈三寶。	誓 終 此 志 約 閉 無 期 之 關 限 待 有 成 之 日 心 祈 三 寶 
X33n0629_001:0433b18	仰慈悲以資神。身策六時。繼朝昏而御硯。爰紀功竣。	仰 慈 悲 以 資 神 身 策 六 時 繼 朝 昏 而 御 硯 爰 紀 功 竣 
X33n0629_001:0433b19	時在丙寅春之建辰月也。然自憶驅烏之年。不習便	時 在 丙 寅 春 之 建 辰 月 也 然 自 憶 驅 烏 之 年 不 習 便 
X33n0629_001:0433b20	誦。負笈之際。一聽微明。似有宿緣。因敢輒著。乃竟至	誦 負 笈 之 際 一 聽 微 明 似 有 宿 緣 因 敢 輒 著 乃 竟 至 
X33n0629_001:0433b21	二十餘年。稾經三易。本雖粗定。梓尚未然。且其間順	二 十 餘 年 稾 經 三 易 本 雖 粗 定 梓 尚 未 然 且 其 間 順 
X33n0629_001:0433b22	逆交攻。數斷數續。若非如來遙見守護。其志幾為遭	逆 交 攻 數 斷 數 續 若 非 如 來 遙 見 守 護 其 志 幾 為 遭 
X33n0629_001:0433b23	際所隳。甚哉著疏之難復難也。雖然。二十餘年。自視	際 所 隳 甚 哉 著 疏 之 難 復 難 也 雖 然 二 十 餘 年 自 視 
X33n0629_001:0433b24	若夢期也。住此住彼。迴想若夢中人也。幾踰四十萬	若 夢 期 也 住 此 住 彼 迴 想 若 夢 中 人 也 幾 踰 四 十 萬 
X33n0629_001:0433c01	言。皆夢中寱語。其間或順或逆。皆夢中境界。即今編	言 皆 夢 中 寱 語 其 間 或 順 或 逆 皆 夢 中 境 界 即 今 編 
X33n0629_001:0433c02	序始末。依然夢中說夢。伏望後之閱我疏。處我境者。	序 始 末 依 然 夢 中 說 夢 伏 望 後 之 閱 我 疏 處 我 境 者 
X33n0629_001:0433c03	皆應作如是觀。旹	皆 應 作 如 是 觀 旹 
X33n0629_001:0433c04	乾隆歲在柔兆攝提格仲呂佛誕日	乾 隆 歲 在 柔 兆 攝 提 格 仲 呂 佛 誕 日 
X33n0629_001:0433c05	賢宗後學通理謹識	賢 宗 後 學 通 理 謹 識 
X33n0629_001:0434a01	別古凡例	別 古 凡 例 
X33n0629_001:0434a02	是經流傳震旦。疏記論解甚夥。文富義博。誠讓文	是 經 流 傳 震 旦 疏 記 論 解 甚 夥 文 富 義 博 誠 讓 文 
X33n0629_001:0434a03	句。搜金集玉。無偕大成。今為接引初機。漸入堂奧。	句 搜 金 集 玉 無 偕 大 成 今 為 接 引 初 機 漸 入 堂 奧 
X33n0629_001:0434a04	有異舊說。恐駭新聞。宜強周覧。勿輕間然。	有 異 舊 說 恐 駭 新 聞 宜 強 周 覧 勿 輕 間 然 
X33n0629_001:0434a05	是疏自名指掌。取其明而且易。不避訓詁。或涉繁	是 疏 自 名 指 掌 取 其 明 而 且 易 不 避 訓 詁 或 涉 繁 
X33n0629_001:0434a06	蔓。智果超方。以任捨繁從要。立尚扶壁。且須由粗	蔓 智 果 超 方 以 任 捨 繁 從 要 立 尚 扶 壁 且 須 由 粗 
X33n0629_001:0434a07	人微。勿嫌摘葉尋枝。莫便掛一漏十。	人 微 勿 嫌 摘 葉 尋 枝 莫 便 掛 一 漏 十 
X33n0629_001:0434a08	(通理)少而失學。智無兼人。未能徧扣高明。廣覽古	 通 理 少 而 失 學 智 無 兼 人 未 能 徧 扣 高 明 廣 覽 古 
X33n0629_001:0434a09	著。疏中一言一句。多自胸襟流出。不善他文。未敢	著 疏 中 一 言 一 句 多 自 胸 襟 流 出 不 善 他 文 未 敢 
X33n0629_001:0434a10	輒入。非有揀棄。勿強是非。	輒 入 非 有 揀 棄 勿 強 是 非 
X33n0629_001:0434a11	一音圓被。異解各呈。杵臼繩箕。共說象身之似。鵠	一 音 圓 被 異 解 各 呈 杵 臼 繩 箕 共 說 象 身 之 似 鵠 
X33n0629_001:0434a12	雪貝稻。孰明乳色之真。因枝尋本。各選其由。入道	雪 貝 稻 孰 明 乳 色 之 真 因 枝 尋 本 各 選 其 由 入 道 
X33n0629_001:0434a13	從緣。不一而足。勿謂多事。有礙廣傳。	從 緣 不 一 而 足 勿 謂 多 事 有 礙 廣 傳 
X33n0629_001:0434a14	台賢兩宗。證法次第。多引法華喻文。如引火宅喻	台 賢 兩 宗 證 法 次 第 多 引 法 華 喻 文 如 引 火 宅 喻 
X33n0629_001:0434a15	中說怖畏事。以證華嚴大教難投。今古通遵。似無	中 說 怖 畏 事 以 證 華 嚴 大 教 難 投 今 古 通 遵 似 無 
X33n0629_001:0434a16	可議。今疏易為苦諦。太煞徑庭。要知引證者取其	可 議 今 疏 易 為 苦 諦 太 煞 徑 庭 要 知 引 證 者 取 其 
X33n0629_001:0434a17	大綱。或有忽於細目。著解者別其細目。不惟冒似	大 綱 或 有 忽 於 細 目 著 解 者 別 其 細 目 不 惟 冒 似 
X33n0629_001:0434a18	大綱。明知違古。不敢背經。賜覧高賢。幸垂原諒。諸	大 綱 明 知 違 古 不 敢 背 經 賜 覧 高 賢 幸 垂 原 諒 諸 
X33n0629_001:0434a19	如此類。無煩俱述。	如 此 類 無 煩 俱 述 
X33n0629_001:0434a20	一經脈絡。有綱有目。目中復有綱目。如世祖孫父	一 經 脈 絡 有 綱 有 目 目 中 復 有 綱 目 如 世 祖 孫 父 
X33n0629_001:0434a21	子。展轉相生。曾無少紊。若綱之與綱。目之與目。則	子 展轉相生 曾 無 少 紊 若 綱 之 與 綱 目 之 與 目 則 
X33n0629_001:0434a22	如兄弟相次。先後適宜。依此分科。自有層次。楞嚴	如 兄 弟 相 次 先 後 適 宜 依 此 分 科 自 有 層 次 楞 嚴 
X33n0629_001:0434a23	正脈。頗得此訣。今疏倣之。但交師分析過甚。多於	正 脈 頗 得 此 訣 今 疏 倣 之 但 交 師 分 析 過 甚 多 於 
X33n0629_001:0434a24	應續反斷。初學不察。致義不貫。今疏別之。	應 續 反 斷 初 學 不 察 致 義 不 貫 今 疏 別 之 
X33n0629_001:0434b01	是續為避繁分。間有一科之中。含攝三二意者。若	是 續 為 避 繁 分 間 有 一 科 之 中 含 攝 三 二 意 者 若 
X33n0629_001:0434b02	不眉目。莫辨異同。因於本文用○斷之。至疏中各	不 眉 目 莫 辨 異 同 因 於 本 文 用 斷 之 至 疏 中 各 
X33n0629_001:0434b03	標其意。如起首則曰初某意。釋竟。其次又曰某某	標 其 意 如 起 首 則 曰 初 某 意 釋 竟 其 次 又 曰 某 某 
X33n0629_001:0434b04	下某意等。庶不至繁分。而眉目判然。	下 某 意 等 庶 不 至 繁 分 而 眉 目 判 然 
X33n0629_001:0434b05	古疏隨文科目。多不俱提。如一科分三。但標初科。	古 疏 隨 文 科 目 多 不 俱 提 如 一 科 分 三 但 標 初 科 
X33n0629_001:0434b06	即復曲分。或入文。殊令初學艱於檢對。今遵彌陀	即 復 曲 分 或 入 文 殊 令 初 學 艱 於 檢 對 今 遵 彌 陀 
X33n0629_001:0434b07	疏鈔科式。分已俱標。標已取次會文。疏訖。仍結某	疏 鈔 科 式 分 已 俱 標 標 已 取 次 會 文 疏 訖 仍 結 某 
X33n0629_001:0434b08	某科竟。若相隣甚近者。則不復結。為便觀覽。不至	某 科 竟 若 相 隣 甚 近 者 則 不 復 結 為 便 觀 覽 不 至 
X33n0629_001:0434b09	翻前揭後。	翻 前 揭 後 
X33n0629_001:0434b10	楞嚴正脉。交師用甲乙等字。以別科目層次。伯亭	楞 嚴 正 脉 交 師 用 甲 乙 等 字 以 別 科 目 層 次 伯 亭 
X33n0629_001:0434b11	老人。亦多承用。今疏全標科目。且疏竟仍結。前後	老 人 亦 多 承 用 今 疏 全 標 科 目 且 疏 竟 仍 結 前 後 
X33n0629_001:0434b12	次第。顯然可見。故不更置甲乙等字。	次 第 顯 然 可 見 故 不 更 置 甲 乙 等 字 
X33n0629_001:0434b13	經中喻文。古疏皆就喻立科。如火宅喻中捨几用	經 中 喻 文 古 疏 皆 就 喻 立 科 如 火 宅 喻 中 捨 几 用 
X33n0629_001:0434b14	車喻等。法中亦惟加一合字。不即顯法。致令法義	車 喻 等 法 中 亦 惟 加 一 合 字 不 即 顯 法 致 令 法 義 
X33n0629_001:0434b15	隱於喻中。究著方了。今疏喻科即依法立。如捨几	隱 於 喻 中 究 著 方 了 今 疏 喻 科 即 依 法 立 如 捨 几 
X33n0629_001:0434b16	用車喻。易為隱實施權喻等。法中亦惟去一喻字。	用 車 喻 易 為 隱 實 施 權 喻 等 法 中 亦 惟 去 一 喻 字 
X33n0629_001:0434b17	庶幾法義顯於喻中。不待究著即見。	庶 幾 法 義 顯 於 喻 中 不 待 究 著 即 見 
X33n0629_001:0434b18	偈頌科目。古疏皆以行數別之。講演時殊難憶持。	偈 頌 科 目 古 疏 皆 以 行 數 別 之 講 演 時 殊 難 憶 持 
X33n0629_001:0434b19	細詳其法。却亦無甚緊要。今以每科之下。既贅本	細 詳 其 法 却 亦 無 甚 緊 要 今 以 每 科 之 下 既 贅 本 
X33n0629_001:0434b20	文二字。前後分劑。已足揀別。故不載行數。	文 二 字 前 後 分 劑 已 足 揀 別 故 不 載 行 數 
X33n0629_001:0434b21	古疏品題置於科外。標頌混於科內。一似無歸。一	古 疏 品 題 置 於 科 外 標 頌 混 於 科 內 一 似 無 歸 一 
X33n0629_001:0434b22	似濫偈。今解各安口科。如遇品題。則曰此處有品	似 濫 偈 今 解 各 安 口 科 如 遇 品 題 則 曰 此 處 有 品 
X33n0629_001:0434b23	題。或直標品題云某某。釋竟。乃曰經文分幾。如遇	題 或 直 標 品 題 云 某 某 釋 竟 乃 曰 經 文 分 幾 如 遇 
X33n0629_001:0434b24	標頌。則曰此處有標頌。或直言標頌云某某。釋竟。	標 頌 則 曰 此 處 有 標 頌 或 直 言 標 頌 云 某 某 釋 竟 
X33n0629_001:0434c01	乃曰正頌分幾。講者依之。庶品題有歸。而標俱不	乃 曰 正 頌 分 幾 講 者 依 之 庶 品 題 有 歸 而 標 俱 不 
X33n0629_001:0434c02	濫矣。	濫 矣 
X33n0629_001:0434c03	什師分經。文成七卷。附以疏文。則七卷不能收攝。	什 師 分 經 文 成 七 卷 附 以 疏 文 則 七 卷 不 能 收 攝 
X33n0629_001:0434c04	古德或另分卷目。未免有背譯主本意。今疏卷目	古 德 或 另 分 卷 目 未 免 有 背 譯 主 本 意 今 疏 卷 目 
X33n0629_001:0434c05	仍舊。但於過厚者分之。題中標以某卷之上。某卷	仍 舊 但 於 過 厚 者 分 之 題 中 標 以 某 卷 之 上 某 卷 
X33n0629_001:0434c06	之下。蓋為珍重佛法。不敢擅易也。	之 下 蓋 為 珍 重 佛 法 不 敢 擅 易 也 
X33n0629_001:0434c07	古德著疏。間有與私意相符者。亦微有採掇。若全	古 德 著 疏 間 有 與 私 意 相 符 者 亦 微 有 採 掇 若 全 
X33n0629_001:0434c08	用其語。則標以名字。如言大成云等。若少有更換。	用 其 語 則 標 以 名 字 如 言 大 成 云 等 若 少 有 更 換 
X33n0629_001:0434c09	則言大成義云等。蓋不敢掩古之善也。	則 言 大 成 義 云 等 蓋 不 敢 掩 古 之 善 也 
X33n0629_001:0434c10	經前十門。先已粗定。文多從簡。義尤避繁。蓋得少	經 前 十 門 先 已 粗 定 文 多 從 簡 義 尤 避 繁 蓋 得 少 
X33n0629_001:0434c11	為足。強人同我。惟圖易持。不顧屈經。後因講華嚴	為 足 強 人 同 我 惟 圖 易 持 不 顧 屈 經 後 因 講 華 嚴 
X33n0629_001:0434c12	閱大疏。乃知非繁不能盡妙。惟簡無以匠心。且法	閱 大 疏 乃 知 非 繁 不 能 盡 妙 惟 簡 無 以 匠 心 且 法 
X33n0629_001:0434c13	華華嚴。相為終始。若不法彼懸談。恐致昧斯圓理	華 華 嚴 相 為 終 始 若 不 法 彼 懸 談 恐 致 昧 斯 圓 理 
X33n0629_001:0434c14	故茲重製。有異舊聞。較常似多。擬彼猶略。當善會	故 茲 重 製 有 異 舊 聞 較 常 似 多 擬 彼 猶 略 當 善 會 
X33n0629_001:0434c15	之可也。	之 可 也 
X33n0629_001:0435a01	法華經指掌疏目次	法 華 經 指 掌 疏 目 次 
X33n0629_001:0435a03	卷首科文懸示	卷 首 科 文 懸 示 
X33n0629_001:0435a04	卷第一之上	卷 第 一 之 上 
X33n0629_001:0435a05	序品第一	序 品 第 一 
X33n0629_001:0435a06	卷第一之下	卷 第 一 之 下 
X33n0629_001:0435a07	方便品第二	方 便 品 第 二 
X33n0629_001:0435a08	卷第二之上	卷 第 二 之 上 
X33n0629_001:0435a09	譬喻品第三	譬 喻 品 第 三 
X33n0629_001:0435a10	卷第二之下	卷 第 二 之 下 
X33n0629_001:0435a11	譬喻品之餘信解品第四	譬 喻 品 之 餘 信 解 品 第 四 
X33n0629_001:0435a12	卷第三	卷 第 三 
X33n0629_001:0435a13	藥草喻品第五授記品第六	藥 草 喻 品 第 五 授 記 品 第 六 
X33n0629_001:0435a14	化城喻品第七	化 城 喻 品 第 七 
X33n0629_001:0435a15	卷第四	卷 第 四 
X33n0629_001:0435a16	五百弟子受記品第八授學無學人記品第九	五 百 弟 子 受 記 品 第 八 授 學 無 學 人 記 品 第 九 
X33n0629_001:0435a17	法師品第十見寶塔品第十一	法 師 品 第 十 見 寶 塔 品 第 十 一 
X33n0629_001:0435a18	提婆達多品第十二持品第十三	提 婆 達 多 品 第 十 二 持 品 第 十 三 
X33n0629_001:0435a19	卷第五	卷 第 五 
X33n0629_001:0435a20	安樂行品第十四從地涌出品第十五	安樂行品 第 十 四 從地涌出 品 第 十 五 
X33n0629_001:0435a21	如來壽量品第十六分別功德品第十七	如 來 壽 量 品 第 十 六 分 別 功 德 品 第 十 七 
X33n0629_001:0435a22	卷第六	卷 第 六 
X33n0629_001:0435a23	隨喜功德品第十八法師功德品第十九	隨 喜 功 德 品 第 十 八 法 師 功 德 品 第 十 九 
X33n0629_001:0435a24	常不輕菩薩品第二十如來神力品第二十一	常 不 輕 菩 薩 品 第 二 十 如來神力 品 第 二 十 一 
X33n0629_001:0435b01	囑累品第二十二	囑 累 品 第 二 十 二 
X33n0629_001:0435b02	藥王菩薩本事品第二十三	藥 王 菩 薩 本 事 品 第 二 十 三 
X33n0629_001:0435b03	卷第七	卷 第 七 
X33n0629_001:0435b04	妙音菩薩品第二十四	妙 音 菩 薩 品 第 二 十 四 
X33n0629_001:0435b05	觀世音菩薩普門品第二十五	觀 世 音 菩 薩 普 門 品 第 二 十 五 
X33n0629_001:0435b06	陀羅尼品第二十六	陀 羅 尼 品 第 二 十 六 
X33n0629_001:0435b07	妙莊嚴王本事品第二十七	妙 莊 嚴 王 本 事 品 第 二 十 七 
X33n0629_001:0435b08	普賢菩薩勸發品第二十八	普 賢 菩 薩 勸 發 品 第 二 十 八 
X33n0629_001:0435b09	事義	事 義 
X33n0629_001:0435b11	法華經指掌疏目次(終)	法 華 經 指 掌 疏 目 次 終 
X33n0629_001:0435b17	 法古提綱	 法 古 提 綱 
X33n0629_001:0435b19	圓融露布。寥寂冲虗。非權非實。即三即一。混萬化為	圓 融 露 布 寥 寂 冲 虗 非 權 非 實 即 三 即 一 混 萬 化 為 
X33n0629_001:0435b20	一體。逈諸法而獨存。不可得而思議者。其惟實相歟。	一 體 逈 諸 法 而 獨 存 不 可 得 而 思 議 者 其 惟 實 相 歟 
X33n0629_001:0435b21	會權歸實。廢三立一。縱指十如。奪讓盡思。與雜華而	會 權 歸 實 廢 三 立 一 縱 指 十 如 奪 讓 盡 思 與 雜 華 而 
X33n0629_001:0435b22	合彩。掩眾景以孤輝。亦不可得而思議者。其惟妙法	合 彩 掩 眾 景 以 孤 輝 亦 不 可 得 而 思 議 者 其 惟 妙 法 
X33n0629_001:0435b23	蓮華經歟。故我世尊。證此法印。現於覺場。垂智輪於	蓮 華 經 歟 故 我 世 尊 證 此 法 印 現 於 覺 場 垂 智 輪 於 
X33n0629_001:0435b24	高山。吐玄宗於法界。為憐窮子。暫卸珍衣。分宗曲順	高 山 吐 玄 宗 於 法 界 為 憐 窮 子 暫 卸 珍 衣 分 宗 曲 順 
X33n0629_001:0435c01	乎時機。三乘漸開於諸會。擬將潛輝真際。仍思還照	乎 時 機 三 乘 漸 開 於 諸 會 擬 將 潛 輝 真 際 仍 思 還 照 
X33n0629_001:0435c02	雄峯。特赴靈山。廣集緣眾。聊施前導。演無量義之微	雄 峯 特 赴 靈 山 廣 集 緣 眾 聊 施 前 導 演 無 量 義 之 微 
X33n0629_001:0435c03	言。全揭後宗。舒一毫光而遠照。彌勒致問於今日。文	言 全 揭 後 宗 舒 一 毫 光 而 遠 照 彌 勒 致 問 於 今 日 文 
X33n0629_001:0435c04	殊證答於往因。既洩真機。詎能緘口。所以三昧初起。	殊 證 答 於 往 因 既 洩 真 機 詎 能 緘 口 所 以 三 昧 初 起 
X33n0629_001:0435c05	二智頻揚。羣疑交攻於眾懷。三請獨慇於身子。欲堅	二 智 頻 揚 羣 疑 交 攻 於 眾 懷 三 請 獨 慇 於 身 子 欲 堅 
X33n0629_001:0435c06	眾心。斥非機於五千增慢。為發真信。比難逢於一現	眾 心 斥 非 機 於 五 千 增 慢 為 發 真 信 比 難 逢 於 一 現 
X33n0629_001:0435c07	優曇。述自述他。明出世之致意全同。說權說實。顯入	優 曇 述 自 述 他 明 出 世 之 致 意 全 同 說 權 說 實 顯 入 
X33n0629_001:0435c08	大之文軌一定。上根已悟。中士猶迷。記授華光之徵。	大 之 文 軌 一 定 上 根 已 悟 中 士 猶 迷 記 授 華 光 之 徵 
X33n0629_001:0435c09	喻酧身子之請。方之長者。火起其家。癡子遊戲乎中。	喻 酧 身 子 之 請 方 之 長 者 火 起 其 家 癡 子 遊 戲 乎 中 
X33n0629_001:0435c10	不知不覺。慈父驚聞於外。弗救弗寧。許三輿而與一	不 知 不 覺 慈 父 驚 聞 於 外 弗 救 弗 寧 許 三 輿 而 與 一 
X33n0629_001:0435c11	車。知長者之意出真誠。開三乘而顯一道。信如來之	車 知 長 者 之 意 出 真 誠 開 三 乘 而 顯 一 道 信 如 來 之 
X33n0629_001:0435c12	言無虗妄。二乘歷敘執迷。自比窮子。四子同呈信解。	言 無 虗 妄 二 乘 歷 敘 執 迷 自 比 窮 子 四 子 同 呈 信 解 
X33n0629_001:0435c13	宜付家珍。進示雨無二滋。差別在物。令知法本一味。	宜 付 家 珍 進 示 雨 無 二 滋 差 別 在 物 令 知 法 本 一 味 
X33n0629_001:0435c14	深淺由機。乃通授果記。顯示喻說已周。復別開因緣。	深 淺 由 機 乃 通 授 果 記 顯 示 喻 說 已 周 復 別 開 因 緣 
X33n0629_001:0435c15	引接下根不墜。共遊寶所。同記佛乘。衣內明珠。指在	引 接 下 根 不 墜 共 遊 寶 所 同 記 佛 乘 衣 內 明 珠 指 在 
X33n0629_001:0435c16	親友。既有學旋慕其芳迹。而如來等賜以真慈。欲彰	親 友 既 有 學 旋 慕 其 芳 迹 而 如 來 等 賜 以 真 慈 欲 彰 
X33n0629_001:0435c17	普濟之功。故因藥王以顯益。為明弘願之力。乃借多	普 濟 之 功 故 因 藥 王 以 顯 益 為 明 弘 願 之 力 乃 借 多 
X33n0629_001:0435c18	寶而祈通。狂慧廢置進修。觀迦文因種於多劫。應知	寶 而 祈 通 狂 慧 廢 置 進 修 觀 迦 文 因 種 於 多 劫 應 知 
X33n0629_001:0435c19	心慚。鈍根高推聖境。視龍女果證於一時。亦思力奮。	心 慚 鈍 根 高 推 聖 境 視 龍 女 果 證 於 一 時 亦 思 力 奮 
X33n0629_001:0435c20	於是一肩擔荷。幸斯道之典型得人。四行執持。喜禦	於 是 一 肩 擔 荷 幸 斯 道 之 典 型 得 人 四 行 執 持 喜 禦 
X33n0629_001:0435c21	難之柯柄有法。又以新記聲聞。初心菩薩。智量淺狹。	難 之 柯 柄 有 法 又 以 新 記 聲 聞 初 心 菩 薩 智 量 淺 狹 
X33n0629_001:0435c22	罔克弘濟。故假他方開士。請命弘經。遠召本地門徒。	罔 克 弘 濟 故 假 他 方 開 士 請 命 弘 經 遠 召 本 地 門 徒 
X33n0629_001:0435c23	丕承佛道。補處菩薩。執近迹而迷遠因。說父少子老	丕 承 佛 道 補 處 菩 薩 執 近 迹 而 迷 遠 因 說 父 少 子 老 
X33n0629_001:0435c24	之喻。中天調御。依本壽而顯妙用。舉良醫背子之匹。	之 喻 中 天 調 御 依 本 壽 而 顯 妙 用 舉 良 醫 背 子 之 匹 
X33n0629_001:0436a01	宏功既彰。迷封斯啟。不惟新記聲聞。初心菩薩。頓覺	宏 功 既 彰 迷 封 斯 啟 不 惟 新 記 聲 聞 初 心 菩 薩 頓 覺 
X33n0629_001:0436a02	身陡妙峯。自此深位上士。積行高哲。轉如神遊香海。	身 陡 妙 峯 自 此 深 位 上 士 積 行 高 哲 轉 如 神 遊 香 海 
X33n0629_001:0436a03	分別功德。功德不可限量。較量福因。福因詎有邊涯。	分 別 功 德 功 德 不 可 限 量 較 量 福 因 福 因 詎 有 邊 涯 
X33n0629_001:0436a04	六根清淨。不輕之證據昭然。四眾毀非。阿鼻之報應	六 根 清 淨 不 輕 之 證 據 昭 然 四 眾 毀 非 阿 鼻 之 報 應 
