X60n1129_001:0678a03	 歸戒序	 歸 戒 序 
X60n1129_001:0678a18	而弗及者乎。得其本。則無欲而不辦。去其實。則何從	而 弗 及 者 乎 得 其 本 則 無 欲 而 不 辦 去 其 實 則 何 從 
X60n1129_001:0678a19	以措心。是以梵志捨異學。而歸投三尊。菩薩奉禁戒。	以 措 心 是 以 梵 志 捨 異 學 而 歸 投 三 尊 菩 薩 奉 禁 戒 
X60n1129_001:0678a20	而位同大覺。如斯之教。孰得而思議哉。時	而 位 同 大 覺 如 斯 之 教 孰 得 而 思 議 哉 時 
X60n1129_001:0678a21	康熈癸卯仲夏鼎湖山比丘弘贊識	康 熈 癸 卯 仲 夏 鼎 湖 山 比 丘 弘 贊 識 
X60n1129_001:0678b03	歸戒要集卷上	歸 戒 要 集 卷 上 
X60n1129_001:0678b05	粤東鼎湖山沙門釋　弘贊在犙輯	粤 東 鼎 湖 山 沙 門 釋 弘 贊 在 犙 輯 
X60n1129_001:0678b06	受三歸法	受 三 歸 法 
X60n1129_001:0678b07	按四分律。如來於菩提樹下。成等正覺已。結加趺坐。	按 四 分 律 如 來 於 菩提樹下 成等正覺 已 結加趺坐 
X60n1129_001:0678b08	七日不動。受解脫樂。過七日已。從定而起。未有所食。	七 日 不 動 受 解 脫 樂 過 七 日 已 從 定 而 起 未 有 所 食 
X60n1129_001:0678b09	時有賈客兄弟二人。一名瓜。二名憂波離(餘經云。一名提謂。二	時 有 賈 客 兄 弟 二 人 一 名 瓜 二 名 憂 波 離 餘 經 云 一 名 提 謂 二 
X60n1129_001:0678b10	名波利)。將五百乘車載財寶。去樹不遠而過。樹神勸令	名 波 利 將 五 百 乘 車 載 財 寶 去 樹 不 遠 而 過 樹 神 勸 令 
X60n1129_001:0678b11	以蜜[麩夫+少]奉獻如來。二人聞已歡喜。即持蜜[麩夫+少]奉獻如	以 蜜 [麩夫少]奉獻如來二人聞已歡喜即持蜜[麩夫少] 奉 獻 如 
X60n1129_001:0678b12	來。佛慈愍故受已。即勸喻而開化之。告曰。汝等賈人。	來 佛 慈 愍 故 受 已 即 勸 喻 而 開 化 之 告 曰 汝 等 賈 人 
X60n1129_001:0678b13	今可歸依佛。歸依法。即受教言。大德。我今歸依佛。歸	今 可 歸 依 佛 歸 依 法 即 受 教 言 大 德 我 今 歸 依 佛 歸 
X60n1129_001:0678b14	依法。是為優婆塞中最初受二歸依。時二人白佛言。	依 法 是 為 優 婆 塞 中 最 初 受 二 歸 依 時 二 人 白 佛 言 
X60n1129_001:0678b15	我今還本生處。當云何作福。禮敬供養。世尊即與髮	我 今 還 本 生 處 當 云 何 作 福 禮 敬 供 養 世 尊 即 與 髮 
X60n1129_001:0678b16	爪。令持歸作福。禮敬供養(時未有僧。故受二歸。餘經云。佛教言。汝當歸依僧。未	爪 令 持 歸 作 福 禮 敬 供 養 時 未 有 僧 故 受 二 歸 餘 經 云 佛 教 言 汝 當 歸 依 僧 未 
X60n1129_001:0678b17	來有僧故。二人是雪山西。縛喝國之城人。承如來命。請髮歸國。各於二城。建一塔供養。此是釋迦如來最初之	來 有 僧 故 二 人 是 雪 山 西 縛 喝 國 之 城 人 承 如 來 命 請 髮 歸 國 各 於 二 城 建 一 塔 供 養 此 是 釋 迦 如 來 最 初 之 
X60n1129_001:0678b18	塔也。普曜經云。佛授二人記。當來作佛。號曰蜜成如來)。時世尊食[麩夫+少]蜜已。結加	塔 也 普 曜 經 云 佛 授 二 人 記 當 來 作 佛 號 曰 蜜 成 如 來 時 世 尊 食 [麩夫少] 蜜 已 結 加 
X60n1129_001:0678b19	趺坐。七日不動。遊解脫三昧而自娛樂。過七日。從三	趺 坐 七 日 不 動 遊 解 脫 三 昧 而 自 娛 樂 過 七 日 從 三 
X60n1129_001:0678b20	昧起。呵梨勒樹神。篤信於佛。取呵梨勒果來奉世尊。	昧 起 呵 梨 勒 樹 神 篤 信 於 佛 取 呵 梨 勒 果 來 奉 世 尊 
X60n1129_001:0678b21	佛愍彼故。即便受之。告言。汝今歸依佛。歸依法。答言。	佛 愍 彼 故 即 便 受 之 告 言 汝 今 歸 依 佛 歸 依 法 答 言 
X60n1129_001:0678b22	如是。即歸依佛。歸依法。諸神受歸依者。呵梨勒樹神	如 是 即 歸 依 佛 歸 依 法 諸 神 受 歸 依 者 呵 梨 勒 樹 神 
X60n1129_001:0678b23	最初也。時佛食果已。復入三昧七日。從三昧起。持鉢	最 初 也 時 佛 食 果 已 復 入 三 昧 七 日 從 三 昧 起 持 鉢 
X60n1129_001:0678b24	入鬱毗羅村乞食。時蘇闍羅大將女。發歡喜心。出食	入 鬱 毗 羅 村 乞 食 時 蘇 闍 羅 大 將 女 發歡喜心 出 食 
X60n1129_001:0678c01	施與。佛愍彼故受之。告言。汝今歸依佛。歸依法。答言。	施 與 佛 愍 彼 故 受 之 告 言 汝 今 歸 依 佛 歸 依 法 答 言 
X60n1129_001:0678c02	如是。我今歸依佛。歸依法。諸優婆夷受二歸者。大將	如 是 我 今 歸 依 佛 歸 依 法 諸 優 婆 夷 受 二 歸 者 大 將 
X60n1129_001:0678c03	女為最初也。時佛詣文驎龍水邊。龍王化作少年。合	女 為 最 初 也 時 佛 詣 文 驎 龍 水 邊 龍 王 化 作 少 年 合 
X60n1129_001:0678c04	掌互跪。禮如來足。以偈讚佛。佛告龍王。汝今歸依佛	掌 互 跪 禮 如 來 足 以 偈 讚 佛 佛 告 龍 王 汝 今 歸 依 佛 
X60n1129_001:0678c05	法。答言。如是。我今歸依佛法。畜生受二歸者。文驎龍	法 答 言 如 是 我 今 歸 依 佛 法 畜 生 受 二 歸 者 文 驎 龍 
X60n1129_001:0678c06	王為首。爾時世尊。受梵天王請轉法輪已。往波羅柰	王 為 首 爾 時 世 尊 受 梵 天 王 請 轉 法 輪 已 往 波 羅 柰 
X60n1129_001:0678c07	國鹿野園中。為憍陳如等五比丘。三轉四諦法輪。心	國 鹿 野 園 中 為 憍 陳 如 等 五 比 丘 三 轉 四 諦 法 輪 心 
X60n1129_001:0678c08	得解脫。成阿羅漢。是為僧寶。人天無上福田(後度耶舍伽子。	得 解 脫 成 阿 羅 漢 是 為 僧 寶 人 天 無 上 福 田 後 度 耶 舍 伽 子 
X60n1129_001:0678c09	舍利弗。目犍連。三迦葉徒眾。共千二百五十人。[宋木+取]後涅槃。度須跋陀羅。於其中間所度者。不可勝數。故經云。佛	舍 利 弗 目 犍 連 三 迦 葉 徒 眾 共 千二百五十 人 [宋木取] 後 涅 槃 度 須 跋 陀 羅 於其中間 所 度 者 不 可 勝 數 故 經 云 佛 
X60n1129_001:0678c10	告阿難。如來東方弟子。無數億千。南西北方弟子。無數億千)。時耶舍伽父。往見世	告 阿 難 如 來 東 方 弟 子 無 數 億 千 南 西 北 方 弟 子 無 數 億 千 時 耶 舍 伽 父 往 見 世 
X60n1129_001:0678c11	尊。佛為說法。即得須陀洹果。白佛言。我今歸依佛。歸	尊 佛 為 說 法 即 得 須陀洹果 白 佛 言 我 今 歸 依 佛 歸 
X60n1129_001:0678c12	依法。歸依僧。唯願世尊。聽為優婆塞。自今以去。盡形	依 法 歸 依 僧 唯 願 世 尊 聽 為 優 婆 塞 自 今 以 去 盡 形 
X60n1129_001:0678c13	壽不殺生。乃至不飲酒。是為最初三自歸。耶舍伽父	壽 不 殺 生 乃 至 不 飲 酒 是 為 最 初 三 自 歸 耶 舍 伽 父 
X60n1129_001:0678c14	為首。時耶舍伽母及妻。辦種種飲食。奉上世尊。佛為	為 首 時 耶 舍 伽 母 及 妻 辦 種 種 飲 食 奉 上 世 尊 佛 為 
X60n1129_001:0678c15	說法。得須陀洹果。白佛言。自今已去。歸依佛法僧。聽	說 法 得 須陀洹果 白 佛 言 自 今 已 去 歸 依 佛 法 僧 聽 
X60n1129_001:0678c16	為優婆夷。自今已去。盡形壽不殺生。乃至不飲酒。是	為 優 婆 夷 自 今 已 去 盡 形 壽 不 殺 生 乃 至 不 飲 酒 是 
X60n1129_001:0678c17	謂最初受三自歸優婆夷。耶舍伽母及妻為首。大灌	謂 最 初 受 三 自 歸 優 婆 夷 耶 舍 伽 母 及 妻 為 首 大 灌 
X60n1129_001:0678c18	頂經云。佛在舍衛國。與比丘菩薩。天龍八部說法。時	頂 經 云 佛 在 舍 衛 國 與 比 丘 菩 薩 天 龍 八 部 說 法 時 
X60n1129_001:0678c19	有鹿頭梵志來到佛所。稽首作禮。白佛言。久聞如來	有 鹿 頭 梵 志 來 到 佛 所 稽 首 作 禮 白 佛 言 久 聞 如 來 
X60n1129_001:0678c20	名聲遠振。今欲捨置異學。受三自歸。并五戒法。佛言。	名 聲 遠 振 今 欲 捨 置 異 學 受 三 自 歸 并 五 戒 法 佛 言 
X60n1129_001:0678c21	善哉。梵志。汝能捨置餘道。歸依我者。當自悔過生死	善 哉 梵 志 汝 能 捨 置 餘 道 歸 依 我 者 當 自 悔 過 生 死 
X60n1129_001:0678c22	之罪。其功無量。不可稱計。梵志言。諾。受教。即淨身口	之 罪 其 功 無 量 不可稱計 梵 志 言 諾 受 教 即 淨 身 口 
X60n1129_001:0678c23	意。復作是念。唯願世尊施法戒。終身奉行。不敢毀缺。	意 復 作 是 念 唯 願 世 尊 施 法 戒 終 身 奉 行 不 敢 毀 缺 
X60n1129_001:0678c24	佛言。三世諸佛。說是戒法。汝應諦聽諦受。心持念之。	佛 言 三世諸佛 說 是 戒 法 汝 應 諦 聽 諦 受 心 持 念 之 
X60n1129_001:0679a01	佛言。盡形壽歸命諸佛。無上尊。盡形壽歸命法。離欲	佛 言 盡 形 壽 歸 命 諸 佛 無 上 尊 盡 形 壽 歸 命 法 離 欲 
X60n1129_001:0679a02	尊。盡形壽歸命僧。眾中尊。佛言。梵志。以三自歸竟。是	尊 盡 形 壽 歸 命 僧 眾 中 尊 佛 言 梵 志 以 三 自 歸 竟 是 
X60n1129_001:0679a03	為真正弟子。不為邪惡所干嬈也。故薩婆多論云。以	為 真 正 弟 子 不 為 邪 惡 所 干 嬈 也 故 薩 婆 多 論 云 以 
X60n1129_001:0679a04	三寶為所歸。欲令救護。不得侵陵故也。華嚴疏云。三	三 寶 為 所 歸 欲 令 救 護 不 得 侵 陵 故 也 華 嚴 疏 云 三 
X60n1129_001:0679a05	寶吉祥。最勝良緣。有歸依者。能辦大事。生諸善根。離	寶 吉 祥 最 勝 良 緣 有 歸 依 者 能 辦 大 事 生 諸 善 根 離 
X60n1129_001:0679a06	生死苦。得涅槃樂。今欲受者。須先教禮三寶。及本師	生 死 苦 得 涅 槃 樂 今 欲 受 者 須 先 教 禮 三 寶 及 本 師 
X60n1129_001:0679a07	釋迦世尊。次禮戒師。然後受之。如智度論。正欲受時。	釋 迦 世 尊 次 禮 戒 師 然 後 受 之 如 智 度 論 正 欲 受 時 
X60n1129_001:0679a08	具修威儀。至出家人前。戒師為說善惡兩法。令識邪	具 修 威 儀 至 出 家 人 前 戒 師 為 說 善 惡 兩 法 令 識 邪 
X60n1129_001:0679a09	正。生其欣厭。開拓心神。然後為授云。	正 生 其 欣 厭 開 拓 心 神 然 後 為 授 云 
X60n1129_001:0679a10	我某甲。盡形壽歸依佛。歸依法。歸依僧(教令三說。得屬法已。次授	我 某 甲 盡 形 壽 歸 依 佛 歸 依 法 歸 依 僧 教 令 三 說 得 屬 法 已 次 授 
X60n1129_001:0679a11	三結)。	三 結 
X60n1129_001:0679a12	我某甲。盡形壽歸依佛竟。歸依法竟。歸依僧竟(三說)。	我 某 甲 盡 形 壽 歸 依 佛 竟 歸 依 法 竟 歸 依 僧 竟 三 說 
X60n1129_001:0679a13	當知初三歸依竟。即發善法。次三結已。唯有身口。無	當 知 初 三 歸 依 竟 即 發 善 法 次 三 結 已 唯 有 身 口 無 
X60n1129_001:0679a14	我屬已。故大方便經云。三歸以何為性。有論言。是教	我 屬 已 故 大 方 便 經 云 三 歸 以 何 為 性 有 論 言 是 教 
X60n1129_001:0679a15	無教性。受三歸時。胡跪合掌。口說三歸。是名身口也。	無 教 性 受 三 歸 時 胡 跪 合 掌 口 說 三 歸 是 名 身 口 也 
X60n1129_001:0679a16	若純重心。有身口無教。是謂教無教。故薩婆多論云。	若 純 重 心 有 身 口 無 教 是 謂 教 無 教 故 薩 婆 多 論 云 
X60n1129_001:0679a17	若淳重心受。具教無教。若輕慢心受。但有其教。無其	若 淳 重 心 受 具 教 無 教 若 輕 慢 心 受 但 有 其 教 無 其 
X60n1129_001:0679a18	無教(教無教。即作無作戒體也)。此教無教。雖云三歸。然總該諸戒	無 教 教 無 教 即 作 無 作 戒 體 也 此 教 無 教 雖 云 三 歸 然 總 該 諸 戒 
X60n1129_001:0679a19	之體。若受三歸。但名歸法。而無戒法。是以論云。有所	之 體 若 受 三 歸 但 名 歸 法 而 無 戒 法 是 以 論 云 有 所 
X60n1129_001:0679a20	加。得歸及戒。若無加者。有歸無戒。故毗尼母論。明三	加 得 歸 及 戒 若 無 加 者 有 歸 無 戒 故 毗 尼 母 論 明 三 
X60n1129_001:0679a21	歸有五種。一翻邪三歸。二五戒三歸。三八戒三歸。四	歸 有 五 種 一 翻 邪 三 歸 二 五 戒 三 歸 三 八 戒 三 歸 四 
X60n1129_001:0679a22	十戒三歸。五大戒三歸。言大戒三歸者。謂佛初度人。	十 戒 三 歸 五 大 戒 三 歸 言 大 戒 三 歸 者 謂 佛 初 度 人 
X60n1129_001:0679a23	未制羯磨。有受三歸而得大戒者。有喚善來而成比	未 制 羯 磨 有 受 三 歸 而 得 大 戒 者 有 喚 善 來 而 成 比 
X60n1129_001:0679a24	丘者。制後不得也。言翻邪三歸者。謂眾生從無始劫	丘 者 制 後 不 得 也 言 翻 邪 三 歸 者 謂 眾 生 從 無 始 劫 
X60n1129_001:0679b01	來。惑業所障。不識三寶。不知出離。或依天神外道。或	來 惑 業 所 障 不 識 三 寶 不 知 出 離 或 依 天 神 外 道 或 
X60n1129_001:0679b02	依世教。為所歸依。今始易心歸投正教。翻破邪歸。以	依 世 教 為 所 歸 依 今 始 易 心 歸 投 正 教 翻 破 邪 歸 以 
X60n1129_001:0679b03	為入道修因證果之根本。故佛令彼先受三歸。後始	為 入 道 修 因 證 果 之 根 本 故 佛 令 彼 先 受 三 歸 後 始 
X60n1129_001:0679b04	懺悔。是名翻邪三歸也。然既歸依三寶。必須斷惡修	懺 悔 是 名 翻 邪 三 歸 也 然 既 歸 依 三 寶 必 須 斷 惡 修 
X60n1129_001:0679b05	善。方名佛子。豈容仍舊殺盜婬妄。而濫稱為優婆塞	善 方 名 佛 子 豈 容 仍 舊 殺 盜 婬 妄 而 濫 稱 為 優 婆 塞 
X60n1129_001:0679b06	乎。論云。並須師教。不得自受。若師言歸依佛。弟子答	乎 論 云 並 須 師 教 不 得 自 受 若 師 言 歸 依 佛 弟 子 答 
X60n1129_001:0679b07	言爾。或言不出口。或逐師語不具。或不稱己名字。或	言 爾 或 言 不 出 口 或 逐 師 語 不 具 或 不 稱 己 名 字 或 
X60n1129_001:0679b08	兩國言音不相領解。或從一二三人。各受一歸。並不	兩 國 言 音 不 相 領 解 或 從 一 二 三 人 各 受 一 歸 並 不 
X60n1129_001:0679b09	成歸。大方便經云。優波離白佛言。世尊。若受歸戒時。	成 歸 大 方 便 經 云 優 波 離 白 佛 言 世 尊 若 受 歸 戒 時 
X60n1129_001:0679b10	先稱法。後稱佛者。成三歸不。答曰。無曉知。說不次第	先 稱 法 後 稱 佛 者 成 三 歸 不 答 曰 無 曉 知 說 不 次 第 
X60n1129_001:0679b11	者。自不得罪。得成三歸。若有所解。故倒說者。得罪。亦	者 自 不 得 罪 得 成 三 歸 若 有 所 解 故 倒 說 者 得 罪 亦 
X60n1129_001:0679b12	不成歸。問曰。若稱佛及法。不稱僧者。或稱法僧。不稱	不 成 歸 問 曰 若 稱 佛 及 法 不 稱 僧 者 或 稱 法 僧 不 稱 
X60n1129_001:0679b13	佛者。或稱佛僧。不稱法者。成三歸不。答曰。並不成三	佛 者 或 稱 佛 僧 不 稱 法 者 成 三 歸 不 答 曰 並 不 成 三 
X60n1129_001:0679b14	歸。佛以法為師。佛從法生。法是佛母。佛依法住。問曰。	歸 佛 以 法 為 師 佛 從 法 生 法 是 佛 母 佛 依 法 住 問 曰 
X60n1129_001:0679b15	佛若以法為師者。於三寶中。何不以法為初。答曰。法	佛 若 以 法 為 師 者 於 三 寶 中 何 不 以 法 為 初 答 曰 法 
X60n1129_001:0679b16	雖是佛師。而法非佛不弘。所謂道由人弘。是故以佛	雖 是 佛 師 而 法 非 佛 不 弘 所 謂 道 由 人 弘 是 故 以 佛 
X60n1129_001:0679b17	在初。優婆塞戒經云。長者善生。白佛言。世尊。云何名	在 初 優婆塞戒 經 云 長 者 善 生 白 佛 言 世 尊 云 何 名 
X60n1129_001:0679b18	為三歸。佛言。善男子。為破諸苦。斷除煩惱。受於無上	為 三 歸 佛 言 善 男 子 為 破 諸 苦 斷 除 煩 惱 受 於 無 上 
X60n1129_001:0679b19	寂滅之樂。以是因緣。受三歸依。如汝所問。云何三歸	寂 滅 之 樂 以是因緣 受 三 歸 依 如 汝 所 問 云 何 三 歸 
X60n1129_001:0679b20	者。謂佛法僧。佛者能說斷煩惱因。得正解脫。法者。即	者 謂 佛 法 僧 佛 者 能 說 斷 煩 惱 因 得 正 解 脫 法 者 即 
X60n1129_001:0679b21	是煩惱因。真實解脫。僧者。稟受破煩惱因。得正解脫。	是 煩 惱 因 真 實 解 脫 僧 者 稟 受 破 煩 惱 因 得 正 解 脫 
X60n1129_001:0679b22	或有說言。若如是者。則是一歸。是義不然。何以故。如	或 有 說 言 若 如 是 者 則 是 一 歸 是 義 不 然 何 以 故 如 
X60n1129_001:0679b23	來出世。及不出世。正法常有。無分別者。如來出世。則	來 出 世 及 不 出 世 正 法 常 有 無 分 別 者 如 來 出 世 則 
X60n1129_001:0679b24	有分別。是故應當別歸依佛。如來出世。及不出世。正	有 分 別 是 故 應 當 別 歸 依 佛 如 來 出 世 及 不 出 世 正 
X60n1129_001:0679c01	法常有。無有持者。如來出已。則有持者。是故應當別	法 常 有 無 有 持 者 如 來 出 已 則 有 持 者 是 故 應 當 別 
X60n1129_001:0679c02	歸依法。如來出世。及不出世。正法常有。無有受者。如	歸 依 法 如 來 出 世 及 不 出 世 正 法 常 有 無 有 受 者 如 
X60n1129_001:0679c03	來出已。則有受者。佛弟子眾。能稟受故。是故應當別	來 出 已 則 有 受 者 佛 弟 子 眾 能 稟 受 故 是 故 應 當 別 
X60n1129_001:0679c04	歸依僧。正道解脫。是名為法。無師獨覺。是名為佛。能	歸 依 僧 正 道 解 脫 是 名 為 法 無 師 獨 覺 是 名 為 佛 能 
X60n1129_001:0679c05	如法受。是名為僧。若無三歸。云何說有四不壞信。善	如 法 受 是 名 為 僧 若 無 三 歸 云 何 說 有 四不壞信 善 
X60n1129_001:0679c06	男子。如佛緣覺聲聞各異。是故三寶不得不異。何因	男 子 如 佛 緣 覺 聲 聞 各 異 是 故 三 寶 不 得 不 異 何 因 
X60n1129_001:0679c07	緣故。說佛即法。能解是法。故名為佛。受分別說。故名	緣 故 說 佛 即 法 能 解 是 法 故 名 為 佛 受 分 別 說 故 名 
X60n1129_001:0679c08	為僧。觀有為法。多諸罪過。獨處修行。得甘露味。故名	為 僧 觀 有 為 法 多 諸 罪 過 獨 處 修 行 得 甘 露 味 故 名 
X60n1129_001:0679c09	為佛。一切無漏無為法界。故名為法。受持禁戒。讀誦	為 佛 一 切 無 漏 無 為 法 界 故 名 為 法 受 持 禁 戒 讀 誦 
X60n1129_001:0679c10	解說十二部經。故名為僧。若有說言。如來滅已。歸依	解 說 十二部經 故 名 為 僧 若 有 說 言 如 來 滅 已 歸 依 
X60n1129_001:0679c11	佛者。是何歸依。善男子。如是歸依。名為歸依過去諸	佛 者 是 何 歸 依 善 男 子 如 是 歸 依 名 為 歸 依 過 去 諸 
X60n1129_001:0679c12	佛。無學之法。如我先教提謂長者。汝當歸依未來世	佛 無 學 之 法 如 我 先 教 提 謂 長 者 汝 當 歸 依 未 來 世 
X60n1129_001:0679c13	僧。歸依過去佛。亦復如是。福田果報。有多少故。差別	僧 歸 依 過 去 佛 亦復如是 福 田 果 報 有 多 少 故 差 別 
X60n1129_001:0679c14	為三。若佛在世。及涅槃後。供養果報。無有差別。受歸	為 三 若 佛 在 世 及 涅 槃 後 供 養 果 報 無有差別 受 歸 
X60n1129_001:0679c15	依者。亦復如是。若男若女。能三說三歸依者。名優婆	依 者 亦復如是 若 男 若 女 能 三 說 三 歸 依 者 名 優 婆 
X60n1129_001:0679c16	塞優婆夷。智者深觀。如來智慧。解脫最勝。能說解脫。	塞 優 婆 夷 智 者 深 觀 如來智慧 解 脫 最 勝 能 說 解 脫 
X60n1129_001:0679c17	及解脫因。能說無上寂靜之處。能竭生死苦惱大海。	及 解 脫 因 能 說 無 上 寂 靜 之 處 能 竭 生 死 苦 惱 大 海 
X60n1129_001:0679c18	威儀詳序。三業寂靜。是故應當先歸依佛。智者深觀。	威 儀 詳 序 三 業 寂 靜 是 故 應 當 先 歸 依 佛 智 者 深 觀 
X60n1129_001:0679c19	生死之法。是大苦聚。無上正道。能永斷之。生死之法。	生 死 之 法 是 大 苦 聚 無 上 正 道 能 永 斷 之 生 死 之 法 
X60n1129_001:0679c20	渴愛饑饉。無上甘露。味能充足。生死之法。怖畏險難。	渴 愛 饑 饉 無 上 甘 露 味 能 充 足 生 死 之 法 怖 畏 險 難 
X60n1129_001:0679c21	無上正法。能除斷之。生死錯謬。邪僻不正。無常見常。	無 上 正 法 能 除 斷 之 生 死 錯 謬 邪 僻 不 正 無 常 見 常 
X60n1129_001:0679c22	無我見我。無樂見樂。不淨見淨。無上正法。悉能除斷。	無 我 見 我 無 樂 見 樂 不 淨 見 淨 無 上 正 法 悉 能 除 斷 
X60n1129_001:0679c23	以是因緣。故應歸依法。智者應觀。外道徒眾。無慚無	以是因緣 故 應 歸 依 法 智 者 應 觀 外 道 徒 眾 無 慚 無 
X60n1129_001:0679c24	愧。非如法住。雖為道行。不知正路。雖求解脫。不得正	愧 非 如 法 住 雖 為 道 行 不 知 正 路 雖 求 解 脫 不 得 正 
X60n1129_001:0680a01	要。雖得世俗微善之法。慳悋護惜。不能轉說。非善行	要 雖 得 世 俗 微 善 之 法 慳 悋 護 惜 不 能 轉 說 非 善 行 
X60n1129_001:0680a02	性。作善行想。佛僧寂靜。心多憐愍。少欲知足。如法而	性 作 善 行 想 佛 僧 寂 靜 心 多 憐 愍 少欲知足 如 法 而 
X60n1129_001:0680a03	住。修於正道。得正解脫。得已。復能轉為人說。是故應	住 修 於 正 道 得 正 解 脫 得 已 復 能 轉 為 人 說 是 故 應 
X60n1129_001:0680a04	當次歸依僧。若能禮拜如是三寶。來迎去送。尊重讚	當 次 歸 依 僧 若 能 禮 拜 如 是 三 寶 來 迎 去 送 尊 重 讚 
X60n1129_001:0680a05	嘆。如法如住。信之不疑。是則名為供養三寶。受三歸	嘆 如 法 如 住 信 之 不 疑 是 則 名 為 供養三寶 受 三 歸 
X60n1129_001:0680a06	已。造作癡業。受外道法。自在天語。以是因緣。失於三	已 造 作 癡 業 受 外 道 法 自 在 天 語 以是因緣 失 於 三 
X60n1129_001:0680a07	歸。若人質直。心無慳貪。常修慚愧。少欲知足。是人不	歸 若 人 質 直 心 無 慳 貪 常 修 慚 愧 少欲知足 是 人 不 
X60n1129_001:0680a08	久得寂靜身(法身也)。若有造作種種雜業。為受樂故。修	久 得 寂 靜 身 法 身 也 若 有 造 作 種 種 雜 業 為 受 樂 故 修 
X60n1129_001:0680a09	於善事。如市易法。其心不能憐愍眾生。如是之人。不	於 善 事 如 市 易 法 其 心 不 能 憐 愍 眾 生 如 是 之 人 不 
X60n1129_001:0680a10	得三歸。須達長者。教告家內。在胎之子。悉受歸依。是	得 三 歸 須 達 長 者 教 告 家 內 在 胎 之 子 悉 受 歸 依 是 
X60n1129_001:0680a11	胎中子。實不成歸。何以故。是法要當口自宣說。雖不	胎 中 子 實 不 成 歸 何 以 故 是 法 要 當 口 自 宣 說 雖 不 
X60n1129_001:0680a12	成歸。亦能護之。善生白言。世尊。何等之人。得三歸依。	成 歸 亦 能 護 之 善 生 白 言 世 尊 何 等 之 人 得 三 歸 依 
X60n1129_001:0680a13	何等之人。不得三歸。佛言。善男子。若人信因。信果。信	何 等 之 人 不 得 三 歸 佛 言 善 男 子 若 人 信 因 信 果 信 
X60n1129_001:0680a14	諦。信有得道。如是之人。則得三歸。若人至心信不可	諦 信 有 得 道 如 是 之 人 則 得 三 歸 若 人 至 心 信 不 可 
X60n1129_001:0680a15	敗。親近三寶。受善友教。如是之人。則得三歸。優婆塞	敗 親 近 三 寶 受 善 友 教 如 是 之 人 則 得 三 歸 優 婆 塞 
X60n1129_001:0680a16	戒。亦復如是。若能觀是優婆塞戒。多有無量功德果	戒 亦復如是 若 能 觀 是 優婆塞戒 多 有 無量功德 果 
X60n1129_001:0680a17	報。能壞無量弊惡之法。眾生無邊。受苦亦爾。難得人	報 能 壞 無 量 弊 惡 之 法 眾 生 無 邊 受 苦 亦 爾 難 得 人 
X60n1129_001:0680a18	身。雖得人身。難具諸根。雖具諸根。難得信心。雖得信	身 雖 得 人 身 難 具 諸 根 雖 具 諸 根 難 得 信 心 雖 得 信 
