T21n1224_001:0133b05	金剛童子持念經	金剛童子 持 念 經 
T21n1224_001:0133b29	次結金剛部三昧耶印。如前遍禮印安於心	次 結 金 剛 部 三 昧 耶 印 如 前 遍 禮 印 安 於 心 
T21n1224_001:0133c01	上。誦真言三遍。舉印安於頂左左耳之上。想	上 誦 真 言 三 遍 舉 印 安 於 頂 左 左 耳 之 上 想 
T21n1224_001:0133c02	如金剛藏菩薩。金剛部三昧耶真言曰。	如 金 剛 藏 菩 薩 金 剛 部 三 昧 耶 真 言 曰 
T21n1224_001:0133c03	唵嚩曰嚧(二合引)納婆(二合)嚩(引)野娑嚩(二合引)賀(引)	唵 嚩 曰 嚧 二 合 引 納 婆 二 合 嚩 引 野 娑 嚩 二 合 引 賀 引 
T21n1224_001:0133c04	以結護身印。二羽右押左。內相叉直竪。二念	以 結 護 身 印 二 羽 右 押 左 內 相 叉 直 竪 二 念 
T21n1224_001:0133c05	頭相柱。二定微曲。於二念背不令相著。如三	頭 相 柱 二 定 微 曲 於 二 念 背 不 令 相 著 如 三 
T21n1224_001:0133c06	股杵形。二惠并竪。掌中押二進二信上即成。	股 杵 形 二 惠 并 竪 掌 中 押 二 進 二 信 上 即 成 
T21n1224_001:0133c07	本經中或用根本印亦得。今取蘇悉地經中	本 經 中 或 用 根 本 印 亦 得 今 取 蘇 悉 地 經 中 
T21n1224_001:0133c08	通法真言即不[阿可+文]。護身真言。	通 法 真 言 即 不 [阿可文] 護 身 真 言 
T21n1224_001:0133c09	唵薩嚩訥瑟吒(二合)嚩餉羯囉迦抳矩嚕(二合引)	唵 薩 嚩 訥 瑟 吒 二 合 嚩 餉 羯 囉 迦 抳 矩 嚕 二 合 引 
T21n1224_001:0133c10	馱囉乞灑(二合)囉乞灑(二合)[牟*含](引)娑嚩(二合引)賀(引)	馱 囉 乞 灑 二 合 囉 乞 灑 二 合 [牟含] 引 娑 嚩 二 合 引 賀 引 
T21n1224_001:0133c11	由結此印。誦前真言。加持自身五處。先印額	由 結 此 印 誦 前 真 言 加 持 自 身 五 處 先 印 額 
T21n1224_001:0133c12	次右肩左肩心喉。是為五處。以真言威力加	次 右 肩 左 肩 心 喉 是 為 五 處 以 真 言 威 力 加 
T21n1224_001:0133c13	持自身。即成被金剛甲冑。	持 自 身 即 成 被 金 剛 甲 冑 
T21n1224_001:0133c14	次結辟除諸障繫縛毘那夜迦印。二羽十度	次 結 辟 除 諸 障 繫 縛 毘 那 夜 迦 印 二 羽 十 度 
T21n1224_001:0133c15	內相叉以屈二惠入掌。甲相背各捻二念指	內 相 叉 以 屈 二 惠 入 掌 甲 相 背 各 捻 二 念 指 
T21n1224_001:0133c16	面。急握拳。心想毘那夜迦。作障難者皆被五	面 急 握 拳 心 想 毘 那 夜 迦 作 障 難 者 皆 被 五 
T21n1224_001:0133c17	繫縛之。辟除真言曰。	繫 縛 之 辟 除 真 言 曰 
T21n1224_001:0133c18	唵度曩尾度曩怛羅(二合)娑野戍(引)灑野薩嚩	唵 度 曩 尾 度 曩 怛 羅 二 合 娑 野 戍 引 灑 野 薩 嚩 
T21n1224_001:0133c19	尾曩(引)野迦(引)南(引)吽(引)撥(普未反下同此)吒(半)娑嚩(二合引)	尾 曩 引 野 迦 引 南 引 吽 引 撥 普 未 反 下 同 此 吒 半 娑 嚩 二 合 引 
T21n1224_001:0133c20	賀(引)	賀 引 
T21n1224_001:0133c21	次結被金剛甲冑印。即前印以二定直竪頭	次 結 被 金 剛 甲 冑 印 即 前 印 以 二 定 直 竪 頭 
T21n1224_001:0133c22	相柱。以二惠各捻二定下第一文即成。以	相 柱 以 二 惠 各 捻 二 定 下 第 一 文 即 成 以 
T21n1224_001:0133c23	印如前加持自身五處。遍身自然被金剛鎧	印 如 前 加 持 自 身 五 處 遍 身 自 然 被 金 剛 鎧 
T21n1224_001:0133c24	甲光明赫奕。真言曰。	甲 光 明 赫 奕 真 言 曰 
T21n1224_001:0133c25	唵紇哩(二合)迦抳野麼娜賀吽(引)撥吒(半音)娑嚩	唵 紇 哩 二 合 迦 抳 野 麼 娜 賀 吽 引 撥 吒 半 音 娑 嚩 
T21n1224_001:0133c26	(二合)賀	 二 合 賀 
T21n1224_001:0133c27	次結金剛牆印。即前甲冑印。開二定頭。相去	次 結 金 剛 牆 印 即 前 甲 冑 印 開 二 定 頭 相 去 
T21n1224_001:0133c28	一寸許。開掌如牆形即成。真言曰。	一 寸 許 開 掌 如 牆 形 即 成 真 言 曰 
T21n1224_001:0133c29	唵紇哩(二合)迦抳諾賀諾賀鉢左鉢左吽撥吒	唵 紇 哩 二 合 迦 抳 諾 賀 諾 賀 鉢 左 鉢 左 吽 撥 吒 
T21n1224_001:0134a01	(半音)娑嚩(二合引)賀	 半 音 娑 嚩 二 合 引 賀 
T21n1224_001:0134a02	以印頂上。空中右旋三匝。兼誦真言三遍。以	以 印 頂 上 空 中 右 旋 三 匝 兼 誦 真 言 三 遍 以 
T21n1224_001:0134a03	此加持威神力故。周匝四方。隨心遠近結成	此 加 持 威 神 力 故 周 匝 四 方 隨 心 遠 近 結 成 
T21n1224_001:0134a04	金剛牆。界界光明照曜。一切諸魔不敢輔	金 剛 牆 界 界 光 明 照 曜 一 切 諸 魔 不 敢 輔 
T21n1224_001:0134a05	近。	近 
T21n1224_001:0134a06	次結迎請聖尊印。二羽內相叉直竪。二定頭	次 結 迎 請 聖 尊 印 二 羽 內 相 叉 直 竪 二 定 頭 
T21n1224_001:0134a07	柱。以二惠向身招之。請尊真言曰。	柱 以 二 惠 向 身 招 之 請 尊 真 言 曰 
T21n1224_001:0134a08	唵度[寧*頁]婆(去)誐鑁(武點)迦[寧*頁]短嚕(二合引)馱翳醯	唵 度 [寧頁]婆去誐鑁武點迦[寧頁] 短 嚕 二 合 引 馱 翳 醯 
T21n1224_001:0134a09	(引)呬吽(引)撥吒(半音)	 引 呬 吽 引 撥 吒 半 音 
T21n1224_001:0134a10	不改此印。便誦後真言。迎請聖尊者眷屬真	不 改 此 印 便 誦 後 真 言 迎 請 聖 尊 者 眷 屬 真 
T21n1224_001:0134a11	言。	言 
T21n1224_001:0134a12	唵娑跛哩嚩(引)囉麼(鼻音反)嚩賀野婆(去)誐鑁(武敢反)	唵 娑 跛 哩 嚩 引 囉 麼 鼻 音 反 嚩 賀 野 婆 去 誐 鑁 武 敢 反 
T21n1224_001:0134a13	迦[寧*頁]矩嚕(二合)馱三(去)麼耶麼努娑麼(二合)囉娑	迦 [寧頁] 矩 嚕 二 合 馱 三 去 麼 耶 麼 努 娑 麼 二 合 囉 娑 
T21n1224_001:0134a14	嚩(二合)賀(引)	嚩 二 合 賀 引 
T21n1224_001:0134a15	次結都明王忿怒軍吒利印。辟除諸魔恐隨	次 結 都 明 王 忿 怒 軍 吒 利 印 辟 除 諸 魔 恐 隨 
T21n1224_001:0134a16	聖眾潛隱在其中。以明王威神搜棟發遣。作	聖 眾 潛 隱 在 其 中 以 明 王 威 神 搜 棟 發 遣 作 
T21n1224_001:0134a17	障難者唯留聖者及自眷屬。其印以二信右	障 難 者 唯 留 聖 者 及 自 眷 屬 其 印 以 二 信 右 
T21n1224_001:0134a18	押左內相交。以二進雙屈並押二信交上。以	押 左 內 相 交 以 二 進 雙 屈 並 押 二 信 交 上 以 
T21n1224_001:0134a19	二念直竪頭柱。以二定各微曲。於二念背後	二 念 直 竪 頭 柱 以 二 定 各 微 曲 於 二 念 背 後 
T21n1224_001:0134a20	不相著。如三股金剛杵形。二惠並竪押二進	不 相 著 如 三 股 金 剛 杵 形 二 惠 並 竪 押 二 進 
T21n1224_001:0134a21	上即成。隨誦真言。以印空中左旋三匝。辟除	上 即 成 隨 誦 真 言 以 印 空 中 左 旋 三 匝 辟 除 
T21n1224_001:0134a22	姦魔棟擇發遣。便即右旋三匝結成。金剛光	姦 魔 棟 擇 發 遣 便 即 右 旋 三 匝 結 成 金 剛 光 
T21n1224_001:0134a23	明堅固大界。一切凡聖不合越此界故。違越	明 堅 固 大 界 一 切 凡 聖 不 合 越 此 界 故 違 越 
T21n1224_001:0134a24	者化三昧耶決定不安。眾聖陰罰違越。眾聖	者 化 三 昧 耶 決 定 不 安 眾 聖 陰 罰 違 越 眾 聖 
T21n1224_001:0134a25	言誓故也。即誦軍吒利真言曰。	言 誓 故 也 即 誦 軍 吒 利 真 言 曰 
T21n1224_001:0134a26	曩謨(引)囉怛曩(二合)怛囉(二合)夜(引)野娜莫室戰	曩 謨 引 囉 怛 曩 二 合 怛 囉 二 合 夜 引 野 娜 莫 室 戰 
T21n1224_001:0134a27	(二合)嚩日囉(二合)播(引)緊(奴雅反)曳摩賀藥叉細(引)曩	 二 合 嚩 日 囉 二 合 播 引 緊 奴 雅 反 曳 摩 賀 藥 叉 細 引 曩 
T21n1224_001:0134a28	(引)鉢多(上)曳唵阿密[口*栗](二合)多軍[奴/糸](上)里却却佉	 引 鉢 多 上 曳 唵 阿 密 [口栗]二合多軍[奴糸] 上 里 却 却 佉 
T21n1224_001:0134a29	(去引)呬佉(上同)呬(聲異反上同)底瑟咤(二合)底瑟姹(二合)	 去 引 呬 佉 上 同 呬 聲 異 反 上 同 底 瑟 咤 二 合 底 瑟 姹 二 合 
T21n1224_001:0134b01	滿馱滿馱賀曩賀曩[薩/子]惹[薩/子]惹尾颯普(二合引)吒	滿 馱 滿 馱 賀 曩 賀 曩 [薩子]惹[薩子] 惹 尾 颯 普 二 合 引 吒 
T21n1224_001:0134b02	野尾颯普(二合)吒野薩嚩尾近曩(二合)尾曩(引)野	野 尾 颯 普 二 合 吒 野 薩 嚩 尾 近 曩 二 合 尾 曩 引 野 
T21n1224_001:0134b03	迦摩賀誐[奴/糸](鼻)鉢底爾(引)尾亶(多懶反)得迦囉(引)	迦 摩 賀 誐 [奴糸] 鼻 鉢 底 爾 引 尾 亶 多 懶 反 得 迦 囉 引 
T21n1224_001:0134b04	野吽撥吒(半音)	野 吽 撥 吒 半 音 
T21n1224_001:0134b05	便結上方金剛網印。即前牆印。以二惠開散	便 結 上 方 金 剛 網 印 即 前 牆 印 以 二 惠 開 散 
T21n1224_001:0134b06	直竪即成。以印頂上右旋三匝。誦真言三遍	直 竪 即 成 以 印 頂 上 右 旋 三 匝 誦 真 言 三 遍 
T21n1224_001:0134b07	即成。金剛網遍覆其上。真言曰。	即 成 金 剛 網 遍 覆 其 上 真 言 曰 
T21n1224_001:0134b08	唵嚩日囉(二合)半惹囉吽(引)撥吒(半音)	唵 嚩 日 囉 二 合 半 惹 囉 吽 引 撥 吒 半 音 
T21n1224_001:0134b09	次獻閼伽香水浴聖尊印。用前迎請印。以二	次 獻 閼 伽 香 水 浴 聖 尊 印 用 前 迎 請 印 以 二 
T21n1224_001:0134b10	惠各捻二定根下第一文。以印當心。平舒如	惠 各 捻 二 定 根 下 第 一 文 以 印 當 心 平 舒 如 
T21n1224_001:0134b11	羸盃形。舉印當額奉獻。若有香水器。即以此	羸 盃 形 舉 印 當 額 奉 獻 若 有 香 水 器 即 以 此 
T21n1224_001:0134b12	印按之。加持三遍或一遍。然後捧而獻之。真	印 按 之 加 持 三 遍 或 一 遍 然 後 捧 而 獻 之 真 
T21n1224_001:0134b13	言曰。	言 曰 
T21n1224_001:0134b14	唵嚩曰嚕(二合)娜迦吽(引)	唵 嚩 曰 嚕 二 合 娜 迦 吽 引 
T21n1224_001:0134b15	次結寶山印。以獨股杵印。[戚小+谷]上節令平如上	次 結 寶 山 印 以 獨 股 杵 印 [戚小谷] 上 節 令 平 如 上 
T21n1224_001:0134b16	頂形。以二惠並竪押掌中諸度上即成。誦寶	頂 形 以 二 惠 並 竪 押 掌 中 諸 度 上 即 成 誦 寶 
T21n1224_001:0134b17	山真言曰。	山 真 言 曰 
T21n1224_001:0134b18	唵阿左羅吽(引)	唵 阿 左 羅 吽 引 
T21n1224_001:0134b19	次獻蓮花座印。即以前閼伽印。二惠頭向外	次 獻 蓮 花 座 印 即 以 前 閼 伽 印 二 惠 頭 向 外 
T21n1224_001:0134b20	開竪。相去半寸許。如蓮花形。真言曰。	開 竪 相 去 半 寸 許 如 蓮 花 形 真 言 曰 
T21n1224_001:0134b21	唵嚩日羅(二合)尾囉(引)野娑嚩(二合引)賀(引)	唵 嚩 日 羅 二 合 尾 囉 引 野 娑 嚩 二 合 引 賀 引 
T21n1224_001:0134b22	次獻五供養先結塗香印。即前獨股杵印。以	次 獻 五 供 養 先 結 塗 香 印 即 前 獨 股 杵 印 以 
T21n1224_001:0134b23	二惠微屈。捻二定下第一文。相去一寸許即	二 惠 微 屈 捻 二 定 下 第 一 文 相 去 一 寸 許 即 
T21n1224_001:0134b24	成。塗香真言曰。	成 塗 香 真 言 曰 
T21n1224_001:0134b25	唵迦抳矩嚕(二合引)馱(一)薩嚩薩怛嚩(二合)婆(去)孕	唵 迦 抳 矩 嚕 二 合 引 馱 一 薩 嚩 薩 怛 嚩 二 合 婆 去 孕 
T21n1224_001:0134b26	迦囉(二合)囉乞灑(二合)囉乞灑(二合三)薩嚩彥[肆聿+犬](引)	迦 囉 二 合 囉 乞 灑 二 合 囉 乞 灑 二 合 三 薩 嚩 彥 [肆聿犬] 引 
T21n1224_001:0134b27	[寧*頁]娑嚩(二合引)賀(引)	[寧頁] 娑 嚩 二 合 引 賀 引 
T21n1224_001:0134b28	次結獻花印。即前獨股杵印。出右惠即成。誦	次 結 獻 花 印 即 前 獨 股 杵 印 出 右 惠 即 成 誦 
T21n1224_001:0134b29	獻花真言曰。	獻 花 真 言 曰 
T21n1224_001:0134c01	唵迦抳補澁波(二合)母納婆(二合)嚩吽(引)	唵 迦 抳 補 澁 波 二 合 母 納 婆 二 合 嚩 吽 引 
T21n1224_001:0134c02	次結燒香印。即前獨股印。出左惠即成。誦燒	次 結 燒 香 印 即 前 獨 股 印 出 左 惠 即 成 誦 燒 
T21n1224_001:0134c03	香真言曰。	香 真 言 曰 
T21n1224_001:0134c04	唵迦抳矩嚕(二合)馱塢[(薩文+(立一))/木]囉(二合)能(上聲)瑟吒嚕	唵 迦 抳 矩 嚕 二 合 馱 塢 [薩文立一木] 囉 二 合 能 上 聲 瑟 吒 嚕 
T21n1224_001:0134c05	(二合)得羯(二合)吒佩(引)囉嚩仡哩(二合)恨拏(二合)仡	 二 合 得 羯 二 合 吒 佩 引 囉 嚩 仡 哩 二 合 恨 拏 二 合 仡 
T21n1224_001:0134c06	哩(二合)恨拏(二合)度(引)奔娑嚩(二合引)賀	哩 二 合 恨 拏 二 合 度 引 奔 娑 嚩 二 合 引 賀 
T21n1224_001:0134c07	次結獻食印。準前獨[月*古]杵印。出二惠及二信	次 結 獻 食 印 準 前 獨 [月古] 杵 印 出 二 惠 及 二 信 
T21n1224_001:0134c08	頭相柱。餘四度內相叉作拳即成。真言曰。	頭 相 柱 餘 四 度 內 相 叉 作 拳 即 成 真 言 曰 
T21n1224_001:0134c09	唵迦抳吽(引)吽(引)娑嚩(二合引)賀(引)	唵 迦 抳 吽 引 吽 引 娑 嚩 二 合 引 賀 引 
T21n1224_001:0134c10	次結燈明印。即前獨股杵印。二惠向身並竪	次 結 燈 明 印 即 前 獨 股 杵 印 二 惠 向 身 並 竪 
T21n1224_001:0134c11	即成。誦燈明真言曰。	即 成 誦 燈 明 真 言 曰 
T21n1224_001:0134c12	唵迦抳儞波儞簸野吽(引)撥吒(半音)娑嚩(二合引)	唵 迦 抳 儞 波 儞 簸 野 吽 引 撥 吒 半 音 娑 嚩 二 合 引 
T21n1224_001:0134c13	賀(引)	賀 引 
T21n1224_001:0134c14	次結普供養印。二手合掌。右押左叉交上一	次 結 普 供 養 印 二 手 合 掌 右 押 左 叉 交 上 一 
T21n1224_001:0134c15	節。即是想從此印流出。種種供養。雲海化成	節 即 是 想 從 此 印 流 出 種種供養 雲 海 化 成 
T21n1224_001:0134c16	七寶宮殿樓閣。衣服飲食上好天樂充滿法	七 寶 宮 殿 樓 閣 衣 服 飲 食 上 好 天 樂 充 滿 法 
T21n1224_001:0134c17	界。供養一切聖眾。今略舉一二。若廣說者。一	界 供 養 一 切 聖 眾 今 略 舉 一 二 若 廣 說 者 一 
T21n1224_001:0134c18	如花嚴經中所說。供養即誦是供真言三遍	如 花 嚴 經 中 所 說 供 養 即 誦 是 供 真 言 三 遍 
T21n1224_001:0134c19	或七遍。真言曰。	或 七 遍 真 言 曰 
T21n1224_001:0134c20	唵阿(上)謨(引)伽麼抳鉢納麼(二合)入嚩(二合)羅鉢	唵 阿 上 謨 引 伽 麼 抳 鉢 納 麼 二 合 入 嚩 二 合 羅 鉢 
T21n1224_001:0134c21	囉(二合)襪多(上)耶吽(引)	囉 二 合 襪 多 上 耶 吽 引 
T21n1224_001:0134c22	暨如上諸供養已。以右手輪擲金剛杵。誦本	暨 如 上 諸 供 養 已 以 右 手 輪 擲 金 剛 杵 誦 本 
T21n1224_001:0134c23	真言。於眾聖前。心想如對至尊。作踏舞之勢。	真 言 於 眾 聖 前 心 想 如 對 至 尊 作 踏 舞 之 勢 
T21n1224_001:0134c24	倣像金剛薩埵。於如來前。擲弄其杵。因便加	倣 像 金 剛 薩 埵 於 如 來 前 擲 弄 其 杵 因 便 加 
T21n1224_001:0134c25	持自身五處。左手執取金剛鈴。於額前三度	持 自 身 五 處 左 手 執 取 金 剛 鈴 於 額 前 三 度 
T21n1224_001:0134c26	搖振。表以天樂音聲供養聖眾令其悅喜。亦	搖 振 表 以 天 樂 音 聲 供 養 聖 眾 令 其 悅 喜 亦 
T21n1224_001:0134c27	誦本真言。心住薩埵妙三昧地(此上用鈴杵二真言及印。由來師	誦 本 真 言 心 住 薩 埵 妙 三 昧 地 此 上 用 鈴 杵 二 真 言 及 印 由 來 師 
T21n1224_001:0134c28	受密傳不戴於文。凡智有限。或傳之不盡。或領受學者不明置有多種。先後著錯不同。今故書之以草前蔽)	受 密 傳 不 戴 於 文 凡 智 有 限 或 傳 之 不 盡 或 領 受 學 者 不 明 置 有 多 種 先 後 著 錯 不 同 今 故 書 之 以 草 前 蔽 
T21n1224_001:0134c29	修行者又慮恐承事供養之中。或有忘誤疎	修 行 者 又 慮 恐 承事供養 之 中 或 有 忘 誤 疎 
T21n1224_001:0135a01	遺犯三昧耶禁。或有多生宿業罪障由未消	遺 犯 三 昧 耶 禁 或 有 多 生 宿 業 罪 障 由 未 消 
T21n1224_001:0135a02	除。誦金剛部百字真言。以補前潛滅除諸	除 誦 金 剛 部 百 字 真 言 以 補 前 潛 滅 除 諸 
T21n1224_001:0135a03	過。得身心清淨。與法相應。百字真言曰。	過 得 身 心 清 淨 與 法 相 應 百 字 真 言 曰 
T21n1224_001:0135a04	唵嚩日囉(二合)薩多嚩(二合一)三(去)摩野麼(鼻努鼻)	唵 嚩 日 囉 二 合 薩 多 嚩 二 合 一 三 去 摩 野 麼 鼻 努 鼻 
T21n1224_001:0135a05	播(引)攞(勒可反)野(二)嚩日囉(二合)薩多嚩(二合三)怛[口*犮]	播 引 攞 勒 可 反 野 二 嚩 日 囉 二 合 薩 多 嚩 二 合 三 怛 [口犮] 
T21n1224_001:0135a06	(二合引)努(鼻引)跛底瑟姹(二合四)揑哩(二合)濯(引)銘婆(去)	 二 合 引 努 鼻 引 跛 底 瑟 姹 二 合 四 揑 哩 二 合 濯 引 銘 婆 去 
T21n1224_001:0135a07	嚩(五)素姤(引)數(沙句反引)銘婆(去)嚩(六)阿努(鼻)囉訖姤	嚩 五 素 姤 引 數 沙 句 反 引 銘 婆 去 嚩 六 阿 努 鼻 囉 訖 姤 
T21n1224_001:0135a08	(二合引)銘娑嚩(七)素布(引)數(引准前)銘婆嚩(八)薩嚩悉	 二 合 引 銘 娑 嚩 七 素 布 引 數 引 准 前 銘 婆 嚩 八 薩 嚩 悉 
T21n1224_001:0135a09	地淫(二合)銘鉢囉(二合)曳(延結反)蹉(倉呵反九)薩嚩羯磨素	地 淫 二 合 銘 鉢 囉 二 合 曳 延 結 反 蹉 倉 呵 反 九 薩 嚩 羯 磨 素 
T21n1224_001:0135a10	左銘(十)郎多室哩(二合)藥矩嚕(十一)吽(十二引)賀賀	左 銘 十 郎 多 室 哩 二 合 藥 矩 嚕 十 一 吽 十 二 引 賀 賀 
T21n1224_001:0135a11	賀賀斛(引十三)娑誐鑁(武敢反)薩嚩怛他[(薩文+(立一))/木]多(十四)嚩	賀 賀 斛 引 十 三 娑 誐 鑁 武 敢 反 薩 嚩 怛 他 [薩文立一木] 多 十 四 嚩 
T21n1224_001:0135a12	日囉(二合)麼(鼻音引)[方*耳](引)悶左(十五)嚩曰哩(二合引)婆	日 囉 二 合 麼 鼻 音 引 [方耳] 引 悶 左 十 五 嚩 曰 哩 二 合 引 婆 
T21n1224_001:0135a13	嚩(十六)摩賀(引)三(去)麼耶薩多嚩(二合)惡(引十七呵各反)	嚩 十 六 摩 賀 引 三 去 麼 耶 薩 多 嚩 二 合 惡 引 十 七 呵 各 反 
T21n1224_001:0135a14	其印二手右押左。外相叉作拳直竪。二中指	其 印 二 手 右 押 左 外 相 叉 作 拳 直 竪 二 中 指 
T21n1224_001:0135a15	相合。此名三昧耶印。由結此印。加身四處。心	相 合 此 名 三 昧 耶 印 由 結 此 印 加 身 四 處 心 
T21n1224_001:0135a16	額喉頂。及誦百字真言。能除無始已來一切	額 喉 頂 及 誦 百 字 真 言 能 除 無始已來 一 切 
T21n1224_001:0135a17	重罪。破四重禁五無間業罪謗方等經。如是	重 罪 破 四 重 禁 五無間業 罪 謗 方 等 經 如 是 
T21n1224_001:0135a18	等罪悉皆消滅。何況誤失小過而不清淨。即	等 罪 悉 皆 消 滅 何 況 誤 失 小 過 而 不 清 淨 即 
T21n1224_001:0135a19	結本尊印。二手合掌。以二無名左安前居下。	結 本 尊 印 二 手 合 掌 以 二 無 名 左 安 前 居 下 
T21n1224_001:0135a20	右安後居上。押左名指背交指。於二中指背	右 安 後 居 上 押 左 名 指 背 交 指 於 二 中 指 背 
T21n1224_001:0135a21	後。以二頭指各鉤取二名指頭。二中指並竪	後 以 二 頭 指 各 鉤 取 二 名 指 頭 二 中 指 並 竪 
T21n1224_001:0135a22	合。二大指亦並竪。捻二中指中節。二小指合	合 二 大 指 亦 並 竪 捻 二 中 指 中 節 二 小 指 合 
T21n1224_001:0135a23	竪即成。誦根本真言。以印加身四處。真言	竪 即 成 誦 根 本 真 言 以 印 加 身 四 處 真 言 
T21n1224_001:0135a24	曰。	曰 
T21n1224_001:0135a25	曩謨(引)囉怛曩(二)怛(二合)野(引)野曩莫室戰(二合)	曩 謨 引 囉 怛 曩 二 怛 二 合 野 引 野 曩 莫 室 戰 二 合 
T21n1224_001:0135a26	拏嚩日囉(二合)播(引)拏(鼻)曳摩賀(引)藥叉(二合)細	拏 嚩 日 囉 二 合 播 引 拏 鼻 曳 摩 賀 引 藥 叉 二 合 細 
T21n1224_001:0135a27	曩鉢多(上)曳怛儞也(二合)他(去引)唵加抳度[寧*頁]吽	曩 鉢 多 上 曳 怛 儞 也 二 合 他 去 引 唵 加 抳 度 [寧頁] 吽 
T21n1224_001:0135a28	撥吒(半音)娑嚩(二合)賀	撥 吒 半 音 娑 嚩 二 合 賀 
T21n1224_001:0135a29	又結第二根本印。即前最初護身印。是亦名	又 結 第 二 根 本 印 即 前 最 初 護 身 印 是 亦 名 
T21n1224_001:0135b01	獨股杵印。此與多羅菩薩印同。第二根本真	獨 股 杵 印 此 與 多 羅 菩 薩 印 同 第 二 根 本 真 
T21n1224_001:0135b02	言曰。	言 曰 
T21n1224_001:0135b03	曩謨囉怛曩(二合)夜(引)野娜莫室戰(二合)拏嚩	曩 謨 囉 怛 曩 二 合 夜 引 野 娜 莫 室 戰 二 合 拏 嚩 
T21n1224_001:0135b04	日囉(二合)播(引)拏(鼻)曳摩賀(引)藥叉細(引)曩(引)鉢	日 囉 二 合 播 引 拏 鼻 曳 摩 賀 引 藥 叉 細 引 曩 引 鉢 
T21n1224_001:0135b05	多(上)曳(引)怛他也(二合)他唵度曩尾度曩(引)迦抳	多 上 曳 引 怛 他 也 二 合 他 唵 度 曩 尾 度 曩 引 迦 抳 
T21n1224_001:0135b06	矩嚕(二合引)馱薩嚩演怛囉(二合)抳吽(引)	矩 嚕 二 合 引 馱 薩 嚩 演 怛 囉 二 合 抳 吽 引 
