T02n0101_001:0493a04	雜阿含經	雜 阿 含 經 
T02n0101_001:0493b22	婆羅門：「若人說佛說如是，但與我布施莫與	婆 羅 門 若 人 說 佛 說 如 是 但 與 我 布 施 莫 與 
T02n0101_001:0493b23	奇，與我弟子布施莫與奇，與我弟子布施大	奇 與 我 弟 子 布 施 莫 與 奇 與 我 弟 子 布 施 大 
T02n0101_001:0493b24	福，與奇弟子布施福少。如是言不如言，為	福 與 奇 弟 子 布 施 福 少 如 是 言 不 如 言 為 
T02n0101_001:0493b25	說我論議，亦不如言亦非法，諸有法論議。何	說 我 論 議 亦 不 如 言 亦 非 法 諸 有 法 論 議 何 
T02n0101_001:0493b26	以故？我不說如是，為與我布施莫與奇，至如	以 故 我 不 說 如 是 為 與 我 布 施 莫 與 奇 至 如 
T02n0101_001:0493b27	上說。若有說如是，便壞三倒道，布施家壞福，	上 說 若 有 說 如 是 便 壞 三 倒 道 布 施 家 壞 福 
T02n0101_001:0493b28	受者壞德，亦自壞意。若有蕩釜亦蕩杅	受 者 壞 德 亦 自 壞 意 若 有 蕩 釜 亦 蕩 杅 
T02n0101_001:0493b29	器，人持至園中棄園中，意生：『若園中虫從食，	器 人 持 至 園 中 棄 園 中 意 生 若 園 中 虫 從 食 
T02n0101_001:0493c01	令虫身安隱從是活。』從是因緣我說能致福。	令 虫 身 安 隱 從 是 活 從 是 因 緣 我 說 能 致 福 
T02n0101_001:0493c02	何復問與人？我但說：『與持戒者福大，不持戒	何 復 問 與 人 我 但 說 與 持 戒 者 福 大 不 持 戒 
T02n0101_001:0493c03	者福少。』」婆羅門報佛：「我亦說如是，持戒者	者 福 少 婆 羅 門 報 佛 我 亦 說 如 是 持 戒 者 
T02n0101_001:0493c04	福大，不持戒者福少。」「一切應與布施隨可意，	福 大 不 持 戒 者 福 少 一 切 應 與 布 施 隨 可 意 
T02n0101_001:0493c05	不持戒者少福，持戒者福大，若黑、白，亦赤、黃，	不 持 戒 者 少 福 持 戒 者 福 大 若 黑 白 亦 赤 黃 
T02n0101_001:0493c06	亦所行，孔雀、牛、鴿亦爾。所是身案本從生，態	亦 所 行 孔 雀 牛 鴿 亦 爾 所 是 身 案 本 從 生 態 
T02n0101_001:0493c07	力從聚，善惡從出，但案行，莫視色。人亦如是	力 從 聚 善 惡 從 出 但 案 行 莫 視 色 人 亦 如 是 
T02n0101_001:0493c08	所有身生，亦道人，亦城中人、佃家，亦擔死人	所 有 身 生 亦 道 人 亦 城 中 人 佃 家 亦 擔 死 人 
T02n0101_001:0493c09	種，是為各有身從是生，持戒者能得度世，	種 是 為 各 有 身 從 是 生 持 戒 者 能 得 度 世 
T02n0101_001:0493c10	與是為大福，癡不及者不聞難受，與是少福。	與 是 為 大 福 癡 不 及 者 不 聞 難 受 與 是 少 福 
T02n0101_001:0493c11	莫事不知者，但事知者多慧道弟子，道弟子	莫 事 不 知 者 但 事 知 者 多 慧 道 弟 子 道 弟 子 
T02n0101_001:0493c12	多信有枝根本，有因緣從因緣上天，有因緣	多 信 有 枝 根 本 有 因 緣 從 因 緣 上 天 有 因 緣 
T02n0101_001:0493c13	從因緣墮惡道，有因緣從因緣度世，如是皆	從 因 緣 墮 惡 道 有 因 緣 從 因 緣 度 世 如 是 皆 
T02n0101_001:0493c14	從因緣便。」生聞婆羅門從坐起，持頭面著佛	從 因 緣 便 生 聞 婆 羅 門 從 坐 起 持 頭 面 著 佛 
T02n0101_001:0493c15	足下，從今為歸佛持戒。佛說如是。	足 下 從 今 為 歸 佛 持 戒 佛 說 如 是 
T02n0101_001:0493c16	（三）聞如是：一時佛在舍衛國祇樹給孤獨	 三 聞 如 是 一 時 佛 在 舍 衛 國 祇 樹 給 孤 獨 
T02n0101_001:0493c17	園。有[阿可+桑][阿可+(曷人+乂)]闍壯年婆羅門，至佛所，已至與佛	園 有 [阿可桑][阿可曷人乂] 闍 壯 年 婆 羅 門 至 佛 所 已 至 與 佛 
T02n0101_001:0493c18	共相問，已問一處坐，已坐為問佛：「如是持何	共 相 問 已 問 一 處 坐 已 坐 為 問 佛 如 是 持 何 
T02n0101_001:0493c19	等分別觀惡人？」佛報言：「譬喻惡人如月。」復	等 分 別 觀 惡 人 佛 報 言 譬 喻 惡 人 如 月 復 
T02n0101_001:0493c20	問佛：「若人欲分別慧人，持何等觀？」「譬喻慧人	問 佛 若 人 欲 分 別 慧 人 持 何 等 觀 譬 喻 慧 人 
T02n0101_001:0493c21	如月。」復問佛：「何等為不慧人如月？」「譬喻二	如 月 復 問 佛 何 等 為 不 慧 人 如 月 譬 喻 二 
T02n0101_001:0493c22	十九日，月明亦減、色亦減，方亦減、見亦減，	十 九 日 月 明 亦 減 色 亦 減 方 亦 減 見 亦 減 
T02n0101_001:0493c23	在中夜過為減行，有時月為一切索盡，不復	在 中 夜 過 為 減 行 有 時 月 為 一 切 索 盡 不 復 
T02n0101_001:0493c24	現如月盡時。愚癡亦如是，為從所得道者，聞	現 如 月 盡 時 愚 癡 亦 如 是 為 從 所 得 道 者 聞 
T02n0101_001:0493c25	經教誡、慧信已得，不奉行、不受聽、不著心，捨	經 教 誡 慧 信 已 得 不 奉 行 不 受 聽 不 著 心 捨 
T02n0101_001:0493c26	離教、不著行，便信減、戒減、聞減、施減、慧減中	離 教 不 著 行 便 信 減 戒 減 聞 減 施 減 慧 減 中 
T02n0101_001:0493c27	夜過亡。是婆羅門有一時令所愚人者，一切	夜 過 亡 是 婆 羅 門 有 一 時 令 所 愚 人 者 一 切 
T02n0101_001:0493c28	盡、一切不現所得好法，譬如月盡時二十九	盡 一 切 不 現 所 得 好 法 譬 如 月 盡 時 二 十 九 
T02n0101_001:0493c29	日，如是見愚癡者譬喻月。」復問佛：「欲知慧	日 如 是 見 愚 癡 者 譬 喻 月 復 問 佛 欲 知 慧 
T02n0101_001:0494a01	者行說。」「譬喻月十五日，明亦增、方亦增、見亦	者 行 說 譬 喻 月十五日 明 亦 增 方 亦 增 見 亦 
T02n0101_001:0494a02	增，復一時為月一切增具止，十五日時亦如	增 復 一 時 為 月 一 切 增 具 止 十 五 日 時 亦 如 
T02n0101_001:0494a03	是。慧者所道德言如法行便得信，從得信，聽	是 慧 者 所 道 德 言 如 法 行 便 得 信 從 得 信 聽 
T02n0101_001:0494a04	事著意不捨離，所教合聚，便得增信、增戒、增	事 著 意 不 捨 離 所 教 合 聚 便 得 增 信 增 戒 增 
T02n0101_001:0494a05	聞、增施、增慧增高，敢言便中夜增滿，亦有一	聞 增 施 增 慧 增 高 敢 言 便 中 夜 增 滿 亦 有 一 
T02n0101_001:0494a06	時增所，是智慧者一切行得具足所行淨教	時 增 所 是 智 慧 者 一 切 行 得 具 足 所 行 淨 教 
T02n0101_001:0494a07	誡，譬喻月十五日明月時至，明慧人見如	誡 譬 喻 月十五日 明 月 時 至 明 慧 人 見 如 
T02n0101_001:0494a08	是。婆羅門，譬喻月從移說絕辭，譬如月明	是 婆 羅 門 譬 喻 月 從 移 說 絕 辭 譬 如 月 明 
T02n0101_001:0494a09	在中行，一切天下星宿從明所勝，信聞者亦	在 中 行 一 切 天 下 星 宿 從 明 所 勝 信 聞 者 亦 
T02n0101_001:0494a10	爾，能布施無有慳，難捨世間一切為從布施	爾 能 布 施 無 有 慳 難 捨 世 間 一 切 為 從 布 施 
T02n0101_001:0494a11	明，譬如雷鳴雲電俱多含水灑地，信聞者亦	明 譬 如 雷 鳴 雲 電 俱 多 含 水 灑 地 信 聞 者 亦 
T02n0101_001:0494a12	如是，能布施無有慳，便從飲食滿設說復與，	如 是 能 布 施 無 有 慳 便 從 飲 食 滿 設 說 復 與 
T02n0101_001:0494a13	便有名聞聲如天雨墮，便多福汔與者得，如	便 有 名 聞 聲 如 天 雨 墮 便 多 福 汔 與 者 得 如 
T02n0101_001:0494a14	雨珍寶穀，名聞亦得天上，已有德行後世	雨 珍 寶 穀 名 聞 亦 得 天 上 已 有 德 行 後 世 
T02n0101_001:0494a15	在天上。」便[阿可+桑][阿可+(曷人+乂)]闍從坐起，持頭面著佛	在 天 上 便 [阿可桑][阿可曷人乂] 闍 從 坐 起 持 頭 面 著 佛 
T02n0101_001:0494a16	足禮，從今受佛教誡行。佛說如是。	足 禮 從 今 受 佛 教 誡 行 佛 說 如 是 
T02n0101_001:0494a17	（四）聞如是：一時佛在舍衛國祇樹給孤獨	 四 聞 如 是 一 時 佛 在 舍 衛 國 祇 樹 給 孤 獨 
T02n0101_001:0494a18	園。佛告比丘：「一時佛在優墮羅國，河名屈	園 佛 告 比 丘 一 時 佛 在 優 墮 羅 國 河 名 屈 
T02n0101_001:0494a19	然，在邊尼拘類樹適得道時自念：『人行道一	然 在 邊 尼拘類樹 適 得 道 時 自 念 人 行 道 一 
T02n0101_001:0494a20	挈令行者，從憂懣苦不可意，能得度滅亦致	挈 令 行 者 從 憂 懣 苦 不 可 意 能 得 度 滅 亦 致 
T02n0101_001:0494a21	正法。何等為正法？為四意止。何等為四意	正 法 何 等 為 正 法 為 四 意 止 何 等 為 四 意 
T02n0101_001:0494a22	止？若比丘身身觀止行，自意知從世間癡不	止 若 比 丘 身 身 觀 止 行 自 意 知 從 世 間 癡 不 
T02n0101_001:0494a23	可意，能離外身身身相觀止，內身外身身身	可 意 能 離 外 身 身 身 相 觀 止 內 身 外 身 身 身 
T02n0101_001:0494a24	相觀止行，自意知從世間癡不可意，能離痛	相 觀 止 行 自 意 知 從 世 間 癡 不 可 意 能 離 痛 
T02n0101_001:0494a25	意法亦如是。若行者從四意離，便從行法離，	意 法 亦 如 是 若 行 者 從 四 意 離 便 從 行 法 離 
T02n0101_001:0494a26	已從行法離便從行道離，已從行道離便離	已 從 行 法 離 便 從 行 道 離 已 從 行 道 離 便 離 
T02n0101_001:0494a27	甘露，離甘露已便不得度生老死憂惱，亦	甘 露 離 甘 露 已 便 不 得 度 生 老 死 憂 惱 亦 
T02n0101_001:0494a28	不得離苦，亦不得要。若行者有四意止能	不 得 離 苦 亦 不 得 要 若 行 者 有 四 意 止 能 
T02n0101_001:0494a29	度，便能受得道者行，已能受得道者行便能	度 便 能 受 得 道 者 行 已 能 受 得 道 者 行 便 能 
T02n0101_001:0494b01	得道，已得道便能滅老病死憂惱，便能得度	得 道 已 得 道 便 能 滅 老 病 死 憂 惱 便 能 得 度 
T02n0101_001:0494b02	苦，亦得要梵，便知我所念。譬如健人申	苦 亦 得 要 梵 便 知 我 所 念 譬 如 健 人 申 
T02n0101_001:0494b03	臂屈復申，梵如是從天上止我前，已止，便	臂 屈 復 申 梵 如 是 從 天 上 止 我 前 已 止 便 
T02n0101_001:0494b04	說我如是如佛念如佛言：「道一挈令得清淨，	說 我 如 是 如 佛 念 如 佛 言 道 一 挈 令 得 清 淨 
T02n0101_001:0494b05	令得離憂懣苦不可意，能得度滅能致正法，	令 得 離 憂 懣 苦 不 可 意 能 得 度 滅 能 致 正 法 
T02n0101_001:0494b06	能致四意止，身身觀止行自意知從世間癡	能 致 四 意 止 身 身 觀 止 行 自 意 知 從 世 間 癡 
T02n0101_001:0494b07	不可意離，外身身身相觀止，內身外身身身	不 可 意 離 外 身 身 身 相 觀 止 內 身 外 身 身 身 
T02n0101_001:0494b08	相觀止行，自意知從世間癡不可意能離，痛	相 觀 止 行 自 意 知 從 世 間 癡 不 可 意 能 離 痛 
T02n0101_001:0494b09	意法亦如是。若行者從四意離便從法行離，	意 法 亦 如 是 若 行 者 從 四 意 離 便 從 法 行 離 
T02n0101_001:0494b10	已從法行離便從行道離，已從行道離便離	已 從 法 行 離 便 從 行 道 離 已 從 行 道 離 便 離 
T02n0101_001:0494b11	甘露，已離甘露便不得離生老死憂惱，	甘 露 已 離 甘 露 便 不 得 離 生 老 死 憂 惱 
T02n0101_001:0494b12	亦不得離苦，亦不得苦，要是為知是行方	亦 不 得 離 苦 亦 不 得 苦 要 是 為 知 是 行 方 
T02n0101_001:0494b13	便。」』	便 
T02n0101_001:0494b14	「鴈足在水中一挈，　令自佛說我正行，　但受	 鴈 足 在 水 中 一 挈 令 自 佛 說 我 正 行 但 受 
T02n0101_001:0494b15	是言當為使自計，　為一挈生死憂要。　出道	是 言 當 為 使 自 計 為 一 挈 生 死 憂 要 出 道 
T02n0101_001:0494b16	教為哀故，　已上頭得度世亦從是，　今度後	教 為 哀 故 已 上 頭 得 度 世 亦 從 是 今 度 後 
T02n0101_001:0494b17	度亦從是，　是本清淨無為，　亦從是生老死	度 亦 從 是 是 本 清 淨 無 為 亦 從 是 生 老 死 
T02n0101_001:0494b18	盡，　從若干法受依行，　是道眼者說。」佛說	盡 從 若 干 法 受 依 行 是 道 眼 者 說 佛 說 
T02n0101_001:0494b19	如是。	如 是 
T02n0101_001:0494b20	（五）聞如是：一時佛在舍衛國祇樹給孤獨	 五 聞 如 是 一 時 佛 在 舍 衛 國 祇 樹 給 孤 獨 
T02n0101_001:0494b21	園。是時，自梵自明夜亦明梵往至佛，在時，佛	園 是 時 自 梵 自 明 夜 亦 明 梵 往 至 佛 在 時 佛 
T02n0101_001:0494b22	火神足行，在時，自梵念：「是尚早至佛見，今	火 神 足 行 在 時 自 梵 念 是 尚 早 至 佛 見 今 
T02n0101_001:0494b23	佛亦火神足行令我今居前。」到俱披犁比丘	佛 亦 火 神 足 行 令 我 今 居 前 到 俱 披 犁 比 丘 
T02n0101_001:0494b24	調達部，便自梵至俱披犁比丘調達部，已到	調 達 部 便 自 梵 至 俱 披 犁 比 丘 調 達 部 已 到 
T02n0101_001:0494b25	為告俱披犁調達部：「如是俱披犁！俱披犁為	為 告 俱 披 犁 調 達 部 如 是 俱 披 犁 俱 披 犁 為 
T02n0101_001:0494b26	持好意向舍利弗、目乾連比丘，亦餘慧行道	持 好 意 向 舍 利 弗 目 乾 連 比 丘 亦 餘 慧 行 道 
T02n0101_001:0494b27	者。」俱披犁調達部便言：「卿為誰？」梵言：「我為梵。」	者 俱 披 犁 調 達 部 便 言 卿 為 誰 梵 言 我 為 梵 
T02n0101_001:0494b28	俱披犁調達部報言：「佛說卿阿那含不？」梵言：	俱 披 犁 調 達 部 報 言 佛 說 卿 阿 那 含 不 梵 言 
T02n0101_001:0494b29	「是。」俱披犁調達部報言：「何因緣得來到是間？」	 是 俱 披 犁 調 達 部 報 言 何 因 緣 得 來 到 是 間 
T02n0101_001:0494c01	便梵思惟念：「是何以無有悲意？」便自梵說是	便 梵 思 惟 念 是 何 以 無 有 悲 意 便 自 梵 說 是 
T02n0101_001:0494c02	絕：	絕 
T02n0101_001:0494c03	「不可量欲量，　為是故世間少慧，　不可量欲	 不 可 量 欲 量 為 是 故 世 間 少 慧 不 可 量 欲 
T02n0101_001:0494c04	作量，　如是世間自覆蓋。」	作 量 如 是 世 間 自 覆 蓋 
T02n0101_001:0494c05	便梵行至佛，已到為佛足下禮，一處止。已一	便 梵 行 至 佛 已 到 為 佛 足 下 禮 一 處 止 已 一 
T02n0101_001:0494c06	處止，自梵為佛說：「是我為自光明，夜亦已	處 止 自 梵 為 佛 說 是 我 為 自 光 明 夜 亦 已 
T02n0101_001:0494c07	明為至佛，已至是時火神足行，我便思惟念：	明 為 至 佛 已 至 是 時 火 神 足 行 我 便 思 惟 念 
T02n0101_001:0494c08	『尚早至見佛。』我已到見佛火神足，我便念令	 尚 早 至 見 佛 我 已 到 見 佛 火 神 足 我 便 念 令 
T02n0101_001:0494c09	我居前，行俱披犁比丘調達部，我為便至俱	我 居 前 行 俱 披 犁 比 丘 調 達 部 我 為 便 至 俱 
T02n0101_001:0494c10	披犁比丘調達部，已至俱披犁比丘調達部，	披 犁 比 丘 調 達 部 已 至 俱 披 犁 比 丘 調 達 部 
T02n0101_001:0494c11	我便告：『俱披犁俱披犁，持好心向舍利弗、目	我 便 告 俱 披 犁 俱 披 犁 持 好 心 向 舍 利 弗 目 
T02n0101_001:0494c12	乾連比丘，亦同道行者。』便言：『卿為誰？』我	乾 連 比 丘 亦 同 道 行 者 便 言 卿 為 誰 我 
T02n0101_001:0494c13	言：『梵。』便報我：『佛說卿阿那含不？』我言：『是。』便	言 梵 便 報 我 佛 說 卿 阿 那 含 不 我 言 是 便 
T02n0101_001:0494c14	報：『若何因緣得來到是？』我便思惟念：『咄！是何	報 若 何 因 緣 得 來 到 是 我 便 思 惟 念 咄 是 何 
T02n0101_001:0494c15	以無有悲意？』	以 無 有 悲 意 
T02n0101_001:0494c16	「『不可量欲量，　是故世間少慧，　不可量說量，	 不 可 量 欲 量 是 故 世 間 少 慧 不 可 量 說 量 
T02n0101_001:0494c17	　世間人意計我自知。』」	 世 間 人 意 計 我 自 知 
T02n0101_001:0494c18	佛便說：「俱披犁調達部破戲亦[口*建]。」是時說是	佛 便 說 俱 披 犁 調 達 部 破 戲 亦 [口建] 是 時 說 是 
T02n0101_001:0494c19	絕：「不可量欲量，　故世間難得慧，　不可量	絕 不 可 量 欲 量 故 世 間 難 得 慧 不 可 量 
T02n0101_001:0494c20	說量，　從是世間自覆蓋。」佛說如是。	說 量 從 是 世 間 自 覆 蓋 佛 說 如 是 
T02n0101_001:0494c21	（六）聞如是：一時佛在舍衛國祇樹給孤獨園。	 六 聞 如 是 一 時 佛 在 舍 衛 國 祇 樹 給 孤 獨 園 
T02n0101_001:0494c22	佛告比丘：「治生有三方便，未致利能致，已	佛 告 比 丘 治 生 有 三 方 便 未 致 利 能 致 已 
T02n0101_001:0494c23	致不減。何等為三？是間比丘有治生者，晨	致 不 減 何 等 為 三 是 間 比 丘 有 治 生 者 晨 
T02n0101_001:0494c24	念多方便盡力向治生，日中亦爾、晡時亦爾，	念 多 方 便 盡 力 向 治 生 日 中 亦 爾 晡 時 亦 爾 
T02n0101_001:0494c25	求多方便盡力索令有利。比丘治生三法亦	求 多 方 便 盡 力 索 令 有 利 比 丘 治 生 三 法 亦 
T02n0101_001:0494c26	如是，未得好法能得致，已得好法不減。何	如 是 未 得 好 法 能 得 致 已 得 好 法 不 減 何 
T02n0101_001:0494c27	等為三？是間諸比丘，有比丘晨時多受道思	等 為 三 是 間 諸 比 丘 有 比 丘 晨 時 多 受 道 思 
T02n0101_001:0494c28	念意不離，日中、晡時亦爾，多合定意受行意	念 意 不 離 日 中 晡 時 亦 爾 多 合 定 意 受 行 意 
T02n0101_001:0494c29	不離，能多增道。」佛說如是。	不 離 能 多 增 道 佛 說 如 是 
T02n0101_001:0495a01	（七）聞如是：一時佛在王舍國竹園烏陬。在是	 七 聞 如 是 一 時 佛 在 王 舍 國 竹 園 烏 陬 在 是 
T02n0101_001:0495a02	時有婆羅門名為不信重，在王舍國居，便	時 有婆羅門 名 為 不 信 重 在 王 舍 國 居 便 
T02n0101_001:0495a03	不信重念如是：「是俱譚沙門王舍國止竹園	不 信 重 念 如 是 是 俱 譚 沙 門 王 舍 國 止 竹 園 
T02n0101_001:0495a04	陬，令我今行至俱譚沙門，俱譚沙門所說經，	陬 令 我 今 行 至 俱 譚 沙 門 俱 譚 沙 門 所 說 經 
T02n0101_001:0495a05	我當為一切却語不信。」便不信重從王舍國	我 當 為 一 切 却 語 不 信 便 不 信 重 從 王 舍 國 
T02n0101_001:0495a06	出到佛所，是時，佛為非一百眾會周匝坐，遍	出 到 佛 所 是 時 佛 為 非 一 百 眾 會 周 匝 坐 遍 
T02n0101_001:0495a07	說法經。佛見不信重從遠欲來，已見便止不	說 法 經 佛 見 不 信 重 從 遠 欲 來 已 見 便 止 不 
T02n0101_001:0495a08	說經。不信重已到佛問訊一處坐，已一處坐，	說 經 不 信 重 已 到 佛 問 訊 一 處 坐 已 一 處 坐 
T02n0101_001:0495a09	不信重為佛說：「是勸佛說經我欲聞。」佛報	不 信 重 為 佛 說 是 勸 佛 說 經 我 欲 聞 佛 報 
T02n0101_001:0495a10	言：「婆羅門不信重。	言 婆 羅 門 不 信 重 
T02n0101_001:0495a11	「重是法不應，　亦不解言者，　亦彼意亂者，	 重 是 法 不 應 亦 不 解 言 者 亦 彼 意 亂 者 
T02n0101_001:0495a12	　亦悉欲諍者。　若為意離諍，　憙者亦諍，　能	 亦 悉 欲 諍 者 若 為 意 離 諍 憙 者 亦 諍 能 
T02n0101_001:0495a13	合恚諍，　如是者能解法語。」	合 恚 諍 如 是 者 能 解 法 語 
T02n0101_001:0495a14	便不信重從坐起，頭面著佛足下禮已覺：「已	便 不 信 重 從 坐 起 頭 面 著 佛 足 下 禮 已 覺 已 
T02n0101_001:0495a15	覺為愚、為癡、為不曉、為不工、為持惡意來，向	覺 為 愚 為 癡 為 不 曉 為 不 工 為 持 惡 意 來 向 
T02n0101_001:0495a16	如來、無所著，如有覺欲却語不欲信。從今自	如 來 無 所 著 如 有 覺 欲 却 語 不 欲 信 從 今 自 
T02n0101_001:0495a17	悔過本守，自歸佛、自歸法、自歸比丘僧守本。」	悔 過 本 守 自 歸 佛 自 歸 法 自 歸 比 丘 僧 守 本 
T02n0101_001:0495a18	佛說如是。	佛 說 如 是 
