T85n2752_001:0199a16	法華問答	法 華 問 答 
T85n2752_001:0199b26	著外示答。開是開佛果。謂一切智。示示是佛	著 外 示 答 開 是 開 佛 果 謂 一 切 智 示 示 是 佛 
T85n2752_001:0199b27	體。謂真如法身。悟佛障。謂無明煩惱。入是	體 謂 真 如 法 身 悟 佛 障 謂 無 明 煩 惱 入 是 
T85n2752_001:0199b28	佛圓。謂令入不退地。是名開示悟入著外	佛 圓 謂 令 入 不 退 地 是 名 開 示 悟 入 著 外 
T85n2752_001:0199b29	　問。經云若比丘實得阿羅漢。若不信此法無	 問 經 云 若 比 丘 實 得阿羅漢 若 不 信 此 法 無 
T85n2752_001:0199c01	有是處。若示一切聲聞皆應授記。云何決定	有 是 處 若 示 一 切 聲 聞 皆 應 授 記 云 何 決 定 
T85n2752_001:0199c02	性聲聞阿羅漢而不授記作佛　答。依佛教故	性 聲 聞 阿 羅 漢 而 不 授 記 作 佛 答 依 佛 教 故 
T85n2752_001:0199c03	生信。自未解故不記。故上文言信佛悟故隨	生 信 自 未 解 故 不 記 故 上 文 言 信 佛 悟 故 隨 
T85n2752_001:0199c04	順此經。非己智分即其證也　問。諸法從本	順 此 經 非 己 智 分 即 其 證 也 問 諸 法 從 本 
T85n2752_001:0199c05	來常自寂滅相者。此一偈顯何法體　答。此	來 常 自 寂 滅 相 者 此 一 偈 顯 何 法 體 答 此 
T85n2752_001:0199c06	偈明三種佛性。諸法從本來常自寂滅相者。	偈 明 三 種 佛 性 諸 法 從 本 來 常 自 寂 滅 相 者 
T85n2752_001:0199c07	自性住佛性。佛子行道已者是引出佛性。來	自 性 住 佛 性 佛 子 行 道 已 者 是 引 出 佛 性 來 
T85n2752_001:0199c08	世當作佛者。是至得果佛性　問。是法住法	世 當 作 佛 者 是 至 得 果 佛 性 問 是 法 住 法 
T85n2752_001:0199c09	位一偈顯何義　答。此偈明諸佛三身。是法	位 一 偈 顯 何 義 答 此 偈 明 諸 佛 三 身 是 法 
T85n2752_001:0199c10	住法位者。明法身者。道前為法住。在道復為	住 法 位 者 明 法 身 者 道 前 為 法 住 在 道 復 為 
T85n2752_001:0199c11	法住。時滯生死為世間。在法位時證涅槃常	法 住 時 滯 生 死 為 世 間 在 法 位 時 證 涅 槃 常 
T85n2752_001:0199c12	住。於道場知己者。明應身知法身。道師方便	住 於 道 場 知 己 者 明 應 身 知 法 身 道 師 方 便 
T85n2752_001:0199c13	說者。是化身。為眾生說法身　問。何故於三	說 者 是 化 身 為 眾 生 說 法 身 問 何 故 於 三 
T85n2752_001:0199c14	七日中思惟而不說法　答。先受三昧樂故。	七 日 中 思 惟 而 不 說 法 答 先 受 三 昧 樂 故 
T85n2752_001:0199c15	梵王未來請故。眾生根未熟故。所以於三七	梵 王 未 來 請 故 眾 生 根 未 熟 故 所 以 於 三 七 
T85n2752_001:0199c16	日中不說法。	日 中 不 說 法 
T85n2752_001:0199c17	譬喻品二十二條　問。論說十種對治及十	譬 喻 品 二 十 二 條 問 論 說 十 種 對 治 及 十 
T85n2752_001:0199c18	種無上名顯何義。并列其名　答。十種對治	種 無 上 名 顯 何 義 并 列 其 名 答 十 種 對 治 
T85n2752_001:0199c19	顯破三義。十種無上顯明一義。十種對治者。	顯 破 三 義 十 種 無 上 顯 明 一 義 十 種 對 治 者 
T85n2752_001:0199c20	七喻三平等。七譬者。一火宅譬。二窮子譬。三	七 喻 三 平 等 七 譬 者 一 火 宅 譬 二 窮 子 譬 三 
T85n2752_001:0199c21	藥草譬。四化城譬。五繫珠譬。六髻珠譬。七醫師譬。三	藥 草 譬 四 化 城 譬 五 繫 珠 譬 六 髻 珠 譬 七 醫 師 譬 三 
T85n2752_001:0199c22	平等者。一乘平等。二世間涅槃平等。三身平	平 等 者 一 乘 平 等 二 世間涅槃平等 三 身 平 
T85n2752_001:0199c23	等。七譬對治有煩惱人病。三平等對治無煩	等 七 譬 對 治 有 煩 惱 人 病 三 平 等 對 治 無 煩 
T85n2752_001:0199c24	惱人顛倒信。用此十對治破二十障。十無上	惱 人 顛 倒 信 用 此 十 對 治 破 二 十 障 十 無 上 
T85n2752_001:0199c25	者。一種子無上雲雨示現。二修行無上大通	者 一 種 子 無 上 雲 雨 示 現 二 修 行 無 上 大 通 
T85n2752_001:0199c26	智勝如來示現。三增上無上商譬示現。四解	智 勝 如 來 示 現 三 增 上 無 上 商 譬 示 現 四 解 
T85n2752_001:0199c27	無上繫譬珠示現。五淨土無上寶塔品示現。	無 上 繫 譬 珠 示 現 五 淨 土 無 上 寶 塔 品 示 現 
T85n2752_001:0199c28	六說無上解珠譬示現。七教化力無上踊出	六 說 無 上 解 珠 譬 示 現 七 教 化 力 無 上 踊 出 
T85n2752_001:0199c29	品示現。八菩提無上壽量品示現。九涅槃無	品 示 現 八 菩 提 無 上 壽 量 品 示 現 九 涅 槃 無 
T85n2752_001:0200a01	上醫師譬示現。十勝妙力無上餘殘修多羅	上 醫 師 譬 示 現 十 勝 妙 力 無 上 餘 殘 修 多 羅 
T85n2752_001:0200a02	示現。用此十種顯菩薩道　問。國邑聚落有	示 現 用 此 十 種 顯 菩 薩 道 問 國 邑 聚 落 有 
T85n2752_001:0200a03	大長者。國邑聚洛譬何法。有大長者譬何人	大 長 者 國 邑 聚 洛 譬 何 法 有 大 長 者 譬 何 人 
T85n2752_001:0200a04	　答。國邑聚洛譬如□境。有大長者譬如來	 答 國 邑 聚 洛 譬 如 境 有 大 長 者 譬 如 來 
T85n2752_001:0200a05	身。國為大處譬如來智慧境。以一切世界為	身 國 為 大 處 譬 如來智慧 境 以 一切世界 為 
T85n2752_001:0200a06	境故。邑為中處譬如來神通境。以十億三千	境 故 邑 為 中 處 譬 如 來 神 通 境 以 十 億 三 千 
T85n2752_001:0200a07	界為境故。聚落為小處譬如來說法境。以三	界 為 境 故 聚 落 為 小 處 譬 如 來 說 法 境 以 三 
T85n2752_001:0200a08	千大千世界為境　問。長者見是大火從四	千 大千世界 為 境 問 長 者 見 是 大 火 從 四 
T85n2752_001:0200a09	面起。大火譬何法。四面譬何法　答。大火譬	面 起 大 火 譬 何 法 四 面 譬 何 法 答 大 火 譬 
T85n2752_001:0200a10	苦體。謂苦苦壞苦。四面譬苦具。謂生老病	苦 體 謂 苦 苦 壞 苦 四 面 譬 苦 具 謂 生 老 病 
T85n2752_001:0200a11	死。如來以他心智知眾生三苦之火。從生老	死 如 來 以 他 心 智 知 眾 生 三 苦 之 火 從 生 老 
T85n2752_001:0200a12	病死而發故。言從四面起。生為東面。老為	病 死 而 發 故 言 從 四 面 起 生 為 東 面 老 為 
T85n2752_001:0200a13	南面。病為西面。死為北面　問。譬如長者有	南 面 病 為 西 面 死 為 北 面 問 譬 如 長 者 有 
T85n2752_001:0200a14	一火宅譬何法復以何法為體　答。火宅譬	一 火 宅 譬 何 法 復 以 何 法 為 體 答 火 宅 譬 
T85n2752_001:0200a15	於三界。以眾以眾生本識為體。本體者籠括	於 三 界 以 眾 以 眾 生 本 識 為 體 本 體 者 籠 括 
T85n2752_001:0200a16	空有網羅。天地攝摶色根含藏識種時歷三	空 有 網 羅 天 地 攝 摶 色 根 含 藏 識 種 時 歷 三 
T85n2752_001:0200a17	僧祇位階。五十聚悠悠長道故謂之火宅。舊	僧 祇 位 階 五 十 聚 悠 悠 長 道 故 謂 之 火 宅 舊 
T85n2752_001:0200a18	翻阿賴耶識為家識。斯火宅之馳也　問。何	翻 阿賴耶識 為 家 識 斯 火 宅 之 馳 也 問 何 
T85n2752_001:0200a19	故火宅唯有一門而復狹小　答。唯一佛教	故 火 宅 唯 有 一 門 而 復 狹 小 答 唯 一 佛 教 
T85n2752_001:0200a20	能背火宅。諸外道教不能出故曰唯有一門。	能 背 火 宅 諸 外 道 教 不 能 出 故 曰 唯 有 一 門 
T85n2752_001:0200a21	小乘教中不人人小乘闊度眾生所以言狹	小 乘 教 中 不 人 人 小 乘 闊 度 眾 生 所 以 言 狹 
T85n2752_001:0200a22	小。今小乘求大菩提。何以言小。然則大能權	小 今 小 乘 求大菩提 何 以 言 小 然 則 大 能 權 
T85n2752_001:0200a23	小所以菩薩從中而出不心怖大所以二乘不	小 所 以 菩 薩 從 中 而 出 不 心 怖 大 所 以 二 乘 不 
T85n2752_001:0200a24	問大門。而以是故窮子門側則悔來至此。長	問 大 門 而 以 是 故 窮 子 門 側 則 悔 來 至 此 長 
T85n2752_001:0200a25	者放命便則外走也　問。是火宅中有五百	者 放 命 便 則 外 走 也 問 是 火 宅 中 有 五 百 
T85n2752_001:0200a26	人。人數何限獨以五百為數　答。五百人者	人 人 數 何 限 獨 以 五 百 為 數 答 五 百 人 者 
T85n2752_001:0200a27	喻五道種子。以十業為因以十使為緣。因一	喻 五 道 種 子 以 十 業 為 因 以 十 使 為 緣 因 一 
T85n2752_001:0200a28	使發十使發百業。一道有一百五道即五百	使 發 十 使 發 百 業 一 道 有 一 百 五 道 即 五 百 
T85n2752_001:0200a29	故。以五百人譬五道種子也　問。當以衣裓	故 以 五 百 人 譬 五 道 種 子 也 問 當 以 衣 裓 
T85n2752_001:0200b01	若以机案從舍出之。衣裓机案各譬何法	若 以 机 案 從 舍 出 之 衣 裓 机 案 各 譬 何 法 
T85n2752_001:0200b02	　答。衣裓譬甚深禪定。机案譬平等大惠。禪	 答 衣 裓 譬 甚 深 禪 定 机 案 譬 平 等 大 惠 禪 
T85n2752_001:0200b03	定能起三十二相。令物至信大惠能說力所	定 能 起 三十二相 令 物 至 信 大 惠 能 說 力 所 
T85n2752_001:0200b04	畏。今物生智。以此二用從舍出之　問。云何	畏 今 物 生 智 以 此 二 用 從 舍 出 之 問 云 何 
T85n2752_001:0200b05	名為東西走戲視父而已　答。東方為苦諦。	名 為 東 西 走 戲 視 父 而 已 答 東 方 為 苦 諦 
T85n2752_001:0200b06	西方為集諦。北方為滅諦。南方為道諦。子證	西 方 為 集 諦 北 方 為 滅 諦 南 方 為 道 諦 子 證 
T85n2752_001:0200b07	苦即是走戲東西。父證滅道即是往還南北。	苦 即 是 走 戲 東 西 父 證 滅 道 即 是 往 還 南 北 
T85n2752_001:0200b08	東能隨逐。但可顧瞻而已。雖未隨父。終有會	東 能 隨 逐 但 可 顧 瞻 而 已 雖 未 隨 父 終 有 會 
T85n2752_001:0200b09	化之期故言視父　問。云何名皆四衢道中	化 之 期 故 言 視 父 問 云 何 名 皆 四 衢 道 中 
T85n2752_001:0200b10	露地而坐　答。四衢道中。謂四諦心見中學	露 地 而 坐 答 四 衢 道 中 謂 四 諦 心 見 中 學 
T85n2752_001:0200b11	地有障可言覆無學障盡故言路。所作已辦	地 有 障 可 言 覆 無 學 障 盡 故 言 路 所 作 已 辦 
T85n2752_001:0200b12	故言而坐　問。門外三車譬於何法　答。譬	故 言 而 坐 問 門 外 三 車 譬 於 何 法 答 譬 
T85n2752_001:0200b13	三乘。羊車譬小。鹿車譬中乘。牛車譬大乘。羊	三 乘 羊 車 譬 小 鹿 車 譬 中 乘 牛 車 譬 大 乘 羊 
T85n2752_001:0200b14	形小而力小故譬聲聞小乘。鹿形中而力中	形 小 而 力 小 故 譬 聲 聞 小 乘 鹿 形 中 而 力 中 
T85n2752_001:0200b15	故譬緣覺中乘。牛形大而力大故譬菩薩乘	故 譬 緣 覺 中 乘 牛 形 大 而 力 大 故 譬 菩 薩 乘 
T85n2752_001:0200b16	　問。三車譬智。化城譬何意　答。車是遊戲	 問 三 車 譬 智 化 城 譬 何 意 答 車 是 遊 戲 
T85n2752_001:0200b17	之具故以譬智。城是息疲之所故譬斷　問。	之 具 故 以 譬 智 城 是 息 疲 之 所 故 譬 斷 問 
T85n2752_001:0200b18	設車以誘諸子言不其開問以出諸子言一不	設 車 以 誘 諸 子 言 不 其 開 問 以 出 諸 子 言 一 不 
T85n2752_001:0200b19	言三何也　答。問可貴賤同行所以言一不	言 三 何 也 答 問 可 貴 賤 同 行 所 以 言 一 不 
T85n2752_001:0200b20	言三。車則尊卑別載所以言二不言一　問。	言 三 車 則 尊 卑 別 載 所 以 言 二 不 言 一 問 
T85n2752_001:0200b21	何故門外引子智以三車道中自子而以一城	何 故 門 外 引 子 智 以 三 車 道 中 自 子 而 以 一 城 
T85n2752_001:0200b22	何也　答。車是獨載之物。是故言三以外引。	何 也 答 車 是 獨 載 之 物 是 故 言 三 以 外 引 
T85n2752_001:0200b23	城是眾苦之所是故言以總入　問。諸子出	城 是 眾 苦 之 所 是 故 言 以 總 入 問 諸 子 出 
T85n2752_001:0200b24	於門外不見車而索車。諸子苦於道中不見	於 門 外 不 見 車 而 索 車 諸 子 苦 於 道 中 不 見 
T85n2752_001:0200b25	城何故不索　答。車為虛指令取之不得。是	城 何 故 不 索 答 車 為 虛 指 令 取 之 不 得 是 
T85n2752_001:0200b26	以索之。城為實化入入即是得何須索之。說	以 索 之 城 為 實 化 入 入 即 是 得 何 須 索 之 說 
T85n2752_001:0200b27	引息有霑實雨用以門外有索道中不索	引 息 有 霑 實 雨 用 以 門 外 有 索 道 中 不 索 
T85n2752_001:0200b28	　問。何故火宅之中乃言諸子爭出火宅。化城	 問 何 故 火 宅 之 中 乃 言 諸 子 爭 出 火 宅 化 城 
T85n2752_001:0200b29	中乃言眾人前入化城　答。諸子在家以生	中 乃 言 眾 人 前 入 化 城 答 諸 子 在 家 以 生 
T85n2752_001:0200c01	死為火宅。由求離故。何以爭出。眾人苦道以	死 為 火 宅 由 求 離 故 何 以 爭 出 眾 人 苦 道 以 
T85n2752_001:0200c02	涅槃為化城。由求諸故所以言前入　問。火	涅 槃 為 化 城 由 求 諸 故 所 以 言 前 入 問 火 
T85n2752_001:0200c03	宅中何故言汝等出來。化城中何故言汝等	宅 中 何 故 言 汝 等 出 來 化 城 中 何 故 言 汝 等 
T85n2752_001:0200c04	去來　答。火宅是舊苦之處。前說未有出故	去 來 答 火 宅 是 舊 苦 之 處 前 說 未 有 出 故 
T85n2752_001:0200c05	喚言出來。化城是中息之所。說息己故喚言	喚 言 出 來 化 城 是 中 息 之 所 說 息 己 故 喚 言 
T85n2752_001:0200c06	去來　問。云何名互相推排競共馳走爭出	去 來 問 云 何 名 互 相 推 排 競 共 馳 走 爭 出 
T85n2752_001:0200c07	火宅　答。互相推排者為所狹小。競共馳走	火 宅 答 互 相 推 排 者 為 所 狹 小 競 共 馳 走 
T85n2752_001:0200c08	者。譬登八正之路。爭出火宅者。譬免五痛	者 譬 登 八 正 之 路 爭 出 火 宅 者 譬 免 五 痛 
T85n2752_001:0200c09	之災。五痛者破五戒得五燒為五痛。出無量	之 災 五 痛 者 破 五 戒 得 五 燒 為 五 痛 出 無 量 
T85n2752_001:0200c10	壽經　問。云何名等一大車復駕以白牛	壽 經 問 云 何 名 等 一 大 車 復 駕 以 白 牛 
T85n2752_001:0200c11	　答。以一切智為大車。駕以白牛者。以大悲為	 答 以 一 切 智 為 大 車 駕 以 白 牛 者 以 大 悲 為 
T85n2752_001:0200c12	白牛。車以運載為義。悲拔苦為能非智運拔	白 牛 車 以 運 載 為 義 悲 拔 苦 為 能 非 智 運 拔 
T85n2752_001:0200c13	眾生如牛引物故。涅槃云。是故稱佛為大非	眾 生 如 牛 引 物 故 涅 槃 云 是 故 稱 佛 為 大 非 
T85n2752_001:0200c14	牛　問。云名故名物貪麁弊色聲香味觸	牛 問 云 名 故 名 物 貪 麁 弊 色聲香味觸 
T85n2752_001:0200c15	　答。色聲香味觸是五言言界故。言麁污人稱	 答 色聲香味觸 是 五 言 言 界 故 言 麁 污 人 稱 
T85n2752_001:0200c16	弊也　問。長者門內許子三車。而門外與一	弊 也 問 長 者 門 內 許 子 三 車 而 門 外 與 一 
T85n2752_001:0200c17	車。於三則許當不與。於一則與而不許。此非	車 於 三 則 許 當 不 與 於 一 則 與 而 不 許 此 非 
T85n2752_001:0200c18	長者虛妄耶　答。長者全其軀命利益事實	長 者 虛 妄 耶 答 長 者 全 其 軀 命 利 益 事 實 
T85n2752_001:0200c19	故非虛妄　問。經云如來利益一切人生三	故 非 虛 妄 問 經 云 如 來 利 益 一 切 人 生 三 
T85n2752_001:0200c20	界。未審五生中以何生生於三界　答。五生	界 未 審 五 生 中 以 何 生 生 於 三 界 答 五 生 
T85n2752_001:0200c21	中以最後生而生三界。五生者。一息苦生。二	中 以 最 後 生 而 生 三 界 五 生 者 一 息 苦 生 二 
T85n2752_001:0200c22	隨類生。三最勝生。四增上生。五最後生	隨 類 生 三 最 勝 生 四 增 上 生 五 最 後 生 
T85n2752_001:0200c23	　問。經言火宅何法是宅。何法是火　答。三界	 問 經 言 火 宅 何 法 是 宅 何 法 是 火 答 三 界 
T85n2752_001:0200c24	為宅。三苦為火。苦受以苦苦為火。樂受以壞	為 宅 三 苦 為 火 苦 受 以 苦 苦 為 火 樂 受 以 壞 
T85n2752_001:0200c25	苦為火。捨受以行苦為火。欲界具三火。無	苦 為 火 捨 受 以 行 苦 為 火 欲 界 具 三 火 無 
T85n2752_001:0200c26	色界具一火。是故火名火宅。	色 界 具 一 火 是 故 火 名 火 宅 
T85n2752_001:0200c27	信解品三條　問。窮子五十餘年。何名五十	信 解 品 三 條 問 窮 子 五 十 餘 年 何 名 五 十 
T85n2752_001:0200c28	年後得一日之價　答。以五十二賢聖為五	年 後 得 一 日 之 價 答 以 五 十 二 賢 聖 為 五 
T85n2752_001:0200c29	十餘年。所謂十信十解十行十迴向十地。是	十 餘 年 所 謂 十 信 十 解 十 行 十 迴 向 十 地 是 
T85n2752_001:0201a01	名五十。菩薩等覺二位名日餘年。小乘示得	名 五 十 菩 薩 等 覺 二 位 名 日 餘 年 小 乘 示 得 
T85n2752_001:0201a02	涅槃故云一日之價。	涅 槃 故 云 一 日 之 價 
T85n2752_001:0201a03	藥草喻品一條　問。三草二木各喻何人	藥 草 喻 品 一 條 問 三 草 二 木 各 喻 何 人 
T85n2752_001:0201a04	　答。小草喻凡夫。中草喻二乘。大草喻地前菩	 答 小 草 喻 凡 夫 中 草 喻 二 乘 大 草 喻 地 前 菩 
T85n2752_001:0201a05	薩。大木喻後三地菩薩。小木喻初地至七地	薩 大 木 喻 後 三 地 菩 薩 小 木 喻 初 地 至 七 地 
T85n2752_001:0201a06	菩薩。是名三草二木所譬之人。	菩 薩 是 名 三 草 二 木 所 譬 之 人 
T85n2752_001:0201a07	授記品二條　問。聲聞有幾種授記。何者聲	授 記 品 二 條 問 聲 聞 有 幾 種 授 記 何 者 聲 
T85n2752_001:0201a08	聞作佛　答。授應化聲聞退菩提心。聲聞作	聞 作 佛 答 授 應 化 聲 聞 退 菩 提 心 聲 聞 作 
T85n2752_001:0201a09	佛以根熟故。決定性及增上慢不授作佛以	佛 以 根 熟 故 決 定 性 及 增 上 慢 不 授 作 佛 以 
T85n2752_001:0201a10	根未熟故　問。若前後二俱授記作佛可使	根 未 熟 故 問 若 前 後 二 俱 授 記 作 佛 可 使 
T85n2752_001:0201a11	破二明一。後既不授作佛應非破二明一	破 二 明 一 後 既 不 授 作 佛 應 非 破 二 明 一 
T85n2752_001:0201a12	　答。授通授記故四種皆破。據外授記故兩不	 答 授 通 授 記 故 四 種 皆 破 據 外 授 記 故 兩 不 
T85n2752_001:0201a13	記　問。菩薩發心理應進發。有何障礙退作	記 問 菩 薩 發 心 理 應 進 發 有 何 障 礙 退 作 
T85n2752_001:0201a14	聲聞。假顯退由示其性弱　答。此至本發大	聲 聞 假 顯 退 由 示 其 性 弱 答 此 至 本 發 大 
T85n2752_001:0201a15	心希大果中間須行八萬四千波羅蜜行。後	心 希 大 果 中 間 須 行 八萬四千 波 羅 蜜 行 後 
T85n2752_001:0201a16	經三大阿僧祇時。雖言鼓玄掉於法流怯長	經 三 大 阿 僧 祇 時 雖 言 鼓 玄 掉 於 法 流 怯 長 
T85n2752_001:0201a17	波而自息。由是菩薩退作聲聞。故上文言佛	波 而 自 息 由 是 菩 薩 退 作 聲 聞 故 上 文 言 佛 
T85n2752_001:0201a18	道長遠久受勤者乃可得成。我等疲極。今言	道 長 遠 久 受 勤 者 乃 可 得 成 我 等 疲 極 今 言 
T85n2752_001:0201a19	退還即自證也。	退 還 即 自 證 也 
T85n2752_001:0201a20	化城喻品一條　問。如來初立作城引接何	化 城 喻 品 一 條 問 如 來 初 立 作 城 引 接 何 
T85n2752_001:0201a21	人。後滅引接何人　答。為引凡夫至聖故。立	人 後 滅 引 接 何 人 答 為 引 凡 夫 至 聖 故 立 
T85n2752_001:0201a22	作城為喻。小乘入大乘故滅為作滅作差別	作 城 為 喻 小 乘 入 大 乘 故 滅 為 作 滅 作 差 別 
T85n2752_001:0201a23	　問。兵將破敵應酬重賞。何故不解明珠乃	 問 兵 將 破 敵 應 酬 重 賞 何 故 不 解 明 珠 乃 
T85n2752_001:0201a24	賜田宅。為是輪王有燒為是將士動一輕仰	賜 田 宅 為 是 輪 王 有 燒 為 是 將 士 動 一 輕 仰 
T85n2752_001:0201a25	頓所由使無監　答。王心神珠價重唱賞不	頓 所 由 使 無 監 答 王 心 神 珠 價 重 唱 賞 不 
T85n2752_001:0201a26	伐之勳。佛以妙法經擬被罰群之力。若使勳	伐 之 勳 佛 以 妙 法 經 擬 被 罰 群 之 力 若 使 勳 
T85n2752_001:0201a27	輕賞重眷屬必致驚嗟。法大機小。菩薩能無	輕 賞 重 眷 屬 必 致 驚 嗟 法 大 機 小 菩 薩 能 無 
T85n2752_001:0201a28	怪或所以未解明珠且賜田宅。	怪 或 所 以 未 解 明 珠 且 賜 田 宅 
T85n2752_001:0201a29	壽量品一條　問。時我及眾僧俱出靈鷲山	壽 量 品 一 條 問 時 我 及 眾 僧 俱 出 靈 鷲 山 
T85n2752_001:0201b01	者。為是報佛為是應佛。若是報佛靈鷲山即	者 為 是 報 佛 為 是 應 佛 若 是 報 佛 靈 鷲 山 即 
T85n2752_001:0201b02	是應報土。若是應佛不應道常在靈鷲山	是 應 報 土 若 是 應 佛 不 應 道 常 在 靈 鷲 山 
T85n2752_001:0201b03	　答。實是報佛故常在靈鷲山。由現應相故現	 答 實 是 報 佛 故 常 在 靈 鷲 山 由 現 應 相 故 現 
T85n2752_001:0201b04	有滅不滅。靈鷲山者。約體即法性之山鷲應說	有 滅 不 滅 靈 鷲 山 者 約 體 即 法 性 之 山 鷲 應 說 
T85n2752_001:0201b05	是靈鷲山故。論云如來淨土即第一義諦攝。	是 靈 鷲 山 故 論 云 如 來 淨 土 即 第一義諦 攝 
