T47n1966_001:0120a03	念佛鏡序	念 佛 鏡 序 
T47n1966_001:0120a25	常院，令病者面西作往生淨土想。蓋彌陀光	常 院 令 病 者 面 西 作 往 生 淨 土 想 蓋 彌 陀 光 
T47n1966_001:0120a26	明遍照法界，念佛眾生攝取不捨，聖、凡一體	明 遍 照 法 界 念 佛 眾 生 攝 取 不 捨 聖 凡 一 體 
T47n1966_001:0120a27	機、感相應，諸佛心內眾生，塵塵極樂，眾生心	機 感 相 應 諸 佛 心 內 眾 生 塵 塵 極 樂 眾 生 心 
T47n1966_001:0120a28	中淨土，念念彌陀。吾以是觀之，智慧者易生，	中 淨 土 念 念 彌 陀 吾 以 是 觀 之 智 慧 者 易 生 
T47n1966_001:0120a29	能斷疑故；禪定者易生，不散亂故；持戒者	能 斷 疑 故 禪 定 者 易 生 不 散 亂 故 持 戒 者 
T47n1966_001:0120b01	易生，遠諸染故；布施者易生，不我有故；忍辱	易 生 遠 諸 染 故 布 施 者 易 生 不 我 有 故 忍 辱 
T47n1966_001:0120b02	者易生，不瞋恚故；精進者易生，不退轉故；不	者 易 生 不 瞋 恚 故 精 進 者 易 生 不 退 轉 故 不 
T47n1966_001:0120b03	造善、不作惡者易生，念純一故；諸惡已作、業	造 善 不 作 惡 者 易 生 念 純 一 故 諸 惡 已 作 業 
T47n1966_001:0120b04	報已現者易生，實慚懼故。雖有眾善，若無誠	報 已 現 者 易 生 實 慚 懼 故 雖 有 眾 善 若 無 誠 
T47n1966_001:0120b05	信心、無深心、無迴向發願心者，則不得上上	信 心 無 深 心 無 迴 向 發 願 心 者 則 不 得 上 上 
T47n1966_001:0120b06	品生矣。噫！彌陀甚易持，淨土甚易往，眾生不	品 生 矣 噫 彌 陀 甚 易 持 淨 土 甚 易 往 眾 生 不 
T47n1966_001:0120b07	能持、不能往，佛如眾生何？夫造惡業入苦趣，	能 持 不 能 往 佛 如 眾 生 何 夫 造 惡 業 入 苦 趣 
T47n1966_001:0120b08	念彌陀生極樂，二者皆佛言也。世人憂墮地	念 彌 陀 生 極 樂 二 者 皆 佛 言 也 世 人 憂 墮 地 
T47n1966_001:0120b09	獄而疑往生者，不亦惑哉？晉慧遠法師與當	獄 而 疑 往 生 者 不 亦 惑 哉 晉 慧 遠 法 師 與 當 
T47n1966_001:0120b10	時高士劉遺民等，結白蓮社於廬山，蓋致精	時 高 士 劉 遺 民 等 結 白 蓮 社 於 廬 山 蓋 致 精 
T47n1966_001:0120b11	誠於此。爾其後七百年，僧、俗修持獲感者非	誠 於 此 爾 其 後 七 百 年 僧 俗 修 持 獲 感 者 非 
T47n1966_001:0120b12	一，咸見于淨土傳記，豈誣也哉？然讚輔彌陀	一 咸 見 于 淨 土 傳 記 豈 誣 也 哉 然 讚 輔 彌 陀 
T47n1966_001:0120b13	教觀者，其書山積，唯	教 觀 者 其 書 山 積 唯 
T47n1966_001:0120b14	善道大師《念佛鏡》十一門最為首冠。援引聖	善 道 大 師 念 佛 鏡 十 一 門 最 為 首 冠 援 引 聖 
T47n1966_001:0120b15	言開決群惑，萬年闇室，日至而頓有餘光；千	言 開 決 群 惑 萬 年 闇 室 日 至 而 頓 有 餘 光 千 
T47n1966_001:0120b16	里水程，舟具而不勞自力。非法藏後身，不能	里 水 程 舟 具 而 不 勞 自 力 非 法 藏 後 身 不 能 
T47n1966_001:0120b17	至於是也。傑頃於都下甞獲斯文，讀示所知，	至 於 是 也 傑 頃 於 都 下 甞 獲 斯 文 讀 示 所 知 
T47n1966_001:0120b18	無不生信，自遭酷罰，感窹益深，將廣其傳，因	無 不 生 信 自 遭 酷 罰 感 窹 益 深 將 廣 其 傳 因 
T47n1966_001:0120b19	為敘引。	為 敘 引 
T47n1966_001:0120b20	熙寧九年(丙辰)仲秋述	熙 寧 九 年 丙 辰 仲 秋 述 
T47n1966_001:0120b22	大明朝雲棲寺蓮池大師竹窓二筆曰：「道鏡、	大 明 朝 雲 棲 寺 蓮 池 大 師 竹 窓 二 筆 曰 道 鏡 
T47n1966_001:0120b23	善道二師作《念佛鏡》，以念佛與種種法門對	善 道 二 師 作 念 佛 鏡 以 念 佛 與 種種法門 對 
T47n1966_001:0120b24	舉，皆斷之曰：『欲比念佛功德，百千萬億分不	舉 皆 斷 之 曰 欲 比 念 佛 功 德 百 千萬億分 不 
T47n1966_001:0120b25	能及一。』可謂篤信明辨，大有功於淨土矣！」獨	能 及 一 可 謂 篤 信 明 辨 大 有 功 於 淨 土 矣 獨 
T47n1966_001:0120b26	其對禪宗一章謂：「觀心者、觀無生者，亦比念	其 對 禪 宗 一 章 謂 觀 心 者 觀 無 生 者 亦 比 念 
T47n1966_001:0120b27	佛功德，百千萬億分不能及一。」學人疑焉，予	佛 功 德 百 千萬億分 不 能 及 一 學 人 疑 焉 予 
T47n1966_001:0120b28	以為正。四料簡所謂：「有禪無淨土者」，是也。但	以 為 正 四 料 簡 所 謂 有 禪 無 淨 土 者 是 也 但 
T47n1966_001:0120b29	執觀心，不信有極樂淨土，但執無生，不信有	執 觀 心 不 信 有 極樂淨土 但 執 無 生 不 信 有 
T47n1966_001:0120c01	淨土往生，則未達即心即土，不知生即無生，	淨 土 往 生 則 未 達 即 心 即 土 不 知 生 即 無 生 
T47n1966_001:0120c02	偏空之見非圓頓之禪也。反不如理性雖未	偏 空 之 見 非 圓 頓 之 禪 也 反 不 如 理 性 雖 未 
T47n1966_001:0120c03	大明而念佛已成三昧者，何足怪乎？若夫觀	大 明 而 念 佛 已 成 三 昧 者 何 足 怪 乎 若 夫 觀 
T47n1966_001:0120c04	心而妙悟自心，觀無生而得無生忍，此正與	心 而 妙 悟 自 心 觀 無 生 而 得無生忍 此 正 與 
T47n1966_001:0120c05	念佛人上品上生者同科，又誰軒輊之有矣？	念 佛 人 上 品 上 生 者 同 科 又 誰 軒 輊 之 有 矣 
T47n1966_001:0120c07	古本曰：	古 本 曰 
T47n1966_001:0120c08	(五代十國之契丹，道宗年號，當于大宋四主仁宗嘉祐第	 五 代 十 國 之 契 丹 道 宗 年 號 當 于 大 宋 四 主 仁 宗 嘉 祐 第 
T47n1966_001:0120c09	四)	四 
T47n1966_001:0120c10	清寧五稔歲次己亥孟秋月蓂生一葉記	清 寧 五 稔 歲 次 己 亥 孟 秋 月 蓂 生 一 葉 記 
T47n1966_001:0120c11	奉聖州彰義寺，前東五臺臨壇大德，弘律沙門	奉 聖 州 彰 義 寺 前 東 五 臺 臨 壇 大 德 弘 律 沙 門 
T47n1966_001:0120c12	法廣詳勘	法 廣 詳 勘 
T47n1966_001:0120c13	崇攝大夫撿挍，太保圓教大師賜紫　　沙門	崇 攝 大 夫 撿 挍 太 保 圓 教 大 師 賜 紫 沙 門 
T47n1966_001:0120c14	知昭詳勘	知 昭 詳 勘 
T47n1966_001:0120c16	夫念佛三昧，如明鏡照萬象，八萬四千其猶	夫 念佛三昧 如 明 鏡 照 萬 象 八萬四千 其 猶 
T47n1966_001:0120c17	影像，三乘、五乘從是得入，諒是海藏之至要，	影 像 三 乘 五 乘 從 是 得 入 諒 是 海 藏 之 至 要 
T47n1966_001:0120c18	趣道之妙門，如守母以識子，得本而知末，提	趣 道 之 妙 門 如 守 母 以 識 子 得 本 而 知 末 提 
T47n1966_001:0120c19	綱而孔孔皆動，牽衣而縷縷俱來矣！所以《華	綱 而 孔 孔 皆 動 牽 衣 而 縷 縷 俱 來 矣 所 以 華 
T47n1966_001:0120c20	嚴》譬如以獅子筋為琴絃，音聲一奏，一切餘	嚴 譬 如 以 獅 子 筋 為 琴 絃 音 聲 一 奏 一 切 餘 
T47n1966_001:0120c21	絃悉皆斷壞矣！世有一般師，輕蔑彌陀，偏勸	絃 悉 皆 斷 壞 矣 世 有 一 般 師 輕 蔑 彌 陀 偏 勸 
T47n1966_001:0120c22	菩薩，令持陀羅尼修禪定，是錯之甚者乎！西	菩 薩 令 持 陀 羅 尼 修 禪 定 是 錯 之 甚 者 乎 西 
T47n1966_001:0120c23	方之外別無觀音之土，九品來應悉擎蓮臺，	方 之 外 別 無 觀 音 之 土 九 品 來 應 悉 擎 蓮 臺 
T47n1966_001:0120c24	形像妙觀說是心是佛。是故百丈、智覺等皆	形 像 妙 觀 說 是 心 是 佛 是 故 百 丈 智 覺 等 皆 
T47n1966_001:0120c25	開張淨土，均勸念佛，言積于萬卷，書滿于海	開 張 淨 土 均 勸 念 佛 言 積 于 萬 卷 書 滿 于 海 
T47n1966_001:0120c26	內。特可備於輕蔑者之金錍者，其惟二師之	內 特 可 備 於 輕 蔑 者 之 金 錍 者 其 惟 二 師 之 
T47n1966_001:0120c27	《念佛鏡》乎！門分十一，導於萬機，疑立二三，蕩	 念 佛 鏡 乎 門 分 十 一 導 於 萬 機 疑 立 二 三 蕩 
T47n1966_001:0120c28	於群惑，可謂澆世念佛之寶鏡，四輩安神之	於 群 惑 可 謂 澆 世 念 佛 之 寶 鏡 四 輩 安 神 之 
T47n1966_001:0120c29	華屋者也！繇茲雲棲大師深服膺斯書，歎篤	華 屋 者 也 繇 茲 雲 棲 大 師 深 服 膺 斯 書 歎 篤 
T47n1966_001:0121a01	信明解，大有功於淨土，甞無駁言而還彰偏	信 明 解 大 有 功 於 淨 土 甞 無 駁 言 而 還 彰 偏 
T47n1966_001:0121a02	見過失矣！古梓誵訛是多，今獲國歡寺本，專	見 過 失 矣 古 梓 誵 訛 是 多 今 獲 國 歡 寺 本 專 
T47n1966_001:0121a03	隨之正之，但疑楊傑序轉用之。冀祈同志之	隨 之 正 之 但 疑 楊 傑 序 轉 用 之 冀 祈 同 志 之 
T47n1966_001:0121a04	仁講再挍本，傳之無窮之里，俱入薩雲之海	仁 講 再 挍 本 傳 之 無 窮 之 里 俱 入 薩 雲 之 海 
T47n1966_001:0121a05	而已。	而 已 
T47n1966_001:0121a06	旹延寶元龍集癸丑臘月上浣	旹 延 寶 元 龍 集 癸 丑 臘 月 上 浣 
T47n1966_001:0121a07	　　　　　　江東住侶大谷門人某誌焉	 江 東 住 侶 大 谷 門 人 某 誌 焉 
T47n1966_001:0121a10	念佛鏡本(國歡寺僧　如賢刻奉戒弟子林士瑜書)	念 佛 鏡 本 國 歡 寺 僧 如 賢 刻 奉 戒 弟 子 林 士 瑜 書 
T47n1966_001:0121a12	沙門道鏡、善道共集	沙 門 道 鏡 善 道 共 集 
T47n1966_001:0121a13	詳夫圓成至覺，盡智海以無方；普應群機，破	詳 夫 圓 成 至 覺 盡 智 海 以 無 方 普 應 群 機 破 
T47n1966_001:0121a14	迷山而有路。慈音遍演，親聞者道證三空；妙	迷 山 而 有 路 慈 音 遍 演 親 聞 者 道 證 三 空 妙 
T47n1966_001:0121a15	義齊分，入信者心明八諦。施頓、漸之五乘，接	義 齊 分 入 信 者 心 明 八 諦 施 頓 漸 之 五 乘 接 
T47n1966_001:0121a16	聖、凡之二類。識其道者，便登常樂之鄉；迷其	聖 凡 之 二 類 識 其 道 者 便 登 常 樂 之 鄉 迷 其 
T47n1966_001:0121a17	旨者，永溺輪迴之域。是以如來隨機授道，直	旨 者 永 溺 輪 迴 之 域 是 以 如 來 隨 機 授 道 直 
T47n1966_001:0121a18	指西方，開極樂之法門，顯慈尊之名號，故	指 西 方 開 極 樂 之 法 門 顯 慈 尊 之 名 號 故 
T47n1966_001:0121a19	乃人、天共仰，凡、聖同歸。入華藏之要津，證	乃 人 天 共 仰 凡 聖 同 歸 入 華 藏 之 要 津 證 
T47n1966_001:0121a20	泥洹之疾徑，行門省略，功德甚深。自古名賢	泥 洹 之 疾 徑 行 門 省 略 功 德 甚 深 自 古 名 賢 
T47n1966_001:0121a21	盡依念佛，慧持、慧遠壽終，寶蓋迎將，道綽、道	盡 依 念 佛 慧 持 慧 遠 壽 終 寶 蓋 迎 將 道 綽 道 
T47n1966_001:0121a22	珍命盡，仙雲引去，或男、或女現祥瑞者，一一	珍 命 盡 仙 雲 引 去 或 男 或 女 現 祥 瑞 者 一 一 
T47n1966_001:0121a23	難陳，若僧、若尼感慈光者，重重無盡，傳記具	難 陳 若 僧 若 尼 感 慈 光 者 重 重 無 盡 傳 記 具 
T47n1966_001:0121a24	明，不勞廣錄。今《念佛鏡》者，照明念佛之人，永	明 不 勞 廣 錄 今 念 佛 鏡 者 照 明 念 佛 之 人 永 
T47n1966_001:0121a25	斷疑惑者也！依之奉行，必出苦輪。較量辨疑	斷 疑 惑 者 也 依 之 奉 行 必 出 苦 輪 較 量 辨 疑 
T47n1966_001:0121a26	者，義在下文，總有一十一門，覽者詳焉。	者 義 在 下 文 總 有 一 十 一 門 覽 者 詳 焉 
T47n1966_001:0121a27	　一、勸進念佛門　二、自力他力門	 一 勸 進 念 佛 門 二 自 力 他 力 門 
T47n1966_001:0121a28	　三、念佛得益門　四、已得往生門	 三 念 佛 得 益 門 四 已 得 往 生 門 
T47n1966_001:0121a29	　五、挍量功德門　六、挍量齋福門	 五 挍 量 功 德 門 六 挍 量 齋 福 門 
T47n1966_001:0121b01	　七、疑謗得罪門　八、誓願證教門	 七 疑 謗 得 罪 門 八 誓 願 證 教 門 
T47n1966_001:0121b02	　九、廣攝諸教門　十、釋眾疑惑門(復分六門)	 九 廣 攝 諸 教 門 十 釋 眾 疑 惑 門 復 分 六 門 
T47n1966_001:0121b03	　十一、念佛出三界門	 十 一 念 佛 出 三 界 門 
T47n1966_001:0121b04	第一、勸進念佛門	第 一 勸 進 念 佛 門 
T47n1966_001:0121b05	夫佛者三界大師，四生慈父。歸信者，滅罪恒	夫 佛 者 三 界 大 師 四 生 慈 父 歸 信 者 滅 罪 恒 
T47n1966_001:0121b06	沙；稱念者、得福無量。凡欲念佛，要起信心，若	沙 稱 念 者 得 福 無 量 凡 欲 念 佛 要 起 信 心 若 
T47n1966_001:0121b07	當無信，空無所獲。是故經言：「如是」者，信相也。	當 無 信 空 無 所 獲 是 故 經 言 如 是 者 信 相 也 
T47n1966_001:0121b08	夫信為入道之初宗；智為究竟之玄術。初稱	夫 信 為 入 道 之 初 宗 智 為 究 竟 之 玄 術 初 稱 
T47n1966_001:0121b09	如是，信也；後曰奉行，智也。故《阿彌陀經》云：「若	如 是 信 也 後 曰 奉 行 智 也 故 阿 彌 陀 經 云 若 
T47n1966_001:0121b10	有信者，應當發願，生彼國土。」此是本師釋迦	有 信 者 應 當 發 願 生 彼 國 土 此 是 本 師 釋 迦 
T47n1966_001:0121b11	牟尼勸信之處。彼經又言：「汝等當信是稱讚	牟 尼 勸 信 之 處 彼 經 又 言 汝 等 當 信 是 稱 讚 
T47n1966_001:0121b12	不可思議功德。」此是六方諸佛勸信處。又經	不可思議 功 德 此 是 六 方 諸 佛 勸 信 處 又 經 
T47n1966_001:0121b13	言：「隨順此經，以信得入。」此是《法華經》勸信處。	言 隨 順 此 經 以 信 得 入 此 是 法 華 經 勸 信 處 
T47n1966_001:0121b14	又云：「若人種善根，疑則華不開，信心清淨者，	又 云 若 人 種 善 根 疑 則 華 不 開 信 心 清 淨 者 
T47n1966_001:0121b15	華開即見佛。」此是《十住論》勸信處。又「人無信	華 開 即 見 佛 此 是 十 住 論 勸 信 處 又 人 無 信 
T47n1966_001:0121b16	而不立，車無輗軏不行。」此是外書勸信處。又	而 不 立 車 無 輗 軏 不 行 此 是 外 書 勸 信 處 又 
T47n1966_001:0121b17	「信則所言之理順，順則師資之道成，經無豐	 信 則 所 言 之 理 順 順 則 師 資 之 道 成 經 無 豐 
T47n1966_001:0121b18	約，非信不傳。」此是肇法師勸信處。大行和上	約 非 信 不 傳 此 是 肇 法 師 勸 信 處 大 行 和 上 
T47n1966_001:0121b19	曰：「念佛法門不問道俗、男女、貴賤、貧富，唯要	曰 念 佛 法 門 不 問 道 俗 男 女 貴 賤 貧 富 唯 要 
T47n1966_001:0121b20	具信。」此是大行和上勸信處。問云：「既言道	具 信 此 是 大 行 和 上 勸 信 處 問 云 既 言 道 
T47n1966_001:0121b21	信，未知信何等法？」答曰：「信意者，信依經中說，	信 未 知 信 何 等 法 答 曰 信 意 者 信 依 經 中 說 
T47n1966_001:0121b22	念佛定生淨土，信念佛定滅諸罪，信念佛定	念 佛 定 生 淨 土 信 念 佛 定 滅 諸 罪 信 念 佛 定 
T47n1966_001:0121b23	得佛證，信念佛定得佛護，信念佛臨命終時	得 佛 證 信 念 佛 定 得 佛 護 信 念 佛 臨命終時 
T47n1966_001:0121b24	佛自來迎，信念佛不問眾生同信之人皆得	佛 自 來 迎 信 念 佛 不 問 眾 生 同 信 之 人 皆 得 
T47n1966_001:0121b25	往生，信念佛生淨土定得三十二相，信念佛	往 生 信 念 佛 生 淨 土 定 得 三十二相 信 念 佛 
T47n1966_001:0121b26	生淨土定得住不退地，信念佛生淨土定得	生 淨 土 定 得 住 不 退 地 信 念 佛 生 淨 土 定 得 
T47n1966_001:0121b27	自在快樂莊嚴，信念佛生淨土定得不死之	自 在 快 樂 莊 嚴 信 念 佛 生 淨 土 定 得 不 死 之 
T47n1966_001:0121b28	地，信念佛生淨土與諸菩薩一向為伴侶，信	地 信 念 佛 生 淨 土 與 諸 菩 薩 一 向 為 伴 侶 信 
T47n1966_001:0121b29	生淨土更不離佛，信生淨土華臺化生，信彌	生 淨 土 更 不 離 佛 信 生 淨 土 華 臺 化 生 信 彌 
T47n1966_001:0121c01	陀佛現在說法，信生淨土不墮三塗地獄，所	陀 佛 現 在 說 法 信 生 淨 土 不 墮 三 塗 地 獄 所 
T47n1966_001:0121c02	以遣念佛。念佛一口，准《觀經》說，定滅八十億	以 遣 念 佛 念 佛 一 口 准 觀 經 說 定 滅 八 十 億 
T47n1966_001:0121c03	劫生死重罪，還得八十億劫微妙功德，所以	劫 生 死 重 罪 還 得 八 十 億 劫 微 妙 功 德 所 以 
T47n1966_001:0121c04	勸信。是故大行和上遣念佛人，心唯信佛，佛	勸 信 是 故 大 行 和 上 遣 念 佛 人 心 唯 信 佛 佛 
T47n1966_001:0121c05	則知之，佛得他心通故；口唯稱佛，佛則聞之，	則 知 之 佛 得 他 心 通 故 口 唯 稱 佛 佛 則 聞 之 
T47n1966_001:0121c06	佛得天耳通故；身唯敬佛，佛則見之，佛得天	佛 得 天 耳 通 故 身 唯 敬 佛 佛 則 見 之 佛 得 天 
T47n1966_001:0121c07	眼通故。此是大行和上勸信念佛處。又喻信	眼 通 故 此 是 大 行 和 上 勸 信 念 佛 處 又 喻 信 
T47n1966_001:0121c08	心，猶如深栽果樹，樹根深故風吹不動，後著	心 猶 如 深 栽 果 樹 樹 根 深 故 風 吹 不 動 後 著 
T47n1966_001:0121c09	果實濟人饑渴。念佛之人亦復如是，要由深	果 實 濟 人 饑 渴 念 佛 之 人 亦復如是 要 由 深 
T47n1966_001:0121c10	信得到西方，成等正覺廣濟危難。若當無信，	信 得 到 西 方 成等正覺 廣 濟 危 難 若 當 無 信 
T47n1966_001:0121c11	空無所獲。是故經言：『十住菩薩一起信心念	空 無 所 獲 是 故 經 言 十住菩薩 一 起 信 心 念 
T47n1966_001:0121c12	佛，已後縱逢惡緣喪身斷命，寧當即死不退	佛 已 後 縱 逢 惡 緣 喪 身 斷 命 寧 當 即 死 不 退 
T47n1966_001:0121c13	信。』故《維摩經》云：『深信堅固猶如金剛，法珍普	信 故 維 摩 經 云 深 信 堅 固 猶如金剛 法 珍 普 
T47n1966_001:0121c14	照如雨甘露。』念佛之人要須深信。「又《無量壽	照 如 雨 甘 露 念 佛 之 人 要 須 深 信 又 無 量 壽 
T47n1966_001:0121c15	經論》云：『念佛有五種門。何者為五？一者、禮拜	經 論 云 念 佛 有 五 種 門 何 者 為 五 一 者 禮 拜 
T47n1966_001:0121c16	門，身業專禮阿彌陀佛；二者、讚歎門，口業專	門 身 業 專 禮 阿 彌 陀 佛 二 者 讚 歎 門 口 業 專 
T47n1966_001:0121c17	稱阿彌陀佛名號；三者、作願門，所有禮念功	稱 阿 彌 陀 佛 名 號 三 者 作 願 門 所 有 禮 念 功 
T47n1966_001:0121c18	德，唯願求生極樂世界；四者、觀察門，行住坐	德 唯 願 求 生 極樂世界 四 者 觀 察 門 行 住 坐 
T47n1966_001:0121c19	臥唯遣觀察阿彌陀佛，速生淨土；五者、迴向	臥 唯 遣 觀 察 阿 彌 陀 佛 速 生 淨 土 五 者 迴 向 
T47n1966_001:0121c20	門，但念佛、禮佛功德，唯願往生淨土，速成無	門 但 念 佛 禮 佛 功 德 唯 願 往 生 淨 土 速 成 無 
T47n1966_001:0121c21	上菩提。』此是《無量壽經論》中念佛法門。又彼	上 菩 提 此 是 無 量 壽 經 論 中 念 佛 法 門 又 彼 
T47n1966_001:0121c22	經云：『有四種修行。何等為四？一者、長時修，自	經 云 有 四 種 修 行 何 等 為 四 一 者 長 時 修 自 
T47n1966_001:0121c23	一發念佛心以來，直至得生淨土成佛，終不	一 發 念 佛 心 以 來 直 至 得 生 淨 土 成 佛 終 不 
T47n1966_001:0121c24	退轉；二者、敬處修，正向西方，專想不移；三	退 轉 二 者 敬 處 修 正 向 西 方 專 想 不 移 三 
T47n1966_001:0121c25	者、無間修，唯專念佛，無別雜善而來間隔，亦	者 無 間 修 唯 專 念 佛 無 別 雜 善 而 來 間 隔 亦 
T47n1966_001:0121c26	無貪、嗔煩惱雜惡來間；四者、無餘修，無餘雜	無 貪 嗔 煩 惱 雜 惡 來 間 四 者 無 餘 修 無 餘 雜 
T47n1966_001:0121c27	善而來間。何以故？雜善修道多劫乃成，由自	善 而 來 間 何 以 故 雜 善 修 道 多 劫 乃 成 由 自 
T47n1966_001:0121c28	力故；唯專念佛一日、七日，即生淨土，位居不	力 故 唯 專 念 佛 一 日 七 日 即 生 淨 土 位 居 不 
T47n1966_001:0121c29	退，速成無上菩提，乘阿彌陀佛本願力故，速	退 速 成 無上菩提 乘 阿 彌 陀 佛 本 願 力 故 速 
T47n1966_001:0122a01	得成就，故名無餘修。』又准《觀經》中勤念佛人：	得 成 就 故 名 無 餘 修 又 准 觀 經 中 勤 念 佛 人 
T47n1966_001:0122a02	『上品上生者，若有眾生願生彼國者，發三種	 上 品 上 生 者 若 有 眾 生 願 生 彼 國 者 發 三 種 
T47n1966_001:0122a03	心即便往生。何等為三？一者、至誠心；二者、深	心 即 便 往 生 何 等 為 三 一 者 至 誠 心 二 者 深 
T47n1966_001:0122a04	心；三者、迴向發願心。具三心者必生彼國。』何	心 三 者 迴 向 發 願 心 具 三 心 者 必 生 彼 國 何 
T47n1966_001:0122a05	者至誠心？身業專禮阿彌陀佛，口業專稱阿	者 至 誠 心 身 業 專 禮 阿 彌 陀 佛 口 業 專 稱 阿 
T47n1966_001:0122a06	彌陀佛，意業專信阿彌陀佛，乃至往生淨土，	彌 陀 佛 意 業 專 信 阿 彌 陀 佛 乃 至 往 生 淨 土 
T47n1966_001:0122a07	成佛已來不生退轉，故名至誠心；深心者，即	成佛已來 不 生 退 轉 故 名 至 誠 心 深 心 者 即 
T47n1966_001:0122a08	是真實起信，專念佛名，誓生淨土，成佛為期，	是 真 實 起 信 專 念 佛 名 誓 生 淨 土 成 佛 為 期 
T47n1966_001:0122a09	終不再疑，故名深心；迴向發願心者，所有禮、	終 不 再 疑 故 名 深 心 迴 向 發 願 心 者 所 有 禮 
T47n1966_001:0122a10	念功德，唯願往生淨土，速成無上菩提，故名	念 功 德 唯 願 往 生 淨 土 速 成 無上菩提 故 名 
T47n1966_001:0122a11	迴向發願心。此是《觀經》中，上品上生法。又《文	迴 向 發 願 心 此 是 觀 經 中 上 品 上 生 法 又 文 
T47n1966_001:0122a12	殊般若》經：『不觀相貌，專稱名號，作一行三	殊 般 若 經 不 觀 相 貌 專 稱 名 號 作 一 行 三 
T47n1966_001:0122a13	昧。欲得速成佛，亦作此一行三昧；欲具一切	昧 欲 得 速 成 佛 亦 作 此 一行三昧 欲 具 一 切 
T47n1966_001:0122a14	智，亦作一行三昧；欲得見佛，亦作一行三	智 亦 作 一行三昧 欲 得 見 佛 亦 作 一 行 三 
T47n1966_001:0122a15	昧；欲得速生淨土，亦作一行三昧。』此是《文殊	昧 欲 得 速 生 淨 土 亦 作 一行三昧 此 是 文 殊 
T47n1966_001:0122a16	般若經》中念佛往生法。「又《阿彌陀經》云：『舍利	般 若 經 中 念 佛 往 生 法 又 阿 彌 陀 經 云 舍 利 
T47n1966_001:0122a17	弗！若有善男子、善女人，聞說阿彌陀佛，執	弗 若 有 善 男 子 善 女 人 聞 說 阿 彌 陀 佛 執 
T47n1966_001:0122a18	持名號，若一日、若二日，乃至若七日，一心不	持 名 號 若 一 日 若 二 日 乃 至 若 七 日 一 心 不 
T47n1966_001:0122a19	亂。其人臨命終時，阿彌陀佛與諸聖眾現在	亂 其 人 臨命終時 阿 彌 陀 佛 與 諸 聖 眾 現 在 
