T04n0207_001:0522b16	◎雜譬喻經	 雜 譬 喻 經 
T04n0207_001:0522c29	子始處母胎，有何奇特供給異常耶？」時王答	子 始 處 母 胎 有 何 奇 特 供 給 異 常 耶 時 王 答 
T04n0207_001:0523a01	曰：「吾大子等雖才美過人，未有堪任登大位	曰 吾 大 子 等 雖 才 美 過 人 未 有 堪 任 登 大 位 
T04n0207_001:0523a02	者，吾末後子若生長大，必當堪任嗣大位也。」	者 吾 末 後 子 若 生 長 大 必 當 堪 任 嗣 大 位 也 
T04n0207_001:0523a03	時聖王者喻如佛也，諸大子者喻如下二乘	時 聖 王 者 喻 如 佛 也 諸 大 子 者 喻 如 下 二 乘 
T04n0207_001:0523a04	也，末後處子喻菩薩也。言菩薩雖雜塵垢，	也 末 後 處 子 喻 菩 薩 也 言 菩 薩 雖 雜 塵 垢 
T04n0207_001:0523a05	但能發大意者，必為諸佛所念，天龍鬼神皆	但 能 發 大 意 者 必 為 諸 佛 所 念 天 龍 鬼 神 皆 
T04n0207_001:0523a06	興敬愛之也。	興 敬 愛 之 也 
T04n0207_001:0523a07	（三）昔迦葉佛時有兄弟二人，出家俱為沙門，	 三 昔 迦 葉 佛 時 有 兄 弟 二 人 出 家 俱 為 沙 門 
T04n0207_001:0523a08	兄好持戒坐禪，一心求道而不好布施；弟好	兄 好 持 戒 坐 禪 一 心 求 道 而 不 好 布 施 弟 好 
T04n0207_001:0523a09	布施修福而喜破戒。釋迦文出世，其兄值佛	布 施 修 福 而 喜 破 戒 釋 迦 文 出 世 其 兄 值 佛 
T04n0207_001:0523a10	出家修道即得羅漢，而獨薄福，常患衣食不	出 家 修 道 即 得 羅 漢 而 獨 薄 福 常 患 衣 食 不 
T04n0207_001:0523a11	充，與諸伴等遊行乞食，常獨不飽而還。其	充 與 諸 伴 等 遊 行 乞 食 常 獨 不 飽 而 還 其 
T04n0207_001:0523a12	弟生象中，為象多力能却怨敵，為國王所愛，	弟 生 象 中 為 象 多 力 能 却 怨 敵 為 國 王 所 愛 
T04n0207_001:0523a13	以好金銀珍寶瓔珞，其身封數百戶邑，供給	以 好 金 銀 珍 寶 瓔 珞 其 身 封 數 百 戶 邑 供 給 
T04n0207_001:0523a14	此象隨其所須。時兄比丘者值世大儉，遊行	此 象 隨 其 所 須 時 兄 比 丘 者 值 世 大 儉 遊 行 
T04n0207_001:0523a15	乞食七日不得，末後得少麤食殆得存命。先	乞 食 七 日 不 得 末 後 得 少 麤 食 殆 得 存 命 先 
T04n0207_001:0523a16	知此象是前世兄弟，便往詣象前，手捉象耳	知 此 象 是 前 世 兄 弟 便 往 詣 象 前 手 捉 象 耳 
T04n0207_001:0523a17	而語之言：「我與汝俱有罪也。」象便思惟比丘	而 語 之 言 我 與 汝 俱 有 罪 也 象 便 思 惟 比 丘 
T04n0207_001:0523a18	語，即得自識宿命，見前世因緣，象便愁憂	語 即 得 自識宿命 見 前 世 因 緣 象 便 愁 憂 
T04n0207_001:0523a19	不復飲食。象子怖懼便往白王言：「象不復飲	不 復 飲 食 象 子 怖 懼 便 往 白 王 言 象 不 復 飲 
T04n0207_001:0523a20	食，不知何意？」王問象子：「先有人犯此象不？」象	食 不 知 何 意 王 問 象 子 先 有 人 犯 此 象 不 象 
T04n0207_001:0523a21	子答王言：「無他異人，唯見一沙門來至象邊，	子 答 王 言 無 他 異 人 唯 見 一 沙 門 來 至 象 邊 
T04n0207_001:0523a22	須臾便去耳。」王即遣人四出覓此沙門。有人	須 臾 便 去 耳 王 即 遣 人 四 出 覓 此 沙 門 有 人 
T04n0207_001:0523a23	於林樹間得，便攝此沙門將詣王前，王問沙	於 林 樹 間 得 便 攝 此 沙 門 將 詣 王 前 王 問 沙 
T04n0207_001:0523a24	門言：「至我象邊何所道說？」沙門答王言：「無	門 言 至 我 象 邊 何 所 道 說 沙 門 答 王 言 無 
T04n0207_001:0523a25	所多說，我直語象言：『我與汝俱有罪耳。』」時沙	所 多 說 我 直 語 象 言 我 與 汝 俱 有 罪 耳 時 沙 
T04n0207_001:0523a26	門便向王具說前世因緣事，王意便悟，即	門 便 向 王 具 說 前 世 因 緣 事 王 意 便 悟 即 
T04n0207_001:0523a27	放此沙門令還所止。	放 此 沙 門 令 還 所 止 
T04n0207_001:0523a28	（四）昔有伎兒作種種伎樂，從一富長者乞牛，	 四 昔 有 伎 兒 作 種 種 伎 樂 從 一 富 長 者 乞 牛 
T04n0207_001:0523a29	長者了無與心，故語之言：「汝能如是勤作伎	長 者 了 無 與 心 故 語 之 言 汝 能 如 是 勤 作 伎 
T04n0207_001:0523b01	樂晝夜不息滿一歲者，我當與汝牛。」伎兒答	樂 晝 夜 不 息 滿 一 歲 者 我 當 與 汝 牛 伎 兒 答 
T04n0207_001:0523b02	言：「能。」復語主人：「能聽不？」長者亦言：「能。」於是	言 能 復 語 主 人 能 聽 不 長 者 亦 言 能 於 是 
T04n0207_001:0523b03	伎兒聞是歡喜，一心作樂，三日三夜未甞休	伎 兒 聞 是 歡 喜 一 心 作 樂 三 日 三 夜 未 甞 休 
T04n0207_001:0523b04	懈。長者厭聽已，即勅子弟牽牛與之。此喻	懈 長 者 厭 聽 已 即 勅 子 弟 牽 牛 與 之 此 喻 
T04n0207_001:0523b05	行道作福者，不以劫數為遠，精勤彌篤報至	行 道 作 福 者 不 以 劫 數 為 遠 精 勤 彌 篤 報 至 
T04n0207_001:0523b06	彌疾，不必皆經爾數劫也。	彌 疾 不 必 皆 經 爾 數 劫 也 
T04n0207_001:0523b07	（五）昔有一比丘被擯，懊惱悲歎涕哭而行，	 五 昔 有 一 比 丘 被 擯 懊 惱 悲 歎 涕 哭 而 行 
T04n0207_001:0523b08	道逢一鬼，此鬼犯法亦為毘沙門天王所擯。	道 逢 一 鬼 此 鬼 犯 法 亦 為 毘 沙 門 天 王 所 擯 
T04n0207_001:0523b09	時鬼問比丘言：「汝有何事涕哭而行？」比丘答	時 鬼 問 比 丘 言 汝 有 何 事 涕 哭 而 行 比 丘 答 
T04n0207_001:0523b10	曰：「我犯僧事，眾僧所擯，一切檀越供養盡失，	曰 我 犯 僧 事 眾 僧 所 擯 一 切 檀 越 供 養 盡 失 
T04n0207_001:0523b11	又惡名聲流布遠近，是故愁歎涕泣耳。」鬼語	又 惡 名 聲 流 布 遠 近 是 故 愁 歎 涕 泣 耳 鬼 語 
T04n0207_001:0523b12	比丘言：「我能令汝滅惡名聲大得供養。汝可	比 丘 言 我 能 令 汝 滅 惡 名 聲 大 得 供 養 汝 可 
T04n0207_001:0523b13	便立我左肩上，我當擔汝虛空中行，人但見	便 立 我 左 肩 上 我 當 擔 汝 虛 空 中 行 人 但 見 
T04n0207_001:0523b14	汝而不見我身。汝若大得供養，當先與我。」彼	汝 而 不 見 我 身 汝 若 大 得 供 養 當 先 與 我 彼 
T04n0207_001:0523b15	鬼即時擔此比丘，於先被擯聚落上虛空中	鬼 即 時 擔 此 比 丘 於 先 被 擯 聚 落 上 虛 空 中 
T04n0207_001:0523b16	行。時聚落人見皆驚怪，謂其得道，轉相謂言：	行 時 聚 落 人 見 皆 驚 怪 謂 其 得 道 轉 相 謂 言 
T04n0207_001:0523b17	「眾僧無狀抂擯得道之人。」時聚落人皆詣此	 眾 僧 無 狀 抂 擯 得 道 之 人 時 聚 落 人 皆 詣 此 
T04n0207_001:0523b18	寺呵責眾僧，即迎此比丘住於寺內，遂大得	寺 呵 責 眾 僧 即 迎 此 比 丘 住 於 寺 內 遂 大 得 
T04n0207_001:0523b19	供養。此比丘隨所得衣食諸物，輒先與鬼不	供 養 此 比 丘 隨 所 得 衣 食 諸 物 輒 先 與 鬼 不 
T04n0207_001:0523b20	違本要，此鬼異日復擔此比丘遊行空中。正	違 本 要 此 鬼 異 日 復 擔 此 比 丘 遊 行 空 中 正 
T04n0207_001:0523b21	值毘沙門天王官屬，鬼見司官甚大驚怖，捐	值 毘 沙 門 天 王 官 屬 鬼 見 司 官 甚 大 驚 怖 捐 
T04n0207_001:0523b22	棄比丘絕力而走，此比丘遂墮地而死，身首	棄 比 丘 絕 力 而 走 此 比 丘 遂 墮 地 而 死 身 首 
T04n0207_001:0523b23	碎爛。此喻行者宜應自修所向，不應恃託豪	碎 爛 此 喻 行 者 宜 應 自 修 所 向 不 應 恃 託 豪 
T04n0207_001:0523b24	勢，一旦傾覆，與彼無異也。	勢 一 旦 傾 覆 與 彼 無 異 也 
T04n0207_001:0523b25	（六）昔目連與諸弟子俱，從耆闍崛山下到王	 六 昔 目 連 與 諸 弟 子 俱 從 耆 闍 崛 山 下 到 王 
T04n0207_001:0523b26	舍城乞食。目連於道中仰視虛空囅然而笑。	舍 城 乞 食 目 連 於 道 中 仰 視 虛 空 囅 然 而 笑 
T04n0207_001:0523b27	其弟子問：「何因緣笑？」目連答曰：「卿欲知者，須	其 弟 子 問 何 因 緣 笑 目 連 答 曰 卿 欲 知 者 須 
T04n0207_001:0523b28	還到佛所，可更問也。」於是乞食訖還到佛所，	還 到 佛 所 可 更 問 也 於 是 乞 食 訖 還 到 佛 所 
T04n0207_001:0523b29	其弟子更問目連向所笑意，目連答曰：「我見	其 弟 子 更 問 目 連 向 所 笑 意 目 連 答 曰 我 見 
T04n0207_001:0523c01	上虛空中有一餓鬼，身極長大其狀醜惡，有	上 虛 空 中 有 一 餓 鬼 身 極 長 大 其 狀 醜 惡 有 
T04n0207_001:0523c02	七枚熱鐵丸，從口中入直下過去，既下過已	七 枚 熱 鐵 丸 從 口 中 入 直 下 過 去 既 下 過 已 
T04n0207_001:0523c03	還從口入，舉體火然苦痛婉轉，絕倒復起起	還 從 口 入 舉 體 火 然 苦 痛 婉 轉 絕 倒 復 起 起 
T04n0207_001:0523c04	復還倒，是故笑耳。非我獨見，佛亦見也。」弟子	復 還 倒 是 故 笑 耳 非 我 獨 見 佛 亦 見 也 弟 子 
T04n0207_001:0523c05	問言：「以何因緣受苦如是？」目連答曰：「汝自以	問 言 以何因緣 受 苦 如 是 目 連 答 曰 汝 自 以 
T04n0207_001:0523c06	是問佛世尊。」其弟子即時白佛問其因緣。時	是 問 佛 世 尊 其 弟 子 即 時 白 佛 問 其 因 緣 時 
T04n0207_001:0523c07	佛答言：「此餓鬼者前世曾為沙彌，時世極儉，	佛 答 言 此 餓 鬼 者 前 世 曾 為 沙 彌 時 世 極 儉 
T04n0207_001:0523c08	以豆為食，沙彌者為眾僧行食，至其師前偏	以 豆 為 食 沙 彌 者 為 眾 僧 行 食 至 其 師 前 偏 
T04n0207_001:0523c09	多七枚豆，以是罪故，受餓鬼身苦毒如是。」佛	多 七 枚 豆 以 是 罪 故 受 餓 鬼 身 苦 毒 如 是 佛 
T04n0207_001:0523c10	言：「我亦常見，所以不說，恐人不信得極大罪	言 我 亦 常 見 所 以 不 說 恐 人 不 信 得 極 大 罪 
T04n0207_001:0523c11	也。」此喻佛說般若，不信誹謗，其罪重於五逆，	也 此 喻 佛 說 般 若 不 信 誹 謗 其 罪 重 於 五 逆 
T04n0207_001:0523c12	受地獄極苦也。	受 地 獄 極 苦 也 
T04n0207_001:0523c13	（七）在昔過世無量塵數之劫，時有菩薩名曰	 七 在 昔 過 世 無 量 塵 數 之 劫 時 有 菩 薩 名 曰 
T04n0207_001:0523c14	喜根，於大眾中講摩訶衍。文殊師利時為凡	喜 根 於 大 眾 中 講 摩 訶 衍 文 殊 師 利 時 為 凡 
T04n0207_001:0523c15	人，出家修道專精苦行，行十二頭陀福度一	人 出 家 修 道 專 精 苦 行 行 十 二 頭 陀 福 度 一 
T04n0207_001:0523c16	切，遇值講法，因而過聽喜根菩薩說實相法，	切 遇 值 講 法 因 而 過 聽 喜 根 菩 薩 說 實 相 法 
T04n0207_001:0523c17	言婬怒癡與道不異，亦即是道亦是涅槃。文	言 婬 怒 癡 與 道 不 異 亦 即 是 道 亦 是 涅 槃 文 
T04n0207_001:0523c18	殊爾時聞而不信即便捨去。到喜根弟子家，	殊 爾 時 聞 而 不 信 即 便 捨 去 到 喜 根 弟 子 家 
T04n0207_001:0523c19	為說惡露不淨之法，喜根弟子即時難曰：「無	為 說 惡 露 不 淨 之 法 喜 根 弟 子 即 時 難 曰 無 
T04n0207_001:0523c20	所有者法之真也，諸法皆空，云何當有淨與	所 有 者 法 之 真 也 諸法皆空 云 何 當 有 淨 與 
T04n0207_001:0523c21	不淨？」頭陀比丘默然無對，含瞋心內，遂成憤	不 淨 頭 陀 比 丘 默 然 無 對 含 瞋 心 內 遂 成 憤 
T04n0207_001:0523c22	結。時喜根弟子說七十偈讚實相法，頭陀比	結 時 喜 根 弟 子 說 七 十 偈 讚 實 相 法 頭 陀 比 
T04n0207_001:0523c23	丘聞一偈，瞋恚生一增，竟七十偈，瞋恚七十	丘 聞 一 偈 瞋 恚 生 一 增 竟 七 十 偈 瞋 恚 七 十 
T04n0207_001:0523c24	增。說偈適竟，地即劈裂，無擇泥梨於是悉現，	增 說 偈 適 竟 地 即 劈 裂 無 擇 泥 梨 於 是 悉 現 
T04n0207_001:0523c25	頭陀比丘即墮其中，過無量劫罪畢乃出，然	頭 陀 比 丘 即 墮 其 中 過 無 量 劫 罪 畢 乃 出 然 
T04n0207_001:0523c26	後乃知不信妙法其罪重也。後為比丘，專精	後 乃 知 不 信 妙 法 其 罪 重 也 後 為 比 丘 專 精 
T04n0207_001:0523c27	學問，得大智慧解空第一。此喻明佛說般若，	學 問 得 大 智 慧 解 空 第 一 此 喻 明 佛 說 般 若 
T04n0207_001:0523c28	不信誹謗，今雖有損，後大益也。	不 信 誹 謗 今 雖 有 損 後 大 益 也 
T04n0207_001:0523c29	（八）昔北天竺有一木師大巧，作一木女端正	 八 昔 北 天 竺 有 一 木 師 大 巧 作 一 木 女 端 正 
T04n0207_001:0524a01	無雙，衣帶嚴飾與世女無異，亦來亦去亦能	無 雙 衣 帶 嚴 飾 與 世 女 無 異 亦 來 亦 去 亦 能 
T04n0207_001:0524a02	行酒看客，唯不能語耳。時南天竺有一畫師，	行 酒 看 客 唯 不 能 語 耳 時 南 天 竺 有 一 畫 師 
T04n0207_001:0524a03	亦善能畫，木師聞之，作好飲食即請畫師。畫	亦 善 能 畫 木 師 聞 之 作 好 飲 食 即 請 畫 師 畫 
T04n0207_001:0524a04	師既至，便使木女行酒擎食從旦至夜，畫師	師 既 至 便 使 木 女 行 酒 擎 食 從 旦 至 夜 畫 師 
T04n0207_001:0524a05	不知謂是真女，欲心極盛念之不忘。時日以	不 知 謂 是 真 女 欲 心 極 盛 念 之 不 忘 時 日 以 
T04n0207_001:0524a06	暮木師入宿，亦留畫師令住止，以此木女立	暮 木 師 入 宿 亦 留 畫 師 令 住 止 以 此 木 女 立 
T04n0207_001:0524a07	侍其側，便語客言：「故留此女可共宿也。」主	侍 其 側 便 語 客 言 故 留 此 女 可 共 宿 也 主 
T04n0207_001:0524a08	人已入，木女立在燈邊，客即呼之而女不來，	人 已 入 木 女 立 在 燈 邊 客 即 呼 之 而 女 不 來 
T04n0207_001:0524a09	客謂此女羞故不來，便前以手牽之，乃知是	客 謂 此 女 羞 故 不 來 便 前 以 手 牽 之 乃 知 是 
T04n0207_001:0524a10	木，便自慚愧，心念口言：「主人誑我，我當報之。」	木 便 自 慚 愧 心 念 口 言 主 人 誑 我 我 當 報 之 
T04n0207_001:0524a11	於是畫師復作方便，即於壁上畫作己像，所	於 是 畫 師 復 作 方 便 即 於 壁 上 畫 作 己 像 所 
T04n0207_001:0524a12	著被服與身不異，以繩繫頸狀似絞死，畫作	著 被 服 與 身 不 異 以 繩 繫 頸 狀 似 絞 死 畫 作 
T04n0207_001:0524a13	蠅鳥著其口啄，作已閉戶自入床下。天明主	蠅 鳥 著 其 口 啄 作 已 閉 戶 自 入 床 下 天 明 主 
T04n0207_001:0524a14	人出，見戶未開，即向中觀，唯見壁上絞死客	人 出 見 戶 未 開 即 向 中 觀 唯 見 壁 上 絞 死 客 
T04n0207_001:0524a15	像，主人大怖便謂實死，即破戶入以刀斷繩。	像 主 人 大 怖 便 謂 實 死 即 破 戶 入 以 刀 斷 繩 
T04n0207_001:0524a16	於是畫師從床下出，木師大羞。畫師即言：「汝	於 是 畫 師 從 床 下 出 木 師 大 羞 畫 師 即 言 汝 
T04n0207_001:0524a17	能誑我，我能誑汝，客主情畢，不相負也。」二人	能 誑 我 我 能 誑 汝 客 主 情 畢 不 相 負 也 二 人 
T04n0207_001:0524a18	相謂：「世人相誑惑，孰異於此？」時彼二人信知	相 謂 世 人 相 誑 惑 孰 異 於 此 時 彼 二 人 信 知 
T04n0207_001:0524a19	誑惑，各捨所親愛出家修道。	誑 惑 各 捨 所 親 愛 出 家 修 道 
T04n0207_001:0524a20	迦葉本生因緣事	迦 葉 本 生 因 緣 事 
T04n0207_001:0524a21	（九）迦葉父者名曰尼俱律陀，摩竭國人也，出	 九 迦 葉 父 者 名 曰 尼 俱 律 陀 摩 竭 國 人 也 出 
T04n0207_001:0524a22	自婆羅門種，宿命福德生世大富，其珍奇寶	自 婆 羅 門 種 宿 命 福 德 生 世 大 富 其 珍 奇 寶 
T04n0207_001:0524a23	物於彼國第一，比國王財富千分少一耳。夫	物 於 彼 國 第 一 比 國 王 財 富 千 分 少 一 耳 夫 
T04n0207_001:0524a24	婦孤獨乏無兒息，近在舍側有大樹神，時彼	婦 孤 獨 乏 無 兒 息 近 在 舍 側 有 大 樹 神 時 彼 
T04n0207_001:0524a25	夫婦為欲有兒故求彼樹神，三生祭祠歲歲	夫 婦 為 欲 有 兒 故 求 彼 樹 神 三 生 祭 祠 歲 歲 
T04n0207_001:0524a26	不絕，故其所求，永無本末，其人遂忿便急	不 絕 故 其 所 求 永 無 本 末 其 人 遂 忿 便 急 
T04n0207_001:0524a27	與之，期告樹神曰：「我更盡心七日相事，若	與 之 期 告 樹 神 曰 我 更 盡 心 七 日 相 事 若 
T04n0207_001:0524a28	復無驗當揃伐汝，棄都道頭以火燒之。」樹神	復 無 驗 當 揃 伐 汝 棄 都 道 頭 以 火 燒 之 樹 神 
T04n0207_001:0524a29	聞其言甚大驚怖，不知何方令得子息，即便	聞 其 言 甚 大 驚 怖 不 知 何 方 令 得 子 息 即 便 
T04n0207_001:0524b01	上告息意天王，具以事情向天王說。息意天	上 告 息 意 天 王 具 以 事 情 向 天 王 說 息 意 天 
T04n0207_001:0524b02	王即將樹神詣天帝釋，以其所告白天帝釋。	王 即 將 樹 神 詣 天 帝 釋 以 其 所 告 白 天 帝 釋 
T04n0207_001:0524b03	釋即以天眼觀欲界中，未有堪任為彼子者，	釋 即 以 天 眼 觀 欲 界 中 未 有 堪 任 為 彼 子 者 
T04n0207_001:0524b04	帝釋便告梵天王，具以事情向梵王說。梵王	帝 釋 便 告 梵 天 王 具 以 事 情 向 梵 王 說 梵 王 
T04n0207_001:0524b05	即以天眼觀視其界，見一梵天臨當壽終，便	即 以 天 眼 觀 視 其 界 見 一 梵 天 臨 當 壽 終 便 
T04n0207_001:0524b06	告之曰：「汝可下生閻浮提，為摩竭國尼俱律	告 之 曰 汝 可 下 生 閻 浮 提 為 摩 竭 國 尼 俱 律 
T04n0207_001:0524b07	陀婆羅門作子。」梵天對曰：「婆羅門者多諸邪	陀 婆 羅 門 作 子 梵 天 對 曰 婆 羅 門 者 多 諸 邪 
T04n0207_001:0524b08	見，我若下生，不能為其作子。」梵王答曰：「婆	見 我 若 下 生 不 能 為 其 作 子 梵 王 答 曰 婆 
T04n0207_001:0524b09	羅門宿時大德，欲界眾生無有堪任為作子	羅 門 宿 時 大 德 欲 界 眾 生 無 有 堪 任 為 作 子 
T04n0207_001:0524b10	者，汝若往生，吾當勅天帝釋，令擁護汝，不使	者 汝 若 往 生 吾 當 勅 天 帝 釋 令 擁 護 汝 不 使 
T04n0207_001:0524b11	中道墮邪見也。」梵天曰：「諾，不違聖教。」時天	中 道 墮 邪 見 也 梵 天 曰 諾 不 違 聖 教 時 天 
T04n0207_001:0524b12	帝釋即還欲界，具以此意告勅樹神，樹神歡	帝 釋 即 還 欲 界 具 以 此 意 告 勅 樹 神 樹 神 歡 
T04n0207_001:0524b13	喜還告長者：「勿憂勿懼勿見瞋恨！却後七日	喜 還 告 長 者 勿 憂 勿 懼 勿 見 瞋 恨 却 後 七 日 
T04n0207_001:0524b14	必令有子。」如其所言七日已滿，其婦人便覺	必 令 有 子 如 其 所 言 七 日 已 滿 其 婦 人 便 覺 
T04n0207_001:0524b15	有娠，滿十月已其子乃生，軀身金色而有光	有 娠 滿 十 月 已 其 子 乃 生 軀 身 金 色 而 有 光 
T04n0207_001:0524b16	明。相師占曰：「此兒宿福有大威德，志力清	明 相 師 占 曰 此 兒 宿 福 有 大 威 德 志 力 清 
T04n0207_001:0524b17	遠不貪世務，若後出家必登聖道。」父母聞之	遠 不 貪 世 務 若 後 出 家 必 登 聖 道 父 母 聞 之 
T04n0207_001:0524b18	復大愁憂，恐兒長大棄吾出家，以何方便當	復 大 愁 憂 恐 兒 長 大 棄 吾 出 家 以 何 方 便 當 
T04n0207_001:0524b19	制止之？復自思惟：「欲界所重遂在美色，當為	制 止 之 復 自 思 惟 欲 界 所 重 遂 在 美 色 當 為 
T04n0207_001:0524b20	擇取端正好女以繫之耳。」至年十五欲為娶	擇 取 端 正 好 女 以 繫 之 耳 至 年 十 五 欲 為 娶 
T04n0207_001:0524b21	婦，迦葉聞之甚大愁憂，語父母言：「我志樂清	婦 迦 葉 聞 之 甚 大 愁 憂 語 父 母 言 我 志 樂 清 
