X58n1018_001:0580c07	評金錍	評 金 錍 
X58n1018_001:0582a05	即正因也華嚴云了知一切法自性無所有於此	即 正 因 也 華 嚴 云 了 知一切法 自 性 無 所 有 於 此 
X58n1018_001:0582a06	了知即是了因明知一切眾生雖有第一義空智	了 知 即 是 了 因 明 知 一 切 眾 生 雖 有 第一義空 智 
X58n1018_001:0582a07	慧之性若無般若為了因者終不成佛涅槃二十	慧 之 性 若 無 般 若 為 了 因 者 終 不 成 佛 涅 槃 二 十 
X58n1018_001:0582a08	八又云善男子因有二種一者生因二者了因能	八 又 云 善 男 子 因 有 二 種 一 者 生 因 二 者 了 因 能 
X58n1018_001:0582a09	生法者是名生因燈能照物名為了因煩惱諸結	生 法 者 是 名 生 因 燈 能 照 物 名 為 了 因 煩 惱 諸 結 
X58n1018_001:0582a10	是名生因眾生父母名為了因糓子名生水土名	是 名 生 因 眾 生 父 母 名 為 了 因 糓 子 名 生 水 土 名 
X58n1018_001:0582a11	了六度名生佛性名了六度能生菩提故為菩提	了 六 度 名 生 佛 性 名 了 六 度 能 生 菩 提 故 為 菩 提 
X58n1018_001:0582a12	生因佛性能了菩提故為菩提了因又云善男子	生 因 佛 性 能 了 菩 提 故 為 菩 提 了 因 又 云 善 男 子 
X58n1018_001:0582a13	因有二種一者正因二者緣因正因者如乳生酪	因 有 二 種 一 者 正 因 二 者 緣 因 正 因 者 如 乳 生 酪 
X58n1018_001:0582a14	緣因者如酵暖等顯無緣了不見正因虗空無性	緣 因 者 如 酵 暖 等 顯 無 緣 了 不 見 正 因 虗 空 無 性 
X58n1018_001:0582a15	故無緣因佛言善男子若使乳中定有性者何須	故 無 緣 因 佛 言 善 男 子 若 使 乳 中 定 有 性 者 何 須 
X58n1018_001:0582a16	緣因師子吼菩薩言世尊有性故故須緣因何以	緣 因 師 子 吼 菩 薩 言 世 尊 有 性 故 故 須 緣 因 何 以 
X58n1018_001:0582a17	故欲明見故緣因者即是了因世尊譬如暗中先	故 欲 明 見 故 緣 因 者 即 是 了 因 世 尊 譬 如 暗 中 先 
X58n1018_001:0582a18	有諸物為欲見故以燈照了若本無者燈何所照	有 諸 物 為 欲 見 故 以 燈 照 了 若 本 無 者 燈 何 所 照 
X58n1018_001:0582a19	如土有瓶故須人工水輪繩杖等而為了因是故	如 土 有 瓶 故 須 人 工 水 輪 繩 杖 等 而 為 了 因 是 故 
X58n1018_001:0582a20	雖先有性要假了因然後得見以是義故定知乳	雖 先 有 性 要 假 了 因 然 後 得 見 以是義故 定 知 乳 
X58n1018_001:0582a21	中先有酪性性體雖有須籍了因修之令現眾生	中 先 有 酪 性 性 體 雖 有 須 籍 了 因 修 之 令 現 眾 生 
X58n1018_001:0582a22	佛性不得言定有定無涅槃三十五云說如是言	佛 性 不 得 言 定 有 定 無 涅 槃 三 十 五 云 說 如 是 言 
X58n1018_001:0582a23	一切眾生定有佛性是名執著若無佛性是名虗	一 切 眾 生 定 有 佛 性 是 名 執 著 若 無 佛 性 是 名 虗 
X58n1018_001:0582a24	妄智者應說眾生佛性亦有亦無然佛性有四門	妄 智 者 應 說 眾 生 佛 性 亦 有 亦 無 然 佛 性 有 四 門 
X58n1018_001:0582b01	涅槃經云一切眾生皆有佛性如乳有酪性等斯	涅 槃 經 云 一 切 眾 生 皆 有 佛 性 如 乳 有 酪 性 等 斯 
X58n1018_001:0582b02	即有門也又云石無金性乳無酪性眾生佛性猶	即 有 門 也 又 云 石 無 金 性 乳 無 酪 性 眾 生 佛 性 猶 
X58n1018_001:0582b03	如虗空迦毗羅城空大涅槃空即空門也又云眾	如 虗 空 迦 毗 羅 城 空 大 涅 槃 空 即 空 門 也 又 云 眾 
X58n1018_001:0582b04	生佛性亦有亦無何以為有一切眾生悉同有故	生 佛 性 亦 有 亦 無 何 以 為 有 一 切 眾 生 悉 同 有 故 
X58n1018_001:0582b05	何以為無謂從善方便而得見故即亦有亦無門	何 以 為 無 謂 從 善 方 便 而 得 見 故 即 亦 有 亦 無 門 
X58n1018_001:0582b06	也又云眾生佛性即是中道非有如虗空非無如	也 又 云 眾 生 佛 性 即 是 中 道 非 有 如 虗 空 非 無 如 
X58n1018_001:0582b07	兔角百非斯遣此即非有非無門也若取經論唯	兔 角 百 非 斯 遣 此 即 非有非無 門 也 若 取 經 論 唯 
X58n1018_001:0582b08	識多明有門掌珍多辨空門中邊論多辨亦有亦	識 多 明 有 門 掌 珍 多 辨 空 門 中 邊 論 多 辨 亦 有 亦 
X58n1018_001:0582b09	無門中百論多辨非有非空門涅槃三十六又云	無 門 中 百 論 多 辨 非 有 非 空 門 涅 槃 三 十 六 又 云 
X58n1018_001:0582b10	善男子若有人言一切眾生定有佛性當知是人	善 男 子 若 有 人 言 一 切 眾 生 定 有 佛 性 當 知 是 人 
X58n1018_001:0582b11	謗佛法僧若有人言一切眾生定無佛性當知是	謗 佛 法 僧 若 有 人 言 一 切 眾 生 定 無 佛 性 當 知 是 
X58n1018_001:0582b12	人謗佛法僧乃是涅槃具談正緣二因如何將緣	人 謗 佛 法 僧 乃 是 涅 槃 具 談 正 緣 二 因 如 何 將 緣 
X58n1018_001:0582b13	因判為權門涅槃大旨有所未盡燈物之喻其理	因 判 為 權 門 涅 槃 大 旨 有 所 未 盡 燈 物 之 喻 其 理 
X58n1018_001:0582b14	甚明儻有公論其諍自息也。	甚 明 儻 有 公 論 其 諍 自 息 也 
X58n1018_001:0582b15	金錍云不覺無覺法性不成覺無不覺佛性寧立是	金 錍 云 不 覺 無 覺 法 性 不 成 覺 無 不 覺 佛 性 寧 立 是 
X58n1018_001:0582b16	則佛性之法性容在小宗即法性之佛性方曰大教	則 佛 性 之 法 性 容 在 小 宗 即 法 性 之 佛 性 方 曰 大 教 
X58n1018_001:0582b17	故今問子諸經論中法界實際相真性等為同法性	故 今 問 子 諸 經 論 中 法 界 實 際 相 真 性 等 為 同 法 性 
X58n1018_001:0582b18	在無情中為同真如分為兩派若同真如諸經不見	在 無 情 中 為 同 真 如 分 為 兩 派 若 同 真 如 諸 經 不 見 
X58n1018_001:0582b19	無情法界及實際等若在無情但名法性非佛性者	無 情 法 界 及 實 際 等 若 在 無 情 但 名 法 性 非 佛 性 者 
X58n1018_001:0582b20	何故華嚴須彌山頂偈讚品云了知一切法自性無	何 故 華 嚴 須彌山頂 偈 讚 品 云 了 知一切法 自 性 無 
X58n1018_001:0582b21	所有若能如是解則見盧舍那豈非諸法本有舍那	所 有 若 能 如 是 解 則 見 盧 舍 那 豈 非 諸 法 本 有 舍 那 
X58n1018_001:0582b22	之性耶。	之 性 耶 
X58n1018_001:0582b23	評曰彼云不覺無覺法性不成覺無不覺佛性寧	評 曰 彼 云 不 覺 無 覺 法 性 不 成 覺 無 不 覺 佛 性 寧 
X58n1018_001:0582b24	立者法性乃目諸法差別自性就無情說覺與不	立 者 法 性 乃 目 諸 法 差 別 自 性 就 無 情 說 覺 與 不 
X58n1018_001:0582c01	覺乃就有情說故起信論云凡夫謂之不覺菩薩	覺 乃 就 有 情 說 故 起 信 論 云 凡 夫 謂 之 不 覺 菩 薩 
X58n1018_001:0582c02	謂之分覺如來名究竟覺如何謂法性不成佛性	謂 之 分 覺 如 來 名 究 竟 覺 如 何 謂 法 性 不 成 佛 性 
X58n1018_001:0582c03	寧立耶又云法界實際實相真性等為同法性在	寧 立 耶 又 云 法 界 實 際 實 相 真 性 等 為 同 法 性 在 
X58n1018_001:0582c04	無情中為同真如分為兩派者肇公云本無實相	無 情 中 為 同 真 如 分 為 兩 派 者 肇 公 云 本 無 實 相 
X58n1018_001:0582c05	法性性空緣會一義耳如何將實相同法性作難	法 性 性 空 緣 會 一 義 耳 如 何 將 實 相 同 法 性 作 難 
X58n1018_001:0582c06	問也又云為同真如分為兩派起信論云真如者	問 也 又 云 為 同 真 如 分 為 兩 派 起 信 論 云 真 如 者 
X58n1018_001:0582c07	即是一法界大總相法門體真如法界如理虗融	即 是 一 法 界 大 總 相 法 門 體 真 如 法 界 如 理 虗 融 
X58n1018_001:0582c08	平等無二如何却云分成兩派又引華嚴證法性	平 等 無 二 如 何 却 云 分 成 兩 派 又 引 華 嚴 證 法 性 
X58n1018_001:0582c09	佛性為一故云豈非諸法本有舍那之性者華嚴	佛 性 為 一 故 云 豈 非 諸 法 本 有 舍 那 之 性 者 華 嚴 
X58n1018_001:0582c10	往往非所宗經論故至率略也清涼曰情破理現	往 往 非 所 宗 經 論 故 至 率 略 也 清 涼 曰 情 破 理 現 
X58n1018_001:0582c11	則見舍那以性融相故無內外也如何却云諸法	則 見 舍 那 以 性 融 相 故 無 內 外 也 如 何 却 云 諸 法 
X58n1018_001:0582c12	本有舍那之性孔目云佛性者據覺語時佛者覺	本 有 舍 那 之 性 孔 目 云 佛 性 者 據 覺 語 時 佛 者 覺 
X58n1018_001:0582c13	也口稱無情復言有覺若如所謂則情變無情無	也 口 稱 無 情 復 言 有 覺 若 如 所 謂 則 情 變 無 情 無 
X58n1018_001:0582c14	情變情大同邪見。	情 變 情 大 同 邪 見 
X58n1018_001:0582c15	金錍云余欲開導子之情懷更以四十六問而問於	金 錍 云 余 欲 開 導 子 之 情 懷 更 以 四 十 六 問 而 問 於 
X58n1018_001:0582c16	子子若能曉余之一問則眾滯自消法界融通釋然	子 子 若 能 曉 余 之 一 問 則 眾 滯 自 消 法 界 融 通 釋 然 
X58n1018_001:0582c17	大觀洞見法界生佛依正一念具足一塵不虧者。	大 觀 洞 見 法 界 生 佛 依 正 一 念 具 足 一 塵 不 虧 者 
X58n1018_001:0582c18	評曰然佛性要義不可不知今此涅槃宗於法性	評 曰 然 佛 性 要 義 不 可 不 知 今 此 涅 槃 宗 於 法 性 
X58n1018_001:0582c19	故以法性而為佛性則非內非外隨物迷悟強說	故 以 法 性 而 為 佛 性 則 非 內 非 外 隨 物 迷 悟 強 說 
X58n1018_001:0582c20	昇沉宗法性者以無障礙法界為宗則法性即佛	昇 沉 宗 法 性 者 以 無 障 礙 法 界 為 宗 則 法 性 即 佛 
X58n1018_001:0582c21	性知一切法即心自性若以心性無佛性者無法	性 知一切法 即 心 自 性 若 以 心 性 無 佛 性 者 無 法 
X58n1018_001:0582c22	非心性則不隔內外而體非內外內外屬相性不	非 心 性 則 不 隔 內 外 而 體 非 內 外 內 外 屬 相 性 不 
X58n1018_001:0582c23	同相何有內外然迷一性而變成外外既唯心何	同 相 何 有 內 外 然 迷 一 性 而 變 成 外 外 既 唯 心 何 
X58n1018_001:0582c24	有非佛所變無實故說墻壁言無佛性以性該相	有 非 佛 所 變 無 實 故 說 墻 壁 言 無 佛 性 以 性 該 相 
X58n1018_001:0583a01	無非性矣如煙因火煙即是火如水成波波即是	無 非 性 矣 如 煙 因 火 煙 即 是 火 如 水 成 波 波 即 是 
X58n1018_001:0583a02	水境因心變境不異心心若有性境寧非有況心	水 境 因 心 變 境 不 異 心 心 若 有 性 境 寧 非 有 況 心 
X58n1018_001:0583a03	與境皆即真性真性不二心境豈乖若以性從相	與 境 皆 即 真 性 真 性 不 二 心 境 豈 乖 若 以 性 從 相 
X58n1018_001:0583a04	不妨內外若以外境而例於心令有覺知修行作	不 妨 內 外 若 以 外 境 而 例 於 心 令 有 覺 知 修 行 作 
X58n1018_001:0583a05	佛即是邪見外道之法故須常照不即不離不一	佛 即 是 邪 見 外 道 之 法 故 須 常 照 不 即 不 離 不 一 
X58n1018_001:0583a06	不異無所惑矣。	不 異 無 所 惑 矣 
X58n1018_001:0583a07	金錍云最初一問問佛性之名從因從果從因非佛	金 錍 云 最 初 一 問 問 佛 性 之 名 從 因 從 果 從 因 非 佛 
X58n1018_001:0583a08	果不名性。	果 不 名 性 
X58n1018_001:0583a09	評曰涅槃經云佛性有因有因因有果有果果因	評 曰 涅 槃 經 云 佛 性 有 因 有 因 因 有 果 有 果 果 因 
X58n1018_001:0583a10	者即十二因緣因因者即是智慧果者謂大菩提	者 即 十二因緣 因 因 者 即 是 智 慧 果 者 謂 大 菩 提 
X58n1018_001:0583a11	果果者謂大涅槃既有四種皆名佛性前二本有	果 果 者 謂 大 涅 槃 既 有 四 種 皆 名 佛 性 前 二 本 有 
X58n1018_001:0583a12	後二當有文理昭然如何難云從因非佛果不名	後 二 當 有 文 理 昭 然 如 何 難 云 從 因 非 佛 果 不 名 
X58n1018_001:0583a13	性此言悞矣。	性 此 言 悞 矣 
X58n1018_001:0583a14	金錍末後一問問行者觀心心佛眾生因果身土法	金 錍 末 後 一 問 問 行 者 觀 心 心 佛 眾 生 因 果 身 土 法 
X58n1018_001:0583a15	相融攝一切同耶。	相 融 攝 一 切 同 耶 
X58n1018_001:0583a16	評曰華嚴經云心佛與眾生是三無差別心是總	評 曰 華 嚴 經 云 心 佛 與 眾 生 是 三無差別 心 是 總 
X58n1018_001:0583a17	相悟之名佛成淨緣起迷作眾生成染緣起染淨	相 悟 之 名 佛 成 淨 緣 起 迷 作 眾 生 成 染 緣 起 染 淨 
X58n1018_001:0583a18	雖殊心體一耳此說心徧融攝一切何以用證身	雖 殊 心 體 一 耳 此 說 心 徧 融 攝 一 切 何 以 用 證 身 
X58n1018_001:0583a19	土法相一切同耶。	土 法 相 一 切 同 耶 
