T15n0625_001:0367b17	大樹緊那羅王所問經卷第一	大樹緊那羅王所問經 卷 第 一 
T15n0625_001:0367c02	不動如大山王，於諸眾生其心平等，如地、水、	不 動 如 大 山 王 於 諸 眾 生 其 心 平 等 如 地 水 
T15n0625_001:0367c03	火、風善離愛恚；常行慈心恒遣慈光；遍照眾	火 風 善 離 愛 恚 常 行 慈 心 恒 遣 慈 光 遍 照 眾 
T15n0625_001:0367c04	生安住大悲；常勤觀察一切眾生，住於大喜	生 安 住 大 悲 常 勤 觀 察 一 切 眾 生 住 於 大 喜 
T15n0625_001:0367c05	樂法具足；住於大捨得無二智；利衰、毀譽、稱	樂 法 具 足 住 於 大 捨 得 無 二 智 利 衰 毀 譽 稱 
T15n0625_001:0367c06	譏、苦樂，皆以超過如是世法；慧光善伏自	譏 苦 樂 皆 以 超 過 如 是 世 法 慧 光 善 伏 自 
T15n0625_001:0367c07	眾他眾，降伏眾魔；世所難遇如優曇華，為諸	眾 他 眾 降 伏 眾 魔 世 所 難 遇 如 優 曇 華 為 諸 
T15n0625_001:0367c08	眾生中大師子吼，究竟涅槃悕樂甚深四無	眾 生 中 大 師 子 吼 究竟涅槃 悕 樂 甚 深 四 無 
T15n0625_001:0367c09	所畏，為如來印之所印之；所記無錯如說而	所 畏 為 如 來 印 之 所 印 之 所 記 無 錯 如 說 而 
T15n0625_001:0367c10	行，於深法藏義味相應；蔽諸日月，名稱流	行 於 深 法 藏 義 味 相 應 蔽 諸 日 月 名 稱 流 
T15n0625_001:0367c11	聞遍十方界；若為諸佛之所護持，守護法藏	聞 遍 十 方 界 若 為 諸 佛 之 所 護 持 守 護 法 藏 
T15n0625_001:0367c12	常不斷絕三寶種性；善能遊過無邊佛剎；善	常 不 斷 絕 三 寶 種 性 善 能 遊 過 無 邊 佛 剎 善 
T15n0625_001:0367c13	解了知，隨宜給侍諸佛世尊、聽聞受法；常勤	解 了 知 隨 宜 給 侍 諸佛世尊 聽 聞 受 法 常 勤 
T15n0625_001:0367c14	精進教化眾生，得到方便智慧彼岸；善隨一	精 進 教 化 眾 生 得 到 方便智慧 彼 岸 善 隨 一 
T15n0625_001:0367c15	切諸眾生根如應說法；善知一切諸眾生等意	切 諸 眾 生 根 如 應 說 法 善 知 一 切 諸 眾 生 等 意 
T15n0625_001:0367c16	之行相；其心淨妙善巧言說，為大醫王善療	之 行 相 其 心 淨 妙 善 巧 言 說 為 大 醫 王 善 療 
T15n0625_001:0367c17	眾病；已於無量阿僧祇佛所種諸善根；善集	眾 病 已 於 無量阿僧祇 佛 所 種 諸 善 根 善 集 
T15n0625_001:0367c18	相好福德莊嚴；善能解了空、無相、願；善解諸	相 好 福德莊嚴 善 能 解 了 空 無 相 願 善 解 諸 
T15n0625_001:0367c19	法如幻如焰，如水中月如夢鏡像，解一切法如	法 如 幻 如 焰 如水中月 如 夢 鏡 像 解 一切法如 
T15n0625_001:0367c20	虛空相；善能解了一切眾生音聲言說；善分	虛 空 相 善 能 解 了 一 切 眾 生 音 聲 言 說 善 分 
T15n0625_001:0367c21	別法樂說無盡；善能觀察出世之慧，成就大	別 法 樂 說 無 盡 善 能 觀 察 出 世 之 慧 成 就 大 
T15n0625_001:0367c22	力近佛十力，得明肉眼、天眼、慧眼、法眼、佛眼；	力 近 佛 十 力 得 明 肉 眼 天 眼 慧 眼 法 眼 佛 眼 
T15n0625_001:0367c23	善度莊嚴助道法分；善解超度一切諸道，明	善 度 莊 嚴 助 道 法 分 善 解 超 度 一 切 諸 道 明 
T15n0625_001:0367c24	了菩薩法藏所攝；善能轉於不退法輪，得三	了 菩 薩 法 藏 所 攝 善 能 轉 於 不退法輪 得 三 
T15n0625_001:0367c25	昧印相；善能知到金剛場三昧，一切諸法自	昧 印 相 善 能 知 到 金 剛 場 三 昧 一切諸法 自 
T15n0625_001:0368a01	在三昧，常現在前，持大寶炬，其心謙下於諸	在 三 昧 常 現 在 前 持 大 寶 炬 其 心 謙 下 於 諸 
T15n0625_001:0368a02	眾生，常觀一切諸眾生心，亦常觀諸眾生智	眾 生 常 觀 一 切 諸 眾 生 心 亦 常 觀 諸 眾 生 智 
T15n0625_001:0368a03	慧，近佛智慧，令諸眾生施作佛事；所作事辦	慧 近 佛 智 慧 令 諸 眾 生 施 作 佛 事 所 作 事 辦 
T15n0625_001:0368a04	皆已聚集，一切功德盡未來劫，說其功德不	皆 已 聚 集 一切功德 盡 未 來 劫 說 其 功 德 不 
T15n0625_001:0368a05	可窮盡。其名曰：寶住菩薩、寶有菩薩、寶手菩	可 窮 盡 其 名 曰 寶 住 菩 薩 寶 有 菩 薩 寶 手 菩 
T15n0625_001:0368a06	薩、寶花菩薩、寶王菩薩、喜見菩薩、愛意菩	薩 寶 花 菩 薩 寶 王 菩 薩 喜 見 菩 薩 愛 意 菩 
T15n0625_001:0368a07	薩、愛眼見菩薩、持地菩薩、作喜菩薩、大勢	薩 愛 眼 見 菩 薩 持 地 菩 薩 作 喜 菩 薩 大 勢 
T15n0625_001:0368a08	菩薩、大德菩薩、降魔菩薩、摩鳩提菩薩、儒	菩 薩 大 德 菩 薩 降 魔 菩 薩 摩 鳩 提 菩 薩 儒 
T15n0625_001:0368a09	天菩薩、曼陀羅香菩薩、實菩薩、等觀菩薩、	天 菩 薩 曼 陀 羅 香 菩 薩 實 菩 薩 等 觀 菩 薩 
T15n0625_001:0368a10	無高下菩薩、善御菩薩、一切眾生不請友菩	無 高 下 菩 薩 善 御 菩 薩 一 切 眾 生 不 請 友 菩 
T15n0625_001:0368a11	薩、彌勒菩薩、雲音菩薩、持山嚴菩薩、山積	薩 彌 勒 菩 薩 雲 音 菩 薩 持 山 嚴 菩 薩 山 積 
T15n0625_001:0368a12	菩薩、上友菩薩、勇友菩薩、光明菩薩、光德	菩 薩 上 友 菩 薩 勇 友 菩 薩 光 明 菩 薩 光 德 
T15n0625_001:0368a13	菩薩、燈王菩薩、觀志菩薩、光莊嚴菩薩、雜綵	菩 薩 燈 王 菩 薩 觀 志 菩 薩 光 莊 嚴 菩 薩 雜 綵 
T15n0625_001:0368a14	冠菩薩、天冠菩薩、天王菩薩、天眼觀菩薩、	冠 菩 薩 天 冠 菩 薩 天 王 菩 薩 天 眼 觀 菩 薩 
T15n0625_001:0368a15	觀世音菩薩、善臂菩薩、思志等菩薩、善住	觀 世 音 菩 薩 善 臂 菩 薩 思 志 等 菩 薩 善 住 
T15n0625_001:0368a16	志菩薩、善住業菩薩、不動足集菩薩、金剛	志 菩 薩 善 住 業 菩 薩 不 動 足 集 菩 薩 金 剛 
T15n0625_001:0368a17	足進菩薩、越三界足菩薩、疾辯菩薩、速辯菩	足 進 菩 薩 越 三 界 足 菩 薩 疾 辯 菩 薩 速 辯 菩 
T15n0625_001:0368a18	薩、無斷辯菩薩、住辯菩薩、妙音菩薩、梵音	薩 無 斷 辯 菩 薩 住 辯 菩 薩 妙 音 菩 薩 梵 音 
T15n0625_001:0368a19	菩薩、喜一切眾生音菩薩、文殊師利法王子	菩 薩 喜 一 切 眾 生 音 菩 薩 文 殊 師 利 法 王 子 
T15n0625_001:0368a20	菩薩，如是等上首七萬二千人。於此三千大	菩 薩 如 是 等 上 首 七 萬 二 千 人 於 此 三 千 大 
T15n0625_001:0368a21	千世界，釋、梵、護世，并餘大威德諸天、龍、夜叉、	千 世 界 釋 梵 護 世 并 餘 大 威 德 諸 天 龍 夜 叉 
T15n0625_001:0368a22	乾闥婆、迦樓羅、緊那羅、摩睺羅伽、人與非人，	乾 闥 婆 迦 樓 羅 緊 那 羅 摩睺羅伽 人 與 非 人 
T15n0625_001:0368a23	比丘、比丘尼、優婆塞、優婆夷，皆來集會為	比 丘 比 丘 尼 優 婆 塞 優 婆 夷 皆 來 集 會 為 
T15n0625_001:0368a24	欲聽法。爾時世尊與無量百千大眾，恭敬圍	欲 聽 法 爾 時 世 尊 與 無 量 百 千 大 眾 恭 敬 圍 
T15n0625_001:0368a25	遶而演說法。爾時天冠菩薩即從座起正衣	遶 而 演 說 法 爾 時 天 冠 菩 薩 即 從 座 起 正 衣 
T15n0625_001:0368a26	服，偏袒右肩右膝著地，合掌向佛以偈讚曰：	服 偏袒右肩 右膝著地 合 掌 向 佛 以 偈 讚 曰 
T15n0625_001:0368a27	「超世為世作燈明，　　智慧利益於世間；	 超 世 為 世 作 燈 明 智 慧 利 益 於 世 間 
T15n0625_001:0368a28	　令結闇者得光明，　　我今稽首離世間。	 令 結 闇 者 得 光 明 我 今 稽 首 離 世 間 
T15n0625_001:0368a29	　十方行施最殊勝，　　善自調心到彼岸；	 十 方 行 施 最 殊 勝 善 自 調 心 到 彼 岸 
T15n0625_001:0368b01	　人天龍神所供養，　　稽首敬禮燒結仁。	 人 天 龍 神 所 供 養 稽 首 敬 禮 燒 結 仁 
T15n0625_001:0368b02	　勝相多利益世間，　　金色圓光普周遍；	 勝 相 多 利 益 世 間 金 色 圓 光 普 周 遍 
T15n0625_001:0368b03	　持淨妙戒大美音，　　稽首三界最無比。	 持 淨 妙 戒 大 美 音 稽 首 三 界 最 無 比 
T15n0625_001:0368b04	　度諸眾生到彼岸，　　調伏諸論無能動；	 度 諸 眾 生 到 彼 岸 調 伏 諸 論 無 能 動 
T15n0625_001:0368b05	　善了知諸眾生心，　　稽首敬禮勝大悲。	 善 了 知 諸 眾 生 心 稽 首 敬 禮 勝 大 悲 
T15n0625_001:0368b06	　斷諸結使不生著，　　以力降怨善住戒；	 斷 諸 結 使 不 生 著 以 力 降 怨 善 住 戒 
T15n0625_001:0368b07	　天中之天淨結垢，　　我稽首禮降諸怨。	 天 中 之 天 淨 結 垢 我 稽 首 禮 降 諸 怨 
T15n0625_001:0368b08	　眾寶中最無瑕穢，　　常樂智慧為先首；	 眾 寶 中 最 無 瑕 穢 常 樂 智 慧 為 先 首 
T15n0625_001:0368b09	　除斷貪瞋愚癡垢，　　稽首心等如虛空。	 除 斷 貪 瞋 愚 癡 垢 稽 首 心 等 如 虛 空 
T15n0625_001:0368b10	　演說四諦度四流，　　說甘露法施淨眼；	 演 說 四 諦 度 四 流 說 甘 露 法 施 淨 眼 
T15n0625_001:0368b11	　遊行三界為利眾，　　我稽首禮持輪相。	 遊 行 三 界 為 利 眾 我 稽 首 禮 持 輪 相 
T15n0625_001:0368b12	　常為人天所供養，　　常化眾生令度脫；	 常 為 人 天 所 供 養 常 化 眾 生 令 度 脫 
T15n0625_001:0368b13	　虛空人天所供養，　　我稽首禮人中勝。	 虛 空 人 天 所 供 養 我 稽 首 禮 人 中 勝 
T15n0625_001:0368b14	　常樂集於正善法，　　常以慈心等世間；	 常 樂 集 於 正 善 法 常 以 慈 心 等 世 間 
T15n0625_001:0368b15	　人尊調御住正道，　　稽首攝持一切德。	 人 尊 調 御 住 正 道 稽 首 攝 持 一 切 德 
T15n0625_001:0368b16	　淨音所說勝妙善，　　適意柔軟梵音聲；	 淨 音 所 說 勝 妙 善 適 意 柔 軟 梵 音 聲 
T15n0625_001:0368b17	　善解眾音到彼岸，　　稽首美妙如實說。	 善 解 眾 音 到 彼 岸 稽 首 美 妙 如 實 說 
T15n0625_001:0368b18	　趣空無相及無作，　　能最甚深難見法；	 趣 空 無 相 及 無 作 能 最 甚 深 難 見 法 
T15n0625_001:0368b19	　善能進趣入解脫，　　稽首善知解脫道。	 善 能 進 趣 入 解 脫 稽 首 善 知 解 脫 道 
T15n0625_001:0368b20	　世尊善解知因緣，　　常能斷離二邊見；	 世 尊 善 解 知 因 緣 常 能 斷 離 二 邊 見 
T15n0625_001:0368b21	　實說因緣業果報，　　我稽首禮見世間。	 實 說 因 緣 業 果 報 我 稽 首 禮 見 世 間 
T15n0625_001:0368b22	　無有來者亦去者，　　無慢善能觀諸法；	 無 有 來 者 亦 去 者 無 慢 善 能 觀 諸 法 
T15n0625_001:0368b23	　如幻如焰水中像，　　稽首敬禮善法眼。	 如 幻 如 焰 水 中 像 稽 首 敬 禮 善 法 眼 
T15n0625_001:0368b24	　生若無生都無生，　　若生及滅亦無滅；	 生 若 無 生 都 無 生 若 生 及 滅 亦 無 滅 
T15n0625_001:0368b25	　其所止處如法住，　　調御善住如是處。	 其 所 止 處 如 法 住 調 御 善 住 如 是 處 
T15n0625_001:0368b26	　所有言說便真實，　　善住如如叵傾動；	 所 有 言 說 便 真 實 善 住 如 如 叵 傾 動 
T15n0625_001:0368b27	　金剛山身無動搖，　　我稽首禮叵傾動。	 金 剛 山 身 無 動 搖 我 稽 首 禮 叵 傾 動 
T15n0625_001:0368b28	　其身口意等無異，　　名聞無量遍三界；	 其 身 口 意 等 無 異 名 聞 無 量 遍 三 界 
T15n0625_001:0368b29	　我今欲問勝丈夫，　　願尊勿慮為演說。」	 我 今 欲 問 勝 丈 夫 願 尊 勿 慮 為 演 說 
T15n0625_001:0368c01	爾時天冠菩薩偈讚佛已，白佛言：「世尊！我	爾 時 天 冠 菩 薩 偈 讚 佛 已 白 佛 言 世 尊 我 
T15n0625_001:0368c02	今欲於如來、應供、正遍覺勝妙法中少有所	今 欲 於 如 來 應 供 正 遍 覺 勝 妙 法 中 少 有 所 
T15n0625_001:0368c03	問，若佛聽許乃敢諮請。」爾時佛告天冠菩薩：	問 若 佛 聽 許 乃 敢 諮 請 爾 時 佛 告 天 冠 菩 薩 
T15n0625_001:0368c04	「善男子！恣汝所問，隨汝所疑，如來當說悅可	 善 男 子 恣 汝 所 問 隨 汝 所 疑 如 來 當 說 悅 可 
T15n0625_001:0368c05	汝心。」爾時天冠菩薩白佛言：「世尊！云何菩薩	汝 心 爾 時 天 冠 菩 薩 白 佛 言 世 尊 云 何 菩 薩 
T15n0625_001:0368c06	得成雜種莊嚴之辯？世尊！云何菩薩得增勝	得 成 雜 種 莊 嚴 之 辯 世 尊 云 何 菩 薩 得 增 勝 
T15n0625_001:0368c07	智，善知分別甚深之法？世尊！云何菩薩善知	智 善 知 分 別 甚 深 之 法 世 尊 云 何 菩 薩 善 知 
T15n0625_001:0368c08	諸根？世尊！云何菩薩善能解知如應說法？世	諸 根 世 尊 云 何 菩 薩 善 能 解 知 如 應 說 法 世 
T15n0625_001:0368c09	尊！云何菩薩善知一切眾生心行？世尊！云何	尊 云 何 菩 薩 善 知 一 切 眾 生 心 行 世 尊 云 何 
T15n0625_001:0368c10	菩薩知一切因行果報，亦知出過所行無失？世	菩 薩 知 一 切 因 行 果 報 亦 知 出 過 所 行 無 失 世 
T15n0625_001:0368c11	尊！云何菩薩莊嚴布施？世尊！云何菩薩莊嚴	尊 云 何 菩 薩 莊 嚴 布 施 世 尊 云 何 菩 薩 莊 嚴 
T15n0625_001:0368c12	戒、忍、精進、禪、智？世尊！云何菩薩善能解知莊嚴	戒 忍 精 進 禪 智 世 尊 云 何 菩 薩 善 能 解 知 莊 嚴 
T15n0625_001:0368c13	梵道？世尊！云何菩薩不失神通？世尊！云何菩	梵 道 世 尊 云 何 菩 薩 不 失 神 通 世 尊 云 何 菩 
T15n0625_001:0368c14	薩斷諸結使？世尊！云何菩薩度到彼岸？世尊！	薩 斷 諸 結 使 世 尊 云 何 菩 薩 度 到 彼 岸 世 尊 
T15n0625_001:0368c15	云何菩薩能現一切聲聞、緣覺及諸眾生形	云 何 菩 薩 能 現 一 切 聲 聞 緣 覺 及 諸 眾 生 形 
T15n0625_001:0368c16	色威儀無有別異？世尊！云何菩薩觀於生死	色 威 儀 無 有 別 異 世 尊 云 何 菩 薩 觀 於 生 死 
T15n0625_001:0368c17	不住涅槃？世尊！云何菩薩觀眾生界不動法	不住涅槃 世 尊 云 何 菩 薩 觀 眾 生 界 不 動 法 
T15n0625_001:0368c18	界？世尊！云何菩薩不退失利觀現失利？世尊！	界 世 尊 云 何 菩 薩 不 退 失 利 觀 現 失 利 世 尊 
T15n0625_001:0368c19	云何菩薩有大財寶封邑無盡，以方便力現	云 何 菩 薩 有 大 財 寶 封 邑 無 盡 以 方 便 力 現 
T15n0625_001:0368c20	為貧窮？世尊！云何菩薩行於諸行，令有作門	為 貧 窮 世 尊 云 何 菩 薩 行 於 諸 行 令 有 作 門 
T15n0625_001:0368c21	入無作門？世尊！云何菩薩善觀諸法？世尊！云	入 無 作 門 世 尊 云 何 菩 薩 善 觀 諸 法 世 尊 云 
T15n0625_001:0368c22	何菩薩決定分別一切諸法？世尊！云何菩薩	何 菩 薩 決定分別 一切諸法 世 尊 云 何 菩 薩 
T15n0625_001:0368c23	行諸世法不為所污？世尊！云何菩薩於諸自	行 諸 世 法 不 為 所 污 世 尊 云 何 菩 薩 於 諸 自 
T15n0625_001:0368c24	在不觀望他？世尊！云何菩薩不離見佛？世尊！	在 不 觀 望 他 世 尊 云 何 菩 薩 不 離 見 佛 世 尊 
T15n0625_001:0368c25	云何菩薩善自調伏無諸惡法？世尊！云何菩	云 何 菩 薩 善 自 調 伏 無 諸 惡 法 世 尊 云 何 菩 
T15n0625_001:0368c26	薩善為師導而不悋法？世尊！云何菩薩為諸	薩 善 為 師 導 而 不 悋 法 世 尊 云 何 菩 薩 為 諸 
T15n0625_001:0368c27	眾生作實依止？世尊！云何菩薩能轉一切諸	眾 生 作 實 依 止 世 尊 云 何 菩 薩 能 轉 一 切 諸 
T15n0625_001:0368c28	佛法輪？世尊！云何菩薩於一切法得灌頂位？」	佛 法 輪 世 尊 云 何 菩 薩 於一切法 得 灌 頂 位 
T15n0625_001:0368c29	爾時世尊讚天冠菩薩：「善哉善哉！善男子！汝	爾 時 世 尊 讚 天 冠 菩 薩 善哉善哉 善 男 子 汝 
T15n0625_001:0369a01	今所問多所利益安樂世間利安人天，攝取	今 所 問 多 所 利益安樂 世 間 利 安 人 天 攝 取 
T15n0625_001:0369a02	未來諸菩薩等。善男子！汝常曾於恒河沙等	未 來 諸 菩 薩 等 善 男 子 汝 常 曾 於 恒 河 沙 等 
T15n0625_001:0369a03	佛世尊所諮請問難，今復當大利益安樂未	佛 世 尊 所 諮 請 問 難 今 復 當 大 利益安樂 未 
T15n0625_001:0369a04	來菩薩，令此大乘得久住世。善男子！汝之所	來 菩 薩 令 此 大 乘 得 久 住 世 善 男 子 汝 之 所 
T15n0625_001:0369a05	問，善心諦聽，吾當演說。」天冠菩薩白言：「世尊！	問 善 心 諦 聽 吾 當 演 說 天 冠 菩 薩 白 言 世 尊 
T15n0625_001:0369a06	受教而聽。」「善男子！菩薩成就四法，得於雜種	受 教 而 聽 善 男 子 菩 薩 成 就 四 法 得 於 雜 種 
T15n0625_001:0369a07	莊嚴之辯。何等為四？是菩薩於一切眾生無	莊 嚴 之 辯 何 等 為 四 是 菩 薩 於 一 切 眾 生 無 
T15n0625_001:0369a08	侵害心，捨諸一切所愛之物心無悔悋。有說	侵 害 心 捨 諸 一 切 所 愛 之 物 心 無 悔 悋 有 說 
T15n0625_001:0369a09	法者不斷其說，起隨喜心歡喜踊躍，讚言善	法 者 不 斷 其 說 起隨喜心 歡喜踊躍 讚 言 善 
T15n0625_001:0369a10	哉！勸請說法。若於晝夜、若在僧中、若在佛	哉 勸 請 說 法 若 於 晝 夜 若 在 僧 中 若 在 佛 
T15n0625_001:0369a11	塔，以菩提心常為先道，起志欲心喜樂諸法。	塔 以 菩 提 心 常 為 先 道 起 志 欲 心 喜 樂 諸 法 
T15n0625_001:0369a12	而是菩薩專心志欲，以法等施不期利養。善	而 是 菩 薩 專 心 志 欲 以 法 等 施 不 期 利 養 善 
T15n0625_001:0369a13	男子！是為菩薩成就四法，得成雜種莊嚴之	男 子 是 為 菩 薩 成 就 四 法 得 成 雜 種 莊 嚴 之 
T15n0625_001:0369a14	辯。「善男子！菩薩成就四法得增勝智，善知分	辯 善 男 子 菩 薩 成 就 四 法 得 增 勝 智 善 知 分 
T15n0625_001:0369a15	別甚深之法。何等四？順因緣法知我實性。	別 甚 深 之 法 何 等 四 順 因 緣 法 知 我 實 性 
T15n0625_001:0369a16	知入一切眾生實性。知生死行，無有來者無	知 入 一 切 眾 生 實 性 知 生 死 行 無 有 來 者 無 
T15n0625_001:0369a17	有去者。知一切法虛空印相。是為四。「善男子！	有 去 者 知一切法 虛 空 印 相 是 為 四 善 男 子 
T15n0625_001:0369a18	菩薩成就四法，善知諸根。何等四？善知法	菩 薩 成 就 四 法 善 知 諸 根 何 等 四 善 知 法 
T15n0625_001:0369a19	界門。觀諸法門無有障礙。知諸神通。善調伏	界 門 觀 諸 法 門 無有障礙 知 諸 神 通 善 調 伏 
T15n0625_001:0369a20	心，無有二行。是為四。「善男子！菩薩成就四法，	心 無 有 二 行 是 為 四 善 男 子 菩 薩 成 就 四 法 
T15n0625_001:0369a21	善能解知如應說法。何等四？辯智。度眾生智。	善 能 解 知 如 應 說 法 何 等 四 辯 智 度 眾 生 智 
T15n0625_001:0369a22	分別法智。自淨其心亦淨一切眾生之心。是	分 別 法 智 自 淨 其 心 亦 淨 一 切 眾 生 之 心 是 
T15n0625_001:0369a23	為四。「善男子！菩薩成就四法，善知一切眾生	為 四 善 男 子 菩 薩 成 就 四 法 善 知 一 切 眾 生 
T15n0625_001:0369a24	心行。何等四？智慧超出智無有礙。入於方便。	心 行 何 等 四 智 慧 超 出 智 無 有 礙 入 於 方 便 
T15n0625_001:0369a25	諸有所作終不中悔。能自覺了。是為四。「善男	諸 有 所 作 終 不 中 悔 能 自 覺 了 是 為 四 善 男 
T15n0625_001:0369a26	子！菩薩成就四法，善知造因所得業報，亦	子 菩 薩 成 就 四 法 善 知 造 因 所 得 業 報 亦 
T15n0625_001:0369a27	知出過所行無失。何等四？不說斷滅亦不說	知 出 過 所 行 無 失 何 等 四 不 說 斷 滅 亦 不 說 
T15n0625_001:0369a28	常因。於業報如實而知，如法而現諸法示	常 因 於 業 報 如 實 而 知 如 法 而 現 諸 法 示 
T15n0625_001:0369a29	相。是中無我無我所。知於所作不失果報。是	相 是 中 無 我 無 我 所 知 於 所 作 不 失 果 報 是 
T15n0625_001:0369b01	為四。「善男子！菩薩成就四法，莊嚴布施。何等	為 四 善 男 子 菩 薩 成 就 四 法 莊 嚴 布 施 何 等 
T15n0625_001:0369b02	四？莊嚴於相。莊嚴於好。無比喻色。無盡封	四 莊 嚴 於 相 莊 嚴 於 好 無 比 喻 色 無 盡 封 
T15n0625_001:0369b03	邑及以寶手。是為四。「善男子！菩薩成就四法，	邑 及 以 寶 手 是 為 四 善 男 子 菩 薩 成 就 四 法 
T15n0625_001:0369b04	莊嚴持戒。何等四？作轉輪王而善莊嚴菩提	莊 嚴 持 戒 何 等 四 作 轉 輪 王 而 善 莊 嚴 菩 提 
T15n0625_001:0369b05	之心。作釋提桓因而善莊嚴菩提之心。作大	之 心 作 釋提桓因 而 善 莊 嚴 菩提之心 作 大 
T15n0625_001:0369b06	梵王而善莊嚴菩提之心。不墮惡道生人天	梵 王 而 善 莊 嚴 菩提之心 不墮惡道 生 人 天 
T15n0625_001:0369b07	善處，而善莊嚴菩提之心。是為四。「善男子！	善 處 而 善 莊 嚴 菩提之心 是 為 四 善 男 子 
T15n0625_001:0369b08	菩薩成就四法，莊嚴忍辱。何等四？出梵音聲、	菩 薩 成 就 四 法 莊 嚴 忍 辱 何 等 四 出 梵 音 聲 
T15n0625_001:0369b09	迦陵頻迦聲。多人所愛心意悅樂。堅修善法。	迦 陵 頻 迦 聲 多 人 所 愛 心 意 悅 樂 堅 修 善 法 
T15n0625_001:0369b10	得金色膚。是為四。「善男子！菩薩成就四法，莊	得 金 色 膚 是 為 四 善 男 子 菩 薩 成 就 四 法 莊 
T15n0625_001:0369b11	嚴精進得不可壞。何等四？得一切眾生無能	嚴 精 進 得 不 可 壞 何 等 四 得 一 切 眾 生 無 能 
T15n0625_001:0369b12	壞者，為諸眾生作不請友。有所為作專志不	壞 者 為 諸 眾 生 作 不 請 友 有 所 為 作 專 志 不 
T15n0625_001:0369b13	懈心無疲厭。樂集多聞。堅智莊嚴。是為四。	懈 心 無 疲 厭 樂 集 多 聞 堅 智 莊 嚴 是 為 四 
T15n0625_001:0369b14	「善男子！菩薩無厭成就四法，莊嚴於禪，何等	 善 男 子 菩 薩 無 厭 成 就 四 法 莊 嚴 於 禪 何 等 
T15n0625_001:0369b15	四？無諸閙亂。無有放逸。無有慳慢。不捨調	四 無 諸 閙 亂 無 有 放 逸 無 有 慳 慢 不 捨 調 
T15n0625_001:0369b16	伏心。是為四。「善男子！菩薩成就四法，莊嚴	伏 心 是 為 四 善 男 子 菩 薩 成 就 四 法 莊 嚴 
T15n0625_001:0369b17	智慧。何等四？不說我、人、眾生、壽命。得無礙辯。	智 慧 何 等 四 不 說 我 人 眾 生 壽 命 得 無 礙 辯 
T15n0625_001:0369b18	善能分別一切句義。於一切法無有疑惑。是	善 能 分 別 一 切 句 義 於一切法 無有疑惑 是 
T15n0625_001:0369b19	為四。「善男子！菩薩成就四法，莊嚴梵道。何等	為 四 善 男 子 菩 薩 成 就 四 法 莊 嚴 梵 道 何 等 
T15n0625_001:0369b20	四？在空淨處生起慈心。為化眾生起於悲心。	四 在 空 淨 處 生 起 慈 心 為 化 眾 生 起 於 悲 心 
T15n0625_001:0369b21	守護正法起於喜心。生如來智起於捨心。是	守 護 正 法 起 於 喜 心 生 如 來 智 起 於 捨 心 是 
T15n0625_001:0369b22	為四。「善男子！菩薩成就四法，不失神通。何等	為 四 善 男 子 菩 薩 成 就 四 法 不 失 神 通 何 等 
T15n0625_001:0369b23	四？入於四禪而不退失。入四空定知於方便。	四 入 於 四 禪 而 不 退 失 入 四 空 定 知 於 方 便 
T15n0625_001:0369b24	心得自在知一切法。神通遊至無量佛剎。是	心得自在 知一切法 神 通 遊 至 無 量 佛 剎 是 
T15n0625_001:0369b25	為四。「善男子！菩薩成就四法，斷諸結使。何等	為 四 善 男 子 菩 薩 成 就 四 法 斷 諸 結 使 何 等 
