T21n1346_001:0858c19	諸佛集會陀羅尼經一卷	諸佛集會陀羅尼經 一 卷 
T21n1346_001:0859a09	一世界皆有諸佛。側塞充滿猶如稻麻。悉來	一 世 界 皆 有 諸 佛 側 塞 充 滿 猶 如 稻 麻 悉 來 
T21n1346_001:0859a10	此會而為等侶。然見十方一切世界。一一方	此 會 而 為 等 侶 然 見 十 方 一切世界 一 一 方 
T21n1346_001:0859a11	處諸佛世尊亦皆遍滿分明顯現。如是一切	處 諸佛世尊 亦 皆 遍 滿 分 明 顯 現 如是一切 
T21n1346_001:0859a12	諸佛如來。俱時發聲而說呪曰。	諸佛如來 俱 時 發 聲 而 說 呪 曰 
T21n1346_001:0859a13	折禮(句一)折羅折禮(句二)毘那(去借音即此字之上聲下有字傍註	折 禮 句 一 折 羅 折 禮 句 二 毘 那 去 借 音 即 此 字 之 上 聲 下 有 字 傍 註 
T21n1346_001:0859a14	上字皆倣此)徵(珍里反句三)莎(蘇括反)悉底(都以反下同)雞(句四)斫	上 字 皆 倣 此 徵 珍 里 反 句 三 莎 蘇 括 反 悉 底 都 以 反 下 同 雞 句 四 斫 
T21n1346_001:0859a15	迦爛揭時(句五)鉢羅舍漫都(句六)薩婆嚕(依魯字本	迦 爛 揭 時 句 五 鉢 羅 舍 漫 都 句 六 薩 婆 嚕 依 魯 字 本 
T21n1346_001:0859a16	音而轉舌呼之其下口邊作犁羅麗皆倣此)伽(句七)阿那(上)[齒*來](卓諧反句八)俱	音 而 轉 舌 呼 之 其 下 口 邊 作 犁 羅 麗 皆 倣 此 伽 句 七 阿 那 上 [齒來] 卓 諧 反 句 八 俱 
T21n1346_001:0859a17	那(上)[齒*來](句九)摩訶捺[齒*來](句十)折[口*犁]折[口*犁](句十一)	那 上 [齒來]句九摩訶捺[齒來]句十折[口犁]折[口犁] 句 十 一 
T21n1346_001:0859a18	醯(呼計反下同)摩具[口*梨](句十二)醯摩儞產(去)地(句十三)	醯 呼 計 反 下 同 摩 具 [口梨] 句 十 二 醯 摩 儞 產 去 地 句 十 三 
T21n1346_001:0859a19	醯摩室尼(句十四)吉囉(上)陛(句十五)吉囉(上)鞞(句十	醯 摩 室 尼 句 十 四 吉 囉 上 陛 句 十 五 吉 囉 上 鞞 句 十 
T21n1346_001:0859a20	六)醯(引聲)俱囉(上)[口*犁](句十七)俱囉(上)[口*犁](句十八)俱	六 醯 引 聲 俱 囉 上 [口犁]句十七俱囉上[口犁] 句 十 八 俱 
T21n1346_001:0859a21	末底(句十九)毘奢麼(謀跛反)泥(句二十)戍暑(輸矩反)毘(上)	末 底 句 十 九 毘 奢 麼 謀 跛 反 泥 句 二 十 戍 暑 輸 矩 反 毘 上 
T21n1346_001:0859a22	婆(句二十一)阿折禮毘折禮(句二十二)摩毘(上)濫婆(句二十三)	婆 句 二 十 一 阿 折 禮 毘 折 禮 句 二 十 二 摩 毘 上 濫 婆 句 二 十 三 
T21n1346_001:0859a23	呼(去)牟呼(去)牟(句二十四)	呼 去 牟 呼 去 牟 句 二 十 四 
T21n1346_001:0859a24	爾時十方諸佛。一一皆有金剛密跡王親近	爾 時 十方諸佛 一 一 皆 有 金剛密跡 王 親 近 
T21n1346_001:0859a25	圍繞。此無量金剛王眾。復共同聲而說呪曰。	圍 繞 此 無 量 金 剛 王 眾 復 共 同 聲 而 說 呪 曰 
T21n1346_001:0859a26	[貝*甘](呼濫反引聲句一)[貝*甘](句二)室勢(句三)颯婆(去)訶	[貝甘]呼濫反引聲句一[貝甘] 句 二 室 勢 句 三 颯 婆 去 訶 
T21n1346_001:0859a27	(句四)	 句 四 
T21n1346_001:0859a28	爾時毘沙門天王白佛言世尊。我今亦為擁	爾 時 毘 沙 門 天 王 白 佛 言 世 尊 我 今 亦 為 擁 
T21n1346_001:0859a29	護眾生說陀羅尼。令其無有非時夭橫。唯願	護 眾 生 說 陀 羅 尼 令 其 無 有 非 時 夭 橫 唯 願 
T21n1346_001:0859b01	如來垂哀與力。即說呪曰。稅低(句一)稅怛	如 來 垂 哀 與 力 即 說 呪 曰 稅 低 句 一 稅 怛 
T21n1346_001:0859b02	犁(句二)履梨(句三)	犁 句 二 履 梨 句 三 
T21n1346_001:0859b03	爾時毘盧勒叉天王亦作是言。我今為欲護	爾 時 毘 盧 勒 叉 天 王 亦 作 是 言 我 今 為 欲 護 
T21n1346_001:0859b04	諸眾生說陀羅尼。即說呪曰。摩蹬耆(瞿雞反句一)	諸 眾 生 說 陀 羅 尼 即 說 呪 曰 摩 蹬 耆 瞿 雞 反 句 一 
T21n1346_001:0859b05	摩蹬耆(祇里反)尼(儞咨反句二)暑(輸矩反下同)摩暑母(句	摩 蹬 耆 祇 里 反 尼 儞 咨 反 句 二 暑 輸 矩 反 下 同 摩 暑 母 句 
T21n1346_001:0859b06	三)	三 
T21n1346_001:0859b07	爾時提頭賴吒天王。亦為擁護諸眾生故而	爾 時 提 頭 賴 吒 天 王 亦 為 擁 護 諸 眾 生 故 而 
T21n1346_001:0859b08	說呪曰。	說 呪 曰 
T21n1346_001:0859b09	折囇折囇颯婆(去)訶	折 囇 折 囇 颯 婆 去 訶 
T21n1346_001:0859b10	爾時毘樓博叉天王亦說呪曰。	爾 時 毘 樓 博 叉 天 王 亦 說 呪 曰 
T21n1346_001:0859b11	跋凌(去)婆(上)婆	跋 凌 去 婆 上 婆 
T21n1346_001:0859b12	爾時世尊告四天王言諸天等此陀羅尼。從	爾 時 世 尊 告 四 天 王 言 諸 天 等 此 陀 羅 尼 從 
T21n1346_001:0859b13	於一切諸佛所生。一切諸佛共所知見。若善	於 一切諸佛 所 生 一切諸佛 共 所 知 見 若 善 
T21n1346_001:0859b14	男子善女人。乃至有能一日之中讀一遍者。	男 子 善 女 人 乃 至 有 能 一 日 之 中 讀 一 遍 者 
T21n1346_001:0859b15	是人終不墮於惡趣。當於是人起大師想。若	是 人 終 不 墮於惡趣 當 於 是 人 起 大 師 想 若 
T21n1346_001:0859b16	有人為欲利益一切眾生。於日日中讀誦斯	有 人 為 欲 利 益 一 切 眾 生 於日日中 讀 誦 斯 
T21n1346_001:0859b17	呪。能令眾生壽命增長。亦令其人災橫怖畏	呪 能 令 眾 生 壽 命 增 長 亦 令 其 人 災 橫 怖 畏 
T21n1346_001:0859b18	皆得消除。無諸惡相及眾疾苦。水不能漂	皆 得 消 除 無 諸 惡 相 及 眾 疾 苦 水 不 能 漂 
T21n1346_001:0859b19	火不能燒。刀不能傷毒不能害。若在在處處	火 不 能 燒 刀 不 能 傷 毒 不 能 害 若 在在處處 
T21n1346_001:0859b20	有能讀誦此陀羅尼。當知此處則為十方一切	有 能 讀 誦 此 陀 羅 尼 當 知 此 處 則 為 十 方 一 切 
T21n1346_001:0859b21	諸佛常所護念。若人自書若教人書。其人則	諸 佛 常 所 護 念 若 人 自 書 若 教 人 書 其 人 則 
T21n1346_001:0859b22	為承事供養一切諸佛。何以故。若於眾生能	為 承事供養 一切諸佛 何 以 故 若 於 眾 生 能 
T21n1346_001:0859b23	作饒益。則為供養一切佛故。若有專欲擁護	作 饒 益 則 為 供 養 一 切 佛 故 若 有 專 欲 擁 護 
T21n1346_001:0859b24	其身。當書此呪佩著身上。若所在之處有深	其 身 當 書 此 呪 佩 著 身 上 若 所 在 之 處 有 深 
T21n1346_001:0859b25	信法善男子善女人等。或遇災難欲令除滅。	信 法 善 男 子 善 女 人 等 或 遇 災 難 欲 令 除 滅 
T21n1346_001:0859b26	疾應如法受持此呪。持呪法著。先當簡擇清	疾 應 如 法 受 持 此 呪 持 呪 法 著 先 當 簡 擇 清 
T21n1346_001:0859b27	淨之處。以栴檀末而塗其地。成一方壇縱廣	淨 之 處 以 栴 檀 末 而 塗 其 地 成 一 方 壇 縱 廣 
T21n1346_001:0859b28	七肘。其人應從月初八日。香湯洗浴著新淨	七 肘 其 人 應 從 月 初 八 日 香 湯 洗 浴 著 新 淨 
T21n1346_001:0859b29	衣受八戒齋。唯食粳米石蜜牛乳。取黑沈香	衣 受 八 戒 齋 唯 食 粳 米 石 蜜 牛 乳 取 黑 沈 香 
T21n1346_001:0859c01	及龍腦香。共滿一兩置於壇上。又取白檀香	及 龍 腦 香 共 滿 一 兩 置 於 壇 上 又 取 白 檀 香 
T21n1346_001:0859c02	或沆水香。或龍腦香或復丁香迦矩羅香。而	或 沆 水 香 或 龍 腦 香 或 復 丁 香 迦 矩 羅 香 而 
T21n1346_001:0859c03	置於壇。其人誦此陀羅尼呪。呪此諸香。於日	置 於 壇 其 人 誦 此 陀羅尼呪 呪 此 諸 香 於 日 
T21n1346_001:0859c04	日中皆七七遍滿于七日。至十五日一日不	日 中 皆 七 七 遍 滿 于 七 日 至 十 五 日 一 日 不 
T21n1346_001:0859c05	食其日中時。以欝金香於其壇上作二十一	食 其 日 中 時 以 欝 金 香 於 其 壇 上 作 二 十 一 
T21n1346_001:0859c06	小壇。其一處中名如來壇。餘二十壇名金剛	小 壇 其 一 處 中 名 如 來 壇 餘 二 十 壇 名 金 剛 
T21n1346_001:0859c07	王壇。又於壇外作四小壇。名四天王壇復取	王 壇 又 於 壇 外 作 四 小 壇 名 四 天 王 壇 復 取 
T21n1346_001:0859c08	麝香龍腦白檀欝金之香及紫檀末。於如來	麝 香 龍 腦 白 檀 欝 金 之 香 及 紫 檀 末 於 如 來 
T21n1346_001:0859c09	壇若散若塗而為供養。自餘諸壇隨取一香	壇 若 散 若 塗 而 為 供 養 自 餘 諸 壇 隨 取 一 香 
T21n1346_001:0859c10	而供養之。又取乳酪酥及沙糖。如其次第以	而 供 養 之 又 取 乳 酪 酥 及 沙 糖 如 其 次 第 以 
T21n1346_001:0859c11	新瓶四口。各別盛之置四天王壇上。又以淨	新 瓶 四 口 各 別 盛 之 置 四 天 王 壇 上 又 以 淨 
T21n1346_001:0859c12	水著於瓶內。採十二種果樹之花而置其中。	水 著 於 瓶 內 採 十 二 種 果 樹 之 花 而 置 其 中 
T21n1346_001:0859c13	又以香油然十支燈置如來壇。為欲供養十	又 以 香 油 然 十 支 燈 置 如 來 壇 為 欲 供 養 十 
T21n1346_001:0859c14	方佛故。自餘諸壇各然一支。於前所呪諸香	方 佛 故 自 餘 諸 壇 各 然 一 支 於 前 所 呪 諸 香 
T21n1346_001:0859c15	之內。取龍腦及沈水。於如來壇而燒供養。其	之 內 取 龍 腦 及 沈 水 於 如 來 壇 而 燒 供 養 其 
T21n1346_001:0859c16	餘壇上然自餘香。將然香時其如來壇及餘	餘 壇 上 然 自 餘 香 將 然 香 時 其 如 來 壇 及 餘 
T21n1346_001:0859c17	壇香。復應各別誦此神呪而以呪之。若有眾	壇 香 復 應 各 別 誦 此 神 呪 而 以 呪 之 若 有 眾 
T21n1346_001:0859c18	生得聞此香。非時夭橫靡不除滅。先所呪香	生 得 聞 此 香 非 時 夭 橫 靡 不 除 滅 先 所 呪 香 
T21n1346_001:0859c19	並燒盡已。然後收彼四天王食散於淨處。	並 燒 盡 已 然 後 收 彼 四 天 王 食 散 於 淨 處 
T21n1346_001:0859c20	佛說此經已。四大天王及一切世間天人阿	佛 說 此 經 已 四大天王 及 一切世間 天 人 阿 
T21n1346_001:0859c21	修羅乾闥婆等。歡喜奉行。	修 羅 乾 闥 婆 等 歡 喜 奉 行 
T21n1346_001:0859c22	諸佛集會陀羅尼經	諸佛集會陀羅尼經 
