X86n1605_001:0495a07	 繼燈錄序	 繼 燈 錄 序 
X86n1605_001:0495b08	為結繩之簡。不亦悖乎。至今日而猶有作者。非得已	為 結 繩 之 簡 不 亦 悖 乎 至 今 日 而 猶 有 作 者 非 得 已 
X86n1605_001:0495b09	也。政如六經之後復有孟氏之七篇道性善稱堯舜	也 政 如 六 經 之 後 復 有 孟 氏 之 七 篇 道 性 善 稱 堯 舜 
X86n1605_001:0495b10	倡仁義息邪說。亦以明先王之道耳。豈曰益之而為	倡 仁 義 息 邪 說 亦 以 明 先 王 之 道 耳 豈 曰 益 之 而 為 
X86n1605_001:0495b11	贅哉。若夫所錄混濫。弗當於西來之旨。則如王通之	贅 哉 若 夫 所 錄 混 濫 弗 當 於 西 來 之 旨 則 如 王 通 之 
X86n1605_001:0495b12	五經。雖自謂可繼孔氏。而不自知實塵飯塗羹之戲	五 經 雖 自 謂 可 繼 孔 氏 而 不 自 知 實 塵 飯 塗 羹 之 戲 
X86n1605_001:0495b13	也。其罪戾不亦重乎。此則吾之所深懼而不能自迯	也 其 罪 戾 不 亦 重 乎 此 則 吾 之 所 深 懼 而 不 能 自 迯 
X86n1605_001:0495b14	者。尚當質之大方以俟郢削云。	者 尚 當 質 之 大 方 以 俟 郢 削 云 
X86n1605_001:0495b15	歲在辛卯秋九月下浣之吉鼓山嗣祖沙門元贒序	歲 在 辛 卯 秋 九 月 下 浣 之 吉 鼓 山 嗣 祖 沙 門 元 贒 序 
X86n1605_001:0495b16	於聖箭堂中	於 聖 箭 堂 中 
X86n1605_001:0495c04	凡例七條	凡 例 七 條 
X86n1605_001:0495c06	宗派舊有五。今惟臨濟曹洞二宗。臨濟宗會元終	宗 派 舊 有 五 今 惟 臨 濟 曹 洞 二 宗 臨 濟 宗 會 元 終 
X86n1605_001:0495c07	於十七世。故茲錄即始於十八世。曹洞宗會元終	於 十 七 世 故 茲 錄 即 始 於 十 八 世 曹 洞 宗 會 元 終 
X86n1605_001:0495c08	於十五世。故茲錄即始於十六世。	於 十 五 世 故 茲 錄 即 始 於 十 六 世 
X86n1605_001:0495c09	諸師法語不存而出處可考者必載之。或一行之	諸 師 法 語 不 存 而 出 處 可 考 者 必 載 之 或 一 行 之 
X86n1605_001:0495c10	可傳。或臨終之有異者亦載之。使人毋謂宗門徒	可 傳 或 臨 終 之 有 異 者 亦 載 之 使 人 毋 謂 宗 門 徒 
X86n1605_001:0495c11	打口鼓也。	打 口 鼓 也 
X86n1605_001:0495c12	諸師或有名可知而出處言句俱失錄者。但依舊	諸 師 或 有 名 可 知 而 出 處 言 句 俱 失 錄 者 但 依 舊 
X86n1605_001:0495c13	例存其名以俟後人攷入。其有頌古傳世者亦取	例 存 其 名 以 俟 後 人 攷 入 其 有 頌 古 傳 世 者 亦 取 
X86n1605_001:0495c14	其一二則附入。此乃續略舊例。今因之。	其 一 二 則 附 入 此 乃 續 略 舊 例 今 因 之 
X86n1605_001:0495c15	諸師言句或有醇疵相半者。難以槩錄。豈可盡捐。	諸 師 言 句 或 有 醇 疵 相 半 者 難 以 槩 錄 豈 可 盡 捐 
X86n1605_001:0495c16	今則節取之。一以成前人之美。一以碎金斷璧無	今 則 節 取 之 一 以 成 前 人 之 美 一 以 碎 金 斷 璧 無 
X86n1605_001:0495c17	非寶也。	非 寶 也 
X86n1605_001:0495c18	五燈續略一書採錄為詳。余所未及見者多得之	五 燈 續 略 一 書 採 錄 為 詳 余 所 未 及 見 者 多 得 之 
X86n1605_001:0495c19	此書。其功偉矣。但有余之所見而彼未及見者。或	此 書 其 功 偉 矣 但 有 余 之 所 見 而 彼 未 及 見 者 或 
X86n1605_001:0495c20	有彼之所取而余則削去者。或同一語錄而取舍	有 彼 之 所 取 而 余 則 削 去 者 或 同 一 語 錄 而 取 舍 
X86n1605_001:0495c21	各異者。或同一行實而詳略有殊者。故茲錄之行	各 異 者 或 同 一 行 實 而 詳 略 有 殊 者 故 茲 錄 之 行 
X86n1605_001:0495c22	自不可已。豈[曰/月]其功而為之哉。	自 不 可 已 豈 [曰月] 其 功 而 為 之 哉 
X86n1605_001:0495c23	五宗次序。景德傳燈及正宗記俱先青原後南嶽。	五 宗 次 序 景 德 傳 燈 及 正 宗 記 俱 先 青 原 後 南 嶽 
X86n1605_001:0495c24	大川乃私黨己宗以南嶽先青原後。又恐人諍論	大 川 乃 私 黨 己 宗 以 南 嶽 先 青 原 後 又 恐 人 諍 論 
X86n1605_001:0496a01	故復以法眼先臨濟。紊亂極矣。今一依舊例為定。	故 復 以 法 眼 先 臨 濟 紊 亂 極 矣 今 一 依 舊 例 為 定 
X86n1605_001:0496a02	諸師年代既遠。嗣續難以攷正。聞明初有續傳燈。	諸 師 年 代 既 遠 嗣 續 難 以 攷 正 聞 明 初 有 續 傳 燈 
X86n1605_001:0496a03	余未及見。世已無傳。惟嘉靖間有祖派圖載之頗	余 未 及 見 世 已 無 傳 惟 嘉 靖 間 有 祖 派 圖 載 之 頗 
X86n1605_001:0496a04	詳。然混亂極矣。未可全據。近見五燈續略攷正良	詳 然 混 亂 極 矣 未 可 全 據 近 見 五 燈 續 略 攷 正 良 
X86n1605_001:0496a05	多。然亦未盡。如東嶼海下有月林鏡。今攷月林乃	多 然 亦 未 盡 如 東 嶼 海 下 有 月 林 鏡 今 攷 月 林 乃 
X86n1605_001:0496a06	參本來人入道者。實徑山第八十代住持。入滅於	參 本 來 人 入 道 者 實 徑 山 第 八 十 代 住 持 入 滅 於 
X86n1605_001:0496a07	正德乙卯。與東嶼相去遠甚。故特去之。餘未及正。	正 德 乙 卯 與 東 嶼 相 去 遠 甚 故 特 去 之 餘 未 及 正 
X86n1605_001:0496a08	姑以俟後之君子。	姑 以 俟 後 之 君 子 
X86n1605_001:0496b01	繼燈錄目錄	繼 燈 錄 目 錄 
X86n1605_001:0496b02	　　序文　凡例	 序 文 凡 例 
X86n1605_001:0496b03	卷一	卷 一 
X86n1605_001:0496b04	　　　曹洞宗	 曹 洞 宗 
X86n1605_001:0496b05	　青原下十六世	 青 原 下 十 六 世 
X86n1605_001:0496b06	　雪竇鑑禪師法嗣	 雪 竇 鑑 禪 師 法 嗣 
X86n1605_001:0496b07	　　天童如淨禪師	 天 童 如 淨 禪 師 
X86n1605_001:0496b08	　華藏祚禪師法嗣	 華 藏 祚 禪 師 法 嗣 
X86n1605_001:0496b09	　　東谷光禪師	 東 谷 光 禪 師 
X86n1605_001:0496b10	　青原下十七世	 青 原 下 十 七 世 
X86n1605_001:0496b11	　天童淨禪師法嗣	 天 童 淨 禪 師 法 嗣 
X86n1605_001:0496b12	　　鹿門覺禪師　雪菴從瑾禪師	 鹿 門 覺 禪 師 雪 菴 從 瑾 禪 師 
X86n1605_001:0496b13	　　石林秀禪師(無錄)　孤蟾瑩禪師(無錄)	 石 林 秀 禪 師 無 錄 孤 蟾 瑩 禪 師 無 錄 
X86n1605_001:0496b14	　　日本道元禪師	 日 本 道 元 禪 師 
X86n1605_001:0496b15	　東谷光禪師法嗣	 東 谷 光 禪 師 法 嗣 
X86n1605_001:0496b16	　　直翁舉禪師(無錄)	 直 翁 舉 禪 師 無 錄 
X86n1605_001:0496b17	　青原下十八世	 青 原 下 十 八 世 
X86n1605_001:0496b18	　鹿門覺禪師法嗣	 鹿 門 覺 禪 師 法 嗣 
X86n1605_001:0496b19	　　青州一辯禪師	 青 州 一 辯 禪 師 
X86n1605_001:0496b20	　直翁舉禪師法嗣	 直 翁 舉 禪 師 法 嗣 
X86n1605_001:0496b21	　　天童岫禪師	 天 童 岫 禪 師 
X86n1605_001:0496b22	　青原下十九世	 青 原 下 十 九 世 
X86n1605_001:0496b23	　青州辯禪師法嗣	 青 州 辯 禪 師 法 嗣 
X86n1605_001:0496b24	　　大明寶禪師　慈雲覺禪師	 大 明 寶 禪 師 慈 雲 覺 禪 師 
X86n1605_001:0496c01	　天童岫禪師法嗣	 天 童 岫 禪 師 法 嗣 
X86n1605_001:0496c02	　　雪竇大證禪師	 雪 竇 大 證 禪 師 
X86n1605_001:0496c03	　青原下二十世	 青 原 下 二 十 世 
X86n1605_001:0496c04	　大明寶禪師法嗣	 大 明 寶 禪 師 法 嗣 
X86n1605_001:0496c05	　　王山體禪師　仁山恒禪師	 王 山 體 禪 師 仁 山 恒 禪 師 
X86n1605_001:0496c06	　青原下二十一世	 青 原 下 二 十 一 世 
X86n1605_001:0496c07	　王山體禪師法嗣	 王 山 體 禪 師 法 嗣 
X86n1605_001:0496c08	　　雪巖滿禪師　勝默光禪師	 雪 巖 滿 禪 師 勝 默 光 禪 師 
X86n1605_001:0496c09	　仁山恒禪師法嗣	 仁 山 恒 禪 師 法 嗣 
X86n1605_001:0496c10	　　大明詮禪師(無錄)	 大 明 詮 禪 師 無 錄 
X86n1605_001:0496c11	　青原下二十二世	 青 原 下 二 十 二 世 
X86n1605_001:0496c12	　雪巖滿禪師法嗣	 雪 巖 滿 禪 師 法 嗣 
X86n1605_001:0496c13	　　報恩行秀禪師	 報 恩 行 秀 禪 師 
X86n1605_001:0496c14	　青原下二十三世	 青 原 下 二 十 三 世 
X86n1605_001:0496c15	　報恩秀禪師法嗣	 報 恩 秀 禪 師 法 嗣 
X86n1605_001:0496c16	　　少室福裕禪師　報恩從倫禪師	 少 室 福 裕 禪 師 報 恩 從 倫 禪 師 
X86n1605_001:0496c17	　　從寬禪師　華嚴至溫禪師	 從 寬 禪 師 華 嚴 至 溫 禪 師 
X86n1605_001:0496c18	　　丞相移剌楚材居士	 丞 相 移 剌 楚 材 居 士 
X86n1605_001:0496c19	　青原下二十四世	 青 原 下 二 十 四 世 
X86n1605_001:0496c20	　少室裕禪師法嗣	 少 室 裕 禪 師 法 嗣 
X86n1605_001:0496c21	　　少室文泰禪師　報恩智泰禪師	 少 室 文 泰 禪 師 報 恩 智 泰 禪 師 
X86n1605_001:0496c22	　　靈巖淨肅禪師	 靈 巖 淨 肅 禪 師 
X86n1605_001:0496c23	　青原下二十五世	 青 原 下 二 十 五 世 
X86n1605_001:0496c24	　少室泰禪師法嗣	 少 室 泰 禪 師 法 嗣 
X86n1605_001:0497a01	　　寶應福遇禪師　靈巖潔禪師(無錄)	 寶 應 福 遇 禪 師 靈 巖 潔 禪 師 無 錄 
X86n1605_001:0497a02	　靈巖肅禪師法嗣	 靈 巖 肅 禪 師 法 嗣 
X86n1605_001:0497a03	　　寶應永達禪師　封龍普就禪師	 寶 應 永 達 禪 師 封 龍 普 就 禪 師 
X86n1605_001:0497a04	　青原下二十六世	 青 原 下 二 十 六 世 
X86n1605_001:0497a05	　寶應遇禪師法嗣	 寶 應 遇 禪 師 法 嗣 
X86n1605_001:0497a06	　　少室文才禪師　靈谷謙禪師(無錄)	 少 室 文 才 禪 師 靈 谷 謙 禪 師 無 錄 
X86n1605_001:0497a07	　靈巖潔禪師法嗣	 靈 巖 潔 禪 師 法 嗣 
X86n1605_001:0497a08	　　天界道成禪師	 天 界 道 成 禪 師 
X86n1605_001:0497a09	　封龍就禪師法嗣	 封 龍 就 禪 師 法 嗣 
X86n1605_001:0497a10	　　天慶義讓禪師	 天 慶 義 讓 禪 師 
X86n1605_001:0497a11	　青原下二十七世	 青 原 下 二 十 七 世 
X86n1605_001:0497a12	　少室材禪師法嗣	 少 室 材 禪 師 法 嗣 
X86n1605_001:0497a13	　　萬安子嚴禪師	 萬 安 子 嚴 禪 師 
X86n1605_001:0497a14	　靈谷謙禪師法嗣	 靈 谷 謙 禪 師 法 嗣 
X86n1605_001:0497a15	　　靈谷正映禪師	 靈 谷 正 映 禪 師 
X86n1605_001:0497a16	　天慶讓禪師法嗣	 天 慶 讓 禪 師 法 嗣 
X86n1605_001:0497a17	　　熊耳子定禪師	 熊 耳 子 定 禪 師 
X86n1605_001:0497a18	　青原下二十八世	 青 原 下 二 十 八 世 
X86n1605_001:0497a19	　萬安嚴禪師法嗣	 萬 安 嚴 禪 師 法 嗣 
X86n1605_001:0497a20	　　少室了改禪師	 少 室 了 改 禪 師 
X86n1605_001:0497a21	　靈谷映禪師法嗣	 靈 谷 映 禪 師 法 嗣 
X86n1605_001:0497a22	　　雪峰遠芷禪師(無錄)	 雪 峰 遠 芷 禪 師 無 錄 
X86n1605_001:0497a23	　青原下二十九世	 青 原 下 二 十 九 世 
X86n1605_001:0497a24	　　少室改禪師法嗣　少室契斌禪師	 少 室 改 禪 師 法 嗣 少 室 契 斌 禪 師 
X86n1605_001:0497b01	卷第二	卷 第 二 
X86n1605_001:0497b02	　　　臨濟宗	 臨 濟 宗 
X86n1605_001:0497b03	　南嶽下十八世	 南 嶽 下 十 八 世 
X86n1605_001:0497b04	　鼓山永禪師法嗣	 鼓 山 永 禪 師 法 嗣 
X86n1605_001:0497b05	　　淨慈悟明禪師	 淨 慈 悟 明 禪 師 
X86n1605_001:0497b06	　靈隱善禪師法嗣	 靈 隱 善 禪 師 法 嗣 
X86n1605_001:0497b07	　　雪峰善珍禪師　龍濟宗鍪禪師	 雪 峰 善 珍 禪 師 龍 濟 宗 鍪 禪 師 
X86n1605_001:0497b08	　　淨慈仲頴禪師	 淨 慈 仲 頴 禪 師 
X86n1605_001:0497b09	　淨慈簡禪師法嗣	 淨 慈 簡 禪 師 法 嗣 
X86n1605_001:0497b10	　　育王大觀禪師	 育 王 大 觀 禪 師 
X86n1605_001:0497b11	　徑山琰禪師法嗣	 徑 山 琰 禪 師 法 嗣 
X86n1605_001:0497b12	　　淨慈廣聞禪師　雙林朋禪師	 淨 慈 廣 聞 禪 師 雙 林 朋 禪 師 
X86n1605_001:0497b13	　　徑山原肇禪師　靈隱普濟禪師	 徑 山 原 肇 禪 師 靈 隱 普 濟 禪 師 
X86n1605_001:0497b14	　　東山源禪師　弁山阡禪師	 東 山 源 禪 師 弁 山 阡 禪 師 
X86n1605_001:0497b15	　育王瑞禪師法嗣	 育 王 瑞 禪 師 法 嗣 
X86n1605_001:0497b16	　　瑞巖崇壽禪師	 瑞 巖 崇 壽 禪 師 
X86n1605_001:0497b17	　乾元頴禪師法嗣	 乾 元 頴 禪 師 法 嗣 
X86n1605_001:0497b18	　　鼓山祖鑑禪師	 鼓 山 祖 鑑 禪 師 
X86n1605_001:0497b19	　育王堪禪師法嗣	 育 王 堪 禪 師 法 嗣 
X86n1605_001:0497b20	　　薦福燦禪師(無錄)	 薦 福 燦 禪 師 無 錄 
X86n1605_001:0497b21	　天童傑禪師法嗣	 天 童 傑 禪 師 法 嗣 
X86n1605_001:0497b22	　　臥龍祖先禪師　靈隱崇嶽禪師	 臥 龍 祖 先 禪 師 靈 隱 崇 嶽 禪 師 
X86n1605_001:0497b23	　　天童自鏡禪師　薦福生禪師	 天 童 自 鏡 禪 師 薦 福 生 禪 師 
X86n1605_001:0497b24	　　隱靜致柔禪師　淨慈慧光禪師	 隱 靜 致 柔 禪 師 淨 慈 慧 光 禪 師 
X86n1605_001:0497c01	　　侍郎張鎡居士	 侍 郎 張 鎡 居 士 
X86n1605_001:0497c02	　天童觀禪師法嗣	 天 童 觀 禪 師 法 嗣 
X86n1605_001:0497c03	　　華藏善淨禪師(無錄)　虎丘善濟禪師	 華 藏 善 淨 禪 師 無 錄 虎 丘 善 濟 禪 師 
X86n1605_001:0497c04	　天童頴禪師法嗣	 天 童 頴 禪 師 法 嗣 
X86n1605_001:0497c05	　　靈隱如珏禪師	 靈 隱 如 珏 禪 師 
X86n1605_001:0497c06	　萬壽觀禪師法嗣	 萬 壽 觀 禪 師 法 嗣 
X86n1605_001:0497c07	　　黃龍慧開禪師　孤峰德秀禪師(無錄)	 黃 龍 慧 開 禪 師 孤 峰 德 秀 禪 師 無 錄 
X86n1605_001:0497c08	　　石霜妙印禪師	 石 霜 妙 印 禪 師 
X86n1605_001:0497c09	　南嶽下十九世	 南 嶽 下 十 九 世 
X86n1605_001:0497c10	　雪峰珍禪師法嗣	 雪 峰 珍 禪 師 法 嗣 
X86n1605_001:0497c11	　　徑山行端禪師	 徑 山 行 端 禪 師 
X86n1605_001:0497c12	　淨慈頴禪師法嗣	 淨 慈 頴 禪 師 法 嗣 
X86n1605_001:0497c13	　　江心了萬禪師　嶽林益禪師	 江 心 了 萬 禪 師 嶽 林 益 禪 師 
X86n1605_001:0497c14	　育王觀禪師法嗣	 育 王 觀 禪 師 法 嗣 
X86n1605_001:0497c15	　　仰山元熈禪師	 仰 山 元 熈 禪 師 
X86n1605_001:0497c16	　淨慈聞禪師法嗣	 淨 慈 聞 禪 師 法 嗣 
X86n1605_001:0497c17	　　徑山妙高禪師　天童鑒禪師	 徑 山 妙 高 禪 師 天 童 鑒 禪 師 
X86n1605_001:0497c18	　雙林朋禪師法嗣	 雙 林 朋 禪 師 法 嗣 
X86n1605_001:0497c19	　　靈隱祖誾禪師	 靈 隱 祖 誾 禪 師 
X86n1605_001:0497c20	　靈隱濟禪師法嗣	 靈 隱 濟 禪 師 法 嗣 
X86n1605_001:0497c21	　　雪竇炳同禪師	 雪 竇 炳 同 禪 師 
X86n1605_001:0497c22	　薦福燦禪師法嗣	 薦 福 燦 禪 師 法 嗣 
X86n1605_001:0497c23	　　支提澄鑑禪師	 支 提 澄 鑑 禪 師 
X86n1605_001:0497c24	　臥龍先禪師法嗣	 臥 龍 先 禪 師 法 嗣 
X86n1605_001:0498a01	　　徑山師範禪師　靈隱法薰禪師	 徑 山 師 範 禪 師 靈 隱 法 薰 禪 師 
X86n1605_001:0498a02	　　雲居慈覺禪師	 雲 居 慈 覺 禪 師 
X86n1605_001:0498a03	　靈隱嶽禪師法嗣	 靈 隱 嶽 禪 師 法 嗣 
X86n1605_001:0498a04	　　天童文禮禪師　華藏覺通禪師	 天 童 文 禮 禪 師 華 藏 覺 通 禪 師 
X86n1605_001:0498a05	　　雪竇仲謙禪師　道場普巖禪師	 雪 竇 仲 謙 禪 師 道 場 普 巖 禪 師 
X86n1605_001:0498a06	　　金山善開禪師　龍翔希璉禪師	 金 山 善 開 禪 師 龍 翔 希 璉 禪 師 
X86n1605_001:0498a07	　　瑞巖光睦禪師　北海心禪師	 瑞 巖 光 睦 禪 師 北 海 心 禪 師 
X86n1605_001:0498a08	　　諾菴肇禪師　淨慈道禪師	 諾 菴 肇 禪 師 淨 慈 道 禪 師 
X86n1605_001:0498a09	　天童鏡禪師法嗣	 天 童 鏡 禪 師 法 嗣 
X86n1605_001:0498a10	　　鼓山元智禪師　淨慈沅禪師	 鼓 山 元 智 禪 師 淨 慈 沅 禪 師 
X86n1605_001:0498a11	　薦福生禪師法嗣	 薦 福 生 禪 師 法 嗣 
X86n1605_001:0498a12	　　徑山道冲禪師	 徑 山 道 冲 禪 師 
X86n1605_001:0498a13	　隱靜柔禪師法嗣	 隱 靜 柔 禪 師 法 嗣 
X86n1605_001:0498a14	　　雙杉元禪師	 雙 杉 元 禪 師 
X86n1605_001:0498a15	　華藏淨禪師法嗣	 華 藏 淨 禪 師 法 嗣 
X86n1605_001:0498a16	　　天童謀禪師	 天 童 謀 禪 師 
X86n1605_001:0498a17	　靈隱珏禪師法嗣	 靈 隱 珏 禪 師 法 嗣 
X86n1605_001:0498a18	　　天竺有禪師	 天 竺 有 禪 師 
X86n1605_001:0498a19	　黃龍開禪師法嗣	 黃 龍 開 禪 師 法 嗣 
X86n1605_001:0498a20	　　護國宗禪師　瞎驢無見禪師	 護 國 宗 禪 師 瞎 驢 無 見 禪 師 
X86n1605_001:0498a21	　　放牛余居士	 放 牛 余 居 士 
X86n1605_001:0498a22	　孤峰秀禪師法嗣	 孤 峰 秀 禪 師 法 嗣 
X86n1605_001:0498a23	　　鼓山正凝禪師　雙林介禪師	 鼓 山 正 凝 禪 師 雙 林 介 禪 師 
X86n1605_001:0498a24	　石霜印禪師法嗣	 石 霜 印 禪 師 法 嗣 
X86n1605_001:0498b01	　　金牛真禪師(無錄)　真翁圓禪師(無錄)	 金 牛 真 禪 師 無 錄 真 翁 圓 禪 師 無 錄 
X86n1605_001:0498b02	　容菴海禪師法嗣	 容 菴 海 禪 師 法 嗣 
X86n1605_001:0498b03	　　慶壽璋禪師	 慶 壽 璋 禪 師 
X86n1605_001:0498b04	卷第三	卷 第 三 
X86n1605_001:0498b05	　　　臨濟宗	 臨 濟 宗 
X86n1605_001:0498b06	　南嶽下二十世	 南 嶽 下 二 十 世 
X86n1605_001:0498b07	　徑山端禪師法嗣	 徑 山 端 禪 師 法 嗣 
X86n1605_001:0498b08	　　靈隱慧明禪師　天寧梵琦禪師	 靈 隱 慧 明 禪 師 天 寧 梵 琦 禪 師 
X86n1605_001:0498b09	　　徑山智及禪師　萬壽至仁禪師	 徑 山 智 及 禪 師 萬 壽 至 仁 禪 師 
X86n1605_001:0498b10	　　靈隱元瀞禪師　國清曇噩禪師	 靈 隱 元 瀞 禪 師 國 清 曇 噩 禪 師 
X86n1605_001:0498b11	　　徑山祖銘禪師　靈隱法林禪師	 徑 山 祖 銘 禪 師 靈 隱 法 林 禪 師 
X86n1605_001:0498b12	　　徑山福報禪師	 徑 山 福 報 禪 師 
X86n1605_001:0498b13	　仰山熈禪師法嗣	 仰 山 熈 禪 師 法 嗣 
X86n1605_001:0498b14	　　龍翔大訢禪師　保寧天倫禪師	 龍 翔 大 訢 禪 師 保 寧 天 倫 禪 師 
X86n1605_001:0498b15	　　中竺正逵禪師　育王祖瑛禪師	 中 竺 正 逵 禪 師 育 王 祖 瑛 禪 師 
X86n1605_001:0498b16	　　祥符念常禪師	 祥 符 念 常 禪 師 
X86n1605_001:0498b17	　天童鑒禪師法嗣	 天 童 鑒 禪 師 法 嗣 
X86n1605_001:0498b18	　　竺田霖禪師(無錄)	 竺 田 霖 禪 師 無 錄 
X86n1605_001:0498b19	　靈隱誾禪師法嗣	 靈 隱 誾 禪 師 法 嗣 
X86n1605_001:0498b20	　　東林宗廓禪師	 東 林 宗 廓 禪 師 
X86n1605_001:0498b21	　徑山範禪師法嗣	 徑 山 範 禪 師 法 嗣 
X86n1605_001:0498b22	　　仰山祖欽禪師　淨慈妙倫禪師	 仰 山 祖 欽 禪 師 淨 慈 妙 倫 禪 師 
X86n1605_001:0498b23	　　天童惠禪師　天童祖智禪師	 天 童 惠 禪 師 天 童 祖 智 禪 師 
X86n1605_001:0498b24	　　月坡明禪師　環溪一禪師	 月 坡 明 禪 師 環 溪 一 禪 師 
X86n1605_001:0498c01	　　希叟曇禪師　靈隱寧禪師	 希 叟 曇 禪 師 靈 隱 寧 禪 師 
X86n1605_001:0498c02	　　無學元禪師(無錄)　雪峰可湘禪師	 無 學 元 禪 師 無 錄 雪 峰 可 湘 禪 師 
X86n1605_001:0498c03	　靈隱薰禪師法嗣	 靈 隱 薰 禪 師 法 嗣 
X86n1605_001:0498c04	　　淨慈慧禪師　中竺珂禪師	 淨 慈 慧 禪 師 中 竺 珂 禪 師 
X86n1605_001:0498c05	　天童禮禪師法嗣	 天 童 禮 禪 師 法 嗣 
X86n1605_001:0498c06	　　育王如珙禪師　淨慈行鞏禪師	 育 王 如 珙 禪 師 淨 慈 行 鞏 禪 師 
X86n1605_001:0498c07	　華藏通禪師法嗣	 華 藏 通 禪 師 法 嗣 
X86n1605_001:0498c08	　　徑山普度禪師	 徑 山 普 度 禪 師 
X86n1605_001:0498c09	　雪竇謙禪師法嗣	 雪 竇 謙 禪 師 法 嗣 
X86n1605_001:0498c10	　　承天真禪師	 承 天 真 禪 師 
X86n1605_001:0498c11	　道場巖禪師法嗣	 道 場 巖 禪 師 法 嗣 
X86n1605_001:0498c12	　　徑山智愚禪師　淨慈衍禪師	 徑 山 智 愚 禪 師 淨 慈 衍 禪 師 
