X65n1279_001:0102a03	 五宗原序	 五 宗 原 序 
X65n1279_001:0102c11	于十邡。為二株之正宗。脚下當出四宗。而惟臨濟一	于 十 邡 為 二 株 之 正 宗 脚 下 當 出 四 宗 而 惟 臨 濟 一 
X65n1279_001:0102c12	宗。為正的也。及初祖至金陵。武帝問。造寺度僧有功	宗 為 正 的 也 及 初 祖 至 金 陵 武 帝 問 造 寺 度 僧 有 功 
X65n1279_001:0102c13	德否。祖曰。實無功德。此臨濟直截語也。雲門法眼溈	德 否 祖 曰 實 無 功 德 此 臨 濟 直 截 語 也 雲 門 法 眼 溈 
X65n1279_001:0102c14	仰。何所不具。帝問。何以無功德。祖曰。此但人天小果	仰 何 所 不 具 帝 問 何 以 無 功 德 祖 曰 此 但 人 天 小 果 
X65n1279_001:0102c15	有漏之因。如影隨形。雖有非實。豈非曹洞語乎。至二	有 漏 之 因 如 影 隨 形 雖 有 非 實 豈 非 曹 洞 語 乎 至 二 
X65n1279_001:0102c16	祖。有居士請懺罪。祖曰。將罪來。與汝懺。士良久曰。覔	祖 有 居 士 請 懺 罪 祖 曰 將 罪 來 與 汝 懺 士 良 久 曰 覔 
X65n1279_001:0102c17	罪了不可得。祖曰。與汝懺罪竟。一將罪來。一懺罪竟。	罪 了 不 可 得 祖 曰 與 汝 懺 罪 竟 一 將 罪 來 一 懺 罪 竟 
X65n1279_001:0102c18	臨濟雲門宗也。問答歷然。溈仰法眼曹洞宗也。沙彌	臨 濟 雲 門 宗 也 問 答 歷 然 溈 仰 法 眼 曹 洞 宗 也 沙 彌 
X65n1279_001:0102c19	問三祖。乞解脫法門。祖曰。誰縛汝。此非臨濟雲門宗	問 三 祖 乞 解 脫 法 門 祖 曰 誰 縛 汝 此 非 臨 濟 雲 門 宗 
X65n1279_001:0102c20	乎。栽松道者問四祖曰。法道可得聞乎。祖曰汝已老。	乎 栽 松 道 者 問 四 祖 曰 法 道 可 得 聞 乎 祖 曰 汝 已 老 
X65n1279_001:0102c21	脫有聞其能廣化邪儻。若再來。吾尚遲汝。此語全看。	脫 有 聞 其 能 廣 化 邪 儻 若 再 來 吾 尚 遲 汝 此 語 全 看 
X65n1279_001:0102c22	則臨濟雲門。細開闔之。則諸宗悉具矣。五祖接盧能。	則 臨 濟 雲 門 細 開 闔 之 則 諸 宗 悉 具 矣 五 祖 接 盧 能 
X65n1279_001:0102c23	以杖擊碓三下。非臨濟張本乎。六祖問南嶽曰。何處	以 杖 擊 碓 三 下 非 臨 濟 張 本 乎 六 祖 問 南 嶽 曰 何 處 
X65n1279_001:0102c24	來。曰嵩山。祖曰什麼物與麼來。曰說似一物即不中。	來 曰 嵩 山 祖 曰 什 麼 物 與 麼 來 曰 說 似 一 物 即 不 中 
X65n1279_001:0103a01	祖曰。還有修證否。曰修證即不無。染污即不得。觀讓	祖 曰 還 有 修 證 否 曰 修 證 即 不 無 染 污 即 不 得 觀 讓 
X65n1279_001:0103a02	公說似一物即不中語。此臨濟宗而亦雲門之旨也。	公 說 似 一 物 即 不 中 語 此 臨 濟 宗 而 亦 雲 門 之 旨 也 
X65n1279_001:0103a03	修證即不無。染污即不得。寧非溈仰法眼宗旨乎。葢	修 證 即 不 無 染 污 即 不 得 寧 非 溈 仰 法 眼 宗 旨 乎 葢 
X65n1279_001:0103a04	四宗之源。發於此也。馬駒之讖。定於此矣。及向馬師	四 宗 之 源 發 於 此 也 馬 駒 之 讖 定 於 此 矣 及 向 馬 師 
X65n1279_001:0103a05	磨磚。馬問磨磚作麼。曰作鏡。曰磨磚豈得作鏡。曰坐	磨 磚 馬 問 磨 磚 作 麼 曰 作 鏡 曰 磨 磚 豈 得 作 鏡 曰 坐 
X65n1279_001:0103a06	禪豈得成佛。只此一句。臨濟宗旨大振矣。雲門亦具	禪 豈 得 成 佛 只 此 一 句 臨 濟 宗 旨 大 振 矣 雲 門 亦 具 
X65n1279_001:0103a07	焉。及問如何即是。曰如牛駕車。車若不行。打牛即是。	焉 及 問 如 何 即 是 曰 如 牛 駕 車 車 若 不 行 打 牛 即 是 
X65n1279_001:0103a08	打車即是。則溈仰法眼始於此。馬祖曰。藏頭白海頭	打 車 即 是 則 溈 仰 法 眼 始 於 此 馬 祖 曰 藏 頭 白 海 頭 
X65n1279_001:0103a09	黑。日面佛月面佛。有時喝。有時打。此臨濟宗也。僧參	黑 日 面 佛 月 面 佛 有 時 喝 有 時 打 此 臨 濟 宗 也 僧 參 
X65n1279_001:0103a10	次。師畫一圓相云。入也打。不入也打。僧纔入。師便打。	次 師 畫 一 圓 相 云 入 也 打 不 入 也 打 僧 纔 入 師 便 打 
X65n1279_001:0103a11	僧云。和尚打某甲不得。師靠柱杖休去。只此一則。便	僧 云 和 尚 打 某 甲 不 得 師 靠 柱 杖 休 去 只 此 一 則 便 
X65n1279_001:0103a12	四宗齊收也。震聲一喝於百丈挂拂之後。三日耳聾	四 宗 齊 收 也 震 聲 一 喝 於 百 丈 挂 拂 之 後 三 日 耳 聾 
X65n1279_001:0103a13	於黃檗吐舌之前。三頓痛棒。大樹蔭天。臨濟一宗。岧	於 黃 檗 吐 舌 之 前 三 頓 痛 棒 大 樹 蔭 天 臨 濟 一 宗 岧 
X65n1279_001:0103a14	然五宗之頂。從威音至此。而乳中醍醐。精極玅極。馬	然 五 宗 之 頂 從 威 音 至 此 而 乳 中 醍 醐 精 極 玅 極 馬 
X65n1279_001:0103a15	駒踏殺天下人鍾意不在是乎。是知大愚肋下三拳。	駒 踏 殺 天 下 人 鍾 意 不 在 是 乎 是 知 大 愚 肋 下 三 拳 
X65n1279_001:0103a16	密闔顯開。橫分竪結。踏四家而獨步。出三句以咸羅。	密 闔 顯 開 橫 分 竪 結 踏 四 家 而 獨 步 出 三 句 以 咸 羅 
X65n1279_001:0103a17	四料簡。盡人境法以褫其大綱。三玄要。卷生死關而	四 料 簡 盡 人 境 法 以 褫 其 大 綱 三 玄 要 卷 生 死 關 而 
X65n1279_001:0103a18	歸于頂。獨道法細分。始能事事心佛。二三同一。方可	歸 于 頂 獨 道 法 細 分 始 能 事 事 心 佛 二 三 同 一 方 可 
X65n1279_001:0103a19	句句斷玄。影草動。則主在我而驗人。金剛提。則力在	句 句 斷 玄 影 草 動 則 主 在 我 而 驗 人 金 剛 提 則 力 在 
X65n1279_001:0103a20	腕而破物。師踞有地。浮汎者未識來由。喝本無從。認	腕 而 破 物 師 踞 有 地 浮 汎 者 未 識 來 由 喝 本 無 從 認 
X65n1279_001:0103a21	真者定迷落處。兩堂一喝。陸遜迷八陣之圖。兩處讓	真 者 定 迷 落 處 兩 堂 一 喝 陸 遜 迷 八 陣 之 圖 兩 處 讓 
X65n1279_001:0103a22	賓。諸葛有隱蓬之策。二禪客賓主。成於陞座。四賓主	賓 諸 葛 有 隱 蓬 之 策 二 禪 客 賓 主 成 於 陞 座 四 賓 主 
X65n1279_001:0103a23	機用。毒於膠盆。或學人先喝以挑鋒。須防伏卒。或知	機 用 毒 於 膠 盆 或 學 人 先 喝 以 挑 鋒 須 防 伏 卒 或 知 
X65n1279_001:0103a24	識隨奪而掠陣。貴設陷坑。或夫唱而婦隨。或分疆而	識 隨 奪 而 掠 陣 貴 設 陷 坑 或 夫 唱 而 婦 隨 或 分 疆 而 
X65n1279_001:0103b01	裂土。相共一場懡[怡台+羅]。放收兩換交加。囊沙減竈。各顧	裂 土 相 共 一 場 懡 [怡台羅] 放 收 兩 換 交 加 囊 沙 減 竈 各 顧 
X65n1279_001:0103b02	成功。自縛詐降。獨施冷刺。呢呢喁喁而隱蠆。轟轟靂	成 功 自 縛 詐 降 獨 施 冷 刺 呢 呢 喁 喁 而 隱 蠆 轟 轟 靂 
X65n1279_001:0103b03	靂而濡尾。用鏌鎁於太平之後。提祖印於未定之天。	靂 而 濡 尾 用 鏌 鎁 於 太 平 之 後 提 祖 印 於 未 定 之 天 
X65n1279_001:0103b04	舉頭天外。誰是其人。掛鏡當軒。豈容魔異。待心死而	舉 頭 天 外 誰 是 其 人 掛 鏡 當 軒 豈 容 魔 異 待 心 死 而 
X65n1279_001:0103b05	伏誅。須切用前之照。先擒下而去續。略挑用後之燈。	伏 誅 須 切 用 前 之 照 先 擒 下 而 去 續 略 挑 用 後 之 燈 
X65n1279_001:0103b06	濟船筏於黑風鬼國之間。開晴霽於碧浪通歌之外。	濟 船 筏 於 黑 風 鬼 國 之 間 開 晴 霽 於 碧 浪 通 歌 之 外 
X65n1279_001:0103b07	頭頭為求格外。著著要了機先。了法者盡法而無民。	頭 頭 為 求 格 外 著 著 要 了 機 先 了 法 者 盡 法 而 無 民 
X65n1279_001:0103b08	亡人者隨人而施藥。撫猊絃而絕眾聲。滴獅乳而迸	亡 人 者 隨 人 而 施 藥 撫 猊 絃 而 絕 眾 聲 滴 獅 乳 而 迸 
X65n1279_001:0103b09	驢酪。從遮裏過得。向隨處安閑。行雲行雨。不濕僊衣。	驢 酪 從 遮 裏 過 得 向 隨 處 安 閑 行 雲 行 雨 不 濕 僊 衣 
X65n1279_001:0103b10	驅電驅雷。豈關天怒。興化得於脫下衲衣之一頓。向	驅 電 驅 雷 豈 關 天 怒 興 化 得 於 脫 下 衲 衣 之 一 頓 向 
X65n1279_001:0103b11	古廟裏藏身。致使克賓於棒了處。更罰錢出院。南院	古 廟 裏 藏 身 致 使 克 賓 於 棒 了 處 更 罰 錢 出 院 南 院 
X65n1279_001:0103b12	拈出啐啄同時。失之便打。終令那僧於棒折處。見燈	拈 出 啐 啄 同 時 失 之 便 打 終 令 那 僧 於 棒 折 處 見 燈 
X65n1279_001:0103b13	影裏行。風穴從守廓處。入玄要法門。便於南院處。賓	影 裏 行 風 穴 從 守 廓 處 入 玄 要 法 門 便 於 南 院 處 賓 
X65n1279_001:0103b14	主歷然。識破詐道不饑。領棒下無師之旨。法華於古	主 歷 然 識 破 詐 道 不 饑 領 棒 下 無 師 之 旨 法 華 於 古 
X65n1279_001:0103b15	路上不墮悄然。向白兆處。草賊大敗。好手不肯張名。	路 上 不 墮 悄 然 向 白 兆 處 草 賊 大 敗 好 手 不 肯 張 名 
X65n1279_001:0103b16	見太平斬痴之略。汾州見象王行處絕狐踪。遂到放	見 太 平 斬 痴 之 略 汾 州 見 象 王 行 處 絕 狐 踪 遂 到 放 
X65n1279_001:0103b17	身命處。石霜從掩口知道出常情。解道荒草裏行。楊	身 命 處 石 霜 從 掩 口 知 道 出 常 情 解 道 荒 草 裏 行 楊 
X65n1279_001:0103b18	岐截路打慈明。知是般事便休。辭雲竟入亂峰深處。	岐 截 路 打 慈 明 知 是 般 事 便 休 辭 雲 竟 入 亂 峰 深 處 
X65n1279_001:0103b19	既向兩喝後禮拜。復於擔荷處便行。會老失笑驚白	既 向 兩 喝 後 禮 拜 復 於 擔 荷 處 便 行 會 老 失 笑 驚 白 
X65n1279_001:0103b20	雲。會得箇中便了放手。撲到萬仞崖底。有時擲下柱	雲 會 得 箇 中 便 了 放 手 撲 到 萬 仞 崖 底 有 時 擲 下 柱 
X65n1279_001:0103b21	杖。有時放過一著。五祖演不會興化古廟裏話。會白	杖 有 時 放 過 一 著 五 祖 演 不 會 興 化 古 廟 裏 話 會 白 
X65n1279_001:0103b22	雲一叱。便解轉磨。既得出身白汗。廣展下載清風。昭	雲 一 叱 便 解 轉 磨 既 得 出 身 白 汗 廣 展 下 載 清 風 昭 
X65n1279_001:0103b23	覺勤盡五祖機用邊事。由演師不肯。及再領栢子。復	覺 勤 盡 五 祖 機 用 邊 事 由 演 師 不 肯 及 再 領 栢 子 復 
X65n1279_001:0103b24	證鷄鳴。雖會一串穿却。還合頂[寧*頁]添眼。虎丘隆至見	證 鷄 鳴 雖 會 一 串 穿 却 還 合 頂 [寧頁] 添 眼 虎 丘 隆 至 見 
X65n1279_001:0103c01	不及處舉拳。解道竹密不妨流水過。終成睡虎。應菴	不 及 處 舉 拳 解 道 竹 密 不 妨 流 水 過 終 成 睡 虎 應 菴 
X65n1279_001:0103c02	華舉放泥盤處大笑。解道禹力不到處。河聲流向西。	華 舉 放 泥 盤 處 大 笑 解 道 禹 力 不 到 處 河 聲 流 向 西 
X65n1279_001:0103c03	方見真獅。華藏傑以拄杖兩卓一拋道。三十年後。已	方 見 真 獅 華 藏 傑 以 拄 杖 兩 卓 一 拋 道 三 十 年 後 已 
X65n1279_001:0103c04	全面目。破菴先於不心不佛物處。將拄杖一卓。略見	全 面 目 破 菴 先 於 不 心 不 佛 物 處 將 拄 杖 一 卓 略 見 
X65n1279_001:0103c05	一斑。無準範道。三人證龜成鼈。真不欠少。雪嵓欽道。	一 斑 無 準 範 道 三 人 證 龜 成 鼈 真 不 欠 少 雪 嵓 欽 道 
X65n1279_001:0103c06	三拳三拜是同許會三玄。高峰妙以龍頭蛇尾。輥作	三 拳 三 拜 是 同 許 會 三 玄 高 峰 妙 以 龍 頭 蛇 尾 輥 作 
X65n1279_001:0103c07	一團。中峰本於脫衣一頓。許你半箇。千嵓長見鼠食	一 團 中 峰 本 於 脫 衣 一 頓 許 你 半 箇 千 嵓 長 見 鼠 食 
X65n1279_001:0103c08	猫飯。碗破矣而碎甓。萬峰蔚見淨瓶踢倒。鈍漢已而	猫 飯 碗 破 矣 而 碎 甓 萬 峰 蔚 見 淨 瓶 踢 倒 鈍 漢 已 而 
X65n1279_001:0103c09	三十。寶藏持承三要印來。爪牙不少。東明旵賴重新	三 十 寶 藏 持 承 三 要 印 來 爪 牙 不 少 東 明 旵 賴 重 新 
X65n1279_001:0103c10	悟來。到底無遺。寶峰瑄語若流雲。出身有路。天奇瑞	悟 來 到 底 無 遺 寶 峰 瑄 語 若 流 雲 出 身 有 路 天 奇 瑞 
X65n1279_001:0103c11	當賓不讓。去有來由。無聞聰深水裏出頭。石中迸火。	當 賓 不 讓 去 有 來 由 無 聞 聰 深 水 裏 出 頭 石 中 迸 火 
X65n1279_001:0103c12	笑巖寶操履中兼用。水裏有龍。幻有傳一點燈花。虗	笑 巖 寶 操 履 中 兼 用 水 裏 有 龍 幻 有 傳 一 點 燈 花 虗 
X65n1279_001:0103c13	空爆破。金粟悟一棒到底。不管主賓。三峰藏挽臨濟	空 爆 破 金 粟 悟 一 棒 到 底 不 管 主 賓 三 峰 藏 挽 臨 濟 
X65n1279_001:0103c14	七百年之大法。頭尾宛然。水雲中飛騰隱顯。何處摸	七 百 年 之 大 法 頭 尾 宛 然 水 雲 中 飛 騰 隱 顯 何 處 摸 
X65n1279_001:0103c15	索。	索 
X65n1279_001:0103c16	兩脉合宗其來有據	兩 脉 合 宗 其 來 有 據 
X65n1279_001:0103c17	臨濟一宗。至汾陽慈明。而益大起。明出楊岐。自虎丘	臨 濟 一 宗 至 汾 陽 慈 明 而 益 大 起 明 出 楊 岐 自 虎 丘 
X65n1279_001:0103c18	臻雪巖高峯千巖萬峯。以及笑巖之後。法道復當再	臻 雪 巖 高 峯 千 巖 萬 峯 以 及 笑 巖 之 後 法 道 復 當 再 
X65n1279_001:0103c19	振。已正敘其脉矣。其於石霜之下。出有匾頭道人黃	振 已 正 敘 其 脉 矣 其 於 石 霜 之 下 出 有 匾 頭 道 人 黃 
X65n1279_001:0103c20	龍南公者。初未悟時。因雲峯悅所激。指見慈明。明問	龍 南 公 者 初 未 悟 時 因 雲 峯 悅 所 激 指 見 慈 明 明 問 
X65n1279_001:0103c21	臺山婆子話。不能答。明詬罵不已。師曰。罵豈慈悲法	臺 山 婆 子 話 不 能 答 明 詬 罵 不 已 師 曰 罵 豈 慈 悲 法 
X65n1279_001:0103c22	施耶。明曰。汝作罵會那。師乃悟旨。其下有寶峯真淨	施 耶 明 曰 汝 作 罵 會 那 師 乃 悟 旨 其 下 有 寶 峯 真 淨 
X65n1279_001:0103c23	克文禪師。往見黃龍。不契。至香城。見順和尚。順問。甚	克 文 禪 師 往 見 黃 龍 不 契 至 香 城 見 順 和 尚 順 問 甚 
X65n1279_001:0103c24	處來。曰黃龍來。曰黃龍有何言句。曰黃龍近日。州府	處 來 曰 黃 龍 來 曰 黃 龍 有 何 言 句 曰 黃 龍 近 日 州 府 
X65n1279_001:0104a01	委請黃檗長老。龍埀語曰。鐘樓上念讚。床脚下種菜	委 請 黃 檗 長 老 龍 埀 語 曰 鐘 樓 上 念 讚 床 脚 下 種 菜 
X65n1279_001:0104a02	有人下得語契。便往住持。時勝上座云。猛虎當路坐。	有 人 下 得 語 契 便 往 住 持 時 勝 上 座 云 猛 虎 當 路 坐 
X65n1279_001:0104a03	龍遂令去住黃檗。順不覺云。勝首座祇下得一轉語。	龍 遂 令 去 住 黃 檗 順 不 覺 云 勝 首 座 祇 下 得 一 轉 語 
X65n1279_001:0104a04	便得黃檗住。佛法未夢見在。師言下大悟黃龍用處。	便 得 黃 檗 住 佛 法 未 夢 見 在 師 言 下 大 悟 黃 龍 用 處 
X65n1279_001:0104a05	座下有清凉慧洪覺範禪師者。文每為舉玄沙未徹	座 下 有 清 凉 慧 洪 覺 範 禪 師 者 文 每 為 舉 玄 沙 未 徹 
X65n1279_001:0104a06	之語。發其疑。凡有所對。文曰。你又說道理耶。一日頓	之 語 發 其 疑 凡 有 所 對 文 曰 你 又 說 道 理 耶 一 日 頓 
X65n1279_001:0104a07	脫所疑。述偈曰。靈雲一見不再見。紅白枝枝不著花。	脫 所 疑 述 偈 曰 靈 雲 一 見 不 再 見 紅 白 枝 枝 不 著 花 
X65n1279_001:0104a08	尀耐釣魚船上客。却來平地漉魚鰕。真淨見而為之	尀 耐 釣 魚 船 上 客 却 來 平 地 漉 魚 鰕 真 淨 見 而 為 之 
X65n1279_001:0104a09	助喜。吾甞參三玄之旨。有深得。欲求決諸方。而難其	助 喜 吾 甞 參 三 玄 之 旨 有 深 得 欲 求 決 諸 方 而 難 其 
X65n1279_001:0104a10	人。忽見師著臨濟宗旨。及智證傳之臨濟兩堂首座	人 忽 見 師 著 臨 濟 宗 旨 及 智 證 傳 之 臨 濟 兩 堂 首 座 
X65n1279_001:0104a11	同喝語。今古心心。如覿面相印。復檢其法嗣。未有續	同 喝 語 今 古 心 心 如 覿 面 相 印 復 檢 其 法 嗣 未 有 續 
X65n1279_001:0104a12	之者。因願遙嗣其宗旨。而現在法脉。則傳笑巖之後	之 者 因 願 遙 嗣 其 宗 旨 而 現 在 法 脉 則 傳 笑 巖 之 後 
X65n1279_001:0104a13	焉。葢不敢負高峰語錄之發起也。因敘臨濟正脉。而	焉 葢 不 敢 負 高 峰 語 錄 之 發 起 也 因 敘 臨 濟 正 脉 而 
X65n1279_001:0104a14	耑志於此。	耑 志 於 此 
X65n1279_001:0104a15	雲門宗	雲 門 宗 
X65n1279_001:0104a16	自威音一字金圈拋出。從七佛諸偈錦字文回。六祖	自 威 音 一 字 金 圈 拋 出 從 七 佛 諸 偈 錦 字 文 回 六 祖 
X65n1279_001:0104a17	傳來一個鉢盂。囫圇咬嚼不得。馬師之後。這箇眼目。	傳 來 一 個 鉢 盂 囫 圇 咬 嚼 不 得 馬 師 之 後 這 箇 眼 目 
X65n1279_001:0104a18	淺草易為長蘆。天王惠餅。崇信檠茶。直下便見。擬思	淺 草 易 為 長 蘆 天 王 惠 餅 崇 信 檠 茶 直 下 便 見 擬 思 
X65n1279_001:0104a19	即差。德山吹滅紙燭於龍潭。正是截流。雪峰胷襟流	即 差 德 山 吹 滅 紙 燭 於 龍 潭 正 是 截 流 雪 峰 胷 襟 流 
X65n1279_001:0104a20	出於巖頭。豈非函葢。所以韶陽霎時折足於睦州門	出 於 巖 頭 豈 非 函 葢 所 以 韶 陽 霎 時 折 足 於 睦 州 門 
