T85n2845_001:1297a03	押座文類	押 座 文 類 
T85n2845_001:1297b26	聽聞微妙法　萬劫身中惡業消	聽 聞 微 妙 法 萬 劫 身 中 惡 業 消 
T85n2845_001:1297b27	輪王髻寶此時逢　窮子衣珠今日得　十法	輪 王 髻 寶 此 時 逢 窮 子 衣 珠 今 日 得 十 法 
T85n2845_001:1297b28	行中行一行　六千功德用嚴身	行 中 行 一 行 六 千 功 德 用 嚴 身 
T85n2845_001:1297b29	既能來至道場中　定是願聞微妙法　樂者	既 能 來 至 道 場 中 定 是 願 聞 微 妙 法 樂 者 
T85n2845_001:1297b30	一心合掌著　經題名字唱來	一心合掌 著 經 題 名 字 唱 來 
T85n2845_001:1297b31	今朝法師說其真　坐下聽眾莫因修　念佛	今 朝 法 師 說 其 真 坐 下 聽 眾 莫 因 修 念 佛 
T85n2845_001:1297b32	急手歸舍去　遲歸家中阿婆嗔	急 手 歸 舍 去 遲 歸 家 中 阿 婆 嗔 
T85n2845_001:1297c02	八指押坐文	八 指 押 坐 文 
T85n2845_001:1297c03	始從兜率降人間　先向王宮示生相　九龍	始 從 兜 率 降 人 間 先 向 王 宮 示 生 相 九 龍 
T85n2845_001:1297c04	齊嗢香和水　爭洛蓮花葉上身	齊 嗢 香 和 水 爭 洛 蓮 花 葉 上 身 
T85n2845_001:1297c05	聖主摩耶往後薗　頻妃婇女走樂喧　魚透	聖 主 摩 耶 往 後 薗 頻 妃 婇 女 走 樂 喧 魚 透 
T85n2845_001:1297c06	碧波堪賞翫　無憂花色最宜觀	碧 波 堪 賞 翫 無 憂 花 色 最 宜 觀 
T85n2845_001:1297c07	無憂花樹葉敷榮　夫人彼中縵步行　舉手	無 憂 花 樹 葉 敷 榮 夫 人 彼 中 縵 步 行 舉 手 
T85n2845_001:1297c08	或攀枝餘葉　釋迦聖主神中生	或 攀 枝 餘 葉 釋 迦 聖 主 神 中 生 
T85n2845_001:1297c09	釋迦慈父降生來　還從左脇出身胎　九龍	釋 迦 慈 父 降 生 來 還 從 左 脇 出 身 胎 九 龍 
T85n2845_001:1297c10	灑水早是祓　千輪足下有瑞蓮	灑 水 早 是 祓 千 輪 足 下 有 瑞 蓮 
T85n2845_001:1297c11	阿斯陀仙啟大王　太子瑞應□貞祥　不是	阿 斯 陀 仙 啟 大 王 太 子 瑞 應 貞 祥 不 是 
T85n2845_001:1297c12	尋常等閑事　必作箇菩提大法王	尋 常 等 閑 事 必 作 箇 菩 提 大 法 王 
T85n2845_001:1297c13	前生與殿下結良緣　賤妾如今豈敢專　是	前 生 與 殿 下 結 良 緣 賤 妾 如 今 豈 敢 專 是 
T85n2845_001:1297c14	日耶輸再三請　太子當時脫指環	日 耶 輸 再 三 請 太 子 當 時 脫 指 環 
T85n2845_001:1297c15	長曳不戀世榮華　厭患深宮為太子　捨却	長 曳 不 戀 世 榮 華 厭 患 深 宮 為 太 子 捨 却 
T85n2845_001:1297c16	金輪七寶位　夜半逾城願出家	金 輪 七 寶 位 夜 半 逾 城 願 出 家 
T85n2845_001:1297c17	六年苦行在山中　鳥獸同居為伴侶　長飢	六 年 苦 行 在 山 中 鳥 獸 同 居 為 伴 侶 長 飢 
T85n2845_001:1297c18	不食真修飯　麻麥將來便短終	不 食 真 修 飯 麻 麥 將 來 便 短 終 
T85n2845_001:1297c19	得證菩提樹下身　降伏眾魔成正覺　鷲領	得 證 菩提樹下 身 降 伏 眾 魔 成 正 覺 鷲 領 
T85n2845_001:1297c20	峯頭放毫相　鹿苑初度五俱輪	峯 頭 放 毫 相 鹿 苑 初 度 五 俱 輪 
T85n2845_001:1297c21	先開有教益群情　次說空宗令悟解　後向	先 開 有 教 益 群 情 次 說 空 宗 令 悟 解 後 向 
T85n2845_001:1297c22	靈山談妙法　益今利後不思議　(今晨擬說此甚深經。唯	靈 山 談 妙 法 益 今 利 後 不 思 議 今 晨 擬 說 此 甚 深 經 唯 
T85n2845_001:1297c23	願慈悲來至此聽眾聞經願罪滅消)	願 慈 悲 來 至 此 聽 眾 聞 經 願 罪 滅 消 
T85n2845_001:1297c24	就中地是悲哀。暫到成南便不迴。侵晨行早	就 中 地 是 悲 哀 暫 到 成 南 便 不 迴 侵 晨 行 早 
T85n2845_001:1297c25	尋沙逕。博暮休程傍求糧。憶兒母子應長料。	尋 沙 逕 博 暮 休 程 傍 求 糧 憶 兒 母 子 應 長 料 
T85n2845_001:1297c26	應須會裏見如來。今日講經功德行。願因蓬	應 須 會 裏 見 如 來 今 日 講 經 功 德 行 願 因 蓬 
T85n2845_001:1297c27	便早歸來。就中此地是別離。每夜唯聞處處	便 早 歸 來 就 中 此 地 是 別 離 每 夜 唯 聞 處 處 
T85n2845_001:1297c28	悲。借問因何懷悵惆。昨朝強賊捉余兒。孤貧	悲 借 問 因 何 懷 悵 惆 昨 朝 強 賊 捉 余 兒 孤 貧 
T85n2845_001:1297c29	臨老遭如此。啟告黃天願照之。儻令母子重	臨 老 遭 如 此 啟 告 黃 天 願 照 之 儻 令 母 子 重 
T85n2845_001:1298a01	相見。由如枯樹再生枝。弟子布施一索分難	相 見 由 如 枯 樹 再 生 枝 弟 子 布 施 一 索 分 難 
T85n2845_001:1298a02	之時。願平美陪兒早出來久住令賤。	之 時 願 平 美 陪 兒 早 出 來 久 住 令 賤 
T85n2845_001:1298a03	此方日沒西方照。莫道西沈日便無。此方入	此 方 日 沒 西 方 照 莫 道 西 沈 日 便 無 此 方 入 
T85n2845_001:1298a04	滅化餘方。莫道世尊真滅度。譬如長天有月	滅 化 餘 方 莫 道 世 尊 真 滅 度 譬 如 長 天 有 月 
T85n2845_001:1298a05	被浮云障翳不出來。身中有佛性甚分明。被	被 浮 云 障 翳 不 出 來 身 中 有 佛 性 甚 分 明 被 
T85n2845_001:1298a06	業障覆藏都不現。欲長空月現先須要假細	業 障 覆 藏 都 不 現 欲 長 空 月 現 先 須 要 假 細 
T85n2845_001:1298a07	狂風。欲得身中佛性明事須懃聽大乘。從纔	狂 風 欲 得 身 中 佛 性 明 事 須 懃 聽 大 乘 從 纔 
T85n2845_001:1298a08	云被狂風吹散去。月影長空便出來。在聽甚	云 被 狂 風 吹 散 去 月 影 長 空 便 出 來 在 聽 甚 
T85n2845_001:1298a09	深微妙法。身中佛性甚分明。一沾兩沾二沾	深 微 妙 法 身 中 佛 性 甚 分 明 一 沾 兩 沾 二 沾 
T85n2845_001:1298a10	雨。滅却衢中多少塵。一句兩句大乘經。滅却	雨 滅 却 衢 中 多 少 塵 一 句 兩 句 大 乘 經 滅 却 
T85n2845_001:1298a11	身中多少罪。我擬請佛恐人坐。多時便擬說	身 中 多 少 罪 我 擬 請 佛 恐 人 坐 多 時 便 擬 說 
T85n2845_001:1298a12	經。願不願者檢心掌待。	經 願 不 願 者 檢 心 掌 待 
T85n2845_001:1298a13	西方還有白銀臺。四眾聽法心總開。願聞法	西 方 還 有 白 銀 臺 四 眾 聽 法 心 總 開 願 聞 法 
T85n2845_001:1298a14	者合掌著。都講經題唱將來。	者 合 掌 著 都 講 經 題 唱 將 來 
T85n2845_001:1298a16	溫室經講唱押座文	溫 室 經 講 唱 押 座 文 
T85n2845_001:1298a17	頂禮上方大覺尊。歸命難思清淨眾。四智三	頂 禮 上 方 大 覺 尊 歸 命 難 思 清 淨 眾 四 智 三 
T85n2845_001:1298a18	身隨眾願。慈悲丈六釋迦文。百千萬劫作輪	身 隨 眾 願 慈 悲 丈 六 釋 迦 文 百千萬劫 作 輪 
T85n2845_001:1298a19	王。不樂王宮恩愛事。捨命捨身千萬劫。直至	王 不 樂 王 宮 恩 愛 事 捨 命 捨 身 千 萬 劫 直 至 
T85n2845_001:1298a20	今身證菩提。生死海中久沈淪。不覺不知業	今 身 證 菩 提 生 死 海 中 久 沈 淪 不 覺 不 知 業 
T85n2845_001:1298a21	力引。垢障消除今覩佛。光照三千世界中。毘	力 引 垢 障 消 除 今 覩 佛 光 照 三千世界 中 毘 
T85n2845_001:1298a22	耶離國有菴園。奈女還生奈花中。寶樹枝條	耶 離 國 有 菴 園 奈 女 還 生 奈 花 中 寶 樹 枝 條 
T85n2845_001:1298a23	光色好。非凡非聖化生身。祇域還從奈女生。	光 色 好 非 凡 非 聖 化 生 身 祇 域 還 從 奈 女 生 
T85n2845_001:1298a24	妙通法術救眾生。能療眾病一切差。國稱之	妙 通 法 術 救 眾 生 能 療 眾 病 一 切 差 國 稱 之 
T85n2845_001:1298a25	寶大醫王。父號祇婆慈慜賢。下針之疾立輕	寶 大 醫 王 父 號 祇 婆 慈 慜 賢 下 針 之 疾 立 輕 
T85n2845_001:1298a26	便。名高八國為長者。迴喪起死閻浮中。祇域	便 名 高 八 國 為 長 者 迴 喪 起 死 閻 浮 中 祇 域 
T85n2845_001:1298a27	思念牟尼尊。明□勅家俱詣佛。直到靈山法	思 念 牟 尼 尊 明 勅 家 俱 詣 佛 直 到 靈 山 法 
T85n2845_001:1298a28	會上。請佛沐浴及凡僧。佛說七物各有功。不	會 上 請 佛 沐 浴 及 凡 僧 佛 說 七 物 各 有 功 不 
T85n2845_001:1298a29	□祈願浴法身。香湯能淨凡聖眾。功德無量	 祈 願 浴 法 身 香 湯 能 淨 凡 聖 眾 功 德 無 量 
T85n2845_001:1298b01	滿願中。今晨擬說甚深文。唯願慈悲來至此。	滿 願 中 今 晨 擬 說 甚 深 文 唯 願 慈 悲 來 至 此 
T85n2845_001:1298b02	聽眾聞經罪消滅。總證菩提法寶身。閻浮濁	聽 眾 聞 經 罪 消 滅 總 證 菩 提 法 寶 身 閻 浮 濁 
T85n2845_001:1298b03	惡實堪悲。老病終朝長似醉。已捨喧求出離。	惡 實 堪 悲 老 病 終 朝 長 似 醉 已 捨 喧 求 出 離 
T85n2845_001:1298b04	端坐聽經能不能。能者虔恭合掌著。經題名	端 坐 聽 經 能 不 能 能 者 虔 恭 合 掌 著 經 題 名 
