T46n1942_001:0955c10	法華三昧行事運想補助儀	法華三昧 行 事 運 想 補 助 儀 
T46n1942_001:0956a14	慚愧。生大怖畏。發露懺悔斷相續心。發菩提心斷惡修善。勤策三業翻昔重過。隨喜凡聖一毫之善。念十	慚 愧 生 大 怖 畏 發 露 懺 悔 斷 相 續 心 發菩提心 斷 惡 修 善 勤 策 三 業 翻 昔 重 過 隨 喜 凡 聖 一 毫 之 善 念 十 
T46n1942_001:0956a15	方佛有大福慧。能救拔我及諸眾生從二死海置三德岸。從無始來不知諸法本性空寂。廣造眾惡。今知空寂為	方 佛 有 大 福 慧 能 救 拔 我 及 諸 眾 生 從 二 死 海 置 三 德 岸 從無始來 不 知 諸 法 本 性 空 寂 廣 造 眾 惡 今 知 空 寂 為 
T46n1942_001:0956a16	求菩提。為眾生故。廣修諸善遍斷眾惡。惟願普賢慈悲攝受)。次懺六根(至文並須略知。文相	求 菩 提 為 眾 生 故 廣 修 諸 善 遍 斷 眾 惡 惟 願 普 賢 慈 悲 攝 受 次 懺 六 根 至 文 並 須 略 知 文 相 
T46n1942_001:0956a17	含於逆順十種心相縱有闕略。在四悔中於菩提中見不清淨等。是橫計我人。毘盧遮那是觀罪性空。一切世	含 於 逆 順 十 種 心 相 縱 有 闕 略 在 四 悔 中 於 菩 提 中 見 不 清 淨 等 是 橫 計 我 人 毘 盧 遮 那 是 觀 罪 性 空 一 切 世 
T46n1942_001:0956a18	尊是念十方佛。後四悔中有發隨喜心。以是因緣令畢竟清淨。是斷相續心歸向普賢及一切世尊。是為眾生	尊 是 念 十 方 佛 後 四 悔 中 有 發 隨 喜 心 以是因緣 令 畢 竟 清 淨 是 斷 相 續 心 歸 向 普 賢 及 一 切 世 尊 是 為 眾 生 
T46n1942_001:0956a19	發菩提心。一一悔文皆具三業。是修功補過等說過等。是發露過失。當墮惡道生大怖畏等。是怖畏惡道及生	發菩提心 一 一 悔 文 皆 具 三 業 是 修 功 補 過 等 說 過 等 是 發 露 過 失 當 墮 惡 道 生 大 怖 畏 等 是 怖 畏 惡 道 及 生 
T46n1942_001:0956a20	慚愧。信因果等。凡宣悔詞須加事想破於愛心。至觀罪性空總想事理悔於見心。若欲更略眼耳鼻三根。亦	慚 愧 信 因 果 等 凡 宣 悔 詞 須 加 事 想 破 於 愛 心 至 觀 罪 性 空 總 想 事 理 悔 於 見 心 若 欲 更 略 眼 耳 鼻 三 根 亦 
T46n1942_001:0956a21	可或時用。若舌身意三根是業故不得。全略前三根縱略。並使不失。逆順十心大意即得)。勸請	可 或 時 用 若 舌 身 意 三 根 是 業 故 不 得 全 略 前 三 根 縱 略 並 使 不 失 逆 順 十 心 大 意 即 得 勸 請 
T46n1942_001:0956a22	(十方諸佛以道眼力故知我見我。勸請諸佛。唯願久住轉正法輪。所在生處常能勸請)。隨喜(十方	 十方諸佛 以 道 眼 力 故 知 我 見 我 勸 請 諸 佛 唯 願 久 住 轉正法輪 所 在 生 處 常 能 勸 請 隨 喜 十 方 
T46n1942_001:0956a23	凡聖一毫之善。我皆隨喜。福德能令見者生喜。是故我喜)。迴向(無始來時乃至今日盡未來際	凡 聖 一 毫 之 善 我 皆 隨 喜 福 德 能 令 見 者 生 喜 是 故 我 喜 迴 向 無 始 來 時 乃 至 今 日 盡未來際 
T46n1942_001:0956a24	一毫之善。及以懺悔勸請隨喜。皆同法界與諸眾生共成佛道)。發願(大體須存滅罪除障開顯法門	一 毫 之 善 及 以 懺 悔 勸 請 隨 喜 皆 同 法 界 與 諸 眾 生 共 成 佛 道 發 願 大 體 須 存 滅 罪 除 障 開 顯 法 門 
T46n1942_001:0956b01	滿四弘誓。餘者皆須順於菩提)。行道(欲行時更須正立想。此道場猶如法界。十方三寶畟塞虛	滿 四 弘 誓 餘 者 皆 須 順 於 菩 提 行 道 欲 行 時 更 須 正 立 想 此 道 場 猶 如 法 界 十 方 三 寶 畟 塞 虛 
T46n1942_001:0956b02	空。以次回身旋遶法座想十方三寶心性寂滅。影現十方經聲如響。心想如夢梵聲亦然)。三歸	空 以 次 回 身 旋 遶 法 座 想 十 方 三 寶 心 性 寂 滅 影 現 十 方 經 聲 如 響 心 想 如 夢 梵 聲 亦 然 三 歸 
T46n1942_001:0956b03	(一一各想三處三寶與頂禮俱運。初文雖即直云十方。意亦兼於三處。若從懺悔已下凡云禮三寶者。皆須一	 一 一 各 想 三 處 三 寶 與 頂 禮 俱 運 初 文 雖 即 直 云 十 方 意 亦 兼 於 三 處 若 從 懺 悔 已 下 凡 云 禮 三 寶 者 皆 須 一 
T46n1942_001:0956b04	一別起三想。頭三叩地。一十方三寶。二法華經中一切三寶。三普賢大師。對此三處求懺悔等。又凡散華	一 別 起 三 想 頭 三 叩 地 一 十 方 三 寶 二 法 華 經 中 一 切 三 寶 三 普 賢 大 師 對 此 三 處 求 懺 悔 等 又 凡 散 華 
T46n1942_001:0956b05	皆於言前散華之時。想三寶及普賢上想已。次宣懺悔等詞。至後文中云。散華等者心指前所散之華。若焚	皆 於 言 前 散 華 之 時 想 三 寶 及 普 賢 上 想 已 次 宣 懺 悔 等 詞 至 後 文 中 云 散 華 等 者 心 指 前 所 散 之 華 若 焚 
T46n1942_001:0956b06	香者送法座爐。亦應想身各送爐。遍至十方一一法華經前乃至普熏一切三寶。若焚手爐但先添香。次執爐	香 者 送 法 座 爐 亦 應 想 身 各 送 爐 遍 至 十 方 一 一 法 華 經 前 乃 至 普 熏 一 切 三 寶 若 焚 手 爐 但 先 添 香 次 執 爐 
T46n1942_001:0956b07	已隨事起想。然後口宣詞句)。	已 隨 事 起 想 然 後 口 宣 詞 句 
T46n1942_001:0956b08	坐禪文略。應如止觀十法成乘等。行法華懺	坐 禪 文 略 應 如 止 觀 十 法 成 乘 等 行 法 華 懺 
T46n1942_001:0956b09	黃昏五更。時促則此略文。我(某甲)及法界眾生	黃 昏 五 更 時 促 則 此 略 文 我 某 甲 及 法 界 眾 生 
T46n1942_001:0956b10	從無始世來。無明所覆顛倒迷惑。而由六根	從無始世 來 無 明 所 覆 顛 倒 迷 惑 而 由 六 根 
T46n1942_001:0956b11	三業不善廣造十惡四重五逆。乃至十重四	三 業 不 善 廣 造 十 惡 四 重 五 逆 乃 至 十 重 四 
T46n1942_001:0956b12	十八輕。無量無邊說不可盡。十方諸佛常在	十 八 輕 無量無邊 說 不 可 盡 十方諸佛 常 在 
T46n1942_001:0956b13	世間法音不絕。妙香充塞法味盈空。放淨光	世 間 法 音 不 絕 妙 香 充 塞 法 味 盈 空 放 淨 光 
T46n1942_001:0956b14	明照觸一切。常住妙理遍滿虛空。我無始來	明 照 觸 一 切 常 住 妙 理 遍 滿 虛 空 我 無 始 來 
T46n1942_001:0956b15	六根內盲三業昏暗。不見不聞不覺不知。以	六 根 內 盲 三 業 昏 暗 不 見 不 聞 不 覺 不 知 以 
T46n1942_001:0956b16	是因緣長流生死。經歷惡道百千萬劫。永無	是 因 緣 長 流 生 死 經 歷 惡 道 百千萬劫 永 無 
T46n1942_001:0956b17	出期。經云。釋迦如來名毘盧遮那遍一切處。	出 期 經 云 釋 迦 如 來 名 毘 盧 遮 那 遍 一 切 處 
T46n1942_001:0956b18	是故當知。一切諸法無非佛法。而我不了隨	是故當知 一切諸法 無 非 佛 法 而 我 不 了 隨 
T46n1942_001:0956b19	無明流。是則於菩提中見不清淨。於解脫中	無 明 流 是 則 於 菩 提 中 見 不 清 淨 於 解 脫 中 
T46n1942_001:0956b20	而起纏縛。今始覺悟今始改悔。生大慚愧生	而 起 纏 縛 今 始 覺 悟 今 始 改 悔 生 大 慚 愧 生 
T46n1942_001:0956b21	大怖畏。誦持大乘三業供養。歸向普賢菩薩	大 怖 畏 誦 持 大 乘 三 業 供 養 歸 向 普 賢 菩 薩 
T46n1942_001:0956b22	及一切世尊。燒香散華發露懺悔。六根三業	及 一 切 世 尊 燒 香 散 華 發 露 懺 悔 六 根 三 業 
T46n1942_001:0956b23	所作永斷。相續不復更造。以是因緣今我與	所 作 永 斷 相 續 不 復 更 造 以是因緣 今 我 與 
T46n1942_001:0956b24	法界眾生三業六根無始所作。現作當作自	法 界 眾 生 三 業 六 根 無 始 所 作 現 作 當 作 自 
T46n1942_001:0956b25	作教他見聞隨喜。若憶不憶若識不識。若疑	作 教 他 見 聞 隨 喜 若 憶 不 憶 若 識 不 識 若 疑 
T46n1942_001:0956b26	不疑若覆若露。畢竟清淨(懺悔已歸命禮三寶)。	不 疑 若 覆 若 露 畢 竟 清 淨 懺 悔 已 歸 命 禮 三 寶 
T46n1942_001:0956b27	法華三昧行事運想補助儀	法華三昧 行 事 運 想 補 助 儀 
