X32n0615_001:0001a03	妙法蓮華經綸貫	妙法蓮華 經 綸 貫 
X32n0615_001:0001b05	第五法華時於化儀為會漸歸頓亦名非頓非漸譬	第 五 法 華 時 於 化 儀 為 會 漸 歸 頓 亦 名 非 頓 非 漸 譬 
X32n0615_001:0001b06	如日輪當午大地普照罄無側影又如從熟酥出醍	如 日 輪 當 午 大 地 普 照 罄 無 側 影 又 如 從 熟 酥 出 醍 
X32n0615_001:0001b07	醐于化法為純圓無有一人不得作佛出世本懷于	醐 于 化 法 為 純 圓 無 有 一 人 不 得 作 佛 出 世 本 懷 于 
X32n0615_001:0001b08	茲始暢舉凡如來化度眾生之方便施設教網之弘	茲 始 暢 舉 凡 如 來 化 度 眾 生 之 方 便 施 設 教 網 之 弘 
X32n0615_001:0001b09	綱咸于此經開發顯示所以獨名為妙至於涅槃扶	綱 咸 于 此 經 開 發 顯 示 所 以 獨 名 為 妙 至 於 涅 槃 扶 
X32n0615_001:0001b10	律談常不過曲為末世鈍根重施方便令同會真實	律 談 常 不 過 曲 為 末 世 鈍 根 重 施 方 便 令 同 會 真 實 
X32n0615_001:0001b11	耳其秘密不定二種化儀徧在前之四時惟法華是	耳 其 秘 密 不 定 二 種 化 儀 徧 在 前 之 四 時 惟 法 華 是 
X32n0615_001:0001b12	顯露非秘密是決定非不定也此經靈山演說凡有	顯 露 非 秘 密 是 決 定 非 不 定 也 此 經 靈 山 演 說 凡 有 
X32n0615_001:0001b13	八年貝葉傳持積至八里流入震旦者凡有三譯今	八 年 貝 葉 傳 持 積 至 八 里 流 入 震 旦 者 凡 有 三 譯 今 
X32n0615_001:0001b14	鳩摩羅什所譯共七卷二十八品自古註家紛紛不	鳩 摩 羅 什 所 譯 共 七 卷 二 十 八 品 自 古 註 家 紛 紛 不 
X32n0615_001:0001b15	一或簡或繁莫得真要惟天台智者大師初見南嶽	一 或 簡 或 繁 莫 得 真 要 惟 天 台 智 者 大 師 初 見 南 嶽 
X32n0615_001:0001b16	慧思大師于光州大蘇山思授以普賢道場令修法	慧 思 大 師 于 光 州 大 蘇 山 思 授 以 普 賢 道 場 令 修 法 
X32n0615_001:0001b17	華三昧誦經至藥王菩薩本事品是真精進是名真	華 三 昧 誦 經 至 藥 王 菩 薩 本 事 品 是 真 精 進 是 名 真 
X32n0615_001:0001b18	法供養如來豁然大悟寂而入定親見靈山一會儼	法 供養如來 豁 然 大 悟 寂 而 入 定 親 見 靈 山 一 會 儼 
X32n0615_001:0001b19	然未散獲一旋陀羅尼自是以後照了法華如曦和	然 未 散 獲 一 旋陀羅尼 自 是 以 後 照 了 法 華 如 曦 和 
X32n0615_001:0001b20	之臨萬象達諸法相似清風之遊太虗遂以五重玄	之 臨 萬 象 達 諸 法 相 似 清 風 之 遊 太 虗 遂 以 五 重 玄 
X32n0615_001:0001b21	義解釋總題章安尊者記成玄義十卷復以四意消	義 解 釋 總 題 章 安 尊 者 記 成 玄 義 十 卷 復 以 四 意 消 
X32n0615_001:0001b22	釋經文章安尊者記成文句十卷言五重玄義者一	釋 經 文 章 安 尊 者 記 成 文 句 十 卷 言 五 重 玄 義 者 一 
X32n0615_001:0001b23	法喻為名二實相為體三一乘因果為宗四斷疑生	法 喻 為 名 二 實 相 為 體 三 一 乘 因 果 為 宗 四 斷 疑 生 
X32n0615_001:0001b24	信為用五無上醍醐為教相也言四意消文者一因	信 為 用 五 無 上 醍 醐 為 教 相 也 言 四 意 消 文 者 一 因 
X32n0615_001:0001c01	緣二約教三本迹四觀心也消文浩博未暇委悉。	緣 二 約 教 三 本 迹 四 觀 心 也 消 文 浩 博 未 暇 委 悉 
X32n0615_001:0001c02	今略出五重玄義一法喻為名者妙法二字謂之法	今 略 出 五 重 玄 義 一 法 喻 為 名 者 妙 法 二 字 謂 之 法 
X32n0615_001:0001c03	蓮華二字謂之喻法者略而言之眾生法佛法心法	蓮 華 二 字 謂 之 喻 法 者 略 而 言 之 眾 生 法 佛 法 心 法 
X32n0615_001:0001c04	也妙者略而言之相待妙絕待妙也經云為令眾生	也 妙 者 略 而 言 之 相 待 妙 絕 待 妙 也 經 云 為 令 眾 生 
X32n0615_001:0001c05	開示悟入佛之知見若眾生無佛知見何所論開當	開 示 悟 入 佛 之 知 見 若 眾 生 無 佛 知 見 何 所 論 開 當 
X32n0615_001:0001c06	知佛之知見蘊在眾生故眾生法妙也佛法不出權	知 佛 之 知 見 蘊 在 眾 生 故 眾 生 法 妙 也 佛 法 不 出 權 
X32n0615_001:0001c07	實經云是法甚深妙難見難可了一切眾生類無能	實 經 云 是 法 甚 深 妙 難 見 難 可 了 一 切 眾 生 類 無 能 
X32n0615_001:0001c08	知佛者即是歎實智妙又云及佛諸餘法亦無能測	知 佛 者 即 是 歎 實 智 妙 又 云 及 佛 諸 餘 法 亦 無 能 測 
X32n0615_001:0001c09	者即是歎權智妙惟佛與佛乃能究盡諸法實相諸	者 即 是 歎 權 智 妙 惟 佛 與 佛 乃 能 究 盡 諸法實相 諸 
X32n0615_001:0001c10	法是即實之權實相是即權之實故佛法妙也安樂	法 是 即 實 之 權 實 相 是 即 權 之 實 故 佛 法 妙 也 安 樂 
X32n0615_001:0001c11	行品云修攝其心觀一切法不動不退普賢觀云我	行 品 云 修 攝 其 心 觀 一 切 法 不 動 不 退 普 賢 觀 云 我 
X32n0615_001:0001c12	心自空罪福無主觀心無心法不住法淨名云觀身	心 自 空 罪 福 無 主 觀 心 無 心 法 不 住 法 淨 名 云 觀 身 
X32n0615_001:0001c13	實相觀佛亦然諸佛解脫當于眾生心行中求華嚴	實 相 觀 佛 亦 然 諸 佛 解 脫 當 于 眾 生 心 行 中 求 華 嚴 
X32n0615_001:0001c14	云心佛及眾生是三無差別故心法妙也相待妙者	云 心 佛 及 眾 生 是 三無差別 故 心 法 妙 也 相 待 妙 者 
X32n0615_001:0001c15	待半字為麤明滿字為妙三藏但半字生滅門不能	待 半 字 為 麤 明 滿 字 為 妙 三 藏 但 半 字 生 滅 門 不 能 
X32n0615_001:0001c16	通滿理故麤滿字是不生不滅門能通滿理故妙又	通 滿 理 故 麤 滿 字 是 不生不滅 門 能 通 滿 理 故 妙 又 
X32n0615_001:0001c17	方等般若帶方便通滿理故麤今經直顯滿理故妙	方 等 般 若 帶 方 便 通 滿 理 故 麤 今 經 直 顯 滿 理 故 妙 
X32n0615_001:0001c18	絕待妙者說無分別法即邊而中無非佛法亡泯清	絕 待 妙 者 說 無分別法 即 邊 而 中 無 非 佛 法 亡 泯 清 
X32n0615_001:0001c19	淨無復有法可相形比待誰為麤形誰為妙無所可	淨 無 復 有 法 可 相 形 比 待 誰 為 麤 形 誰 為 妙 無 所 可 
X32n0615_001:0001c20	待亦無可絕不知何名強言為絕妙名不可思議不	待 亦 無 可 絕 不 知 何 名 強 言 為 絕 妙 名 不可思議 不 
X32n0615_001:0001c21	因乎麤而名為妙若謂獨有法界廣大獨絕者此則	因 乎 麤 而 名 為 妙 若 謂 獨 有 法 界 廣 大 獨 絕 者 此 則 
X32n0615_001:0001c22	大有所有何謂為絕今法界清淨不可以待示不可	大 有 所 有 何 謂 為 絕 今 法 界 清 淨 不 可 以 待 示 不 可 
X32n0615_001:0001c23	以絕示滅待滅絕故言寂滅用是兩妙妙上三法眾	以 絕 示 滅 待 滅 絕 故 言 寂 滅 用 是 兩 妙 妙 上 三 法 眾 
X32n0615_001:0001c24	生之法亦具二妙佛法心法亦具二妙故稱妙法又	生 之 法 亦 具 二 妙 佛 法 心 法 亦 具 二 妙 故 稱 妙 法 又 
X32n0615_001:0002a01	廣釋妙者有迹門十妙本門十妙觀心十妙迹門十	廣 釋 妙 者 有 迹 門 十 妙 本 門 十 妙 觀 心 十 妙 迹 門 十 
X32n0615_001:0002a02	妙者一境妙二智妙三行妙四位妙五三法妙六感	妙 者 一 境 妙 二 智 妙 三 行 妙 四 位 妙 五 三 法 妙 六 感 
X32n0615_001:0002a03	應妙七神通妙八說法妙九眷屬妙十功德利益妙	應 妙 七 神 通 妙 八 說 法 妙 九 眷 屬 妙 十 功德利益 妙 
X32n0615_001:0002a04	實相之境非佛天人所作本自有之非適今也故居	實 相 之 境 非 佛 天 人 所 作 本 自 有 之 非 適 今 也 故 居 
X32n0615_001:0002a05	最初迷理故起惑解理故生智智為行本因于智目	最 初 迷 理 故 起 惑 解 理 故 生 智 智 為 行 本 因 于 智 目 
X32n0615_001:0002a06	起于行足目足及境三法為乘乘于是乘入清涼池	起 于 行 足 目 足 及 境 三 法 為 乘 乘 于 是 乘 入 清 涼 池 
X32n0615_001:0002a07	登於諸位位何所住住于三法秘密藏中住是法已	登 於 諸 位 位 何 所 住 住 于 三 法 秘 密 藏 中 住 是 法 已 
X32n0615_001:0002a08	寂而常照照十界機機來必應若赴機垂應先用身	寂 而 常 照 照 十 界 機 機 來 必 應 若 赴 機 垂 應 先 用 身 
X32n0615_001:0002a09	輪神通駭動次以口輪宣示開導既霑法雨稟教受	輪 神 通 駭 動 次 以 口 輪 宣 示 開 導 既 霑 法 雨 稟 教 受 
X32n0615_001:0002a10	道成法眷屬拔生死本開佛知見得大利益前五約	道 成 法 眷 屬 拔 生 死 本 開 佛 知 見 得 大 利 益 前 五 約 
X32n0615_001:0002a11	自行因果具足後五約化他能所具足經云惟佛與	自 行 因 果 具 足 後 五 約 化 他 能 所 具 足 經 云 惟 佛 與 
X32n0615_001:0002a12	佛乃能究盡諸法實相所謂諸法如是相如是性如	佛 乃 能 究 盡 諸法實相 所 謂 諸 法 如 是 相 如 是 性 如 
X32n0615_001:0002a13	是體如是力如是作如是因如是緣如是果如是報	是 體 如 是 力 如 是 作 如 是 因 如 是 緣 如 是 果 如 是 報 
X32n0615_001:0002a14	如是本末究竟等即境妙也我所得智慧微妙最第	如 是 本 末 究 竟 等 即 境 妙 也 我 所 得 智 慧 微 妙 最 第 
X32n0615_001:0002a15	一以此妙慧求無上道即智妙也本從無數佛具足	一 以 此 妙 慧 求 無 上 道 即 智 妙 也 本 從 無 數 佛 具 足 
X32n0615_001:0002a16	行諸道行此諸道已道場得成果佛子行道已來世	行 諸 道 行 此 諸 道 已 道 場 得 成 果 佛 子 行 道 已 來 世 
X32n0615_001:0002a17	得作佛即行妙也天雨四華表住行向地開示悟入	得 作 佛 即 行 妙 也 天 雨 四 華 表 住 行 向 地 開 示 悟 入 
X32n0615_001:0002a18	亦是位義乘是寶乘遊於四方直至道場四方是因	亦 是 位 義 乘 是 寶 乘 遊 於 四 方 直 至 道 場 四 方 是 因 
X32n0615_001:0002a19	位道場是果位即位妙也佛自住大乘如其所得法	位 道 場 是 果 位 即 位 妙 也 佛 自 住 大 乘 如 其 所 得 法 
X32n0615_001:0002a20	定慧力莊嚴大乘即真性軌定即資成軌慧即觀照	定 慧 力 莊 嚴 大 乘 即 真 性 軌 定 即 資 成 軌 慧 即 觀 照 
X32n0615_001:0002a21	軌是三法妙也于三七日中思惟如是事我以佛眼	軌 是 三 法 妙 也 于 三 七 日 中 思 惟 如 是 事 我 以 佛 眼 
X32n0615_001:0002a22	觀見六道眾生等即感應妙也入定雨華動地放光	觀 見 六 道 眾 生 等 即 感 應 妙 也 入 定 雨 華 動 地 放 光 
X32n0615_001:0002a23	等即神通妙也其所說法皆悉到于一切智地已今	等 即 神 通 妙 也 其 所 說 法 皆 悉 到 于 一切智地 已 今 
X32n0615_001:0002a24	當說最為難信難解等即說法妙也但教化菩薩無	當 說 最 為 難 信 難 解 等 即 說 法 妙 也 但 教 化 菩 薩 無 
X32n0615_001:0002b01	聲聞弟子即眷屬妙也現在未來若聞一句一偈我	聲聞弟子 即 眷 屬 妙 也 現在未來 若 聞 一 句 一 偈 我 
X32n0615_001:0002b02	皆與授阿耨多羅三藐三菩提記須臾聞之即得究	皆 與 授 阿耨多羅三藐三菩提 記 須 臾 聞 之 即 得 究 
X32n0615_001:0002b03	竟三菩提不令一人獨得滅度皆以如來滅度而滅	竟 三 菩 提 不 令 一 人 獨 得 滅 度 皆 以 如 來 滅 度 而 滅 
X32n0615_001:0002b04	度之即功德利益妙也本門十妙者一本因妙二本	度 之 即 功德利益 妙 也 本 門 十 妙 者 一 本 因 妙 二 本 
X32n0615_001:0002b05	果妙三本國土妙四本感應妙五本神通妙六本說	果 妙 三 本 國 土 妙 四 本 感 應 妙 五 本 神 通 妙 六 本 說 
X32n0615_001:0002b06	法妙七本眷屬妙八本涅槃妙九本壽命妙十本利	法 妙 七 本 眷 屬 妙 八 本 涅 槃 妙 九 本 壽 命 妙 十 本 利 
X32n0615_001:0002b07	益妙本因妙者本初發菩提心行菩薩道所修因也	益 妙 本 因 妙 者 本 初發菩提心 行菩薩道 所 修 因 也 
X32n0615_001:0002b08	若十六王子在大通佛時弘經結緣皆是中間所作	若 十 六 王 子 在 大 通 佛 時 弘 經 結 緣 皆 是 中 間 所 作 
X32n0615_001:0002b09	非本因也過是塵點劫前所行道者名本因妙本果	非 本 因 也 過 是 塵 點 劫 前 所 行 道 者 名 本 因 妙 本 果 
X32n0615_001:0002b10	妙者本初所行圓妙之因契得究竟常樂我淨乃是	妙 者 本 初 所 行 圓 妙 之 因 契 得 究 竟 常樂我淨 乃 是 
X32n0615_001:0002b11	本果不取寂場舍那成佛為本果也但取成佛以來	本 果 不 取 寂 場 舍 那 成 佛 為 本 果 也 但 取 成 佛 以 來 
X32n0615_001:0002b12	甚大久遠初證之果名本果妙本國土妙者本既成	甚 大 久 遠 初 證 之 果 名 本 果 妙 本 國 土 妙 者 本 既 成 
X32n0615_001:0002b13	果必有依國今既迹在同居或在三土中間亦有四	果 必 有 依 國 今 既 迹 在 同 居 或 在 三 土 中 間 亦 有 四 
X32n0615_001:0002b14	土本佛亦有四土復居何處文云自從是來我常在	土 本 佛 亦 有 四 土 復 居 何 處 文 云 自 從 是 來 我 常 在 
X32n0615_001:0002b15	此娑婆世界說法教化按此文者實非今日迹中娑	此 娑婆世界 說 法 教 化 按 此 文 者 實 非 今 日 迹 中 娑 
X32n0615_001:0002b16	婆亦非中間權迹處所乃是本之娑婆即本土妙也	婆 亦 非 中 間 權 迹 處 所 乃 是 本 之 娑 婆 即 本 土 妙 也 
X32n0615_001:0002b17	本感應者既已成果即有本時所證二十五王三昧	本 感 應 者 既 已 成 果 即 有 本 時 所 證 二 十 五 王 三 昧 
X32n0615_001:0002b18	慈悲誓願機感相關能即寂而照故言本感應也本	慈 悲 誓 願 機 感 相 關 能 即 寂 而 照 故 言 本 感 應 也 本 
X32n0615_001:0002b19	神通者亦是昔時所得無記化化禪與本因時諸慈	神 通 者 亦 是 昔 時 所 得 無 記 化 化 禪 與 本 因 時 諸 慈 
X32n0615_001:0002b20	悲合施化所作神通駭動可度眾生故言本神通也	悲 合 施 化 所 作 神 通 駭 動 可 度 眾 生 故 言 本 神 通 也 
X32n0615_001:0002b21	本說法者即是往昔初坐道場始成正覺初轉法輪	本 說 法 者 即 是 往 昔 初 坐 道 場 始 成 正 覺 初轉法輪 
X32n0615_001:0002b22	四辯所說之法名本說法也本眷屬者本時說法所	四 辯 所 說 之 法 名 本 說 法 也 本 眷 屬 者 本 時 說 法 所 
X32n0615_001:0002b23	被之人如下方住者彌勒不識即本之眷屬也本涅	被 之 人 如 下 方 住 者 彌 勒 不 識 即 本 之 眷 屬 也 本 涅 
X32n0615_001:0002b24	槃者本時所證斷德涅槃亦是本時應處同居方便	槃 者 本 時 所 證 斷 德 涅 槃 亦 是 本 時 應 處 同 居 方 便 
X32n0615_001:0002c01	二土有緣既盡唱言入滅即本涅槃也本壽命者既	二 土 有 緣 既 盡 唱 言 入 滅 即 本 涅 槃 也 本 壽 命 者 既 
X32n0615_001:0002c02	唱入滅則有長短遠近壽命也本利益者本時眷屬	唱 入 滅 則 有 長 短 遠 近 壽 命 也 本 利 益 者 本 時 眷 屬 
X32n0615_001:0002c03	所獲諸功德也觀心十妙者迹門本門皆論觀心迹	所 獲 諸 功 德 也 觀 心 十 妙 者 迹 門 本 門 皆 論 觀 心 迹 
X32n0615_001:0002c04	門觀心散在諸文本門觀心者佛如眾生如一如無	門 觀 心 散 在 諸 文 本 門 觀 心 者 佛 如 眾 生 如 一 如 無 
X32n0615_001:0002c05	二如佛既觀心得此本妙迹用廣大不可稱說我如	二 如 佛 既 觀 心 得 此 本 妙 迹 用 廣 大 不 可 稱 說 我 如 
X32n0615_001:0002c06	如佛如亦當觀心出此大利亦願我如速如佛如故	如 佛 如 亦 當 觀 心 出 此 大 利 亦 願 我 如 速 如 佛 如 故 
X32n0615_001:0002c07	文云聞佛壽無量深心須臾信其福過于彼願我於	文 云 聞 佛 壽 無 量 深 心 須 臾 信 其 福 過 于 彼 願 我 於 
X32n0615_001:0002c08	未來長壽度眾生如今日世尊諸釋中之王道場師	未 來 長 壽 度 眾 生 如 今 日 世 尊 諸 釋 中 之 王 道 場 師 
X32n0615_001:0002c09	子吼說法無所畏我等於未來一切所尊敬坐於道	子 吼 說 法 無 所 畏 我 等 於 未 來 一 切 所 尊 敬 坐 於 道 
X32n0615_001:0002c10	場時說壽亦如是此即觀心本妙得六即利益之相	場 時 說 壽 亦 如 是 此 即 觀 心 本 妙 得 六 即 利 益 之 相 
X32n0615_001:0002c11	也。	也 
X32n0615_001:0002c12	次明蓮華者譬喻妙法也華有多種或狂華無果可	次 明 蓮 華 者 譬 喻 妙 法 也 華 有 多 種 或 狂 華 無 果 可 
X32n0615_001:0002c13	喻外道空修梵行無所尅獲或一華多果可喻凡夫	喻 外 道 空 修 梵 行 無 所 尅 獲 或 一 華 多 果 可 喻 凡 夫 
X32n0615_001:0002c14	供養父母報在梵天或多華一果可喻聲聞種種苦	供 養 父 母 報 在 梵 天 或 多 華 一 果 可 喻 聲 聞 種 種 苦 
X32n0615_001:0002c15	行止得涅槃或一華一果可喻緣覺一遠離行亦得	行 止 得 涅 槃 或 一 華 一 果 可 喻 緣 覺 一 遠 離 行 亦 得 
X32n0615_001:0002c16	涅槃或前果後華可喻須陀洹却後修道或前華後	涅 槃 或 前 果 後 華 可 喻 須 陀 洹 却 後 修 道 或 前 華 後 
X32n0615_001:0002c17	果可喻菩薩先藉緣修生後真修此皆麤華不可以	果 可 喻 菩 薩 先 藉 緣 修 生 後 真 修 此 皆 麤 華 不 可 以 
X32n0615_001:0002c18	喻妙法惟此蓮華華果俱多可譬因含萬行果圓萬	喻 妙 法 惟 此 蓮 華 華 果 俱 多 可 譬 因 含 萬 行 果 圓 萬 
X32n0615_001:0002c19	德又為蓮故華華實具足可喻即實而權華開蓮現	德 又 為 蓮 故 華 華 實 具 足 可 喻 即 實 而 權 華 開 蓮 現 
X32n0615_001:0002c20	可喻即權而實華落蓮成蓮成亦落可喻非權非實	可 喻 即 權 而 實 華 落 蓮 成 蓮 成 亦 落 可 喻 非 權 非 實 
X32n0615_001:0002c21	故以蓮華喻于妙法又以此華喻迹本兩門各有三	故 以 蓮 華 喻 于 妙 法 又 以 此 華 喻 迹 本 兩 門 各 有 三 
X32n0615_001:0002c22	喻迹門三者一華生必有於蓮為蓮故華而蓮不可	喻 迹 門 三 者 一 華 生 必 有 於 蓮 為 蓮 故 華 而 蓮 不 可 
X32n0615_001:0002c23	見此譬為實施權意在於實無能知者二華開蓮現	見 此 譬 為 實 施 權 意 在 於 實 無 能 知 者 二 華 開 蓮 現 
X32n0615_001:0002c24	而須以華養蓮譬權中有實昔無人知今開權顯實	而 須 以 華 養 蓮 譬 權 中 有 實 昔 無 人 知 今 開 權 顯 實 
X32n0615_001:0003a01	意須於權廣識恒沙佛法者秖為成實使深識佛知	意 須 於 權 廣 識 恒 沙 佛 法 者 秖 為 成 實 使 深 識 佛 知 
X32n0615_001:0003a02	見耳三華落蓮成譬廢權立實唯一佛乘直至道場	見 耳 三 華 落 蓮 成 譬 廢 權 立 實 唯 一 佛 乘 直 至 道 場 
X32n0615_001:0003a03	菩薩有行見不了了但如華開諸佛以不行故見則	菩 薩 有 行 見 不 了 了 但 如 華 開 諸 佛 以 不 行 故 見 則 
X32n0615_001:0003a04	了了譬如華落蓮成也本門三者一華必有蓮譬迹	了 了 譬 如 華 落 蓮 成 也 本 門 三 者 一 華 必 有 蓮 譬 迹 
X32n0615_001:0003a05	必有本迹含于本意雖在本佛旨難知彌勒不識二	必 有 本 迹 含 于 本 意 雖 在 本 佛 旨 難 知 彌 勒 不 識 二 
X32n0615_001:0003a06	華開蓮現譬開迹顯本意在於迹能令菩薩識佛方	華 開 蓮 現 譬 開 迹 顯 本 意 在 於 迹 能 令 菩 薩 識 佛 方 
X32n0615_001:0003a07	便既識迹已還識於本增道損生三華落蓮成譬廢	便 既 識 迹 已 還 識 於 本 增 道 損 生 三 華 落 蓮 成 譬 廢 
X32n0615_001:0003a08	迹顯本既識本已不復迷迹但於法身修道圓滿上	迹 顯 本 既 識 本 已 不 復 迷 迹 但 於 法 身 修 道 圓 滿 上 
X32n0615_001:0003a09	地也又經中凡有七喻皆喻權實今以蓮華而總喻	地 也 又 經 中 凡 有 七 喻 皆 喻 權 實 今 以 蓮 華 而 總 喻 
X32n0615_001:0003a10	之七喻者一火宅中三車一車喻以三車喻權大白	之 七 喻 者 一 火 宅 中 三 車 一 車 喻 以 三 車 喻 權 大 白 
X32n0615_001:0003a11	牛車譬實二信解品中窮子喻以雇作譬權付業譬	牛 車 譬 實 二 信 解 品 中 窮 子 喻 以 雇 作 譬 權 付 業 譬 
X32n0615_001:0003a12	實三藥草喻以三草二木譬權一地譬實四化城喻	實 三 藥 草 喻 以 三 草 二 木 譬 權 一 地 譬 實 四 化 城 喻 
X32n0615_001:0003a13	以作化譬權寶處譬實五授記品繫珠喻以少有所	以 作 化 譬 權 寶 處 譬 實 五 授 記 品 繫 珠 喻 以 少 有 所 
X32n0615_001:0003a14	得譬權寶珠貿易譬實六安樂行品輪王喻以隨功	得 譬 權 寶 珠 貿 易 譬 實 六 安樂行品 輪 王 喻 以 隨 功 
X32n0615_001:0003a15	賞賜譬權解髻明珠譬實此六皆迹門開權顯實喻	賞 賜 譬 權 解 髻 明 珠 譬 實 此 六 皆 迹 門 開 權 顯 實 喻 
X32n0615_001:0003a16	也七壽量品中良醫喻以使告父死譬權來歸使見	也 七 壽 量 品 中 良 醫 喻 以 使 告 父 死 譬 權 來 歸 使 見 
X32n0615_001:0003a17	譬實此即本門開近顯遠喻也更有王饍鑿井二喻	譬 實 此 即 本 門 開近顯遠 喻 也 更 有 王 饍 鑿 井 二 喻 
X32n0615_001:0003a18	既非全譬一期開顯所以智者大師略而不舉後世	既 非 全 譬 一 期 開 顯 所 以 智 者 大 師 略 而 不 舉 後 世 
X32n0615_001:0003a19	輒云九喻可謂依文不依義矣。	輒 云 九 喻 可 謂 依 文 不 依 義 矣 
X32n0615_001:0003a20	經者佛所說法之通名也梵云薩達磨芬陀利修多	經 者 佛 所 說 法 之 通 名 也 梵 云 薩 達 磨 芬 陀 利 修 多 
X32n0615_001:0003a21	羅薩達磨此翻妙法分陀利此翻蓮華具如前釋此	羅 薩 達 磨 此 翻 妙 法 分 陀 利 此 翻 蓮 華 具 如 前 釋 此 
X32n0615_001:0003a22	名異於眾典故稱為別一代時教皆名為修多羅故	名 異 於 眾 典 故 稱 為 別 一 代 時 教 皆 名 為 修 多 羅 故 
X32n0615_001:0003a23	稱為通修多羅或翻為經或翻為契或翻為法本或	稱 為 通 修 多 羅 或 翻 為 經 或 翻 為 契 或 翻 為 法 本 或 
X32n0615_001:0003a24	翻為線或翻為善語教或云無翻而含五義一法本	翻 為 線 或 翻 為 善 語 教 或 云 無 翻 而 含 五 義 一 法 本 
X32n0615_001:0003b01	亦云出生二微發亦云顯示三涌泉四繩墨五結鬘	亦 云 出 生 二 微 發 亦 云 顯 示 三 涌 泉 四 繩 墨 五 結 鬘 
