T85n2839_001:1291c17	讚禪門詩	讚 禪 門 詩 
T85n2839_001:1292a23	無我無。我所性自空。餘准上　通如來平等	無 我 無 我 所 性 自 空 餘 准 上 通 如 來 平 等 
T85n2839_001:1292a24	法身(釋)離心心如。離色色如　心色俱如。即	法 身 釋 離 心 心 如 離 色 色 如 心 色 俱 如 即 
T85n2839_001:1292a25	是如來平等法身　有五種法身(出大通方廣經中卷末)一	是 如 來 平 等 法 身 有 五 種 法 身 出 大 通 方 廣 經 中 卷 末 一 
T85n2839_001:1292a26	實相法身相。無所相故　二功德法身。離念	實 相 法 身 相 無 所 相 故 二 功 德 法 身 離 念 
T85n2839_001:1292a27	為功。顯理為德　三法性法身。諸法性離	為 功 顯 理 為 德 三 法 性 法 身 諸 法 性 離 
T85n2839_001:1292a28	　四應化法身。六根無染也　五虛空法身。等	 四 應 化 法 身 六 根 無 染 也 五 虛 空 法 身 等 
T85n2839_001:1292a29	虛空界　體依聚義通。體依聚總說名身	虛 空 界 體 依 聚 義 通 體 依 聚 總 說 名 身 
T85n2839_001:1292b01	　離心名體　離色名依　俱離名聚義　通本	 離 心 名 體 離 色 名 依 俱 離 名 聚 義 通 本 
T85n2839_001:1292b02	覺始覺　離念名本覺(理佛法性)離色名始覺(事佛性)	覺 始 覺 離 念 名 本 覺 理 佛 法 性 離 色 名 始 覺 事 佛 性 
T85n2839_001:1292b03	色心俱離性相圓融理事俱通無礙。是名總	色 心 俱 離 性 相 圓 融 理 事 俱 通 無 礙 是 名 總 
T85n2839_001:1292b04	結三覺義(義正通覺傍通云就事理)若離心貪不起　離色嗔	結 三 覺 義 義 正 通 覺 傍 通 云 就 事 理 若 離 心 貪 不 起 離 色 嗔 
T85n2839_001:1292b05	不生　色心俱離愚癡不現。又離心出欲界	不 生 色 心 俱 離 愚 癡 不 現 又 離 心 出 欲 界 
T85n2839_001:1292b06	　離色出色界　俱離出無色界　通貪嗔癡	 離 色 出 色 界 俱 離 出 無 色 界 通 貪 嗔 癡 
T85n2839_001:1292b07	(釋)所言覺義者。為心體離念。離念相者等虛	 釋 所 言 覺 義 者 為 心 體 離 念 離 念 相 者 等 虛 
T85n2839_001:1292b08	空界無所不遍。是名自覺　離嗔相者等虛	空 界 無 所 不 遍 是 名 自 覺 離 嗔 相 者 等 虛 
T85n2839_001:1292b09	空界無所不遍。名覺他　離癡相者等虛空	空 界 無 所 不 遍 名 覺 他 離 癡 相 者 等 虛 空 
T85n2839_001:1292b10	無所不遍。法界一相即是如來平等法身。是	無 所 不 遍 法 界 一 相 即 是 如 來 平 等 法 身 是 
T85n2839_001:1292b11	名覺滿。通三界義　所言覺義者為心體離	名 覺 滿 通 三 界 義 所 言 覺 義 者 為 心 體 離 
T85n2839_001:1292b12	欲。離欲者等虛空界無所不遍。是自覺離色	欲 離 欲 者 等 虛 空 界 無 所 不 遍 是 自 覺 離 色 
T85n2839_001:1292b13	界相(准上名覺他)離無色界相(准上名覺滿)是名三毒出三	界 相 准 上 名 覺 他 離 無 色 界 相 准 上 名 覺 滿 是 名 三 毒 出 三 
T85n2839_001:1292b14	界　通三解脫門　離心入空解脫門　離色	界 通 三解脫門 離 心 入 空解脫門 離 色 
T85n2839_001:1292b15	入無相解脫門　俱離入無願解脫門　通五	入 無相解脫門 俱 離 入 無願解脫門 通 五 
T85n2839_001:1292b16	法義　離心名不起　離色相不生　俱離即	法 義 離 心 名 不 起 離 色 相 不 生 俱 離 即 
T85n2839_001:1292b17	無妄想　離心即正智　雜色即如如　俱離	無 妄 想 離 心 即 正 智 雜 色 即 如 如 俱 離 
T85n2839_001:1292b18	即正智如如　通三自性　離心妄相自性不	即 正 智 如 如 通 三 自 性 離 心 妄 相 自 性 不 
T85n2839_001:1292b19	起　離色緣起自性不起　俱離即是成自性	起 離 色 緣 起 自 性 不 起 俱 離 即 是 成 自 性 
T85n2839_001:1292b20	　通二無我　離心得人無我。離色得法無	 通 二 無 我 離 心 得 人 無 我 離 色 得 法 無 
T85n2839_001:1292b21	我　俱離即得二無我智通三忍　本性無生	我 俱 離 即 得 二 無 我 智 通 三 忍 本 性 無 生 
T85n2839_001:1292b22	忍　自然無生忍　或苦無生忍　離心證得	忍 自 然 無 生 忍 或 苦 無 生 忍 離 心 證 得 
T85n2839_001:1292b23	本性無生忍　離色得自然無生忍　俱離即	本 性 無 生 忍 離 色 得 自 然 無 生 忍 俱 離 即 
T85n2839_001:1292b24	證得或苦無生忍　通三德義(修斷顯)　摩訶般	證 得 或 苦 無 生 忍 通 三 德 義 修 斷 顯 摩 訶 般 
T85n2839_001:1292b25	若解脫法身　離心即顯理。大智慧謂摩訶	若 解 脫 法 身 離 心 即 顯 理 大 智 慧 謂 摩 訶 
T85n2839_001:1292b26	般若　離色即顯解脫　俱離顯得法身　通	般 若 離 色 即 顯 解 脫 俱 離 顯 得 法 身 通 
T85n2839_001:1292b27	三身(化報法)離心即得化身　離色得報身　俱	三 身 化 報 法 離 心 即 得 化 身 離 色 得 報 身 俱 
T85n2839_001:1292b28	離得法身　通六波羅蜜　施有三(財施。無畏施。法施)	離 得 法 身 通 六波羅蜜 施 有 三 財 施 無 畏 施 法 施 
T85n2839_001:1292b29	　離心即財施　離色無畏施　俱離名法施。	 離 心 即 財 施 離 色 無 畏 施 俱 離 名 法 施 
T85n2839_001:1292c01	或有三(攝眾生。攝善法。攝律儀)離心攝妄眾生(化)　離色攝	或 有 三 攝 眾 生 攝 善 法 攝 律 儀 離 心 攝 妄 眾 生 化 離 色 攝 
T85n2839_001:1292c02	散善(報)　俱離得一切律儀(法)　忍有三(耐怨害忍。安	散 善 報 俱 離 得 一 切 律 儀 法 忍 有 三 耐 怨 害 忍 安 
T85n2839_001:1292c03	受苦忍。諦察法忍)離心得上　離色得中　俱離得下	受 苦 忍 諦 察 法 忍 離 心 得 上 離 色 得 中 俱 離 得 下 
T85n2839_001:1292c04	　精進三(被甲。攝善。利樂)　離心得被甲　離色得攝善	 精 進 三 被 甲 攝 善 利 樂 離 心 得 被 甲 離 色 得 攝 善 
T85n2839_001:1292c05	　俱離得利樂　禪有三(安住靜慮。辯事靜慮。引發靜慮)　離心	 俱 離 得 利 樂 禪 有 三 安 住 靜 慮 辯 事 靜 慮 引 發 靜 慮 離 心 
T85n2839_001:1292c06	得安住　離色得引發　俱離得辯事　惠有	得 安 住 離 色 得 引 發 俱 離 得 辯 事 惠 有 
T85n2839_001:1292c07	三(生空無分別惠。法空無分別惠。俱空無分別惠)　離心得生空無分別惠	三 生 空 無 分 別 惠 法 空 無 分 別 惠 俱 空 無 分 別 惠 離 心 得 生 空 無 分 別 惠 
T85n2839_001:1292c08	　離色得次俱離得下常依此三修行　又傍	 離 色 得 次 俱 離 得 下 常 依 此 三 修 行 又 傍 
T85n2839_001:1292c09	通三覺斷三毒出三界入三解脫門　離三性	通 三 覺 斷 三 毒 出 三 界 入 三解脫門 離 三 性 
T85n2839_001:1292c10	得二無我證三生顯三德成三身(已上第一方便正義。傍通語竟	得 二 無 我 證 三 生 顯 三 德 成 三 身 已 上 第 一 方 便 正 義 傍 通 語 竟 
T85n2839_001:1292c11	名總彰佛體)　皆以離心離色通一切故名總彰　五	名 總 彰 佛 體 皆 以 離 心 離 色 通 一 切 故 名 總 彰 五 
T85n2839_001:1292c12	根總是惠門(見聞覺知總數通色)釋意根不動是智門　意	根 總 是 惠 門 見聞覺知 總 數 通 色 釋 意 根 不 動 是 智 門 意 
T85n2839_001:1292c13	識不動是開智慧門總結竟　若不得方便正	識 不 動 是 開 智 慧 門 總 結 竟 若 不 得 方 便 正 
T85n2839_001:1292c14	不動。是正動即落邪定。貪著禪味墮二乘涅	不 動 是 正 動 即 落 邪 定 貪 著 禪 味 墮 二 乘 涅 
T85n2839_001:1292c15	槃。不動以得方便正定即圓寂是大涅槃　通	槃 不 動 以 得 方 便 正 定 即 圓 寂 是 大 涅 槃 通 
T85n2839_001:1292c16	大涅槃是圓滿。圓滿是大涅槃。色不動圓滿。	大 涅 槃 是 圓 滿 圓 滿 是 大 涅 槃 色 不 動 圓 滿 
T85n2839_001:1292c17	心不動。是智用。是知色不動。是慧用。是見俱	心 不 動 是 智 用 是 知 色 不 動 是 慧 用 是 見 俱 
T85n2839_001:1292c18	不動。是開佛知見得大涅槃。涅槃是不動知	不 動 是 開 佛 知 見 得 大 涅 槃 涅 槃 是 不 動 知 
T85n2839_001:1292c19	見。是正語(第二入維摩經通經)第三皆以心不思口不議	見 是 正 語 第 二 入 維 摩 經 通 經 第 三 皆 以 心 不 思 口 不 議 
T85n2839_001:1292c20	通一切法。從諸解脫至入不二法門　於眼	通 一 切 法 從 諸 解 脫 至 入 不二法門 於 眼 
T85n2839_001:1292c21	入(遠塵)於色起(離垢)示現法不思議諸天世人莫	入 遠 塵 於 色 起 離 垢 示 現 法 不 思 議 諸 天 世 人 莫 
T85n2839_001:1292c22	能知(了無)於色法入(離垢)於眼起(遠塵)觀眼無生	能 知 了 無 於 色 法 入 離 垢 於 眼 起 遠 塵 觀 眼 無 生 
T85n2839_001:1292c23	無自性說空寂滅無所有(了無異)又於眼根中入	無 自 性 說 空 寂 滅 無 所 有 了 無 異 又 於 眼 根 中 入 
T85n2839_001:1292c24	正受(根不礙塵)於色法中三昧起(塵不礙根。已上。了無異)又於眼	正 受 根 不 礙 塵 於 色 法 中 三 昧 起 塵 不 礙 根 已 上 了 無 異 又 於 眼 
T85n2839_001:1292c25	入(無礙道)於色法中三昧起(解脫道)又於眼根中	入 無 礙 道 於 色 法 中 三 昧 起 解 脫 道 又 於 眼 根 中 
T85n2839_001:1292c26	入正受等覺。於色法中三昧起(妙覺)又於眼根	入 正 受 等 覺 於 色 法 中 三 昧 起 妙 覺 又 於 眼 根 
T85n2839_001:1292c27	中入正受(理佛性)於色法中三昧起(事佛性)。	中 入 正 受 理 佛 性 於 色 法 中 三 昧 起 事 佛 性 
T85n2839_001:1292c28	讚禪門詩一首	讚 禪 門 詩 一 首 
T85n2839_001:1292c29	丈六誰跡三世欽菩提理絕去來今欲昇彼	丈 六 誰 跡 三 世 欽 菩 提 理 絕 去 來 今 欲 昇 彼 
T85n2839_001:1293a01	岸無學道一切都緣草計心。	岸 無 學 道 一 切 都 緣 草 計 心 
