T85n2790_001:0653a10	律雜抄	律 雜 抄 
T85n2790_001:0653b24	曰安居。又有三義故。一無事遊行妨修道業	曰 安 居 又 有 三 義 故 一 無 事 遊 行 妨 修 道 業 
T85n2790_001:0653b25	故。二為損傷物命違慈道故。三為除招世譏	故 二 為 損 傷 物 命 違 慈 道 故 三 為 除 招 世 譏 
T85n2790_001:0653b26	嫌故。	嫌 故 
T85n2790_001:0653b27	問。自恣有幾種　答。有三種。一羯磨自恣。二	問 自 恣 有 幾 種 答 有 三 種 一 羯 磨 自 恣 二 
T85n2790_001:0653b28	對首自恣。三心念自恣。又有三種。一時自恣。	對 首 自 恣 三 心 念 自 恣 又 有 三 種 一 時 自 恣 
T85n2790_001:0653b29	二增益自恣。三滅劫自恣。	二 增 益 自 恣 三 滅 劫 自 恣 
T85n2790_001:0653c01	問。自恣是何義　答。為迷已過恣他舉見聞	問 自 恣 是 何 義 答 為 迷 已 過 恣 他 舉 見 聞 
T85n2790_001:0653c02	疑罪。故名為自恣義也。	疑 罪 故 名 為 自 恣 義 也 
T85n2790_001:0653c03	問。何名四分律。主名何　答。四者數也。梵本	問 何 名 四 分 律 主 名 何 答 四 者 數 也 梵 本 
T85n2790_001:0653c04	四夾。復云四。誦方成故名四分。即五分十誦	四 夾 復 云 四 誦 方 成 故 名 四 分 即 五 分 十 誦 
T85n2790_001:0653c05	義亦如是。大僧戒本初分。尼戒已下為二分。	義 亦 如 是 大 僧 戒 本 初 分 尼 戒 已 下 為 二 分 
T85n2790_001:0653c06	安居楗度已下為二。一分房舍揵度已下為	安 居 楗 度 已 下 為 二 一 分 房 舍 揵 度 已 下 為 
T85n2790_001:0653c07	四分。故名為四分律。律主名曇無德。此翻為	四 分 故 名 為 四 分 律 律 主 名 曇 無 德 此 翻 為 
T85n2790_001:0653c08	護法。	護 法 
T85n2790_001:0653c09	問。二十部小乘。此律何部所攝　上座犢子。	問 二 十 部 小 乘 此 律 何 部 所 攝 上 座 犢 子 
T85n2790_001:0653c10	答。法密部所攝。大眾一說說出世鷄胤多聞	答 法 密 部 所 攝 大 眾 一 說 說 出 世 鷄 胤 多 聞 
T85n2790_001:0653c11	說假制多西山北山上座轉多雪山一切犢子	說 假 制 多 西 山 北 山 上 座 轉 多 雪 山 一 切 犢 子 
T85n2790_001:0653c12	法上賢胄正量密林化地法藏飲光經量。	法 上 賢 胄 正 量 密 林 化 地 法 藏 飲 光 經 量 
T85n2790_001:0653c13	問。如來成道後幾年制戒　答。如來成道後	問 如 來 成 道 後 幾 年 制 戒 答 如 來 成 道 後 
T85n2790_001:0653c14	十二年前。為諸比丘過失尠。略制禁戒。此則	十 二 年 前 為 諸 比 丘 過 失 尠 略 制 禁 戒 此 則 
T85n2790_001:0653c15	利根也。十二年後終至涅槃。為諸比丘繁多。	利 根 也 十 二 年 後 終 至 涅 槃 為 諸 比 丘 繁 多 
T85n2790_001:0653c16	廣制禁戒。此鈍根也。	廣 制 禁 戒 此 鈍 根 也 
T85n2790_001:0653c17	問。受具足戒具幾因緣　答。具六因緣。一受	問 受具足戒 具 幾 因 緣 答 具 六 因 緣 一 受 
T85n2790_001:0653c18	戒人身無十三難緣。二年滿二十。三衣鉢具	戒 人 身 無 十 三 難 緣 二 年 滿 二 十 三 衣 鉢 具 
T85n2790_001:0653c19	足。四三師數如法清淨。五在結戒內不得別	足 四 三 師 數 如 法 清 淨 五 在 結 戒 內 不 得 別 
T85n2790_001:0653c20	眾勢分相及。六一白三羯磨前後方便言辭	眾 勢 分 相 及 六 一白三羯磨 前 後 方 便 言 辭 
T85n2790_001:0653c21	具足。又准摩夷經有十種受戒。比丘有五種。	具 足 又 准 摩 夷 經 有 十 種 受 戒 比 丘 有 五 種 
T85n2790_001:0653c22	一上法。二善來。三法語。四勅聽。五羯磨。尼	一 上 法 二 善 來 三 法 語 四 勅 聽 五 羯 磨 尼 
T85n2790_001:0653c23	亦有種。一上法。二善來。三師法。四遣使。五	亦 有 種 一 上 法 二 善 來 三 師 法 四 遣 使 五 
T85n2790_001:0653c24	羯磨。合為十種。	羯 磨 合 為 十 種 
T85n2790_001:0653c25	問。律以何為宗。以何體　答。以戒為宗。又說	問 律 以 何 為 宗 以 何 體 答 以 戒 為 宗 又 說 
T85n2790_001:0653c26	不同。依東塔疏以戒為宗。律以何為體。答。合	不 同 依 東 塔 疏 以 戒 為 宗 律 以 何 為 體 答 合 
T85n2790_001:0653c27	是語業為體。任意取捨。答。十二處中以法為	是 語 業 為 體 任 意 取 捨 答 十 二 處 中 以 法 為 
T85n2790_001:0653c28	體。若依經部以不相應為體。依有部以色為	體 若 依 經 部 以 不 相 應 為 體 依 有 部 以 色 為 
T85n2790_001:0653c29	體。俱是法處攝。	體 俱 是 法 處 攝 
T85n2790_001:0654a01	問。律之所防三業之中。何不防意地　答。所	問 律 之 所 防 三 業 之 中 何 不 防 意 地 答 所 
T85n2790_001:0654a02	防戒不同別解脫戒。次是色法但防身口。故	防 戒 不 同 別解脫戒 次 是 色 法 但 防 身 口 故 
T85n2790_001:0654a03	所防心者定道戒。故得防心。又問。聲聞力劣	所 防 心 者 定 道 戒 故 得 防 心 又 問 聲 聞 力 劣 
T85n2790_001:0654a04	不防意地故。但身口業故。	不 防 意 地 故 但 身 口 業 故 
T85n2790_001:0654a05	問。十三同篇。何故九初便犯四諫方成　答。	問 十 三 同 篇 何 故 九 初 便 犯 四 諫 方 成 答 
T85n2790_001:0654a06	諸犯戒緣不同。有倚傍者須僧設諫。故四戒	諸 犯 戒 緣 不 同 有 倚 傍 者 須 僧 設 諫 故 四 戒 
T85n2790_001:0654a07	倚傍相似須僧設諫。九戒無倚傍。作即便犯	倚 傍 相 似 須 僧 設 諫 九 戒 無 倚 傍 作 即 便 犯 
T85n2790_001:0654a08	故。不須諫故。	故 不 須 諫 故 
T85n2790_001:0654a09	問。污家犯何罪耶　答。為違僧諫得殘罪。直	問 污 家 犯 何 罪 耶 答 為 違 僧 諫 得 殘 罪 直 
T85n2790_001:0654a10	作未諫結罪不同。自摘花等得提罪。污家惡	作 未 諫 結 罪 不 同 自 摘 花 等 得 提 罪 污 家 惡 
T85n2790_001:0654a11	行等得吉罪。	行 等 得 吉 罪 
T85n2790_001:0654a12	問。污家戒諫何事　答。所諫之語是傍僧言	問 污 家 戒 諫 何 事 答 所 諫 之 語 是 傍 僧 言 
