T12n0322_001:0015a03	法鏡經序	法 鏡 經 序 
T12n0322_001:0015b04	後漢安息國騎都尉安玄譯	後 漢 安 息 國 騎 都 尉 安 玄 譯 
T12n0322_001:0015b05	聞如是：一時，眾祐遊於聞物國勝氏之樹給	聞 如 是 一 時 眾 祐 遊 於 聞 物 國 勝 氏 之 樹 給 
T12n0322_001:0015b06	孤獨聚園，與大眾除饉千二百五十人俱，	孤 獨 聚 園 與 大 眾 除 饉 千二百五十 人 俱 
T12n0322_001:0015b07	及五百開士，慈氏、敬首、始棄、闚音，開士	及 五 百 開 士 慈 氏 敬 首 始 棄 闚 音 開 士 
T12n0322_001:0015b08	之上首者也。彼時若干百眾圍累側塞眾	之 上 首 者 也 彼 時 若 干 百 眾 圍 累 側 塞 眾 
T12n0322_001:0015b09	祐而為說經。爾時，聞物城中有理家名甚，	祐 而 為 說 經 爾 時 聞 物 城 中 有 理 家 名 甚 
T12n0322_001:0015b10	與五百眾從聞物城中出，往到勝樹給孤獨	與 五 百 眾 從 聞 物 城 中 出 往 到 勝 樹 給 孤 獨 
T12n0322_001:0015b11	聚園，詣眾祐所，到以首禮眾祐足，便就座	聚 園 詣 眾 祐 所 到 以 首 禮 眾 祐 足 便 就 座 
T12n0322_001:0015b12	而坐。及理家有字愛遇、有字迺遇、有字善	而 坐 及 理 家 有 字 愛 遇 有 字 迺 遇 有 字 善 
T12n0322_001:0015b13	授、有字大威、有字給孤獨聚、有字龍威、有	授 有 字 大 威 有 字 給 孤 獨 聚 有 字 龍 威 有 
T12n0322_001:0015b14	字諦思，斯一切五百眾等共往詣佛所，到以	字 諦 思 斯 一 切 五 百 眾 等 共 往 詣 佛 所 到 以 
T12n0322_001:0015b15	首禮眾祐足，皆於眾祐前就座而坐。其諸理	首 禮 眾 祐 足 皆 於 眾 祐 前 就 座 而 坐 其 諸 理 
T12n0322_001:0015b16	家，一切以發求大道，皆與其眾共造德本，	家 一 切 以 發 求 大 道 皆 與 其 眾 共 造 德 本 
T12n0322_001:0015b17	有決於無上正真道，惟給孤獨聚不耳。於是	有 決 於 無 上 正 真 道 惟 給 孤 獨 聚 不 耳 於 是 
T12n0322_001:0015b18	甚理家以見大眾理家集會坐定，避坐而起，	甚 理 家 以 見 大 眾 理 家 集 會 坐 定 避 坐 而 起 
T12n0322_001:0015b19	整衣服，稽首長跪，叉手白言：「己欲有所問，	整 衣 服 稽 首 長 跪 叉 手 白 言 己 欲 有 所 問 
T12n0322_001:0015b20	要者眾祐豈有閑暇敷演己所問？」眾祐報甚	要 者 眾 祐 豈 有 閑 暇 敷 演 己 所 問 眾 祐 報 甚 
T12n0322_001:0015b21	理家言：「如來常為理家有閑暇敷演所問，理	理 家 言 如 來 常 為 理 家 有 閑 暇 敷 演 所 問 理 
T12n0322_001:0015b22	家汝便問，恣汝所求索於如來、應儀、正真道，	家 汝 便 問 恣 汝 所 求 索 於 如 來 應 儀 正 真 道 
T12n0322_001:0015b23	吾當相為敷演所問，趣得汝意。」甚理家問佛	吾 當 相 為 敷 演 所 問 趣 得 汝 意 甚 理 家 問 佛 
T12n0322_001:0015b24	言：「於是，要者眾祐！若族姓男女，發意求無	言 於 是 要 者 眾 祐 若 族姓男女 發 意 求 無 
T12n0322_001:0015b25	上正真道、好喜大道、發行大道、欲致大道、	上 正 真 道 好 喜 大 道 發 行 大 道 欲 致 大 道 
T12n0322_001:0015b26	欲下大道、欲知大道，請命一切眾生、安慰	欲 下 大 道 欲 知 大 道 請 命 一 切 眾 生 安 慰 
T12n0322_001:0015b27	眾生、救護眾生，其誓曰：『未度者吾當度之；	眾 生 救 護 眾 生 其 誓 曰 未 度 者 吾 當 度 之 
T12n0322_001:0015b28	未脫者吾當脫之；不安隱者當慰安之；未	未 脫 者 吾 當 脫 之 不 安 隱 者 當 慰 安 之 未 
T12n0322_001:0015b29	滅度者吾當滅度之。』為受一切眾生重任，欲	滅 度 者 吾 當 滅 度 之 為 受 一 切 眾 生 重 任 欲 
T12n0322_001:0015c01	救護眾生故，而自誓發斯弘大之誓，知生死	救 護 眾 生 故 而 自 誓 發 斯 弘 大 之 誓 知 生 死 
T12n0322_001:0015c02	若干多惡惡，意如不勌，生死無數劫，意而不	若 干 多 惡 惡 意 如 不 勌 生 死 無 數 劫 意 而 不 
T12n0322_001:0015c03	邂。彼，要者眾祐！或有開士去家為道，以致	邂 彼 要 者 眾 祐 或 有 開 士 去 家 為 道 以 致 
T12n0322_001:0015c04	道品之法，或有居家者。善哉要者眾祐！愍	道 品 之 法 或 有 居 家 者 善 哉 要 者 眾 祐 愍 
T12n0322_001:0015c05	傷眾生，亦加惠此大道者以興隆三寶，亦	傷 眾 生 亦 加 惠 此 大 道 者 以 興 隆 三 寶 亦 
T12n0322_001:0015c06	使一切敏典籍久在故，如來願說開士居家	使 一 切 敏 典 籍 久 在 故 如 來 願 說 開 士 居 家 
T12n0322_001:0015c07	者學德之法。何謂，要者眾祐！開士居家而	者 學 德 之 法 何 謂 要 者 眾 祐 開 士 居 家 而 
T12n0322_001:0015c08	承用如來教誨者，以不虧亦不損其本所	承 用 如 來 教 誨 者 以 不 虧 亦 不 損 其 本 所 
T12n0322_001:0015c09	願，所謂無上正真道也；亦現世有無罪之行，	願 所 謂 無 上 正 真 道 也 亦 現 世 有 無 罪 之 行 
T12n0322_001:0015c10	後世往殊勝之道；亦被要者眾祐！開士去	後 世 往 殊 勝 之 道 亦 被 要 者 眾 祐 開 士 去 
T12n0322_001:0015c11	家為道者，捐棄憎愛、除鬄鬚髮、被服法	家 為 道 者 捐 棄 憎 愛 除 鬄 鬚 髮 被 服 法 
T12n0322_001:0015c12	衣，在家有信、離家為道，示其教誨，法式、正	衣 在 家 有 信 離 家 為 道 示 其 教 誨 法 式 正 
T12n0322_001:0015c13	式、德式具現之。要者眾祐！開士去家為道者	式 德 式 具 現 之 要 者 眾 祐 開 士 去 家 為 道 者 
T12n0322_001:0015c14	及居家者，修之云何？」於是眾祐歎甚理家	及 居 家 者 修 之 云 何 於 是 眾 祐 歎 甚 理 家 
T12n0322_001:0015c15	曰：「善哉善哉，理家！今汝迺知問如來居家、	曰 善哉善哉 理 家 今 汝 迺 知 問 如 來 居 家 
T12n0322_001:0015c16	去家開士之所施行。是以理家！且聽我所說，	去 家 開 士 之 所 施 行 是 以 理 家 且 聽 我 所 說 
T12n0322_001:0015c17	勉進善思念之，開士居家為道者修學德善	勉 進 善思念之 開 士 居 家 為 道 者 修 學 德 善 
T12n0322_001:0015c18	之行。」甚理家受教而聽。眾祐言：「於是，理家！	之 行 甚 理 家 受 教 而 聽 眾 祐 言 於 是 理 家 
T12n0322_001:0015c19	開士居家為道者，當以自歸於佛、自歸於法、	開 士 居 家 為 道 者 當 以 自 歸 於 佛 自 歸 於 法 
T12n0322_001:0015c20	自歸於眾。彼以自歸之德本，變為無上正真	自 歸 於 眾 彼 以 自 歸 之 德 本 變 為 無 上 正 真 
T12n0322_001:0015c21	道。理家！自歸於佛、法、眾者云何？我當以成	道 理 家 自 歸 於 佛 法 眾 者 云 何 我 當 以 成 
T12n0322_001:0015c22	就佛身三十二大士之相以自嚴飾，亦以其	就 佛 身 三 十 二 大 士 之 相 以 自 嚴 飾 亦 以 其 
T12n0322_001:0015c23	諸德本而致三十二大士之相，以致彼諸德	諸 德 本 而 致 三 十 二 大 士 之 相 以 致 彼 諸 德 
T12n0322_001:0015c24	本，便而精進行之。開士居家者自歸於佛，	本 便 而 精 進 行 之 開 士 居 家 者 自 歸 於 佛 
T12n0322_001:0016a01	為如是也。自歸於法者云何？謂為恭敬法、求	為 如 是 也 自 歸 於 法 者 云 何 謂 為 恭 敬 法 求 
T12n0322_001:0016a02	法欲法，樂法之樂，法隆法依、法護法慎，如法	法 欲 法 樂 法 之 樂 法 隆 法 依 法 護 法 慎 如 法 
T12n0322_001:0016a03	住，隨法術，為法典，為法力、為求法財，為法	住 隨 法 術 為 法 典 為 法 力 為 求 法 財 為 法 
T12n0322_001:0016a04	靜治，為造法事，我亦當天上世間分布是	靜 治 為 造 法 事 我 亦 當 天 上 世 間 分 布 是 
T12n0322_001:0016a05	法。開士居家者自歸於法為如是也。自歸	法 開 士 居 家 者 自 歸 於 法 為 如 是 也 自 歸 
T12n0322_001:0016a06	於眾者云何？若開士居家或見溝港、或見	於 眾 者 云 何 若 開 士 居 家 或 見 溝 港 或 見 
T12n0322_001:0016a07	頻來、或見不還、或見應儀、或見凡人求弟子	頻 來 或 見 不 還 或 見 應 儀 或 見 凡 人 求 弟 子 
T12n0322_001:0016a08	道者，為恭敬彼，承事供養，師之尊之，以禮待	道 者 為 恭 敬 彼 承事供養 師 之 尊 之 以 禮 待 
T12n0322_001:0016a09	之。若以承事彼正法正術者而以得是志，	之 若 以 承 事 彼 正 法 正 術 者 而 以 得 是 志 
T12n0322_001:0016a10	亦我當得無上正真道。以講授經，成就弟子	亦 我 當 得 無 上 正 真 道 以 講 授 經 成 就 弟 子 
T12n0322_001:0016a11	之德，而為恭敬彼，不亦而羨彼。開士居家	之 德 而 為 恭 敬 彼 不 亦 而 羨 彼 開 士 居 家 
T12n0322_001:0016a12	者自歸於眾，為如是也。	者 自 歸 於 眾 為 如 是 也 
T12n0322_001:0016a13	「又復理家！開士以修治四法為自歸於佛。何	 又 復 理 家 開 士 以 修 治 四 法 為 自 歸 於 佛 何 
T12n0322_001:0016a14	謂四？一曰、道意者終而不離，二曰、所受者	謂 四 一 曰 道 意 者 終 而 不 離 二 曰 所 受 者 
T12n0322_001:0016a15	終而不犯，三曰、大悲哀者終而不斷，四曰、異	終 而 不 犯 三 曰 大 悲 哀 者 終 而 不 斷 四 曰 異 
T12n0322_001:0016a16	道者終而不為也。是為四法。開士居家者	道 者 終 而 不 為 也 是 為 四 法 開 士 居 家 者 
T12n0322_001:0016a17	自歸於佛，為如是也。「又復理家，修治四法為	自 歸 於 佛 為 如 是 也 又 復 理 家 修 治 四 法 為 
T12n0322_001:0016a18	自歸於法。何謂四？一曰、諸法言之士，以承	自 歸 於 法 何 謂 四 一 曰 諸 法 言 之 士 以 承 
T12n0322_001:0016a19	事追隨之；二曰、所聞法以恭敬之；三曰、已聞	事 追 隨 之 二 曰 所 聞 法 以 恭 敬 之 三 曰 已 聞 
T12n0322_001:0016a20	法本末思惟之；四曰、如其所聞法，隨其能為	法 本 末 思 惟 之 四 曰 如 其 所 聞 法 隨 其 能 為 
T12n0322_001:0016a21	人分別說之。是為四法。開士居家者自歸	人 分 別 說 之 是 為 四 法 開 士 居 家 者 自 歸 
T12n0322_001:0016a22	於法，為如是也。「又復理家！修治四法為自	於 法 為 如 是 也 又 復 理 家 修 治 四 法 為 自 
T12n0322_001:0016a23	歸於眾。何謂四？一曰、末下要生弟子之道，	歸 於 眾 何 謂 四 一 曰 末 下 要 生 弟 子 之 道 
T12n0322_001:0016a24	而意以喜一切敏；二曰、亦以為積聚物，以法	而 意 以 喜 一 切 敏 二 曰 亦 以 為 積 聚 物 以 法 
T12n0322_001:0016a25	積聚而化之；三曰、以有依恃有決之眾，而	積 聚 而 化 之 三 曰 以 有 依 恃 有 決 之 眾 而 
T12n0322_001:0016a26	不依恃弟子之眾；四曰、求索弟子之德，不以	不 依 恃 弟 子 之 眾 四 曰 求 索 弟 子 之 德 不 以 
T12n0322_001:0016a27	其德度而度也。是為四法。開士居家者自	其 德 度 而 度 也 是 為 四 法 開 士 居 家 者 自 
T12n0322_001:0016a28	歸於眾，為如是也。「又復理家！在家修道，以	歸 於 眾 為 如 是 也 又 復 理 家 在 家 修 道 以 
T12n0322_001:0016a29	見如來則行思念佛，是為自歸於佛；已聞法	見 如 來 則 行 思 念 佛 是 為 自 歸 於 佛 已 聞 法 
T12n0322_001:0016b01	則已思念法，是為自歸於法；若已見如來聖	則 已 思 念 法 是 為 自 歸 於 法 若 已 見 如 來 聖 
T12n0322_001:0016b02	眾，猶思念其道意者，是為自歸於眾。	眾 猶 思 念 其 道 意 者 是 為 自 歸 於 眾 
T12n0322_001:0016b03	「又復理家！在家修道，發求遭遇佛而以布施，	 又 復 理 家 在 家 修 道 發 求 遭 遇 佛 而 以 布 施 
T12n0322_001:0016b04	為自歸於佛；若以擁護正法而已布施，是為	為 自 歸 於 佛 若 以 擁 護 正 法 而 已 布 施 是 為 
T12n0322_001:0016b05	自歸於法；若已其布施，為致無上正真道，	自 歸 於 法 若 已 其 布 施 為 致 無 上 正 真 道 
T12n0322_001:0016b06	為自歸於僧。「又復理家，在家修道者！若修	為 自 歸 於 僧 又 復 理 家 在 家 修 道 者 若 修 
T12n0322_001:0016b07	賢夫之行，行不以凡夫之行，彼是賢夫之行	賢 夫 之 行 行 不 以 凡 夫 之 行 彼 是 賢 夫 之 行 
T12n0322_001:0016b08	也。而以法求財不以非法，以正不以邪，	也 而 以 法 求 財 不 以 非 法 以 正 不 以 邪 
T12n0322_001:0016b09	亦而為正命。不以嬈固人，以法致之。財多行	亦 而 為 正 命 不 以 嬈 固 人 以 法 致 之 財 多 行 
T12n0322_001:0016b10	非常想，以受其寶，是以恒隆。施而供養	非 常 想 以 受 其 寶 是 以 恒 隆 施 而 供 養 
T12n0322_001:0016b11	父母知識、臣下昆弟、親屬，為以敬之，奴客侍	父 母 知 識 臣 下 昆 弟 親 屬 為 以 敬 之 奴 客 侍 
T12n0322_001:0016b12	者瞻視調均，亦以教化。斯殊法亦以受	者 瞻 視 調 均 亦 以 教 化 斯 殊 法 亦 以 受 
T12n0322_001:0016b13	重任，是謂眾生重任也。精進而不懈，不受之	重 任 是 謂 眾 生 重 任 也 精 進 而 不 懈 不 受 之 
T12n0322_001:0016b14	重任，而以不受之，謂是弟子各佛智之事。成	重 任 而 以 不 受 之 謂 是 弟 子 各 佛 智 之 事 成 
T12n0322_001:0016b15	就眾生而不勌，不慕身之樂，為致眾生樂。	就 眾 生 而 不 勌 不 慕 身 之 樂 為 致 眾 生 樂 
T12n0322_001:0016b16	利衰毀譽、稱譏苦樂不以傾動，以殊越世間	利 衰 毀 譽 稱 譏 苦 樂 不 以 傾 動 以 殊 越 世 間 
T12n0322_001:0016b17	法，富有財不喜悅；又於三道，無利無稱、無譽	法 富 有 財 不 喜 悅 又 於 三 道 無 利 無 稱 無 譽 
T12n0322_001:0016b18	聲、	聲 
T12n0322_001:0016b19	無賞。所行為熟慮，受正為喜悅，邪受見知	無 賞 所 行 為 熟 慮 受 正 為 喜 悅 邪 受 見 知 
T12n0322_001:0016b20	要意而有正行。稱譽之兩，以除解已，得其	要 意 而 有 正 行 稱 譽 之 兩 以 除 解 已 得 其 
T12n0322_001:0016b21	所誓，以憂人事，不自忽其事。有恩在人訖，終	所 誓 以 憂 人 事 不 自 忽 其 事 有 恩 在 人 訖 終 
T12n0322_001:0016b22	不望其報，作恩施若干，知恩知反復，為造	不 望 其 報 作 恩 施 若 干 知 恩 知 反 復 為 造 
T12n0322_001:0016b23	行恩德。貧者為施財，諸恐畏者為安隱之，	行 恩 德 貧 者 為 施 財 諸 恐 畏 者 為 安 隱 之 
T12n0322_001:0016b24	憂慼者寬解其憂，無力者忍默之，諸豪強	憂 慼 者 寬 解 其 憂 無 力 者 忍 默 之 諸 豪 強 
T12n0322_001:0016b25	者損憍慢，以棄殊過慢尤慢。以恭敬尊長，	者 損 憍 慢 以 棄 殊 過 慢 尤 慢 以 恭 敬 尊 長 
T12n0322_001:0016b26	承事多聞者，能問明知者。所現以直不虛	承 事 多 聞 者 能 問 明 知 者 所 現 以 直 不 虛 
T12n0322_001:0016b27	飾眾人，而有方便行，德而可求哉！為多聞不	飾 眾 人 而 有 方 便 行 德 而 可 求 哉 為 多 聞 不 
T12n0322_001:0016b28	厭無足，正修懃力，固與聖人相遭。追隨	厭 無 足 正 修 懃 力 固 與 聖 人 相 遭 追 隨 
T12n0322_001:0016b29	聖人而尊敬之，多聞者為事之，知者為問	聖 人 而 尊 敬 之 多 聞 者 為 事 之 知 者 為 問 
T12n0322_001:0016c01	之，所以現直。不師秘眾經，如其所聞為現之，	之 所 以 現 直 不 師 秘 眾 經 如 其 所 聞 為 現 之 
T12n0322_001:0016c02	所聞而曉其義。「一切欲之嬉樂為計非常，不	所 聞 而 曉 其 義 一 切 欲 之 嬉 樂 為 計 非 常 不 
T12n0322_001:0016c03	慕惜身，以自觀其壽如朝露之渧，計財產	慕 惜 身 以 自 觀 其 壽 如 朝 露 之 渧 計 財 產 
T12n0322_001:0016c04	所有如幻雲也。家屬人客計為怨，妻子男	所 有 如 幻 雲 也 家 屬 人 客 計 為 怨 妻 子 男 
T12n0322_001:0016c05	女計為無擇之地獄，以其所有者計為一	女 計 為 無 擇 之 地 獄 以 其 所 有 者 計 為 一 
T12n0322_001:0016c06	切苦，田地舍宅萬物所業者，常以計為疵	切 苦 田 地 舍 宅 萬 物 所 業 者 常 以 計 為 疵 
T12n0322_001:0016c07	也。所求致之德，為不敗壞想；家居者為危想；	也 所 求 致 之 德 為 不 敗 壞 想 家 居 者 為 危 想 
T12n0322_001:0016c08	知識臣下昆弟親屬者，為地獄主者想；終日	知 識 臣 下 昆 弟 親 屬 者 為 地 獄 主 者 想 終 日 
T12n0322_001:0016c09	夜者，為之同想。以不實之身，為以受實	夜 者 為 之 同 想 以 不 實 之 身 為 以 受 實 
T12n0322_001:0016c10	想；以不實之壽，為受實想；以不實之財，	想 以 不 實 之 壽 為 受 實 想 以 不 實 之 財 
T12n0322_001:0016c11	為受實之想。彼若以禮節眾事敬事人者，	為 受 實 之 想 彼 若 以 禮 節 眾 事 敬 事 人 者 
T12n0322_001:0016c12	是以不實之身，為受實也。若昔眾德之本	是 以 不 實 之 身 為 受 實 也 若 昔 眾 德 之 本 
T12n0322_001:0016c13	而不毀，又復增殊者，是以不實之命，以為	而 不 毀 又 復 增 殊 者 是 以 不 實 之 命 以 為 
T12n0322_001:0016c14	受實也。是若以制慳而布恩施德者，是以	受 實 也 是 若 以 制 慳 而 布 恩 施 德 者 是 以 
T12n0322_001:0016c15	不實之財，為以受實也。是為開士居家修	不 實 之 財 為 以 受 實 也 是 為 開 士 居 家 修 
T12n0322_001:0016c16	道者為賢夫之行，為事如是，而無罪也；為	道 者 為 賢 夫 之 行 為 事 如 是 而 無 罪 也 為 
T12n0322_001:0016c17	如來言說、為法說也；亦不毀而不損其本誓，	如 來 言 說 為 法 說 也 亦 不 毀 而 不 損 其 本 誓 
T12n0322_001:0016c18	是謂無上正真之道也。迺現世有無罪之行，	是 謂 無 上 正 真 之 道 也 迺 現 世 有 無 罪 之 行 
T12n0322_001:0016c19	後世亦墮殊勝之道也。「又復理家！開士居家	後 世 亦 墮 殊 勝 之 道 也 又 復 理 家 開 士 居 家 
T12n0322_001:0016c20	修道者，當以自奉持戒事，謂是奉持五戒事	修 道 者 當 以 自 奉 持 戒 事 謂 是 奉 持 五 戒 事 
T12n0322_001:0016c21	也。是以為不好殺生，不加刀杖蠕動之類，	也 是 以 為 不 好 殺 生 不 加 刀 杖 蠕 動 之 類 
T12n0322_001:0016c22	不以嬈固人；是以不好盜竊人物，自有財	不 以 嬈 固 人 是 以 不 好 盜 竊 人 物 自 有 財 
T12n0322_001:0016c23	而知足，他人財不以思，至於幾微草[病丙+歲]之	而 知 足 他 人 財 不 以 思 至 於 幾 微 草 [病丙歲] 之 
T12n0322_001:0016c24	屬，不與終而不取；是以為不好欲之邪行，	屬 不 與 終 而 不 取 是 以 為 不 好 欲 之 邪 行 
T12n0322_001:0016c25	自有妻而知足，他婦女不喜眼視也。意常	自 有 妻 而 知 足 他 婦 女 不 喜 眼 視 也 意 常 
T12n0322_001:0016c26	以自患已，思念欲都為苦。如使生欲念，自	以 自 患 已 思 念 欲 都 為 苦 如 使 生 欲 念 自 
T12n0322_001:0016c27	於其妻，則以觀惡露，以恐怖之念，勞為欲	於 其 妻 則 以 觀 惡 露 以 恐 怖 之 念 勞 為 欲 
T12n0322_001:0016c28	之事，以無畏不苦，以慕戀不常，淨樂想達	之 事 以 無 畏 不 苦 以 慕 戀 不 常 淨 樂 想 達 
T12n0322_001:0016c29	志，迺如是我當以自修。若以思想欲，我以	志 迺 如 是 我 當 以 自 修 若 以 思 想 欲 我 以 
T12n0322_001:0017a01	不為之，何況數數有？是以為不當好妄言，	不 為 之 何 況 數 數 有 是 以 為 不 當 好 妄 言 
T12n0322_001:0017a02	以諦言誠言；以不偽詐性；以不敗心如有	以 諦 言 誠 言 以 不 偽 詐 性 以 不 敗 心 如 有 
T12n0322_001:0017a03	誠，如其所見聞而說之；慎護經法，不用軀	誠 如 其 所 見 聞 而 說 之 慎 護 經 法 不 用 軀 
T12n0322_001:0017a04	命，故以不妄言。是以不當好飲酒，以不醉不	命 故 以 不 妄 言 是 以 不 當 好 飲 酒 以 不 醉 不 
T12n0322_001:0017a05	迷惑不急疾，以無罰而順化，強志以正知。「如	迷 惑 不 急 疾 以 無 罰 而 順 化 強 志 以 正 知 如 
T12n0322_001:0017a06	使復興布施意可，所有一切吾當與人，求	使 復 興 布 施 意 可 所有一切 吾 當 與 人 求 
T12n0322_001:0017a07	食與食、求飲與飲、求車與車、求衣與衣，是以	食 與 食 求 飲 與 飲 求 車 與 車 求 衣 與 衣 是 以 
T12n0322_001:0017a08	與人酒以建志，如是布施度無極。為是時若	與 人 酒 以 建 志 如 是 布 施 度 無 極 為 是 時 若 
T12n0322_001:0017a09	有人所索，則而為與。時我能以酒施，令從	有 人 所 索 則 而 為 與 時 我 能 以 酒 施 令 從 
T12n0322_001:0017a10	彼化志，如以自知為行不迷惑。所以然者何？	彼 化 志 如 以 自 知 為 行 不 迷 惑 所 以 然 者 何 
T12n0322_001:0017a11	夫開士者為眾生周滿其所願，布施度無極，	夫 開 士 者 為 眾 生 周 滿 其 所 願 布 施 度 無 極 
T12n0322_001:0017a12	一已如是。開士居家者以酒施人，而為不獲	一 已 如 是 開 士 居 家 者 以 酒 施 人 而 為 不 獲 
T12n0322_001:0017a13	罪。是以理家！開士以其所修學之德本，變	罪 是 以 理 家 開 士 以 其 所 修 學 之 德 本 變 
T12n0322_001:0017a14	為無上正真道，若以善修，慎護斯五戒矣。又	為 無 上 正 真 道 若 以 善 修 慎 護 斯 五 戒 矣 又 
T12n0322_001:0017a15	當有殊者，不當以相讒眾人，紛諍者而以	當 有 殊 者 不 當 以 相 讒 眾 人 紛 諍 者 而 以 
T12n0322_001:0017a16	和協之，以為不麁言，以柔軟之言，恒先	和 協 之 以 為 不 麁 言 以 柔 軟 之 言 恒 先 
T12n0322_001:0017a17	與人言，亦不以綺語，為義說、為法說、為時	與 人 言 亦 不 以 綺 語 為 義 說 為 法 說 為 時 
T12n0322_001:0017a18	說、為如事說；亦不有癡網，而以安隱加施	說 為 如 事 說 亦 不 有 癡 網 而 以 安 隱 加 施 
T12n0322_001:0017a19	眾生；意為不敗亂，恒以忍辱力而自嚴。以	眾 生 意 為 不 敗 亂 恒 以 忍 辱 力 而 自 嚴 以 
T12n0322_001:0017a20	為用正見，去離邪見，猶為稽首諸佛眾祐，不	為 用 正 見 去 離 邪 見 猶 為 稽 首 諸 佛 眾 祐 不 
T12n0322_001:0017a21	為他天神也。「又復理家！居家修道者，或在	為 他 天 神 也 又 復 理 家 居 家 修 道 者 或 在 
T12n0322_001:0017a22	墟聚郡縣國邑下，當於彼擁護經法，擁護經	墟 聚 郡 縣 國 邑 下 當 於 彼 擁 護 經 法 擁 護 經 
T12n0322_001:0017a23	者為之奈何？夫不信者以信教化之；慳貪者	者 為 之 奈 何 夫 不 信 者 以 信 教 化 之 慳 貪 者 
T12n0322_001:0017a24	以施教化之；惡戒者以戒教化之；亂意者	以 施 教 化 之 惡 戒 者 以 戒 教 化 之 亂 意 者 
T12n0322_001:0017a25	以忍事教化之；懈怠者以精進教化之；失志	以 忍 事 教 化 之 懈 怠 者 以 精 進 教 化 之 失 志 
T12n0322_001:0017a26	者以思惟教化之；邪知以智事教化之；貧	者 以 思 惟 教 化 之 邪 知 以 智 事 教 化 之 貧 
