X62n1209_001:0819b06	影響集	影 響 集 
X62n1209_001:0819c02	偶作	偶 作 
X62n1209_001:0819c03	兀兀翛然却是癡。明明了徹實無知。施為動轉原非	兀 兀 翛 然 却 是 癡 明 明 了 徹 實 無 知 施 為 動 轉 原 非 
X62n1209_001:0819c04	識。水月相交暎綠池。	識 水 月 相 交 暎 綠 池 
X62n1209_001:0819c05	一處消融六處閒。夕陽西去月東環。現成公案休提	一 處 消 融 六 處 閒 夕 陽 西 去 月 東 環 現 成 公 案 休 提 
X62n1209_001:0819c06	起。高臥北窗門不關。	起 高 臥 北 窗 門 不 關 
X62n1209_001:0819c07	二十四氣省懷詩(選三)	二 十 四 氣 省 懷 詩 選 三 
X62n1209_001:0819c08	驚蟄聞雷萬物蘇。莫從箇裏認榮枯。山前澗水源頭	驚 蟄 聞 雷 萬 物 蘇 莫 從 箇 裏 認 榮 枯 山 前 澗 水 源 頭 
X62n1209_001:0819c09	活。徹底澄清不受污。	活 徹 底 澄 清 不 受 污 
X62n1209_001:0819c10	春分紫陌谷鶯啼。一片閒雲伴我栖。明月清風留不	春 分 紫 陌 谷 鶯 啼 一 片 閒 雲 伴 我 栖 明 月 清 風 留 不 
X62n1209_001:0819c11	住。逍遙自在任東西。	住 逍 遙 自 在 任 東 西 
X62n1209_001:0819c12	大雪繽紛似絮團。高山平地一同觀。頭頭物物無窮	大 雪 繽 紛 似 絮 團 高 山 平 地 一 同 觀 頭 頭 物 物 無 窮 
X62n1209_001:0819c13	意。多少禪流被眼瞞。	意 多 少 禪 流 被 眼 瞞 
X62n1209_001:0819c14	無題	無 題 
X62n1209_001:0819c15	看他孤獨人。真為無事客。出入往來間。逍遙無杖策。	看 他 孤 獨 人 真 為 無 事 客 出 入 往 來 間 逍 遙 無 杖 策 
X62n1209_001:0819c16	既無兒女情。亦無妻子迫。偶然樹下坐。則見梅花白。	既 無 兒 女 情 亦 無 妻 子 迫 偶 然 樹 下 坐 則 見 梅 花 白 
X62n1209_001:0819c17	行到山盡頭。坐看雲起處。白雲天際飛。紅日空中住。	行 到 山 盡 頭 坐 看 雲 起 處 白 雲 天 際 飛 紅 日 空 中 住 
X62n1209_001:0819c18	滄海變桑田。邱陵夷無地。起滅水中漚。聚散小兒戲。	滄 海 變 桑 田 邱 陵 夷 無 地 起 滅 水 中 漚 聚 散 小 兒 戲 
X62n1209_001:0819c19	堪嗟為僧者。未聞佛教音。但知噇飽飯。不悟本來人。	堪 嗟 為 僧 者 未 聞 佛 教 音 但 知 噇 飽 飯 不 悟 本 來 人 
X62n1209_001:0819c20	終日心境鬬。拘牽利與名。能得幾時在。俄成一聚塵。	終 日 心 境 鬬 拘 牽 利 與 名 能 得 幾 時 在 俄 成 一 聚 塵 
X62n1209_001:0819c21	今朝年初一。元旦是好日。[冬/鼓][冬/鼓]鑼鼓響。个个衣冠飾。	今 朝 年 初 一 元 旦 是 好 日 [冬鼓][冬鼓] 鑼 鼓 響 个 个 衣 冠 飾 
X62n1209_001:0819c22	相逢咸打恭。茶話喜作揖。人人賀新年。我道是舊日。	相 逢 咸 打 恭 茶 話 喜 作 揖 人 人 賀 新 年 我 道 是 舊 日 
X62n1209_001:0819c23	石室寒巗客。不知晝與夜。坐來歲月忘。嬾把眾生化。	石 室 寒 巗 客 不 知 晝 與 夜 坐 來 歲 月 忘 嬾 把 眾 生 化 
X62n1209_001:0819c24	真个自了漢。賊虎龍蛇怕。問他廬陵米。如今作麼價。	真 个 自 了 漢 賊 虎 龍 蛇 怕 問 他 廬 陵 米 如 今 作 麼 價 
X62n1209_001:0820a01	但說世界空。時時行於有。空亦不自空。有亦不自有。	但 說 世 界 空 時 時 行 於 有 空 亦 不 自 空 有 亦 不 自 有 
X62n1209_001:0820a02	空有本來無。無無何須守。論塵野犴鳴。談真獅子吼。	空 有 本 來 無 無 無 何 須 守 論 塵 野 犴 鳴 談 真 獅 子 吼 
X62n1209_001:0820a03	今古往來客。奔波日夜忙。貪榮為底事。謀利作經商。	今 古 往 來 客 奔 波 日 夜 忙 貪 榮 為 底 事 謀 利 作 經 商 
X62n1209_001:0820a04	富貴暫時樂。泥犁萬劫長。前程長遠在。何不早還鄉。	富 貴 暫 時 樂 泥 犁 萬 劫 長 前 程 長 遠 在 何 不 早 還 鄉 
X62n1209_001:0820a05	人壽不滿百。夭殤更可憐。況逢世路險。往復轉喬遷。	人 壽 不 滿 百 夭 殤 更 可 憐 況 逢 世 路 險 往 復 轉 喬 遷 
X62n1209_001:0820a06	恩愛終須別。冤親未了緣。無生極樂國。解脫自安然。	恩 愛 終 須 別 冤 親 未 了 緣 無 生 極 樂 國 解 脫 自 安 然 
X62n1209_001:0820a07	業淨未曾乾。眾生處處著。回頭自反觀。旋轉皆旅泊。	業 淨 未 曾 乾 眾 生 處 處 著 回 頭 自 反 觀 旋 轉 皆 旅 泊 
X62n1209_001:0820a08	但覺本性空。諸緣自脫却。逍遙無事人。所在成安樂。	但 覺 本 性 空 諸 緣 自 脫 却 逍 遙 無 事 人 所 在 成 安 樂 
X62n1209_001:0820a09	聚沙菴歌	聚 沙 菴 歌 
X62n1209_001:0820a10	一粒沙藏世界。無邊剎土不為大。童子戲莊成佛塔。	一 粒 沙 藏 世 界 無 邊 剎 土 不 為 大 童 子 戲 莊 成 佛 塔 
X62n1209_001:0820a11	山僧旋繞忘疲怠。何為菴絕纏蓋。樓臺殿閣無障礙。	山 僧 旋 繞 忘 疲 怠 何 為 菴 絕 纏 蓋 樓 臺 殿 閣 無 障 礙 
X62n1209_001:0820a12	廚竈三門日日新。交飛羣燕往來賓。未識菴中誰是	廚 竈 三 門 日 日 新 交 飛 羣 燕 往 來 賓 未 識 菴 中 誰 是 
X62n1209_001:0820a13	主。主中之主沒疎親。沒疏親無用人。莫向个中細討	主 主 中 之 主 沒 疎 親 沒 疏 親 無 用 人 莫 向 个 中 細 討 
X62n1209_001:0820a14	論。八風不動消息盡。覺海圓明心月澄。體似鏡用如	論 八 風 不 動 消 息 盡 覺 海 圓 明 心 月 澄 體 似 鏡 用 如 
X62n1209_001:0820a15	神。胡來漢現不留痕。城隍市井如來藏。有相身中無	神 胡 來 漢 現 不 留 痕 城 隍 市 井 如 來 藏 有 相 身 中 無 
X62n1209_001:0820a16	相身。屋雖小恰寬舒。恒沙諸佛眾生居。成住壞空幻	相 身 屋 雖 小 恰 寬 舒 恒 沙 諸 佛 眾 生 居 成 住 壞 空 幻 
X62n1209_001:0820a17	起滅。基地堅牢本自如。三椽下六窻內。吃飯穿衣無	起 滅 基 地 堅 牢 本 自 如 三 椽 下 六 窻 內 吃 飯 穿 衣 無 
X62n1209_001:0820a18	向背。茫茫今古眾英雄。千萬買隣空自累。	向 背 茫 茫 今 古 眾 英 雄 千 萬 買 隣 空 自 累 
X62n1209_001:0820a19	經題如是	經 題 如 是 
X62n1209_001:0820a20	這箇是恁麼。旋嵐而倒嶽。十方與三世。何處生芒角。	這 箇 是 恁 麼 旋 嵐 而 倒 嶽 十 方 與 三 世 何 處 生 芒 角 
X62n1209_001:0820a21	春暖花爛漫。秋風樹葉落。切莫動著他。天然活卓卓。	春 暖 花 爛 漫 秋 風 樹 葉 落 切 莫 動 著 他 天 然 活 卓 卓 
X62n1209_001:0820a22	擬古為平湖陸孝女作	擬 古 為 平 湖 陸 孝 女 作 
X62n1209_001:0820a23	瞻彼鵡湖。維潔維清。厥有陸女。曰孝曰貞。(一解)無父何	瞻 彼 鵡 湖 維 潔 維 清 厥 有 陸 女 曰 孝 曰 貞 一 解 無 父 何 
X62n1209_001:0820a24	怙。有母能慈。撫我育我。朝夕依依。(二解)俾我及笄。為我	怙 有 母 能 慈 撫 我 育 我 朝 夕 依 依 二 解 俾 我 及 笄 為 我 
X62n1209_001:0820b01	聯姻。夭桃未賦。孤雁沈淪。(三解)誓不再更。願終養母。裁	聯 姻 夭 桃 未 賦 孤 雁 沈 淪 三 解 誓 不 再 更 願 終 養 母 裁 
X62n1209_001:0820b02	雲縷月。不辭勞服。(四解)母沒女存。女淚濺濺。竟隨母逝。	雲 縷 月 不 辭 勞 服 四 解 母 沒 女 存 女 淚 濺 濺 竟 隨 母 逝 
X62n1209_001:0820b03	貞孝兩全。(五解)光明心地。一志允終。神其遠矣。名留淛	貞 孝 兩 全 五 解 光 明 心 地 一 志 允 終 神 其 遠 矣 名 留 淛 
X62n1209_001:0820b04	東(六解)。	東 六 解 
X62n1209_001:0820b05	念佛詩四十八首	念 佛 詩 四 十 八 首 
X62n1209_001:0820b06	一句彌陀稱性稱。蓮花九品攝三乘。無生一念超權	一 句 彌 陀 稱 性 稱 蓮 花 九 品 攝 三 乘 無 生 一 念 超 權 
X62n1209_001:0820b07	學。補處金臺即可登。	學 補 處 金 臺 即 可 登 
X62n1209_001:0820b08	一句彌陀三際平。願弘六八一時成。三祗萬行圓修	一 句 彌 陀 三 際 平 願 弘 六 八 一 時 成 三 祗 萬 行 圓 修 
X62n1209_001:0820b09	證。頓悟無生無不生。	證 頓 悟 無 生 無 不 生 
X62n1209_001:0820b10	一句彌陀妙悟存。性空罪福不留痕。蓮花朵朵隨心	一 句 彌 陀 妙 悟 存 性 空 罪 福 不 留 痕 蓮 花 朵 朵 隨 心 
X62n1209_001:0820b11	現。聽法常依世所尊。	現 聽 法 常 依 世 所 尊 
X62n1209_001:0820b12	一句彌陀理現成。無修無證亦無生。法王自有光明	一 句 彌 陀 理 現 成 無 修 無 證 亦 無 生 法 王 自 有 光 明 
X62n1209_001:0820b13	界。步步琉璃地上行。	界 步 步 琉 璃 地 上 行 
X62n1209_001:0820b14	一句彌陀信願真。東西土不離當人。箇中圓裹三千	一 句 彌 陀 信 願 真 東 西 土 不 離 當 人 箇 中 圓 裹 三 千 
X62n1209_001:0820b15	界。樹樹花開一樣春。	界 樹 樹 花 開 一 樣 春 
X62n1209_001:0820b16	一句彌陀照世燈。無邊教海總持能。本來妙諦通真	一 句 彌 陀 照 世 燈 無 邊 教 海 總 持 能 本 來 妙 諦 通 真 
X62n1209_001:0820b17	俗。不滯中觀即上乘。	俗 不 滯 中 觀 即 上 乘 
X62n1209_001:0820b18	一句彌陀決定稱。別求向上更何能。聲聲遍滿處空	一 句 彌 陀 決 定 稱 別 求 向 上 更 何 能 聲 聲 遍 滿 處 空 
X62n1209_001:0820b19	界。落盡牽纏倚樹藤(我　朝　　　世宗憲皇帝云直將阿彌陀佛四字作句話頭	界 落 盡 牽 纏 倚 樹 藤 我 朝 世 宗 憲 皇 帝 云 直 將 阿 彌 陀 佛 四 字 作 句 話 頭 
X62n1209_001:0820b20	一念萬年自然摸著鼻孔)。	一 念 萬 年 自 然 摸 著 鼻 孔 
X62n1209_001:0820b21	一句彌陀果作因。天真父子體同倫。堂堂獨露娘生	一 句 彌 陀 果 作 因 天 真 父 子 體 同 倫 堂 堂 獨 露 娘 生 
X62n1209_001:0820b22	面。信步還鄉莫背親。	面 信 步 還 鄉 莫 背 親 
X62n1209_001:0820b23	一句彌陀體用真。當陽覿面露全身。無陰陽地翻觔	一 句 彌 陀 體 用 真 當 陽 覿 面 露 全 身 無 陰 陽 地 翻 觔 
X62n1209_001:0820b24	斗。剎剎塵塵轉法輪。	斗 剎 剎 塵 塵 轉 法 輪 
X62n1209_001:0820c01	一句彌陀信口稱。纔興一念隔千層。本真豈待回光	一 句 彌 陀 信 口 稱 纔 興 一 念 隔 千 層 本 真 豈 待 回 光 
X62n1209_001:0820c02	照。無量音聲即法燈。	照 無 量 音 聲 即 法 燈 
X62n1209_001:0820c03	一句彌陀念慮清。當人已屬寶蓮生。何須兩土分清	一 句 彌 陀 念 慮 清 當 人 已 屬 寶 蓮 生 何 須 兩 土 分 清 
X62n1209_001:0820c04	濁。个个毗盧頂上行。	濁 个 个 毗 盧 頂 上 行 
X62n1209_001:0820c05	一句彌陀稱自心。廣長舌相是知音。六方齊讚彌陀	一 句 彌 陀 稱 自 心 廣長舌相 是 知 音 六 方 齊 讚 彌 陀 
X62n1209_001:0820c06	佛。不是尋常學誦吟。	佛 不 是 尋 常 學 誦 吟 
X62n1209_001:0820c07	一句彌陀度此生。蓮花國裏早標名。八功德水常充	一 句 彌 陀 度 此 生 蓮 花 國 裏 早 標 名 八功德水 常 充 
X62n1209_001:0820c08	滿。如意珠王骨自清。	滿 如 意 珠 王 骨 自 清 
X62n1209_001:0820c09	一句彌陀轉法輪。緣因徹處了因真。明珠護惜戒根	一 句 彌 陀 轉 法 輪 緣 因 徹 處 了 因 真 明 珠 護 惜 戒 根 
X62n1209_001:0820c10	淨。一剎那間證正因。	淨 一 剎 那 間 證 正 因 
X62n1209_001:0820c11	一句彌陀佛脉清。開權顯實悟無生。圓明處處長安	一 句 彌 陀 佛 脉 清 開 權 顯 實 悟 無 生 圓 明 處 處 長 安 
X62n1209_001:0820c12	道。何用三車門外迎。	道 何 用 三 車 門 外 迎 
X62n1209_001:0820c13	一句彌陀辟惡氛。娑婆苦海頓超羣。風聲鳥語談真	一 句 彌 陀 辟 惡 氛 娑 婆 苦 海 頓 超 羣 風 聲 鳥 語 談 真 
X62n1209_001:0820c14	諦。淨穢何妨分不分。	諦 淨 穢 何 妨 分 不 分 
X62n1209_001:0820c15	一句彌陀妙獨尊。性修交互莫須論。同時遮照身心	一 句 彌 陀 妙 獨 尊 性 修 交 互 莫 須 論 同 時 遮 照 身 心 
X62n1209_001:0820c16	徹。依正融通不二門。	徹 依 正 融 通 不 二 門 
X62n1209_001:0820c17	一句彌陀決定因。樂邦徑路不迷津。何須更覓安心	一 句 彌 陀 決 定 因 樂 邦 徑 路 不 迷 津 何 須 更 覓 安 心 
X62n1209_001:0820c18	法。始本如如子向親。	法 始 本 如 如 子 向 親 
X62n1209_001:0820c19	一句彌陀靜聽真。聲聲喚醒本來人。明珠百八循環	一 句 彌 陀 靜 聽 真 聲 聲 喚 醒 本 來 人 明 珠 百 八 循 環 
X62n1209_001:0820c20	轉。無數祥光舌底申。	轉 無 數 祥 光 舌 底 申 
X62n1209_001:0820c21	一句彌陀三昧成。冥通聖境佛來迎。玲瓏性相蓮花	一 句 彌 陀 三 昧 成 冥 通 聖 境 佛 來 迎 玲 瓏 性 相 蓮 花 
X62n1209_001:0820c22	土。不動身心悟法明。	土 不 動 身 心 悟 法 明 
X62n1209_001:0820c23	一句彌陀本最清。三修圓具果中因。而今莫問如如	一 句 彌 陀 本 最 清 三 修 圓 具 果 中 因 而 今 莫 問 如 如 
X62n1209_001:0820c24	諦。脫體無依身外身。	諦 脫 體 無 依 身 外 身 
X62n1209_001:0821a01	一句彌陀念莫停。繁華叢裏夢初醒。雲開月現光華	一 句 彌 陀 念 莫 停 繁 華 叢 裏 夢 初 醒 雲 開 月 現 光 華 
X62n1209_001:0821a02	滿。徧界花臺故國寧。	滿 徧 界 花 臺 故 國 寧 
X62n1209_001:0821a03	一句彌陀妙轉輪。恒沙諸佛讚斯人。同聲相應金臺	一 句 彌 陀 妙 轉 輪 恒 沙 諸 佛 讚 斯 人 同 聲 相 應 金 臺 
X62n1209_001:0821a04	現。頓證無生即法身。	現 頓 證 無 生 即 法 身 
X62n1209_001:0821a05	一句彌陀了義成。直心正念志專精。真誠不假功勳	一 句 彌 陀 了 義 成 直 心 正 念 志 專 精 真 誠 不 假 功 勳 
X62n1209_001:0821a06	就。花閣重重隨自行。	就 花 閣 重 重 隨 自 行 
X62n1209_001:0821a07	一句彌陀別有靈。紅塵影裏白蓮馨。池深花大猶餘	一 句 彌 陀 別 有 靈 紅 塵 影 裏 白 蓮 馨 池 深 花 大 猶 餘 
X62n1209_001:0821a08	事。露坐金臺法界寧。	事 露 坐 金 臺 法 界 寧 
X62n1209_001:0821a09	一句彌陀作入神。山河大地絕纖塵。莊嚴無量從心	一 句 彌 陀 作 入 神 山 河 大 地 絕 纖 塵 莊 嚴 無 量 從 心 
X62n1209_001:0821a10	現。心地閒閒四季春。	現 心 地 閒 閒 四 季 春 
X62n1209_001:0821a11	一句彌陀救死生。超凡行願霎時成。輪迴從此頓然	一 句 彌 陀 救 死 生 超 凡 行 願 霎 時 成 輪 迴 從 此 頓 然 
X62n1209_001:0821a12	息。來往無遮法界清。	息 來 往 無 遮 法 界 清 
X62n1209_001:0821a13	一句彌陀滌俗襟。法身向上少知音。堂堂日用天真	一 句 彌 陀 滌 俗 襟 法 身 向 上 少 知 音 堂 堂 日 用 天 真 
X62n1209_001:0821a14	佛。不肯回頭何處尋。	佛 不 肯 回 頭 何 處 尋 
X62n1209_001:0821a15	一句彌陀絕妙門。依憑四字出乾坤。法王最勝伽陀	一 句 彌 陀 絕 妙 門 依 憑 四 字 出 乾 坤 法 王 最 勝 伽 陀 
X62n1209_001:0821a16	藥。唯在都盧一口吞。	藥 唯 在 都 盧 一 口 吞 
X62n1209_001:0821a17	一句彌陀靜有音。無邊勝侶已來臨。本光一發浮雲	一 句 彌 陀 靜 有 音 無 邊 勝 侶 已 來 臨 本 光 一 發 浮 雲 
X62n1209_001:0821a18	散。見佛原來見自心。	散 見 佛 原 來 見 自 心 
X62n1209_001:0821a19	一句彌陀法樂成。汪洋苦海一時傾。水晶樓閣蓮花	一 句 彌 陀 法 樂 成 汪 洋 苦 海 一 時 傾 水 晶 樓 閣 蓮 花 
X62n1209_001:0821a20	座。慧照重重萬法明。	座 慧 照 重 重 萬 法 明 
X62n1209_001:0821a21	一句彌陀萬念真。金剛堅固力持身。得生彼國無窮	一 句 彌 陀 萬 念 真 金剛堅固 力 持 身 得 生 彼 國 無 窮 
X62n1209_001:0821a22	壽。覺樹花開別有春。	壽 覺 樹 花 開 別 有 春 
X62n1209_001:0821a23	一句彌陀法法平。六根無礙六塵清。本來四土無高	一 句 彌 陀 法 法 平 六 根 無 礙 六 塵 清 本 來 四 土 無 高 
X62n1209_001:0821a24	下。福慧良田不假耕。	下 福 慧 良 田 不 假 耕 
X62n1209_001:0821b01	一句彌陀佛慧明。唯心淨土不生生。從來身土原非	一 句 彌 陀 佛 慧 明 唯 心 淨 土 不 生 生 從 來 身 土 原 非 
X62n1209_001:0821b02	隔。主伴圓融性海平。	隔 主 伴 圓 融 性 海 平 
X62n1209_001:0821b03	一句彌陀願力誠。圓成十念往西行。居然下品猶登	一 句 彌 陀 願 力 誠 圓 成 十 念 往 西 行 居 然 下 品 猶 登 
X62n1209_001:0821b04	岸。托質蓮胎脫四生。	岸 托 質 蓮 胎 脫 四 生 
X62n1209_001:0821b05	一句彌陀盡力稱。三塗八難總超升。持名滅罪金蓮	一 句 彌 陀 盡 力 稱 三 塗 八 難 總 超 升 持 名 滅 罪 金 蓮 
X62n1209_001:0821b06	現。悲願全憑佛力增。	現 悲 願 全 憑 佛 力 增 
X62n1209_001:0821b07	一句彌陀慧月臨。如來護念善根深。徑登不退趨安	一 句 彌 陀 慧 月 臨 如 來 護 念 善 根 深 徑 登 不 退 趨 安 
X62n1209_001:0821b08	養。垢習塵勞總不侵。	養 垢 習 塵 勞 總 不 侵 
X62n1209_001:0821b09	一句彌陀信可珍。金容佛影現吾心。此生每厭娑婆	一 句 彌 陀 信 可 珍 金 容 佛 影 現 吾 心 此 生 每 厭 娑 婆 
X62n1209_001:0821b10	苦。遙想花池寶樹林。	苦 遙 想 花 池 寶 樹 林 
X62n1209_001:0821b11	一句彌陀見本真。回光返照脫沈淪。願將八德池中	一 句 彌 陀 見 本 真 回 光 返 照 脫 沈 淪 願 將 八 德 池 中 
X62n1209_001:0821b12	水。滌盡娑婆世上塵。	水 滌 盡 娑 婆 世 上 塵 
X62n1209_001:0821b13	一句彌陀慧力存。甚深妙法在斯門。鍛凡煉聖金師	一 句 彌 陀 慧 力 存 甚 深 妙 法 在 斯 門 鍛 凡 煉 聖 金 師 
X62n1209_001:0821b14	子。金體玲瓏報佛恩。(花嚴極樂極樂花嚴)	子 金 體 玲 瓏 報 佛 恩 花 嚴 極 樂 極 樂 花 嚴 
X62n1209_001:0821b15	一句彌陀俗慮清。誰聞淨土不求生。祇緣彼國嚴新	一 句 彌 陀 俗 慮 清 誰 聞 淨 土 不 求 生 祇 緣 彼 國 嚴 新 
X62n1209_001:0821b16	果。廣種心田努力耕。	果 廣 種 心 田 努 力 耕 
X62n1209_001:0821b17	一句彌陀無古今。慈雲靄靄倍欽心。當觀落日如懸	一 句 彌 陀 無 古 今 慈 雲 靄 靄 倍 欽 心 當 觀 落 日 如 懸 
X62n1209_001:0821b18	鼓。天樂盈空法韻深。	鼓 天 樂 盈 空 法 韻 深 
X62n1209_001:0821b19	一句彌陀轉念輪。五根五力妙嚴身。百千三昧從斯	一 句 彌 陀 轉 念 輪 五 根 五 力 妙 嚴 身 百 千 三 昧 從 斯 
X62n1209_001:0821b20	就。萬善齊修不退因。(似有永明在目)	就 萬 善 齊 修 不 退 因 似 有 永 明 在 目 
X62n1209_001:0821b21	一句彌陀物不侵。塵塵剎剎現吾心。無邊天樂微風	一 句 彌 陀 物 不 侵 塵 塵 剎 剎 現 吾 心 無 邊 天 樂 微 風 
X62n1209_001:0821b22	奏。更有頻伽發妙音。	奏 更 有 頻 伽 發 妙 音 
X62n1209_001:0821b23	一句彌陀悅性情。功深離相逆流行。雙亡雙照心無	一 句 彌 陀 悅 性 情 功 深 離 相 逆 流 行 雙 亡 雙 照 心 無 
X62n1209_001:0821b24	染。離即離非法性平。	染 離 即 離 非 法 性 平 
X62n1209_001:0821c01	一句彌陀妙莫論。花嚴界裏十玄因。破除情量知無	一 句 彌 陀 妙 莫 論 花 嚴 界 裏 十 玄 因 破 除 情 量 知 無 
X62n1209_001:0821c02	礙。一念齊開勝法輪。(靈復曰絕似鏡影鐘聲諸作)	礙 一 念 齊 開 勝 法 輪 靈 復 曰 絕 似 鏡 影 鐘 聲 諸 作 
X62n1209_001:0821c03	一句彌陀境界清。三千性相等圓明。一方土淨方方	一 句 彌 陀 境 界 清 三 千 性 相 等 圓 明 一 方 土 淨 方 方 
X62n1209_001:0821c04	淨。一念專精念念精。	淨 一 念 專 精 念 念 精 
X62n1209_001:0821c05	一句彌陀心月臨。後心功在最初心。三祗片念圓無	一 句 彌 陀 心 月 臨 後 心 功 在 最 初 心 三 祗 片 念 圓 無 
X62n1209_001:0821c06	二。即此因深果自深。	二 即 此 因 深 果 自 深 
X62n1209_001:0821c07	阿育王舍利塔前然指願文	阿 育 王 舍 利 塔 前 然 指 願 文 
X62n1209_001:0821c08	歸命大願王。無垢清淨光。解脫三昧海。蕩滌我心涼。	歸 命 大 願 王 無 垢 清 淨 光 解 脫 三 昧 海 蕩 滌 我 心 涼 
X62n1209_001:0821c09	弟子(如德)等。與法界含識。無始至今。具二種之無明。	弟 子 如 德 等 與 法 界 含 識 無 始 至 今 具 二 種 之 無 明 
X62n1209_001:0821c10	作二死之根本。迷真逐妄。背覺合塵。依於三業。六根	作 二 死 之 根 本 迷 真 逐 妄 背 覺 合 塵 依 於 三 業 六 根 
X62n1209_001:0821c11	所造。五逆十重。惡因廣大。苦果無窮。沒溺三途。沈埋	所 造 五 逆 十 重 惡 因 廣 大 苦 果 無 窮 沒 溺 三 途 沈 埋 
X62n1209_001:0821c12	六道。因緣宿習。感報女流。學正教以靡窮。修淨業而	六 道 因 緣 宿 習 感 報 女 流 學 正 教 以 靡 窮 修 淨 業 而 
X62n1209_001:0821c13	罔就。雖墮僧數。於戒有違反。復思維慚惶克責。敬然	罔 就 雖 墮 僧 數 於 戒 有 違 反 復 思 維 慚 惶 克 責 敬 然 
X62n1209_001:0821c14	一指。奉供　本師釋迦文佛。真身舍利寶塔。平等真	一 指 奉 供 本 師 釋 迦 文 佛 真 身 舍 利 寶 塔 平 等 真 
X62n1209_001:0821c15	如。一體三寶。蓮花界中。彌陀如來。觀音勢至。海眾菩	如 一 體 三 寶 蓮 花 界 中 彌 陀 如 來 觀 音 勢 至 海 眾 菩 
X62n1209_001:0821c16	薩。同垂證明。加被攝受。(如德)假陳幻焰指頭。煅煉金	薩 同 垂 證 明 加 被 攝 受 如 德 假 陳 幻 焰 指 頭 煅 煉 金 
X62n1209_001:0821c17	剛智性。慧光晃耀。裂邪見之網羅。妙觀圓通。破重陰	剛 智 性 慧 光 晃 耀 裂 邪 見 之 網 羅 妙 觀 圓 通 破 重 陰 
X62n1209_001:0821c18	之區宇。罪愆消滅。早悟圓頓上乘。修證齊融。直入毗	之 區 宇 罪 愆 消 滅 早 悟 圓 頓 上 乘 修 證 齊 融 直 入 毗 
X62n1209_001:0821c19	盧性海。忘身與意。利己及人。平等光中。決定往生極	盧 性 海 忘 身 與 意 利 己 及 人 平 等 光 中 決 定 往 生 極 
X62n1209_001:0821c20	樂世界。寂光真境。不隔纖毫。更願臨命終時。三心圓	樂 世 界 寂 光 真 境 不 隔 纖 毫 更 願 臨命終時 三 心 圓 
X62n1209_001:0821c21	顯。三障頓消。蓮開上品之花。佛授菩提之記。承事十	顯 三 障 頓 消 蓮 開 上 品 之 花 佛 授 菩 提 之 記 承 事 十 
X62n1209_001:0821c22	方諸佛。度化一切有情。盡未來際。無有疲厭。	方 諸 佛 度 化 一切有情 盡未來際 無 有 疲 厭 
X62n1209_001:0821c23	目前機跋	目 前 機 跋 
X62n1209_001:0821c24	夫目前機者。從上諸老宿。自悟已後。見色聞聲。舉步	夫 目 前 機 者 從 上 諸 老 宿 自 悟 已 後 見 色 聞 聲 舉 步 
