T14n0449_001:0401a02	  [  ; 灌頂經卷第十二]	 [灌頂經卷第十二] 
T14n0449_001:0401c05	以我光故，隨意所趣，作諸事業。	以 我 光 故 隨 意 所 趣 作 諸 事 業 
T14n0449_001:0401c06	「第三大願：願我來世得菩提時，以無邊無	 第 三 大 願 願 我 來 世 得 菩 提 時 以 無 邊 無 
T14n0449_001:0401c07	限智慧方便，令無量眾生界受用無盡，莫	限 智慧方便 令 無 量 眾 生 界 受 用 無 盡 莫 
T14n0449_001:0401c08	令一人有所少乏。	令 一 人 有 所 少 乏 
T14n0449_001:0401c09	「第四大願：願我來世得菩提時，諸有眾生	 第 四 大 願 願 我 來 世 得 菩 提 時 諸 有 眾 生 
T14n0449_001:0401c10	行異道者，一切安立菩提道中，行聲聞道、	行 異 道 者 一 切 安 立 菩 提 道 中 行 聲 聞 道 
T14n0449_001:0401c11	行辟支佛道者，皆以大乘而安立之。	行 辟支佛道 者 皆 以 大 乘 而 安 立 之 
T14n0449_001:0401c12	「第五大願：願我來世得菩提時，若有眾生	 第 五 大 願 願 我 來 世 得 菩 提 時 若 有 眾 生 
T14n0449_001:0401c13	於我法中修行梵行，此諸眾生無量無邊，	於 我 法 中 修行梵行 此 諸 眾 生 無量無邊 
T14n0449_001:0401c14	一切皆得不缺減戒，具三聚戒，無有破戒	一 切 皆 得 不 缺 減 戒 具 三 聚 戒 無 有 破 戒 
T14n0449_001:0401c15	趣惡道者。	趣 惡 道 者 
T14n0449_001:0401c16	「第六大願：願我來世得菩提時，若有眾生，	 第 六 大 願 願 我 來 世 得 菩 提 時 若 有 眾 生 
T14n0449_001:0401c17	其身下劣，諸根不具，醜陋頑愚，聾盲跛躄，身	其 身 下 劣 諸根不具 醜 陋 頑 愚 聾 盲 跛 躄 身 
T14n0449_001:0401c18	攣背傴，白癩癲狂，若復有餘種種身病，聞	攣 背 傴 白 癩 癲 狂 若 復 有 餘 種 種 身 病 聞 
T14n0449_001:0401c19	我名已，一切皆得，諸根具足，身分成滿。	我 名 已 一 切 皆 得 諸 根 具 足 身 分 成 滿 
T14n0449_001:0401c20	「第七大願：願我來世得菩提時，若有眾生，	 第 七 大 願 願 我 來 世 得 菩 提 時 若 有 眾 生 
T14n0449_001:0401c21	諸患逼切，無護無依，無有住處，遠離一切	諸 患 逼 切 無 護 無 依 無有住處 遠 離 一 切 
T14n0449_001:0401c22	資生醫藥，又無親屬，貧窮可愍，此人若得	資 生 醫 藥 又 無 親 屬 貧 窮 可 愍 此 人 若 得 
T14n0449_001:0401c23	聞我名號，眾患悉除，無諸痛惱，乃至究竟	聞 我 名 號 眾 患 悉 除 無 諸 痛 惱 乃 至 究 竟 
T14n0449_001:0401c24	無上菩提。	無上菩提 
T14n0449_001:0401c25	「第八大願：願我來世得菩提時，若有女人，	 第 八 大 願 願 我 來 世 得 菩 提 時 若 有 女 人 
T14n0449_001:0401c26	為婦人百惡所逼惱故，厭離女身，願捨女	為 婦 人 百 惡 所 逼 惱 故 厭 離 女 身 願 捨 女 
T14n0449_001:0401c27	形，聞我名已，轉女人身成丈夫相，乃至究	形 聞 我 名 已 轉 女 人 身 成 丈 夫 相 乃 至 究 
T14n0449_001:0401c28	竟無上菩提。	竟 無上菩提 
T14n0449_001:0401c29	「第九大願：願我來世得菩提時，令一切眾	 第 九 大 願 願 我 來 世 得 菩 提 時 令 一 切 眾 
T14n0449_001:0402a01	生解脫魔網，若墮種種異見稠林，悉當安	生 解 脫 魔 網 若 墮 種種異見 稠 林 悉 當 安 
T14n0449_001:0402a02	立置於正見，次第示以菩薩行門。	立 置 於 正 見 次 第 示 以 菩 薩 行 門 
T14n0449_001:0402a03	「第十大願：願我來世得菩提時，若有眾生，	 第 十 大 願 願 我 來 世 得 菩 提 時 若 有 眾 生 
T14n0449_001:0402a04	種種王法，繫縛、鞭撻、牢獄、應死，無量災難，悲	種 種 王 法 繫 縛 鞭 撻 牢 獄 應 死 無 量 災 難 悲 
T14n0449_001:0402a05	憂煎迫，身心受苦，此等眾生，以我福力，皆得	憂 煎 迫 身 心 受 苦 此 等 眾 生 以 我 福 力 皆 得 
T14n0449_001:0402a06	解脫一切苦惱。	解 脫 一 切 苦 惱 
T14n0449_001:0402a07	「十一大願：願我來世得菩提時，若有眾生，	 十 一 大 願 願 我 來 世 得 菩 提 時 若 有 眾 生 
T14n0449_001:0402a08	飢火燒身，為求食故，作諸惡業，我於彼所，	飢 火 燒 身 為 求 食 故 作 諸 惡 業 我 於 彼 所 
T14n0449_001:0402a09	先以最妙色香味食，飽足其身，後以法味，	先 以 最 妙 色 香 味 食 飽 足 其 身 後 以 法 味 
T14n0449_001:0402a10	畢竟安樂而建立之。	畢 竟 安 樂 而 建 立 之 
T14n0449_001:0402a11	「十二大願：願我來世得菩提時，若有眾	 十 二 大 願 願 我 來 世 得 菩 提 時 若 有 眾 
T14n0449_001:0402a12	生，貧無衣服，寒熱蚊虻，日夜逼惱，我當	生 貧 無 衣 服 寒 熱 蚊 虻 日 夜 逼 惱 我 當 
T14n0449_001:0402a13	施彼，隨用衣服，種種雜色，如其所好，亦以	施 彼 隨 用 衣 服 種 種 雜 色 如 其 所 好 亦 以 
T14n0449_001:0402a14	一切寶莊嚴具，花鬘、塗香、鼓樂、眾伎，隨諸眾	一 切 寶 莊 嚴 具 花 鬘 塗 香 鼓 樂 眾 伎 隨 諸 眾 
T14n0449_001:0402a15	生所須之，具皆令滿足。	生 所 須 之 具 皆 令 滿 足 
T14n0449_001:0402a16	「此十二大願，是彼世尊藥師琉璃光如來、應、	 此 十 二 大 願 是 彼 世 尊 藥師琉璃光 如 來 應 
T14n0449_001:0402a17	正遍知，行菩薩時，本昔所作。「復次，曼殊室	正 遍 知 行 菩 薩 時 本 昔 所 作 復 次 曼 殊 室 
T14n0449_001:0402a18	利！藥師琉璃光如來所有諸願，及彼佛土功	利 藥師琉璃光 如 來 所 有 諸 願 及 彼 佛 土 功 
T14n0449_001:0402a19	德莊嚴，乃至窮劫說不可盡。彼佛國土一	德 莊 嚴 乃 至 窮 劫 說 不 可 盡 彼 佛 國 土 一 
T14n0449_001:0402a20	向清淨，無女人形，離諸欲惡，亦無一切	向 清 淨 無 女 人 形 離 諸 欲 惡 亦 無 一 切 
T14n0449_001:0402a21	惡道苦聲，琉璃為地，城闕、垣墻、門窓、堂閣	惡 道 苦 聲 琉 璃 為 地 城 闕 垣 墻 門 窓 堂 閣 
T14n0449_001:0402a22	柱樑、斗拱、周匝羅網，皆七寶成，如極樂國，	柱 樑 斗 拱 周 匝 羅 網 皆 七 寶 成 如 極 樂 國 
T14n0449_001:0402a23	淨琉璃界莊嚴如是。「於其國中有二菩薩	淨 琉 璃 界 莊 嚴 如 是 於 其 國 中 有 二 菩 薩 
T14n0449_001:0402a24	摩訶薩，一名日光，二名月光，於彼無量	摩 訶 薩 一 名 日 光 二 名 月 光 於 彼 無 量 
T14n0449_001:0402a25	無數諸菩薩眾，最為上首，持彼世尊藥師	無 數 諸 菩 薩 眾 最 為 上 首 持 彼 世 尊 藥 師 
T14n0449_001:0402a26	琉璃光如來正法之藏。「是故，曼殊室利！信	琉 璃 光 如 來 正 法 之 藏 是 故 曼 殊 室 利 信 
T14n0449_001:0402a27	心善男子、善女人，應當願生彼佛國土。」	心 善 男 子 善 女 人 應 當 願 生 彼 佛 國 土 
T14n0449_001:0402a28	爾時，世尊復告曼殊室利童子言：「曼殊室利！	爾 時 世 尊 復 告 曼 殊 室 利 童 子 言 曼 殊 室 利 
T14n0449_001:0402a29	或有眾生，不識善惡，多貪無厭，不知布	或 有 眾 生 不 識 善 惡 多 貪 無 厭 不 知 布 
T14n0449_001:0402b01	施及施果報，愚癡無智，闕於信根，聚財護	施 及 施 果 報 愚 癡 無 智 闕 於 信 根 聚 財 護 
T14n0449_001:0402b02	惜，不欲分施。此等眾生，無施心故，見乞	惜 不 欲 分 施 此 等 眾 生 無 施 心 故 見 乞 
T14n0449_001:0402b03	者來，其心不喜，如割身肉。復有無量慳貪	者 來 其 心 不 喜 如 割 身 肉 復 有 無 量 慳 貪 
T14n0449_001:0402b04	眾生，自不受用，亦不欲與父母、妻子，況	眾 生 自 不 受 用 亦 不 欲 與 父 母 妻 子 況 
T14n0449_001:0402b05	奴婢、作使及餘乞人。此等眾生，人間命終，生	奴 婢 作 使 及 餘 乞 人 此 等 眾 生 人 間 命 終 生 
T14n0449_001:0402b06	餓鬼道，或畜生道。由昔人間，曾得聞彼藥師	餓 鬼 道 或 畜 生 道 由 昔 人 間 曾 得 聞 彼 藥 師 
T14n0449_001:0402b07	琉璃光如來名號故，或在鬼道，或畜生道，如	琉 璃 光 如 來 名 號 故 或 在 鬼 道 或 畜 生 道 如 
T14n0449_001:0402b08	來名號暫得現前，即於念時，彼處命終，還	來 名 號 暫 得 現 前 即 於 念 時 彼 處 命 終 還 
T14n0449_001:0402b09	生人道，得宿命智，怖畏惡趣，不樂欲樂，	生 人 道 得 宿 命 智 怖 畏 惡 趣 不 樂 欲 樂 
T14n0449_001:0402b10	好行慧施，讚歎施者，一切所有，悉能捨施，	好 行 慧 施 讚 歎 施 者 一 切 所 有 悉 能 捨 施 
T14n0449_001:0402b11	漸以頭目、手足、血肉、身分皆與求者，況餘財	漸 以 頭 目 手 足 血 肉 身 分 皆 與 求 者 況 餘 財 
T14n0449_001:0402b12	物。	物 
T14n0449_001:0402b13	「復次，曼殊室利！有諸眾生，雖奉如來，受持	 復 次 曼 殊 室 利 有 諸 眾 生 雖 奉 如 來 受 持 
T14n0449_001:0402b14	學句，然破戒、破行、破於正見；或受學句，	學 句 然 破 戒 破 行 破 於 正 見 或 受 學 句 
T14n0449_001:0402b15	護持禁戒，然不求多聞，不解如來所說	護 持 禁 戒 然 不 求 多 聞 不 解 如 來 所 說 
T14n0449_001:0402b16	修多羅中甚深之義；或復多聞，而增上慢，自	修 多 羅 中 甚 深 之 義 或 復 多 聞 而 增 上 慢 自 
T14n0449_001:0402b17	是非他，嫌謗正法，為魔伴黨。此等癡人，	是 非 他 嫌 謗 正 法 為 魔 伴 黨 此 等 癡 人 
T14n0449_001:0402b18	及餘無量百千俱胝那由他眾生，行邪道者，	及 餘 無 量 百 千 俱 胝 那 由 他 眾 生 行 邪 道 者 
T14n0449_001:0402b19	當墮地獄。此等眾生，應於地獄流轉無期，	當 墮 地 獄 此 等 眾 生 應 於 地 獄 流 轉 無 期 
T14n0449_001:0402b20	以得聞彼世尊藥師琉璃光如來名號故，	以 得 聞 彼 世 尊 藥師琉璃光 如 來 名 號 故 
T14n0449_001:0402b21	於地獄處，彼佛威力，如來名號暫得現前，	於 地 獄 處 彼 佛 威 力 如 來 名 號 暫 得 現 前 
T14n0449_001:0402b22	即時捨命，還生人道，正見精進，淳善淨心，	即 時 捨 命 還 生 人 道 正 見 精 進 淳 善 淨 心 
T14n0449_001:0402b23	便能捨家，於如來教中出家學道，漸次修	便 能 捨 家 於 如 來 教 中 出家學道 漸 次 修 
T14n0449_001:0402b24	行菩薩諸行。	行 菩 薩 諸 行 
T14n0449_001:0402b25	「復次，曼殊室利！或有眾生，以妬忌故，但	 復 次 曼 殊 室 利 或 有 眾 生 以 妬 忌 故 但 
T14n0449_001:0402b26	自稱讚，不讚他人。此諸眾生，以自高輕他	自 稱 讚 不 讚 他 人 此 諸 眾 生 以 自 高 輕 他 
T14n0449_001:0402b27	故，於三惡道，無量千歲，受諸苦毒；過無	故 於 三 惡 道 無 量 千 歲 受 諸 苦 毒 過 無 
T14n0449_001:0402b28	量千歲已，於彼命終，生畜生趣，作牛馬	量 千 歲 已 於 彼 命 終 生 畜 生 趣 作 牛 馬 
T14n0449_001:0402b29	駝驢，鞭杖捶擊，飢渴逼惱，身負重擔，隨路	駝 驢 鞭 杖 捶 擊 飢 渴 逼 惱 身 負 重 擔 隨 路 
T14n0449_001:0402c01	而行；若生人道，常居下賤，為人奴婢，受	而 行 若 生 人 道 常 居 下 賤 為 人 奴 婢 受 
T14n0449_001:0402c02	他驅役。若昔人中，聞彼世尊藥師琉璃光如	他 驅 役 若 昔 人 中 聞 彼 世 尊 藥師琉璃光 如 
T14n0449_001:0402c03	來名號者，以此善根，眾苦解脫，諸根猛	來 名 號 者 以 此 善 根 眾 苦 解 脫 諸 根 猛 
T14n0449_001:0402c04	利，聰慧博識，恒求善本，得與良友常相隨	利 聰 慧 博 識 恒 求 善 本 得 與 良 友 常 相 隨 
T14n0449_001:0402c05	逐，能斷魔羂，破無明[穀禾+卵]，竭煩惱河，解脫	逐 能 斷 魔 羂 破 無 明 [穀禾卵] 竭 煩 惱 河 解 脫 
T14n0449_001:0402c06	一切生老病死，憂悲苦惱。	一 切 生老病死 憂 悲 苦 惱 
T14n0449_001:0402c07	「復次，曼殊室利！有諸眾生，好喜乖離，更相	 復 次 曼 殊 室 利 有 諸 眾 生 好 喜 乖 離 更 相 
T14n0449_001:0402c08	鬪訟，此等互起惡心眾生，身口及意，恒作	鬪 訟 此 等 互 起 惡 心 眾 生 身 口 及 意 恒 作 
T14n0449_001:0402c09	諸惡，為欲相損，各各常以無益相加，或告	諸 惡 為 欲 相 損 各 各 常 以 無 益 相 加 或 告 
T14n0449_001:0402c10	林神、樹神、山神、塚神種種別神，殺諸畜生，取	林 神 樹 神 山 神 塚 神 種 種 別 神 殺 諸 畜 生 取 
T14n0449_001:0402c11	其血肉，祭祀一切夜叉、羅剎食血肉者，書	其 血 肉 祭 祀 一 切 夜 叉 羅 剎 食 血 肉 者 書 
T14n0449_001:0402c12	怨人字，并作其形，成就種種毒害、呪術、厭	怨 人 字 并 作 其 形 成 就 種 種 毒 害 呪 術 厭 
T14n0449_001:0402c13	魅、蠱道、起屍鬼呪，欲斷彼命及壞其身。由	魅 蠱 道 起 屍 鬼 呪 欲 斷 彼 命 及 壞 其 身 由 
T14n0449_001:0402c14	聞世尊藥師琉璃光如來名號故，此諸惡	聞 世 尊 藥師琉璃光 如 來 名 號 故 此 諸 惡 
T14n0449_001:0402c15	事不能傷損，皆得互起慈心、益心、無嫌恨	事 不 能 傷 損 皆 得 互 起 慈 心 益 心 無 嫌 恨 
T14n0449_001:0402c16	心，各各歡悅，更相攝受。	心 各 各 歡 悅 更 相 攝 受 
T14n0449_001:0402c17	「復次，曼殊室利！此諸四眾——比丘、比丘尼、優	 復 次 曼 殊 室 利 此 諸 四 眾 比 丘 比 丘 尼 優 
T14n0449_001:0402c18	婆塞、優婆私——及餘信心善男子、善女人	婆 塞 優 婆 私 及 餘 信 心 善 男 子 善 女 人 
T14n0449_001:0402c19	等，受八分齋，或復一年，或復三月受持諸	等 受 八 分 齋 或 復 一 年 或 復 三 月 受 持 諸 
T14n0449_001:0402c20	戒，以此善根，隨所憙樂，隨所願求，若欲	戒 以 此 善 根 隨 所 憙 樂 隨 所 願 求 若 欲 
T14n0449_001:0402c21	往生西方極樂世界阿彌陀如來所者，由	往 生 西方極樂 世 界 阿 彌 陀 如 來 所 者 由 
T14n0449_001:0402c22	得聞彼世尊藥師琉璃光如來名號故，於	得 聞 彼 世 尊 藥師琉璃光 如 來 名 號 故 於 
T14n0449_001:0402c23	命終時，有八菩薩乘空而來，示其道徑，即	命 終 時 有 八 菩 薩 乘 空 而 來 示 其 道 徑 即 
T14n0449_001:0402c24	於彼界，種種異色波頭摩華中自然化生；若	於 彼 界 種 種 異 色 波 頭 摩 華 中 自然化生 若 
T14n0449_001:0402c25	復此人欲生天上，即得往生，本昔善根無	復 此 人 欲 生 天 上 即 得 往 生 本 昔 善 根 無 
T14n0449_001:0402c26	有窮盡，不復更生諸餘惡趣，天上命盡，當	有 窮 盡 不復更生 諸 餘 惡 趣 天 上 命 盡 當 
T14n0449_001:0402c27	生人間，為轉輪王，四洲自在安立，無量百	生 人 間 為 轉 輪 王 四 洲 自 在 安 立 無 量 百 
T14n0449_001:0402c28	千俱胝那由他眾生於十善業道，或復生於	千 俱 胝 那 由 他 眾 生 於 十善業道 或 復 生 於 
T14n0449_001:0402c29	剎利大族、婆羅門大族、居士大家，金銀、粟帛、	剎 利 大 族 婆 羅 門 大 族 居 士 大 家 金 銀 粟 帛 
T14n0449_001:0403a01	倉庫盈滿，形色具足，自在具足，眷屬具足，	倉 庫 盈 滿 形色具足 自在具足 眷 屬 具 足 
T14n0449_001:0403a02	勇健多力如大力士；若有女人得聞說此	勇 健 多 力 如 大 力 士 若 有 女 人 得 聞 說 此 
T14n0449_001:0403a03	如來名號至心受持，此人於後永離女	如 來 名 號 至 心 受 持 此 人 於 後 永 離 女 
T14n0449_001:0403a04	身。」	身 
T14n0449_001:0403a05	爾時，曼殊室利童子白佛言：「世尊！我於後	爾 時 曼 殊 室 利 童 子 白 佛 言 世 尊 我 於 後 
T14n0449_001:0403a06	時，以彼世尊藥師琉璃光如來名號，於信心	時 以 彼 世 尊 藥師琉璃光 如 來 名 號 於 信 心 
T14n0449_001:0403a07	善男子、善女人所，種種方便流布令聞，乃至	善 男 子 善 女 人 所 種 種 方 便 流 布 令 聞 乃 至 
T14n0449_001:0403a08	睡中亦以佛名覺寤其耳。若受持此經讀	睡 中 亦 以 佛 名 覺 寤 其 耳 若 受 持 此 經 讀 
T14n0449_001:0403a09	誦宣說，或復為他分別開解，若自書，若令	誦 宣 說 或 復 為 他 分 別 開 解 若 自 書 若 令 
T14n0449_001:0403a10	人書，若取經卷五色淨綵以盛裹之，灑掃	人 書 若 取 經 卷 五 色 淨 綵 以 盛 裹 之 灑 掃 
T14n0449_001:0403a11	淨處以安置之，持種種華、種種香、塗香、華鬘、	淨 處 以 安 置 之 持 種 種 華 種 種 香 塗 香 華 鬘 
T14n0449_001:0403a12	寶幢、幡蓋而用供養，爾時，四大天王，與其眷	寶 幢 幡 蓋 而 用 供 養 爾 時 四大天王 與 其 眷 
T14n0449_001:0403a13	屬，并餘百千俱胝那由他諸天，皆詣其所。	屬 并 餘 百 千 俱 胝 那 由 他 諸 天 皆 詣 其 所 
T14n0449_001:0403a14	若此經卷流行之處，若復有人誦持此經，	若 此 經 卷 流 行 之 處 若 復 有 人 誦 持 此 經 
T14n0449_001:0403a15	以得聞彼世尊藥師琉璃光如來名號，及本	以 得 聞 彼 世 尊 藥師琉璃光 如 來 名 號 及 本 
T14n0449_001:0403a16	昔所發殊勝大願故，當知是處無復橫死，	昔 所 發 殊 勝 大 願 故 當 知 是 處 無 復 橫 死 
T14n0449_001:0403a17	亦復不為諸鬼所持奪其魂魄，設已奪者，	亦 復 不 為 諸 鬼 所 持 奪 其 魂 魄 設 已 奪 者 
T14n0449_001:0403a18	還復如故。」佛言：「如是，如是！曼殊室利！如汝	還 復 如 故 佛 言 如 是 如 是 曼 殊 室 利 如 汝 
T14n0449_001:0403a19	所說。曼殊室利！信心善男子、善女人，若欲	所 說 曼 殊 室 利 信 心 善 男 子 善 女 人 若 欲 
T14n0449_001:0403a20	供養彼如來者，此人應作如來形像，七	供 養 彼 如 來 者 此 人 應 作 如 來 形 像 七 
T14n0449_001:0403a21	日七夜受八分齋食清淨食，於清淨處散	日 七 夜 受 八 分 齋 食 清 淨 食 於 清 淨 處 散 
T14n0449_001:0403a22	種種華，燒種種香，以種種繒綵，種種幡幢，	種 種 華 燒 種 種 香 以 種 種 繒 綵 種 種 幡 幢 
