T50n2042_001:0099a12	阿育王傳卷第一	阿育王傳 卷 第 一 
T50n2042_001:0099c18	破羅。莎破羅子名兜羅貴之。兜羅貴之子名	破 羅 莎 破 羅 子 名 兜 羅 貴 之 兜 羅 貴 之 子 名 
T50n2042_001:0099c19	莎呵蔓荼羅。莎呵蔓荼羅子名波斯匿。波斯	莎 呵 蔓 荼 羅 莎 呵 蔓 荼 羅 子 名 波 斯 匿 波 斯 
T50n2042_001:0099c20	匿子名難陀。難陀子名頻頭莎羅王。花氏城	匿 子 名 難 陀 難 陀 子 名 頻 頭 莎 羅 王 花 氏 城 
T50n2042_001:0099c21	頻頭莎羅子名宿尸魔時。瞻婆羅國有婆羅	頻 頭 莎 羅 子 名 宿 尸 魔 時 瞻 婆 羅 國 有 婆 羅 
T50n2042_001:0099c22	門生一女寶。相師占言。必為王后為王寵愛。	門 生 一 女 寶 相 師 占 言 必 為 王 后 為 王 寵 愛 
T50n2042_001:0099c23	當生二寶子。一者當作轉輪聖王王四分之	當 生 二 寶 子 一 者 當 作 轉輪聖王 王 四 分 之 
T50n2042_001:0099c24	一。二者出家當得羅漢。婆羅門聞極大歡喜。	一 二 者 出 家 當 得 羅 漢 婆 羅 門 聞 極 大 歡 喜 
T50n2042_001:0099c25	便將是女至花氏城。眾寶瓔珞以莊嚴之。嫁	便 將 是 女 至 花 氏 城 眾 寶 瓔 珞 以 莊 嚴 之 嫁 
T50n2042_001:0099c26	與頻頭莎羅王為妻。王即納娶置於後宮。	與 頻 頭 莎 羅 王 為 妻 王 即 納 娶 置 於 後 宮 
T50n2042_001:0099c27	宮中妃后皆生嫉心而作念言。王必愛重薄	宮 中 妃 后 皆 生 嫉 心 而 作 念 言 王 必 愛 重 薄 
T50n2042_001:0099c28	賤我等。當教賤業令王惡之。遂便教使善解	賤 我 等 當 教 賤 業 令 王 惡 之 遂 便 教 使 善 解 
T50n2042_001:0099c29	剃除鬚髮。伺王眠時令為王剃鬚。王眠覺	剃除鬚髮 伺 王 眠 時 令 為 王 剃 鬚 王 眠 覺 
T50n2042_001:0100a01	已語言。當為我剃鬚。答言已剃。王即以鏡自	已 語 言 當 為 我 剃 鬚 答 言 已 剃 王 即 以 鏡 自 
T50n2042_001:0100a02	照。知鬚剃竟即語之言。汝欲得何願。答言唯	照 知 鬚 剃 竟 即 語 之 言 汝 欲 得 何 願 答 言 唯 
T50n2042_001:0100a03	求與王交會。王言我是剎利。汝身卑賤何由	求 與 王 交 會 王 言 我 是 剎 利 汝 身 卑 賤 何 由 
T50n2042_001:0100a04	交會。女答王言我非下賤。我是婆羅門女。婆	交 會 女 答 王 言 我 非 下 賤 我 是 婆 羅 門 女 婆 
T50n2042_001:0100a05	羅門本以我與王為妻。宮人妬嫉教我賤	羅 門 本 以 我 與 王 為 妻 宮 人 妬 嫉 教 我 賤 
T50n2042_001:0100a06	業。王即語之自今已後莫為此事。遂便立作	業 王 即 語 之 自 今 已 後 莫 為 此 事 遂 便 立 作 
T50n2042_001:0100a07	第一夫人。共相愛樂而生一子。母言我憂患	第 一 夫 人 共 相 愛 樂 而 生 一 子 母 言 我 憂 患 
T50n2042_001:0100a08	盡除。即為作字名阿恕伽。阿恕伽者(晉言無憂)復	盡 除 即 為 作 字 名 阿 恕 伽 阿 恕 伽 者 晉 言 無 憂 復 
T50n2042_001:0100a09	生一子名為盡憂。阿恕伽身體麁澁父不愛	生 一 子 名 為 盡 憂 阿 恕 伽 身 體 麁 澁 父 不 愛 
T50n2042_001:0100a10	念。頻頭莎羅亦於諸妃多生子息。集諸相師	念 頻 頭 莎 羅 亦 於 諸 妃 多 生 子 息 集 諸 相 師 
T50n2042_001:0100a11	相諸子等。有一相師名賓陵伽婆嗟。王語此	相 諸 子 等 有 一 相 師 名 賓 陵 伽 婆 嗟 王 語 此 
T50n2042_001:0100a12	相師占我諸子誰中為王。相師答言王將諸	相 師 占 我 諸 子 誰 中 為 王 相 師 答 言 王 將 諸 
T50n2042_001:0100a13	子向金地園就彼相之。王與諸子至金地園	子 向 金 地 園 就 彼 相 之 王 與 諸 子 至 金 地 園 
T50n2042_001:0100a14	中。母勅阿恕伽言。今王相子於金地園汝亦	中 母 勅 阿 恕 伽 言 今 王 相 子 於 金 地 園 汝 亦 
T50n2042_001:0100a15	可往。阿恕伽言王不愛我何為至彼。母復告	可 往 阿 恕 伽 言 王 不 愛 我 何 為 至 彼 母 復 告 
T50n2042_001:0100a16	言汝當必去。阿恕伽言我去。之後送食與我	言 汝 當 必 去 阿 恕 伽 言 我 去 之 後 送 食 與 我 
T50n2042_001:0100a17	即辭而去。出花氏城見輔相子羅提掘多。羅	即 辭 而 去 出 花 氏 城 見 輔 相 子 羅 提 掘 多 羅 
T50n2042_001:0100a18	提掘多問阿恕伽言。欲何處去。答言。王集諸	提 掘 多 問 阿 恕 伽 言 欲 何 處 去 答 言 王 集 諸 
T50n2042_001:0100a19	子詣金地園我今欲往。爾時掘多乘一老象語	子 詣 金 地 園 我 今 欲 往 爾 時 掘 多 乘 一 老 象 語 
T50n2042_001:0100a20	阿恕伽言可乘此象。阿恕伽即乘此象向金	阿 恕 伽 言 可 乘 此 象 阿 恕 伽 即 乘 此 象 向 金 
T50n2042_001:0100a21	地園。即到園所從象而下。於諸子邊在地而	地 園 即 到 園 所 從 象 而 下 於 諸 子 邊 在 地 而 
T50n2042_001:0100a22	坐。諸子皆食種種餚饍。阿恕伽食粳米飯。	坐 諸 子 皆 食 種 種 餚 饍 阿 恕 伽 食 粳 米 飯 
T50n2042_001:0100a23	盛以瓦器用酪和之渴則飲水。王語相師言	盛 以 瓦 器 用 酪 和 之 渴 則 飲 水 王 語 相 師 言 
T50n2042_001:0100a24	和上願相諸子。我死之後誰中為王。相師念	和 上 願 相 諸 子 我 死 之 後 誰 中 為 王 相 師 念 
T50n2042_001:0100a25	言阿恕伽者必應為王。我答王言彼應王者。	言 阿 恕 伽 者 必 應 為 王 我 答 王 言 彼 應 王 者 
T50n2042_001:0100a26	王不愛之必當殺我。便答王言不中說名字	王 不 愛 之 必 當 殺 我 便 答 王 言 不 中 說 名 字 
T50n2042_001:0100a27	可說形相。其所服用事第一者相應為王。諸	可 說 形 相 其 所 服 用 事 第 一 者 相 應 為 王 諸 
T50n2042_001:0100a28	王子等各各自以。乘第一乘坐第一坐。食第	王 子 等 各 各 自 以 乘 第 一 乘 坐 第 一 坐 食 第 
T50n2042_001:0100a29	一食用第一器飲第一漿。阿恕伽念言我應	一 食 用 第 一 器 飲 第 一 漿 阿 恕 伽 念 言 我 應 
T50n2042_001:0100b01	為王。所以者何。象為第一乘。地為第一座。	為 王 所以者何 象 為 第 一 乘 地 為 第 一 座 
T50n2042_001:0100b02	粳米第一飯。瓦器為第一盛。酪為第一味。水	粳 米 第 一 飯 瓦 器 為 第 一 盛 酪 為 第 一 味 水 
T50n2042_001:0100b03	為第一漿。以是義故我應為王。相師相已。	為 第 一 漿 以是義故 我 應 為 王 相 師 相 已 
T50n2042_001:0100b04	王將諸子還入城中。相師語阿恕伽母言。阿	王 將 諸 子 還 入 城 中 相 師 語 阿 恕 伽 母 言 阿 
T50n2042_001:0100b05	恕伽必得為王。母語相師言且莫復道。並遠	恕 伽 必 得 為 王 母 語 相 師 言 且 莫 復 道 並 遠 
T50n2042_001:0100b06	藏避如護身命。待阿恕伽得紹王位汝可來	藏 避 如 護 身 命 待 阿 恕 伽 得 紹 王 位 汝 可 來 
T50n2042_001:0100b07	出。頻頭莎羅王以得叉尸羅城叛逆不順。即	出 頻 頭 莎 羅 王 以 得 叉 尸 羅 城 叛 逆 不 順 即 
T50n2042_001:0100b08	遣阿恕伽往討彼國。唯與四兵不與刀杖。時	遣 阿 恕 伽 往 討 彼 國 唯 與 四 兵 不 與 刀 杖 時 
T50n2042_001:0100b09	阿恕伽受命即出華氏之城。左右人言無有	阿 恕 伽 受 命 即 出 華 氏 之 城 左 右 人 言 無 有 
T50n2042_001:0100b10	刀杖。如何得共怨敵鬪戰。阿恕伽言我有福	刀 杖 如 何 得 共 怨 敵 鬪 戰 阿 恕 伽 言 我 有 福 
T50n2042_001:0100b11	力應為王者。所須刀杖自然當有。作是語已	力 應 為 王 者 所 須 刀 杖 自 然 當 有 作是語已 
T50n2042_001:0100b12	地神開地授刀杖與。遂便前進四兵圍繞到	地 神 開 地 授 刀 杖 與 遂 便 前 進 四 兵 圍 繞 到 
T50n2042_001:0100b13	得叉尸羅國。國中人民聞阿恕伽來自然歸	得 叉 尸 羅 國 國 中 人 民 聞 阿 恕 伽 來 自 然 歸 
T50n2042_001:0100b14	伏。莊嚴城地平治道路。各各持瓶盛滿中物	伏 莊 嚴 城 地 平 治 道 路 各 各 持 瓶 盛 滿 中 物 
T50n2042_001:0100b15	以花覆上名為吉瓶。以現伏相。半由旬迎而	以 花 覆 上 名 為 吉 瓶 以 現 伏 相 半 由 旬 迎 而 
T50n2042_001:0100b16	作是言。我不叛於王亦不叛王子。唯逆王邊	作 是 言 我 不 叛 於 王 亦 不 叛 王 子 唯 逆 王 邊 
T50n2042_001:0100b17	諸惡臣耳。供養恭敬隨從入城。人民調順	諸 惡 臣 耳 供養恭敬 隨 從 入 城 人 民 調 順 
T50n2042_001:0100b18	還來歸國。王復遣阿恕伽罰佉沙國。彼國人	還 來 歸 國 王 復 遣 阿 恕 伽 罰 佉 沙 國 彼 國 人 
T50n2042_001:0100b19	民承迎調順如前無異。既調順已即還本國。	民 承 迎 調 順 如前無異 既 調 順 已 即 還 本 國 
T50n2042_001:0100b20	有二大力士親近阿恕伽。阿恕伽即與二人	有 二 大 力 士 親 近 阿 恕 伽 阿 恕 伽 即 與 二 人 
T50n2042_001:0100b21	封邑。天神爾時即護國土。天神作是唱言	封 邑 天 神 爾 時 即 護 國 土 天 神 作 是 唱 言 
T50n2042_001:0100b22	慎莫叛逆。何以故阿恕伽應為轉輪王王四	慎 莫 叛 逆 何 以 故 阿 恕 伽 應 為 轉 輪 王 王 四 
T50n2042_001:0100b23	分之一。漸漸征罰四海之內悉皆歸伏。阿恕	分 之 一 漸 漸 征 罰 四 海 之 內 悉 皆 歸 伏 阿 恕 
T50n2042_001:0100b24	伽兄名蘇深摩者方入花氏城。第一輔臣復	伽 兄 名 蘇 深 摩 者 方 入 花 氏 城 第 一 輔 臣 復 
T50n2042_001:0100b25	欲出城。道中相逢。輔臣頭禿落。蘇深摩戲	欲 出 城 道 中 相 逢 輔 臣 頭 禿 落 蘇 深 摩 戲 
T50n2042_001:0100b26	笑故以手打輔臣頭。輔相念言此王子者未	笑 故 以 手 打 輔 臣 頭 輔 相 念 言 此 王 子 者 未 
T50n2042_001:0100b27	紹王位。便用權勢敺我頭上。若紹王位必	紹 王 位 便 用 權 勢 敺 我 頭 上 若 紹 王 位 必 
T50n2042_001:0100b28	當以刀而斬我首。即向五百輔相說蘇深摩	當 以 刀 而 斬 我 首 即 向 五 百 輔 相 說 蘇 深 摩 
T50n2042_001:0100b29	過狀言不中為王。唯阿恕伽者相師記言當	過 狀 言 不 中 為 王 唯 阿 恕 伽 者 相 師 記 言 當 
T50n2042_001:0100c01	作轉輪聖王四分之一。我等諸臣應共立之。	作 轉輪聖王 四 分 之 一 我 等 諸 臣 應 共 立 之 
T50n2042_001:0100c02	後得叉尸羅國為惡臣所教復還叛逆。王即	後 得 叉 尸 羅 國 為 惡 臣 所 教 復 還 叛 逆 王 即 
T50n2042_001:0100c03	遣蘇深摩往彼討之。蘇深摩到不能令彼人	遣 蘇 深 摩 往 彼 討 之 蘇 深 摩 到 不 能 令 彼 人 
T50n2042_001:0100c04	民調順。頻頭莎羅王聞其不能調伏彼國。	民 調 順 頻 頭 莎 羅 王 聞 其 不 能 調 伏 彼 國 
T50n2042_001:0100c05	即生疾病便勅諸臣喚蘇深摩以為太子。令	即 生 疾 病 便 勅 諸 臣 喚 蘇 深 摩 以 為 太 子 令 
T50n2042_001:0100c06	阿恕伽而往討罰。時輔臣為其作計。便以黃	阿 恕 伽 而 往 討 罰 時 輔 臣 為 其 作 計 便 以 黃 
T50n2042_001:0100c07	物塗阿恕伽身。以羅叉汁洗盛而棄之。詐稱	物 塗 阿 恕 伽 身 以 羅 叉 汁 洗 盛 而 棄 之 詐 稱 
T50n2042_001:0100c08	阿恕伽得吐血病不任征罰。爾時頻頭莎	阿 恕 伽 得 吐 血 病 不 任 征 罰 爾 時 頻 頭 莎 
T50n2042_001:0100c09	羅王。疾病唯篤餘命無幾。輔相莊嚴阿恕伽	羅 王 疾 病 唯 篤 餘 命 無 幾 輔 相 莊 嚴 阿 恕 伽 
T50n2042_001:0100c10	已而白王言。請當並立阿恕伽為王以理國	已 而 白 王 言 請 當 並 立 阿 恕 伽 為 王 以 理 國 
T50n2042_001:0100c11	事。蘇深摩來當還廢之。阿恕伽念言我若有	事 蘇 深 摩 來 當 還 廢 之 阿 恕 伽 念 言 我 若 有 
T50n2042_001:0100c12	福德力應為王者。天當以天繒結我頂上。作	福 德 力 應 為 王 者 天 當 以 天 繒 結 我 頂 上 作 
T50n2042_001:0100c13	是語已應言即結。王見阿恕伽天繒結頂。極	是 語 已 應 言 即 結 王 見 阿 恕 伽 天 繒 結 頂 極 
T50n2042_001:0100c14	大瞋恚沸血從面出而便命終。立阿恕伽為	大 瞋 恚 沸 血 從 面 出 而 便 命 終 立 阿 恕 伽 為 
T50n2042_001:0100c15	王羅提掘多作第一輔相。蘇深摩聞父王命	王 羅 提 掘 多 作 第 一 輔 相 蘇 深 摩 聞 父 王 命 
T50n2042_001:0100c16	終阿恕伽得立為王。心生忿怒還花氏城。阿	終 阿 恕 伽 得 立 為 王 心 生 忿 怒 還 花 氏 城 阿 
T50n2042_001:0100c17	恕伽聞蘇深摩來。嚴備一大力士置第一門	恕 伽 聞 蘇 深 摩 來 嚴 備 一 大 力 士 置 第 一 門 
T50n2042_001:0100c18	下。第二力士置第二門下。第三力士置第三	下 第 二 力 士 置 第 二 門 下 第 三 力 士 置 第 三 
T50n2042_001:0100c19	門下。置羅提掘多東門之下。阿恕伽而自當	門 下 置 羅 提 掘 多 東 門 之 下 阿 恕 伽 而 自 當 
T50n2042_001:0100c20	之。置機關白象。象上畫作阿恕伽像。周匝四	之 置 機 關 白 象 象 上 畫 作 阿 恕 伽 像 周 匝 四 
T50n2042_001:0100c21	邊造大火坑糞草覆上。蘇深摩來向第三門	邊 造 大 火 坑 糞 草 覆 上 蘇 深 摩 來 向 第 三 門 
T50n2042_001:0100c22	下。羅提掘多語蘇深摩言。今阿恕伽在東門	下 羅 提 掘 多 語 蘇 深 摩 言 今 阿 恕 伽 在 東 門 
T50n2042_001:0100c23	下從彼入去。若得入者即為汝臣。若不能害	下 從 彼 入 去 若 得 入 者 即 為 汝 臣 若 不 能 害 
T50n2042_001:0100c24	阿恕伽從此門入亦無所能。於是蘇深摩即	阿 恕 伽 從 此 門 入 亦 無 所 能 於 是 蘇 深 摩 即 
T50n2042_001:0100c25	往東門。直趣象上欲捉阿恕伽。不覺墮於火	往 東 門 直 趣 象 上 欲 捉 阿 恕 伽 不 覺 墮 於 火 
T50n2042_001:0100c26	坑而自滅沒。時蘇深摩有一力士名曰賢踊。	坑 而 自 滅 沒 時 蘇 深 摩 有 一 力 士 名 曰 賢 踊 
T50n2042_001:0100c27	將數萬軍眾入佛法中。出家得阿羅漢道諸輔	將 數 萬 軍 眾 入 佛 法 中 出 家 得阿羅漢 道 諸 輔 
T50n2042_001:0100c28	相大臣輕蔑阿恕伽。阿恕伽密欲治之。即語	相 大 臣 輕 蔑 阿 恕 伽 阿 恕 伽 密 欲 治 之 即 語 
T50n2042_001:0100c29	諸大臣斫取好花果樹圍於棘刺。大臣白言由	諸 大 臣 斫 取 好 花 果 樹 圍 於 棘 刺 大 臣 白 言 由 
T50n2042_001:0101a01	來正聞以諸棘刺圍花果林。不聞以好花果	來 正 聞 以 諸 棘 刺 圍 花 果 林 不 聞 以 好 花 果 
T50n2042_001:0101a02	之樹以圍棘刺。乃至三勅臣固不從。王極	之 樹 以 圍 棘 刺 乃 至 三 勅 臣 固 不 從 王 極 
T50n2042_001:0101a03	瞋恚即便殺此五百大臣。更至後春時與	瞋 恚 即 便 殺 此 五 百 大 臣 更 至 後 春 時 與 
T50n2042_001:0101a04	諸宮人共相圍繞至園林間。有樹名阿恕伽	諸 宮 人 共 相 圍 繞 至 園 林 間 有 樹 名 阿 恕 伽 
T50n2042_001:0101a05	華極可愛。阿恕伽以此樹與己同名愛念此	華 極 可 愛 阿 恕 伽 以 此 樹 與 己 同 名 愛 念 此 
T50n2042_001:0101a06	樹。阿恕伽身體麁澁。諸婇女等以阿恕伽身	樹 阿 恕 伽 身 體 麁 澁 諸 婇 女 等 以 阿 恕 伽 身 
T50n2042_001:0101a07	體麁澁。情不愛敬不喜親近。伺其眠時園中	體 麁 澁 情 不 愛 敬 不 喜 親 近 伺 其 眠 時 園 中 
T50n2042_001:0101a08	遊戲。見阿恕伽樹即時折其花枝。王於眠覺	遊 戲 見 阿 恕 伽 樹 即 時 折 其 花 枝 王 於 眠 覺 
T50n2042_001:0101a09	見樹毀壞問左右言。誰毀此樹。答言宮人毀	見 樹 毀 壞 問 左 右 言 誰 毀 此 樹 答 言 宮 人 毀 
T50n2042_001:0101a10	之。王大忿怒捉五百宮人遶樹燒殺。舉國人	之 王 大 忿 怒 捉 五 百 宮 人 遶 樹 燒 殺 舉 國 人 
T50n2042_001:0101a11	民皆稱暴惡。遂號名為惡阿恕伽。時羅提掘	民 皆 稱 暴 惡 遂 號 名 為 惡 阿 恕 伽 時 羅 提 掘 
T50n2042_001:0101a12	多而啟王言。自行殺害非王所宜。王今應當	多 而 啟 王 言 自 行 殺 害 非 王 所 宜 王 今 應 當 
T50n2042_001:0101a13	簡選惡人以治有罪。王可其言即便遣使募	簡 選 惡 人 以 治 有 罪 王 可 其 言 即 便 遣 使 募 
T50n2042_001:0101a14	覓惡人。於國邊陲山下有一織師。生育一子	覓 惡 人 於 國 邊 陲 山 下 有 一 織 師 生 育 一 子 
T50n2042_001:0101a15	名曰耆梨。為人極惡罵父罵母。手則挈網	名 曰 耆 梨 為 人 極 惡 罵 父 罵 母 手 則 挈 網 
T50n2042_001:0101a16	脚則頓機。毒塗草葉蟲獸。觸者無不即死。	脚 則 頓 機 毒 塗 草 葉 蟲 獸 觸 者 無 不 即 死 
T50n2042_001:0101a17	凡是眾人稱為大惡。舉國號之為惡耆梨。使	凡 是 眾 人 稱 為 大 惡 舉 國 號 之 為 惡 耆 梨 使 
T50n2042_001:0101a18	往其所語耆梨言。汝能為阿恕伽王治罪人	往 其 所 語 耆 梨 言 汝 能 為 阿 恕 伽 王 治 罪 人 
T50n2042_001:0101a19	不。耆梨答言天下惡人使我治者。猶故能為	不 耆 梨 答 言 天 下 惡 人 使 我 治 者 猶 故 能 為 
T50n2042_001:0101a20	何況一阿恕伽。豈可不能。使聞此語具以啟	何 況 一 阿 恕 伽 豈 可 不 能 使 聞 此 語 具 以 啟 
T50n2042_001:0101a21	王。王即召之。耆梨聞使來召。即辭父母。父母	王 王 即 召 之 耆 梨 聞 使 來 召 即 辭 父 母 父 母 
T50n2042_001:0101a22	不聽即便殺之。使問耆梨何以故遲。耆梨答	不 聽 即 便 殺 之 使 問 耆 梨 何 以 故 遲 耆 梨 答 
T50n2042_001:0101a23	言父母不聽。我乃殺之以是故遲。於是隨使	言 父 母 不 聽 我 乃 殺 之 以 是 故 遲 於 是 隨 使 
T50n2042_001:0101a24	見王而白王言。為我作獄極令嚴峻使可愛	見 王 而 白 王 言 為 我 作 獄 極 令 嚴 峻 使 可 愛 
