T08n0235_001:0748c17	金剛般若波羅蜜經	金 剛 般若波羅蜜經 
T08n0235_001:0749b15	藐三菩提，亦無有定法，如來可說。何以故？	藐 三 菩 提 亦 無 有 定 法 如 來 可 說 何 以 故 
T08n0235_001:0749b16	如來所說法，皆不可取、不可說、非法、非非法。	如 來 所 說 法 皆 不 可 取 不 可 說 非 法 非 非 法 
T08n0235_001:0749b17	所以者何？一切賢聖皆以無為法而有差	所以者何 一 切 賢 聖 皆 以 無 為 法 而 有 差 
T08n0235_001:0749b18	別。」「須菩提！於意云何？若人滿三千大千世	別 須 菩 提 於意云何 若 人 滿 三千大千 世 
T08n0235_001:0749b19	界七寶以用布施，是人所得福德，寧為多不？」	界 七 寶 以用布施 是 人 所 得 福 德 寧 為 多 不 
T08n0235_001:0749b20	須菩提言：「甚多，世尊！何以故？是福德即非	須 菩 提 言 甚 多 世 尊 何 以 故 是 福 德 即 非 
T08n0235_001:0749b21	福德性，是故如來說福德多。」「若復有人，於	福 德 性 是 故 如 來 說 福 德 多 若 復 有 人 於 
T08n0235_001:0749b22	此經中受持，乃至四句偈等，為他人說，其	此 經 中 受 持 乃 至 四 句 偈 等 為 他 人 說 其 
T08n0235_001:0749b23	福勝彼。何以故？須菩提！一切諸佛，及諸佛	福 勝 彼 何 以 故 須 菩 提 一切諸佛 及 諸 佛 
T08n0235_001:0749b24	阿耨多羅三藐三菩提法，皆從此經出。須菩	阿耨多羅三藐三菩提 法 皆 從 此 經 出 須 菩 
T08n0235_001:0749b25	提！所謂佛法者，即非佛法。	提 所 謂 佛 法 者 即 非 佛 法 
T08n0235_001:0749b26	「須菩提！於意云何？須陀洹能作是念：『我得	 須 菩 提 於意云何 須 陀 洹 能 作 是 念 我 得 
T08n0235_001:0749b27	須陀洹果。』不？」須菩提言：「不也，世尊！何以故？	須陀洹果 不 須 菩 提 言 不 也 世 尊 何 以 故 
T08n0235_001:0749b28	須陀洹名為入流，而無所入，不入色、聲、香、	須 陀 洹 名 為 入 流 而 無 所 入 不 入 色 聲 香 
T08n0235_001:0749b29	味、觸、法，是名須陀洹。」「須菩提！於意云何？斯	味 觸 法 是 名 須 陀 洹 須 菩 提 於意云何 斯 
T08n0235_001:0749c01	陀含能作是念：『我得斯陀含果。』不？」須菩提	陀 含 能 作 是 念 我 得 斯陀含果 不 須 菩 提 
T08n0235_001:0749c02	言：「不也，世尊！何以故？斯陀含名一往來，而	言 不 也 世 尊 何 以 故 斯 陀 含 名 一 往 來 而 
T08n0235_001:0749c03	實無往來，是名斯陀含。」「須菩提！於意云何？	實 無 往 來 是 名 斯 陀 含 須 菩 提 於意云何 
T08n0235_001:0749c04	阿那含能作是念：『我得阿那含果。』不？」須菩提	阿 那 含 能 作 是 念 我 得 阿那含果 不 須 菩 提 
T08n0235_001:0749c05	言：「不也，世尊！何以故？阿那含名為不來，而	言 不 也 世 尊 何 以 故 阿 那 含 名 為 不 來 而 
T08n0235_001:0749c06	實無來，是故名阿那含。」「須菩提！於意云	實 無 來 是 故 名 阿 那 含 須 菩 提 於 意 云 
T08n0235_001:0749c07	何？阿羅漢能作是念：『我得阿羅漢道。』不？」須	何 阿 羅 漢 能 作 是 念 我 得阿羅漢 道 不 須 
T08n0235_001:0749c08	菩提言：「不也，世尊！何以故？實無有法名阿	菩 提 言 不 也 世 尊 何 以 故 實 無 有 法 名 阿 
T08n0235_001:0749c09	羅漢。世尊！若阿羅漢作是念：『我得阿羅漢	羅 漢 世 尊 若 阿 羅 漢 作 是 念 我 得阿羅漢 
T08n0235_001:0749c10	道。』即為著我、人、眾生、壽者。世尊！佛說我得	道 即 為 著 我 人 眾 生 壽 者 世 尊 佛 說 我 得 
T08n0235_001:0749c11	無諍三昧人中最為第一，是第一離欲阿羅	無諍三昧 人 中 最 為 第 一 是 第 一 離 欲 阿 羅 
T08n0235_001:0749c12	漢。我不作是念：『我是離欲阿羅漢。』世尊！我	漢 我 不 作 是 念 我 是 離 欲 阿 羅 漢 世 尊 我 
T08n0235_001:0749c13	若作是念：『我得阿羅漢道。』世尊則不說須	若 作 是 念 我 得阿羅漢 道 世 尊 則 不 說 須 
T08n0235_001:0749c14	菩提是樂阿蘭那行者。以須菩提實無所	菩 提 是 樂 阿 蘭 那 行 者 以 須 菩 提 實 無 所 
T08n0235_001:0749c15	行，而名須菩提是樂阿蘭那行。」	行 而 名 須 菩 提 是 樂 阿 蘭 那 行 
T08n0235_001:0749c16	佛告須菩提：「於意云何？如來昔在然燈	佛 告 須 菩 提 於意云何 如 來 昔 在 然 燈 
T08n0235_001:0749c17	佛所，於法有所得不？」「世尊！如來在然燈	佛 所 於 法 有 所 得 不 世 尊 如 來 在 然 燈 
T08n0235_001:0749c18	佛所，於法實無所得。」「須菩提！於意云何？菩	佛 所 於 法 實 無 所 得 須 菩 提 於意云何 菩 
T08n0235_001:0749c19	薩莊嚴佛土不？」「不也，世尊！何以故？莊嚴佛	薩 莊 嚴 佛 土 不 不 也 世 尊 何 以 故 莊 嚴 佛 
T08n0235_001:0749c20	土者，則非莊嚴，是名莊嚴。」「是故須菩提，諸	土 者 則 非 莊 嚴 是 名 莊 嚴 是 故 須 菩 提 諸 
T08n0235_001:0749c21	菩薩摩訶薩應如是生清淨心，不應住色	菩薩摩訶薩 應 如 是 生 清 淨 心 不 應 住 色 
T08n0235_001:0749c22	生心，不應住聲、香、味、觸、法生心，應無所	生 心 不 應 住 聲 香 味 觸 法 生 心 應 無 所 
T08n0235_001:0749c23	住而生其心。「須菩提！譬如有人，身如須彌	住 而 生 其 心 須 菩 提 譬 如 有 人 身 如 須 彌 
T08n0235_001:0749c24	山王，於意云何？是身為大不？」須菩提言：「甚	山 王 於意云何 是 身 為 大 不 須 菩 提 言 甚 
T08n0235_001:0749c25	大，世尊！何以故？佛說非身，是名大身。」「須菩	大 世 尊 何 以 故 佛 說 非 身 是 名 大 身 須 菩 
T08n0235_001:0749c26	提！如恒河中所有沙數，如是沙等恒河，於	提 如 恒 河 中 所 有 沙 數 如 是 沙 等 恒 河 於 
T08n0235_001:0749c27	意云何？是諸恒河沙寧為多不？」須菩提言：「甚	意 云 何 是 諸 恒 河 沙 寧 為 多 不 須 菩 提 言 甚 
T08n0235_001:0749c28	多，世尊！但諸恒河尚多無數，何況其沙。」「須菩	多 世 尊 但 諸 恒 河 尚 多 無 數 何 況 其 沙 須 菩 
T08n0235_001:0749c29	提！我今實言告汝。若有善男子、善女人，以	提 我 今 實 言 告 汝 若 有 善 男 子 善 女 人 以 
T08n0235_001:0750a01	七寶滿爾所恒河沙數三千大千世界，以用	七 寶 滿 爾 所 恒 河 沙 數 三千大千世界 以 用 
T08n0235_001:0750a02	布施，得福多不？」須菩提言：「甚多，世尊！」佛告	布 施 得 福 多 不 須 菩 提 言 甚 多 世 尊 佛 告 
T08n0235_001:0750a03	須菩提：「若善男子、善女人，於此經中，乃至	須 菩 提 若 善 男 子 善 女 人 於 此 經 中 乃 至 
T08n0235_001:0750a04	受持四句偈等，為他人說，而此福德勝前	受 持 四 句 偈 等 為 他 人 說 而 此 福 德 勝 前 
T08n0235_001:0750a05	福德。	福 德 
T08n0235_001:0750a06	「復次，須菩提！隨說是經，乃至四句偈等，當知	 復 次 須 菩 提 隨 說 是 經 乃 至 四 句 偈 等 當 知 
T08n0235_001:0750a07	此處，一切世間天、人、阿修羅，皆應供養，如佛	此 處 一切世間 天 人 阿 修 羅 皆 應 供 養 如 佛 
T08n0235_001:0750a08	塔廟，何況有人盡能受持讀誦。須菩提！當	塔 廟 何 況 有 人 盡 能 受持讀誦 須 菩 提 當 
T08n0235_001:0750a09	知是人成就最上第一希有之法，若是經典	知 是 人 成 就 最 上 第一希有 之 法 若 是 經 典 
T08n0235_001:0750a10	所在之處，則為有佛，若尊重弟子。」	所 在 之 處 則 為 有 佛 若 尊重弟子 
T08n0235_001:0750a11	爾時，須菩提白佛言：「世尊！當何名此經？我	爾 時 須 菩 提 白 佛 言 世 尊 當 何 名 此 經 我 
T08n0235_001:0750a12	等云何奉持？」佛告須菩提：「是經名為『金剛般	等 云 何 奉 持 佛 告 須 菩 提 是 經 名 為 金 剛 般 
T08n0235_001:0750a13	若波羅蜜』。以是名字，汝當奉持。所以者何？	若 波 羅 蜜 以 是 名 字 汝 當 奉 持 所以者何 
T08n0235_001:0750a14	須菩提！佛說般若波羅蜜，則非般若波羅	須 菩 提 佛 說 般 若 波 羅 蜜 則 非 般 若 波 羅 
T08n0235_001:0750a15	蜜。須菩提！於意云何？如來有所說法不？」須	蜜 須 菩 提 於意云何 如 來 有 所 說 法 不 須 
T08n0235_001:0750a16	菩提白佛言：「世尊！如來無所說。」「須菩提！於	菩 提 白 佛 言 世 尊 如 來 無 所 說 須 菩 提 於 
T08n0235_001:0750a17	意云何？三千大千世界所有微塵是為多不？」	意 云 何 三千大千世界 所 有 微 塵 是 為 多 不 
T08n0235_001:0750a18	須菩提言：「甚多，世尊！」「須菩提！諸微塵，如來	須 菩 提 言 甚 多 世 尊 須 菩 提 諸 微 塵 如 來 
T08n0235_001:0750a19	說非微塵，是名微塵。如來說世界，非世界，	說 非 微 塵 是 名 微 塵 如 來 說 世 界 非 世 界 
T08n0235_001:0750a20	是名世界。「須菩提！於意云何？可以三十二	是 名 世 界 須 菩 提 於意云何 可 以 三 十 二 
T08n0235_001:0750a21	相見如來不？」「不也，世尊！不可以三十二	相 見 如 來 不 不 也 世 尊 不 可 以 三 十 二 
T08n0235_001:0750a22	相得見如來。何以故？如來說三十二相，即	相 得 見 如 來 何 以 故 如 來 說 三十二相 即 
T08n0235_001:0750a23	是非相，是名三十二相。」「須菩提！若有善男	是 非 相 是 名 三十二相 須 菩 提 若 有 善 男 
T08n0235_001:0750a24	子、善女人，以恒河沙等身命布施；若復有	子 善 女 人 以 恒 河 沙 等 身 命 布 施 若 復 有 
T08n0235_001:0750a25	人，於此經中，乃至受持四句偈等，為他人	人 於 此 經 中 乃 至 受 持 四 句 偈 等 為 他 人 
T08n0235_001:0750a26	說，其福甚多。」	說 其 福 甚 多 
T08n0235_001:0750a27	爾時，須菩提聞說是經，深解義趣，涕淚悲	爾 時 須 菩 提 聞 說 是 經 深 解 義 趣 涕 淚 悲 
T08n0235_001:0750a28	泣，而白佛言：「希有！世尊！佛說如是甚深經	泣 而 白 佛 言 希 有 世 尊 佛 說 如 是 甚 深 經 
T08n0235_001:0750a29	典，我從昔來所得慧眼，未曾得聞如是之	典 我 從 昔 來 所 得 慧 眼 未 曾 得 聞 如 是 之 
T08n0235_001:0750b01	經。世尊！若復有人得聞是經，信心清淨，則	經 世 尊 若 復 有 人 得 聞 是 經 信 心 清 淨 則 
T08n0235_001:0750b02	生實相，當知是人成就第一希有功德。世	生 實 相 當 知 是 人 成 就 第一希有 功 德 世 
T08n0235_001:0750b03	尊！是實相者，則是非相，是故如來說名實相。	尊 是 實 相 者 則 是 非 相 是 故 如 來 說 名 實 相 
T08n0235_001:0750b04	世尊！我今得聞如是經典，信解受持不足	世 尊 我 今 得 聞 如 是 經 典 信 解 受 持 不 足 
T08n0235_001:0750b05	為難，若當來世，後五百歲，其有眾生，得聞	為 難 若 當 來 世 後 五 百 歲 其 有 眾 生 得 聞 
T08n0235_001:0750b06	是經，信解受持，是人則為第一希有。何以	是 經 信 解 受 持 是 人 則 為 第一希有 何 以 
T08n0235_001:0750b07	故？此人無我相、人相、眾生相、壽者相。所以者	故 此 人 無 我 相 人 相 眾 生 相 壽 者 相 所 以 者 
T08n0235_001:0750b08	何？我相即是非相，人相、眾生相、壽者相即是	何 我 相 即 是 非 相 人 相 眾 生 相 壽 者 相 即 是 
T08n0235_001:0750b09	非相。何以故？離一切諸相，則名諸佛。」佛告	非 相 何 以 故 離 一 切 諸 相 則 名 諸 佛 佛 告 
T08n0235_001:0750b10	須菩提：「如是，如是！若復有人得聞是經，不	須 菩 提 如 是 如 是 若 復 有 人 得 聞 是 經 不 
T08n0235_001:0750b11	驚、不怖、不畏，當知是人甚為希有。何以故？	驚 不 怖 不 畏 當 知 是 人 甚 為 希 有 何 以 故 
T08n0235_001:0750b12	須菩提！如來說第一波羅蜜，非第一波羅	須 菩 提 如 來 說 第 一 波 羅 蜜 非 第 一 波 羅 
T08n0235_001:0750b13	蜜，是名第一波羅蜜。須菩提！忍辱波羅蜜，如	蜜 是 名 第 一 波 羅 蜜 須 菩 提 忍 辱 波 羅 蜜 如 
T08n0235_001:0750b14	來說非忍辱波羅蜜。何以故？須菩提！如我	來 說 非 忍 辱 波 羅 蜜 何 以 故 須 菩 提 如 我 
T08n0235_001:0750b15	昔為歌利王割截身體，我於爾時，無我	昔 為 歌 利 王 割 截 身 體 我 於 爾 時 無 我 
T08n0235_001:0750b16	相、無人相、無眾生相、無壽者相。何以故？我	相 無 人 相 無 眾 生 相 無 壽 者 相 何 以 故 我 
T08n0235_001:0750b17	於往昔節節支解時，若有我相、人相、眾生	於 往 昔 節 節 支 解 時 若 有 我 相 人 相 眾 生 
T08n0235_001:0750b18	相、壽者相，應生瞋恨。須菩提！又念過去於	相 壽 者 相 應 生 瞋 恨 須 菩 提 又 念 過 去 於 
T08n0235_001:0750b19	五百世作忍辱仙人，於爾所世，無我相、無	五 百 世 作 忍 辱 仙 人 於 爾 所 世 無 我 相 無 
T08n0235_001:0750b20	人相、無眾生相、無壽者相。是故須菩提！菩	人 相 無 眾 生 相 無 壽 者 相 是 故 須 菩 提 菩 
T08n0235_001:0750b21	薩應離一切相，發阿耨多羅三藐三菩提	薩 應 離一切相 發 阿耨多羅三藐三菩提 
T08n0235_001:0750b22	心，不應住色生心，不應住聲、香、味、觸、法	心 不 應 住 色 生 心 不 應 住 聲 香 味 觸 法 
T08n0235_001:0750b23	生心，應生無所住心。若心有住，則為非	生 心 應 生 無 所 住 心 若 心 有 住 則 為 非 
T08n0235_001:0750b24	住。是故佛說：『菩薩心不應住色布施。』「須菩	住 是 故 佛 說 菩 薩 心 不 應 住 色 布 施 須 菩 
T08n0235_001:0750b25	提！菩薩為利益一切眾生，應如是布施。如	提 菩 薩 為 利 益 一 切 眾 生 應 如 是 布 施 如 
T08n0235_001:0750b26	來說：『一切諸相，即是非相。』又說：『一切眾生，	來 說 一 切 諸 相 即 是 非 相 又 說 一 切 眾 生 
T08n0235_001:0750b27	則非眾生。』「須菩提！如來是真語者、實語者、	則 非 眾 生 須 菩 提 如 來 是 真 語 者 實 語 者 
T08n0235_001:0750b28	如語者、不誑語者、不異語者。「須菩提！如來	如 語 者 不 誑 語 者 不 異 語 者 須 菩 提 如 來 
T08n0235_001:0750b29	所得法，此法無實無虛。須菩提！若菩薩心住	所 得 法 此 法 無 實 無 虛 須 菩 提 若 菩 薩 心 住 
T08n0235_001:0750c01	於法而行布施，如人入闇，則無所見；若菩	於 法 而 行 布 施 如 人 入 闇 則 無 所 見 若 菩 
T08n0235_001:0750c02	薩心不住法而行布施，如人有目，日光明	薩 心 不 住 法 而 行 布 施 如 人 有 目 日 光 明 
T08n0235_001:0750c03	照，見種種色。「須菩提！當來之世，若有善男	照 見 種 種 色 須 菩 提 當來之世 若 有 善 男 
T08n0235_001:0750c04	子、善女人，能於此經受持讀誦，則為如來	子 善 女 人 能 於 此 經 受持讀誦 則 為 如 來 
T08n0235_001:0750c05	以佛智慧，悉知是人，悉見是人，皆得成就	以 佛 智 慧 悉 知 是 人 悉 見 是 人 皆 得 成 就 
T08n0235_001:0750c06	無量無邊功德。	無量無邊 功 德 
T08n0235_001:0750c07	「須菩提！若有善男子、善女人，初日分以恒	 須 菩 提 若 有 善 男 子 善 女 人 初 日 分 以 恒 
T08n0235_001:0750c08	河沙等身布施，中日分復以恒河沙等身	河 沙 等 身 布 施 中 日 分 復 以 恒 河 沙 等 身 
T08n0235_001:0750c09	布施，後日分亦以恒河沙等身布施，如是	布 施 後 日 分 亦 以 恒 河 沙 等 身 布 施 如 是 
T08n0235_001:0750c10	無量百千萬億劫以身布施；若復有人聞此	無量百千萬億 劫 以 身 布 施 若 復 有 人 聞 此 
T08n0235_001:0750c11	經典，信心不逆，其福勝彼，何況書寫、受持、讀	經 典 信 心 不 逆 其 福 勝 彼 何 況 書 寫 受 持 讀 
T08n0235_001:0750c12	誦、為人解說。「須菩提！以要言之，是經有不	誦 為 人 解 說 須 菩 提 以要言之 是 經 有 不 
T08n0235_001:0750c13	可思議、不可稱量、無邊功德。如來為發大乘	可 思 議 不可稱量 無 邊 功 德 如 來 為 發 大 乘 
T08n0235_001:0750c14	者說，為發最上乘者說。若有人能受持	者 說 為 發 最 上 乘 者 說 若 有 人 能 受 持 
T08n0235_001:0750c15	讀誦，廣為人說，如來悉知是人，悉見是人，	讀 誦 廣 為 人 說 如 來 悉 知 是 人 悉 見 是 人 
T08n0235_001:0750c16	皆得成就不可量、不可稱、無有邊、不可思議	皆 得 成 就 不 可 量 不 可 稱 無 有 邊 不可思議 
T08n0235_001:0750c17	功德，如是人等，則為荷擔如來阿耨多羅三	功 德 如 是 人 等 則 為 荷 擔 如 來 阿 耨 多 羅 三 
T08n0235_001:0750c18	藐三菩提。何以故？須菩提！若樂小法者，	藐 三 菩 提 何 以 故 須 菩 提 若 樂小法者 
T08n0235_001:0750c19	著我見、人見、眾生見、壽者見，則於此經，不	著 我 見 人 見 眾 生 見 壽 者 見 則 於 此 經 不 
T08n0235_001:0750c20	能聽受讀誦、為人解說。「須菩提！在在處處，	能 聽 受 讀 誦 為 人 解 說 須 菩 提 在在處處 
T08n0235_001:0750c21	若有此經，一切世間天、人、阿修羅，所應供	若 有 此 經 一切世間 天 人 阿 修 羅 所 應 供 
T08n0235_001:0750c22	養；當知此處則為是塔，皆應恭敬，作禮圍	養 當 知 此 處 則 為 是 塔 皆 應 恭 敬 作 禮 圍 
T08n0235_001:0750c23	繞，以諸華香而散其處。	繞 以 諸 華 香 而 散 其 處 
T08n0235_001:0750c24	「復次，須菩提！善男子、善女人，受持讀誦此經，	 復 次 須 菩 提 善 男 子 善 女 人 受持讀誦 此 經 
T08n0235_001:0750c25	若為人輕賤，是人先世罪業，應墮惡道，以	若 為 人 輕 賤 是 人 先 世 罪 業 應 墮 惡 道 以 
T08n0235_001:0750c26	今世人輕賤故，先世罪業則為消滅，當	今 世 人 輕 賤 故 先 世 罪 業 則 為 消 滅 當 
T08n0235_001:0750c27	得阿耨多羅三藐三菩提。「須菩提！我念過	得阿耨多羅三藐三菩提 須 菩 提 我 念 過 
T08n0235_001:0750c28	去無量阿僧祇劫，於然燈佛前，得值八百	去 無量阿僧祇劫 於 然 燈 佛 前 得 值 八 百 
T08n0235_001:0750c29	四千萬億那由他諸佛，悉皆供養承事，無空	四 千 萬 億 那 由 他 諸 佛 悉 皆 供 養 承 事 無 空 
T08n0235_001:0751a01	過者；若復有人，於後末世，能受持讀誦此	過 者 若 復 有 人 於 後 末 世 能 受持讀誦 此 
T08n0235_001:0751a02	經，所得功德，於我所供養諸佛功德，百分	經 所得功德 於 我 所 供 養 諸 佛 功 德 百 分 
T08n0235_001:0751a03	不及一，千萬億分、乃至算數譬喻所不能	不 及 一 千萬億分 乃 至 算 數 譬 喻 所 不 能 
T08n0235_001:0751a04	及。「須菩提！若善男子、善女人，於後末世，有	及 須 菩 提 若 善 男 子 善 女 人 於 後 末 世 有 
T08n0235_001:0751a05	受持讀誦此經，所得功德，我若具說者，或	受持讀誦 此 經 所得功德 我 若 具 說 者 或 
T08n0235_001:0751a06	有人聞，心則狂亂，狐疑不信。須菩提！當知	有 人 聞 心 則 狂 亂 狐 疑 不 信 須 菩 提 當 知 
T08n0235_001:0751a07	是經義不可思議，果報亦不可思議。」	是 經 義 不可思議 果 報 亦 不可思議 
T08n0235_001:0751a08	爾時，須菩提白佛言：「世尊！善男子、善女人，	爾 時 須 菩 提 白 佛 言 世 尊 善 男 子 善 女 人 
T08n0235_001:0751a09	發阿耨多羅三藐三菩提心，云何應住？云何	發 阿耨多羅三藐三菩提 心 云 何 應 住 云 何 
