T33n1696_001:0063a25	大品遊意	大 品 遊 意 
T33n1696_001:0063b22	等大士所乘故。故名為大也。實相般若。是萬	等 大 士 所 乘 故 故 名 為 大 也 實 相 般 若 是 萬 
T33n1696_001:0063b23	行之本。容受萬品。名為體大。所謂百華異色	行 之 本 容 受 萬 品 名 為 體 大 所 謂 百 華 異 色 
T33n1696_001:0063b24	皆成一陰。萬品體殊皆歸波若。波若能照第	皆 成 一 陰 萬 品 體 殊 皆 歸 波 若 波 若 能 照 第 
T33n1696_001:0063b25	一義空。此用最勝。故名為用大。上句直謂智	一 義 空 此 用 最 勝 故 名 為 用 大 上 句 直 謂 智 
T33n1696_001:0063b26	能。此句作用為異耳。菩薩修萬行。名為因大。	能 此 句 作 用 為 異 耳 菩 薩 修 萬 行 名 為 因 大 
T33n1696_001:0063b27	因既廣大。所得彌博。故名為果大。二乘所道。	因 既 廣 大 所 得 彌 博 故 名 為 果 大 二 乘 所 道 
T33n1696_001:0063b28	唯止於三。菩薩遍導萬行。故名導大。既導萬	唯 止 於 三 菩 薩 遍 導 萬 行 故 名 導 大 既 導 萬 
T33n1696_001:0063b29	品。利功最勝。故名利益大。二乘唯斷正使見	品 利 功 最 勝 故 名 利 益 大 二 乘 唯 斷 正 使 見 
T33n1696_001:0063c01	諦思。不及習氣無明。唯菩薩兼斷。故名斷結	諦 思 不 及 習 氣 無 明 唯 菩 薩 兼 斷 故 名 斷 結 
T33n1696_001:0063c02	大。故大品經云。一念相應慧斷無量煩惱及	大 故 大 品 經 云 一 念 相 應 慧 斷 無 量 煩 惱 及 
T33n1696_001:0063c03	習也。二乘唯滅輕罪。不及四重五逆。故阿含	習 也 二 乘 唯 滅 輕 罪 不 及 四 重 五 逆 故 阿 含 
T33n1696_001:0063c04	經云。阿闍世王墮[毯炎+白]毱地獄也。菩薩頓滅。故	經 云 阿 闍 世 王 墮 [毯炎白] 毱 地 獄 也 菩 薩 頓 滅 故 
T33n1696_001:0063c05	名滅罪大。大品云。若聞此經。即滅惡創癩病。	名 滅 罪 大 大 品 云 若 聞 此 經 即 滅 惡 創 癩 病 
T33n1696_001:0063c06	釋論第五十九卷釋法稱品云。惡創癩病者。	釋 論 第 五 十 九 卷 釋 法 稱 品 云 惡 創 癩 病 者 
T33n1696_001:0063c07	謂四重五逆也。故經云。世王滅罪。謂此也。龍	謂 四 重 五 逆 也 故 經 云 世 王 滅 罪 謂 此 也 龍 
T33n1696_001:0063c08	光述開善義云。大有六種。人境體用因果也。	光 述 開 善 義 云 大 有 六 種 人 境 體 用 因 果 也 
T33n1696_001:0063c09	後導與滅罪等四。攝入用大中也。併云。此皆	後 導 與 滅 罪 等 四 攝 入 用 大 中 也 併 云 此 皆 
T33n1696_001:0063c10	望小名大。而未照也。今假若就橫門釋者。於	望 小 名 大 而 未 照 也 今 假 若 就 橫 門 釋 者 於 
T33n1696_001:0063c11	義亦得。而言同旨異也。今所用者。唯存體用	義 亦 得 而 言 同 旨 異 也 今 所 用 者 唯 存 體 用 
T33n1696_001:0063c12	兩大。何者。義不出中假故。前家所明十種六	兩 大 何 者 義 不 出 中 假 故 前 家 所 明 十 種 六 
T33n1696_001:0063c13	種。皆是用大也。就此義中。大義有三。一者待	種 皆 是 用 大 也 就 此 義 中 大 義 有 三 一 者 待 
T33n1696_001:0063c14	小名大。謂大小小大因緣也。二者對小名大。	小 名 大 謂 大 小 小 大 因 緣 也 二 者 對 小 名 大 
T33n1696_001:0063c15	此破小乘狹劣之病。以廣大上句直明因緣	此 破 小 乘 狹 劣 之 病 以 廣 大 上 句 直 明 因 緣 
T33n1696_001:0063c16	相。此句偏明除病之耳。三者秤讚名大法。絕	相 此 句 偏 明 除 病 之 耳 三 者 秤 讚 名 大 法 絕 
T33n1696_001:0063c17	離如大火聚。而大勝義輪。以大名秤讚其	離 如大火聚 而 大 勝 義 輪 以 大 名 秤 讚 其 
T33n1696_001:0063c18	本。此非大非小。強名為大耳。問。若非大非小	本 此 非 大 非 小 強 名 為 大 耳 問 若 非 大 非 小 
T33n1696_001:0063c19	名為大者。亦應非偏非中名為中。何故非有	名 為 大 者 亦 應 非 偏 非 中 名 為 中 何 故 非 有 
T33n1696_001:0063c20	非無為中耶。答。義有左右。何者。若相攝明	非 無 為 中 耶 答 義 有 左 右 何 者 若 相 攝 明 
T33n1696_001:0063c21	者。亦應非有非無名為大。非大非小名為中。	者 亦 應 非有非無 名 為 大 非 大 非 小 名 為 中 
T33n1696_001:0063c22	而互相避者。各有故生故也。何者。佛常行中	而 互 相 避 者 各 有 故 生 故 也 何 者 佛 常 行 中 
T33n1696_001:0063c23	道。為眾生說有說無。此有此無。非是令保。義	道 為 眾 生 說 有 說 無 此 有 此 無 非 是 令 保 義 
T33n1696_001:0063c24	在表理。故十地經云。從有無方便。入非有非	在 表 理 故 十 地 經 云 從 有 無 方 便 入 非 有 非 
T33n1696_001:0063c25	無。故即非有非無。名為中也。欲讚理極。強名	無 故 即 非有非無 名 為 中 也 欲 讚 理 極 強 名 
T33n1696_001:0063c26	摩訶。恐有還著。故云非大非小名為大也。	摩 訶 恐 有 還 著 故 云 非 大 非 小 名 為 大 也 
T33n1696_001:0063c27	第二波若。波若名義。經論不同。今略出六種。	第 二 波 若 波 若 名 義 經 論 不 同 今 略 出 六 種 
T33n1696_001:0063c28	一者波若。二者斑若。三者鉢若。四者鉢羅若。	一 者 波 若 二 者 斑 若 三 者 鉢 若 四 者 鉢 羅 若 
T33n1696_001:0063c29	五者蔓多羅。六者摩何曼多羅。或云毘曇。此	五 者 蔓 多 羅 六 者 摩 何 曼 多 羅 或 云 毘 曇 此 
T33n1696_001:0064a01	云無比法也。此翻譯不同釋論第十八卷云。	云 無 比 法 也 此 翻 譯 不 同 釋 論 第 十 八 卷 云 
T33n1696_001:0064a02	波若是智慧第四十三卷云。波若是智慧。又	波 若 是 智 慧 第 四 十 三 卷 云 波 若 是 智 慧 又 
T33n1696_001:0064a03	六波羅蜜經云。波若是智慧也。道安法師造	六波羅蜜 經 云 波 若 是 智 慧 也 道 安 法 師 造 
T33n1696_001:0064a04	折疑論。以經無間品云。般若覺遠離。叡法師	折 疑 論 以 經 無 間 品 云 般 若 覺 遠 離 叡 法 師 
T33n1696_001:0064a05	云。波若是清淨也。而開善述者云。遠離清	云 波 若 是 清 淨 也 而 開 善 述 者 云 遠 離 清 
T33n1696_001:0064a06	淨等。皆是波若中用。非正波若義也。如空慧	淨 等 皆 是 波 若 中 用 非 正 波 若 義 也 如 空 慧 
T33n1696_001:0064a07	中。有忌與導等多用故。第十八卷云。波若是	中 有 忌 與 導 等 多 用 故 第 十 八 卷 云 波 若 是 
T33n1696_001:0064a08	慧者。正翻波若。餘皆義訓也。今解不然。何	慧 者 正 翻 波 若 餘 皆 義 訓 也 今 解 不 然 何 
T33n1696_001:0064a09	者。此經初云。波若非愚非智。論云。波若深	者 此 經 初 云 波 若 非 愚 非 智 論 云 波 若 深 
T33n1696_001:0064a10	重。智慧輕薄。故不可翻。故正法波若。不得以	重 智 慧 輕 薄 故 不 可 翻 故 正 法 波 若 不 得 以 
T33n1696_001:0064a11	一義翻譯。而三代法師說此文者。一者云。不	一 義 翻 譯 而 三 代 法 師 說 此 文 者 一 者 云 不 
T33n1696_001:0064a12	得以下地智慧翻上地波若也。一云。此說無	得 以 下 地 智 慧 翻 上 地 波 若 也 一 云 此 說 無 
T33n1696_001:0064a13	文。不足為依所。依成論世諦品說。何者。彼品	文 不 足 為 依 所 依 成 論 世 諦 品 說 何 者 彼 品 
T33n1696_001:0064a14	云。緣世諦心淺。緣第一義諦深。故不得以淺	云 緣 世 諦 心 淺 緣 第一義諦 深 故 不 得 以 淺 
T33n1696_001:0064a15	智慧翻深波若也。今解。正法波若。非愚非智。	智 慧 翻 深 波 若 也 今 解 正 法 波 若 非 愚 非 智 
T33n1696_001:0064a16	慧智等法。是其末用。故不得以其末翻彼本	慧 智 等 法 是 其 末 用 故 不 得 以 其 末 翻 彼 本 
T33n1696_001:0064a17	體。正法是其源。仍授波若秤。智慧是末。故與	體 正 法 是 其 源 仍 授 波 若 秤 智 慧 是 末 故 與 
T33n1696_001:0064a18	淺名多。長安叡法師。與什法師對翻大品。其	淺 名 多 長 安 叡 法 師 與 什 法 師 對 翻 大 品 其 
T33n1696_001:0064a19	序云。胡音失者。正之天竺。秦言謬者。定之	序 云 胡 音 失 者 正 之 天 竺 秦 言 謬 者 定 之 
T33n1696_001:0064a20	字義。不得翻者即而盡。是以異名熾然。胡漢	字 義 不 得 翻 者 即 而 盡 是 以 異 名 熾 然 胡 漢 
T33n1696_001:0064a21	殆半。應述其言也。而經論此云智。此云慧者。	殆 半 應 述 其 言 也 而 經 論 此 云 智 此 云 慧 者 
T33n1696_001:0064a22	欲舉一義令生信樂。非是正翻也。大品經云。	欲 舉 一 義 令 生 信 樂 非 是 正 翻 也 大 品 經 云 
T33n1696_001:0064a23	波若謂諸眾生。毘婆沙那謂聲聞緣覺。闍那	波 若 謂 諸 眾 生 毘 婆 沙 那 謂 聲 聞 緣 覺 闍 那 
T33n1696_001:0064a24	謂佛菩薩也。成論釋此文者。凡夫之人。依教	謂 佛 菩 薩 也 成 論 釋 此 文 者 凡 夫 之 人 依 教 
T33n1696_001:0064a25	翻癡根生無癡善根。故與波若之名。二乘見	翻 癡 根 生 無癡善根 故 與 波 若 之 名 二 乘 見 
T33n1696_001:0064a26	四真諦。分亦見空。故與見秤。菩薩照境決	四 真 諦 分 亦 見 空 故 與 見 秤 菩 薩 照 境 決 
T33n1696_001:0064a27	斷。故授智號也。今解。凡夫二乘菩薩皆見正	斷 故 授 智 號 也 今 解 凡 夫 二 乘 菩 薩 皆 見 正 
T33n1696_001:0064a28	法之用。凡夫唯有趣向之心。而無用道別起。	法 之 用 凡 夫 唯 有 趣 向 之 心 而 無 用 道 別 起 
T33n1696_001:0064a29	仍授體名。後二者同前釋也。復次經云。說智	仍 授 體 名 後 二 者 同 前 釋 也 復 次 經 云 說 智 
T33n1696_001:0064b01	及智處。皆名般若者。成論師云。謂教行境也。	及 智 處 皆 名 般 若 者 成 論 師 云 謂 教 行 境 也 
T33n1696_001:0064b02	何者。教能詮智。智能照境。境能發智。此皆波	何 者 教 能 詮 智 智 能 照 境 境 能 發 智 此 皆 波 
T33n1696_001:0064b03	若之緣。故總名波若。而觀照波若。實是智慧。	若 之 緣 故 總 名 波 若 而 觀 照 波 若 實 是 智 慧 
T33n1696_001:0064b04	故能照境。第一義空。是智之緣。故名實相波	故 能 照 境 第一義空 是 智 之 緣 故 名 實 相 波 
T33n1696_001:0064b05	若。何者。我心悟理即生明解。違即生惑。故此	若 何 者 我 心 悟 理 即 生 明 解 違 即 生 惑 故 此 
T33n1696_001:0064b06	三種。其相性實異也。今解不然。何者。若有境	三 種 其 相 性 實 異 也 今 解 不 然 何 者 若 有 境 
T33n1696_001:0064b07	智之別。境不生智。智不照境。即是性義不離	智 之 別 境 不 生 智 智 不 照 境 即 是 性 義 不 離 
T33n1696_001:0064b08	斷常矣。今解。境能發智。智能照境。境智智	斷 常 矣 今 解 境 能 發 智 智 能 照 境 境 智 智 
T33n1696_001:0064b09	境。境智是空境智即非境非智。平等無二。是	境 境 智 是 空 境 智 即 非 境 非 智 平 等 無 二 是 
T33n1696_001:0064b10	有所辦之宗也。此不二為物所開。即名教行	有 所 辦 之 宗 也 此 不 二 為 物 所 開 即 名 教 行 
T33n1696_001:0064b11	波若。開而不歔。即名正法波若也。既是空	波 若 開 而 不 歔 即 名 正 法 波 若 也 既 是 空 
T33n1696_001:0064b12	境空智。是以言智不失境。言境不失智。故知	境 空 智 是 以 言 智 不 失 境 言 境 不 失 智 故 知 
T33n1696_001:0064b13	成論境智定異也。又成實論云。斷惑之導。唯	成 論 境 智 定 異 也 又 成 實 論 云 斷 惑 之 導 唯 
T33n1696_001:0064b14	須空慧。何者。已與執相違故也。而開善義。在	須 空 慧 何 者 已 與 執 相 違 故 也 而 開 善 義 在 
T33n1696_001:0064b15	東山時。說五方便。皆緣於假理。故第一法。與	東 山 時 說 五 方 便 皆 緣 於 假 理 故 第 一 法 與 
T33n1696_001:0064b16	苦忍不為習因也。還陽州時云。五方便皆緣	苦 忍 不 為 習 因 也 還 陽 州 時 云 五 方 便 皆 緣 
T33n1696_001:0064b17	於真。故緣假解對退不伏進不斷。而死時云。	於 真 故 緣 假 解 對 退 不 伏 進 不 斷 而 死 時 云 
T33n1696_001:0064b18	先說謂得。何者。成論四無礙品云。何者近法	先 說 謂 得 何 者 成 論 四 無 礙 品 云 何 者 近 法 
T33n1696_001:0064b19	住世諦智。論主答懦頂是也。今解。有四句。假	住 世 諦 智 論 主 答 懦 頂 是 也 今 解 有 四 句 假 
T33n1696_001:0064b20	伏中斷。中伏假斷。中假具斷。中假具伏。如斷	伏 中 斷 中 伏 假 斷 中 假 具 斷 中 假 具 伏 如 斷 
T33n1696_001:0064b21	伏義中具說也。成論師云。無始以來。所染煩	伏 義 中 具 說 也 成 論 師 云 無 始 以 來 所 染 煩 
T33n1696_001:0064b22	惱。隨心成就。如影隨形。故修行十地。漸斷諸	惱 隨 心 成 就 如 影 隨 形 故 修 行 十 地 漸 斷 諸 
T33n1696_001:0064b23	結也。今即不爾。許心造空。即名斷惑。無有成	結 也 今 即 不 爾 許 心 造 空 即 名 斷 惑 無 有 成 
T33n1696_001:0064b24	就。如影隨形。而迷得悟。故經云。無明即變為	就 如 影 隨 形 而 迷 得 悟 故 經 云 無 明 即 變 為 
T33n1696_001:0064b25	明。而顛倒本空寂。去無所至。故經云。明與無	明 而 顛 倒 本 空 寂 去 無 所 至 故 經 云 明 與 無 
T33n1696_001:0064b26	明。真性無二也。但佛果斷惑不斷惑以來有	明 真 性 無 二 也 但 佛 果 斷 惑 不 斷 惑 以 來 有 
T33n1696_001:0064b27	二。開善云。佛地即惑。此義難解。何者。若佛	二 開 善 云 佛 地 即 惑 此 義 難 解 何 者 若 佛 
T33n1696_001:0064b28	心起時。煩惱滅者。即應惑屬佛地也。莊嚴云。	心 起 時 煩 惱 滅 者 即 應 惑 屬 佛 地 也 莊 嚴 云 
T33n1696_001:0064b29	滅惑生解。如因滅果生。故佛地不即惑。若爾	滅 惑 生 解 如 因 滅 果 生 故 佛 地 不 即 惑 若 爾 
T33n1696_001:0064c01	煩惱自滅。解不開於也。解云。常迫迮伏惑力	煩 惱 自 滅 解 不 開 於 也 解 云 常 迫 迮 伏 惑 力 
T33n1696_001:0064c02	轉弱。理應滅惑時。解力轉勝。方可生時。故雖	轉 弱 理 應 滅 惑 時 解 力 轉 勝 方 可 生 時 故 雖 
T33n1696_001:0064c03	不相經干。有存亡。理數然爾。般若義。釋論	不 相 經 干 有 存 亡 理 數 然 爾 般 若 義 釋 論 
T33n1696_001:0064c04	出八家。第一家云。無漏為般若。成論主所用	出 八 家 第 一 家 云 無 漏 為 般 若 成 論 主 所 用 
T33n1696_001:0064c05	也。第二家云。有漏為般若。數家所用。何者。	也 第 二 家 云 有 漏 為 般 若 數 家 所 用 何 者 
T33n1696_001:0064c06	見有得道故也。第三家云。有漏無漏合為般	見 有 得 道 故 也 第 三 家 云 有漏無漏 合 為 般 
T33n1696_001:0064c07	若。第四家云。因中智慧。是般若故。經在因名	若 第 四 家 云 因 中 智 慧 是 般 若 故 經 在 因 名 
T33n1696_001:0064c08	般若。果薩般若也。第五家云。無漏無為不可	般 若 果 薩 般 若 也 第 五 家 云 無 漏 無 為 不 可 
T33n1696_001:0064c09	見無對般若。第六家云。離有無四句。為般若。	見 無 對 般 若 第 六 家 云 離 有 無 四 句 為 般 若 
T33n1696_001:0064c10	第七家云。前六併是也。第八家云。前六中。唯	第 七 家 云 前 六 併 是 也 第 八 家 云 前 六 中 唯 
T33n1696_001:0064c11	第六家所說解。是也。龍樹菩薩唯出八家而	第 六 家 所 說 解 是 也 龍 樹 菩 薩 唯 出 八 家 而 
T33n1696_001:0064c12	已。不復簡是非也。今解。若如前五家所執。只	已 不 復 簡 是 非 也 今 解 若 如 前 五 家 所 執 只 
T33n1696_001:0064c13	是般若中一片。是非般若正義。第七家合取	是 般 若 中 一 片 是 非 般 若 正 義 第 七 家 合 取 
T33n1696_001:0064c14	為般若者。此舉時用。第六家云。正是般若體	為 般 若 者 此 舉 時 用 第 六 家 云 正 是 般 若 體 
T33n1696_001:0064c15	也。所以明般若者。諸師有二釋。一云。初教所	也 所 以 明 般 若 者 諸 師 有 二 釋 一 云 初 教 所 
T33n1696_001:0064c16	破。是有法無諸利益。故立正因果。以破其執。	破 是 有 法 無 諸 利 益 故 立 正 因 果 以 破 其 執 
T33n1696_001:0064c17	既立因果。故以有相為宗。而未申本意。故第	既 立 因 果 故 以 有 相 為 宗 而 未 申 本 意 故 第 
T33n1696_001:0064c18	二說般若。是慧觀法師所申也。一者云。初教	二 說 般 若 是 慧 觀 法 師 所 申 也 一 者 云 初 教 
T33n1696_001:0064c19	亦說無相。故見空得道。而言相教。從多論耳。	亦 說 無 相 故 見 空 得 道 而 言 相 教 從 多 論 耳 
T33n1696_001:0064c20	既是略說。故第二廣說無相般若也。而釋論	既 是 略 說 故 第 二 廣 說 無 相 般 若 也 而 釋 論 
T33n1696_001:0064c21	以十九復次。廣辨之。而無一復次因於此釋	以 十 九 復 次 廣 辨 之 而 無 一 復 次 因 於 此 釋 
T33n1696_001:0064c22	也。今略者。一二復次。第一復次云。為彌勒廣	也 今 略 者 一 二 復 次 第 一 復 次 云 為 彌 勒 廣 
T33n1696_001:0064c23	菩薩行故說般若也。第二斷邪見疑網。第三	菩 薩 行 故 說 般 若 也 第 二 斷 邪 見 疑 網 第 三 
T33n1696_001:0064c24	破邪見。令信入中道。第四斷有無二見。令進	破 邪 見 令 信 入 中 道 第 四 斷 有無二見 令 進 
T33n1696_001:0064c25	入中道。第五令信正法。第六復次云。為四悉	入 中 道 第 五 令 信 正 法 第 六 復 次 云 為 四 悉 
T33n1696_001:0064c26	檀故說般若也。第七復次云。次別大小乘故	檀 故 說 般 若 也 第 七 復 次 云 次 別 大 小 乘 故 
T33n1696_001:0064c27	說般若。其餘復次。如論中說也。	說 般 若 其 餘 復 次 如 論 中 說 也 
T33n1696_001:0064c28	波羅蜜第三。波羅者。亦名波伽也。波羅此云	波 羅 蜜 第 三 波 羅 者 亦 名 波 伽 也 波 羅 此 云 
T33n1696_001:0064c29	彼岸。密者言度。又賢劫經云。波言岸。密者言	彼 岸 密 者 言 度 又 賢 劫 經 云 波 言 岸 密 者 言 
T33n1696_001:0065a01	究竟也。釋論中廣說此彼兩岸及度也。今略	究 竟 也 釋 論 中 廣 說 此 彼 兩 岸 及 度 也 今 略 
T33n1696_001:0065a02	舉三。以示其相。第一者小乘為此岸。大乘為	舉 三 以 示 其 相 第 一 者 小 乘 為 此 岸 大 乘 為 
T33n1696_001:0065a03	彼岸。何者為小乘人委曲授教。未及廣遠。名	彼 岸 何 者 為 小 乘 人 委 曲 授 教 未 及 廣 遠 名 
T33n1696_001:0065a04	為此岸。為大根人說大乘滿教名彼岸。檀波	為 此 岸 為 大 根 人 說 大 乘 滿 教 名 彼 岸 檀 波 
T33n1696_001:0065a05	羅蜜為中流。此行至果。名為度。而龍樹云。在	羅 蜜 為 中 流 此 行 至 果 名 為 度 而 龍 樹 云 在 
T33n1696_001:0065a06	海中為度。已至彼岸為到。亦眼目之異名。第	海 中 為 度 已 至 彼 岸 為 到 亦 眼 目 之 異 名 第 
T33n1696_001:0065a07	二雙者。魔為此岸。佛為彼岸。中流如前也。第	二 雙 者 魔 為 此 岸 佛 為 彼 岸 中 流 如 前 也 第 
T33n1696_001:0065a08	三雙者。世間為此岸。涅槃為彼岸。受是生死	三 雙 者 世 間 為 此 岸 涅 槃 為 彼 岸 受 是 生 死 
T33n1696_001:0065a09	河。八正華為中流也。成論師有相為此岸。無	河 八 正 華 為 中 流 也 成 論 師 有 相 為 此 岸 無 
T33n1696_001:0065a10	相為彼岸。生死為此岸。涅槃為彼岸。眾惑為	相 為 彼 岸 生 死 為 此 岸 涅 槃 為 彼 岸 眾 惑 為 
T33n1696_001:0065a11	此岸。種智為彼岸。此即三同前釋。而實碩異	此 岸 種 智 為 彼 岸 此 即 三 同 前 釋 而 實 碩 異 
T33n1696_001:0065a12	也。賴殰假捨此經彼。必為度彼岸也。今則不	也 賴 殰 假 捨 此 經 彼 必 為 度 彼 岸 也 今 則 不 
T33n1696_001:0065a13	然。無有一法以此到彼。唯遠我無我。不二名	然 無 有 一 法 以 此 到 彼 唯 遠 我 無 我 不 二 名 
T33n1696_001:0065a14	為度。度者水勉也。	為 度 度 者 水 勉 也 
T33n1696_001:0065a15	明修多羅第四。三義之中。有一分名經。何者	明 修 多 羅 第 四 三 義 之 中 有 一 分 名 經 何 者 
T33n1696_001:0065a16	是三。一者佛口說。二者神眼見。三者光明也。	是 三 一 者 佛 口 說 二 者 神 眼 見 三 者 光 明 也 
T33n1696_001:0065a17	如坐席眾中弟子所說也。言放光者。若入林	如 坐 席 眾 中 弟 子 所 說 也 言 放 光 者 若 入 林 
T33n1696_001:0065a18	磎答。正造論時。佛放光明。表有疑者。即入修	磎 答 正 造 論 時 佛 放 光 明 表 有 疑 者 即 入 修 
T33n1696_001:0065a19	多羅。若闕此三義者。雖有聖明之德。不入經	多 羅 若 闕 此 三 義 者 雖 有 聖 明 之 德 不 入 經 
T33n1696_001:0065a20	疑。故佛在舍利弗。造阿毘曇。迦旃延造毘勒	疑 故 佛 在 舍 利 弗 造 阿 毘 曇 迦 旃 延 造 毘 勒 
T33n1696_001:0065a21	論。曇摩陳那比丘尼亦造論。皆名為論也。如	論 曇 摩 陳 那 比 丘 尼 亦 造 論 皆 名 為 論 也 如 
T33n1696_001:0065a22	外典聖人所說。名為經。賢人所吐。名為書也。	外 典 聖 人 所 說 名 為 經 賢 人 所 吐 名 為 書 也 
T33n1696_001:0065a23	修多羅。略有三名。謂修多羅。修嵐林。修多	修 多 羅 略 有 三 名 謂 修 多 羅 修 嵐 林 修 多 
T33n1696_001:0065a24	懶。而經論翻譯不同。仁王經云法本。大經與	懶 而 經 論 翻 譯 不 同 仁 王 經 云 法 本 大 經 與 
T33n1696_001:0065a25	雜心云契經。成論云。直說聖言。或經云經	雜 心 云 契 經 成 論 云 直 說 聖 言 或 經 云 經 
T33n1696_001:0065a26	也。言經者。有時一云。直別經論之異。如聖說	也 言 經 者 有 時 一 云 直 別 經 論 之 異 如 聖 說 
T33n1696_001:0065a27	名經。異人說名書。非翻修多羅也。	名 經 異 人 說 名 書 非 翻 修 多 羅 也 
T33n1696_001:0065a28	明序第五。從來釋者。序是由漸義。若非時方	明 序 第 五 從 來 釋 者 序 是 由 漸 義 若 非 時 方 
T33n1696_001:0065a29	人正教無由。故所因謂之序也。而序訓有三。	人 正 教 無 由 故 所 因 謂 之 序 也 而 序 訓 有 三 
T33n1696_001:0065b01	一屋。二舒。三王也。天子正坐大極殿。諸臣所	一 屋 二 舒 三 王 也 天 子 正 坐 大 極 殿 諸 臣 所 
T33n1696_001:0065b02	居。左庠右序。若謂王所從。庠序而進。不得直	居 左 庠 右 序 若 謂 王 所 從 庠 序 而 進 不 得 直 
T33n1696_001:0065b03	就。說之時。必因五事。不得頓說。故以序品	就 說 之 時 必 因 五 事 不 得 頓 說 故 以 序 品 
T33n1696_001:0065b04	初。以況聖義耳。既有時方人者。教自開敷。詔	初 以 況 聖 義 耳 既 有 時 方 人 者 教 自 開 敷 詔 
T33n1696_001:0065b05	之序也。正行教也。名為王者往也。如王命之	之 序 也 正 行 教 也 名 為 王 者 往 也 如 王 命 之 
T33n1696_001:0065b06	事道而不塞。非命之事。應而不行者也　秡	事 道 而 不 塞 非 命 之 事 應 而 不 行 者 也 秡 
T33n1696_001:0065b07	渠者。此云品也。義類不同。謂之品也。若具	渠 者 此 云 品 也 義 類 不 同 謂 之 品 也 若 具 
T33n1696_001:0065b08	言。應言佛陀槃遮摩訶般若波羅蜜。此云修	言 應 言 佛 陀 槃 遮 摩訶般若波羅蜜 此 云 修 
T33n1696_001:0065b09	多羅。凡說法有五。一佛。二弟子。三諸天。四	多 羅 凡 說 法 有 五 一 佛 二 弟 子 三 諸 天 四 
T33n1696_001:0065b10	仙人。五化人。故簡聖餘名。故云佛說。記胡來	仙 人 五 化 人 故 簡 聖 餘 名 故 云 佛 說 記 胡 來 
