T85n2753_001:0205b09	華嚴經章	華 嚴 經 章 
T85n2753_001:0206a01	是之至寂真實之體。此品明功德是方便莊	是 之 至 寂 真 實 之 體 此 品 明 功 德 是 方 便 莊 
T85n2753_001:0206a02	嚴。前彰行體清淨平等。此顯備用殊致義福	嚴 前 彰 行 體 清 淨 平 等 此 顯 備 用 殊 致 義 福 
T85n2753_001:0206a03	塵沙故。次明功德品。	塵 沙 故 次 明 功 德 品 
T85n2753_001:0206a04	明法品第十四此品所以興者。上明梵行	明 法 品 第 十 四 此 品 所 以 興 者 上 明 梵 行 
T85n2753_001:0206a05	功德體。義廣大發與佛同理宜勝進。是以惠	功 德 體 義 廣 大 發 與 佛 同 理 宜 勝 進 是 以 惠 
T85n2753_001:0206a06	菩薩。問於法惠廣辨超昇增上之道。其相彰	菩 薩 問 於 法 惠 廣 辨 超 昇 增 上 之 道 其 相 彰 
T85n2753_001:0206a07	顯故。曰明法品也。	顯 故 曰 明 法 品 也 
T85n2753_001:0206a08	昇夜摩天宮自在品第十五此品所以興	昇 夜 摩 天 宮 自 在 品 第 十 五 此 品 所 以 興 
T85n2753_001:0206a09	者。前明十二種法。是勝進之道。欲彰勇猛大	者 前 明 十 二 種 法 是 勝 進 之 道 欲 彰 勇 猛 大 
T85n2753_001:0206a10	士。冥心玄會不由階降故。次明昇夜摩宮自	士 冥 心 玄 會 不 由 階 降 故 次 明 昇 夜 摩 宮 自 
T85n2753_001:0206a11	在品也。	在 品 也 
T85n2753_001:0206a12	菩薩說偈品第十六此說偈起意法用旨況	菩 薩 說 偈 品 第 十 六 此 說 偈 起 意 法 用 旨 況 
T85n2753_001:0206a13	與上相似。但名品行位處別為異。准上可知。	與 上 相 似 但 名 品 行 位 處 別 為 異 准 上 可 知 
T85n2753_001:0206a14	十行品第十七此十行品與前十住有何異	十 行 品 第 十 七 此 十 行 品 與 前 十 住 有 何 異 
T85n2753_001:0206a15	相。十住明信解發心決定相應。今此十行明	相 十 住 明 信 解 發 心 決 定 相 應 今 此 十 行 明 
T85n2753_001:0206a16	行成建立往待之義。何故知也。夫解明由行	行 成 建 立 往 待 之 義 何 故 知 也 夫 解 明 由 行 
T85n2753_001:0206a17	懃行成。由於解悟解行相須理數然矣。此為	懃 行 成 由 於 解 悟 解 行 相 須 理 數 然 矣 此 為 
T85n2753_001:0206a18	發起次第故。又言解行者位也。所謂性真明	發 起 次 第 故 又 言 解 行 者 位 也 所 謂 性 真 明 
T85n2753_001:0206a19	義。拘齊觀解行冥符同融一揆。於法界海臨	義 拘 齊 觀 解 行 冥 符 同 融 一 揆 於 法 界 海 臨 
T85n2753_001:0206a20	玄靡注故言解行。亦名迴向。非謂先後之異。	玄 靡 注 故 言 解 行 亦 名 迴 向 非 謂 先 後 之 異 
T85n2753_001:0206a21	夫言行者。體道歸宗安心虛寂土已懷仁無	夫 言 行 者 體 道 歸 宗 安 心 虛 寂 土 已 懷 仁 無 
T85n2753_001:0206a22	不進達。雖復縱電於八荒之野。如不為非緣	不 進 達 雖 復 縱 電 於 八 荒 之 野 如 不 為 非 緣 
T85n2753_001:0206a23	所羇慈光等曜十方同一統萬乘於焂忽總眾	所 羇 慈 光 等 曜 十 方 同 一 統 萬 乘 於 焂 忽 總 眾 
T85n2753_001:0206a24	相於一念不動。如大山王而常熾然。特進如	相 於 一 念 不 動 如 大 山 王 而 常 熾 然 特 進 如 
T85n2753_001:0206a25	斯之義相非量。何以故。前十住初發心諸佛	斯 之 義 相 非 量 何 以 故 前 十 住 初 發 心 諸 佛 
T85n2753_001:0206a26	說所不窮。況此行成建立。云何名言能盡品。	說 所 不 窮 況 此 行 成 建 立 云 何 名 言 能 盡 品 
T85n2753_001:0206a27	次相接與十住義一。但行位為異。	次 相 接 與 十 住 義 一 但 行 位 為 異 
T85n2753_001:0206a28	十藏品第十八此品所興者。上辨十行超	十 藏 品 第 十 八 此 品 所 興 者 上 辨 十 行 超 
T85n2753_001:0206a29	昇增上究竟徹到至融無礙冥心真境法界藏	昇 增 上 究 竟 徹 到 至 融 無 礙 冥 心 真 境 法 界 藏 
T85n2753_001:0206b01	海故。明十種無盡之藏為成上辨十種之行。	海 故 明 十 種 無 盡 之 藏 為 成 上 辨 十 種 之 行 
T85n2753_001:0206b02	是故復明十種藏義。十藏者。一信藏。二曰戒	是 故 復 明 十 種 藏 義 十 藏 者 一 信 藏 二 曰 戒 
T85n2753_001:0206b03	藏。三曰慚藏。四曰愧藏。五曰受聞藏。六曰	藏 三 曰 慚 藏 四 曰 愧 藏 五 曰 受 聞 藏 六 曰 
T85n2753_001:0206b04	施藏。七曰惠藏。八曰正念藏。九曰持藏。十曰	施 藏 七 曰 惠 藏 八 曰 正 念 藏 九 曰 持 藏 十 曰 
T85n2753_001:0206b05	辨藏。是為十。夫言藏者。蓋是法海之名。何故	辨 藏 是 為 十 夫 言 藏 者 蓋 是 法 海 之 名 何 故 
T85n2753_001:0206b06	名藏。欲明宗無不統義無不苞德。備眾能理	名 藏 欲 明 宗 無 不 統 義 無 不 苞 德 備 眾 能 理 
T85n2753_001:0206b07	相恒爾故名藏。故次名十藏品。	相 恒 爾 故 名 藏 故 次 名 十 藏 品 
T85n2753_001:0206b08	昇兜率天宮品第十九此品所以興者。上	昇 兜率天宮 品 第 十 九 此 品 所 以 興 者 上 
T85n2753_001:0206b09	辨十種藏海。明理行始成勝進轉妙真解踰	辨 十 種 藏 海 明 理 行 始 成 勝 進 轉 妙 真 解 踰 
T85n2753_001:0206b10	明解行冥府方便道備正證無漏自然現前。	明 解 行 冥 府 方 便 道 備 正 證 無 漏 自 然 現 前 
T85n2753_001:0206b11	是以寄一生之運。以表其義故次明也。	是 以 寄 一 生 之 運 以 表 其 義 故 次 明 也 
T85n2753_001:0206b12	十迴向品二十一并讚歎品義勢相此品所	十 迴 向 品 二 十 一 并 讚 歎 品 義 勢 相 此 品 所 
T85n2753_001:0206b13	以興者。上明行成。由於理資真解非行不顯	以 興 者 上 明 行 成 由 於 理 資 真 解 非 行 不 顯 
T85n2753_001:0206b14	解行。均融菩提道立誓與眾生同之。佛果雖	解 行 均 融 菩 提 道 立 誓 與 眾 生 同 之 佛 果 雖 
T85n2753_001:0206b15	未究竟不住意成。是故一豪之善自然趣向	未 究 竟 不 住 意 成 是 故 一 豪 之 善 自 然 趣 向 
T85n2753_001:0206b16	薩婆若海故。次明迴向品。此十迴向中有三	薩 婆 若 海 故 次 明 迴 向 品 此 十 迴 向 中 有 三 
T85n2753_001:0206b17	文。初三就法明迴向。次三據道以明向。後三	文 初 三 就 法 明 迴 向 次 三 據 道 以 明 向 後 三 
T85n2753_001:0206b18	就乘明向。第十法界無量者。備上三義法界	就 乘 明 向 第 十 法 界 無 量 者 備 上 三 義 法 界 
T85n2753_001:0206b19	海行具足成就。趣證之義非言能盡故。云法	海 行 具 足 成 就 趣 證 之 義 非 言 能 盡 故 云 法 
T85n2753_001:0206b20	界無量迴向。	界 無 量 迴 向 
T85n2753_001:0206b21	十地品第二十二此品所以興者。前迴向	十 地 品 第 二 十 二 此 品 所 以 興 者 前 迴 向 
T85n2753_001:0206b22	中明大士解達玄原無有一法可起志想行煩	中 明 大 士 解 達 玄 原 無 有 一 法 可 起 志 想 行 煩 
T85n2753_001:0206b23	虛宗。乃至不見一相可存。是以行滿惠超成	虛 宗 乃 至 不 見 一 相 可 存 是 以 行 滿 惠 超 成 
T85n2753_001:0206b24	就實證理。現心用一切皆是故次明也。所言	就 實 證 理 現 心 用 一 切 皆 是 故 次 明 也 所 言 
T85n2753_001:0206b25	地者。決定生成佛知住持。又以常起四種大	地 者 決 定 生 成 佛 知 住 持 又 以 常 起 四 種 大 
T85n2753_001:0206b26	智□輸被化眾生。復自建立五種那羅延幢。	智 輸 被 化 眾 生 復 自 建 立 五 種 那 羅 延 幢 
T85n2753_001:0206b27	以是義故名之為地。故曰十地品也。	以是義故 名 之 為 地 故 曰 十 地 品 也 
T85n2753_001:0206b28	十明品第二十三此品所以興。上辨十地	十 明 品 第 二 十 三 此 品 所 以 興 上 辨 十 地 
T85n2753_001:0206b29	大士德行彌輸道無不備故。以法性為身圓	大 士 德 行 彌 輸 道 無 不 備 故 以 法 性 為 身 圓 
T85n2753_001:0206c01	照為用。於一切法皆悉了達。為彰此義故次	照 為 用 於一切法 皆 悉 了 達 為 彰 此 義 故 次 
T85n2753_001:0206c02	辨十明品。就中大意不出三明寄六通廣之	辨 十 明 品 就 中 大 意 不 出 三 明 寄 六 通 廣 之 
T85n2753_001:0206c03	為十。何以知然。下結云。菩薩住此知明悉得	為 十 何 以 知 然 下 結 云 菩 薩 住 此 知 明 悉 得 
T85n2753_001:0206c04	三世無閡智明。於中一一廣解其義可知。初	三 世 無 閡 智 明 於 中 一 一 廣 解 其 義 可 知 初 
T85n2753_001:0206c05	名善知他心知明。了達一切眾生心相差別。	名 善 知 他 心 知 明 了 達 一 切 眾 生 心 相 差 別 
T85n2753_001:0206c06	第二無閡天眼智明。如來境界迴轉死此生	第 二 無 閡 天 眼 智 明 如來境界 迴 轉 死 此 生 
T85n2753_001:0206c07	彼。悉能都見。第三入過去際無礙宿命智明。	彼 悉 能 都 見 第 三 入 過 去 際 無 礙 宿命智明 
T85n2753_001:0206c08	過明去一切眾生一切事一切佛坐菩薩坐菩	過 明 去 一 切 眾 生 一 切 事 一 切 佛 坐 菩 薩 坐 菩 
T85n2753_001:0206c09	提樹。乃至或正覺一切諸佛從初發心修行。	提 樹 乃 至 或 正 覺 一切諸佛 從 初 發 心 修 行 
T85n2753_001:0206c10	乃至得無餘涅槃。一切諸事悉能了知。第深	乃 至 得 無餘涅槃 一 切 諸 事 悉 能 了 知 第 深 
T85n2753_001:0206c11	入未來際劫無礙智明。前但明如來境界迴	入 未 來 際 劫 無 礙 智 明 前 但 明 如來境界 迴 
T85n2753_001:0206c12	轉。此云諸事悉能了知。一切未來世中所有	轉 此 云 諸 事 悉 能 了 知 一 切 未 來 世 中 所 有 
T85n2753_001:0206c13	事與過去同。第五無礙清淨天耳知明。十方	事 與 過 去 同 第 五 無 礙 清 淨 天 耳 知 明 十 方 
T85n2753_001:0206c14	一切音聲乃至句味悉能聞知皆不妄失。第	一 切 音 聲 乃 至 句 味 悉 能 聞 知 皆 不 妄 失 第 
T85n2753_001:0206c15	六安住無畏神力智明。此是神通相。第七分	六 安 住 無 畏 神 力 智 明 此 是 神 通 相 第 七 分 
T85n2753_001:0206c16	別一切言音智明。第八出生無量阿僧祇色	別 一 切 言 音 智 明 第 八 出 生 無量阿僧祇 色 
T85n2753_001:0206c17	身莊嚴智明。第九一切諸法真實智明。第十	身 莊 嚴 智 明 第 九 一切諸法 真 實 智 明 第 十 
T85n2753_001:0206c18	一切諸法定智明。	一切諸法 定 智 明 
T85n2753_001:0206c19	十忍品第二十四此品所以興者。上辨圓照	十 忍 品 第 二 十 四 此 品 所 以 興 者 上 辨 圓 照 
T85n2753_001:0206c20	之明了達諸法。此顯實解平等正住無生安	之 明 了 達 諸 法 此 顯 實 解 平 等 正 住 無 生 安 
T85n2753_001:0206c21	心。於理名之為忍。隨相而明故云十忍品。	心 於 理 名 之 為 忍 隨 相 而 明 故 云 十 忍 品 
T85n2753_001:0206c22	阿僧祇品第二十五此品所以興者。上來	阿 僧 祇 品 第 二 十 五 此 品 所 以 興 者 上 來 
T85n2753_001:0206c23	廣辨諸佛菩薩德行彌博無量無邊不可思	廣 辨 諸佛菩薩 德 行 彌 博 無量無邊 不 可 思 
T85n2753_001:0206c24	議。皆云阿僧祇。乃至不可說。以示其行況未	議 皆 云 阿 僧 祇 乃 至 不 可 說 以 示 其 行 況 未 
T85n2753_001:0206c25	釋所以。是故如來敷演此義故次明也。	釋 所 以 是 故 如 來 敷 演 此 義 故 次 明 也 
T85n2753_001:0206c26	壽命品第二十六此品所以興者。上明德	壽 命 品 第 二 十 六 此 品 所 以 興 者 上 明 德 
T85n2753_001:0206c27	行彌廣不可稱說。欲明德以行成人以得立	行 彌 廣 不 可 稱 說 欲 明 德 以 行 成 人 以 得 立 
T85n2753_001:0206c28	人法成用道被無窮道德既無窮盡。壽命義	人 法 成 用 道 被 無 窮 道 德 既 無 窮 盡 壽 命 義 
T85n2753_001:0206c29	亦同然。是故次明壽命品也。	亦 同 然 是 故 次 明 壽 命 品 也 
T85n2753_001:0207a01	菩薩住處品第二十七此品所以興者。欲	菩 薩 住 處 品 第 二 十 七 此 品 所 以 興 者 欲 
T85n2753_001:0207a02	明菩薩充滿德行壽命無中無邊法身平等以	明 菩 薩 充 滿 德 行 壽 命 無 中 無 邊 法 身 平 等 以 
T85n2753_001:0207a03	無住為住。是以次明菩薩住處品。	無 住 為 住 是 以 次 明 菩 薩 住 處 品 
T85n2753_001:0207a04	佛法不思議品第二十八此品所以興者。	佛 法 不 思 議 品 第 二 十 八 此 品 所 以 興 者 
T85n2753_001:0207a05	上來廣明菩薩德行既不可思議。而未知諸	上 來 廣 明 菩 薩 德 行 既 不可思議 而 未 知 諸 
T85n2753_001:0207a06	佛功德義。復云何故。次更明不思議品。就中	佛 功 德 義 復 云 何 故 次 更 明 不 思 議 品 就 中 
T85n2753_001:0207a07	明如來八種離聲者。一曰梵聲。二曰深聲。三	明 如 來 八 種 離 聲 者 一 曰 梵 聲 二 曰 深 聲 三 
T85n2753_001:0207a08	曰遠聲。此三是聲體。次三就喻。一如鼓聲。	曰 遠 聲 此 三 是 聲 體 次 三 就 喻 一 如 鼓 聲 
T85n2753_001:0207a09	其音洪韻。二如種聲。其音嚮亮。三如金零聲。	其 音 洪 韻 二 如 種 聲 其 音 嚮 亮 三 如 金 零 聲 
T85n2753_001:0207a10	其音清辨。餘有二聲疑。一曰鳥聲。二曰三尺	其 音 清 辨 餘 有 二 聲 疑 一 曰 鳥 聲 二 曰 三 尺 
T85n2753_001:0207a11	鳥聲。	鳥 聲 
T85n2753_001:0207a12	相海品第二十九此品一時興者。上辨佛	相 海 品 第 二 十 九 此 品 一 時 興 者 上 辨 佛 
T85n2753_001:0207a13	法不思議者。欲明體融無礙。此云海者。欲	法 不 思 議 者 欲 明 體 融 無 礙 此 云 海 者 欲 
T85n2753_001:0207a14	明相無不實融無礙故則無體而不義相無不	明 相 無 不 實 融 無 礙 故 則 無 體 而 不 義 相 無 不 
T85n2753_001:0207a15	實故則無義而不體體無不義故則一體一切	實 故 則 無 義 而 不 體 體 無 不 義 故 則 一 體 一 切 
T85n2753_001:0207a16	體義無不體故則一義一切義。是以體無體	體 義 無 不 體 故 則 一 義 一 切 義 是 以 體 無 體 
T85n2753_001:0207a17	相義無義相體義融。於彼此眾用則無相不	相 義 無 義 相 體 義 融 於 彼 此 眾 用 則 無 相 不 
T85n2753_001:0207a18	相。今據實相以彰妙德故云相海品。	相 今 據 實 相 以 彰 妙 德 故 云 相 海 品 
T85n2753_001:0207a19	小相品第三十此品與上者異。是拔別之	小 相 品 第 三 十 此 品 與 上 者 異 是 拔 別 之 
T85n2753_001:0207a20	名。好則隨緣如是以表彰曰相情玩曰如。准	名 好 則 隨 緣 如 是 以 表 彰 曰 相 情 玩 曰 如 准 
T85n2753_001:0207a21	此義以小[標*寸]別故云小相品。	此 義 以 小 [標寸] 別 故 云 小 相 品 
T85n2753_001:0207a22	普賢菩薩行品第三十一此品所以興者。	普 賢 菩 薩 行 品 第 三 十 一 此 品 所 以 興 者 
T85n2753_001:0207a23	上明果德稱法界海無中無邊。自非圓因窮	上 明 果 德 稱 法 界 海 無 中 無 邊 自 非 圓 因 窮 
T85n2753_001:0207a24	於實際何由能契。是以圓果既彰圓因須顯	於 實 際 何 由 能 契 是 以 圓 果 既 彰 圓 因 須 顯 
T85n2753_001:0207a25	故次明也。亦可言。即是果行寄因彰名。何	故 次 明 也 亦 可 言 即 是 果 行 寄 因 彰 名 何 
T85n2753_001:0207a26	以故。量周法界名之為普。至順調柔謂之為	以 故 量 周 法 界 名 之 為 普 至 順 調 柔 謂 之 為 
T85n2753_001:0207a27	賢。菩提道用名之為行故。言普賢菩薩行品。	賢 菩 提 道 用 名 之 為 行 故 言 普 賢 菩 薩 行 品 
T85n2753_001:0207a28	寶王如來性起品第三十二此品所以興	寶 王 如 來 性 起 品 第 三 十 二 此 品 所 以 興 
T85n2753_001:0207a29	者。上來廣辨圓因圓果。圓因稱於理實圓果	者 上 來 廣 辨 圓 因 圓 果 圓 因 稱 於 理 實 圓 果 
T85n2753_001:0207b01	等於後際因果妙絕之旨者。所謂真性也。是	等 於 後 際 因 果 妙 絕 之 旨 者 所 謂 真 性 也 是 
T85n2753_001:0207b02	故次明性起之義。然性用未如如不起而真	故 次 明 性 起 之 義 然 性 用 未 如 如 不 起 而 真 
T85n2753_001:0207b03	性古今恒爾。以性用常起故。即用而彌寂。真	性 古 今 恒 爾 以 性 用 常 起 故 即 用 而 彌 寂 真 
T85n2753_001:0207b04	性古今恒爾故。即寂而喻彰。寂用既無障礙。	性 古 今 恒 爾 故 即 寂 而 喻 彰 寂 用 既 無 障 礙 
T85n2753_001:0207b05	寧有染淨之法而可得戒。是故真性為違順	寧 有 染 淨 之 法 而 可 得 戒 是 故 真 性 為 違 順 
T85n2753_001:0207b06	之原。緣集之本妙用以之而興妄相之而息	之 原 緣 集 之 本 妙 用 以 之 而 興 妄 相 之 而 息 
T85n2753_001:0207b07	如興廢出在妄情。於我未曾而為無為而為	如 興 廢 出 在 妄 情 於 我 未 曾 而 為 無 為 而 為 
T85n2753_001:0207b08	如無不為故。言性起寶王者喻況也。如意自	如 無 不 為 故 言 性 起 寶 王 者 喻 況 也 如 意 自 
T85n2753_001:0207b09	在名曰寶王。真性亦爾。如來者就圓顯以彰	在 名 曰 寶 王 真 性 亦 爾 如 來 者 就 圓 顯 以 彰 
T85n2753_001:0207b10	性故言如來。是故名曰寶王如來性起品也。	性 故 言 如 來 是 故 名 曰 寶 王 如 來 性 起 品 也 
T85n2753_001:0207b11	離世間品第三十三此品所以興者。上辨	離 世 間 品 第 三 十 三 此 品 所 以 興 者 上 辨 
T85n2753_001:0207b12	真性泯。於諸法一切空寂。萬相歸宗圓明獨	真 性 泯 於 諸 法 一 切 空 寂 萬 相 歸 宗 圓 明 獨 
T85n2753_001:0207b13	曜。若唯寂無起便同太虛。云何得為性體真	曜 若 唯 寂 無 起 便 同 太 虛 云 何 得 為 性 體 真 
T85n2753_001:0207b14	明。是故復明義。興後際法界等用用備眾能	明 是 故 復 明 義 興 後 際 法 界 等 用 用 備 眾 能 
T85n2753_001:0207b15	故名世間。無相可得謂之為離。非是有法可	故 名 世 間 無 相 可 得 謂 之 為 離 非 是 有 法 可 
T85n2753_001:0207b16	離名為離也。故名離世間品。	離 名 為 離 也 故 名 離 世 間 品 
T85n2753_001:0207b17	入法界品第三十四此品所以興者。上辨	入 法 界 品 第 三 十 四 此 品 所 以 興 者 上 辨 
T85n2753_001:0207b18	法界等用義興後際。若不在已雖妙何益。是	法 界 等 用 義 興 後 際 若 不 在 已 雖 妙 何 益 是 
T85n2753_001:0207b19	故次明入法界。義理相統目名為法界。解融	故 次 明 入 法 界 義 理 相 統 目 名 為 法 界 解 融 
T85n2753_001:0207b20	真寂謂之為入。契用無礙名之為行。是佛真	真 寂 謂 之 為 入 契 用 無 礙 名 之 為 行 是 佛 真 
T85n2753_001:0207b21	子紹三寶種。即成流通不絕之義故名入法	子 紹 三 寶 種 即 成 流 通 不 絕 之 義 故 名 入 法 
T85n2753_001:0207b22	界品。	界 品 
T85n2753_001:0207b23	四弘誓文　菩提難入以願邀期。是以初發	四 弘 誓 文 菩 提 難 入 以 願 邀 期 是 以 初 發 
T85n2753_001:0207b24	心菩薩。將欲逝惡修善廣化眾生遠求佛果。	心 菩 薩 將 欲 逝 惡 修 善 廣 化 眾 生 遠 求 佛 果 
T85n2753_001:0207b25	要以弘誓為本。弘誓既立。則願無不從。如佛	要 以 弘 誓 為 本 弘 誓 既 立 則 願 無 不 從 如 佛 
T85n2753_001:0207b26	所讚。如來大智遵演說功德證忍慧福業力	所 讚 如 來 大 智 遵 演 說 功 德 證 忍 慧 福 業 力 
T85n2753_001:0207b27	誓願力。最勝菩薩一誓過於聲聞百千劫行。	誓 願 力 最 勝 菩 薩 一 誓 過 於 聲 聞 百 千 劫 行 
T85n2753_001:0207b28	菩薩行願乃有無量。略舉此四。總收都盡。何	菩 薩 行 願 乃 有 無 量 略 舉 此 四 總 收 都 盡 何 
T85n2753_001:0207b29	等為四。一者我弟子某甲。誓斷一切煩惱。佛	等 為 四 一 者 我 弟 子 某 甲 誓 斷 一切煩惱 佛 
T85n2753_001:0207c01	法甚深願盡其源底。常住二帝理相幽玄稱	法 甚 深 願 盡 其 源 底 常 住 二 帝 理 相 幽 玄 稱 
T85n2753_001:0207c02	為甚深。願窮理源斷惑斯盡。雖不則斷弘誓	為 甚 深 願 窮 理 源 斷 惑 斯 盡 雖 不 則 斷 弘 誓 
T85n2753_001:0207c03	力強。生生之處一切煩惱自然衰微。是以經	力 強 生 生 之 處 一切煩惱 自 然 衰 微 是 以 經 
T85n2753_001:0207c04	言修心二。常雖有煩惱如無煩惱。是第一願。	言 修 心 二 常 雖 有 煩 惱 如 無 煩 惱 是 第 一 願 
T85n2753_001:0207c05	二者誓修一切功德。生死可畏願常樂處中。	二 者 誓 修 一切功德 生 死 可 畏 願 常 樂 處 中 
T85n2753_001:0207c06	如世人不入臣海則不能得如意寶珠。菩薩	如 世 人 不 入 臣 海 則 不 能 得 如意寶珠 菩 薩 
T85n2753_001:0207c07	若不入生死臣海。則不能得佛果無假寶珠。	若 不 入 生 死 臣 海 則 不 能 得 佛 果 無 假 寶 珠 
